ED_CODE,ED_NAME,ATKINSON,FOX,GERMAIN,MANOUSSI,MCGRUER,MCNEELY,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
063,OTTAWA--ORLÉANS,4,58,14,6,0,92,"Ottawa",157, ,0,0,0,174,344,"Forest Valley Elementary School",20071010
063,OTTAWA--ORLÉANS,1,64,10,5,1,49,"Ottawa",158, ,0,0,0,130,330,"Forest Valley Elementary School",20071010
063,OTTAWA--ORLÉANS,2,92,4,9,0,100,"Ottawa",159, ,0,0,0,207,371,"École élémentaire publique Le Prélude",20071010
063,OTTAWA--ORLÉANS,1,89,11,8,2,131,"Ottawa",160, ,1,2,0,245,451,"École L’Étoile-de-l’Est",20071010
063,OTTAWA--ORLÉANS,0,70,15,7,0,117,"Ottawa",161, ,0,0,0,209,497,"École Beatrice-Desloges",20071010
063,OTTAWA--ORLÉANS,1,73,20,12,0,99,"Ottawa",162, ,0,1,0,206,360,"Gloucester High School",20071010
063,OTTAWA--ORLÉANS,2,55,19,31,2,84,"Ottawa",163, ,0,0,0,193,474,"Lester B. Pearson High School",20071010
063,OTTAWA--ORLÉANS,1,7,0,0,0,21,"Ottawa",164s, ,1,0,0,30,61,"Elmsmere Residence",20071010
063,OTTAWA--ORLÉANS,1,25,7,4,0,32,"Ottawa",165, ,0,0,0,69,150,"Lester B. Pearson High School",20071010
063,OTTAWA--ORLÉANS,2,55,14,11,2,69,"Ottawa",166, ,1,0,0,154,416,"Lester B. Pearson High School",20071010
063,OTTAWA--ORLÉANS,4,54,16,7,2,90,"Ottawa",167, ,4,1,0,178,371,"Lester B. Pearson High School",20071010
063,OTTAWA--ORLÉANS,5,104,10,15,1,132,"Ottawa",168, ,0,0,0,267,443,"École secondaire Louis-Riel",20071010
063,OTTAWA--ORLÉANS,2,68,9,13,1,129,"Ottawa",169, ,0,1,0,223,379,"École élémentaire publique Le Prélude",20071010
063,OTTAWA--ORLÉANS,5,90,7,8,1,120,"Ottawa",170, ,0,0,1,232,412,"École élémentaire publique Le Prélude",20071010
063,OTTAWA--ORLÉANS,0,54,15,12,1,96,"Ottawa",171, ,0,0,0,178,410,"École élémentaire publique Le Prélude",20071010
063,OTTAWA--ORLÉANS,8,98,7,10,2,155,"Ottawa",172, ,2,1,0,283,494,"École élémentaire publique Le Prélude",20071010
063,OTTAWA--ORLÉANS,1,96,8,15,0,145,"Ottawa",173, ,0,3,0,268,448,"École élémentaire publique Le Prélude",20071010
063,OTTAWA--ORLÉANS,3,65,9,5,0,145,"Ottawa",174, ,0,0,0,227,572,"Rendez-vous des aînés",20071010
063,OTTAWA--ORLÉANS,5,62,25,10,0,80,"Ottawa",175, ,0,0,0,182,346,"Gloucester High School",20071010
063,OTTAWA--ORLÉANS,4,58,12,6,0,97,"Ottawa",176, ,0,0,0,177,329,"Gloucester High School",20071010
063,OTTAWA--ORLÉANS,3,39,8,2,0,86,"Ottawa",177, ,0,0,0,138,231,"Lester B. Pearson High School",20071010
063,OTTAWA--ORLÉANS,2,80,28,8,0,111,"Ottawa",178, ,0,0,0,229,539,"Lester B. Pearson High School",20071010
063,OTTAWA--ORLÉANS,1,23,11,6,2,46,"Ottawa",179, ,1,0,0,90,259,"Gloucester High School",20071010
063,OTTAWA--ORLÉANS,3,99,6,15,1,94,"Ottawa",180, ,1,0,8,227,378,"École secondaire Louis-Riel",20071010
063,OTTAWA--ORLÉANS,10,84,19,17,1,104,"Ottawa",181, ,1,0,0,236,363,"Good Shepherd School",20071010
063,OTTAWA--ORLÉANS,13,103,21,16,1,137,"Ottawa",182, ,0,1,0,292,407,"Good Shepherd School",20071010
063,OTTAWA--ORLÉANS,4,89,16,20,0,134,"Ottawa",183, ,0,0,0,263,431,"École secondaire Louis-Riel",20071010
063,OTTAWA--ORLÉANS,5,104,9,13,2,146,"Ottawa",184, ,0,0,0,279,448,"Emily Carr Middle School",20071010
063,OTTAWA--ORLÉANS,1,10,7,8,0,27,"Ottawa",185, ,0,0,0,53,143,"Emily Carr Middle School",20071010
063,OTTAWA--ORLÉANS,1,63,23,9,0,96,"Ottawa",186, ,1,0,0,193,427,"Emily Carr Middle School",20071010
063,OTTAWA--ORLÉANS,3,83,22,13,0,127,"Ottawa",187, ,2,0,3,253,373,"Emily Carr Middle School",20071010
063,OTTAWA--ORLÉANS,5,38,16,10,1,75,"Ottawa",188, ,0,0,0,145,324,"Norman Johnston Centre",20071010
063,OTTAWA--ORLÉANS,6,82,20,12,0,75,"Ottawa",189, ,0,0,0,195,345,"Norman Johnston Centre",20071010
063,OTTAWA--ORLÉANS,2,10,0,1,0,23,"Ottawa",190s, ,1,1,0,38,52,"Blackburn Lodge",20071010
063,OTTAWA--ORLÉANS,3,90,20,8,0,84,"Ottawa",191, ,0,0,0,205,388,"Norman Johnston Centre",20071010
063,OTTAWA--ORLÉANS,0,53,7,8,0,148,"Ottawa",192, ,1,0,0,217,392,"École élémentaire publique Le Prélude",20071010
063,OTTAWA--ORLÉANS,1,93,14,4,1,126,"Ottawa",193, ,0,0,0,239,432,"Rendez-vous des aînés",20071010
063,OTTAWA--ORLÉANS,4,75,27,15,0,123,"Ottawa",194, ,0,1,0,245,455,"Gloucester High School",20071010
063,OTTAWA--ORLÉANS,7,74,20,14,0,112,"Ottawa",195, ,0,0,0,227,422,"Good Shepherd School",20071010
063,OTTAWA--ORLÉANS,5,67,12,13,0,116,"Ottawa",196, ,0,0,0,213,448,"Good Shepherd School",20071010
063,OTTAWA--ORLÉANS,0,17,2,1,0,35,"Ottawa",197s, ,0,0,0,55,80,"Amica at Bearbrook",20071010
063,OTTAWA--ORLÉANS,3,15,6,2,1,28,"Ottawa",198, ,0,0,0,55,152,"Good Shepherd School",20071010
063,OTTAWA--ORLÉANS,4,51,28,13,4,63,"Ottawa",199, ,1,0,0,164,389,"Emily Carr Middle School",20071010
063,OTTAWA--ORLÉANS,2,78,7,7,2,70,"Ottawa",200, ,0,1,0,167,342,"Rendez-vous des aînés",20071010
063,OTTAWA--ORLÉANS,1,73,17,7,1,76,"Ottawa",201, ,0,1,0,176,409,"Caisse Populaire Carlsbad Springs",20071010
