ED_CODE,ED_NAME,KORUS,MORELLI,QUATELA,SORBARA,WEERASINGHE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
097,VAUGHAN,15,22,5,76,32,"Vaughan",017, ,1,1,0,152,342,"Holy Jubilee Catholic Elementary School",20071010
097,VAUGHAN,3,28,5,72,24,"Vaughan",018, ,0,0,0,132,349,"Holy Jubilee Catholic Elementary School",20071010
097,VAUGHAN,5,24,3,84,30,"Vaughan",019, ,0,0,0,146,347,"Maple Community Centre",20071010
097,VAUGHAN,2,4,0,15,9,"Vaughan",020, ,0,0,0,30,42,"Maple Community Centre",20071010
097,VAUGHAN,11,6,1,67,50,"Vaughan",021, ,1,0,0,136,344,"Kleinburg Public School",20071010
097,VAUGHAN,11,3,6,45,23,"Vaughan",022, ,0,0,0,88,155,"Vellore Village Community Centre",20071010
097,VAUGHAN,2,3,1,189,4,"Vaughan",023, ,2,0,0,201,582,"Discovery Public School",20071010
097,VAUGHAN,8,8,0,117,12,"Vaughan",024, ,0,1,0,146,450,"Discovery Public School",20071010
097,VAUGHAN,16,6,0,109,18,"Vaughan",025, ,0,0,0,149,379,"Discovery Public School",20071010
097,VAUGHAN,10,15,5,102,31,"Vaughan",026, ,1,0,0,164,394,"Mackenzie Glen Public School",20071010
097,VAUGHAN,8,22,5,125,23,"Vaughan",027, ,2,0,0,185,428,"Mackenzie Glen Public School",20071010
097,VAUGHAN,15,20,1,116,41,"Vaughan",028, ,2,2,0,197,407,"Mackenzie Glen Public School",20071010
097,VAUGHAN,21,17,2,63,43,"Vaughan",029, ,0,0,0,146,345,"Mackenzie Glen Public School",20071010
097,VAUGHAN,11,9,0,146,26,"Vaughan",030, ,2,1,0,195,417,"Mackenzie Glen Public School",20071010
097,VAUGHAN,19,21,6,94,35,"Vaughan",031, ,2,2,0,179,388,"Holy Jubilee Catholic Elementary School",20071010
097,VAUGHAN,8,10,3,120,29,"Vaughan",032, ,0,0,0,170,404,"St. Joan of Arc Catholic High School",20071010
097,VAUGHAN,10,23,5,91,27,"Vaughan",033, ,1,0,0,157,371,"Holy Jubilee Catholic Elementary School",20071010
097,VAUGHAN,15,23,2,107,39,"Vaughan",034, ,2,1,1,190,419,"St. Joan of Arc Catholic High School",20071010
097,VAUGHAN,3,16,1,79,37,"Vaughan",035, ,0,1,0,137,461,"St. Joan of Arc Catholic High School",20071010
097,VAUGHAN,6,21,3,96,24,"Vaughan",036, ,1,0,0,151,357,"St. Joan of Arc Catholic High School",20071010
097,VAUGHAN,7,17,1,79,18,"Vaughan",037, ,0,0,0,122,306,"St. Joan of Arc Catholic High School",20071010
097,VAUGHAN,1,1,0,8,2,"Vaughan",038s, ,0,0,0,12,17,"Maple Health Centre",20071010
097,VAUGHAN,11,25,2,91,29,"Vaughan",039, ,4,1,0,163,499,"St. Joan of Arc Catholic High School",20071010
097,VAUGHAN,5,4,0,7,31,"Vaughan",040, ,0,0,0,47,133,"St. Joan of Arc Catholic High School",20071010
097,VAUGHAN,23,16,2,100,60,"Vaughan",041, ,2,0,0,203,462,"Kleinburg Public School",20071010
097,VAUGHAN,0,7,0,32,10,"Vaughan",042, ,0,0,0,49,150,"Vellore Village Community Centre",20071010
097,VAUGHAN,12,14,5,87,28,"Vaughan",043, ,0,0,0,146,378,"Vellore Village Community Centre",20071010
097,VAUGHAN,8,13,3,58,30,"Vaughan",044, ,0,0,1,113,349,"St. James Catholic Elementary School",20071010
097,VAUGHAN,8,10,1,55,37,"Vaughan",045, ,0,0,0,111,435,"St. James Catholic Elementary School",20071010
097,VAUGHAN,8,14,4,96,24,"Vaughan",046, ,0,1,0,147,433,"St. James Catholic Elementary School",20071010
097,VAUGHAN,8,25,0,91,28,"Vaughan",047, ,1,2,0,155,380,"Discovery Public School",20071010
097,VAUGHAN,10,19,11,87,22,"Vaughan",048, ,1,0,0,150,406,"St. James Catholic Elementary School",20071010
097,VAUGHAN,11,17,1,118,31,"Vaughan",049, ,1,1,1,181,440,"Discovery Public School",20071010
097,VAUGHAN,8,26,0,100,29,"Vaughan",050, ,2,1,1,167,371,"Discovery Public School",20071010
097,VAUGHAN,9,26,1,87,22,"Vaughan",051, ,1,1,0,147,390,"Discovery Public School",20071010
097,VAUGHAN,8,13,0,51,8,"Vaughan",052, ,1,0,0,81,320,"St. James Catholic Elementary School",20071010
097,VAUGHAN,8,14,0,81,36,"Vaughan",053, ,0,0,0,139,353,"Michael Cranny Elementary School",20071010
097,VAUGHAN,9,35,3,119,30,"Vaughan",054, ,2,0,0,198,429,"Mackenzie Glen Public School",20071010
097,VAUGHAN,16,15,6,90,24,"Vaughan",055, ,1,0,0,152,369,"Michael Cranny Elementary School",20071010
097,VAUGHAN,5,36,0,118,33,"Vaughan",056, ,0,0,0,192,379,"Michael Cranny Elementary School",20071010
097,VAUGHAN,24,31,2,122,36,"Vaughan",057, ,0,1,0,216,464,"Michael Cranny Elementary School",20071010
097,VAUGHAN,16,24,3,154,26,"Vaughan",058, ,0,0,4,227,454,"St. David Catholic Elementary School",20071010
097,VAUGHAN,8,24,2,149,41,"Vaughan",059, ,5,2,0,231,443,"St. David Catholic Elementary School",20071010
097,VAUGHAN,10,18,1,150,28,"Vaughan",060, ,2,0,0,209,423,"St. David Catholic Elementary School",20071010
097,VAUGHAN,17,22,1,111,42,"Vaughan",061, ,4,0,2,199,446,"Joseph A. Gibson Public School",20071010
097,VAUGHAN,13,26,0,128,28,"Vaughan",062, ,0,1,0,196,456,"St. David Catholic Elementary School",20071010
097,VAUGHAN,3,2,0,15,4,"Vaughan",063s, ,1,0,0,25,40,"Maple Manor",20071010
097,VAUGHAN,17,13,1,108,31,"Vaughan",064, ,1,0,1,172,367,"Our Lady of Peace Catholic Elementary School",20071010
097,VAUGHAN,27,28,3,182,40,"Vaughan",065, ,0,0,0,280,566,"Our Lady of Peace Catholic Elementary School",20071010
097,VAUGHAN,6,11,0,51,22,"Vaughan",066, ,2,0,0,92,213,"Maple Community Centre",20071010
097,VAUGHAN,5,5,2,27,20,"Vaughan",067, ,0,0,0,59,137,"Maple Community Centre",20071010
097,VAUGHAN,9,17,0,124,79,"Vaughan",068, ,1,0,2,232,417,"Kleinburg Public School",20071010
097,VAUGHAN,0,6,0,35,16,"Vaughan",069, ,0,0,0,57,107,"Vellore Village Community Centre",20071010
097,VAUGHAN,10,18,4,85,37,"Vaughan",070, ,1,2,0,157,408,"St. James Catholic Elementary School",20071010
097,VAUGHAN,4,15,1,57,27,"Vaughan",071, ,1,0,0,105,339,"Michael Cranny Elementary School",20071010
097,VAUGHAN,4,17,3,83,25,"Vaughan",072, ,2,1,0,135,367,"École élémentaire catholique Le-Petit-Prince",20071010
097,VAUGHAN,6,24,4,73,33,"Vaughan",073, ,2,0,0,142,401,"Maple High School",20071010
097,VAUGHAN,10,15,4,142,33,"Vaughan",074, ,2,4,0,210,477,"École élémentaire catholique Le-Petit-Prince",20071010
097,VAUGHAN,8,17,2,113,29,"Vaughan",075, ,4,0,0,173,343,"Maple Creek Public School",20071010
097,VAUGHAN,9,33,1,142,44,"Vaughan",076, ,0,0,0,229,453,"École élémentaire catholique Le-Petit-Prince",20071010
097,VAUGHAN,9,32,1,123,32,"Vaughan",077, ,0,1,0,198,363,"Maple Creek Public School",20071010
097,VAUGHAN,15,43,0,112,34,"Vaughan",078, ,3,0,0,207,376,"Joseph A. Gibson Public School",20071010
097,VAUGHAN,18,23,4,128,44,"Vaughan",079, ,0,1,0,218,411,"Joseph A. Gibson Public School",20071010
097,VAUGHAN,25,21,1,127,41,"Vaughan",080, ,1,1,0,217,495,"Joseph A. Gibson Public School",20071010
097,VAUGHAN,13,33,5,157,34,"Vaughan",081, ,1,4,1,248,497,"Our Lady of Peace Catholic Elementary School",20071010
097,VAUGHAN,9,9,4,54,15,"Vaughan",082s, ,2,1,0,94,125,"Amalfi Residence",20071010
097,VAUGHAN,18,21,2,162,36,"Vaughan",083, ,3,2,0,244,588,"Our Lady of Peace Catholic Elementary School",20071010
097,VAUGHAN,27,28,4,219,39,"Vaughan",084, ,1,0,0,318,620,"Our Lady of Peace Catholic Elementary School",20071010
097,VAUGHAN,0,2,0,12,11,"Vaughan",085, ,0,0,0,25,59,"Maple Community Centre",20071010
097,VAUGHAN,0,0,0,22,6,"Vaughan",086, ,0,0,0,28,50,"Maple Community Centre",20071010
097,VAUGHAN,2,1,1,54,2,"Vaughan",087s, ,0,0,0,60,67,"Villa Colombo",20071010
097,VAUGHAN,58,16,2,124,56,"Vaughan",088, ,0,0,1,257,421,"Kleinburg Public School",20071010
097,VAUGHAN,7,25,2,105,41,"Vaughan",089, ,0,1,0,181,407,"St. Veronica Catholic Elementary School",20071010
097,VAUGHAN,4,10,1,71,38,"Vaughan",090, ,0,0,0,124,329,"St. Veronica Catholic Elementary School",20071010
097,VAUGHAN,13,18,3,95,29,"Vaughan",091, ,0,0,0,158,435,"St. Veronica Catholic Elementary School",20071010
097,VAUGHAN,8,12,0,100,17,"Vaughan",092, ,0,2,0,139,388,"St. Veronica Catholic Elementary School",20071010
097,VAUGHAN,9,7,2,82,32,"Vaughan",093, ,0,0,0,132,329,"Vellore Woods Public School",20071010
097,VAUGHAN,11,32,1,84,26,"Vaughan",094, ,2,0,0,156,385,"Vellore Woods Public School",20071010
097,VAUGHAN,5,11,2,73,30,"Vaughan",095, ,1,0,0,122,329,"Vellore Woods Public School",20071010
097,VAUGHAN,11,11,4,85,26,"Vaughan",096, ,1,0,0,138,342,"St. Emily Catholic Elementary School",20071010
097,VAUGHAN,4,16,3,86,33,"Vaughan",097, ,0,1,0,143,391,"Vellore Woods Public School",20071010
097,VAUGHAN,10,28,3,82,25,"Vaughan",098, ,1,0,0,149,423,"Vellore Woods Public School",20071010
097,VAUGHAN,3,19,1,55,34,"Vaughan",099, ,0,1,0,113,365,"St. Emily Catholic Elementary School",20071010
097,VAUGHAN,7,4,3,29,19,"Vaughan",100, ,4,0,0,66,235,"Julliard Public School",20071010
097,VAUGHAN,11,11,4,75,17,"Vaughan",101, ,0,0,0,118,365,"Maple High School",20071010
097,VAUGHAN,5,28,4,71,28,"Vaughan",102, ,0,0,0,136,297,"Maple High School",20071010
097,VAUGHAN,10,32,2,102,37,"Vaughan",103, ,1,0,0,184,368,"Maple Creek Public School",20071010
097,VAUGHAN,14,28,3,103,17,"Vaughan",104, ,1,1,0,167,408,"Maple Creek Public School",20071010
097,VAUGHAN,11,15,2,107,32,"Vaughan",105, ,0,0,0,167,410,"Maple High School",20071010
097,VAUGHAN,14,13,5,138,37,"Vaughan",106, ,2,1,0,210,438,"Father John Kelly Catholic Elementary School",20071010
097,VAUGHAN,0,7,3,52,5,"Vaughan",107s, ,2,0,0,69,102,"Villa Giardino",20071010
097,VAUGHAN,3,8,3,65,4,"Vaughan",108, ,6,2,0,91,137,"Villa Giardino",20071010
097,VAUGHAN,6,7,8,46,11,"Vaughan",109, ,3,1,0,82,124,"Villa Giardino",20071010
097,VAUGHAN,17,36,6,132,40,"Vaughan",110, ,0,0,0,231,421,"Father John Kelly Catholic Elementary School",20071010
097,VAUGHAN,18,23,2,154,40,"Vaughan",111, ,2,0,0,239,490,"Father John Kelly Catholic Elementary School",20071010
097,VAUGHAN,11,31,3,143,44,"Vaughan",112, ,2,1,0,235,482,"Father John Kelly Catholic Elementary School",20071010
097,VAUGHAN,13,38,2,192,31,"Vaughan",113, ,1,0,0,277,514,"Our Lady of Peace Catholic Elementary School",20071010
097,VAUGHAN,13,23,1,106,34,"Vaughan",114, ,3,0,0,180,396,"Our Lady of Peace Catholic Elementary School",20071010
097,VAUGHAN,25,7,0,59,75,"Vaughan",115, ,1,1,2,170,397,"École élémentaire La Fontaine",20071010
097,VAUGHAN,21,12,1,75,79,"Vaughan",116, ,4,1,0,193,409,"École élémentaire La Fontaine",20071010
097,VAUGHAN,1,7,0,40,11,"Vaughan",117, ,0,0,0,59,144,"St. Veronica Catholic Elementary School",20071010
097,VAUGHAN,10,15,2,121,16,"Vaughan",118, ,7,0,0,171,366,"St. Veronica Catholic Elementary School",20071010
097,VAUGHAN,4,13,0,71,33,"Vaughan",119, ,0,1,0,122,380,"St. Jean de Brebeuf Catholic School",20071010
097,VAUGHAN,7,9,3,100,26,"Vaughan",120, ,1,2,0,148,394,"St. Agnes of Assisi Catholic Elementary School",20071010
097,VAUGHAN,13,14,2,77,26,"Vaughan",121, ,1,0,0,133,405,"St. Jean de Brebeuf Catholic School",20071010
097,VAUGHAN,6,7,1,99,21,"Vaughan",122, ,1,0,0,135,356,"St. Jean de Brebeuf Catholic School",20071010
097,VAUGHAN,7,20,1,83,23,"Vaughan",123, ,0,0,0,134,367,"St. Agnes of Assisi Catholic Elementary School",20071010
097,VAUGHAN,10,15,1,88,25,"Vaughan",124, ,0,1,0,140,377,"St. Jean de Brebeuf Catholic School",20071010
097,VAUGHAN,7,19,0,93,25,"Vaughan",125, ,3,0,0,147,387,"St. Agnes of Assisi Catholic Elementary School",20071010
097,VAUGHAN,8,13,0,90,26,"Vaughan",126, ,0,0,0,137,349,"Vellore Woods Public School",20071010
097,VAUGHAN,9,10,2,74,30,"Vaughan",127, ,0,0,0,125,361,"St. Emily Catholic Elementary School",20071010
097,VAUGHAN,15,26,1,120,27,"Vaughan",128, ,0,0,0,189,423,"St. Emily Catholic Elementary School",20071010
097,VAUGHAN,11,26,4,100,36,"Vaughan",129, ,0,0,0,177,415,"St. Emily Catholic Elementary School",20071010
097,VAUGHAN,12,26,3,77,27,"Vaughan",130, ,1,0,0,146,383,"St. Emily Catholic Elementary School",20071010
097,VAUGHAN,13,23,1,66,19,"Vaughan",131, ,1,1,0,124,334,"Julliard Public School",20071010
097,VAUGHAN,12,12,3,76,25,"Vaughan",132, ,4,0,0,132,363,"Julliard Public School",20071010
097,VAUGHAN,8,13,1,77,20,"Vaughan",133, ,5,0,0,124,333,"Julliard Public School",20071010
097,VAUGHAN,13,15,2,58,20,"Vaughan",134, ,0,0,0,108,305,"Maple High School",20071010
097,VAUGHAN,16,14,0,82,41,"Vaughan",135, ,0,0,0,153,330,"École élémentaire La Fontaine",20071010
097,VAUGHAN,7,23,1,91,36,"Vaughan",136, ,1,0,0,159,390,"École élémentaire La Fontaine",20071010
097,VAUGHAN,16,17,1,87,30,"Vaughan",137, ,0,1,0,152,288,"Lorna Jackson Public School",20071010
097,VAUGHAN,5,11,2,71,32,"Vaughan",138, ,0,1,0,122,387,"Lorna Jackson Public School",20071010
097,VAUGHAN,14,35,3,90,39,"Vaughan",139, ,0,2,0,183,399,"St. Padre Pio Catholic Elementary School",20071010
097,VAUGHAN,12,16,0,105,27,"Vaughan",140, ,2,0,0,162,398,"St. Padre Pio Catholic Elementary School",20071010
097,VAUGHAN,8,23,3,112,41,"Vaughan",141, ,1,0,0,188,460,"St. Padre Pio Catholic Elementary School",20071010
097,VAUGHAN,14,12,4,109,39,"Vaughan",142, ,1,0,0,179,377,"St. Padre Pio Catholic Elementary School",20071010
097,VAUGHAN,13,20,0,54,26,"Vaughan",143, ,1,0,0,114,316,"St. Padre Pio Catholic Elementary School",20071010
097,VAUGHAN,1,10,1,40,8,"Vaughan",144, ,0,0,0,60,158,"St. Agnes of Assisi Catholic Elementary School",20071010
097,VAUGHAN,9,18,2,117,31,"Vaughan",145, ,0,0,0,177,364,"St. Clare of Assisi Church",20071010
097,VAUGHAN,5,19,0,71,17,"Vaughan",146, ,1,3,0,116,310,"St. Clare of Assisi Church",20071010
097,VAUGHAN,13,20,5,93,31,"Vaughan",147, ,1,0,0,163,351,"St. Clare of Assisi Church",20071010
097,VAUGHAN,9,20,1,92,34,"Vaughan",148, ,4,0,0,160,385,"St. Agnes of Assisi Catholic Elementary School",20071010
097,VAUGHAN,15,17,4,116,28,"Vaughan",149, ,2,0,0,182,382,"St. Clare of Assisi Church",20071010
097,VAUGHAN,4,29,2,114,42,"Vaughan",150, ,3,1,0,195,423,"St. Clare Catholic Elementary School",20071010
097,VAUGHAN,6,29,2,112,38,"Vaughan",151, ,2,0,0,189,458,"St. Agnes of Assisi Catholic Elementary School",20071010
097,VAUGHAN,8,20,1,123,57,"Vaughan",152, ,0,1,0,210,443,"St. Clare Catholic Elementary School",20071010
097,VAUGHAN,15,11,1,120,63,"Vaughan",153, ,2,2,0,214,443,"Lorna Jackson Public School",20071010
097,VAUGHAN,7,21,4,128,41,"Vaughan",154, ,0,0,0,201,399,"Elder Mills Public School",20071010
097,VAUGHAN,11,21,1,126,30,"Vaughan",155, ,3,0,0,192,394,"Lorna Jackson Public School",20071010
097,VAUGHAN,5,18,1,72,25,"Vaughan",156, ,0,0,0,121,420,"Lorna Jackson Public School",20071010
097,VAUGHAN,9,23,2,83,24,"Vaughan",157, ,5,0,0,146,379,"Elder Mills Public School",20071010
097,VAUGHAN,9,23,1,79,32,"Vaughan",158, ,5,0,1,150,362,"Elder Mills Public School",20071010
097,VAUGHAN,16,18,1,87,22,"Vaughan",159, ,0,0,0,144,358,"Lorna Jackson Public School",20071010
097,VAUGHAN,14,26,3,83,39,"Vaughan",160, ,2,1,0,168,403,"St. Padre Pio Catholic Elementary School",20071010
097,VAUGHAN,15,29,3,111,44,"Vaughan",161, ,2,0,0,204,450,"St. Andrew Catholic Elementary School",20071010
097,VAUGHAN,7,28,2,90,40,"Vaughan",162, ,0,1,0,168,358,"St. Padre Pio Catholic Elementary School",20071010
097,VAUGHAN,6,22,3,130,38,"Vaughan",163, ,5,1,1,206,402,"St. Andrew Catholic Elementary School",20071010
097,VAUGHAN,5,24,2,93,26,"Vaughan",164, ,0,2,0,152,330,"St. Andrew Catholic Elementary School",20071010
097,VAUGHAN,7,23,2,104,38,"Vaughan",165, ,1,2,0,177,422,"St. Andrew Catholic Elementary School",20071010
097,VAUGHAN,13,27,2,105,18,"Vaughan",166, ,2,2,0,169,390,"St. Andrew Catholic Elementary School",20071010
097,VAUGHAN,5,27,1,72,11,"Vaughan",167, ,0,0,0,116,332,"St. Andrew Catholic Elementary School",20071010
097,VAUGHAN,5,18,1,140,38,"Vaughan",168, ,1,0,0,203,436,"Al Palladini Community Centre",20071010
097,VAUGHAN,7,13,4,135,31,"Vaughan",169, ,0,0,1,191,435,"St. Clare Catholic Elementary School",20071010
097,VAUGHAN,13,15,2,135,42,"Vaughan",170, ,1,0,0,208,425,"St. Clare Catholic Elementary School",20071010
097,VAUGHAN,13,19,5,151,50,"Vaughan",171, ,0,0,0,238,492,"St. Gregory the Great Catholic Elementary School",20071010
097,VAUGHAN,13,16,3,147,60,"Vaughan",172, ,1,0,0,240,500,"St. Clare Catholic Elementary School",20071010
097,VAUGHAN,9,24,2,182,45,"Vaughan",173, ,2,1,0,265,574,"St. Gregory the Great Catholic Elementary School",20071010
097,VAUGHAN,10,20,2,153,46,"Vaughan",174, ,0,0,0,231,552,"St. Clare Catholic Elementary School",20071010
097,VAUGHAN,15,29,4,154,51,"Vaughan",175, ,6,0,0,259,558,"St. Gregory the Great Catholic Elementary School",20071010
097,VAUGHAN,15,33,2,117,38,"Vaughan",176, ,3,0,0,208,437,"Elder Mills Public School",20071010
097,VAUGHAN,13,16,5,143,48,"Vaughan",177, ,1,2,0,228,487,"Elder Mills Public School",20071010
097,VAUGHAN,7,13,1,142,64,"Vaughan",178, ,0,1,0,228,477,"Our Lady of Fatima Catholic Elementary School",20071010
097,VAUGHAN,9,19,1,181,56,"Vaughan",179, ,1,2,0,269,507,"Our Lady of Fatima Catholic Elementary School",20071010
097,VAUGHAN,27,13,6,188,60,"Vaughan",180, ,1,0,0,295,575,"Our Lady of Fatima Catholic Elementary School",20071010
097,VAUGHAN,24,18,3,133,75,"Vaughan",181, ,9,1,0,263,583,"Al Palladini Community Centre",20071010
097,VAUGHAN,21,34,3,179,53,"Vaughan",182, ,4,2,0,296,565,"St. Margaret Mary Catholic Elementary School",20071010
097,VAUGHAN,19,12,0,117,61,"Vaughan",183, ,2,1,0,212,466,"St. Gregory the Great Catholic Elementary School",20071010
097,VAUGHAN,8,41,1,140,33,"Vaughan",184, ,0,2,0,225,507,"St. Gregory the Great Catholic Elementary School",20071010
097,VAUGHAN,10,25,6,177,27,"Vaughan",185, ,1,1,0,247,437,"St. John Bosco Catholic School",20071010
097,VAUGHAN,16,15,5,187,43,"Vaughan",186, ,1,0,1,268,536,"St. Gregory the Great Catholic Elementary School",20071010
097,VAUGHAN,14,30,2,183,29,"Vaughan",187, ,1,3,0,262,539,"St. John Bosco Catholic School",20071010
097,VAUGHAN,6,12,2,32,23,"Vaughan",188, ,1,0,0,76,205,"École élémentaire La Fontaine",20071010
097,VAUGHAN,17,30,2,119,48,"Vaughan",189, ,5,2,0,223,454,"St. Angela Merici Catholic Elementary School",20071010
097,VAUGHAN,18,24,4,107,63,"Vaughan",190, ,4,3,0,223,455,"St. Angela Merici Catholic Elementary School",20071010
097,VAUGHAN,14,32,2,84,34,"Vaughan",191, ,2,0,0,168,405,"St. Angela Merici Catholic Elementary School",20071010
097,VAUGHAN,14,32,1,110,22,"Vaughan",192, ,0,0,2,181,436,"St. Angela Merici Catholic Elementary School",20071010
097,VAUGHAN,20,9,0,138,61,"Vaughan",193, ,1,1,0,230,515,"Our Lady of Fatima Catholic Elementary School",20071010
097,VAUGHAN,21,20,2,111,31,"Vaughan",194, ,1,0,0,186,399,"St. Angela Merici Catholic Elementary School",20071010
097,VAUGHAN,19,21,1,133,59,"Vaughan",195, ,3,1,0,237,508,"Our Lady of Fatima Catholic Elementary School",20071010
097,VAUGHAN,9,24,4,141,55,"Vaughan",196, ,6,1,0,240,513,"Our Lady of Fatima Catholic Elementary School",20071010
097,VAUGHAN,15,18,2,114,39,"Vaughan",197, ,2,4,0,194,419,"St. Margaret Mary Catholic Elementary School",20071010
097,VAUGHAN,0,0,1,8,0,"Vaughan",198s, ,2,0,0,11,19,"Pine Grove Lodge",20071010
097,VAUGHAN,18,21,0,115,65,"Vaughan",199, ,0,0,0,219,537,"Woodbridge Pool & Memorial Arena",20071010
097,VAUGHAN,12,21,5,148,26,"Vaughan",200, ,1,0,0,213,462,"Father Bressani Catholic High School",20071010
097,VAUGHAN,5,33,5,118,34,"Vaughan",201, ,4,0,0,199,458,"Father Bressani Catholic High School",20071010
097,VAUGHAN,12,36,3,152,42,"Vaughan",202, ,1,0,1,247,509,"Father Bressani Catholic High School",20071010
097,VAUGHAN,6,25,3,72,19,"Vaughan",203, ,1,0,0,126,352,"Father Bressani Catholic High School",20071010
097,VAUGHAN,23,36,3,191,20,"Vaughan",204, ,0,2,0,275,536,"Father Bressani Catholic High School",20071010
097,VAUGHAN,13,25,3,134,27,"Vaughan",205, ,1,1,0,204,478,"Father Bressani Catholic High School",20071010
097,VAUGHAN,11,35,0,156,32,"Vaughan",206, ,2,2,0,238,485,"St. John Bosco Catholic School",20071010
097,VAUGHAN,9,29,2,182,31,"Vaughan",207, ,3,0,0,256,517,"St. John Bosco Catholic School",20071010
097,VAUGHAN,8,15,2,145,24,"Vaughan",208, ,0,0,0,194,433,"St. Gabriel the Archangel Catholic School",20071010
097,VAUGHAN,13,38,2,212,27,"Vaughan",209, ,6,1,0,299,620,"St. John Bosco Catholic School",20071010
097,VAUGHAN,8,36,5,165,36,"Vaughan",210, ,2,2,0,254,542,"St. Gabriel the Archangel Catholic School",20071010
097,VAUGHAN,15,39,2,152,32,"Vaughan",211, ,7,1,0,248,497,"St. Gabriel the Archangel Catholic School",20071010
097,VAUGHAN,17,12,1,48,23,"Vaughan",212, ,1,1,0,103,349,"St. Gabriel the Archangel Catholic School",20071010
097,VAUGHAN,12,39,2,156,26,"Vaughan",213, ,4,1,0,240,466,"San Marco Catholic Elementary School",20071010
097,VAUGHAN,9,25,1,101,31,"Vaughan",214, ,0,0,0,167,446,"St. Angela Merici Catholic Elementary School",20071010
097,VAUGHAN,10,57,2,139,25,"Vaughan",215, ,1,2,0,236,510,"San Marco Catholic Elementary School",20071010
097,VAUGHAN,8,35,2,148,35,"Vaughan",216, ,2,1,0,231,561,"St. Clement Catholic Elementary School",20071010
097,VAUGHAN,2,37,2,133,30,"Vaughan",217, ,3,0,0,207,440,"St. Clement Catholic Elementary School",20071010
097,VAUGHAN,10,24,0,67,21,"Vaughan",218, ,2,0,0,124,359,"St. Clement Catholic Elementary School",20071010
097,VAUGHAN,23,22,2,98,50,"Vaughan",219, ,1,0,1,197,467,"Woodbridge United Church",20071010
097,VAUGHAN,10,11,3,55,36,"Vaughan",220, ,0,0,0,115,271,"St. Margaret Mary Catholic Elementary School",20071010
097,VAUGHAN,8,23,6,115,41,"Vaughan",221, ,0,2,0,195,375,"Woodbridge Pool & Memorial Arena",20071010
097,VAUGHAN,16,25,5,135,28,"Vaughan",222, ,3,0,0,212,482,"Immaculate Conception Catholic Elementary School",20071010
097,VAUGHAN,19,23,7,209,31,"Vaughan",223, ,0,1,0,290,556,"Immaculate Conception Catholic Elementary School",20071010
097,VAUGHAN,11,25,1,153,43,"Vaughan",224, ,4,2,0,239,427,"Immaculate Conception Catholic Elementary School",20071010
097,VAUGHAN,12,27,2,164,34,"Vaughan",225, ,3,3,0,245,511,"Immaculate Conception Catholic Elementary School",20071010
097,VAUGHAN,6,29,0,159,36,"Vaughan",226, ,2,2,2,236,510,"Immaculate Conception Catholic Elementary School",20071010
097,VAUGHAN,4,35,1,151,31,"Vaughan",227, ,3,1,0,226,533,"Blue Willow Public School",20071010
097,VAUGHAN,13,25,3,162,41,"Vaughan",228, ,0,0,2,246,464,"Immaculate Conception Catholic Elementary School",20071010
