ED,POLL NO.,URBAN,BROWN,DENLEY,SCOTT,SWAIN,YURICK,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
002,54, ,13,22,0,13,11,,,,,,,,,,,1,0,0,60,108,Wharncliffe Community Hall Wharncliffe
002,55, ,11,12,0,2,2,,,,,,,,,,,0,0,0,27,90,Goulais River Captain Tilley's Community Centre Goulais River
002,56, ,14,10,0,1,1,,,,,,,,,,,0,0,0,26,59,Goulais River Captain Tilley's Community Centre Goulais River
002,57, ,52,49,0,20,5,,,,,,,,,,,0,0,0,126,330,Goulais River Captain Tilley's Community Centre Goulais River
002,58, ,18,28,0,18,9,,,,,,,,,,,1,0,0,74,227,Heyden-Aweres Public School Heyden
002,59, ,9,10,0,6,0,,,,,,,,,,,1,1,0,27,45,Kynock Community Hall Kynock
002,60, ,92,76,3,15,6,,,,,,,,,,,2,0,0,194,381,Prince Township Municipal Office Prince Township
002,61, ,2,14,0,0,0,,,,,,,,,,,0,0,0,16,51,Goulais River Captain Tilley's Community Centre Goulais River
002,62, ,49,50,2,23,11,,,,,,,,,,,0,0,0,135,338,Goulais River Captain Tilley's Community Centre Goulais River
002,63, ,41,49,2,12,7,,,,,,,,,,,0,0,0,111,209,Heyden-Aweres Public School Heyden
002,64, ,39,81,3,17,5,,,,,,,,,,,0,0,0,145,292,Heyden-Aweres Public School Heyden
002,65, ,57,60,5,20,5,,,,,,,,,,,0,1,1,149,428,Heyden-Aweres Public School Heyden
002,66, ,7,23,0,3,1,,,,,,,,,,,1,1,0,36,86,Heyden-Aweres Public School Heyden
002,67, ,43,61,0,29,3,,,,,,,,,,,0,0,0,136,200,Heyden-Aweres Public School Heyden
002,68, ,25,31,0,7,8,,,,,,,,,,,0,0,0,71,106,Massey S. Geiger Public School Massey
002,69, ,103,58,3,18,12,,,,,,,,,,,3,0,0,197,345,Prince Township Municipal Office Prince Township
002,70, ,10,19,1,0,1,,,,,,,,,,,1,0,0,32,212,Garden River Community Centre (First Nation) Garden River 14
002,71, ,13,119,2,2,1,,,,,,,,,,,0,0,0,137,554,Garden River Community Centre (First Nation) Garden River 14
002,72, ,49,55,0,17,11,,,,,,,,,,,0,0,0,132,261,Sylvan Valley Community Hall Sylvan Valley
002,73, ,25,52,1,21,13,,,,,,,,,,,0,0,0,112,213,Sylvan Valley Community Hall Sylvan Valley
002,74, ,31,12,0,10,6,,,,,,,,,,,0,0,0,59,114,Collins Hall Elliot Lake
002,75, ,36,31,1,13,1,,,,,,,,,,,0,0,0,82,158,Echo Bay Community Hall Echo Bay
002,76, ,37,55,5,20,6,,,,,,,,,,,0,0,0,123,300,Bar River Community Hall Bar River
002,77, ,59,75,3,27,3,,,,,,,,,,,0,0,0,167,351,Laird Township Community Hall Laird
002,78, ,28,50,2,13,11,,,,,,,,,,,0,0,0,104,263,Echo Bay Community Hall Echo Bay
002,79, ,35,30,0,6,9,,,,,,,,,,,0,0,0,80,186,Johnson-Tarbutt Public School Desbarats
002,80, ,49,33,3,4,5,,,,,,,,,,,1,0,0,95,256,Collins Hall Elliot Lake
002,81, ,51,46,1,11,7,,,,,,,,,,,1,0,0,117,317,Collins Hall Elliot Lake
002,82, ,29,17,0,11,2,,,,,,,,,,,0,0,0,59,150,Collins Hall Elliot Lake
002,83, ,83,42,5,23,4,,,,,,,,,,,2,1,0,160,309,Collins Hall Elliot Lake
002,84, ,76,47,2,18,2,,,,,,,,,,,0,0,0,145,328,Collins Hall Elliot Lake
002,85, ,75,29,4,13,3,,,,,,,,,,,0,0,0,124,278,Our Lady of Lourdes French Immersion School Elliot Lake
002,86, ,66,32,2,10,7,,,,,,,,,,,0,1,0,118,283,George Vanier School Elliot Lake
002,87, ,62,38,0,12,5,,,,,,,,,,,0,0,0,117,300,Collins Hall Elliot Lake
002,88, ,70,30,0,12,5,,,,,,,,,,,1,0,0,118,273,Collins Hall Elliot Lake
002,089s, ,---------- COMBINED WITH POLL / COMBINÉ AVEC LE BUREAU DE VOTE 083 ----------,,,,,,,,,,,,,,,,,,,,St. Joseph Manor Elliot Lake
002,90, ,56,43,2,9,10,,,,,,,,,,,1,0,0,121,249,Collins Hall Elliot Lake
002,91, ,68,46,1,18,4,,,,,,,,,,,1,0,0,138,329,George Vanier School Elliot Lake
002,92, ,105,59,1,15,1,,,,,,,,,,,0,0,0,181,371,Our Lady of Lourdes French Immersion School Elliot Lake
002,93, ,36,31,2,9,5,,,,,,,,,,,0,0,0,83,198,Collins Hall Elliot Lake
002,94, ,63,51,1,25,5,,,,,,,,,,,0,0,0,145,308,George Vanier School Elliot Lake
002,95, ,82,48,2,16,10,,,,,,,,,,,0,1,0,159,342,George Vanier School Elliot Lake
002,96, ,62,28,1,8,11,,,,,,,,,,,3,0,0,113,248,Our Lady of Lourdes French Immersion School Elliot Lake
002,97, ,36,38,0,13,4,,,,,,,,,,,1,0,0,92,214,Collins Hall Elliot Lake
002,098s, ,19,6,1,0,1,,,,,,,,,,,2,0,0,29,55,Hillside Park Retirement Residence Elliot Lake
002,99, ,41,42,1,11,7,,,,,,,,,,,0,0,0,102,257,Collins Hall Elliot Lake
002,100, ,62,39,3,14,4,,,,,,,,,,,0,0,0,122,339,Our Lady of Lourdes French Immersion School Elliot Lake
002,101s, ,8,1,0,1,0,,,,,,,,,,,0,0,0,10,28,Huron Lodge Elliot Lake
002,102, ,47,27,1,28,1,,,,,,,,,,,1,0,0,105,242,Collins Hall Elliot Lake
002,103, ,42,61,0,35,6,,,,,,,,,,,0,0,0,144,340,New Life Pentecostal Church Elliot Lake
002,104, ,44,73,3,33,3,,,,,,,,,,,0,0,0,156,345,New Life Pentecostal Church Elliot Lake
002,105, ,73,96,0,21,16,,,,,,,,,,,1,0,0,207,404,Webbwood Senior Citizens Club Webbwood
002,106, ,19,32,0,7,0,,,,,,,,,,,0,0,0,58,225,Nairn Centre Community Hall Nairn Centre
002,107, ,66,70,3,30,10,,,,,,,,,,,1,1,0,181,329,Laird Township Community Hall Laird
002,108, ,97,62,2,49,13,,,,,,,,,,,1,1,0,225,343,St. Joseph Island Public School Richards Landing
002,109, ,65,65,1,34,10,,,,,,,,,,,1,0,0,176,261,Tarbutt Township Council Chambers Tarbutt Township
002,110, ,82,64,0,58,12,,,,,,,,,,,0,0,0,216,350,St. Joseph Island Public School Richards Landing
002,111, ,41,73,0,29,7,,,,,,,,,,,0,0,0,150,264,Johnson-Tarbutt Public School Desbarats
002,112, ,35,22,3,20,3,,,,,,,,,,,1,0,0,84,195,Bruce Mines Community Hall Bruce Mines
002,113, ,67,16,4,40,12,,,,,,,,,,,0,0,0,139,240,Bruce Mines Community Hall Bruce Mines
002,114, ,100,95,7,62,15,,,,,,,,,,,0,0,0,279,496,Bruce Station Community Hall Bruce Station
002,115, ,62,25,1,38,3,,,,,,,,,,,2,1,0,132,298,Thessalon New Ontario Lodge Thessalon 12
002,116s, ,22,13,0,5,0,,,,,,,,,,,0,0,0,40,112,Algoma Manor Thessalon 12
002,117, ,86,54,7,48,11,,,,,,,,,,,0,1,0,207,406,Iron Bridge Lions Hall Iron Bridge
002,118, ,36,49,0,5,5,,,,,,,,,,,0,0,0,95,245,Mississauga Dreamcatcher Complex Blind River
002,119, ,88,51,1,25,12,,,,,,,,,,,1,0,0,178,418,Blind River Community Complex Blind River
002,120, ,74,33,2,11,7,,,,,,,,,,,0,0,0,127,323,Our Lady of Lourdes French Immersion School Elliot Lake
002,121, ,52,40,0,8,8,,,,,,,,,,,1,0,0,109,328,Our Lady of Lourdes French Immersion School Elliot Lake
002,122, ,74,49,2,17,8,,,,,,,,,,,2,0,0,152,369,Collins Hall Elliot Lake
002,123, ,29,20,3,14,8,,,,,,,,,,,0,0,0,74,201,George Vanier School Elliot Lake
002,124, ,41,40,0,29,8,,,,,,,,,,,0,0,0,118,238,New Life Pentecostal Church Elliot Lake
002,125, ,45,32,3,14,2,,,,,,,,,,,0,0,0,96,240,New Life Pentecostal Church Elliot Lake
002,126, ,47,43,1,26,6,,,,,,,,,,,1,0,0,124,260,New Life Pentecostal Church Elliot Lake
002,127, ,40,28,0,8,3,,,,,,,,,,,0,0,0,79,176,Township of Spanish Municipal Office Spanish
002,128, ,85,69,0,17,7,,,,,,,,,,,2,0,3,183,418,Massey S. Geiger Public School Massey
002,130, ,40,59,2,18,2,,,,,,,,,,,0,0,0,121,335,Webbwood Senior Citizens Club Webbwood
002,131, ,62,48,6,12,2,,,,,,,,,,,0,0,0,130,309,Espanola Community Complex Espanola
002,132, ,81,54,1,15,10,,,,,,,,,,,0,2,0,163,310,Espanola Community Complex Espanola
002,133s, ,24,10,1,5,2,,,,,,,,,,,0,1,0,43,114,Espanola Nursing Home Espanola
002,134, ,71,62,1,19,3,,,,,,,,,,,0,0,0,156,323,Espanola Community Complex Espanola
002,135, ,62,65,1,11,2,,,,,,,,,,,0,0,0,141,273,Espanola Community Complex Espanola
002,136, ,48,34,1,9,7,,,,,,,,,,,0,0,0,99,212,Espanola Community Complex Espanola
002,137, ,42,73,5,4,3,,,,,,,,,,,0,0,0,127,287,Espanola Community Complex Espanola
002,138, ,23,58,1,5,3,,,,,,,,,,,0,0,0,90,213,Espanola Community Complex Espanola
002,139, ,57,61,3,17,6,,,,,,,,,,,0,0,0,144,269,Espanola Community Complex Espanola
002,140, ,37,65,0,8,4,,,,,,,,,,,0,0,0,114,273,Espanola Community Complex Espanola
002,141, ,45,62,2,7,2,,,,,,,,,,,0,0,0,118,278,Espanola Community Complex Espanola
002,142, ,48,52,0,7,2,,,,,,,,,,,0,0,0,109,288,Espanola Community Complex Espanola
002,143, ,41,59,2,5,3,,,,,,,,,,,0,2,0,112,283,Espanola Community Complex Espanola
002,144, ,41,72,2,17,7,,,,,,,,,,,0,0,0,139,252,Baldwin Town Hall McKerrow
002,145, ,32,38,0,11,7,,,,,,,,,,,0,1,0,89,264,Espanola Community Complex Espanola
002,146, ,25,84,1,10,3,,,,,,,,,,,0,0,0,123,222,Nairn Centre Community Hall Nairn Centre
002,147, ,74,52,6,49,19,,,,,,,,,,,1,0,0,201,306,Jocelyn Township Council Chambers Jocelyn Township
002,148, ,58,93,4,38,20,,,,,,,,,,,2,2,0,217,338,Hilton Beach Community Hall Hilton Beach
002,149, ,58,43,0,26,5,,,,,,,,,,,5,3,0,140,345,Thessalon New Ontario Lodge Thessalon 12
002,150, ,76,52,4,35,10,,,,,,,,,,,0,0,0,177,379,Little Rapids Community Hall Little Rapids
002,151, ,47,22,0,36,6,,,,,,,,,,,1,2,0,114,308,Thessalon New Ontario Lodge Thessalon 12
002,152, ,10,25,0,1,1,,,,,,,,,,,0,0,0,37,47,Thessalon First Nation Library Thessalon 12
002,153, ,46,27,3,33,8,,,,,,,,,,,0,0,0,117,213,Sowerby Community Hall Sowerby
002,154, ,59,44,1,35,13,,,,,,,,,,,1,0,0,153,264,Iron Bridge Lions Hall Iron Bridge
002,155, ,42,21,1,17,3,,,,,,,,,,,1,0,0,85,243,Blind River Community Complex Blind River
002,157, ,28,13,2,7,0,,,,,,,,,,,0,0,0,50,178,Blind River Community Complex Blind River
002,158, ,47,22,3,20,1,,,,,,,,,,,2,0,0,95,217,Blind River Community Complex Blind River
002,159, ,50,22,0,26,1,,,,,,,,,,,0,2,0,101,254,Blind River Community Complex Blind River
002,160, ,27,21,2,11,9,,,,,,,,,,,1,0,0,71,164,Blind River Community Complex Blind River
002,161, ,48,21,3,5,4,,,,,,,,,,,0,0,0,81,193,Blind River Community Complex Blind River
002,162, ,51,25,3,21,2,,,,,,,,,,,0,1,0,103,252,Blind River Community Complex Blind River
002,163, ,51,56,1,13,3,,,,,,,,,,,0,0,0,124,290,Blind River Community Complex Blind River
002,164s, ,15,6,0,2,2,,,,,,,,,,,0,0,0,25,42,Golden Birches Terrace Blind River
002,165, ,40,20,0,13,10,,,,,,,,,,,0,2,0,85,199,Blind River Community Complex Blind River
002,166, ,33,55,0,25,12,,,,,,,,,,,0,0,0,125,214,Algoma Mills Community Centre Algoma Mills
002,167, ,19,16,0,12,5,,,,,,,,,,,0,0,0,52,89,Spragge - Roy's Motel Spragge
002,169, ,65,40,0,5,11,,,,,,,,,,,1,0,0,122,326,Serpent River Community Hall Cutler
002,170, ,23,25,0,10,2,,,,,,,,,,,0,0,0,60,90,Rockhaven School Serpent River
002,171, ,57,27,2,7,1,,,,,,,,,,,0,0,0,94,175,Township of Spanish Municipal Office Spanish
002,172, ,58,48,1,20,2,,,,,,,,,,,0,0,0,129,199,Walford Community Hall Walford Station
002,173, ,8,11,0,3,2,,,,,,,,,,,1,0,0,25,54,Massey S. Geiger Public School Massey
002,175, ,35,29,0,9,5,,,,,,,,,,,0,1,1,80,190,Massey S. Geiger Public School Massey
002,176, ,45,43,2,12,7,,,,,,,,,,,1,0,0,110,234,Massey S. Geiger Public School Massey
002,177, ,45,54,1,15,5,,,,,,,,,,,0,0,0,120,361,Lee Valley Community Hall Massey
002,179, ,52,31,0,10,11,,,,,,,,,,,0,0,0,104,222,Whitefish Falls Community Centre Whitefish Falls
002,180, ,66,57,2,17,20,,,,,,,,,,,0,0,0,162,310,Espanola Community Complex Espanola
002,181, ,71,29,2,42,9,,,,,,,,,,,2,0,0,155,297,Blind River Community Complex Blind River
002,182, ,58,42,1,3,1,,,,,,,,,,,2,0,0,107,209,Township of Spanish Municipal Office Spanish
002,183, ,81,22,0,1,2,,,,,,,,,,,0,0,0,106,309,Sagamok Community Centre Sagamok
002,184, ,40,51,2,5,6,,,,,,,,,,,1,0,0,105,169,Whitefish River Community Centre Birch Island
002,185, ,62,30,0,10,9,,,,,,,,,,,1,0,0,112,275,Killarney Lion's Den Killarney
002,186, ,5,13,3,2,0,,,,,,,,,,,0,0,0,23,28,Meldrum Bay Community Hall Meldrum Bay
002,188, ,---------- COMBINED WITH POLL / COMBINÉ AVEC LE BUREAU DE VOTE 189 ----------,,,,,,,,,,,,,,,,,,,,Zhiibaahaasing Band Office Zhiibaahaasing 19a (Cockburn Island 19a)
002,189, ,25,29,0,2,2,,,,,,,,,,,2,1,0,61,114,Sheshegwaning Community Complex Sheshegwaning 20
002,192, ,73,69,2,30,13,,,,,,,,,,,1,0,0,188,387,Gordon Township Community Hall Gordon Township
002,193, ,89,57,2,27,9,,,,,,,,,,,1,1,0,186,380,Gore Bay Community Hall Gore Bay
002,194s, ,11,1,0,2,0,,,,,,,,,,,0,0,1,15,62,Manitoulin Lodge Gore Bay
002,195, ,71,40,0,20,4,,,,,,,,,,,2,4,0,141,240,Gore Bay Community Hall Gore Bay
002,196, ,29,31,2,21,8,,,,,,,,,,,1,0,0,92,127,Kagawong Park Centre Kagawong
002,197, ,69,53,1,27,8,,,,,,,,,,,0,0,1,159,269,Kagawong Park Centre Kagawong
002,198, ,20,17,1,2,2,,,,,,,,,,,0,1,0,43,222,Sucker Creek Community Centre Sucker Creek
002,200, ,50,33,0,20,6,,,,,,,,,,,0,0,0,109,464,Nemi Recreation Centre Little Current
002,201, ,73,44,3,17,9,,,,,,,,,,,1,0,0,147,192,Nemi Recreation Centre Little Current
002,202s, ,17,5,0,5,0,,,,,,,,,,,0,2,0,29,51,Manitoulin Centennial Manor Little Current
002,203, ,70,44,0,22,10,,,,,,,,,,,1,0,0,147,310,Nemi Recreation Centre Little Current
002,204, ,61,40,0,25,5,,,,,,,,,,,1,0,0,132,331,Nemi Recreation Centre Little Current
002,205, ,32,21,0,10,0,,,,,,,,,,,0,0,0,63,72,Silver Water Community Hall Silver Water
002,206, ,33,61,4,15,8,,,,,,,,,,,1,2,0,124,184,Evansville - Burpee Mills Municipal Complex Burpee and Mills
002,207, ,67,56,1,7,7,,,,,,,,,,,1,0,0,139,469,M'Chigeeng Community Centre M'Chigeeng 22 (West Bay 22)
002,208, ,58,23,0,17,12,,,,,,,,,,,0,0,0,110,157,Rockville Community Hall Rockville
002,209, ,---------- COMBINED WITH POLL / COMBINÉ AVEC LE BUREAU DE VOTE 210 ----------,,,,,,,,,,,,,,,,,,,,Sheguiandah First Nation Band Office Sheguiandah
002,210, ,71,76,0,29,12,,,,,,,,,,,0,0,0,188,340,Sheguiandah Senior Citizens Hall Sheguiandah
002,211, ,73,31,0,7,5,,,,,,,,,,,1,0,0,117,448,Wikwemikong Arena Wikwemikong Unceded 26
002,212s, ,26,7,0,3,0,,,,,,,,,,,0,0,0,36,54,Wikwemikong Nursing Home Wikwemikong Unceded 26
002,213, ,78,28,3,5,3,,,,,,,,,,,0,0,0,117,344,Wikwemikong Arena Wikwemikong Unceded 26
002,214, ,59,80,4,45,5,,,,,,,,,,,0,0,0,193,359,Spring Bay Community Hall Spring Bay
002,215, ,68,49,6,22,16,,,,,,,,,,,1,0,3,165,293,Providence Bay Centennial Hall Providence Bay
002,217, ,54,73,3,31,14,,,,,,,,,,,1,2,0,178,317,Township of Central Manitoulin Mindemoya
002,218, ,71,33,1,22,13,,,,,,,,,,,0,0,0,140,236,Township of Central Manitoulin Mindemoya
002,219, ,54,43,4,35,26,,,,,,,,,,,0,0,0,162,233,Big Lake Community Hall Mindemoya
002,220, ,118,65,5,44,14,,,,,,,,,,,0,0,0,246,462,Manitowaning-Assiginack Public School Manitowaning
002,221, ,22,24,2,13,4,,,,,,,,,,,1,0,0,66,140,Manitowaning-Assiginack Public School Manitowaning
002,222, ,71,60,7,37,11,,,,,,,,,,,3,1,0,190,308,Tehkummah Community Hall Tehkummah
002,223, ,52,23,1,5,3,,,,,,,,,,,0,0,0,84,186,Wikwemikong Kaboni St. Anthony Wikwemikong Unceded 26
002,400, ,34,51,0,18,5,,,,,,,,,,,0,0,0,108,184,3 Washington Crescent Elliot Lake
002,401, ,57,39,0,8,6,,,,,,,,,,,2,0,0,112,183,1 Washington Crescent Elliot Lake
002,402, ,62,68,3,17,9,,,,,,,,,,,0,0,0,159,259,100 Warsaw Place Elliot Lake
002,Advance Polls / Bureaux de vote par anticipation,,,,,,,,,,,,,,,,,,,,,,
002,Advanced Polls /  ADV001, ,137,84,5,106,8,,,,,,,,,,,0,2,0,342,0,Returning Office / Bureau du directeur du scrutin Thessalon 12
002,Advanced Polls /  ADV002, ,252,125,13,53,11,,,,,,,,,,,0,1,0,455,0,Blind River Community Complex Blind River
002,Advanced Polls /  ADV003, ,42,35,1,0,4,,,,,,,,,,,1,0,0,83,0,Dubreuilville Social and Cultural Centre Dubreuilville
002,Advanced Polls /  ADV004, ,214,197,1,60,25,,,,,,,,,,,2,0,0,499,0,Espanola Community Complex Espanola
002,Advanced Polls /  ADV005, ,95,147,1,53,18,,,,,,,,,,,0,2,0,316,0,Goulais River Captain Tilley's Community Centre Goulais River
002,Advanced Polls /  ADV006, ,187,116,17,48,23,,,,,,,,,,,0,3,0,394,0,Chapleau DSAB Chapleau
002,Advanced Polls /  ADV007, ,72,82,4,24,4,,,,,,,,,,,0,0,0,186,0,Manitouwadge Recreation Centre Manitouwadge
002,Advanced Polls /  ADV008, ,23,13,1,7,5,,,,,,,,,,,0,0,0,49,0,Killarney Lion's Den Killarney
002,Advanced Polls /  ADV009, ,33,54,1,3,0,,,,,,,,,,,0,0,0,91,0,White River Harmony Club White River
002,Advanced Polls /  ADV010, ,87,66,2,15,11,,,,,,,,,,,1,0,0,182,0,Hornepayne North Star Centre Complex Hornepayne
002,Advanced Polls /  ADV011, ,101,48,1,47,7,,,,,,,,,,,0,2,0,206,0,Town of Gore Bay Council Chambers Gore Bay
002,Advanced Polls /  ADV012, ,96,90,2,53,15,,,,,,,,,,,1,4,0,261,0,Echo Bay Elks Hall Echo Bay
002,Advanced Polls /  ADV013, ,666,388,15,229,51,,,,,,,,,,,3,1,0,1353,0,Paris Plaza Elliot Lake
002,Advanced Polls /  ADV014, ,121,70,3,37,9,,,,,,,,,,,0,1,1,242,0,Nemi Recreation Centre - Curling Club Little Current
002,Advanced Polls /  ADV015, ,99,108,4,37,19,,,,,,,,,,,1,0,0,268,0,Wawa Satellite Office / Bureau satellite Wawa
,,,,,,,,,,,,,,,,,,,,,,,
,Totals, ,11361,9863,354,3744,1374,,,,,,,,,,,103,63,11,26873,49314,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
