ED_CODE,ED_NAME,DUPUIS,GÉLINAS,GERMAIN,ST-DENIS,TWILLEY,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
056,NICKEL BELT,48,64,3,3,1,"Hanmer",018, ,0,0,0,119,230,"Knights of Columbus Hall",20071010
056,NICKEL BELT,45,76,5,0,7,"Hanmer",019A, ,0,0,0,133,302,"Knights of Columbus Hall",20071010
056,NICKEL BELT,56,85,4,2,4,"Hanmer",019B, ,0,0,0,151,354,"Knights of Columbus Hall",20071010
056,NICKEL BELT,67,123,13,2,6,"Hanmer",020, ,1,0,0,212,492,"Centennial Community Centre",20071010
056,NICKEL BELT,40,116,4,3,2,"Hanmer",021, ,0,0,0,165,437,"Centennial Community Centre",20071010
056,NICKEL BELT,40,99,0,1,3,"Hanmer",022A, ,1,0,0,144,334,"Centennial Community Centre",20071010
056,NICKEL BELT,28,87,5,1,4,"Hanmer",022B, ,0,0,0,125,266,"Centennial Community Centre",20071010
056,NICKEL BELT,78,112,14,3,2,"Hanmer",023, ,0,0,0,209,467,"Centennial Community Centre",20071010
056,NICKEL BELT,53,101,7,1,6,"Hanmer",024, ,0,0,0,168,330,"Golden Age Club of Valley East",20071010
056,NICKEL BELT,35,46,10,0,6,"Capreol",025, ,2,0,0,99,298,"Capreol Community Centre",20071010
056,NICKEL BELT,45,57,3,2,5,"Hanmer",026, ,0,0,0,112,307,"Golden Age Club of Valley East",20071010
056,NICKEL BELT,51,87,7,3,8,"Capreol",027, ,0,0,0,156,392,"Capreol Community Centre",20071010
056,NICKEL BELT,36,109,23,1,5,"Capreol",028, ,2,1,0,177,366,"Capreol Community Centre",20071010
056,NICKEL BELT,47,81,20,0,4,"Capreol",029, ,0,0,0,152,388,"Capreol Community Centre",20071010
056,NICKEL BELT,50,95,9,4,9,"Hanmer",030, ,0,1,0,168,399,"Golden Age Club of Valley East",20071010
056,NICKEL BELT,52,65,6,1,7,"Skead",031A, ,1,0,0,132,263,"Skead Senior Citizen Centre",20071010
056,NICKEL BELT,54,64,18,0,11,"Skead",031B, ,0,0,0,147,282,"Skead Senior Citizen Centre",20071010
056,NICKEL BELT,33,87,13,3,2,"Onaping",032, ,1,0,0,139,324,"Onaping Community Centre",20071010
056,NICKEL BELT,22,98,13,1,5,"Levack",033, ,1,0,1,141,301,"Levack Public School",20071010
056,NICKEL BELT,21,65,20,1,8,"Levack",034, ,1,1,0,117,262,"Levack Public School",20071010
056,NICKEL BELT,16,95,13,3,3,"Levack",035, ,0,0,0,130,340,"Levack Public School",20071010
056,NICKEL BELT,56,67,19,0,3,"Chelmsford",036, ,0,0,0,145,372,"Club 50",20071010
056,NICKEL BELT,65,82,22,2,9,"Azilda",037, ,0,1,0,181,417,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,84,73,13,2,1,"Val Caron",038, ,0,0,0,173,377,"Confederation Secondary School",20071010
056,NICKEL BELT,63,60,3,1,4,"Val Caron",039A, ,0,0,0,131,288,"Confederation Secondary School",20071010
056,NICKEL BELT,59,75,5,3,7,"Val Caron",039B, ,0,0,0,149,318,"Confederation Secondary School",20071010
056,NICKEL BELT,113,135,12,3,5,"Hanmer",040, ,0,0,1,269,570,"Valley East Recreation Centre",20071010
056,NICKEL BELT,47,88,10,3,4,"Val Caron",041, ,1,0,0,153,307,"Confederation Secondary School",20071010
056,NICKEL BELT,82,84,13,2,3,"Val Caron",042, ,0,0,0,184,358,"Confederation Secondary School",20071010
056,NICKEL BELT,24,11,6,1,0,"Val Caron",043s, ,0,0,0,42,130,"Elizabeth Centre",20071010
056,NICKEL BELT,97,104,10,4,5,"Val Caron",044, ,1,0,0,221,449,"Confederation Secondary School",20071010
056,NICKEL BELT,75,101,18,2,7,"Val Caron",045, ,0,1,0,204,456,"Confederation Secondary School",20071010
056,NICKEL BELT,94,74,11,3,9,"Val Caron",046, ,1,1,0,193,436,"Confederation Secondary School",20071010
056,NICKEL BELT,82,71,8,5,7,"Val Caron",047, ,1,0,0,174,350,"Confederation Secondary School",20071010
056,NICKEL BELT,54,87,10,3,2,"Val Caron",048, ,1,0,0,157,325,"Confederation Secondary School",20071010
056,NICKEL BELT,7,3,1,0,0,"Val Caron",049s, ,0,0,0,11,14,"Golden Years Retirement Home",20071010
056,NICKEL BELT,58,74,7,0,5,"Val Caron",050, ,0,0,0,144,327,"Confederation Secondary School",20071010
056,NICKEL BELT,64,67,7,0,4,"Hanmer",051, ,0,0,0,142,334,"Knights of Columbus Hall",20071010
056,NICKEL BELT,51,75,5,0,4,"Hanmer",052, ,0,0,0,135,264,"Knights of Columbus Hall",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Val Caron",053, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,53,69,13,0,2,"Val Caron",054, ,0,0,0,137,301,"Confederation Secondary School",20071010
056,NICKEL BELT,45,65,7,4,3,"Val Caron",055, ,0,0,0,124,257,"Confederation Secondary School",20071010
056,NICKEL BELT,112,88,23,4,7,"Hanmer",056, ,0,0,0,234,563,"Valley East Recreation Centre",20071010
056,NICKEL BELT,51,76,12,0,6,"Hanmer",057, ,0,0,0,145,348,"Knights of Columbus Hall",20071010
056,NICKEL BELT,100,84,14,0,4,"Hanmer",058, ,0,0,0,202,413,"Valley East Recreation Centre",20071010
056,NICKEL BELT,76,85,7,4,7,"Hanmer",059, ,3,0,0,182,393,"Knights of Columbus Hall",20071010
056,NICKEL BELT,79,103,9,2,5,"Hanmer",060, ,0,0,0,198,411,"Valley East Recreation Centre",20071010
056,NICKEL BELT,75,70,21,0,5,"Hanmer",061, ,5,0,0,176,411,"Valley East Recreation Centre",20071010
056,NICKEL BELT,49,76,3,3,3,"Val Caron",062, ,0,0,0,134,285,"Confederation Secondary School",20071010
056,NICKEL BELT,68,73,13,1,6,"Hanmer",063, ,0,0,0,161,410,"Valley East Recreation Centre",20071010
056,NICKEL BELT,63,61,8,0,4,"Val Caron",064, ,1,0,0,137,330,"Confederation Secondary School",20071010
056,NICKEL BELT,77,81,8,4,1,"Hanmer",065, ,1,0,0,172,339,"Centennial Community Centre",20071010
056,NICKEL BELT,48,50,6,0,4,"Hanmer",066, ,0,0,0,108,255,"Centennial Community Centre",20071010
056,NICKEL BELT,47,79,7,0,7,"Hanmer",067, ,2,1,0,143,342,"Golden Age Club of Valley East",20071010
056,NICKEL BELT,73,105,9,0,4,"Hanmer",068, ,0,0,0,191,386,"Golden Age Club of Valley East",20071010
056,NICKEL BELT,70,123,19,4,9,"Hanmer",069, ,0,0,0,225,475,"Golden Age Club of Valley East",20071010
056,NICKEL BELT,51,94,19,2,11,"Garson",070, ,1,0,0,178,463,"Garson Community Centre",20071010
056,NICKEL BELT,15,17,0,0,2,"Garson",071, ,0,0,0,34,152,"Garson Community Centre",20071010
056,NICKEL BELT,33,100,14,0,7,"Onaping",072, ,2,0,0,156,333,"Onaping Community Centre",20071010
056,NICKEL BELT,33,47,17,1,8,"Dowling",073, ,0,0,0,106,281,"Dowling Leisure Centre",20071010
056,NICKEL BELT,40,75,22,0,7,"Dowling",074, ,1,0,0,145,295,"Dowling Leisure Centre",20071010
056,NICKEL BELT,51,87,26,3,8,"Dowling",075, ,0,2,1,178,354,"Dowling Leisure Centre",20071010
056,NICKEL BELT,46,88,22,2,6,"Dowling",076, ,1,1,0,166,377,"Dowling Leisure Centre",20071010
056,NICKEL BELT,64,109,39,3,6,"Dowling",077, ,0,0,0,221,476,"Dowling Leisure Centre",20071010
056,NICKEL BELT,17,54,11,2,6,"Chelmsford",078, ,0,0,0,90,256,"Club 50",20071010
056,NICKEL BELT,43,66,24,0,2,"Chelmsford",079, ,0,0,0,135,330,"Club 50",20071010
056,NICKEL BELT,55,80,21,1,6,"Chelmsford",080, ,0,0,0,163,408,"Club 50",20071010
056,NICKEL BELT,29,82,8,2,2,"Chelmsford",081, ,0,0,0,123,313,"Club 50",20071010
056,NICKEL BELT,82,53,35,1,7,"Chelmsford",082, ,0,0,0,178,390,"Club 50",20071010
056,NICKEL BELT,20,55,15,2,5,"Chelmsford",083, ,2,0,2,101,224,"Club 50",20071010
056,NICKEL BELT,58,82,25,1,1,"Chelmsford",084, ,0,1,0,168,382,"Club 50",20071010
056,NICKEL BELT,56,124,19,5,9,"Chelmsford",085, ,0,0,0,213,566,"Club 50",20071010
056,NICKEL BELT,49,76,16,4,4,"Chelmsford",086, ,0,0,0,149,389,"Club 50",20071010
056,NICKEL BELT,66,80,29,0,1,"Chelmsford",087, ,0,0,0,176,367,"Club 50",20071010
056,NICKEL BELT,57,59,21,4,1,"Chelmsford",088, ,0,0,0,142,437,"Club 50",20071010
056,NICKEL BELT,61,93,26,5,4,"Chelmsford",089, ,1,0,0,190,546,"Club 50",20071010
056,NICKEL BELT,66,80,20,4,7,"Chelmsford",090, ,1,0,0,178,399,"Club 50",20071010
056,NICKEL BELT,90,102,16,3,4,"Chelmsford",091, ,0,1,0,216,491,"Club 50",20071010
056,NICKEL BELT,92,83,26,1,8,"Azilda",092A, ,0,0,0,210,443,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,81,63,17,4,1,"Azilda",092B, ,0,0,0,166,399,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,59,49,12,0,5,"Azilda",093, ,0,0,0,125,305,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,57,52,9,2,6,"Azilda",094, ,2,0,0,128,247,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,74,74,15,0,3,"Azilda",095, ,8,0,0,174,322,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,47,37,13,0,3,"Azilda",096, ,0,0,0,100,197,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,52,64,14,0,1,"Azilda",097, ,0,0,0,131,296,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,83,73,13,1,6,"Azilda",098, ,0,0,0,176,350,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,75,79,7,0,6,"Val Caron",099, ,0,0,0,167,355,"Confederation Secondary School",20071010
056,NICKEL BELT,18,65,3,2,6,"Val Caron",100, ,0,0,0,94,216,"Confederation Secondary School",20071010
056,NICKEL BELT,33,57,1,3,2,"Val Caron",101, ,0,0,0,96,241,"Confederation Secondary School",20071010
056,NICKEL BELT,57,27,9,2,3,"Garson",102, ,0,0,0,98,245,"Garson Community Centre",20071010
056,NICKEL BELT,37,71,14,0,6,"Garson",103, ,1,0,0,129,339,"Garson Community Centre",20071010
056,NICKEL BELT,44,38,11,0,3,"Garson",104, ,1,0,0,97,259,"Garson Community Centre",20071010
056,NICKEL BELT,78,102,13,3,4,"Garson",105, ,0,0,0,200,457,"Garson Community Centre",20071010
056,NICKEL BELT,35,71,9,2,7,"Garson",106, ,1,1,0,126,333,"Garson Community Centre",20071010
056,NICKEL BELT,58,98,23,1,8,"Garson",107, ,0,0,0,188,479,"Garson Community Centre",20071010
056,NICKEL BELT,67,42,15,0,8,"Garson",108, ,0,0,0,132,284,"Garson Community Centre",20071010
056,NICKEL BELT,23,57,2,0,4,"Garson",109, ,1,0,0,87,268,"Garson Community Centre",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Garson",110, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,66,35,6,1,2,"Garson",111, ,0,0,0,110,289,"Garson Community Centre",20071010
056,NICKEL BELT,19,51,7,0,5,"Garson",112, ,1,0,0,83,208,"Garson Community Centre",20071010
056,NICKEL BELT,83,117,15,2,3,"Garson",113, ,0,0,0,220,449,"Garson Community Centre",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Garson",114, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,40,44,9,0,3,"Garson",115, ,0,0,0,96,217,"Garson Community Centre",20071010
056,NICKEL BELT,19,67,7,3,4,"Garson",116, ,0,0,0,100,299,"Garson Community Centre",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Garson",117, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,34,62,9,1,9,"Garson",118, ,0,0,0,115,322,"Garson Community Centre",20071010
056,NICKEL BELT,38,52,11,0,6,"Garson",119, ,0,0,0,107,247,"Garson Community Centre",20071010
056,NICKEL BELT,36,65,7,1,7,"Falconbridge",120, ,0,0,0,116,266,"Falconbridge Community Centre",20071010
056,NICKEL BELT,38,73,9,1,9,"Falconbridge",121, ,0,0,0,130,271,"Falconbridge Community Centre",20071010
056,NICKEL BELT,37,42,11,1,3,"Dowling",122, ,0,0,0,94,281,"Dowling Leisure Centre",20071010
056,NICKEL BELT,25,66,11,2,1,"Chelmsford",123, ,0,0,0,105,286,"Club 50",20071010
056,NICKEL BELT,52,90,17,4,4,"Chelmsford",124A, ,0,0,0,167,331,"Club 50",20071010
056,NICKEL BELT,59,63,14,5,4,"Chelmsford",124B, ,1,0,0,146,314,"Club 50",20071010
056,NICKEL BELT,66,63,24,5,7,"Azilda",125, ,0,0,0,165,360,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,67,101,13,2,8,"Azilda",126, ,2,2,0,195,390,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,52,67,11,1,6,"Azilda",127, ,0,0,0,137,277,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,79,57,17,3,8,"Azilda",128, ,0,0,0,164,308,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,82,56,9,3,2,"Azilda",129, ,0,0,0,152,268,"Dr. Edgar Leclair Community Centre",20071010
056,NICKEL BELT,93,84,5,0,4,"Coniston",130, ,1,1,0,188,378,"St. Paul the Apostle Catholic School",20071010
056,NICKEL BELT,61,66,9,0,5,"Coniston",131, ,4,0,0,145,302,"St. Paul the Apostle Catholic School",20071010
056,NICKEL BELT,70,86,16,3,12,"Garson",132, ,0,0,0,187,450,"Garson Community Centre",20071010
056,NICKEL BELT,89,116,16,1,15,"Coniston",133, ,1,2,0,240,430,"St. Paul the Apostle Catholic School",20071010
056,NICKEL BELT,48,69,3,1,1,"Wahnapitae",134, ,1,0,0,123,327,"Wahnapitae Community Centre",20071010
056,NICKEL BELT,38,60,2,1,7,"Wahnapitae",135, ,0,0,0,108,252,"Wahnapitae Community Centre",20071010
056,NICKEL BELT,44,49,10,4,7,"Wahnapitae",136, ,1,0,1,116,285,"Wahnapitae Community Centre",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Worthington",137, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,51,49,20,0,9,"Lively",138, ,0,0,0,129,248,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,38,37,8,1,8,"Lively",139, ,2,0,0,94,250,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,103,55,23,3,13,"Sudbury",140, ,0,0,0,197,389,"Lockerby Legion Branch 564",20071010
056,NICKEL BELT,105,43,25,4,10,"Sudbury",141, ,0,1,0,188,389,"Lockerby Legion Branch 564",20071010
056,NICKEL BELT,83,79,26,3,8,"Sudbury",142, ,0,0,0,199,392,"Lockerby Legion Branch 564",20071010
056,NICKEL BELT,143,39,25,1,12,"Sudbury",143, ,0,0,0,220,450,"St. Benedict's Catholic Secondary School",20071010
056,NICKEL BELT,144,63,32,1,9,"Sudbury",144, ,0,1,0,250,487,"St. Benedict's Catholic Secondary School",20071010
056,NICKEL BELT,102,89,9,0,2,"Coniston",145, ,2,0,0,204,417,"St. Paul the Apostle Catholic School",20071010
056,NICKEL BELT,28,55,5,1,2,"Coniston",146, ,2,0,0,93,242,"St. Paul the Apostle Catholic School",20071010
056,NICKEL BELT,63,87,13,1,12,"Wahnapitae",147, ,1,0,0,177,431,"Wahnapitae Community Centre",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Wahnapitae",148, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,28,66,14,2,7,"Whitefish",149, ,0,0,0,117,269,"R.H. Murray Public School",20071010
056,NICKEL BELT,83,111,32,1,17,"Naughton",150, ,0,0,0,244,445,"Naughton Community Centre",20071010
056,NICKEL BELT,64,86,32,0,26,"Naughton",151, ,3,0,0,211,423,"Naughton Community Centre",20071010
056,NICKEL BELT,53,74,18,2,10,"Lively",152, ,0,0,0,157,300,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,82,103,32,1,10,"Lively",153, ,0,0,0,228,502,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,85,60,37,11,0,"Lively",154, ,1,0,0,194,395,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,63,72,17,0,26,"Lively",155, ,0,0,1,179,366,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,83,70,27,0,15,"Lively",156, ,3,0,0,198,336,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,53,50,14,1,6,"Lively",157, ,0,0,0,124,308,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,11,10,2,0,1,"Lively",158s, ,0,0,0,24,158,"Meadowbrook Village",20071010
056,NICKEL BELT,60,61,15,2,10,"Lively",159, ,0,0,0,148,289,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,85,87,24,5,14,"Lively",160, ,1,1,0,217,407,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Lively",161, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,83,61,26,1,12,"Lively",162, ,1,0,0,184,400,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,111,62,34,1,21,"Lively",163, ,0,0,0,229,455,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,99,52,41,3,7,"Lively",164, ,1,0,0,203,405,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,115,46,44,1,19,"Sudbury",165, ,2,0,0,227,410,"Lockerby Legion Branch 564",20071010
056,NICKEL BELT,75,43,21,2,12,"Sudbury",166, ,0,0,0,153,307,"Lockerby Legion Branch 564",20071010
056,NICKEL BELT,103,62,37,4,13,"Sudbury",167, ,0,1,0,220,438,"Lockerby Legion Branch 564",20071010
056,NICKEL BELT,127,56,31,3,17,"Sudbury",168, ,2,0,0,236,461,"St. Benedict's Catholic Secondary School",20071010
056,NICKEL BELT,73,48,10,0,9,"Sudbury",169, ,0,0,0,140,278,"St. Christopher Catholic School",20071010
056,NICKEL BELT,56,36,22,0,4,"Sudbury",170, ,0,0,0,118,266,"Lockerby Legion Branch 564",20071010
056,NICKEL BELT,41,44,10,4,15,"Sudbury",171, ,0,0,0,114,284,"St. Christopher Catholic School",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Sudbury",172, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,52,102,17,1,11,"Sudbury",173, ,1,1,0,185,467,"Wanup Public School",20071010
056,NICKEL BELT,51,101,34,1,19,"Whitefish",174, ,0,0,0,206,440,"R.H. Murray Public School",20071010
056,NICKEL BELT,47,107,23,1,8,"Whitefish",175, ,1,0,0,187,356,"R.H. Murray Public School",20071010
056,NICKEL BELT,89,66,45,1,19,"Lively",176, ,0,0,0,220,445,"T.M. Davies Community Centre",20071010
056,NICKEL BELT,157,59,49,2,20,"Sudbury",177, ,0,0,0,287,574,"Lockerby Legion Branch 564",20071010
056,NICKEL BELT,59,85,22,4,25,"Sudbury",178, ,1,1,0,197,467,"Wanup Public School",20071010
056,NICKEL BELT,43,94,20,2,13,"Worthington",179, ,0,0,0,172,370,"Beaver Lake Sports and Cultural Club",20071010
056,NICKEL BELT,31,60,3,0,0,"Naughton",180, ,0,0,0,94,219,"Whitefish Lake First Nation",20071010
056,NICKEL BELT,82,88,25,5,15,"Sudbury",181, ,0,1,0,216,452,"Wanup Public School",20071010
056,NICKEL BELT,108,90,23,1,7,"Alban",182, ,1,0,1,231,558,"Alban Community Centre",20071010
056,NICKEL BELT,23,32,10,2,6,"Whitefish",183, ,1,1,0,75,200,"Penage Road Community Centre",20071010
056,NICKEL BELT,..........................NO POLL HELD........................,,,,,"Alban",183-1, ,0,0,0,0,0,"",20071010
056,NICKEL BELT,53,57,36,0,10,"Alban",184, ,0,1,0,157,312,"Alban Community Centre",20071010
056,NICKEL BELT,204,236,58,6,16,"Chelmsford",Advanced Polls /  ADV001, ,2,0,2,524,0,"Returning Office / Bureau du directeur du scrutin",20071010
056,NICKEL BELT,9,56,9,1,2,"Foleyet",Advanced Polls /  ADV002, ,0,0,0,77,0,"Foleyet Community Centre",20071010
056,NICKEL BELT,36,38,5,0,2,"Gogama",Advanced Polls /  ADV003, ,0,0,0,81,0,"Gogama Community Centre",20071010
056,NICKEL BELT,78,181,51,4,15,"Dowling",Advanced Polls /  ADV004, ,1,0,0,330,0,"Dowling Leisure Centre",20071010
056,NICKEL BELT,349,405,112,7,14,"Chelmsford",Advanced Polls /  ADV005, ,4,0,0,891,0,"Place Bonaventure Mall",20071010
056,NICKEL BELT,589,617,84,16,46,"Hanmer",Advanced Polls /  ADV006, ,6,0,1,1359,0,"Valley East Recreation Centre",20071010
056,NICKEL BELT,93,227,33,1,18,"Capreol",Advanced Polls /  ADV007, ,0,1,0,373,0,"Capreol Community Centre",20071010
056,NICKEL BELT,173,258,64,1,16,"Garson",Advanced Polls /  ADV008, ,2,0,0,514,0,"Garson Community Centre",20071010
056,NICKEL BELT,149,83,63,0,21,"Sudbury",Advanced Polls /  ADV009, ,0,0,0,316,0,"St. Benedict's Catholic Secondary School",20071010
056,NICKEL BELT,28,47,9,0,4,"Sudbury",Advanced Polls /  ADV010, ,0,0,0,88,0,"Wanup Public School",20071010
056,NICKEL BELT,65,48,13,1,1,"Alban",Advanced Polls /  ADV011, ,0,0,0,128,0,"Sudbury East Day Services",20071010
056,NICKEL BELT,215,237,105,10,41,"Lively",Advanced Polls /  ADV012, ,1,2,0,611,0,"Meadowbrook Village",20071010
TOTALS:, ,12364,15126,3263,341,1374, , , , , , , , , , 
