ED_CODE,ED_NAME,CIOPPA,DAGENAIS,LARTER,MEILLEUR,POOLE,POULIN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
065,OTTAWA--VANIER,1,10,0,54,20,30,"Ottawa",042, ,1,1,0,117,262,"Brittany Park Recreation Center",20071010
065,OTTAWA--VANIER,2,12,1,59,17,22,"Ottawa",043, ,0,0,0,113,280,"CFB Rockcliffe",20071010
065,OTTAWA--VANIER,1,3,0,39,1,6,"Ottawa",043-1s, ,0,1,0,51,123,"CSLD Montfort",20071010
065,OTTAWA--VANIER,0,4,0,63,3,14,"Ottawa",044, ,0,0,0,84,156,"Coopérative d'habitation Desloges",20071010
065,OTTAWA--VANIER,4,21,1,53,15,28,"Ottawa",045, ,1,1,1,125,271,"Collège catholique Samuel-Genest",20071010
065,OTTAWA--VANIER,3,13,2,78,13,29,"Ottawa",046, ,0,0,0,138,415,"Collège catholique Samuel-Genest",20071010
065,OTTAWA--VANIER,0,15,1,45,6,24,"Ottawa",047, ,0,0,0,91,263,"Collège catholique Samuel-Genest",20071010
065,OTTAWA--VANIER,3,12,1,51,2,20,"Ottawa",048, ,0,0,0,89,242,"Collège catholique Samuel-Genest",20071010
065,OTTAWA--VANIER,0,14,0,57,17,65,"Ottawa",049, ,0,0,0,153,309,"St. Brigid Catholic School",20071010
065,OTTAWA--VANIER,0,0,0,48,0,0,"Ottawa",050s, ,1,1,0,50,78,"Mont St-Joseph",20071010
065,OTTAWA--VANIER,0,22,0,51,14,40,"Ottawa",051, ,1,0,0,128,260,"St. Brigid Catholic School",20071010
065,OTTAWA--VANIER,1,25,0,94,41,45,"Ottawa",052, ,0,0,0,206,381,"St. Brigid Catholic School",20071010
065,OTTAWA--VANIER,0,19,0,62,25,34,"Ottawa",053, ,0,0,0,140,288,"St. Brigid Catholic School",20071010
065,OTTAWA--VANIER,1,22,1,46,14,11,"Ottawa",054, ,0,0,0,95,248,"Centre Communautaire Richelieu-Vanier",20071010
065,OTTAWA--VANIER,3,10,1,43,7,25,"Ottawa",055, ,0,0,0,89,233,"Centre Communautaire Richelieu-Vanier",20071010
065,OTTAWA--VANIER,1,11,0,30,7,15,"Ottawa",056, ,2,0,0,66,185,"Centre Communautaire Richelieu-Vanier",20071010
065,OTTAWA--VANIER,0,3,2,61,0,5,"Ottawa",057s, ,1,0,0,72,159,"Centre d'accueil Champlain",20071010
065,OTTAWA--VANIER,1,0,0,6,0,1,"Ottawa",058s, ,0,0,0,8,23,"Duford Residence",20071010
065,OTTAWA--VANIER,1,12,2,68,10,37,"Ottawa",059, ,0,0,0,130,272,"Centre Communautaire Richelieu-Vanier",20071010
065,OTTAWA--VANIER,0,21,1,74,18,39,"Ottawa",060, ,0,0,0,153,249,"Église Notre-Dame-de-lourdes",20071010
065,OTTAWA--VANIER,0,19,1,96,22,40,"Ottawa",061, ,1,0,0,179,331,"Église Notre-Dame-de-lourdes",20071010
065,OTTAWA--VANIER,0,4,0,22,1,14,"Ottawa",062, ,0,0,0,41,118,"Queen Elizabeth Public School",20071010
065,OTTAWA--VANIER,1,6,1,126,2,7,"Ottawa",063s, ,1,0,0,144,179,"Heritage Manor",20071010
065,OTTAWA--VANIER,2,15,0,36,5,13,"Ottawa",064, ,0,0,0,71,236,"Queen Elizabeth Public School",20071010
065,OTTAWA--VANIER,0,20,1,114,11,39,"Ottawa",065, ,0,0,0,185,432,"Collège catholique Samuel-Genest",20071010
065,OTTAWA--VANIER,0,5,0,5,0,1,"Ottawa",066, ,0,0,0,11,39,"Carson Grove Elementary School",20071010
065,OTTAWA--VANIER,0,30,0,61,24,39,"Ottawa",067, ,0,2,0,156,311,"Stanley Park Field House",20071010
065,OTTAWA--VANIER,1,27,1,77,26,23,"Ottawa",068, ,0,0,0,155,347,"Stanley Park Field House",20071010
065,OTTAWA--VANIER,0,28,0,66,25,36,"Ottawa",069, ,0,0,0,155,318,"Mackay United Church of Canada",20071010
065,OTTAWA--VANIER,2,23,1,66,46,32,"Ottawa",070, ,0,0,0,170,331,"Mackay United Church of Canada",20071010
065,OTTAWA--VANIER,1,32,0,41,22,19,"Ottawa",071, ,0,0,0,115,286,"Mackay United Church of Canada",20071010
065,OTTAWA--VANIER,..........................NO POLL HELD........................,,,,,,"Ottawa",072, ,0,0,0,0,0,"",20071010
065,OTTAWA--VANIER,0,20,0,45,22,36,"Ottawa",073, ,0,0,0,123,260,"St. Brigid Catholic School",20071010
065,OTTAWA--VANIER,0,43,3,44,38,20,"Ottawa",074, ,0,0,1,149,277,"Mackay United Church of Canada",20071010
065,OTTAWA--VANIER,0,11,1,48,9,13,"Ottawa",075, ,1,0,1,84,229,"École élémentaire publique Le Trillium",20071010
065,OTTAWA--VANIER,0,12,0,42,25,14,"Ottawa",076, ,0,0,0,93,238,"St. Brigid Catholic School",20071010
065,OTTAWA--VANIER,0,19,1,30,11,7,"Ottawa",077, ,0,0,0,68,186,"École élémentaire publique Le Trillium",20071010
065,OTTAWA--VANIER,1,17,0,36,12,24,"Ottawa",078, ,0,0,0,90,265,"École élémentaire publique Le Trillium",20071010
065,OTTAWA--VANIER,0,5,0,35,14,12,"Ottawa",079, ,0,1,0,67,211,"Centre Communautaire Richelieu-Vanier",20071010
065,OTTAWA--VANIER,0,0,1,10,0,0,"Ottawa",080s, ,0,0,0,11,14,"Residence Mon Plaisir",20071010
065,OTTAWA--VANIER,0,21,2,44,4,19,"Ottawa",081, ,0,0,0,90,228,"École élémentaire publique Le Trillium",20071010
065,OTTAWA--VANIER,0,12,2,43,9,17,"Ottawa",082, ,0,0,0,83,227,"Centre Communautaire Richelieu-Vanier",20071010
065,OTTAWA--VANIER,1,23,0,53,21,27,"Ottawa",083, ,0,0,0,125,267,"Centre Communautaire Richelieu-Vanier",20071010
065,OTTAWA--VANIER,1,16,0,47,9,13,"Ottawa",084, ,0,0,0,86,217,"Église Notre-Dame-de-lourdes",20071010
065,OTTAWA--VANIER,0,16,0,32,10,23,"Ottawa",085, ,0,0,0,81,263,"Église Notre-Dame-de-lourdes",20071010
065,OTTAWA--VANIER,0,11,0,58,11,29,"Ottawa",086, ,1,0,0,110,239,"Centre Communautaire Richelieu-Vanier",20071010
065,OTTAWA--VANIER,1,7,1,43,7,12,"Ottawa",087, ,0,0,0,71,229,"Église Notre-Dame-de-lourdes",20071010
065,OTTAWA--VANIER,0,0,0,85,0,1,"Ottawa",088s, ,2,0,0,88,114,"Maison de la Sagesse",20071010
065,OTTAWA--VANIER,1,19,2,138,12,46,"Ottawa",089, ,0,0,0,218,390,"St. Laurent Complex",20071010
065,OTTAWA--VANIER,0,11,2,53,8,32,"Ottawa",090, ,0,0,1,107,339,"Queen Elizabeth Public School",20071010
065,OTTAWA--VANIER,2,16,1,68,12,41,"Ottawa",091, ,0,0,0,140,361,"Queen Elizabeth Public School",20071010
065,OTTAWA--VANIER,0,16,1,73,9,37,"Ottawa",092, ,1,0,0,137,392,"Our Lady of Mount Carmel School",20071010
065,OTTAWA--VANIER,0,17,0,121,9,54,"Ottawa",093, ,2,1,0,204,458,"Collège catholique Samuel-Genest",20071010
065,OTTAWA--VANIER,8,25,0,25,22,71,"Ottawa",094, ,0,0,0,151,469,"Carson Grove Elementary School",20071010
065,OTTAWA--VANIER,0,9,0,32,2,12,"Ottawa",095, ,0,0,0,55,100,"Cyrville Community Centre",20071010
065,OTTAWA--VANIER,0,4,1,25,2,12,"Ottawa",096s, ,0,0,0,44,74,"Governor Walk Retirement Home",20071010
065,OTTAWA--VANIER,0,25,0,64,38,24,"Ottawa",097, ,0,1,0,152,260,"Stanley Park Field House",20071010
065,OTTAWA--VANIER,0,3,0,45,5,13,"Ottawa",098s, ,0,0,2,68,186,"Gary G. Armstrong",20071010
065,OTTAWA--VANIER,0,20,0,53,12,22,"Ottawa",099, ,0,0,0,107,233,"Mackay United Church of Canada",20071010
065,OTTAWA--VANIER,0,4,1,20,2,16,"Ottawa",100s, ,0,0,0,43,62,"The Edinburgh",20071010
065,OTTAWA--VANIER,0,9,0,50,1,33,"Ottawa",101s, ,0,0,1,94,126,"New Edinburgh Square",20071010
065,OTTAWA--VANIER,1,14,0,51,18,14,"Ottawa",102, ,0,0,0,98,212,"École élémentaire publique Le Trillium",20071010
065,OTTAWA--VANIER,1,16,0,40,12,17,"Ottawa",103, ,0,0,0,86,178,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,0,21,1,49,13,23,"Ottawa",104, ,1,0,0,108,230,"École élémentaire publique Le Trillium",20071010
065,OTTAWA--VANIER,0,11,0,31,4,16,"Ottawa",105, ,0,0,0,62,182,"Centre Francophone de Vanier",20071010
065,OTTAWA--VANIER,0,10,1,56,8,14,"Ottawa",106, ,0,0,1,90,225,"Centre Francophone de Vanier",20071010
065,OTTAWA--VANIER,1,18,0,30,7,11,"Ottawa",107, ,0,0,0,67,225,"Centre Francophone de Vanier",20071010
065,OTTAWA--VANIER,0,4,0,26,5,9,"Ottawa",108, ,0,0,0,44,164,"Centre Francophone de Vanier",20071010
065,OTTAWA--VANIER,1,11,0,39,9,12,"Ottawa",109, ,0,0,0,72,183,"Centre Francophone de Vanier",20071010
065,OTTAWA--VANIER,0,2,1,22,1,4,"Ottawa",110s, ,2,0,0,32,51,"Fatima Manor",20071010
065,OTTAWA--VANIER,0,9,1,35,5,17,"Ottawa",111, ,0,0,0,67,197,"Centre Francophone de Vanier",20071010
065,OTTAWA--VANIER,1,9,1,31,9,14,"Ottawa",112, ,0,0,0,65,166,"Centre Francophone de Vanier",20071010
065,OTTAWA--VANIER,0,5,0,39,10,10,"Ottawa",113, ,1,0,0,65,212,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,1,15,1,32,7,10,"Ottawa",114, ,1,0,0,67,235,"Église Notre-Dame-de-lourdes",20071010
065,OTTAWA--VANIER,1,15,0,41,2,11,"Ottawa",115, ,0,0,0,70,237,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,2,12,0,68,9,25,"Ottawa",116, ,0,0,0,116,288,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,0,12,0,56,11,24,"Ottawa",117, ,0,0,0,103,267,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,1,6,0,53,5,12,"Ottawa",118, ,0,0,0,77,271,"St. Laurent Complex",20071010
065,OTTAWA--VANIER,0,22,1,51,8,42,"Ottawa",119, ,0,0,0,124,278,"St. Laurent Complex",20071010
065,OTTAWA--VANIER,0,6,1,39,4,29,"Ottawa",120, ,0,0,0,79,171,"Our Lady of Mount Carmel School",20071010
065,OTTAWA--VANIER,3,15,1,93,15,49,"Ottawa",121, ,0,1,0,177,393,"Our Lady of Mount Carmel School",20071010
065,OTTAWA--VANIER,2,16,1,58,5,26,"Ottawa",122, ,0,0,0,108,368,"Our Lady of Mount Carmel School",20071010
065,OTTAWA--VANIER,2,21,1,128,21,58,"Ottawa",123, ,1,0,0,232,398,"Carson Grove Elementary School",20071010
065,OTTAWA--VANIER,0,17,0,117,10,39,"Ottawa",124, ,1,0,0,184,365,"Carson Grove Elementary School",20071010
065,OTTAWA--VANIER,2,25,2,135,10,87,"Ottawa",125, ,0,1,0,262,402,"Carson Grove Elementary School",20071010
065,OTTAWA--VANIER,3,22,0,95,13,53,"Ottawa",126, ,0,0,0,186,373,"Carson Grove Elementary School",20071010
065,OTTAWA--VANIER,0,3,1,23,1,13,"Ottawa",127s, ,1,0,0,42,54,"Camilla Gardens",20071010
065,OTTAWA--VANIER,0,25,1,97,28,37,"Ottawa",128, ,0,0,1,189,427,"Centre Communautaire Routhier",20071010
065,OTTAWA--VANIER,0,34,0,53,19,18,"Ottawa",129, ,0,0,0,124,275,"Centre Communautaire Routhier",20071010
065,OTTAWA--VANIER,0,25,2,69,21,23,"Ottawa",130, ,2,0,0,142,302,"Centre Communautaire Routhier",20071010
065,OTTAWA--VANIER,1,41,1,64,19,16,"Ottawa",131, ,1,0,0,143,286,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,3,11,0,87,21,20,"Ottawa",132, ,0,0,0,142,286,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,1,31,0,48,34,16,"Ottawa",133, ,0,0,0,130,279,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,0,28,0,53,13,14,"Ottawa",134, ,0,2,0,110,220,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,10,22,0,57,17,32,"Ottawa",135, ,0,0,0,138,302,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,0,23,1,62,13,14,"Ottawa",136, ,0,1,0,114,274,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,1,14,0,52,8,16,"Ottawa",137, ,0,0,0,91,240,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,4,16,1,36,4,17,"Ottawa",138, ,0,1,0,79,216,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,1,10,4,28,3,7,"Ottawa",139, ,0,0,0,53,209,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,0,10,1,20,2,5,"Ottawa",140, ,3,0,0,41,169,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,0,15,1,32,5,20,"Ottawa",141, ,0,1,0,74,221,"Robert E. Wilson Public School",20071010
065,OTTAWA--VANIER,0,11,0,29,6,15,"Ottawa",142, ,0,0,0,61,188,"Robert E. Wilson Public School",20071010
065,OTTAWA--VANIER,3,19,0,38,7,23,"Ottawa",143, ,2,1,0,93,319,"Robert E. Wilson Public School",20071010
065,OTTAWA--VANIER,1,13,4,59,7,33,"Ottawa",144, ,0,0,0,117,295,"Robert E. Wilson Public School",20071010
065,OTTAWA--VANIER,1,6,1,61,8,14,"Ottawa",145, ,2,2,0,95,252,"Robert E. Wilson Public School",20071010
065,OTTAWA--VANIER,3,14,0,64,2,27,"Ottawa",146, ,0,0,0,110,390,"Our Lady of Mount Carmel School",20071010
065,OTTAWA--VANIER,0,39,1,133,15,24,"Ottawa",147, ,0,0,0,212,609,"Knights of Columbus",20071010
065,OTTAWA--VANIER,2,11,0,106,12,58,"Ottawa",148, ,0,0,0,189,372,"Carson Grove Elementary School",20071010
065,OTTAWA--VANIER,1,2,1,39,0,5,"Ottawa",149s, ,0,0,0,48,59,"Ogilvie Villa",20071010
065,OTTAWA--VANIER,8,10,0,37,5,17,"Ottawa",150, ,0,1,0,78,206,"Cyrville Community Centre",20071010
065,OTTAWA--VANIER,0,21,0,54,9,28,"Ottawa",151, ,0,0,0,112,264,"Cyrville Community Centre",20071010
065,OTTAWA--VANIER,2,16,1,67,20,44,"Ottawa",152, ,0,0,0,150,369,"John Paul II Catholic Secondary School",20071010
065,OTTAWA--VANIER,1,6,0,47,13,17,"Ottawa",153, ,0,0,0,84,172,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,1,1,0,106,1,2,"Ottawa",154s, ,1,0,0,112,126,"Les Soeurs de la Charité",20071010
065,OTTAWA--VANIER,0,5,0,29,1,9,"Ottawa",155s, ,0,0,2,46,137,"Villa Marguerite",20071010
065,OTTAWA--VANIER,1,26,1,73,22,16,"Ottawa",156, ,0,0,0,139,287,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,0,30,0,49,10,13,"Ottawa",157, ,0,0,1,103,195,"Centre Communautaire Routhier",20071010
065,OTTAWA--VANIER,1,4,0,19,0,2,"Ottawa",158s, ,0,0,0,26,38,"Manoir Belanger",20071010
065,OTTAWA--VANIER,1,35,1,63,22,16,"Ottawa",159, ,1,0,0,139,302,"Centre Communautaire Routhier",20071010
065,OTTAWA--VANIER,0,20,1,63,31,18,"Ottawa",160, ,2,1,0,136,268,"Centre Communautaire Routhier",20071010
065,OTTAWA--VANIER,0,14,0,21,9,8,"Ottawa",161, ,1,2,3,58,149,"Centre Communautaire Routhier",20071010
065,OTTAWA--VANIER,0,27,0,40,17,20,"Ottawa",162, ,0,0,0,104,348,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,1,16,2,57,22,24,"Ottawa",163, ,1,0,0,123,269,"Centre Communautaire Routhier",20071010
065,OTTAWA--VANIER,0,17,2,36,15,7,"Ottawa",164, ,1,0,0,78,241,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,0,21,0,27,13,7,"Ottawa",165, ,0,0,0,68,224,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,1,21,1,39,7,9,"Ottawa",166, ,1,0,0,79,311,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,1,18,1,32,11,6,"Ottawa",167, ,0,0,0,69,245,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,2,19,1,22,1,6,"Ottawa",168, ,0,0,0,51,207,"York Street Public School",20071010
065,OTTAWA--VANIER,0,15,0,56,0,18,"Ottawa",169s, ,3,0,0,92,136,"Jardins Rideau Gardens",20071010
065,OTTAWA--VANIER,1,15,1,45,14,4,"Ottawa",170, ,0,0,0,80,201,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,1,35,0,35,21,12,"Ottawa",171, ,0,0,0,104,246,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,0,34,0,58,27,16,"Ottawa",172, ,1,0,0,136,268,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,0,30,0,44,30,17,"Ottawa",173, ,0,0,0,121,266,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,0,17,0,43,27,10,"Ottawa",174, ,0,1,0,98,267,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,0,5,1,44,2,16,"Ottawa",175s, ,0,2,0,70,110,"Rideau Place on-the-River",20071010
065,OTTAWA--VANIER,2,19,0,46,16,16,"Ottawa",176, ,0,0,0,99,279,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,2,6,0,42,1,22,"Ottawa",177s, ,0,2,1,76,127,"Edgewood Care Centre",20071010
065,OTTAWA--VANIER,0,14,1,19,2,2,"Ottawa",178, ,0,0,0,38,154,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,0,8,2,61,3,20,"Ottawa",179, ,3,0,0,97,290,"St. Mary's Home",20071010
065,OTTAWA--VANIER,0,14,0,26,6,13,"Ottawa",180, ,0,0,0,59,214,"St. Mary's Home",20071010
065,OTTAWA--VANIER,1,15,3,48,12,16,"Ottawa",181, ,1,0,0,96,289,"St. Mary's Home",20071010
065,OTTAWA--VANIER,1,25,2,83,14,28,"Ottawa",182, ,0,0,0,153,379,"Robert E. Wilson Public School",20071010
065,OTTAWA--VANIER,0,15,1,88,12,34,"Ottawa",183, ,1,0,0,151,385,"Queen Mary Street Public School",20071010
065,OTTAWA--VANIER,1,24,2,86,9,35,"Ottawa",184, ,1,0,0,158,364,"Queen Mary Street Public School",20071010
065,OTTAWA--VANIER,6,16,0,87,9,59,"Ottawa",185, ,0,0,0,177,411,"Cyrville Community Centre",20071010
065,OTTAWA--VANIER,3,32,0,70,10,43,"Ottawa",186, ,0,0,0,158,351,"Cyrville Community Centre",20071010
065,OTTAWA--VANIER,1,16,0,77,5,50,"Ottawa",187, ,1,1,0,151,294,"John Paul II Catholic Secondary School",20071010
065,OTTAWA--VANIER,1,13,1,80,4,42,"Ottawa",188, ,0,0,1,142,372,"John Paul II Catholic Secondary School",20071010
065,OTTAWA--VANIER,1,16,2,52,15,19,"Ottawa",189, ,0,0,0,105,286,"Centre Communautaire Routhier",20071010
065,OTTAWA--VANIER,0,15,0,34,18,15,"Ottawa",190, ,0,0,0,82,213,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,0,1,1,20,0,2,"Ottawa",191s, ,1,0,0,25,39,"Manoir Gallien",20071010
065,OTTAWA--VANIER,0,20,1,30,15,12,"Ottawa",192, ,0,0,0,78,187,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,0,21,1,83,23,30,"Ottawa",193, ,0,1,0,159,413,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,0,33,0,25,4,6,"Ottawa",194, ,1,0,2,71,199,"Centre de service Guigues",20071010
065,OTTAWA--VANIER,0,36,0,70,25,23,"Ottawa",195, ,1,1,0,156,211,"Église Sacré-coeur",20071010
065,OTTAWA--VANIER,1,34,0,52,25,12,"Ottawa",196, ,0,0,1,125,164,"Église Sacré-coeur",20071010
065,OTTAWA--VANIER,15,14,2,31,15,12,"Ottawa",197, ,0,0,0,89,170,"York Street Public School",20071010
065,OTTAWA--VANIER,0,36,0,42,22,14,"Ottawa",198, ,1,0,0,115,350,"York Street Public School",20071010
065,OTTAWA--VANIER,0,26,0,31,19,10,"Ottawa",199, ,0,0,0,86,203,"York Street Public School",20071010
065,OTTAWA--VANIER,0,20,1,23,8,11,"Ottawa",200, ,0,0,0,63,206,"York Street Public School",20071010
065,OTTAWA--VANIER,0,0,1,21,4,7,"Ottawa",201s, ,0,0,0,33,42,"Sandy Hill Retirement Residence",20071010
065,OTTAWA--VANIER,2,18,0,28,10,12,"Ottawa",202, ,2,0,0,72,217,"York Street Public School",20071010
065,OTTAWA--VANIER,0,30,0,44,15,21,"Ottawa",203, ,0,0,0,110,227,"École élémentaire publique Francojeunesse",20071010
065,OTTAWA--VANIER,7,20,0,34,11,17,"Ottawa",204, ,1,0,0,90,155,"École élémentaire publique Francojeunesse",20071010
065,OTTAWA--VANIER,0,19,0,42,18,23,"Ottawa",205, ,1,0,0,103,263,"Patro d'Ottawa",20071010
065,OTTAWA--VANIER,2,32,0,49,15,13,"Ottawa",206, ,0,0,0,111,251,"École élémentaire publique Francojeunesse",20071010
065,OTTAWA--VANIER,0,17,0,44,16,18,"Ottawa",207, ,1,1,0,97,267,"Centre Pauline-Charron",20071010
065,OTTAWA--VANIER,2,29,0,75,31,28,"Ottawa",208, ,0,2,1,168,336,"Éducation permanente",20071010
065,OTTAWA--VANIER,2,16,0,61,15,16,"Ottawa",209, ,1,0,0,111,272,"Éducation permanente",20071010
065,OTTAWA--VANIER,3,16,0,55,21,35,"Ottawa",210, ,2,1,0,133,311,"Overbrook Community Centre",20071010
065,OTTAWA--VANIER,0,30,0,66,38,30,"Ottawa",211, ,1,0,0,165,371,"Overbrook Community Centre",20071010
