ED_CODE,ED_NAME,BALASUNDERAM,CASANOVA,CHURCHIN,FONSECA,JAMIESON,ZAWADZKI,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
48,MISSISSAUGA EAST--COOKSVILLE,6,0,13,14,0,1,Mississauga,21, ,1,0,0,35,178,St. Alfred Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,4,28,76,0,2,Mississauga,22, ,0,0,0,122,305,St. Alfred Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,7,5,16,42,0,5,Mississauga,23, ,2,0,0,77,282,St. Alfred Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,17,111,149,1,12,Mississauga,24, ,1,2,0,304,461,Blessed Teresa of Calcutta Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,21,7,45,111,1,5,Mississauga,25, ,0,0,0,190,403,Burnhamthorpe Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,13,85,149,0,15,Mississauga,26, ,0,3,0,278,490,Burnhamthorpe Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,4,9,17,50,0,4,Mississauga,27, ,0,0,0,84,249,Havenwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,7,17,57,138,2,14,Mississauga,28, ,1,0,0,236,450,Havenwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,3,25,60,1,3,Mississauga,29, ,0,0,0,97,256,St. Alfred Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,21,14,53,111,0,4,Mississauga,30, ,1,2,2,208,381,Silverthorn Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,13,49,163,0,5,Mississauga,31, ,2,1,0,241,448,Blessed Teresa of Calcutta Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,10,12,53,107,0,5,Mississauga,32, ,0,0,0,187,368,Blessed Teresa of Calcutta Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,15,48,90,2,4,Mississauga,33, ,0,2,0,176,377,Blessed Teresa of Calcutta Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,25,12,56,118,1,5,Mississauga,34, ,0,2,0,219,412,Dixie Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,4,4,19,39,2,1,Mississauga,35, ,1,1,2,73,177,Dixie Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,1,14,63,1,1,Mississauga,36, ,1,0,0,92,256,Dixie Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,2,16,23,0,3,Mississauga,37, ,0,0,0,53,163,Dixie Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,..........................NO POLL HELD........................,,,,,,Mississauga,38, ,0,0,0,0,0,,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,15,36,113,4,2,Mississauga,39, ,0,1,0,184,397,Silverthorn Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,12,54,132,1,3,Mississauga,40, ,0,1,0,211,399,Silverthorn Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,15,66,138,3,16,Mississauga,41, ,0,2,1,256,449,St. Thomas More Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,11,33,75,0,8,Mississauga,42, ,1,1,0,141,350,Dixie Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,27,9,38,71,0,11,Mississauga,43, ,1,0,0,157,403,Dixie Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,21,37,109,2,2,Mississauga,45, ,0,0,0,183,413,Saints Peter & Paul Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,16,14,50,131,2,6,Mississauga,46, ,0,0,0,219,477,Saints Peter & Paul Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,26,11,36,104,1,8,Mississauga,47, ,1,0,0,187,398,Briarwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,21,8,43,108,1,6,Mississauga,48, ,2,1,0,190,429,Briarwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,8,48,119,1,7,Mississauga,49, ,1,0,0,197,430,Briarwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,15,62,137,2,5,Mississauga,50, ,2,3,0,234,426,Silverthorn Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,12,50,104,1,8,Mississauga,51, ,3,0,0,190,378,St. Thomas More Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,21,13,52,167,0,10,Mississauga,52, ,2,0,0,265,492,St. Thomas More Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,12,27,68,0,7,Mississauga,53, ,1,0,0,120,252,Tomken Road Middle School - South Building,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,11,55,89,1,4,Mississauga,54, ,0,0,0,171,434,Tomken Road Middle School - South Building,20071010
48,MISSISSAUGA EAST--COOKSVILLE,0,1,8,12,3,0,Mississauga,055s, ,0,0,0,24,49,Meadowcroft Place Retirement Centre,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,13,26,103,1,2,Mississauga,57, ,1,1,0,160,430,Saints Peter & Paul Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,7,35,154,0,6,Mississauga,58, ,2,2,0,220,467,Saints Peter & Paul Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,11,60,129,2,9,Mississauga,59, ,0,1,0,226,462,Saints Peter & Paul Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,15,27,116,0,6,Mississauga,60, ,0,1,0,180,411,Briarwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,17,13,37,99,2,7,Mississauga,61, ,0,0,0,175,456,The Valleys Senior Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,21,62,153,2,11,Mississauga,62, ,0,2,0,260,498,Briarwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,17,54,104,1,4,Mississauga,63, ,0,1,0,195,390,Silver Creek Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,10,11,55,148,0,14,Mississauga,64, ,2,0,0,240,437,Tomken Road Middle School - South Building,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,8,34,113,3,7,Mississauga,65, ,0,0,0,176,392,Tomken Road Middle School - South Building,20071010
48,MISSISSAUGA EAST--COOKSVILLE,18,13,39,181,1,5,Mississauga,66, ,0,0,0,257,534,Tomken Road Middle School - South Building,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,5,22,42,2,0,Mississauga,68, ,0,1,0,77,221,Tomken Road Middle School - South Building,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,21,41,104,2,2,Mississauga,70, ,1,1,0,185,401,Saints Peter & Paul Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,10,10,22,72,2,1,Mississauga,71, ,1,0,1,119,193,200 Burnhamthorpe Road East,20071010
48,MISSISSAUGA EAST--COOKSVILLE,29,7,51,81,0,5,Mississauga,72, ,0,3,0,176,391,The Valleys Senior Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,12,42,136,2,5,Mississauga,73, ,9,2,0,216,490,The Valleys Senior Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,15,63,155,1,13,Mississauga,74, ,1,0,0,263,451,Silver Creek Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,31,8,57,107,1,6,Mississauga,75, ,0,1,0,211,437,Silver Creek Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,11,62,124,2,7,Mississauga,76, ,1,0,0,222,421,Silver Creek Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,15,41,113,3,8,Mississauga,83, ,3,0,0,198,425,Metropolitan Andrei Catholic School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,21,47,98,0,10,Mississauga,84, ,1,0,0,191,460,Metropolitan Andrei Catholic School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,12,41,121,1,9,Mississauga,85, ,1,0,0,194,412,Metropolitan Andrei Catholic School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,16,14,53,125,0,11,Mississauga,86, ,0,1,1,221,447,Silver Creek Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,3,8,44,2,0,Mississauga,087s, ,0,0,1,63,115,Cawthra Gardens,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,13,49,155,3,2,Mississauga,88, ,1,0,0,234,537,Corpus Christi Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,6,13,50,149,1,1,Mississauga,89, ,0,0,0,220,620,Corpus Christi Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,9,39,67,1,6,Mississauga,90, ,0,0,0,135,399,Bishop Scalabrini Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,5,28,71,1,1,Mississauga,92, ,0,0,2,119,342,Bishop Scalabrini Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,17,6,32,55,0,1,Mississauga,93, ,0,0,0,111,262,25 Fairview Road West,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,4,10,48,1,3,Mississauga,94, ,1,0,0,82,275,Thornwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,23,4,35,93,1,5,Mississauga,95, ,0,0,0,161,360,Thornwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,16,11,40,94,1,2,Mississauga,96, ,0,1,0,165,452,Thornwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,22,11,20,59,1,9,Mississauga,97, ,0,0,0,122,352,Thomas L. Kennedy Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,29,13,39,107,2,5,Mississauga,98, ,0,0,0,195,440,Metropolitan Andrei Catholic School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,17,9,57,104,1,8,Mississauga,99, ,0,0,2,198,533,Returning Office / Bureau du directeur du scrutin,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,9,62,168,0,7,Mississauga,100, ,1,0,1,261,450,Clifton Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,18,14,35,166,1,7,Mississauga,101, ,2,1,0,244,562,Corpus Christi Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,16,12,49,144,1,18,Mississauga,107, ,0,0,0,240,544,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,13,31,108,1,1,Mississauga,108, ,0,0,1,166,424,Bishop Scalabrini Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,21,6,21,86,1,1,Mississauga,109, ,0,0,0,136,304,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,6,5,26,78,1,1,Mississauga,110, ,0,0,0,117,381,Thomas L. Kennedy Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,21,4,12,127,1,1,Mississauga,111, ,1,0,0,167,547,Thornwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,7,7,18,15,0,2,Mississauga,112, ,0,0,0,49,201,Thomas L. Kennedy Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,6,13,54,0,4,Mississauga,113, ,0,0,0,88,243,Thomas L. Kennedy Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,14,20,73,1,3,Mississauga,114, ,0,0,0,120,263,3170 Kirwin Avenue,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,4,21,37,1,0,Mississauga,115, ,0,0,0,75,156,3120 Kirwin Avenue,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,9,66,83,1,8,Mississauga,116, ,0,4,0,183,309,3100 Kirwin Avenue,20071010
48,MISSISSAUGA EAST--COOKSVILLE,2,9,24,62,0,2,Mississauga,117, ,0,0,0,99,277,Returning Office / Bureau du directeur du scrutin,20071010
48,MISSISSAUGA EAST--COOKSVILLE,6,15,58,140,0,3,Mississauga,118, ,1,0,0,223,414,Clifton Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,20,50,154,1,2,Mississauga,119, ,1,0,0,241,542,Corpus Christi Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,10,52,125,0,3,Mississauga,123, ,0,2,0,203,466,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,18,11,54,170,2,12,Mississauga,124, ,1,1,0,269,577,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,10,13,38,98,1,5,Mississauga,125, ,1,0,0,166,426,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,7,30,92,2,5,Mississauga,126, ,2,0,0,153,496,Thomas L. Kennedy Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,3,15,31,0,2,Mississauga,127, ,0,0,0,59,187,Thomas L. Kennedy Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,5,8,18,0,2,Mississauga,128, ,0,0,0,41,135,Thomas L. Kennedy Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,4,20,30,0,0,Mississauga,129s, ,0,2,0,61,127,King Gardens Retirement Residence,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,20,36,122,3,3,Mississauga,130, ,1,0,0,198,407,Clifton Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,16,15,72,131,1,3,Mississauga,131, ,1,0,0,239,396,Clifton Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,7,29,102,1,7,Mississauga,132, ,0,0,0,151,477,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,6,28,139,0,4,Mississauga,133, ,0,1,0,186,513,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,18,8,31,109,1,9,Mississauga,134, ,1,2,0,179,537,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,7,47,120,0,5,Mississauga,135, ,0,1,0,191,486,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,16,14,41,71,1,9,Mississauga,136, ,1,0,0,153,363,Father Daniel Zanon Elementary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,7,0,17,40,0,2,Mississauga,137, ,0,0,0,66,213,Thomas L. Kennedy Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,3,2,19,56,0,11,Mississauga,138, ,1,1,1,94,171,Thomas L. Kennedy Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,3,5,15,0,2,Mississauga,139s, ,2,0,0,32,50,Heritage House,20071010
48,MISSISSAUGA EAST--COOKSVILLE,2,7,13,66,0,1,Mississauga,140, ,3,1,0,93,226,Floradale Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,3,1,17,35,2,4,Mississauga,141, ,1,0,0,63,137,2503 Hurontario Street,20071010
48,MISSISSAUGA EAST--COOKSVILLE,6,4,5,18,0,3,Mississauga,142, ,0,0,0,36,124,Floradale Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,6,4,9,25,0,1,Mississauga,143, ,0,0,0,45,153,St. Catherine of Siena Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,8,39,67,4,3,Mississauga,144, ,1,1,0,137,337,St. Catherine of Siena Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,17,8,26,104,0,7,Mississauga,145, ,0,2,3,167,451,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,10,8,55,144,2,4,Mississauga,146, ,0,0,0,223,550,Father Michael Goetz Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,8,55,115,0,5,Mississauga,147, ,3,0,0,198,455,Father Daniel Zanon Elementary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,10,34,124,0,10,Mississauga,148, ,0,0,0,187,427,Father Daniel Zanon Elementary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,19,11,45,105,0,8,Mississauga,149, ,0,2,0,190,529,Father Daniel Zanon Elementary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,10,15,31,166,1,3,Mississauga,150, ,0,0,0,226,504,Mary Fix Catholic School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,31,5,31,102,1,1,Mississauga,151, ,0,0,1,172,378,Floradale Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,17,3,11,44,0,2,Mississauga,152, ,0,2,0,79,191,St. Catherine of Siena Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,4,6,13,28,3,2,Mississauga,153, ,0,1,0,57,190,St. Catherine of Siena Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,10,14,28,0,10,Mississauga,154, ,1,0,0,68,160,St. Catherine of Siena Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,6,9,14,5,1,Mississauga,155s, ,0,0,2,46,154,Mississauga Lifecare Centre,20071010
48,MISSISSAUGA EAST--COOKSVILLE,48,20,63,158,2,10,Mississauga,156, ,3,0,0,304,677,Father Daniel Zanon Elementary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,7,41,97,1,3,Mississauga,157, ,1,0,0,164,441,Father Daniel Zanon Elementary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,12,26,131,1,3,Mississauga,158, ,3,0,0,190,440,Mary Fix Catholic School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,10,27,117,0,1,Mississauga,159, ,0,0,0,163,384,Mary Fix Catholic School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,21,19,55,133,0,3,Mississauga,160, ,0,0,1,232,514,Mary Fix Catholic School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,25,12,33,141,0,4,Mississauga,161, ,1,0,0,216,429,Floradale Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,25,18,53,128,1,5,Mississauga,162, ,0,0,0,230,534,Cashmere Avenue Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,15,46,127,0,3,Mississauga,163, ,0,4,0,206,439,Cashmere Avenue Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,10,46,118,1,11,Mississauga,164, ,1,1,0,200,456,Cashmere Avenue Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,10,23,47,108,0,9,Mississauga,165, ,1,0,0,198,439,Cashmere Avenue Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,2,13,27,2,0,Mississauga,400, ,1,0,0,60,106,1867 Bloor Street,20071010
48,MISSISSAUGA EAST--COOKSVILLE,0,0,4,10,0,0,Mississauga,401, ,0,1,0,15,112,Burnhamthorpe Community Center,20071010
48,MISSISSAUGA EAST--COOKSVILLE,4,0,8,26,1,0,Mississauga,402, ,0,0,0,39,190,Burnhamthorpe Community Center,20071010
48,MISSISSAUGA EAST--COOKSVILLE,4,4,15,38,1,2,Mississauga,403, ,0,0,0,64,109,3375 Ponytrail Drive,20071010
48,MISSISSAUGA EAST--COOKSVILLE,4,0,4,14,0,0,Mississauga,404, ,1,0,0,23,126,Burnhamthorpe Community Center,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,0,4,24,0,0,Mississauga,405, ,0,0,0,33,165,Havenwood Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,0,1,3,22,0,0,Mississauga,406, ,0,0,0,26,128,Burnhamthorpe Community Center,20071010
48,MISSISSAUGA EAST--COOKSVILLE,2,3,26,27,0,0,Mississauga,407, ,0,0,0,58,174,Saints Martha & Mary Church,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,2,15,14,0,0,Mississauga,408, ,1,0,0,46,161,Saints Martha & Mary Church,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,10,17,51,1,2,Mississauga,409, ,0,0,0,86,170,1355 Silver Spear Road,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,6,8,29,0,0,Mississauga,410, ,0,1,0,53,143,3480 Havenwood Drive,20071010
48,MISSISSAUGA EAST--COOKSVILLE,0,6,6,20,1,0,Mississauga,411, ,0,0,0,33,151,St. Sofia Separate School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,13,4,7,51,1,3,Mississauga,412, ,0,1,0,80,206,1625 Bloor Street East,20071010
48,MISSISSAUGA EAST--COOKSVILLE,30,3,12,74,0,0,Mississauga,413, ,3,1,0,123,212,1625 Bloor Street East,20071010
48,MISSISSAUGA EAST--COOKSVILLE,17,15,118,210,0,8,Mississauga,414, ,0,2,0,370,588,1333 Bloor Street East,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,15,98,154,1,16,Mississauga,415, ,0,1,0,299,409,1300 Bloor Street East,20071010
48,MISSISSAUGA EAST--COOKSVILLE,1,3,8,4,0,0,Mississauga,416, ,0,0,0,16,104,Burnhamthorpe Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,5,22,50,1,4,Mississauga,417, ,0,1,0,95,358,Blessed Teresa of Calcutta Secondary School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,20,10,54,70,1,1,Mississauga,418, ,0,0,0,156,379,Applewood Towers,20071010
48,MISSISSAUGA EAST--COOKSVILLE,11,10,39,63,1,4,Mississauga,419, ,2,1,0,131,216,Applewood on the Park,20071010
48,MISSISSAUGA EAST--COOKSVILLE,1,3,6,11,0,0,Mississauga,420, ,0,0,1,22,91,Burnhamthorpe Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,2,1,6,17,0,0,Mississauga,421, ,0,0,0,26,137,Dixie Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,3,4,13,44,1,1,Mississauga,422, ,0,0,0,66,170,Dixie Public School,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,6,14,60,0,4,Mississauga,423, ,1,1,0,95,204,Chelsea Towers,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,7,22,68,0,0,Mississauga,424, ,0,1,0,113,254,Chelsea Towers,20071010
48,MISSISSAUGA EAST--COOKSVILLE,2,6,39,77,3,3,Mississauga,425, ,1,0,1,132,232,1320 Mississauga Valley Boulevard,20071010
48,MISSISSAUGA EAST--COOKSVILLE,14,8,44,89,2,9,Mississauga,426, ,0,1,0,167,268,1320 Mississauga Valley Boulevard,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,4,15,56,1,2,Mississauga,427, ,0,0,0,86,177,880 Riley Court,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,2,14,37,0,0,Mississauga,428, ,0,0,0,61,94,The Absolute,20071010
48,MISSISSAUGA EAST--COOKSVILLE,18,13,53,101,1,2,Mississauga,429, ,0,0,1,189,448,3665 Arista Way,20071010
48,MISSISSAUGA EAST--COOKSVILLE,28,12,38,107,0,0,Mississauga,430, ,0,0,0,185,360,1423 Mississauga Valley Boulevard,20071010
48,MISSISSAUGA EAST--COOKSVILLE,26,17,36,94,0,8,Mississauga,431, ,3,0,0,184,370,Lolita Gardens,20071010
48,MISSISSAUGA EAST--COOKSVILLE,10,13,19,50,0,0,Mississauga,432, ,0,0,0,92,130,The Absolute,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,8,14,66,0,3,Mississauga,433, ,2,0,0,108,307,Obelisk II,20071010
48,MISSISSAUGA EAST--COOKSVILLE,17,10,32,80,0,3,Mississauga,434, ,1,0,0,143,336,1477 Mississauga Valley Boulevard,20071010
48,MISSISSAUGA EAST--COOKSVILLE,24,11,69,109,0,3,Mississauga,435, ,0,2,0,218,374,1580 Mississauga Valley Boulevard,20071010
48,MISSISSAUGA EAST--COOKSVILLE,16,9,30,69,2,0,Mississauga,436, ,16,0,0,142,342,1547 Mississauga Valley Boulevard,20071010
48,MISSISSAUGA EAST--COOKSVILLE,7,2,10,77,0,6,Mississauga,437, ,1,0,0,103,180,Aspen III Tower Houses,20071010
48,MISSISSAUGA EAST--COOKSVILLE,5,12,38,54,0,4,Mississauga,438, ,1,1,0,115,281,530 Lolita Gardens,20071010
48,MISSISSAUGA EAST--COOKSVILLE,9,14,34,95,0,1,Mississauga,439A, ,0,0,0,153,350,350 Rathburn Road West,20071010
48,MISSISSAUGA EAST--COOKSVILLE,22,14,23,90,0,3,Mississauga,439B, ,2,0,0,154,325,350 Rathburn Road West,20071010
48,MISSISSAUGA EAST--COOKSVILLE,15,13,37,59,1,1,Mississauga,440, ,0,1,0,127,263,4090 Living Arts Drive,20071010
48,MISSISSAUGA EAST--COOKSVILLE,12,7,29,51,1,0,Mississauga,441, ,1,0,0,101,264,4080 Living Arts Drive,20071010
48,MISSISSAUGA EAST--COOKSVILLE,8,12,25,61,0,1,Mississauga,442, ,0,0,1,108,298,3939 Duke of York Boulevard,20071010
48,MISSISSAUGA EAST--COOKSVILLE,7,9,27,78,1,0,Mississauga,443, ,0,0,0,122,258,220 Burnhamthorpe Road West,20071010
