ED_CODE,ED_NAME,HALL,MILLER,RHODES,RICHTER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
069,PARRY SOUND--MUSKOKA,32,3,24,6,"Nobel",038, ,0,0,0,65,99,"Shawanaga First Nation Recreation Centre",20071010
069,PARRY SOUND--MUSKOKA,13,75,48,27,"McKellar",039, ,0,0,0,163,251,"McKellar Community Centre",20071010
069,PARRY SOUND--MUSKOKA,12,23,17,9,"Burks Falls",040, ,0,0,0,61,160,"Ryerson Township Office",20071010
069,PARRY SOUND--MUSKOKA,29,75,32,18,"Emsdale",041, ,2,1,0,157,294,"Emsdale Community Centre",20071010
069,PARRY SOUND--MUSKOKA,12,39,23,14,"Emsdale",042, ,0,0,0,88,172,"Emsdale Community Centre",20071010
069,PARRY SOUND--MUSKOKA,36,87,53,16,"Kearney",043, ,0,0,0,192,398,"Kearney Community Centre",20071010
069,PARRY SOUND--MUSKOKA,28,41,31,21,"Kearney",044, ,1,1,0,123,234,"Kearney Community Centre",20071010
069,PARRY SOUND--MUSKOKA,17,57,45,12,"Waubamik",045, ,0,1,1,133,250,"Waubamik Community Centre",20071010
069,PARRY SOUND--MUSKOKA,6,25,18,13,"McKellar",046, ,0,0,2,64,216,"McKellar Community Centre",20071010
069,PARRY SOUND--MUSKOKA,17,97,55,15,"McKellar",047, ,0,0,0,184,295,"McKellar Community Centre",20071010
069,PARRY SOUND--MUSKOKA,10,37,10,5,"Magnetawan",048, ,0,0,0,62,292,"Magnetawan Community Centre",20071010
069,PARRY SOUND--MUSKOKA,33,55,41,13,"Emsdale",049, ,1,0,0,143,371,"Emsdale Community Centre",20071010
069,PARRY SOUND--MUSKOKA,23,46,20,16,"Novar",050, ,0,0,0,105,216,"Novar Community Centre",20071010
069,PARRY SOUND--MUSKOKA,19,60,19,7,"Novar",051, ,2,0,0,107,256,"Novar Community Centre",20071010
069,PARRY SOUND--MUSKOKA,32,103,40,17,"Novar",052, ,1,0,0,193,365,"Novar Community Centre",20071010
069,PARRY SOUND--MUSKOKA,7,52,29,10,"Hillside",053, ,1,0,0,99,181,"Pioneer Memorial United Church",20071010
069,PARRY SOUND--MUSKOKA,19,72,25,20,"Nobel",054, ,0,0,0,136,269,"Carling Recreation Centre",20071010
069,PARRY SOUND--MUSKOKA,14,91,33,19,"Nobel",055, ,0,0,0,157,290,"McDougall Township Office",20071010
069,PARRY SOUND--MUSKOKA,21,48,29,13,"Waubamik",056, ,0,0,0,111,249,"Waubamik Community Centre",20071010
069,PARRY SOUND--MUSKOKA,32,82,63,22,"Parry Sound",057, ,1,0,0,200,299,"Orrville Community Centre",20071010
069,PARRY SOUND--MUSKOKA,50,68,60,23,"Sprucedale",058, ,0,0,0,201,378,"Sprucedale Community Centre",20071010
069,PARRY SOUND--MUSKOKA,12,14,7,9,"Huntsville",059, ,1,0,0,43,212,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,16,28,19,17,"Huntsville",060, ,0,0,0,80,206,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,7,44,27,21,"Huntsville",061, ,0,0,0,99,258,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,20,42,38,30,"Huntsville",062, ,0,0,0,130,330,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,19,38,18,17,"Huntsville",063, ,0,0,0,92,270,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,16,52,44,14,"Hillside",064, ,0,0,0,126,268,"Pioneer Memorial United Church",20071010
069,PARRY SOUND--MUSKOKA,14,61,77,26,"Nobel",065, ,0,0,0,178,377,"Carling Recreation Centre",20071010
069,PARRY SOUND--MUSKOKA,15,50,34,19,"Nobel",066, ,0,0,0,118,186,"Carling Recreation Centre",20071010
069,PARRY SOUND--MUSKOKA,20,147,49,40,"Nobel",067, ,0,0,0,256,472,"McDougall Township Office",20071010
069,PARRY SOUND--MUSKOKA,7,41,28,11,"Parry Sound",068, ,0,2,0,89,263,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,17,58,47,27,"Parry Sound",069, ,1,0,0,150,368,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,8,58,27,16,"Parry Sound",070, ,2,0,0,111,242,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,23,50,49,19,"Parry Sound",071, ,0,0,0,141,324,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,5,17,5,2,"Parry Sound",072s, ,0,0,0,29,107,"Belvedere Heights Home for the Aged",20071010
069,PARRY SOUND--MUSKOKA,27,42,24,23,"Parry Sound",073, ,0,0,0,116,349,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,19,54,42,25,"Parry Sound",074, ,3,1,0,144,337,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,20,46,38,9,"Parry Sound",075, ,0,0,0,113,266,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,15,75,28,4,"Parry Sound",076, ,0,0,0,122,330,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,8,26,22,11,"Parry Sound",077, ,0,0,0,67,218,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,18,43,36,8,"Parry Sound",078, ,0,0,0,105,305,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,14,49,34,27,"Parry Sound",079, ,0,1,0,125,324,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,24,51,38,10,"Parry Sound",080, ,0,0,0,123,305,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,5,27,11,0,"Parry Sound",081s, ,1,0,0,44,111,"Lakeland Long Term Care",20071010
069,PARRY SOUND--MUSKOKA,15,27,22,12,"Parry Sound",083, ,0,0,0,76,287,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,21,69,41,17,"Parry Sound",084, ,0,0,0,148,376,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,20,121,75,38,"Parry Sound",085, ,0,0,0,254,471,"McDougall Public School",20071010
069,PARRY SOUND--MUSKOKA,9,43,31,9,"Parry Sound",086, ,0,0,0,92,183,"McDougall Public School",20071010
069,PARRY SOUND--MUSKOKA,23,64,42,26,"Parry Sound",087, ,1,0,0,156,274,"Foley Agricultural Hall",20071010
069,PARRY SOUND--MUSKOKA,24,46,18,12,"Aspdin",088, ,0,1,0,101,217,"Aspdin Community Centre",20071010
069,PARRY SOUND--MUSKOKA,5,15,5,3,"Huntsville",089, ,0,0,0,28,89,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,12,25,28,27,"Huntsville",090, ,0,0,0,92,237,"Pine Glen Public School",20071010
069,PARRY SOUND--MUSKOKA,22,67,35,12,"Huntsville",091, ,0,0,0,136,391,"Pine Glen Public School",20071010
069,PARRY SOUND--MUSKOKA,24,59,36,15,"Huntsville",092, ,0,0,0,134,356,"Pine Glen Public School",20071010
069,PARRY SOUND--MUSKOKA,10,104,44,19,"Huntsville",093, ,0,0,0,177,374,"Pine Glen Public School",20071010
069,PARRY SOUND--MUSKOKA,20,67,23,33,"Huntsville",094, ,0,0,0,143,342,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,18,34,22,13,"Huntsville",096, ,0,0,0,87,340,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,16,73,45,30,"Huntsville",097, ,1,0,0,165,347,"Pine Glen Public School",20071010
069,PARRY SOUND--MUSKOKA,22,57,20,12,"Huntsville",098, ,0,1,0,112,241,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,4,61,51,15,"Huntsville",099, ,0,1,0,132,282,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,10,32,20,17,"Huntsville",100, ,0,0,0,79,253,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,14,52,32,12,"Huntsville",101, ,0,0,0,110,305,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,11,48,27,25,"Huntsville",102, ,0,0,0,111,291,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,24,34,35,17,"Huntsville",103, ,0,0,0,110,250,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,4,35,22,7,"Huntsville",104, ,0,0,0,68,234,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,17,54,27,15,"Huntsville",105, ,0,1,0,114,319,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,15,53,27,18,"Huntsville",106, ,1,0,0,114,307,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,26,66,43,31,"Huntsville",107, ,0,0,0,166,350,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,14,50,30,14,"Huntsville",108, ,1,0,0,109,323,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,1,18,9,2,"Huntsville",109s, ,0,1,0,31,74,"Fairvern Nursing Home",20071010
069,PARRY SOUND--MUSKOKA,18,36,31,19,"Huntsville",110, ,0,0,0,104,307,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,25,41,34,17,"Huntsville",111, ,0,0,0,117,247,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,......................COMBINED WITH POLL 111 ....................,,,,"Huntsville",112s, ,,,,,,"Huntsville District Memorial Hospital",20071010
069,PARRY SOUND--MUSKOKA,10,63,29,20,"Huntsville",113, ,0,0,0,122,315,"Huntsville Royal Canadian Legion Branch 232",20071010
069,PARRY SOUND--MUSKOKA,5,14,7,4,"Huntsville",114s, ,0,0,0,30,90,"Muskoka Landing",20071010
069,PARRY SOUND--MUSKOKA,3,26,16,1,"Huntsville",115s, ,2,0,0,48,53,"Rogers Cove Retirement Residence",20071010
069,PARRY SOUND--MUSKOKA,14,47,26,16,"Huntsville",116, ,0,0,0,103,286,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,23,79,42,27,"Huntsville",117, ,0,2,0,173,393,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,6,21,16,5,"Huntsville",118, ,0,0,0,48,105,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,12,44,19,12,"Huntsville",119, ,0,0,0,87,187,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,8,55,57,22,"Huntsville",120, ,0,0,0,142,289,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,18,63,28,26,"Huntsville",121, ,0,0,0,135,357,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,9,54,19,18,"Dwight",122, ,2,0,0,102,229,"Dwight Community Centre",20071010
069,PARRY SOUND--MUSKOKA,20,74,33,11,"Dwight",123, ,0,0,0,138,294,"Dwight Community Centre",20071010
069,PARRY SOUND--MUSKOKA,29,28,27,5,"Parry Island",124, ,1,0,0,90,224,"Wasauksing First Nation Community Centre",20071010
069,PARRY SOUND--MUSKOKA,11,45,22,18,"Parry Sound",125, ,1,0,0,97,271,"Bobby Orr Community Centre",20071010
069,PARRY SOUND--MUSKOKA,21,54,24,14,"Parry Sound",126, ,0,1,0,114,237,"Foley Agricultural Hall",20071010
069,PARRY SOUND--MUSKOKA,31,92,42,23,"Parry Sound",127, ,2,1,0,191,376,"Foley Agricultural Hall",20071010
069,PARRY SOUND--MUSKOKA,36,108,53,27,"Parry Sound",128, ,0,0,0,224,383,"Humphrey Public School",20071010
069,PARRY SOUND--MUSKOKA,34,105,66,24,"Parry Sound",129, ,0,0,0,229,411,"Humphrey Public School",20071010
069,PARRY SOUND--MUSKOKA,11,40,22,19,"Rosseau",130, ,0,0,0,92,167,"Church of the Redeemer - Frost Hall",20071010
069,PARRY SOUND--MUSKOKA,10,56,12,5,"Aspdin",131, ,0,0,0,83,211,"Aspdin Community Centre",20071010
069,PARRY SOUND--MUSKOKA,0,16,10,0,"Utterson",132s, ,1,1,0,28,62,"Rowanwood Retirement Residence",20071010
069,PARRY SOUND--MUSKOKA,28,51,37,10,"Huntsville",133, ,0,0,0,126,339,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,15,61,25,20,"Port Sydney",134, ,0,0,0,121,212,"Port Sydney Community Centre",20071010
069,PARRY SOUND--MUSKOKA,19,32,23,13,"Huntsville",135, ,0,0,0,87,210,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,7,64,25,7,"Huntsville",136, ,0,0,0,103,166,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,26,61,41,14,"Huntsville",137, ,0,1,0,143,354,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,13,32,13,18,"Huntsville",138, ,0,0,0,76,199,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,22,45,30,19,"Huntsville",139, ,0,0,0,116,253,"Huntsville Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,17,95,41,11,"Dwight",140, ,0,0,0,164,325,"Dwight Community Centre",20071010
069,PARRY SOUND--MUSKOKA,17,62,28,19,"Parry Sound",141, ,0,0,0,126,288,"Foley Agricultural Hall",20071010
069,PARRY SOUND--MUSKOKA,11,49,33,22,"Mactier",142, ,0,0,0,115,238,"St. James the Great Parish Hall",20071010
069,PARRY SOUND--MUSKOKA,17,73,33,11,"Rosseau",143, ,0,0,0,134,275,"Church of the Redeemer - Frost Hall",20071010
069,PARRY SOUND--MUSKOKA,24,74,41,34,"Raymond",144, ,0,0,0,173,267,"Raymond Community Centre",20071010
069,PARRY SOUND--MUSKOKA,16,46,30,20,"Utterson",145, ,0,0,0,112,296,"Utterson Community Centre",20071010
069,PARRY SOUND--MUSKOKA,40,80,40,28,"Utterson",146, ,1,0,0,189,382,"Utterson Community Centre",20071010
069,PARRY SOUND--MUSKOKA,19,82,34,25,"Port Sydney",147, ,1,0,0,161,292,"Port Sydney Community Centre",20071010
069,PARRY SOUND--MUSKOKA,18,54,39,22,"Port Sydney",148, ,1,0,0,134,267,"Port Sydney Community Centre",20071010
069,PARRY SOUND--MUSKOKA,18,102,40,38,"Port Sydney",149, ,0,0,0,198,349,"Port Sydney Community Centre",20071010
069,PARRY SOUND--MUSKOKA,19,57,17,13,"Port Sydney",150, ,0,0,0,106,234,"Port Sydney Community Centre",20071010
069,PARRY SOUND--MUSKOKA,29,96,56,31,"Baysville",151, ,0,0,0,212,308,"Lake of Bays Community Centre",20071010
069,PARRY SOUND--MUSKOKA,38,85,34,21,"Dorset",152, ,0,0,0,178,307,"Dorset Senior Centre",20071010
069,PARRY SOUND--MUSKOKA,11,51,34,11,"Mactier",153, ,0,0,0,107,343,"St. James the Great Parish Hall",20071010
069,PARRY SOUND--MUSKOKA,15,70,35,19,"Minett",154, ,0,0,0,139,260,"Peninsula Recreation Centre",20071010
069,PARRY SOUND--MUSKOKA,17,127,63,37,"Port Carling",155, ,0,0,0,244,419,"Port Carling Memorial Community Centre",20071010
069,PARRY SOUND--MUSKOKA,20,131,66,54,"Port Carling",156, ,0,1,0,272,414,"Port Carling Memorial Community Centre",20071010
069,PARRY SOUND--MUSKOKA,31,85,48,17,"Raymond",157, ,0,1,0,182,314,"Raymond Community Centre",20071010
069,PARRY SOUND--MUSKOKA,18,63,47,20,"Raymond",158, ,0,0,0,148,269,"Raymond Community Centre",20071010
069,PARRY SOUND--MUSKOKA,31,110,46,32,"Bracebridge",159, ,0,0,0,219,453,"Bracebridge Sportsplex",20071010
069,PARRY SOUND--MUSKOKA,26,53,37,26,"Bracebridge",160, ,0,0,0,142,279,"Bracebridge Sportsplex",20071010
069,PARRY SOUND--MUSKOKA,21,116,60,31,"Baysville",161, ,0,1,0,229,365,"Lake of Bays Community Centre",20071010
069,PARRY SOUND--MUSKOKA,18,9,15,5,"Mactier",162, ,0,0,0,47,49,"Moose Deer Point First Nation",20071010
069,PARRY SOUND--MUSKOKA,7,51,33,9,"Mactier",163, ,0,0,0,100,272,"St. James the Great Parish Hall",20071010
069,PARRY SOUND--MUSKOKA,17,101,35,17,"Glen Orchard",164, ,0,2,0,172,354,"Glen Orchard Public School",20071010
069,PARRY SOUND--MUSKOKA,16,140,76,47,"Milford Bay",165, ,1,0,0,280,426,"Milford Bay Community Centre",20071010
069,PARRY SOUND--MUSKOKA,..........................NO POLL HELD........................,,,,"Milford Bay",166, ,0,0,0,0,0,"",20071010
069,PARRY SOUND--MUSKOKA,19,91,38,23,"Milford Bay",167, ,0,0,0,171,372,"Milford Bay Community Centre",20071010
069,PARRY SOUND--MUSKOKA,26,124,64,44,"Bracebridge",168, ,0,0,0,258,493,"Bracebridge Salvation Army Community Church",20071010
069,PARRY SOUND--MUSKOKA,3,21,6,0,"Bracebridge",169s, ,0,0,1,31,54,"Bracebridge Villa Retirement Residence",20071010
069,PARRY SOUND--MUSKOKA,28,106,39,19,"Bracebridge",170, ,0,0,0,192,353,"Bracebridge Salvation Army Community Church",20071010
069,PARRY SOUND--MUSKOKA,16,78,45,31,"Bracebridge",171, ,0,0,0,170,336,"Bracebridge Salvation Army Community Church",20071010
069,PARRY SOUND--MUSKOKA,25,64,37,28,"Bracebridge",172, ,1,0,0,155,293,"Bracebridge Sportsplex",20071010
069,PARRY SOUND--MUSKOKA,18,130,50,22,"Bracebridge",173, ,0,0,0,220,430,"Bracebridge Salvation Army Community Church",20071010
069,PARRY SOUND--MUSKOKA,12,115,41,26,"Bracebridge",174, ,0,0,0,194,355,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,33,77,29,18,"Bracebridge",175, ,0,0,0,157,378,"Bracebridge Salvation Army Community Church",20071010
069,PARRY SOUND--MUSKOKA,18,70,36,15,"Bracebridge",176, ,0,0,0,139,307,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,28,104,43,21,"Bracebridge",177, ,0,0,0,196,427,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,20,51,32,12,"Bracebridge",178, ,0,0,0,115,292,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,14,74,33,15,"Bracebridge",179, ,0,0,0,136,301,"Bracebridge Salvation Army Community Church",20071010
069,PARRY SOUND--MUSKOKA,......................COMBINED WITH POLL 179 ....................,,,,"Bracebridge",180s, ,,,,,,"South Muskoka Memorial Hospital",20071010
069,PARRY SOUND--MUSKOKA,14,35,38,19,"Bracebridge",181, ,0,0,0,106,265,"Bracebridge Sportsplex",20071010
069,PARRY SOUND--MUSKOKA,6,29,6,2,"Bracebridge",182s, ,0,0,0,43,69,"James Street Place",20071010
069,PARRY SOUND--MUSKOKA,24,58,37,23,"Bracebridge",183, ,0,0,0,142,333,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,16,45,23,22,"Bracebridge",184, ,0,0,0,106,228,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,18,68,36,21,"Bracebridge",185, ,0,0,0,143,293,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,30,92,72,24,"Bracebridge",186, ,0,1,0,219,445,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,16,58,23,16,"Bracebridge",187, ,0,0,0,113,303,"St. Dominic Secondary School",20071010
069,PARRY SOUND--MUSKOKA,14,99,50,26,"Bracebridge",188, ,2,0,0,191,404,"St. Dominic Secondary School",20071010
069,PARRY SOUND--MUSKOKA,4,14,6,2,"Bracebridge",189s, ,0,0,0,26,163,"The Pines Long Term Care Home",20071010
069,PARRY SOUND--MUSKOKA,16,63,40,23,"Bracebridge",190, ,1,0,0,143,373,"St. Dominic Secondary School",20071010
069,PARRY SOUND--MUSKOKA,18,58,34,18,"Bracebridge",191, ,0,0,0,128,304,"St. Dominic Secondary School",20071010
069,PARRY SOUND--MUSKOKA,28,58,34,46,"Bracebridge",192, ,0,0,0,166,306,"Bracebridge Sportsplex",20071010
069,PARRY SOUND--MUSKOKA,18,59,33,21,"Bracebridge",193A, ,0,0,0,131,273,"St. Dominic Secondary School",20071010
069,PARRY SOUND--MUSKOKA,16,54,30,11,"Bracebridge",193B, ,0,0,0,111,239,"St. Dominic Secondary School",20071010
069,PARRY SOUND--MUSKOKA,16,53,40,26,"Bracebridge",194, ,0,0,1,136,263,"St. Dominic Secondary School",20071010
069,PARRY SOUND--MUSKOKA,36,97,49,25,"Vankoughnet",195, ,0,0,0,207,374,"Bracebridge Fire Hall #2",20071010
069,PARRY SOUND--MUSKOKA,..........................NO POLL HELD........................,,,,"Mactier",196, ,0,0,0,0,0,"",20071010
069,PARRY SOUND--MUSKOKA,4,9,8,3,"Bala",197, ,0,0,0,24,39,"Wahta Mohawk First Nation Band Office",20071010
069,PARRY SOUND--MUSKOKA,12,110,56,30,"Bala",198, ,0,0,0,208,373,"Bala Royal Canadian Legion Branch 424",20071010
069,PARRY SOUND--MUSKOKA,32,118,87,29,"Bala",199, ,0,0,0,266,428,"Bala Royal Canadian Legion Branch 424",20071010
069,PARRY SOUND--MUSKOKA,12,70,48,16,"Walkers Point",200, ,0,0,0,146,247,"Walker's Point Community Centre",20071010
069,PARRY SOUND--MUSKOKA,8,35,24,4,"Gravenhurst",201, ,0,0,0,71,183,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,13,102,41,31,"Bracebridge",202, ,0,0,0,187,389,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,15,56,35,31,"Bracebridge",203, ,0,0,0,137,313,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,28,88,51,37,"Bracebridge",204, ,0,0,0,204,418,"Muskoka Falls Public School",20071010
069,PARRY SOUND--MUSKOKA,26,62,48,35,"Bracebridge",205, ,2,0,0,173,438,"Muskoka Falls Public School",20071010
069,PARRY SOUND--MUSKOKA,14,102,50,18,"Port Severn",206, ,0,0,0,184,285,"Baxter Community Centre",20071010
069,PARRY SOUND--MUSKOKA,18,66,34,13,"Gravenhurst",207, ,0,0,1,132,233,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,10,53,37,14,"Gravenhurst",208, ,0,0,0,114,246,"Gravenhurst Royal Canadian Legion Branch 302",20071010
