ED_CODE,ED_NAME,BEBJAK,BROWNELL,KENNEDY,SAVARD,TAYLOR,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
087,STORMONT--DUNDAS--SOUTH GLENGA,1,68,10,36,10,"Cornwall",098, ,0,0,0,125,337,"Seaway Senior Citizens Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,42,3,30,11,"Cornwall",099, ,1,1,0,89,212,"Sacred Heart Catholic Elementary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,83,3,50,6,"Cornwall",100, ,1,0,0,144,390,"Sacred Heart Catholic Elementary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,89,2,38,9,"Cornwall",101, ,0,0,1,139,369,"Sacred Heart Catholic Elementary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,61,1,20,9,"Cornwall",102, ,0,0,0,91,214,"École élémentaire catholique Saint-Gabriel",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,43,6,26,22,"Cornwall",103, ,1,1,0,100,348,"Ramada Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,49,4,28,12,"Cornwall",104, ,0,0,1,94,327,"Ramada Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,62,5,63,19,"Cornwall",105, ,1,0,0,153,366,"École élémentaire catholique Saint-Gabriel",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,11,1,6,0,"Cornwall",106, ,0,0,0,18,45,"École élémentaire catholique Saint-Gabriel",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,59,1,18,5,"Cornwall",107, ,0,0,0,83,137,"École élémentaire catholique Saint-Gabriel",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,76,3,43,13,"Cornwall",108, ,0,1,0,136,349,"École élémentaire catholique Saint-Gabriel",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,45,4,30,8,"Cornwall",109, ,0,0,0,87,285,"Ramada Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,33,6,20,12,"Cornwall",110, ,0,0,1,72,324,"Ramada Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,30,3,13,1,"Cornwall",111A, ,0,0,0,47,216,"Seaway Senior Citizens Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,21,1,10,8,"Cornwall",111B, ,0,1,0,42,251,"Seaway Senior Citizens Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,34,3,11,3,"Cornwall",112s, ,2,0,0,53,135,"Centre de santé Versa Care Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,41,4,20,5,"Cornwall",113, ,0,0,0,72,259,"Trinity Anglican Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,63,5,27,12,"Cornwall",114, ,1,0,0,108,354,"Seaway Senior Citizens Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,56,4,25,5,"Cornwall",115, ,0,0,0,92,237,"École Horizon - Jeunesse",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,53,8,32,7,"Cornwall",116, ,0,0,0,102,285,"École Horizon - Jeunesse",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,90,5,40,18,"Cornwall",117, ,0,0,0,156,343,"Seaway Senior Citizens Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,46,3,26,8,"Cornwall",118, ,0,0,1,84,275,"École Horizon - Jeunesse",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,44,4,9,7,"Cornwall",119, ,0,0,0,65,236,"École Horizon - Jeunesse",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,93,5,50,17,"Cornwall",120, ,2,0,0,167,384,"Seaway Senior Citizens Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,56,4,47,14,"Cornwall",121, ,0,0,0,121,280,"Central Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,31,7,15,15,"Cornwall",122, ,1,0,0,70,231,"École Horizon - Jeunesse",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,61,7,34,10,"Cornwall",123, ,0,0,0,112,274,"Central Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,69,3,24,12,"Cornwall",124, ,1,0,0,111,288,"Gladstone Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,50,4,25,7,"Cornwall",125, ,1,0,0,89,255,"Gladstone Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,73,6,36,11,"Cornwall",126, ,0,1,0,128,327,"Gladstone Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,18,4,5,1,"Cornwall",127s, ,0,0,0,29,53,"Janet McDonnell Pavilion",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,118,6,35,12,"Cornwall",128, ,0,0,0,171,372,"École secondaire catholique La Citadelle",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,50,2,21,8,"Cornwall",129, ,1,0,0,82,240,"Central Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,15,1,2,0,"Cornwall",130s, ,0,0,1,20,64,"Manoir Parisien Manor",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,..........................NO POLL HELD........................,,,,,"Cornwall",131s, ,0,0,0,0,0,"",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,8,3,0,2,"Cornwall",132s, ,0,0,0,13,18,"Manoir Royal Manor",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,8,1,1,2,"Cornwall",133s, ,2,0,0,14,21,"Manoir Marlborough Place",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,61,9,30,14,"Cornwall",134, ,0,0,0,114,323,"Central Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,139,2,48,10,"Cornwall",135, ,2,3,0,205,411,"École secondaire catholique La Citadelle",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,43,2,23,1,"Cornwall",136s, ,0,1,0,73,89,"McConnell Manor",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,117,6,46,8,"Cornwall",137, ,0,0,0,178,341,"St. Felix Church Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,56,2,24,9,"Cornwall",138, ,1,0,0,94,280,"Centre Charles-Émile Claude",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,59,1,34,14,"Cornwall",139, ,0,0,0,109,316,"École secondaire catholique La Citadelle",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,91,4,30,10,"Cornwall",140, ,3,0,0,139,346,"École secondaire catholique La Citadelle",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,113,6,50,7,"Cornwall",141, ,2,1,0,182,341,"St. Felix Church Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,38,4,12,11,"Cornwall",142, ,1,0,0,66,255,"Centre Charles-Émile Claude",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,130,10,45,18,"Cornwall",143, ,2,0,0,206,399,"St. Felix Church Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,45,1,10,6,"Cornwall",144, ,1,0,0,63,255,"Centre Charles-Émile Claude",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,60,2,19,8,"Cornwall",145, ,0,0,0,89,278,"École secondaire catholique La Citadelle",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,44,4,12,11,"Cornwall",146, ,0,0,0,71,354,"St. Lawrence College",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,140,6,29,10,"Cornwall",147, ,3,3,0,192,409,"St. Felix Church Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,54,2,17,11,"Cornwall",148, ,1,1,0,86,291,"St. Lawrence College",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,156,4,54,15,"Cornwall",149, ,3,0,0,233,394,"École Élémentaire Marie-Tanguay",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,42,5,22,9,"Cornwall",151, ,0,0,0,79,200,"St. Lawrence Intermediate School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,89,6,38,13,"Cornwall",152, ,0,2,0,148,379,"École Élémentaire Marie-Tanguay",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,45,6,31,20,"Cornwall",153, ,3,0,0,105,328,"St. Lawrence College",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,55,4,38,9,"Cornwall",154, ,2,0,0,108,320,"St. Lawrence Intermediate School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,97,3,46,11,"Cornwall",155, ,3,1,0,163,295,"École Élémentaire Marie-Tanguay",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,125,4,43,7,"Cornwall",156, ,0,0,0,180,405,"Centre Culturel du conseil de vie française",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,106,7,52,12,"Cornwall",157, ,1,0,0,180,351,"St. Lawrence Intermediate School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,10,2,2,4,"Cornwall",158s, ,0,0,0,20,55,"Manoir Riverview Manor",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,129,10,49,18,"Cornwall",159, ,0,1,0,210,455,"École Élémentaire Marie-Tanguay",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,72,3,28,13,"Cornwall",160, ,1,0,0,117,355,"Centre Culturel du conseil de vie française",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,127,7,40,31,"Cornwall",161, ,2,0,0,208,492,"Centre Culturel du conseil de vie française",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,110,7,41,22,"Cornwall",162, ,1,1,0,182,373,"Centre Culturel du conseil de vie française",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,70,1,26,2,"Cornwall",163, ,1,0,0,102,220,"St. Lawrence Intermediate School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,28,0,11,5,"Cornwall",164, ,0,0,0,45,106,"St. Lawrence Intermediate School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,27,3,11,0,"Cornwall",165s, ,0,0,0,41,123,"Maison Glen Stor Dun Lodge",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,195,10,55,2,"Cornwall",166, ,0,0,0,263,452,"St. Lawrence Intermediate School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,74,3,40,11,"Cornwall",167, ,0,0,0,131,313,"Centre Culturel du conseil de vie française",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,86,11,47,12,"South Glengarry",168, ,0,0,0,157,302,"Holy Trinity Catholic Secondary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,48,21,80,19,"North Dundas",169, ,1,0,0,171,457,"Inkerman Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,45,10,121,18,"North Dundas",170, ,0,1,0,195,395,"Inkerman Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,51,7,78,13,"South Dundas",171, ,0,0,0,150,417,"Dunbar Recreation Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,49,17,128,22,"South Dundas",172, ,0,1,1,221,404,"Dunbar Recreation Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,69,9,97,14,"Ingleside",173, ,0,0,0,189,412,"South Stormont Seniors' Support Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,111,5,76,7,"Long Sault",174, ,0,0,0,199,390,"Anglican-Christ Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,13,1,4,2,"South Stormont",175s, ,0,1,0,21,28,"Villa Long Sault Villa",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,23,1,12,3,"South Stormont",176s, ,1,4,0,44,118,"Villa Woodland Villa",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,112,2,56,12,"Long Sault",177, ,0,0,0,182,349,"Anglican-Christ Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,122,5,65,9,"Long Sault",178, ,0,0,0,201,411,"Anglican-Christ Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,89,9,56,8,"Cornwall",179, ,0,0,0,163,389,"Viscount Alexander Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,87,13,44,8,"Cornwall",180, ,2,0,0,154,320,"St. Matthew's Church Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,134,8,70,9,"Cornwall",181, ,0,0,0,222,446,"Viscount Alexander Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,106,5,66,5,"Cornwall",182, ,0,0,0,183,354,"Viscount Alexander Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,111,7,70,14,"Cornwall",183, ,1,0,0,205,352,"Viscount Alexander Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,110,8,71,21,"Cornwall",184, ,0,0,0,210,388,"Viscount Alexander Public School",20071010
