ED_CODE,ED_NAME,DINOVO,HEARNS,HUN,HUTCHEON,KIDD,WATSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
068,PARKDALE--HIGH PARK,113,27,1,27,0,57,"Toronto",054, ,1,0,0,226,454,"Keele Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,63,19,1,28,0,52,"Toronto",055, ,0,0,0,163,379,"Keele Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,7,3,2,6,1,11,"Toronto",056, ,0,1,0,31,126,"St. Joan of Arc Parish",20071010
068,PARKDALE--HIGH PARK,52,33,2,89,0,84,"Toronto",057, ,2,0,0,262,450,"Humbercrest Public School",20071010
068,PARKDALE--HIGH PARK,74,25,0,65,4,75,"Toronto",058, ,0,0,0,243,370,"Humbercrest Public School",20071010
068,PARKDALE--HIGH PARK,80,20,2,53,1,61,"Toronto",059, ,1,0,0,218,336,"Humbercrest Public School",20071010
068,PARKDALE--HIGH PARK,63,16,2,46,0,52,"Toronto",060, ,0,0,0,179,324,"Humbercrest United Church",20071010
068,PARKDALE--HIGH PARK,96,18,2,39,0,88,"Toronto",061, ,1,0,1,245,395,"Humbercrest United Church",20071010
068,PARKDALE--HIGH PARK,100,20,0,34,0,63,"Toronto",062, ,1,1,0,219,332,"Runnymede United Church",20071010
068,PARKDALE--HIGH PARK,84,28,3,43,1,51,"Toronto",063, ,0,0,0,210,436,"Humberside Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,64,23,2,17,0,57,"Toronto",064, ,0,0,0,163,333,"Runnymede Public Library",20071010
068,PARKDALE--HIGH PARK,63,25,0,24,0,32,"Toronto",065, ,1,1,0,146,345,"Keele Street Public School",20071010
068,PARKDALE--HIGH PARK,18,5,1,17,1,52,"Toronto",067s, ,0,0,0,94,180,"Loyola Arrupe Centre for Seniors",20071010
068,PARKDALE--HIGH PARK,10,1,3,27,0,49,"Toronto",068s, ,0,1,0,91,146,"Vilnius Manor Lithuanian Apartment",20071010
068,PARKDALE--HIGH PARK,119,32,1,31,7,83,"Toronto",069, ,0,0,0,273,507,"St. Joan of Arc Parish",20071010
068,PARKDALE--HIGH PARK,75,16,1,15,2,36,"Toronto",070, ,0,0,0,145,303,"St. Joan of Arc Parish",20071010
068,PARKDALE--HIGH PARK,53,12,1,10,1,30,"Toronto",071, ,0,0,0,107,234,"Bishop Marrocco/Thomas Merton Catholic School",20071010
068,PARKDALE--HIGH PARK,98,26,0,26,1,47,"Toronto",072, ,3,1,0,202,388,"Bishop Marrocco/Thomas Merton Catholic School",20071010
068,PARKDALE--HIGH PARK,95,19,2,57,0,76,"Toronto",073, ,0,1,0,250,415,"St. Pius X Catholic School",20071010
068,PARKDALE--HIGH PARK,79,16,1,37,1,66,"Toronto",074, ,0,0,0,200,374,"Runnymede Presbyterian Church",20071010
068,PARKDALE--HIGH PARK,94,14,2,49,0,53,"Toronto",075, ,1,0,0,213,380,"Runnymede Junior and Senior Public School",20071010
068,PARKDALE--HIGH PARK,107,20,1,28,0,61,"Toronto",076, ,1,0,0,218,386,"Runnymede Junior and Senior Public School",20071010
068,PARKDALE--HIGH PARK,62,15,0,26,0,48,"Toronto",077, ,0,2,0,153,297,"Runnymede Junior and Senior Public School",20071010
068,PARKDALE--HIGH PARK,65,16,3,36,0,48,"Toronto",078, ,0,0,0,168,387,"Runnymede Junior and Senior Public School",20071010
068,PARKDALE--HIGH PARK,34,9,1,11,0,18,"Toronto",080, ,1,3,0,77,182,"Runnymede Public Library",20071010
068,PARKDALE--HIGH PARK,91,23,5,35,0,73,"Toronto",081, ,1,1,0,229,431,"High Park Baptist Church",20071010
068,PARKDALE--HIGH PARK,59,12,0,9,0,28,"Toronto",082, ,0,0,1,109,223,"Bishop Marrocco/Thomas Merton Catholic School",20071010
068,PARKDALE--HIGH PARK,85,25,3,13,4,34,"Toronto",083, ,0,0,0,164,268,"High Park Baptist Church",20071010
068,PARKDALE--HIGH PARK,86,20,0,19,1,28,"Toronto",084, ,0,0,1,155,289,"Howard Junior Public School",20071010
068,PARKDALE--HIGH PARK,58,12,2,13,4,33,"Toronto",085, ,1,0,0,123,269,"High Park Baptist Church",20071010
068,PARKDALE--HIGH PARK,83,16,1,19,2,51,"Toronto",086, ,0,0,1,173,344,"Howard Junior Public School",20071010
068,PARKDALE--HIGH PARK,115,23,1,6,0,35,"Toronto",087, ,0,0,0,180,339,"Howard Junior Public School",20071010
068,PARKDALE--HIGH PARK,30,13,1,35,0,35,"Toronto",088, ,0,0,0,114,267,"St. Pius X Catholic School",20071010
068,PARKDALE--HIGH PARK,65,20,0,82,3,80,"Toronto",089, ,1,0,0,251,407,"St. Pius X Catholic School",20071010
068,PARKDALE--HIGH PARK,96,19,1,33,0,57,"Toronto",090, ,0,0,0,206,396,"St. Pius X Catholic School",20071010
068,PARKDALE--HIGH PARK,44,19,1,41,0,40,"Toronto",091, ,0,0,0,145,250,"St. Pius X Catholic School",20071010
068,PARKDALE--HIGH PARK,57,12,2,32,1,52,"Toronto",092, ,3,0,0,159,319,"Swansea Town Hall Community Centre",20071010
068,PARKDALE--HIGH PARK,55,26,1,15,0,38,"Toronto",093, ,0,0,0,135,277,"Morningside High Park Presbyterian Church",20071010
068,PARKDALE--HIGH PARK,81,12,0,26,0,49,"Toronto",094, ,0,0,0,168,333,"High Park Baptist Church",20071010
068,PARKDALE--HIGH PARK,88,22,0,25,4,43,"Toronto",095, ,0,0,0,182,330,"Howard Junior Public School",20071010
068,PARKDALE--HIGH PARK,90,18,1,27,3,36,"Toronto",096, ,0,1,0,176,305,"Howard Junior Public School",20071010
068,PARKDALE--HIGH PARK,94,16,0,20,1,50,"Toronto",097, ,0,0,0,181,343,"Howard Junior Public School",20071010
068,PARKDALE--HIGH PARK,102,25,1,15,0,38,"Toronto",098, ,4,0,0,185,323,"St. Vincent de Paul Catholic School",20071010
068,PARKDALE--HIGH PARK,92,22,0,16,1,42,"Toronto",099, ,1,1,0,175,317,"St. Vincent de Paul Catholic School",20071010
068,PARKDALE--HIGH PARK,153,29,1,25,2,71,"Toronto",100, ,0,1,0,282,536,"Fern Avenue Public School",20071010
068,PARKDALE--HIGH PARK,66,17,1,60,0,51,"Toronto",101, ,0,0,0,195,338,"Farmer Memorial Baptist Church",20071010
068,PARKDALE--HIGH PARK,48,12,2,34,1,36,"Toronto",102, ,0,0,0,133,223,"Farmer Memorial Baptist Church",20071010
068,PARKDALE--HIGH PARK,70,30,0,56,3,70,"Toronto",103, ,1,0,0,230,410,"Swansea Town Hall Community Centre",20071010
068,PARKDALE--HIGH PARK,73,18,1,60,0,74,"Toronto",104, ,2,0,0,228,384,"Swansea Town Hall Community Centre",20071010
068,PARKDALE--HIGH PARK,64,11,1,35,0,50,"Toronto",105, ,0,0,0,161,233,"Swansea Town Hall Community Centre",20071010
068,PARKDALE--HIGH PARK,69,22,1,50,1,48,"Toronto",106, ,2,0,0,193,323,"Swansea Town Hall Community Centre",20071010
068,PARKDALE--HIGH PARK,92,23,3,37,7,71,"Toronto",107, ,0,0,1,234,328,"Morningside High Park Presbyterian Church",20071010
068,PARKDALE--HIGH PARK,73,14,0,12,0,37,"Toronto",108, ,0,0,0,136,237,"St. Vincent de Paul Catholic School",20071010
068,PARKDALE--HIGH PARK,52,10,3,10,3,30,"Toronto",109, ,0,0,1,109,223,"St. Vincent de Paul Catholic School",20071010
068,PARKDALE--HIGH PARK,73,17,1,25,0,33,"Toronto",110, ,0,0,0,149,283,"Emmanuel-Howard Park United Church",20071010
068,PARKDALE--HIGH PARK,87,23,0,20,1,56,"Toronto",111, ,0,0,0,187,340,"St. Vincent de Paul Catholic School",20071010
068,PARKDALE--HIGH PARK,84,22,3,17,4,32,"Toronto",112, ,1,0,0,163,322,"Emmanuel-Howard Park United Church",20071010
068,PARKDALE--HIGH PARK,134,37,2,18,5,41,"Toronto",113, ,0,0,0,237,418,"St. Vincent de Paul Catholic School",20071010
068,PARKDALE--HIGH PARK,101,29,1,15,3,48,"Toronto",114, ,0,2,0,199,332,"Fern Avenue Public School",20071010
068,PARKDALE--HIGH PARK,129,30,0,21,0,42,"Toronto",115, ,2,1,0,225,417,"Fern Avenue Public School",20071010
068,PARKDALE--HIGH PARK,102,10,1,16,1,42,"Toronto",116, ,2,2,0,176,387,"Parkdale Community Centre",20071010
068,PARKDALE--HIGH PARK,107,15,2,8,1,34,"Toronto",117, ,0,0,1,168,362,"Parkdale Community Centre",20071010
068,PARKDALE--HIGH PARK,35,27,4,58,2,50,"Toronto",118, ,1,0,0,177,310,"Farmer Memorial Baptist Church",20071010
068,PARKDALE--HIGH PARK,66,20,1,60,1,74,"Toronto",119, ,1,0,0,223,379,"Farmer Memorial Baptist Church",20071010
068,PARKDALE--HIGH PARK,78,34,2,53,0,69,"Toronto",120, ,0,0,0,236,407,"Swansea Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,57,15,1,37,0,38,"Toronto",121, ,0,0,0,148,270,"Swansea Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,54,21,0,34,2,47,"Toronto",122, ,0,0,0,158,333,"Morningside High Park Presbyterian Church",20071010
068,PARKDALE--HIGH PARK,69,26,0,16,0,26,"Toronto",123, ,1,0,1,139,244,"High Park Tennis & Curling Club",20071010
068,PARKDALE--HIGH PARK,64,13,1,12,0,31,"Toronto",124, ,0,0,0,121,237,"Emmanuel-Howard Park United Church",20071010
068,PARKDALE--HIGH PARK,91,14,0,15,0,31,"Toronto",125, ,0,0,0,151,297,"Emmanuel-Howard Park United Church",20071010
068,PARKDALE--HIGH PARK,96,30,2,24,2,43,"Toronto",126, ,1,0,0,198,330,"High Park Library",20071010
068,PARKDALE--HIGH PARK,115,13,0,23,1,44,"Toronto",127, ,1,0,1,198,366,"Garden Avenue Junior Public School",20071010
068,PARKDALE--HIGH PARK,96,26,1,18,0,55,"Toronto",128, ,0,0,0,196,321,"Fern Avenue Public School",20071010
068,PARKDALE--HIGH PARK,119,19,1,17,3,42,"Toronto",129, ,1,0,0,202,369,"Fern Avenue Public School",20071010
068,PARKDALE--HIGH PARK,145,27,3,14,2,43,"Toronto",130, ,0,0,0,234,400,"Fern Avenue Public School",20071010
068,PARKDALE--HIGH PARK,80,20,1,12,0,36,"Toronto",131, ,0,0,0,149,263,"Parkdale Public School",20071010
068,PARKDALE--HIGH PARK,102,27,1,7,1,45,"Toronto",132, ,1,0,0,184,363,"Parkdale Public School",20071010
068,PARKDALE--HIGH PARK,70,13,0,11,1,29,"Toronto",133, ,1,0,0,125,342,"Parkdale Public School",20071010
068,PARKDALE--HIGH PARK,66,9,1,4,1,17,"Toronto",134, ,0,0,0,98,226,"Masaryk-Cowan Community Centre",20071010
068,PARKDALE--HIGH PARK,99,22,1,7,0,33,"Toronto",135, ,1,0,0,163,347,"Parkdale Public School",20071010
068,PARKDALE--HIGH PARK,99,21,0,11,0,29,"Toronto",136, ,1,0,0,161,408,"Parkdale Public School",20071010
068,PARKDALE--HIGH PARK,123,20,3,18,1,44,"Toronto",137, ,0,1,1,211,418,"Parkdale Library",20071010
068,PARKDALE--HIGH PARK,27,18,0,56,0,53,"Toronto",138, ,0,0,0,154,356,"Swansea Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,34,4,1,50,0,40,"Toronto",139, ,0,0,0,129,274,"Swansea Public School",20071010
068,PARKDALE--HIGH PARK,41,13,0,28,0,30,"Toronto",140, ,0,0,0,112,196,"Swansea Public School",20071010
068,PARKDALE--HIGH PARK,37,8,0,13,0,28,"Toronto",141, ,0,0,0,86,214,"Swansea Public School",20071010
068,PARKDALE--HIGH PARK,56,14,0,25,3,31,"Toronto",142, ,1,0,0,130,257,"Swansea Public School",20071010
068,PARKDALE--HIGH PARK,12,1,0,4,1,16,"Toronto",144s, ,0,1,0,35,176,"Copernicus Lodge",20071010
068,PARKDALE--HIGH PARK,115,18,1,18,0,38,"Toronto",145, ,1,0,0,191,374,"Garden Avenue Junior Public School",20071010
068,PARKDALE--HIGH PARK,85,24,0,12,2,25,"Toronto",146, ,1,0,0,149,314,"Garden Avenue Junior Public School",20071010
068,PARKDALE--HIGH PARK,92,18,0,12,1,17,"Toronto",147, ,1,0,0,141,325,"Garden Avenue Junior Public School",20071010
068,PARKDALE--HIGH PARK,61,7,2,5,0,23,"Toronto",148, ,0,0,2,100,284,"Parkdale Activity Recreation Centre",20071010
068,PARKDALE--HIGH PARK,58,11,0,4,1,20,"Toronto",149, ,0,0,0,94,223,"Parkdale Activity Recreation Centre",20071010
068,PARKDALE--HIGH PARK,39,4,1,7,0,24,"Toronto",150, ,4,1,0,80,187,"Parkdale Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,25,0,2,5,1,37,"Toronto",151, ,0,0,0,70,150,"Parkdale Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,75,4,2,4,3,36,"Toronto",152, ,0,0,0,124,309,"Parkdale Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,85,15,0,14,10,41,"Toronto",153, ,1,0,0,166,367,"Masaryk-Cowan Community Centre",20071010
068,PARKDALE--HIGH PARK,60,6,0,6,0,23,"Toronto",154, ,1,0,0,96,271,"Masaryk-Cowan Community Centre",20071010
068,PARKDALE--HIGH PARK,11,2,1,7,1,15,"Toronto",155s, ,4,1,0,42,135,"Elm Grove Living Centre Incorporated",20071010
068,PARKDALE--HIGH PARK,63,16,2,11,1,41,"Toronto",156, ,2,0,0,136,315,"Parkdale Library",20071010
068,PARKDALE--HIGH PARK,36,0,2,1,2,44,"Toronto",157, ,0,1,0,86,190,"Swansea Mews",20071010
068,PARKDALE--HIGH PARK,61,29,3,29,3,66,"Toronto",158, ,0,0,0,191,400,"Swansea Public School",20071010
068,PARKDALE--HIGH PARK,81,14,0,15,0,32,"Toronto",159, ,0,0,0,142,276,"High Park Library",20071010
068,PARKDALE--HIGH PARK,101,15,0,3,1,11,"Toronto",160, ,0,1,0,132,287,"Garden Avenue Junior Public School",20071010
068,PARKDALE--HIGH PARK,65,12,0,17,0,16,"Toronto",161, ,0,0,0,110,302,"Garden Avenue Junior Public School",20071010
068,PARKDALE--HIGH PARK,92,15,1,8,0,24,"Toronto",162, ,1,0,0,141,352,"Parkdale Activity Recreation Centre",20071010
068,PARKDALE--HIGH PARK,4,0,0,2,0,12,"Toronto",163s, ,0,0,0,18,40,"White Eagle Nursing Home",20071010
068,PARKDALE--HIGH PARK,56,16,1,8,1,40,"Toronto",164, ,2,0,0,124,302,"Parkdale Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,61,5,0,4,1,42,"Toronto",165, ,0,1,0,114,281,"Parkdale Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,45,4,1,1,0,32,"Toronto",166, ,0,0,0,83,206,"Parkdale Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,34,5,0,1,2,25,"Toronto",167, ,0,2,0,69,165,"Parkdale Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,39,2,3,5,1,27,"Toronto",168, ,0,0,0,77,153,"Queen Victoria Public School",20071010
068,PARKDALE--HIGH PARK,30,1,1,5,0,28,"Toronto",169, ,1,0,0,66,155,"Queen Victoria Public School",20071010
068,PARKDALE--HIGH PARK,61,1,0,9,1,47,"Toronto",170, ,0,1,0,120,289,"Holy Family Catholic School",20071010
068,PARKDALE--HIGH PARK,..........................NO POLL HELD........................,,,,,,"Toronto",171, ,0,0,0,0,0,"",20071010
068,PARKDALE--HIGH PARK,..........................NO POLL HELD........................,,,,,,"Toronto",172, ,0,0,0,0,0,"",20071010
068,PARKDALE--HIGH PARK,5,1,1,8,1,12,"Toronto",173s, ,0,0,0,28,125,"Lakeside Long-Term Care Centre",20071010
068,PARKDALE--HIGH PARK,99,17,0,11,2,32,"Toronto",174, ,2,1,0,164,326,"Parkdale United Church",20071010
068,PARKDALE--HIGH PARK,120,31,0,10,1,27,"Toronto",175, ,1,0,0,190,354,"Parkdale United Church",20071010
068,PARKDALE--HIGH PARK,39,3,0,9,1,24,"Toronto",176, ,0,0,0,76,194,"Holy Family Catholic School",20071010
068,PARKDALE--HIGH PARK,33,3,2,5,0,28,"Toronto",177, ,1,1,0,73,213,"Holy Family Catholic School",20071010
068,PARKDALE--HIGH PARK,3,1,0,0,2,13,"Toronto",178s, ,0,0,0,19,74,"Norwood Nursing Home Limited",20071010
068,PARKDALE--HIGH PARK,21,1,1,3,2,31,"Toronto",179, ,0,0,0,59,145,"Holy Family Catholic School",20071010
068,PARKDALE--HIGH PARK,45,2,4,4,0,12,"Toronto",180, ,0,0,0,67,190,"Holy Family Catholic School",20071010
068,PARKDALE--HIGH PARK,33,4,0,3,0,19,"Toronto",181, ,0,0,0,59,171,"Holy Family Catholic School",20071010
068,PARKDALE--HIGH PARK,18,2,3,4,1,28,"Toronto",182, ,0,0,0,56,174,"Holy Family Catholic School",20071010
068,PARKDALE--HIGH PARK,43,6,0,11,0,22,"Toronto",184, ,0,1,0,83,207,"Parkdale United Church",20071010
068,PARKDALE--HIGH PARK,62,13,0,6,0,18,"Toronto",185, ,0,1,0,100,254,"Queen Victoria Public School",20071010
068,PARKDALE--HIGH PARK,49,9,2,11,0,34,"Toronto",186, ,0,0,1,106,224,"Queen Victoria Public School",20071010
068,PARKDALE--HIGH PARK,33,3,1,3,0,26,"Toronto",187, ,1,0,0,67,143,"Queen Victoria Public School",20071010
068,PARKDALE--HIGH PARK,8,0,2,11,2,28,"Toronto",188s, ,0,0,0,51,168,"Toronto Rehabilitation Centre",20071010
068,PARKDALE--HIGH PARK,64,13,2,6,3,18,"Toronto",189, ,0,0,0,106,269,"Parkdale United Church",20071010
068,PARKDALE--HIGH PARK,77,5,0,7,2,14,"Toronto",190, ,0,0,0,105,203,"Parkdale United Church",20071010
068,PARKDALE--HIGH PARK,37,2,0,1,0,51,"Toronto",400, ,1,1,0,93,253,"3725 Dundas Street West",20071010
068,PARKDALE--HIGH PARK,25,3,0,4,1,34,"Toronto",401, ,1,1,0,69,160,"3735 Dundas Street West",20071010
068,PARKDALE--HIGH PARK,26,2,1,5,1,38,"Toronto",402, ,3,1,1,78,175,"3725 Dundas Street West",20071010
068,PARKDALE--HIGH PARK,43,11,3,21,1,50,"Toronto",403, ,1,1,0,131,231,"4049 Dundas Street West",20071010
068,PARKDALE--HIGH PARK,37,11,0,12,0,45,"Toronto",404, ,0,0,0,105,139,"The Glenlake",20071010
068,PARKDALE--HIGH PARK,117,8,2,22,4,84,"Toronto",405, ,0,0,0,237,431,"100 High Park Avenue",20071010
068,PARKDALE--HIGH PARK,60,17,0,23,2,46,"Toronto",406, ,0,1,0,149,203,"95 High Park Avenue",20071010
068,PARKDALE--HIGH PARK,57,15,3,24,0,52,"Toronto",407, ,0,1,0,152,297,"299 Glenlake Avenue",20071010
068,PARKDALE--HIGH PARK,88,27,2,25,1,79,"Toronto",408, ,0,0,0,222,333,"255 Glenlake Avenue",20071010
068,PARKDALE--HIGH PARK,70,12,0,26,0,58,"Toronto",409, ,0,0,0,166,254,"111 Pacific Avenue",20071010
068,PARKDALE--HIGH PARK,59,8,1,21,1,27,"Toronto",410, ,0,0,0,117,172,"66 Oakmount Road",20071010
068,PARKDALE--HIGH PARK,62,9,2,16,1,37,"Toronto",411, ,1,1,0,129,242,"55 Oakmount Road",20071010
068,PARKDALE--HIGH PARK,57,17,1,13,2,53,"Toronto",412, ,1,2,0,146,259,"45 Oakmount Road",20071010
068,PARKDALE--HIGH PARK,60,17,3,19,3,29,"Toronto",413, ,1,1,0,133,245,"60 Mountview Avenue",20071010
068,PARKDALE--HIGH PARK,89,21,5,32,1,69,"Toronto",414, ,0,0,0,217,405,"Crossways - South Tower",20071010
068,PARKDALE--HIGH PARK,77,33,3,28,4,75,"Toronto",415, ,0,1,0,221,418,"Crossways - North Tower",20071010
068,PARKDALE--HIGH PARK,70,11,4,63,2,101,"Toronto",416, ,0,1,0,252,336,"100 Quebec Avenue",20071010
068,PARKDALE--HIGH PARK,38,9,1,39,2,74,"Toronto",417, ,0,0,0,163,257,"50 Quebec Avenue",20071010
068,PARKDALE--HIGH PARK,28,13,1,22,0,39,"Toronto",418, ,0,0,0,103,143,"80 Quebec Avenue",20071010
068,PARKDALE--HIGH PARK,84,10,2,31,4,49,"Toronto",419, ,1,0,0,181,352,"77 Quebec Avenue",20071010
