ED_CODE,ED_NAME,CRUGNALE,DARTSCH,INNES,MILLER,VIRGIN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
032,HAMILTON EAST--STONEY CREEK,13,10,5,69,34,"Hamilton",013, ,0,0,0,131,304,"Queen Mary Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,11,8,1,46,27,"Hamilton",014, ,2,0,0,95,383,"Queen Mary Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,11,9,0,61,19,"Hamilton",015, ,0,0,0,100,278,"Queen Mary Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,8,16,3,84,34,"Hamilton",016, ,0,0,0,145,337,"Hamilton East Kiwanis Boys & Girls Incorporated",20071010
032,HAMILTON EAST--STONEY CREEK,16,8,0,91,22,"Hamilton",017, ,1,0,0,138,297,"Holy Family Church",20071010
032,HAMILTON EAST--STONEY CREEK,12,5,2,56,15,"Hamilton",018, ,0,0,0,90,257,"Hamilton East Kiwanis Boys & Girls Incorporated",20071010
032,HAMILTON EAST--STONEY CREEK,16,7,2,52,27,"Hamilton",019, ,0,0,0,104,325,"Hamilton East Kiwanis Boys & Girls Incorporated",20071010
032,HAMILTON EAST--STONEY CREEK,18,7,2,65,24,"Hamilton",020, ,0,0,0,116,276,"Holy Family Church",20071010
032,HAMILTON EAST--STONEY CREEK,14,8,2,59,16,"Hamilton",021, ,0,0,0,99,314,"Hamilton East Kiwanis Boys & Girls Incorporated",20071010
032,HAMILTON EAST--STONEY CREEK,19,4,1,53,24,"Hamilton",022, ,2,0,0,103,302,"Holy Family Church",20071010
032,HAMILTON EAST--STONEY CREEK,14,4,0,99,23,"Hamilton",023, ,0,1,0,141,340,"W.H. Ballard Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,24,4,1,55,25,"Hamilton",024, ,0,0,0,109,275,"St. Alban the Martyr Church",20071010
032,HAMILTON EAST--STONEY CREEK,15,3,0,59,25,"Hamilton",025, ,0,0,0,102,266,"St. Alban the Martyr Church",20071010
032,HAMILTON EAST--STONEY CREEK,13,3,0,50,11,"Hamilton",026, ,1,0,0,78,246,"St. Alban the Martyr Church",20071010
032,HAMILTON EAST--STONEY CREEK,27,4,0,69,29,"Hamilton",027, ,0,3,0,132,287,"Parkdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,17,7,2,76,22,"Hamilton",028, ,1,0,0,125,298,"Parkdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,23,2,0,52,34,"Hamilton",029, ,1,0,0,112,242,"Woodward Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,79,13,0,27,86,"Hamilton",030, ,0,0,0,205,423,"Shoreliner Condominiums",20071010
032,HAMILTON EAST--STONEY CREEK,49,18,1,61,80,"Hamilton",031, ,0,0,0,209,469,"Shoreliner Condominiums",20071010
032,HAMILTON EAST--STONEY CREEK,11,7,2,88,25,"Hamilton",032, ,2,0,0,135,287,"YWCA - Ottawa Street",20071010
032,HAMILTON EAST--STONEY CREEK,29,16,2,77,60,"Hamilton",033, ,0,0,0,184,324,"YWCA - Ottawa Street",20071010
032,HAMILTON EAST--STONEY CREEK,15,16,1,77,23,"Hamilton",034, ,0,1,0,133,329,"YWCA - Ottawa Street",20071010
032,HAMILTON EAST--STONEY CREEK,14,7,0,53,21,"Hamilton",035, ,2,0,0,97,257,"Queen Mary Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,24,12,2,58,33,"Hamilton",036, ,0,0,0,129,297,"Queen Mary Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,16,7,2,49,28,"Hamilton",037, ,0,0,0,102,265,"Queen Mary Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,35,8,1,79,31,"Hamilton",038, ,1,0,0,155,334,"Hamilton East Kiwanis Boys & Girls Incorporated",20071010
032,HAMILTON EAST--STONEY CREEK,22,6,1,96,47,"Hamilton",039, ,0,0,0,172,338,"W.H. Ballard Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,18,6,2,88,26,"Hamilton",040, ,3,0,0,143,340,"St. Alban the Martyr Church",20071010
032,HAMILTON EAST--STONEY CREEK,32,14,0,74,40,"Hamilton",041, ,0,0,0,160,360,"W.H. Ballard Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,28,13,2,78,39,"Hamilton",042, ,0,0,1,161,339,"W.H. Ballard Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,9,3,0,53,23,"Hamilton",043, ,0,0,0,88,222,"St. Alban the Martyr Church",20071010
032,HAMILTON EAST--STONEY CREEK,17,7,2,82,53,"Hamilton",044, ,1,0,1,163,363,"Parkdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,18,13,2,90,50,"Hamilton",045, ,2,0,0,175,313,"Parkdale Arena",20071010
032,HAMILTON EAST--STONEY CREEK,18,10,2,82,41,"Hamilton",046, ,0,0,0,153,342,"Parkdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,23,5,2,109,33,"Hamilton",047, ,0,1,0,173,364,"Parkdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,11,4,2,43,23,"Hamilton",048, ,0,0,0,83,238,"St. Helen School",20071010
032,HAMILTON EAST--STONEY CREEK,14,3,3,51,33,"Hamilton",049, ,1,0,0,105,268,"St. Helen School",20071010
032,HAMILTON EAST--STONEY CREEK,8,2,0,48,2,"Hamilton",050, ,0,0,0,60,235,"St. Helen School",20071010
032,HAMILTON EAST--STONEY CREEK,15,8,2,84,23,"Hamilton",051, ,0,0,0,132,275,"St. Helen School",20071010
032,HAMILTON EAST--STONEY CREEK,9,5,2,36,19,"Hamilton",052, ,2,0,0,73,208,"Hillcrest Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,22,4,0,68,23,"Hamilton",053, ,0,0,0,117,263,"Hillcrest Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,22,9,3,83,34,"Hamilton",054, ,2,0,0,153,340,"Hillcrest Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,26,5,2,61,70,"Hamilton",055, ,1,0,0,165,410,"Lake Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,51,5,1,48,62,"Hamilton",056, ,0,0,0,167,303,"Shoreliner Condominiums",20071010
032,HAMILTON EAST--STONEY CREEK,17,12,0,52,49,"Hamilton",057, ,0,0,0,130,217,"St. John the Baptist School",20071010
032,HAMILTON EAST--STONEY CREEK,30,14,3,86,55,"Hamilton",058, ,0,0,0,188,309,"St. John the Baptist School",20071010
032,HAMILTON EAST--STONEY CREEK,41,13,1,90,60,"Hamilton",059, ,0,0,0,205,373,"A.M. Cunningham Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,29,12,2,91,45,"Hamilton",060, ,2,0,0,181,302,"A.M. Cunningham Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,44,16,3,84,55,"Hamilton",061, ,0,3,0,205,366,"A.M. Cunningham Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,54,9,0,111,43,"Hamilton",062, ,0,0,0,217,381,"A.M. Cunningham Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,22,3,2,79,46,"Hamilton",063, ,1,0,0,153,344,"A.M. Cunningham Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,20,8,6,71,34,"Hamilton",064, ,0,0,0,139,315,"A.M. Cunningham Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,25,6,0,71,39,"Hamilton",065, ,0,0,0,141,288,"St. Columba Church",20071010
032,HAMILTON EAST--STONEY CREEK,1,0,1,6,5,"Hamilton",066s, ,2,1,0,16,18,"Abington Court Retirement Home",20071010
032,HAMILTON EAST--STONEY CREEK,26,7,0,95,34,"Hamilton",067, ,1,0,0,163,348,"St. Columba Church",20071010
032,HAMILTON EAST--STONEY CREEK,34,12,1,85,55,"Hamilton",068, ,3,0,0,190,383,"St. Columba Church",20071010
032,HAMILTON EAST--STONEY CREEK,27,6,1,62,45,"Hamilton",069, ,1,0,1,143,327,"Viscount Montgomery Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,27,7,1,87,41,"Hamilton",070, ,1,0,0,164,351,"Parkdale Arena",20071010
032,HAMILTON EAST--STONEY CREEK,21,10,3,99,47,"Hamilton",071, ,0,0,0,180,370,"Parkdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,27,3,3,73,43,"Hamilton",072, ,1,1,0,151,333,"Parkdale Arena",20071010
032,HAMILTON EAST--STONEY CREEK,20,11,8,105,46,"Hamilton",073, ,2,2,0,194,388,"Roxborough Park Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,12,6,1,58,42,"Hamilton",074, ,0,0,0,119,293,"Roxborough Park Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,25,7,1,84,28,"Hamilton",075, ,0,0,2,147,326,"Roxborough Park Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,10,3,3,64,35,"Hamilton",076, ,0,0,0,115,277,"St. Helen School",20071010
032,HAMILTON EAST--STONEY CREEK,35,4,3,60,80,"Hamilton",077, ,1,1,0,184,357,"Renaissance Banquet Centre",20071010
032,HAMILTON EAST--STONEY CREEK,42,5,2,60,88,"Hamilton",078, ,2,0,2,201,410,"Renaissance Banquet Centre",20071010
032,HAMILTON EAST--STONEY CREEK,4,3,0,31,17,"Hamilton",079, ,0,0,0,55,215,"Renaissance Banquet Centre",20071010
032,HAMILTON EAST--STONEY CREEK,32,16,3,42,45,"Hamilton",080, ,1,0,0,139,364,"Renaissance Banquet Centre",20071010
032,HAMILTON EAST--STONEY CREEK,34,9,2,71,75,"Hamilton",081, ,0,1,0,192,379,"St. Agnes School",20071010
032,HAMILTON EAST--STONEY CREEK,48,3,1,53,111,"Stoney Creek",082, ,2,0,0,218,397,"Mountainview Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,64,8,3,37,41,"Stoney Creek",083, ,0,0,0,153,335,"Liuna Garden Centre",20071010
032,HAMILTON EAST--STONEY CREEK,71,8,0,19,83,"Stoney Creek",084, ,2,0,0,183,422,"Liuna Garden Centre",20071010
032,HAMILTON EAST--STONEY CREEK,53,10,1,16,60,"Stoney Creek",085, ,0,0,1,141,325,"Liuna Garden Centre",20071010
032,HAMILTON EAST--STONEY CREEK,86,16,0,39,75,"Stoney Creek",086, ,1,0,0,217,455,"Liuna Garden Centre",20071010
032,HAMILTON EAST--STONEY CREEK,44,20,1,65,64,"Hamilton",087, ,0,0,0,194,384,"St. John the Baptist School",20071010
032,HAMILTON EAST--STONEY CREEK,19,21,0,79,47,"Hamilton",088, ,0,0,0,166,337,"A.M. Cunningham Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,..........................NO POLL HELD........................,,,,,"Hamilton",089s, ,0,0,0,0,0,"",20071010
032,HAMILTON EAST--STONEY CREEK,22,4,1,68,34,"Hamilton",090, ,0,0,0,129,294,"Pioneer Memorial Church",20071010
032,HAMILTON EAST--STONEY CREEK,11,3,3,38,21,"Hamilton",091, ,0,0,0,76,196,"Pioneer Memorial Church",20071010
032,HAMILTON EAST--STONEY CREEK,24,10,2,91,45,"Hamilton",092, ,0,1,0,173,350,"St. Columba Church",20071010
032,HAMILTON EAST--STONEY CREEK,22,11,1,56,43,"Hamilton",093, ,1,0,0,134,275,"Pioneer Memorial Church",20071010
032,HAMILTON EAST--STONEY CREEK,9,5,1,33,28,"Hamilton",094, ,1,0,0,77,211,"Pioneer Memorial Church",20071010
032,HAMILTON EAST--STONEY CREEK,28,19,1,98,54,"Hamilton",095, ,0,0,0,200,366,"Viscount Montgomery Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,29,8,1,75,52,"Hamilton",096, ,0,0,0,165,331,"Viscount Montgomery Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,25,7,1,85,55,"Hamilton",097, ,1,1,0,175,341,"Viscount Montgomery Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,24,7,3,58,47,"Hamilton",098, ,0,0,0,139,278,"Viscount Montgomery Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,41,11,0,86,56,"Hamilton",099, ,0,0,3,197,371,"Parkdale Arena",20071010
032,HAMILTON EAST--STONEY CREEK,31,5,3,49,44,"Hamilton",100, ,0,2,0,134,254,"Viscount Montgomery Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,..........................NO POLL HELD........................,,,,,"Hamilton",101s, ,0,0,0,0,0,"",20071010
032,HAMILTON EAST--STONEY CREEK,40,13,1,70,85,"Hamilton",102, ,4,0,0,213,410,"Glen Brae Middle School",20071010
032,HAMILTON EAST--STONEY CREEK,13,2,2,63,41,"Hamilton",103, ,2,0,0,123,288,"Glen Brae Middle School",20071010
032,HAMILTON EAST--STONEY CREEK,40,5,0,69,72,"Hamilton",104, ,3,0,0,189,347,"Glen Brae Middle School",20071010
032,HAMILTON EAST--STONEY CREEK,29,5,2,41,30,"Hamilton",105, ,2,0,0,109,236,"Glen Brae Middle School",20071010
032,HAMILTON EAST--STONEY CREEK,21,8,2,66,43,"Hamilton",106, ,1,0,0,141,393,"Glen Brae Middle School",20071010
032,HAMILTON EAST--STONEY CREEK,20,4,1,25,23,"Hamilton",107, ,0,0,0,73,196,"Glen Brae Middle School",20071010
032,HAMILTON EAST--STONEY CREEK,14,3,1,43,33,"Hamilton",108, ,0,0,0,94,243,"Sir Isaac Brock Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,52,7,1,42,93,"Hamilton",109, ,1,1,0,197,371,"Renaissance Banquet Centre",20071010
032,HAMILTON EAST--STONEY CREEK,39,7,3,49,82,"Hamilton",110, ,4,1,0,185,339,"Renaissance Banquet Centre",20071010
032,HAMILTON EAST--STONEY CREEK,17,2,0,28,26,"Hamilton",111, ,0,0,0,73,256,"Lake Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,15,3,0,48,27,"Hamilton",112, ,0,0,0,93,250,"Lake Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,16,8,3,60,64,"Hamilton",113, ,1,3,0,155,314,"Lake Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,36,14,1,55,71,"Hamilton",114, ,1,4,0,182,383,"Lake Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,16,3,1,55,48,"Hamilton",115, ,3,0,0,126,292,"St. Agnes School",20071010
032,HAMILTON EAST--STONEY CREEK,69,8,1,65,129,"Hamilton",116, ,5,2,0,279,465,"St. Agnes School",20071010
032,HAMILTON EAST--STONEY CREEK,42,15,3,71,92,"Hamilton",117, ,2,0,0,225,426,"St. Agnes School",20071010
032,HAMILTON EAST--STONEY CREEK,24,4,1,62,48,"Hamilton",118, ,1,0,0,140,303,"St. Agnes School",20071010
032,HAMILTON EAST--STONEY CREEK,52,8,4,76,94,"Stoney Creek",119, ,2,0,0,236,428,"Eastdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,57,14,3,71,87,"Stoney Creek",120, ,2,0,0,234,435,"Eastdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,45,7,1,74,108,"Stoney Creek",121, ,0,0,1,236,407,"Eastdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,57,8,1,51,98,"Stoney Creek",122, ,0,8,0,223,452,"Mountainview Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,53,7,1,72,92,"Hamilton",123, ,4,0,0,229,482,"Our Lady of Peace Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,50,6,1,69,74,"Hamilton",124, ,0,0,2,202,440,"Our Lady of Peace Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,57,11,1,38,72,"Stoney Creek",125, ,1,2,0,182,395,"Liuna Garden Centre",20071010
032,HAMILTON EAST--STONEY CREEK,70,14,3,25,61,"Stoney Creek",126, ,1,0,0,174,399,"Liuna Garden Centre",20071010
032,HAMILTON EAST--STONEY CREEK,56,13,0,25,78,"Stoney Creek",127, ,0,0,0,172,351,"Liuna Garden Centre",20071010
032,HAMILTON EAST--STONEY CREEK,41,24,0,75,65,"Hamilton",128, ,0,0,0,205,356,"Rosedale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,32,6,0,79,42,"Hamilton",129, ,0,0,0,159,346,"Rosedale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,46,12,2,73,71,"Hamilton",130, ,0,0,0,204,349,"Rosedale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,29,10,0,100,78,"Hamilton",131, ,0,1,0,218,409,"Rosedale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,36,6,1,88,41,"Hamilton",132, ,0,0,0,172,348,"Viscount Montgomery Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,59,11,3,86,60,"Hamilton",133, ,2,0,0,221,408,"Viscount Montgomery Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,19,3,2,29,37,"Hamilton",134, ,1,0,1,92,224,"Glendale Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,21,3,2,26,51,"Hamilton",135, ,0,1,0,104,248,"Glendale Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,48,10,2,46,64,"Hamilton",136, ,0,0,0,170,354,"Glendale Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,46,4,2,24,92,"Hamilton",137, ,5,1,0,174,317,"Sir Isaac Brock Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,..........................NO POLL HELD........................,,,,,"Hamilton",138s, ,0,0,0,0,0,"",20071010
032,HAMILTON EAST--STONEY CREEK,29,12,1,58,66,"Hamilton",139, ,4,0,0,170,310,"Sir Isaac Brock Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,23,12,3,39,73,"Hamilton",140, ,5,0,0,155,282,"Sir Isaac Brock Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,59,7,3,70,73,"Stoney Creek",141, ,1,2,0,215,361,"Green Acres Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,38,7,0,57,63,"Stoney Creek",142, ,0,0,0,165,320,"Green Acres Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,29,9,3,47,46,"Stoney Creek",143, ,0,2,0,136,292,"Collegiate Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,44,6,2,78,92,"Hamilton",144, ,3,2,0,227,428,"St. Agnes School",20071010
032,HAMILTON EAST--STONEY CREEK,65,13,1,90,88,"Stoney Creek",145, ,0,2,0,259,539,"Cardinal Newman High School",20071010
032,HAMILTON EAST--STONEY CREEK,35,4,0,47,37,"Stoney Creek",146, ,0,0,0,123,334,"Eastdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,36,9,1,81,70,"Stoney Creek",147, ,2,0,0,199,381,"Eastdale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,43,3,4,30,81,"Stoney Creek",148, ,0,0,0,161,400,"Mountainview Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,67,6,5,46,144,"Stoney Creek",149, ,0,1,0,269,467,"Mountainview Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,18,3,4,14,19,"Stoney Creek",150s, ,2,0,0,60,174,"Clarion Nursing Home",20071010
032,HAMILTON EAST--STONEY CREEK,56,8,3,46,89,"Stoney Creek",151, ,2,1,0,205,442,"Mountainview Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,41,10,1,69,88,"Hamilton",152, ,2,1,0,212,470,"Our Lady of Peace Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,43,9,3,76,84,"Stoney Creek",153, ,0,0,0,215,471,"Orchard Park Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,37,5,4,54,65,"Hamilton",154, ,1,1,0,167,436,"Our Lady of Peace Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,70,7,3,65,148,"Hamilton",155, ,2,0,0,295,554,"Our Lady of Peace Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,36,7,1,61,58,"Hamilton",156, ,0,0,1,164,377,"Our Lady of Peace Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,31,7,0,49,26,"Stoney Creek",157, ,1,0,0,114,326,"Winona Gospel Church",20071010
032,HAMILTON EAST--STONEY CREEK,76,18,0,37,91,"Stoney Creek",158, ,0,1,0,223,410,"Liuna Garden Centre",20071010
032,HAMILTON EAST--STONEY CREEK,64,9,1,31,53,"Stoney Creek",159, ,1,0,0,159,371,"Liuna Garden Centre",20071010
032,HAMILTON EAST--STONEY CREEK,48,11,1,108,52,"Hamilton",160, ,0,1,0,221,378,"Rosedale Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,47,7,6,40,65,"Hamilton",161, ,1,0,2,168,359,"St. Luke School",20071010
032,HAMILTON EAST--STONEY CREEK,54,16,2,70,111,"Hamilton",162, ,0,2,0,255,407,"St. Luke School",20071010
032,HAMILTON EAST--STONEY CREEK,16,3,1,50,32,"Hamilton",163, ,1,0,0,103,275,"Sir Wilfrid Laurier Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,24,5,0,54,49,"Hamilton",164, ,0,0,0,132,310,"Sir Wilfrid Laurier Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,18,5,1,34,28,"Hamilton",165, ,0,0,0,86,257,"Sir Wilfrid Laurier Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,22,4,1,44,52,"Hamilton",166, ,1,1,0,125,319,"Bishop Ryan High School",20071010
032,HAMILTON EAST--STONEY CREEK,15,1,1,18,13,"Hamilton",167, ,1,1,0,50,208,"Glendale Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,4,0,2,7,34,"Hamilton",168s, ,1,0,4,52,127,"Arbour Creek Long Term Care",20071010
032,HAMILTON EAST--STONEY CREEK,65,6,3,48,126,"Hamilton",169, ,3,4,0,255,422,"Sir Isaac Brock Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,54,10,1,49,88,"Hamilton",170, ,0,0,0,202,375,"Sir Isaac Brock Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,40,8,1,44,54,"Stoney Creek",171, ,0,0,0,147,254,"Green Acres Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,18,5,0,35,33,"Stoney Creek",172, ,0,0,0,91,212,"Green Acres Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,8,3,0,31,20,"Stoney Creek",173, ,0,0,0,62,167,"Green Acres Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,31,8,2,56,49,"Stoney Creek",174, ,2,0,0,148,340,"R.L. Hyslop Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,43,14,2,49,54,"Stoney Creek",175, ,2,0,0,164,328,"Green Acres Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,12,5,0,27,15,"Stoney Creek",176, ,0,2,0,61,192,"Collegiate Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,30,10,0,34,25,"Stoney Creek",177, ,0,0,1,100,268,"Collegiate Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,32,14,1,59,45,"Stoney Creek",178, ,1,0,0,152,294,"Collegiate Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,71,21,3,94,78,"Stoney Creek",179, ,2,2,0,271,483,"Collegiate Avenue Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,10,6,2,44,31,"Stoney Creek",180, ,1,0,0,94,197,"Cardinal Newman High School",20071010
032,HAMILTON EAST--STONEY CREEK,49,11,2,93,91,"Stoney Creek",181, ,0,0,0,246,449,"Cardinal Newman High School",20071010
032,HAMILTON EAST--STONEY CREEK,58,11,3,60,148,"Stoney Creek",182, ,4,0,0,284,471,"St. Martin of Tours School",20071010
032,HAMILTON EAST--STONEY CREEK,34,5,4,55,50,"Stoney Creek",183, ,0,1,0,149,381,"Cardinal Newman High School",20071010
032,HAMILTON EAST--STONEY CREEK,78,11,2,52,157,"Stoney Creek",184, ,0,0,0,300,536,"Memorial Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,45,6,2,72,84,"Stoney Creek",185, ,5,0,1,215,446,"Memorial Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,43,5,1,43,71,"Stoney Creek",186, ,2,0,0,165,370,"Memorial Elementary School",20071010
032,HAMILTON EAST--STONEY CREEK,55,4,0,59,58,"Stoney Creek",187, ,3,1,0,180,375,"Orchard Park Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,42,9,4,49,66,"Stoney Creek",188, ,0,1,0,171,390,"St. Clare of Assisi School",20071010
032,HAMILTON EAST--STONEY CREEK,4,0,2,4,21,"Stoney Creek",189s, ,1,1,0,33,110,"New Village Retirement Home",20071010
032,HAMILTON EAST--STONEY CREEK,47,9,0,69,105,"Stoney Creek",190, ,1,0,0,231,469,"Orchard Park Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,34,4,0,38,66,"Stoney Creek",191, ,0,3,1,146,362,"Orchard Park Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,12,3,2,10,17,"Stoney Creek",192, ,0,0,0,44,109,"St. Clare of Assisi School",20071010
032,HAMILTON EAST--STONEY CREEK,24,7,1,28,60,"Stoney Creek",193, ,2,0,0,122,275,"Orchard Park Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,34,4,3,34,77,"Stoney Creek",194, ,0,0,0,152,386,"Orchard Park Secondary School",20071010
032,HAMILTON EAST--STONEY CREEK,47,4,3,84,58,"Stoney Creek",195, ,4,2,0,202,414,"Winona Gospel Church",20071010
032,HAMILTON EAST--STONEY CREEK,50,5,3,31,65,"Winona",196, ,0,0,0,154,351,"Winona Seniors Centre",20071010
