ED_CODE,ED_NAME,BROWNRIDGE,GIROUX,PLOUFFE,SMITH,VREBOSCH,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
057,NIPISSING,11,9,1,109,102,"North Bay",106, ,0,1,0,233,464,"The Harbour",20071010
057,NIPISSING,2,28,1,45,48,"Bonfield",107, ,0,0,0,124,250,"St. Bernadette Parish Hall",20071010
057,NIPISSING,4,25,1,47,24,"Mattawa",108, ,1,0,0,102,296,"Mattawa District Public School",20071010
057,NIPISSING,8,24,1,67,50,"North Bay",109, ,0,0,0,150,315,"Tweedsmuir Public School",20071010
057,NIPISSING,1,17,1,26,15,"North Bay",110, ,0,1,0,61,249,"St. John's Anglican Church",20071010
057,NIPISSING,5,8,1,27,54,"North Bay",111, ,1,0,0,96,227,"Our Lady of Fatima School",20071010
057,NIPISSING,4,17,4,28,27,"North Bay",112, ,0,2,0,82,221,"St. John's Anglican Church",20071010
057,NIPISSING,5,11,0,32,36,"North Bay",113, ,0,0,0,84,233,"St. John's Anglican Church",20071010
057,NIPISSING,9,13,2,73,61,"North Bay",114, ,1,0,0,159,284,"Tweedsmuir Public School",20071010
057,NIPISSING,2,15,1,37,26,"North Bay",115, ,3,0,0,84,266,"St. John's Anglican Church",20071010
057,NIPISSING,4,11,1,42,36,"North Bay",116, ,0,0,0,94,218,"Tweedsmuir Public School",20071010
057,NIPISSING,5,27,1,37,30,"North Bay",117, ,0,1,0,101,231,"St. Francis Separate School",20071010
057,NIPISSING,5,10,5,33,27,"North Bay",118, ,0,0,0,80,261,"St. John's Anglican Church",20071010
057,NIPISSING,6,13,1,54,44,"North Bay",119, ,1,0,0,119,267,"Tweedsmuir Public School",20071010
057,NIPISSING,7,15,0,58,53,"North Bay",120, ,1,1,0,135,320,"Tweedsmuir Public School",20071010
057,NIPISSING,7,13,0,76,56,"North Bay",121, ,0,0,0,152,303,"St. Francis Separate School",20071010
057,NIPISSING,3,4,1,26,15,"North Bay",122s, ,0,1,1,51,141,"Leisureworld Caregiving Centre",20071010
057,NIPISSING,15,25,1,94,112,"North Bay",123, ,1,0,0,248,430,"St. Francis Separate School",20071010
057,NIPISSING,6,36,1,67,70,"North Bay",124, ,0,1,0,181,353,"St. Francis Separate School",20071010
057,NIPISSING,4,13,2,53,63,"North Bay",125, ,0,0,0,135,316,"Our Lady of Fatima School",20071010
057,NIPISSING,6,21,1,72,84,"North Bay",126, ,0,1,0,185,394,"Marshall Park Public School",20071010
057,NIPISSING,16,32,2,85,104,"North Bay",127, ,0,2,1,242,408,"Our Lady of Fatima School",20071010
057,NIPISSING,4,29,3,37,56,"North Bay",128, ,0,0,0,129,290,"Our Lady of Fatima School",20071010
057,NIPISSING,6,21,1,74,91,"North Bay",129, ,0,0,0,193,383,"Silver Birches School",20071010
057,NIPISSING,10,26,3,105,101,"North Bay",130, ,0,0,0,245,426,"Silver Birches School",20071010
057,NIPISSING,9,23,3,87,79,"North Bay",131, ,1,0,0,202,398,"Silver Birches School",20071010
057,NIPISSING,6,18,3,66,51,"North Bay",132, ,0,0,0,144,334,"Silver Birches School",20071010
057,NIPISSING,13,15,0,62,97,"Corbeil",133, ,3,0,0,190,391,"Ferris Glen Public School",20071010
057,NIPISSING,10,21,0,80,130,"Corbeil",134, ,0,0,0,241,434,"Ferris Glen Public School",20071010
057,NIPISSING,2,14,1,47,35,"Mattawa",135, ,0,0,0,99,280,"Papineau-Cameron Township Office",20071010
057,NIPISSING,5,10,1,64,60,"North Bay",136, ,0,0,2,142,331,"Sunset Park Public School",20071010
057,NIPISSING,3,25,0,56,47,"North Bay",137, ,0,0,0,131,341,"Marshall Park Public School",20071010
057,NIPISSING,5,23,0,76,77,"North Bay",138, ,0,0,0,181,484,"Marshall Park Public School",20071010
057,NIPISSING,6,17,1,58,48,"North Bay",139, ,1,0,0,131,309,"Marshall Park Public School",20071010
057,NIPISSING,8,21,0,77,79,"North Bay",140, ,0,0,0,185,418,"Marshall Park Public School",20071010
057,NIPISSING,5,23,0,62,45,"North Bay",141, ,0,1,2,138,367,"Sunset Park Public School",20071010
057,NIPISSING,5,15,0,43,65,"North Bay",142, ,0,0,0,128,298,"Silver Birches School",20071010
057,NIPISSING,10,36,1,66,60,"North Bay",143, ,1,0,0,174,401,"Silver Birches School",20071010
057,NIPISSING,19,17,0,81,85,"North Bay",144, ,1,0,0,203,394,"Sunset Park Public School",20071010
057,NIPISSING,7,21,4,63,99,"North Bay",145, ,2,0,0,196,432,"Sunset Park Public School",20071010
057,NIPISSING,4,22,0,66,114,"Callander",146, ,0,0,0,206,429,"St. Theresa School",20071010
057,NIPISSING,3,1,0,26,30,"Corbeil",147s, ,2,1,2,65,137,"Nipissing Manor Nursing Care Centre",20071010
057,NIPISSING,11,33,1,74,157,"Corbeil",148, ,0,0,0,276,453,"Ferris Glen Public School",20071010
057,NIPISSING,11,6,2,87,61,"Bonfield",149, ,0,0,0,167,305,"St. Bernadette Parish Hall",20071010
057,NIPISSING,4,16,2,92,54,"Bonfield",150, ,0,1,0,169,311,"St. Bernadette Parish Hall",20071010
057,NIPISSING,5,28,4,42,67,"Bonfield",151, ,1,1,0,148,251,"St. Margaret Anglican Church",20071010
057,NIPISSING,10,16,0,53,45,"Mattawa",152, ,0,0,0,124,341,"Mattawa District Public School",20071010
057,NIPISSING,10,14,0,90,112,"Callander",153, ,0,0,0,226,410,"St. Theresa School",20071010
057,NIPISSING,6,18,0,65,80,"Callander",154, ,0,1,0,170,360,"St. Theresa School",20071010
057,NIPISSING,6,10,5,59,84,"Callander",155, ,2,0,0,166,390,"St. Theresa School",20071010
057,NIPISSING,8,16,2,53,77,"Callander",156, ,1,0,0,157,323,"St. Theresa School",20071010
057,NIPISSING,8,21,0,81,142,"Astorville",157, ,0,0,0,252,522,"East Ferris Community Centre",20071010
057,NIPISSING,7,31,2,98,95,"Corbeil",158, ,1,0,0,234,461,"Ferris Glen Public School",20071010
057,NIPISSING,3,24,0,85,78,"Bonfield",159, ,0,0,0,190,372,"St. Bernadette Parish Hall",20071010
057,NIPISSING,7,31,1,58,87,"Nipissing",160, ,0,1,0,185,407,"Nipissing North Community Centre",20071010
057,NIPISSING,8,32,1,101,148,"Astorville",161, ,0,0,0,290,480,"East Ferris Community Centre",20071010
057,NIPISSING,11,28,0,74,74,"Astorville",162, ,0,0,0,187,380,"East Ferris Community Centre",20071010
057,NIPISSING,1,7,1,40,80,"Nipissing",163, ,0,0,0,129,339,"Nipissing North Community Centre",20071010
057,NIPISSING,2,9,1,52,92,"Nipissing",164, ,0,0,0,156,352,"Nipissing North Community Centre",20071010
057,NIPISSING,5,27,5,65,85,"Callander",165, ,0,0,0,187,494,"St. Theresa School",20071010
057,NIPISSING,3,19,0,45,77,"Nipissing",166, ,0,0,0,144,285,"Nipissing North Community Centre",20071010
057,NIPISSING,8,22,1,60,64,"Chisholm",167, ,0,0,0,155,300,"Chisholm United Church",20071010
057,NIPISSING,15,17,4,49,113,"Powassan",168, ,0,2,0,200,387,"St. Gregory Separate School",20071010
057,NIPISSING,12,25,3,51,88,"Powassan",169, ,0,1,0,180,397,"Chisholm Fire Hall",20071010
057,NIPISSING,10,26,2,40,100,"Nipissing",170, ,0,0,0,178,339,"South Shore Education Centre",20071010
057,NIPISSING,5,29,0,55,104,"Powassan",171, ,0,1,0,194,384,"Mapleridge Public School",20071010
057,NIPISSING,6,22,0,63,82,"Powassan",172, ,0,1,2,176,255,"Mapleridge Public School",20071010
057,NIPISSING,0,0,1,10,26,"Powassan",173s, ,0,3,0,40,128,"Eastholme",20071010
057,NIPISSING,6,24,3,66,88,"Powassan",174, ,0,0,0,187,353,"St. Gregory Separate School",20071010
057,NIPISSING,11,28,3,48,63,"Chisholm",175, ,0,0,0,153,278,"Chisholm United Church",20071010
057,NIPISSING,6,29,1,61,84,"Powassan",176, ,0,1,0,182,334,"St. Gregory Separate School",20071010
057,NIPISSING,8,19,3,53,58,"Calvin",177, ,0,0,0,141,298,"Calvin Community Centre",20071010
057,NIPISSING,10,20,0,50,76,"Commanda",178, ,0,1,0,157,318,"Commanda Community Centre",20071010
057,NIPISSING,0,3,0,5,14,"Powassan",179s, ,0,2,0,24,69,"Lady Isabelle Nursing Home",20071010
057,NIPISSING,7,35,1,97,149,"Powassan",180, ,0,1,1,291,520,"Trout Creek Friendship Seniors Centre",20071010
057,NIPISSING,..........................NO POLL HELD........................,,,,,"Calvin",181, ,0,0,0,0,0,"",20071010
057,NIPISSING,..........................NO POLL HELD........................,,,,,"North Bay",400, ,0,0,0,0,0,"",20071010
057,NIPISSING,3,9,1,33,58,"North Bay",401, ,1,0,0,105,145,"Empire Living Centre Terrace Suites",20071010
057,NIPISSING,2,8,4,35,14,"North Bay",402, ,4,1,0,68,111,"Golden Age Towers",20071010
057,NIPISSING,4,21,0,42,35,"North Bay",403, ,1,0,0,103,190,"Regency Square",20071010
057,NIPISSING,4,30,2,57,30,"North Bay",404, ,2,0,0,125,201,"Castle Arms Apartments",20071010
057,NIPISSING,4,9,1,49,57,"North Bay",405, ,0,0,0,120,184,"O.N.R. Apartments",20071010
057,NIPISSING,3,18,1,47,20,"North Bay",406, ,0,0,0,89,140,"Edgewater Court",20071010
057,NIPISSING,0,10,2,67,35,"North Bay",407, ,2,0,0,116,160,"Place Richelieu",20071010
057,NIPISSING,79,149,11,743,724,"North Bay",Advanced Polls /  ADV001, ,1,3,2,1712,0,"Returning Office / Bureau du directeur du scrutin",20071010
057,NIPISSING,9,26,2,181,97,"Mattawa",Advanced Polls /  ADV002, ,2,1,0,318,0,"Mattawa Curling Club",20071010
057,NIPISSING,64,244,8,897,881,"North Bay",Advanced Polls /  ADV003, ,1,2,0,2097,0,"Northgate Shopping Center",20071010
057,NIPISSING,38,90,2,447,465,"North Bay",Advanced Polls /  ADV004, ,0,4,0,1046,0,"North Bay Mall",20071010
057,NIPISSING,22,58,1,217,374,"Callander",Advanced Polls /  ADV005, ,0,0,0,672,0,"Callander Square",20071010
TOTALS:, ,1248,4136,238,13781,13323, , , , , , , , , , 
