ED_CODE,ED_NAME,CARVALHO,KWINTER,MINIC,RODRIGUEZ,TOUTCHINSKI,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
104,YORK CENTRE,3,96,9,19,44,"Toronto",149, ,6,1,0,178,375,"Muki Baum Treatment Centre",20071010
104,YORK CENTRE,5,58,2,21,24,"Toronto",150, ,3,0,0,113,267,"Muki Baum Treatment Centre",20071010
104,YORK CENTRE,7,61,7,13,16,"Toronto",151, ,2,0,0,106,268,"Tumpane Public School",20071010
104,YORK CENTRE,3,79,6,22,22,"Toronto",152, ,0,1,0,133,275,"Tumpane Public School",20071010
104,YORK CENTRE,5,71,12,20,41,"Toronto",153, ,0,0,0,149,391,"Highview Public School",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",154, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,8,113,8,18,12,"Toronto",155, ,1,2,0,162,371,"Pierre Laporte Montessori School",20071010
104,YORK CENTRE,1,67,9,16,16,"Toronto",156, ,1,0,0,110,273,"Pierre Laporte Montessori School",20071010
104,YORK CENTRE,2,16,0,9,8,"Toronto",157, ,0,1,0,36,128,"Highview Public School",20071010
104,YORK CENTRE,2,49,8,11,12,"Toronto",158, ,4,2,0,88,248,"Highview Public School",20071010
104,YORK CENTRE,1,89,7,23,26,"Toronto",159, ,6,1,0,153,376,"Tumpane Public School",20071010
104,YORK CENTRE,5,50,9,20,11,"Toronto",160, ,2,2,0,99,257,"Highview Public School",20071010
104,YORK CENTRE,1,33,2,12,6,"Toronto",161, ,0,0,0,54,184,"Highview Public School",20071010
104,YORK CENTRE,5,124,13,28,25,"Toronto",162, ,1,1,0,197,406,"Highview Public School",20071010
104,YORK CENTRE,4,84,8,18,89,"Toronto",400, ,28,2,2,235,438,"York Condominium Corporation #201",20071010
104,YORK CENTRE,7,112,12,15,81,"Toronto",401, ,0,2,0,229,473,"York Condominium Corporation #366",20071010
104,YORK CENTRE,6,55,12,13,36,"Toronto",402, ,1,0,1,124,431,"Yonge Village Apartments",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",403, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,3,60,10,8,136,"Toronto",404, ,5,5,0,227,382,"West Don Apartments",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",405, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,0,41,5,6,41,"Toronto",406, ,0,0,0,93,207,"Bella Vista Apartments",20071010
104,YORK CENTRE,2,74,15,19,76,"Toronto",407, ,0,0,0,186,443,"Village Gate Apartments",20071010
104,YORK CENTRE,5,64,15,34,48,"Toronto",408, ,1,1,0,168,282,"The Eddington",20071010
104,YORK CENTRE,1,63,6,9,29,"Toronto",409, ,0,0,0,108,185,"The Courtland II",20071010
104,YORK CENTRE,0,60,7,8,40,"Toronto",410, ,1,0,1,117,157,"The Courtland I",20071010
104,YORK CENTRE,2,70,7,10,69,"Toronto",411, ,0,0,0,158,313,"Primrose III",20071010
104,YORK CENTRE,0,79,6,11,110,"Toronto",412, ,3,2,0,211,310,"Primrose II",20071010
104,YORK CENTRE,5,123,15,27,113,"Toronto",413, ,0,3,1,287,656,"Caravelle Court",20071010
104,YORK CENTRE,3,44,3,7,34,"Toronto",414, ,1,0,0,92,211,"Concourse Apartments",20071010
104,YORK CENTRE,3,92,4,8,82,"Toronto",415, ,1,0,0,190,311,"Primrose I",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",416, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",417, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,3,50,3,7,27,"Toronto",418, ,9,0,0,99,180,"Bathurst Towers",20071010
104,YORK CENTRE,4,64,14,8,26,"Toronto",419, ,3,4,0,123,291,"Dell Park Apartment",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",420, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,2,79,9,19,24,"Toronto",421, ,0,1,0,134,280,"Caunnaught Yonge Square Limited",20071010
104,YORK CENTRE,1,28,9,9,14,"Toronto",422, ,0,0,0,61,128,"Gardenview Terrace",20071010
104,YORK CENTRE,2,35,8,10,58,"Toronto",423, ,3,0,0,116,230,"Valencia Towers I",20071010
104,YORK CENTRE,3,53,5,22,62,"Toronto",424, ,0,1,0,146,305,"Rockford Apartments",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",425, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,2,34,8,13,23,"Toronto",426, ,0,0,0,80,158,"Valencia Towers II",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",427, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,3,42,17,11,36,"Toronto",428, ,1,0,0,110,229,"Bathville Towers",20071010
104,YORK CENTRE,1,37,4,16,30,"Toronto",429, ,0,0,0,88,184,"Barene Towers",20071010
104,YORK CENTRE,1,35,2,8,17,"Toronto",430, ,1,0,0,64,159,"5754 Yonge Street",20071010
104,YORK CENTRE,2,75,10,34,44,"Toronto",431, ,0,1,0,166,336,"Forest Lane Apartments",20071010
104,YORK CENTRE,3,29,8,15,38,"Toronto",432, ,6,0,0,99,207,"The Oliver",20071010
104,YORK CENTRE,1,26,7,2,34,"Toronto",433, ,0,0,0,70,168,"La Corona Apartments",20071010
104,YORK CENTRE,3,59,4,7,33,"Toronto",434, ,1,0,0,107,228,"La Scalla Towers",20071010
104,YORK CENTRE,0,87,8,20,68,"Toronto",435, ,0,5,0,188,308,"York Condominium Corporation #398",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",436, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,4,29,4,22,32,"Toronto",437, ,1,1,0,93,300,"155 Antibes Drive",20071010
104,YORK CENTRE,4,45,10,17,20,"Toronto",438, ,4,5,0,105,294,"Wyldewood Apartments",20071010
104,YORK CENTRE,2,81,10,8,81,"Toronto",439, ,1,1,0,184,263,"Hemispheres II",20071010
104,YORK CENTRE,3,71,8,13,57,"Toronto",440, ,22,1,0,175,328,"Hemispheres I",20071010
104,YORK CENTRE,4,58,7,14,105,"Toronto",441, ,0,0,0,188,337,"York Condominium Corporation #465",20071010
104,YORK CENTRE,0,74,4,20,75,"Toronto",442, ,8,2,0,183,389,"York Condominium Corporation #74",20071010
104,YORK CENTRE,4,21,1,7,16,"Toronto",443, ,0,0,0,49,181,"Northview Heights Secondary School",20071010
104,YORK CENTRE,3,43,3,16,44,"Toronto",444, ,1,1,0,111,344,"Herbert H. Carnegie Centre",20071010
104,YORK CENTRE,0,67,10,17,64,"Toronto",445, ,2,0,0,160,331,"Somerset Apartments",20071010
104,YORK CENTRE,1,75,18,8,82,"Toronto",446, ,2,0,1,187,307,"The Savoy",20071010
104,YORK CENTRE,2,38,9,26,24,"Toronto",447, ,2,0,0,101,223,"McArthur Properties (Summit Ridge)",20071010
104,YORK CENTRE,2,57,4,18,22,"Toronto",449, ,0,0,0,103,197,"Baroness Apartments",20071010
104,YORK CENTRE,1,48,7,12,36,"Toronto",450, ,0,0,1,105,323,"4 Goldfinch Court",20071010
104,YORK CENTRE,1,29,8,9,38,"Toronto",451, ,14,0,0,99,190,"Glimjem Holdings",20071010
104,YORK CENTRE,1,31,6,9,19,"Toronto",452, ,0,0,0,66,170,"Charles H. Best Elementary School",20071010
104,YORK CENTRE,4,74,8,8,91,"Toronto",453, ,10,4,0,199,317,"Sheppard Place Apartments",20071010
104,YORK CENTRE,2,59,13,22,41,"Toronto",454, ,0,4,0,141,282,"Viewpoint Towers",20071010
104,YORK CENTRE,6,88,13,11,60,"Toronto",455, ,1,2,0,181,347,"Canyon Towers",20071010
104,YORK CENTRE,0,54,8,19,53,"Toronto",456, ,0,0,0,134,275,"El Presidente Apartments",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",457, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,5,73,14,21,36,"Toronto",458, ,1,1,0,151,278,"Walnut Building Investments",20071010
104,YORK CENTRE,3,44,10,19,43,"Toronto",459, ,0,0,0,119,244,"La Dorelle",20071010
104,YORK CENTRE,3,74,8,19,65,"Toronto",460, ,6,4,0,179,356,"Monaco Towers",20071010
104,YORK CENTRE,5,74,3,19,17,"Toronto",461, ,8,3,0,129,307,"St. Jerome Catholic School",20071010
104,YORK CENTRE,2,58,16,17,27,"Toronto",462, ,0,0,0,120,209,"Pro House Management",20071010
104,YORK CENTRE,2,45,9,21,14,"Toronto",463, ,1,0,0,92,245,"Sheppard Public School",20071010
104,YORK CENTRE,8,106,5,19,12,"Toronto",464, ,2,3,0,155,292,"Dehaviland Court",20071010
104,YORK CENTRE,2,21,1,9,3,"Toronto",465, ,0,0,0,36,151,"St. Jerome Catholic School",20071010
104,YORK CENTRE,1,19,7,20,7,"Toronto",466, ,0,0,0,54,202,"Ramses Shrine Banquet Centre",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",467, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,11,73,11,41,9,"Toronto",468, ,5,2,2,154,389,"Fairway Downs",20071010
104,YORK CENTRE,2,55,4,51,26,"Toronto",469, ,0,2,0,140,345,"Raphaelo Place",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",470, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,2,37,1,14,11,"Toronto",471, ,0,0,0,65,149,"Jane Exbury Tower",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",472, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,5,97,5,36,18,"Toronto",473, ,2,1,0,164,351,"Havenbrook Apartments",20071010
104,YORK CENTRE,7,98,8,28,17,"Toronto",474, ,0,0,0,158,273,"La Place Victoria",20071010
104,YORK CENTRE,..........................NO POLL HELD........................,,,,,"Toronto",475, ,0,0,0,0,0,"",20071010
104,YORK CENTRE,1,46,5,12,6,"Toronto",476, ,0,0,1,71,257,"St. Raphael Catholic School",20071010
104,YORK CENTRE,2,38,1,12,5,"Toronto",477, ,5,1,0,64,145,"Roding Park",20071010
104,YORK CENTRE,6,45,9,14,17,"Toronto",478, ,0,0,0,91,199,"Westmount Condominium",20071010
