ED_CODE,ED_NAME,COTRUPI,COUTURE,KIDD,MORIDI,YUAN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
075,RICHMOND HILL,13,18,5,68,51,"Richmond Hill",091, ,3,2,0,160,350,"Richmond Hill Central Library",20071010
075,RICHMOND HILL,0,0,2,8,2,"Richmond Hill",092s, ,0,0,1,13,42,"Mariann Home",20071010
075,RICHMOND HILL,15,22,4,84,61,"Richmond Hill",093, ,0,0,0,186,397,"Elgin Barrow Arena Complex",20071010
075,RICHMOND HILL,13,14,1,63,29,"Richmond Hill",094, ,1,0,0,121,325,"Elgin Barrow Arena Complex",20071010
075,RICHMOND HILL,13,10,0,38,31,"Richmond Hill",095, ,0,1,0,93,245,"M. L. McConaghy Seniors' Centre",20071010
075,RICHMOND HILL,14,11,0,40,13,"Richmond Hill",096, ,1,0,0,79,212,"Elgin Barrow Arena Complex",20071010
075,RICHMOND HILL,15,8,0,23,21,"Richmond Hill",097, ,0,0,0,67,200,"Walter Scott Public School",20071010
075,RICHMOND HILL,20,36,3,71,51,"Richmond Hill",098, ,0,0,0,181,326,"St. Joseph Separate School",20071010
075,RICHMOND HILL,18,19,0,115,52,"Richmond Hill",099, ,2,1,0,207,483,"St. Joseph Separate School",20071010
075,RICHMOND HILL,12,13,0,109,114,"Richmond Hill",100, ,0,0,0,248,591,"Bayview Hill Community Centre",20071010
075,RICHMOND HILL,6,13,0,111,91,"Richmond Hill",101, ,0,0,0,221,583,"Bayview Hill Community Centre",20071010
075,RICHMOND HILL,16,9,1,90,68,"Richmond Hill",102, ,2,1,0,187,545,"Bayview Hill Elementary School",20071010
075,RICHMOND HILL,4,2,0,81,46,"Richmond Hill",103, ,2,0,0,135,464,"Bayview Hill Elementary School",20071010
075,RICHMOND HILL,15,21,1,107,70,"Richmond Hill",104, ,0,0,0,214,453,"Pleasantville Public School",20071010
075,RICHMOND HILL,23,27,1,110,101,"Richmond Hill",105, ,0,0,0,262,472,"St. Anne Catholic School",20071010
075,RICHMOND HILL,22,17,2,138,57,"Richmond Hill",106, ,3,0,0,239,473,"St. Anne Catholic School",20071010
075,RICHMOND HILL,16,16,2,106,67,"Richmond Hill",107, ,0,0,0,207,455,"St. Anne Catholic School",20071010
075,RICHMOND HILL,13,15,3,108,41,"Richmond Hill",108, ,1,1,1,183,444,"Richmond Hill Central Library",20071010
075,RICHMOND HILL,1,1,1,7,10,"Richmond Hill",109s, ,1,0,0,21,77,"Sunrise Senior Living Retirement Residence",20071010
075,RICHMOND HILL,27,12,5,95,59,"Richmond Hill",110, ,0,0,0,198,468,"Elgin Barrow Arena Complex",20071010
075,RICHMOND HILL,7,4,1,19,20,"Richmond Hill",111, ,0,0,0,51,168,"Elgin Barrow Arena Complex",20071010
075,RICHMOND HILL,5,4,0,26,11,"Richmond Hill",112, ,0,0,0,46,128,"Rexall Health Centre",20071010
075,RICHMOND HILL,11,8,1,52,37,"Richmond Hill",113, ,0,0,0,109,290,"Rexall Health Centre",20071010
075,RICHMOND HILL,18,12,0,102,52,"Richmond Hill",114, ,0,0,0,184,513,"St. Joseph Separate School",20071010
075,RICHMOND HILL,5,3,1,111,92,"Richmond Hill",115, ,0,0,0,212,521,"Bayview Hill Elementary School",20071010
075,RICHMOND HILL,11,10,2,118,95,"Richmond Hill",116, ,0,0,0,236,547,"Bayview Hill Elementary School",20071010
075,RICHMOND HILL,6,8,1,100,79,"Richmond Hill",117, ,0,0,0,194,471,"Bayview Hill Elementary School",20071010
075,RICHMOND HILL,6,10,0,73,88,"Richmond Hill",118, ,0,2,0,179,588,"Bayview Hill Community Centre",20071010
075,RICHMOND HILL,21,21,3,122,80,"Richmond Hill",119, ,2,0,0,249,477,"St. Anne Catholic School",20071010
075,RICHMOND HILL,40,27,5,117,57,"Richmond Hill",120, ,1,2,0,249,480,"St. Anne Catholic School",20071010
075,RICHMOND HILL,12,17,1,115,75,"Richmond Hill",121, ,1,1,0,222,448,"Ross Doan Public School",20071010
075,RICHMOND HILL,13,8,3,110,77,"Richmond Hill",122, ,2,0,0,213,471,"Ross Doan Public School",20071010
075,RICHMOND HILL,25,12,5,89,56,"Richmond Hill",123, ,0,0,0,187,376,"Ross Doan Public School",20071010
075,RICHMOND HILL,..........................NO POLL HELD........................,,,,,"Richmond Hill",124, ,0,0,0,0,0,"",20071010
075,RICHMOND HILL,5,1,0,73,31,"Richmond Hill",125A, ,1,0,0,111,303,"Elvis Stoyko Arena",20071010
075,RICHMOND HILL,15,11,0,47,36,"Richmond Hill",125B, ,1,0,0,110,320,"Elvis Stoyko Arena",20071010
075,RICHMOND HILL,23,17,4,138,62,"Richmond Hill",126A, ,0,2,0,246,583,"Sixteenth Avenue Public School",20071010
075,RICHMOND HILL,25,14,3,141,83,"Richmond Hill",126B, ,0,2,0,268,670,"Sixteenth Avenue Public School",20071010
075,RICHMOND HILL,12,7,0,136,90,"Richmond Hill",127, ,1,0,0,246,554,"Sixteenth Avenue Public School",20071010
075,RICHMOND HILL,2,13,0,75,83,"Richmond Hill",128, ,1,1,0,175,494,"Bayview Hill Elementary School",20071010
075,RICHMOND HILL,9,13,0,95,83,"Richmond Hill",129, ,0,0,0,200,525,"Christ the King Catholic School",20071010
075,RICHMOND HILL,11,10,1,124,83,"Richmond Hill",130A, ,3,1,0,233,604,"Christ the King Catholic School",20071010
075,RICHMOND HILL,15,12,1,112,78,"Richmond Hill",130B, ,1,0,0,219,638,"Christ the King Catholic School",20071010
075,RICHMOND HILL,20,8,1,96,51,"Richmond Hill",131, ,0,0,0,176,411,"St. Anne Catholic School",20071010
075,RICHMOND HILL,28,27,2,112,67,"Richmond Hill",132, ,0,0,0,236,445,"St. Charles Garnier Catholic School",20071010
075,RICHMOND HILL,17,31,3,98,47,"Richmond Hill",133, ,3,0,0,199,411,"Ross Doan Public School",20071010
075,RICHMOND HILL,28,32,0,82,52,"Richmond Hill",134, ,0,0,1,195,362,"Richvale Community Centre",20071010
075,RICHMOND HILL,28,22,2,94,56,"Richmond Hill",135, ,0,0,0,202,422,"Ross Doan Public School",20071010
075,RICHMOND HILL,7,12,3,71,39,"Richmond Hill",136, ,0,0,0,132,335,"Sixteenth Avenue Public School",20071010
075,RICHMOND HILL,14,12,2,113,37,"Richmond Hill",137, ,2,0,0,180,465,"Sixteenth Avenue Public School",20071010
075,RICHMOND HILL,..........................NO POLL HELD........................,,,,,"Richmond Hill",138, ,0,0,0,0,0,"",20071010
075,RICHMOND HILL,21,5,0,67,48,"Richmond Hill",139, ,1,2,0,144,341,"St. George Antiochian Orthodox Church",20071010
075,RICHMOND HILL,7,3,1,79,63,"Richmond Hill",140, ,0,2,0,155,492,"St. George Antiochian Orthodox Church",20071010
075,RICHMOND HILL,3,9,3,62,50,"Richmond Hill",141, ,0,1,0,128,449,"Christ the King Catholic School",20071010
075,RICHMOND HILL,7,13,2,87,99,"Richmond Hill",142, ,0,1,0,209,627,"Ed Sackfield Arena",20071010
075,RICHMOND HILL,13,9,4,89,77,"Richmond Hill",143, ,0,0,0,192,548,"Christ the King Catholic School",20071010
075,RICHMOND HILL,13,5,1,100,89,"Richmond Hill",144, ,0,0,0,208,570,"Ed Sackfield Arena",20071010
075,RICHMOND HILL,20,26,4,108,66,"Richmond Hill",145, ,0,1,0,225,433,"St. Charles Garnier Catholic School",20071010
075,RICHMOND HILL,25,23,1,74,52,"Richmond Hill",146, ,0,0,0,175,413,"St. Charles Garnier Catholic School",20071010
075,RICHMOND HILL,29,17,5,102,60,"Richmond Hill",147, ,1,0,1,215,434,"St. Charles Garnier Catholic School",20071010
075,RICHMOND HILL,17,30,1,58,57,"Richmond Hill",148, ,1,0,1,165,368,"St. Charles Garnier Catholic School",20071010
075,RICHMOND HILL,23,31,3,78,57,"Richmond Hill",149, ,2,1,0,195,367,"Richvale Community Centre",20071010
075,RICHMOND HILL,28,29,2,114,52,"Richmond Hill",150, ,1,1,0,227,516,"Langstaff Community Centre",20071010
075,RICHMOND HILL,11,6,0,46,33,"Richmond Hill",151, ,0,0,0,96,308,"Langstaff Community Centre",20071010
075,RICHMOND HILL,19,10,3,56,42,"Richmond Hill",152, ,0,0,0,130,386,"Pope John Paul II Elementary School",20071010
075,RICHMOND HILL,7,13,2,67,59,"Richmond Hill",153, ,2,0,0,150,395,"Pope John Paul II Elementary School",20071010
075,RICHMOND HILL,10,6,0,75,51,"Richmond Hill",154, ,0,0,0,142,511,"St. George Antiochian Orthodox Church",20071010
075,RICHMOND HILL,14,4,0,93,72,"Richmond Hill",155, ,0,1,0,184,408,"Pope John Paul II Elementary School",20071010
075,RICHMOND HILL,4,11,1,49,52,"Richmond Hill",156, ,1,3,0,121,552,"St. George Antiochian Orthodox Church",20071010
075,RICHMOND HILL,5,23,5,105,109,"Richmond Hill",157, ,0,0,0,247,675,"Doncrest Public School",20071010
075,RICHMOND HILL,18,21,3,99,85,"Richmond Hill",158, ,5,1,0,232,620,"Doncrest Public School",20071010
075,RICHMOND HILL,9,14,2,104,100,"Richmond Hill",158-1, ,1,0,0,230,651,"Doncrest Public School",20071010
075,RICHMOND HILL,15,3,0,114,79,"Richmond Hill",158-2, ,0,0,0,211,554,"Doncrest Public School",20071010
075,RICHMOND HILL,24,23,1,110,71,"Richmond Hill",159, ,3,2,0,234,476,"St. Charles Garnier Catholic School",20071010
075,RICHMOND HILL,20,13,0,90,46,"Richmond Hill",160, ,1,0,0,170,381,"Langstaff Community Centre",20071010
075,RICHMOND HILL,15,14,3,134,67,"Richmond Hill",161, ,1,0,0,234,459,"Charles Howitt Public School",20071010
075,RICHMOND HILL,14,12,2,73,57,"Richmond Hill",162, ,0,0,0,158,411,"Langstaff Community Centre",20071010
075,RICHMOND HILL,16,7,0,100,48,"Richmond Hill",163, ,1,0,1,173,382,"Red Maple Public School",20071010
075,RICHMOND HILL,1,0,0,17,19,"Richmond Hill",164s, ,0,0,0,37,161,"Leisureworld Caregiving Centre",20071010
075,RICHMOND HILL,15,8,2,90,41,"Richmond Hill",165, ,0,0,0,156,385,"Red Maple Public School",20071010
075,RICHMOND HILL,6,9,0,84,53,"Richmond Hill",166, ,1,0,0,153,379,"Red Maple Public School",20071010
075,RICHMOND HILL,6,12,1,65,45,"Richmond Hill",167, ,1,0,0,130,364,"Langstaff Community Centre",20071010
075,RICHMOND HILL,11,12,0,91,56,"Richmond Hill",168, ,0,0,0,170,426,"Red Maple Public School",20071010
075,RICHMOND HILL,13,14,0,63,59,"Richmond Hill",169, ,1,1,0,151,425,"Red Maple Public School",20071010
075,RICHMOND HILL,21,11,0,88,54,"Richmond Hill",170, ,0,0,0,174,463,"Doncrest Public School",20071010
075,RICHMOND HILL,22,7,1,42,59,"Richmond Hill",171, ,0,0,0,131,445,"Adrienne Clarkson Public School",20071010
075,RICHMOND HILL,9,7,2,74,74,"Richmond Hill",172, ,0,0,0,166,552,"Adrienne Clarkson Public School",20071010
075,RICHMOND HILL,9,10,0,80,89,"Richmond Hill",173, ,1,0,0,189,543,"Adrienne Clarkson Public School",20071010
075,RICHMOND HILL,2,12,0,62,89,"Richmond Hill",174, ,1,0,0,166,440,"Charles Howitt Public School",20071010
075,RICHMOND HILL,14,18,1,116,76,"Richmond Hill",175, ,1,0,0,226,478,"Langstaff Secondary School",20071010
075,RICHMOND HILL,24,18,3,101,76,"Richmond Hill",176, ,0,0,0,222,463,"Charles Howitt Public School",20071010
075,RICHMOND HILL,20,15,2,99,58,"Richmond Hill",177, ,2,1,0,197,403,"Langstaff Secondary School",20071010
075,RICHMOND HILL,3,3,0,24,15,"Richmond Hill",178, ,0,0,0,45,210,"Langstaff Secondary School",20071010
075,RICHMOND HILL,18,10,3,73,52,"Richmond Hill",179A, ,0,0,0,156,402,"Pope John Paul II Elementary School",20071010
075,RICHMOND HILL,19,11,1,64,47,"Richmond Hill",179B, ,0,1,0,143,365,"Pope John Paul II Elementary School",20071010
075,RICHMOND HILL,23,15,0,111,93,"Richmond Hill",180A, ,2,0,0,244,510,"Langstaff Secondary School",20071010
075,RICHMOND HILL,14,17,1,89,55,"Richmond Hill",180B, ,0,1,0,177,396,"Langstaff Secondary School",20071010
075,RICHMOND HILL,17,16,0,115,46,"Richmond Hill",181, ,3,3,0,200,406,"Langstaff Secondary School",20071010
075,RICHMOND HILL,13,9,2,65,22,"Richmond Hill",400, ,0,0,0,111,258,"39 Crosby Avenue",20071010
075,RICHMOND HILL,24,3,0,40,24,"Richmond Hill",401, ,1,1,0,93,144,"76 Dunlop Street Senior Apartments",20071010
075,RICHMOND HILL,11,4,0,17,19,"Richmond Hill",402, ,1,0,0,52,153,"Mackenzie Square",20071010
075,RICHMOND HILL,16,7,0,48,29,"Richmond Hill",403, ,9,0,0,109,271,"Rose Town Seniors Apartments",20071010
075,RICHMOND HILL,16,13,1,57,38,"Richmond Hill",404, ,2,1,0,128,318,"Cedar Gate 1",20071010
075,RICHMOND HILL,7,7,0,72,25,"Richmond Hill",405, ,0,0,0,111,184,"Cedar Gate 2",20071010
075,RICHMOND HILL,18,9,1,39,24,"Richmond Hill",406, ,0,0,0,91,137,"Essex Twin Towers",20071010
075,RICHMOND HILL,10,14,0,76,37,"Richmond Hill",407, ,3,0,0,140,281,"Dynasty Condominiums",20071010
075,RICHMOND HILL,12,11,1,69,44,"Richmond Hill",408, ,0,1,0,138,269,"Dynasty Condominiums",20071010
075,RICHMOND HILL,8,13,1,84,32,"Richmond Hill",409, ,1,1,0,140,257,"Dynasty Condominiums",20071010
075,RICHMOND HILL,10,11,1,93,50,"Richmond Hill",410, ,0,0,0,165,255,"Gibraltar Condominiums",20071010
075,RICHMOND HILL,19,15,2,84,58,"Richmond Hill",411, ,1,3,0,182,291,"Gibraltar Condominiums",20071010
075,RICHMOND HILL,26,13,1,43,11,"Richmond Hill",412, ,1,2,0,97,248,"105 Weldrick Road East",20071010
075,RICHMOND HILL,34,15,1,113,88,"Richmond Hill",413, ,4,0,0,255,409,"50 Baif Boulevard",20071010
075,RICHMOND HILL,5,8,1,53,55,"Richmond Hill",414, ,0,2,0,124,195,"40 Baif Boulevard Apartments",20071010
075,RICHMOND HILL,16,18,0,46,28,"Richmond Hill",415, ,2,0,0,110,143,"5 Weldrick Road West",20071010
075,RICHMOND HILL,4,7,1,104,59,"Richmond Hill",416, ,0,0,0,175,244,"20 Baif Boulevard Apartments",20071010
075,RICHMOND HILL,16,13,2,99,72,"Richmond Hill",417, ,1,1,0,204,296,"33 Weldrick Road East",20071010
075,RICHMOND HILL,19,19,1,81,65,"Richmond Hill",418, ,2,1,0,188,281,"100 Observatory Lane",20071010
075,RICHMOND HILL,35,17,5,78,41,"Richmond Hill",419, ,1,1,0,178,430,"Observatory Towers",20071010
075,RICHMOND HILL,23,14,1,60,51,"Richmond Hill",420, ,0,3,0,152,318,"15 Baif Boulevard Building",20071010
075,RICHMOND HILL,9,8,1,56,38,"Richmond Hill",421, ,0,0,0,112,201,"Empire Place on Yonge 9",20071010
075,RICHMOND HILL,4,4,0,32,20,"Richmond Hill",422, ,0,0,0,60,106,"Empire Place on Yonge 19",20071010
075,RICHMOND HILL,13,11,0,60,48,"Richmond Hill",423, ,1,0,0,133,235,"Empire Place on Yonge 29",20071010
075,RICHMOND HILL,..........................NO POLL HELD........................,,,,,"Richmond Hill",424, ,0,0,0,0,0,"",20071010
075,RICHMOND HILL,8,10,3,58,58,"Richmond Hill",425, ,1,0,0,138,355,"Parkway Grand Residences",20071010
