ED_CODE,ED_NAME,BRISSON,D'ANDREA,FORD,MACDONALD,MCGUINTY,RAYMOND,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
064,OTTAWA SOUTH,0,9,8,0,55,57,"Ottawa",156, ,0,0,0,129,281,"St. Bernard Catholic School",20071010
064,OTTAWA SOUTH,0,9,16,1,108,89,"Ottawa",157, ,1,0,0,224,453,"St. Bernard Catholic School",20071010
064,OTTAWA SOUTH,2,18,10,1,128,73,"Ottawa",158, ,0,1,1,234,425,"St. Bernard Catholic School",20071010
064,OTTAWA SOUTH,1,23,13,2,89,80,"Ottawa",159, ,0,0,0,208,436,"St. Bernard Catholic School",20071010
064,OTTAWA SOUTH,1,21,11,2,76,27,"Ottawa",160, ,0,1,0,139,408,"Hunt Club Riverside Community Centre",20071010
064,OTTAWA SOUTH,0,22,13,4,51,31,"Ottawa",161, ,1,1,0,123,377,"R. Byrns Curry School",20071010
064,OTTAWA SOUTH,0,12,14,5,85,63,"Ottawa",162, ,2,0,0,181,354,"R. Byrns Curry School",20071010
064,OTTAWA SOUTH,1,2,1,0,21,21,"Ottawa",163s, ,0,0,0,46,54,"Landmark Court",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",164A, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,2,13,19,3,95,63,"Ottawa",164B, ,0,0,1,196,365,"R. Byrns Curry School",20071010
064,OTTAWA SOUTH,0,17,29,2,125,68,"Ottawa",165, ,2,2,0,245,455,"R. Byrns Curry School",20071010
064,OTTAWA SOUTH,0,10,12,5,114,80,"Ottawa",166A, ,1,1,0,223,401,"R. Byrns Curry School",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",166B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,4,13,22,3,77,58,"Ottawa",167, ,2,0,0,179,375,"R. Byrns Curry School",20071010
064,OTTAWA SOUTH,2,14,4,9,41,33,"Ottawa",168, ,1,0,0,104,351,"Sawmill Creek Community Centre",20071010
064,OTTAWA SOUTH,2,0,0,1,24,15,"Ottawa",169s, ,0,0,0,42,54,"Bridlewood Retirement Home",20071010
064,OTTAWA SOUTH,2,10,27,6,95,48,"Ottawa",170, ,4,1,0,193,406,"Sawmill Creek Community Centre",20071010
064,OTTAWA SOUTH,1,23,14,3,86,62,"Ottawa",171, ,2,0,0,191,327,"Sawmill Creek Community Centre",20071010
064,OTTAWA SOUTH,0,21,14,4,55,27,"Ottawa",172, ,1,0,0,122,275,"Sawmill Creek Community Centre",20071010
064,OTTAWA SOUTH,1,11,18,6,87,73,"Ottawa",173, ,0,3,0,199,361,"École Gabrielle-Roy",20071010
064,OTTAWA SOUTH,1,24,18,0,67,66,"Ottawa",174, ,0,0,0,176,412,"École Gabrielle-Roy",20071010
064,OTTAWA SOUTH,1,11,11,2,90,65,"Ottawa",175, ,1,1,0,182,403,"St. Bernard Catholic School",20071010
064,OTTAWA SOUTH,2,15,20,7,83,60,"Ottawa",176, ,0,0,0,187,385,"Tudor Hall",20071010
064,OTTAWA SOUTH,0,15,10,1,61,36,"Ottawa",177, ,2,0,0,125,305,"Hunt Club Riverside Community Centre",20071010
064,OTTAWA SOUTH,0,13,18,1,108,92,"Ottawa",178, ,4,0,0,236,478,"Hunt Club Riverside Community Centre",20071010
064,OTTAWA SOUTH,0,3,7,0,47,34,"Ottawa",179, ,2,0,0,93,225,"Hunt Club Riverside Community Centre",20071010
064,OTTAWA SOUTH,1,9,8,2,64,32,"Ottawa",180, ,1,0,0,117,304,"Hunt Club Riverside Community Centre",20071010
064,OTTAWA SOUTH,1,8,6,6,54,35,"Ottawa",181, ,2,0,0,112,399,"Hunt Club Riverside Community Centre",20071010
064,OTTAWA SOUTH,1,20,14,2,96,40,"Ottawa",182A, ,2,0,0,175,409,"Days Inn Ottawa Airport",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",182B, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,0,13,18,3,115,35,"Ottawa",183, ,0,0,0,184,454,"Hunt Club Riverside Community Centre",20071010
064,OTTAWA SOUTH,0,35,23,7,80,59,"Ottawa",184, ,0,0,0,204,425,"Days Inn Ottawa Airport",20071010
064,OTTAWA SOUTH,1,16,10,4,60,30,"Ottawa",185, ,1,0,1,123,359,"Church of Perfect Liberty",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",186A, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,2,18,18,3,95,46,"Ottawa",186B, ,1,0,0,183,374,"Church of Perfect Liberty",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",186C, ,0,0,0,0,0,"",20071010
064,OTTAWA SOUTH,0,15,10,6,93,46,"Ottawa",187, ,0,0,0,170,355,"Church of Perfect Liberty",20071010
064,OTTAWA SOUTH,0,15,6,2,54,33,"Ottawa",188, ,0,0,0,110,324,"Sawmill Creek Community Centre",20071010
064,OTTAWA SOUTH,6,18,20,3,102,90,"Ottawa",189, ,0,0,0,239,396,"École Gabrielle-Roy",20071010
064,OTTAWA SOUTH,1,12,15,1,85,58,"Ottawa",190, ,0,0,0,172,411,"École Gabrielle-Roy",20071010
064,OTTAWA SOUTH,3,9,8,3,60,57,"Ottawa",191, ,2,0,0,142,374,"École Gabrielle-Roy",20071010
064,OTTAWA SOUTH,0,13,5,2,64,47,"Ottawa",192A, ,0,0,0,131,386,"École Gabrielle-Roy",20071010
064,OTTAWA SOUTH,..........................NO POLL HELD........................,,,,,,"Ottawa",192B, ,0,0,0,0,0,"",20071010
