ED_CODE,ED_NAME,CRAITOR,MAVES,MULLEN,PICHÉ,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
054,NIAGARA FALLS,78,45,14,9,"Niagara Falls",068, ,0,0,0,146,338,"Fairhaven Apartments",20071010
054,NIAGARA FALLS,74,44,10,8,"Niagara Falls",069, ,1,0,0,137,289,"Fairhaven Apartments",20071010
054,NIAGARA FALLS,113,56,18,16,"Niagara Falls",070, ,0,0,0,203,348,"Mary Ward School",20071010
054,NIAGARA FALLS,126,44,21,12,"Niagara Falls",071, ,0,0,0,203,369,"Orchard Park School",20071010
054,NIAGARA FALLS,117,73,26,9,"Niagara Falls",072, ,0,1,0,226,419,"Orchard Park School",20071010
054,NIAGARA FALLS,96,58,24,12,"Niagara Falls",073, ,1,0,0,191,325,"Orchard Park School",20071010
054,NIAGARA FALLS,76,55,22,26,"Niagara Falls",074, ,0,0,0,179,331,"Saint Paul Catholic High School",20071010
054,NIAGARA FALLS,117,49,24,13,"Niagara Falls",075, ,0,0,0,203,364,"A.N. Myer Secondary School",20071010
054,NIAGARA FALLS,93,48,19,7,"Niagara Falls",076, ,0,0,1,168,284,"Saint Paul Catholic High School",20071010
054,NIAGARA FALLS,68,38,15,12,"Niagara Falls",077, ,0,0,0,133,306,"Notre Dame Catholic School",20071010
054,NIAGARA FALLS,97,47,37,12,"Niagara Falls",078, ,2,0,0,195,377,"A.N. Myer Secondary School",20071010
054,NIAGARA FALLS,43,22,12,8,"Niagara Falls",079, ,1,0,0,86,238,"Notre Dame Catholic School",20071010
054,NIAGARA FALLS,69,29,16,15,"Niagara Falls",080, ,2,1,0,132,303,"Notre Dame Catholic School",20071010
054,NIAGARA FALLS,140,93,25,22,"Niagara Falls",081, ,2,0,0,282,505,"Stamford Estates Retirement Residents",20071010
054,NIAGARA FALLS,63,32,11,16,"Niagara Falls",082, ,0,0,0,122,264,"St. John's Evangelist Anglican Church",20071010
054,NIAGARA FALLS,54,52,20,17,"Niagara Falls",083, ,0,0,0,143,275,"St. John's Evangelist Anglican Church",20071010
054,NIAGARA FALLS,49,9,18,14,"Niagara Falls",084, ,2,0,0,92,269,"St. Patrick's Church Hall",20071010
054,NIAGARA FALLS,32,14,13,25,"Niagara Falls",085, ,0,1,0,85,248,"St. Patrick's Church Hall",20071010
054,NIAGARA FALLS,93,60,24,32,"Niagara Falls",086, ,1,0,0,210,413,"St. Vincent de Paul Catholic Elementary School",20071010
054,NIAGARA FALLS,105,52,23,14,"Niagara Falls",087, ,0,1,0,195,377,"St. Vincent de Paul Catholic Elementary School",20071010
054,NIAGARA FALLS,90,61,19,17,"Niagara Falls",088, ,0,0,0,187,365,"St. Vincent de Paul Catholic Elementary School",20071010
054,NIAGARA FALLS,120,31,17,9,"Niagara Falls",089, ,0,1,0,178,351,"Shriners Creek Co-operative Homes",20071010
054,NIAGARA FALLS,101,58,21,21,"Niagara Falls",090, ,1,0,1,203,440,"Shriners Creek Co-operative Homes",20071010
054,NIAGARA FALLS,73,44,10,9,"Niagara Falls",091, ,0,0,0,136,375,"Greendale Elementary School",20071010
054,NIAGARA FALLS,86,41,14,13,"Niagara Falls",092, ,3,0,0,157,317,"Free Methodist Church",20071010
054,NIAGARA FALLS,97,37,21,10,"Niagara Falls",093, ,0,1,0,166,333,"Orchard Park School",20071010
054,NIAGARA FALLS,126,67,21,11,"Niagara Falls",094, ,1,0,0,226,370,"Free Methodist Church",20071010
054,NIAGARA FALLS,143,47,23,12,"Niagara Falls",095, ,0,0,0,225,374,"Cherrywood Acres School",20071010
054,NIAGARA FALLS,93,50,24,16,"Niagara Falls",096, ,3,0,0,186,357,"First Baptist Church",20071010
054,NIAGARA FALLS,120,45,21,11,"Niagara Falls",097, ,3,0,0,200,331,"Cherrywood Acres School",20071010
054,NIAGARA FALLS,100,42,23,19,"Niagara Falls",098, ,0,1,0,185,345,"First Baptist Church",20071010
054,NIAGARA FALLS,113,69,24,21,"Niagara Falls",099, ,4,1,0,232,383,"Cherrywood Acres School",20071010
054,NIAGARA FALLS,63,34,24,8,"Niagara Falls",100, ,1,0,0,130,309,"St. Andrew's United Church",20071010
054,NIAGARA FALLS,38,12,5,5,"Niagara Falls",101, ,1,0,0,61,190,"St. Andrew's United Church",20071010
054,NIAGARA FALLS,43,15,16,25,"Niagara Falls",102, ,1,0,0,100,258,"Valley Way Public School",20071010
054,NIAGARA FALLS,62,26,19,17,"Niagara Falls",103, ,1,0,0,125,305,"Valley Way Public School",20071010
054,NIAGARA FALLS,63,27,18,16,"Niagara Falls",104, ,0,1,0,125,300,"St. Patrick's Church Hall",20071010
054,NIAGARA FALLS,38,30,14,16,"Niagara Falls",105, ,0,0,0,98,244,"St. Patrick's Church Hall",20071010
054,NIAGARA FALLS,41,28,14,18,"Niagara Falls",106, ,0,0,0,101,268,"St. Patrick's Church Hall",20071010
054,NIAGARA FALLS,30,17,8,4,"Niagara Falls",107, ,0,0,0,59,211,"Niagara Falls Public Library",20071010
054,NIAGARA FALLS,52,32,16,20,"Niagara Falls",108, ,0,0,0,120,334,"Niagara Falls Public Library",20071010
054,NIAGARA FALLS,46,19,10,11,"Niagara Falls",109, ,0,0,0,86,253,"St. Patrick's Church Hall",20071010
054,NIAGARA FALLS,24,8,10,10,"Niagara Falls",110, ,1,0,0,53,189,"Simcoe Street Elementary School",20071010
054,NIAGARA FALLS,..........................NO POLL HELD........................,,,,"Niagara Falls",111, ,0,0,0,0,0,"",20071010
054,NIAGARA FALLS,79,42,14,16,"Niagara Falls",112, ,3,0,0,154,402,"Cardinal Newman Catholic School",20071010
054,NIAGARA FALLS,78,36,13,8,"Niagara Falls",113, ,2,0,0,137,324,"Club Italia",20071010
054,NIAGARA FALLS,105,38,18,14,"Niagara Falls",114, ,0,2,0,177,431,"Club Italia",20071010
054,NIAGARA FALLS,68,25,14,12,"Niagara Falls",115, ,0,0,0,119,303,"Club Italia",20071010
054,NIAGARA FALLS,100,51,14,11,"Niagara Falls",116, ,0,0,0,176,394,"Greendale Elementary School",20071010
054,NIAGARA FALLS,102,81,24,10,"Niagara Falls",117, ,1,0,0,218,523,"Greendale Elementary School",20071010
054,NIAGARA FALLS,34,35,9,9,"Niagara Falls",118, ,0,0,0,87,327,"Greendale Elementary School",20071010
054,NIAGARA FALLS,97,43,10,14,"Niagara Falls",119, ,0,1,0,165,319,"Free Methodist Church",20071010
054,NIAGARA FALLS,87,42,16,11,"Niagara Falls",120, ,4,2,0,162,306,"Cherrywood Acres School",20071010
054,NIAGARA FALLS,76,25,15,12,"Niagara Falls",121, ,0,0,0,128,316,"Cherrywood Acres School",20071010
054,NIAGARA FALLS,78,42,22,8,"Niagara Falls",122, ,3,0,0,153,319,"Niagara Falls Lions Club",20071010
054,NIAGARA FALLS,85,39,24,16,"Niagara Falls",123, ,1,1,0,166,344,"Cherrywood Acres School",20071010
054,NIAGARA FALLS,23,14,3,6,"Niagara Falls",124s, ,0,0,0,46,50,"Queenston Place Retirement Residence",20071010
054,NIAGARA FALLS,10,4,0,2,"Niagara Falls",125s, ,0,2,0,18,64,"Valley Park Lodge",20071010
054,NIAGARA FALLS,70,21,12,7,"Niagara Falls",126, ,0,1,1,112,259,"Niagara Falls Lions Club",20071010
054,NIAGARA FALLS,95,55,22,12,"Niagara Falls",127, ,3,0,0,187,367,"St. Andrew's United Church",20071010
054,NIAGARA FALLS,81,39,20,26,"Niagara Falls",128, ,0,0,0,166,336,"St. Andrew's United Church",20071010
054,NIAGARA FALLS,85,19,18,12,"Niagara Falls",129, ,0,0,0,134,236,"St. Andrew's United Church",20071010
054,NIAGARA FALLS,78,34,16,16,"Niagara Falls",130, ,6,1,0,151,301,"St. Andrew's United Church",20071010
054,NIAGARA FALLS,67,33,35,20,"Niagara Falls",131, ,2,0,0,157,338,"Valley Way Public School",20071010
054,NIAGARA FALLS,26,5,2,8,"Niagara Falls",132, ,1,0,0,42,154,"Niagara Shrine Club",20071010
054,NIAGARA FALLS,51,24,12,17,"Niagara Falls",133, ,0,0,0,104,271,"Valley Way Public School",20071010
054,NIAGARA FALLS,60,54,20,11,"Niagara Falls",134, ,1,0,0,146,302,"Valley Way Public School",20071010
054,NIAGARA FALLS,1,12,1,0,"Niagara Falls",135s, ,1,1,0,16,99,"Eventide Home",20071010
054,NIAGARA FALLS,44,19,14,14,"Niagara Falls",136, ,0,0,0,91,243,"St. Paul's Evangelical Lutheran Church",20071010
054,NIAGARA FALLS,37,20,15,5,"Niagara Falls",137, ,0,0,1,78,261,"Valley Way Public School",20071010
054,NIAGARA FALLS,58,18,12,10,"Niagara Falls",138, ,1,1,0,100,272,"St. Paul's Evangelical Lutheran Church",20071010
054,NIAGARA FALLS,64,32,15,16,"Niagara Falls",139, ,1,0,0,128,299,"Valley Way Public School",20071010
054,NIAGARA FALLS,25,14,9,12,"Niagara Falls",140, ,1,0,0,61,220,"St. Paul's Evangelical Lutheran Church",20071010
054,NIAGARA FALLS,27,23,14,12,"Niagara Falls",141, ,0,0,0,76,219,"St. Paul's Evangelical Lutheran Church",20071010
054,NIAGARA FALLS,34,13,16,12,"Niagara Falls",142, ,0,0,0,75,216,"Niagara Falls Public Library",20071010
054,NIAGARA FALLS,30,24,10,10,"Niagara Falls",143, ,1,1,0,76,188,"Simcoe Street Elementary School",20071010
054,NIAGARA FALLS,41,16,11,9,"Niagara Falls",144, ,0,0,0,77,221,"Simcoe Street Elementary School",20071010
054,NIAGARA FALLS,41,21,14,14,"Niagara Falls",145, ,1,0,0,91,227,"Simcoe Street Elementary School",20071010
054,NIAGARA FALLS,41,19,14,8,"Niagara Falls",146, ,1,0,0,83,203,"Simcoe Street Elementary School",20071010
054,NIAGARA FALLS,15,21,11,16,"Niagara Falls",147, ,0,0,1,64,201,"Simcoe Street Elementary School",20071010
054,NIAGARA FALLS,8,11,1,4,"Niagara Falls",148s, ,0,0,0,24,58,"Greycliff Manor",20071010
054,NIAGARA FALLS,51,38,12,4,"Niagara Falls",149, ,0,0,0,105,256,"Cardinal Newman Catholic School",20071010
054,NIAGARA FALLS,86,42,18,11,"Niagara Falls",150, ,1,0,0,158,374,"Cardinal Newman Catholic School",20071010
054,NIAGARA FALLS,84,33,10,10,"Niagara Falls",151, ,1,0,0,138,314,"Cardinal Newman Catholic School",20071010
054,NIAGARA FALLS,86,35,21,18,"Niagara Falls",152, ,0,1,1,162,369,"Cardinal Newman Catholic School",20071010
054,NIAGARA FALLS,25,16,4,5,"Niagara Falls",153s, ,1,3,0,54,82,"Lundy Manor",20071010
054,NIAGARA FALLS,101,47,16,15,"Niagara Falls",154, ,0,1,0,180,351,"Westlane Secondary School",20071010
054,NIAGARA FALLS,2,3,0,0,"Niagara Falls",155s, ,1,7,6,19,23,"Nimigon Retirement Home",20071010
054,NIAGARA FALLS,83,51,17,15,"Niagara Falls",156, ,2,0,0,168,301,"Greendale Elementary School",20071010
054,NIAGARA FALLS,31,34,14,14,"Niagara Falls",157, ,1,0,0,94,263,"Salvation Army",20071010
054,NIAGARA FALLS,74,38,16,14,"Niagara Falls",158, ,0,0,0,142,279,"Salvation Army",20071010
054,NIAGARA FALLS,45,28,10,6,"Niagara Falls",159, ,0,0,0,89,220,"Princess Margaret School",20071010
054,NIAGARA FALLS,89,41,29,19,"Niagara Falls",160, ,0,0,0,178,335,"Salvation Army",20071010
054,NIAGARA FALLS,62,29,20,13,"Niagara Falls",161, ,1,0,0,125,296,"Stamford Collegiate",20071010
054,NIAGARA FALLS,61,38,15,17,"Niagara Falls",162, ,0,2,0,133,278,"Stamford Collegiate",20071010
054,NIAGARA FALLS,62,27,29,16,"Niagara Falls",163, ,0,0,0,134,311,"Stamford Collegiate",20071010
054,NIAGARA FALLS,64,34,11,17,"Niagara Falls",164, ,1,0,0,127,271,"Princess Margaret School",20071010
054,NIAGARA FALLS,32,18,12,12,"Niagara Falls",165, ,0,0,0,74,252,"Stamford Collegiate",20071010
054,NIAGARA FALLS,64,18,18,12,"Niagara Falls",166, ,1,0,0,113,279,"Stamford Collegiate",20071010
054,NIAGARA FALLS,39,13,15,9,"Niagara Falls",167, ,0,0,0,76,238,"Stamford Collegiate",20071010
054,NIAGARA FALLS,33,14,6,20,"Niagara Falls",168, ,0,0,0,73,243,"Princess Margaret School",20071010
054,NIAGARA FALLS,67,21,11,12,"Niagara Falls",169, ,0,1,0,112,276,"Niagara Shrine Club",20071010
054,NIAGARA FALLS,18,8,3,4,"Niagara Falls",170s, ,0,0,0,33,89,"Niagara Health System-Greater Niagara General Site",20071010
054,NIAGARA FALLS,48,19,7,9,"Niagara Falls",171, ,2,0,0,85,244,"Royal Canadian Legion Branch 479",20071010
054,NIAGARA FALLS,44,19,5,8,"Niagara Falls",172, ,1,1,0,78,239,"Main Street Baptist Church",20071010
054,NIAGARA FALLS,43,7,8,3,"Niagara Falls",173, ,1,0,0,62,243,"Royal Canadian Legion Branch 479",20071010
054,NIAGARA FALLS,22,34,8,4,"Niagara Falls",174, ,1,0,0,69,195,"St. Paul's Evangelical Lutheran Church",20071010
054,NIAGARA FALLS,32,36,11,10,"Niagara Falls",175, ,0,0,0,89,177,"Saint Michael Catholic High School",20071010
054,NIAGARA FALLS,11,8,0,0,"Niagara Falls",176s, ,0,0,1,20,113,"Meadows of Dorchester",20071010
054,NIAGARA FALLS,126,54,25,14,"Niagara Falls",177, ,2,1,0,222,457,"Westlane Secondary School",20071010
054,NIAGARA FALLS,67,20,15,14,"Niagara Falls",178, ,0,0,0,116,331,"Westlane Secondary School",20071010
054,NIAGARA FALLS,100,48,22,22,"Niagara Falls",179, ,0,0,0,192,399,"Westlane Secondary School",20071010
054,NIAGARA FALLS,65,37,12,19,"Niagara Falls",180, ,1,1,0,135,354,"Westlane Secondary School",20071010
054,NIAGARA FALLS,48,34,20,18,"Niagara Falls",181, ,1,0,1,122,300,"Westlane Secondary School",20071010
054,NIAGARA FALLS,62,36,24,18,"Niagara Falls",182, ,0,0,0,140,337,"Westlane Secondary School",20071010
054,NIAGARA FALLS,115,41,26,15,"Niagara Falls",183, ,0,0,0,197,405,"Westlane Secondary School",20071010
054,NIAGARA FALLS,41,22,11,11,"Niagara Falls",184, ,2,0,0,87,298,"Westlane Secondary School",20071010
054,NIAGARA FALLS,22,12,5,6,"Niagara Falls",185s, ,2,1,0,48,150,"Oakwood Park Lodge",20071010
054,NIAGARA FALLS,71,60,22,8,"Niagara Falls",186, ,1,1,0,163,300,"Princess Margaret School",20071010
054,NIAGARA FALLS,87,28,19,15,"Niagara Falls",187, ,2,0,1,152,337,"James Morden Elementary School",20071010
054,NIAGARA FALLS,96,53,14,15,"Niagara Falls",188, ,0,0,0,178,329,"Princess Margaret School",20071010
054,NIAGARA FALLS,96,66,21,19,"Niagara Falls",189, ,0,0,6,208,376,"James Morden Elementary School",20071010
054,NIAGARA FALLS,89,35,11,16,"Niagara Falls",190, ,2,0,0,153,326,"Our Lady of Mount Carmel Catholic School",20071010
054,NIAGARA FALLS,66,31,28,13,"Niagara Falls",191, ,1,0,0,139,283,"Our Lady of Mount Carmel Catholic School",20071010
054,NIAGARA FALLS,45,29,15,24,"Niagara Falls",192, ,1,0,0,114,277,"Princess Margaret School",20071010
054,NIAGARA FALLS,53,22,11,10,"Niagara Falls",193, ,3,0,0,99,253,"Our Lady of Mount Carmel Catholic School",20071010
054,NIAGARA FALLS,91,36,15,19,"Niagara Falls",194, ,0,0,0,161,366,"James Morden Elementary School",20071010
054,NIAGARA FALLS,100,46,18,32,"Niagara Falls",195, ,4,0,0,200,393,"Imperial Towers",20071010
054,NIAGARA FALLS,61,26,12,15,"Niagara Falls",196, ,2,0,0,116,280,"Princess Margaret School",20071010
054,NIAGARA FALLS,53,23,15,17,"Niagara Falls",197, ,0,0,0,108,252,"Our Lady of Mount Carmel Catholic School",20071010
054,NIAGARA FALLS,46,26,20,17,"Niagara Falls",198, ,1,1,0,111,255,"Father Hennepin Catholic School",20071010
054,NIAGARA FALLS,53,12,7,13,"Niagara Falls",199, ,0,3,0,88,223,"Father Hennepin Catholic School",20071010
054,NIAGARA FALLS,65,22,25,18,"Niagara Falls",200, ,0,0,0,130,295,"Main Street Baptist Church",20071010
054,NIAGARA FALLS,28,6,3,2,"Niagara Falls",201s, ,0,0,0,39,50,"Residence Joie de Vivre",20071010
054,NIAGARA FALLS,26,9,4,3,"Niagara Falls",202s, ,4,0,0,46,71,"Cavendish Manor Retirement Residence",20071010
054,NIAGARA FALLS,57,12,5,12,"Niagara Falls",203, ,0,0,0,86,240,"Father Hennepin Catholic School",20071010
054,NIAGARA FALLS,37,28,15,16,"Niagara Falls",204, ,0,1,0,97,266,"Father Hennepin Catholic School",20071010
054,NIAGARA FALLS,37,19,9,8,"Niagara Falls",205, ,0,0,0,73,178,"Saint Michael Catholic High School",20071010
054,NIAGARA FALLS,74,45,8,5,"Niagara Falls",206, ,0,0,0,132,319,"Saint Michael Catholic High School",20071010
054,NIAGARA FALLS,54,16,9,12,"Niagara Falls",207, ,1,0,0,92,267,"Saint Michael Catholic High School",20071010
054,NIAGARA FALLS,115,53,26,7,"Niagara Falls",208, ,2,0,0,203,373,"Saint Michael Catholic High School",20071010
054,NIAGARA FALLS,38,12,2,6,"Niagara Falls",209, ,1,0,0,59,249,"Saint Michael Catholic High School",20071010
054,NIAGARA FALLS,26,14,6,6,"Niagara Falls",210s, ,2,2,0,56,158,"Millennium Trail Manor",20071010
054,NIAGARA FALLS,84,38,14,28,"Niagara Falls",211, ,0,0,0,164,331,"James Morden Elementary School",20071010
054,NIAGARA FALLS,45,19,7,10,"Niagara Falls",212, ,0,0,0,81,280,"James Morden Elementary School",20071010
054,NIAGARA FALLS,88,11,48,19,"Niagara Falls",213, ,2,0,0,168,371,"MacBain Community Centre",20071010
054,NIAGARA FALLS,86,42,13,25,"Niagara Falls",214, ,2,0,0,168,325,"James Morden Elementary School",20071010
054,NIAGARA FALLS,103,30,21,11,"Niagara Falls",215, ,0,0,0,165,374,"Notre-Dame-de-la-Jeunesse",20071010
054,NIAGARA FALLS,80,21,9,29,"Niagara Falls",216, ,2,0,0,141,297,"Notre-Dame-de-la-Jeunesse",20071010
054,NIAGARA FALLS,52,7,6,37,"Niagara Falls",217, ,0,0,0,102,274,"Notre-Dame-de-la-Jeunesse",20071010
054,NIAGARA FALLS,93,24,20,14,"Niagara Falls",218, ,0,0,0,151,328,"Notre-Dame-de-la-Jeunesse",20071010
054,NIAGARA FALLS,39,22,20,28,"Niagara Falls",219, ,0,0,0,109,332,"Father Hennepin Catholic School",20071010
054,NIAGARA FALLS,79,42,23,20,"Niagara Falls",220, ,1,0,0,165,363,"Notre-Dame-de-la-Jeunesse",20071010
054,NIAGARA FALLS,59,24,11,20,"Niagara Falls",221, ,0,0,0,114,293,"Father Hennepin Catholic School",20071010
054,NIAGARA FALLS,69,34,16,15,"Niagara Falls",222, ,0,0,0,134,344,"Notre-Dame-de-la-Jeunesse",20071010
054,NIAGARA FALLS,68,48,22,7,"Niagara Falls",223, ,0,0,0,145,281,"Sacred Heart Catholic School",20071010
054,NIAGARA FALLS,78,32,18,16,"Niagara Falls",224, ,0,0,0,144,367,"Saint Michael Catholic High School",20071010
