ED_CODE,ED_NAME,HILLIER,MONTPELLIER,POSTMA,SUTHERLAND,WILSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
041,LANARK--FRONTENAC--LENNOX AND ,39,8,1,5,15,"Carleton Place",021s, ,0,2,0,70,119,"Carleton Place Manor",20071010
041,LANARK--FRONTENAC--LENNOX AND ,63,13,1,10,40,"Carleton Place",022, ,1,0,0,128,320,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,70,6,0,11,37,"Carleton Place",023, ,0,0,0,124,246,"Caldwell Street Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,91,19,0,10,67,"Carleton Place",024, ,1,0,0,188,372,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,113,10,2,28,79,"Carleton Place",025, ,2,1,0,235,433,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,66,11,4,18,39,"Carleton Place",026, ,0,0,0,138,388,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,86,13,0,25,31,"Carleton Place",027, ,0,0,0,155,394,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,81,11,1,10,52,"Carleton Place",028, ,0,0,0,155,328,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,75,13,3,15,50,"Carleton Place",029, ,0,0,0,156,481,"Carleton Place Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,91,9,2,14,48,"Denbigh",030, ,1,0,0,165,387,"Denbigh Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,51,8,0,6,29,"Lanark Highlands",031, ,0,0,0,94,200,"North Lavant Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,59,15,2,7,9,"Darling",032, ,0,2,0,94,313,"Tatlock Fire Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,75,9,3,13,38,"Perth",033, ,0,0,0,138,318,"Drummond Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,38,6,1,4,29,"Perth",034, ,1,1,0,80,265,"Drummond Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,52,11,2,5,23,"Carleton Place",035, ,1,0,0,94,246,"Caldwell Street Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,108,11,1,9,36,"Beckwith Township",036, ,0,0,0,165,289,"Beckwith Township Community Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,63,13,0,9,47,"Carleton Place",037, ,1,0,0,133,320,"Caldwell Street Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,114,15,0,16,51,"Beckwith Township",038, ,0,0,0,196,379,"Beckwith Township Community Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,125,14,1,36,62,"Beckwith Township",039, ,0,1,0,239,505,"Beckwith Township Community Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,140,26,3,22,56,"Beckwith Township",040, ,0,0,0,247,505,"Beckwith Township Community Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,90,23,1,17,44,"Lanark",041, ,0,0,0,175,317,"Foy Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,69,13,4,5,34,"Lanark",042, ,0,0,0,125,244,"Foy Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,73,4,0,5,38,"Beckwith Township",043, ,1,2,0,123,195,"Beckwith Township Community Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,102,12,3,18,36,"Franktown",044, ,0,0,0,171,397,"St. James Centennial Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,140,22,0,17,46,"Franktown",045, ,0,1,0,226,405,"St. James Centennial Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,..........................NO POLL HELD........................,,,,,"Napanee",046, ,0,0,0,0,0,"",20071010
041,LANARK--FRONTENAC--LENNOX AND ,18,2,0,2,4,"McArthurs Mills",047, ,0,0,0,26,39,"Snider Residence",20071010
041,LANARK--FRONTENAC--LENNOX AND ,13,0,0,5,10,"Denbigh",048, ,0,0,0,28,83,"Denbigh Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,79,16,0,28,38,"Ompah",049, ,0,1,0,162,348,"Ompah Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,70,13,0,22,38,"McDonald's Corners",050, ,0,0,0,143,297,"McDonald's Corners Agricultural Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,62,10,0,10,35,"McDonald's Corners",051, ,0,0,0,117,236,"McDonald's Corners Agricultural Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,68,12,1,18,31,"Lanark",052, ,0,1,0,131,334,"Foy Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,69,15,3,11,22,"Lanark",053, ,0,1,0,121,276,"Foy Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,111,16,1,23,61,"Perth",054, ,1,0,0,213,443,"Drummond Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,112,17,2,25,52,"Perth",055, ,2,0,0,210,353,"Drummond Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,83,8,1,14,51,"Perth",056, ,0,0,0,157,382,"Perth & District Collegiate Institute",20071010
041,LANARK--FRONTENAC--LENNOX AND ,90,11,0,21,47,"Franktown",057, ,1,1,0,171,447,"St. James Centennial Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,84,26,3,13,64,"Smiths Falls",058, ,0,0,0,190,375,"Montague Public School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,3,1,0,1,6,"Gilmour",059, ,0,0,0,11,23,"Biernaskie Residence",20071010
041,LANARK--FRONTENAC--LENNOX AND ,8,2,1,2,12,"Cloyne",060, ,0,0,0,25,60,"Cloyne Barrie Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,117,31,2,23,88,"Plevna",061, ,0,0,0,261,441,"Clar-Mill Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,136,26,0,29,68,"McDonald's Corners",062, ,0,1,0,260,463,"McDonald's Corners Agricultural Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,69,17,3,20,21,"McDonald's Corners",063, ,0,0,0,130,370,"McDonald's Corners Agricultural Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,110,28,1,18,40,"Perth",064, ,0,0,0,197,420,"Tay Valley Municipal Office",20071010
041,LANARK--FRONTENAC--LENNOX AND ,116,21,1,23,89,"Perth",065, ,0,2,0,252,576,"Perth & District Collegiate Institute",20071010
041,LANARK--FRONTENAC--LENNOX AND ,77,10,2,13,86,"Perth",066, ,0,0,0,188,385,"Perth & District Collegiate Institute",20071010
041,LANARK--FRONTENAC--LENNOX AND ,79,12,0,17,42,"Perth",067, ,0,0,0,150,390,"Perth & District Collegiate Institute",20071010
041,LANARK--FRONTENAC--LENNOX AND ,123,7,2,26,97,"Perth",068, ,1,1,0,257,523,"North Elmsley Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,60,8,0,5,29,"Perth",069, ,2,0,0,104,210,"North Elmsley Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,1,1,0,0,1,"Smiths Falls",070s, ,0,0,0,3,380,"Rideau Regional Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,12,1,1,2,8,"Smiths Falls",071s, ,0,0,9,33,42,"Shardon Manor Retirement Home",20071010
041,LANARK--FRONTENAC--LENNOX AND ,52,7,1,9,32,"Smiths Falls",072, ,5,0,0,106,326,"Seniors Activity Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,83,13,0,29,46,"Smiths Falls",073, ,2,1,0,174,405,"Seniors Activity Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,41,9,0,24,47,"Smiths Falls",074, ,0,0,0,121,312,"Seniors Activity Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,..........................NO POLL HELD........................,,,,,"Napanee",075s, ,0,0,0,0,0,"",20071010
041,LANARK--FRONTENAC--LENNOX AND ,80,7,2,20,41,"Smiths Falls",076, ,0,0,0,150,390,"Montague Public School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,47,11,2,14,37,"Smiths Falls",077, ,1,0,1,113,330,"T.R. Leger School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,40,8,1,12,40,"Smiths Falls",078, ,0,1,0,102,383,"Seniors Activity Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,23,5,0,6,14,"Smiths Falls",079, ,0,0,0,48,180,"Duncan J. Schoular School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,32,5,2,9,24,"Smiths Falls",080, ,0,0,0,72,295,"Duncan J. Schoular School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,64,5,1,20,33,"Smiths Falls",081, ,2,1,0,126,347,"Seniors Activity Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,64,3,2,24,24,"Smiths Falls",082, ,0,0,0,117,362,"Duncan J. Schoular School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,58,5,3,10,36,"Smiths Falls",083, ,0,1,0,113,336,"Duncan J. Schoular School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,67,7,1,20,41,"Smiths Falls",084, ,0,0,0,136,329,"Duncan J. Schoular School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,37,3,1,8,15,"Smiths Falls",085, ,0,0,0,64,250,"Duncan J. Schoular School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,47,3,0,13,14,"Smiths Falls",086, ,1,1,0,79,290,"Duncan J. Schoular School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,68,7,1,21,27,"Smiths Falls",087, ,0,0,0,124,322,"Duncan J. Schoular School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,62,7,0,12,29,"Smiths Falls",088, ,0,0,0,110,218,"Montague Public School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,143,15,5,17,63,"Smiths Falls",089, ,1,0,0,244,532,"Montague Public School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,101,9,2,20,62,"Perth",090, ,0,0,0,194,419,"Tay Valley Municipal Office",20071010
041,LANARK--FRONTENAC--LENNOX AND ,93,10,3,20,56,"Perth",091, ,1,2,0,185,333,"Tay Valley Municipal Office",20071010
041,LANARK--FRONTENAC--LENNOX AND ,21,4,2,6,16,"Perth",092s, ,3,1,2,55,136,"Perth Community Care Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,34,2,1,9,17,"Lanark",093s, ,0,2,0,65,166,"Lanark Lodge",20071010
041,LANARK--FRONTENAC--LENNOX AND ,39,10,1,11,47,"Lanark",094, ,1,0,0,109,288,"Lanark Lodge",20071010
041,LANARK--FRONTENAC--LENNOX AND ,59,9,0,6,40,"Lanark",095, ,0,2,0,116,277,"Lanark Lodge",20071010
041,LANARK--FRONTENAC--LENNOX AND ,65,7,1,12,56,"Lanark",096, ,0,0,0,141,347,"Lanark Lodge",20071010
041,LANARK--FRONTENAC--LENNOX AND ,65,13,0,12,52,"Perth",097, ,0,0,0,142,313,"Royal Canadian Legion - Branch 244",20071010
041,LANARK--FRONTENAC--LENNOX AND ,26,5,4,8,23,"Perth",098s, ,2,0,0,68,100,"Carolina Retirement Suites",20071010
041,LANARK--FRONTENAC--LENNOX AND ,68,10,2,19,66,"Perth",099, ,0,0,0,165,350,"Perth & District Collegiate Institute",20071010
041,LANARK--FRONTENAC--LENNOX AND ,44,24,2,21,47,"Perth",100, ,0,0,0,138,315,"Perth & District Collegiate Institute",20071010
041,LANARK--FRONTENAC--LENNOX AND ,..........................NO POLL HELD........................,,,,,"Napanee",101s, ,0,0,0,0,0,"",20071010
041,LANARK--FRONTENAC--LENNOX AND ,70,13,2,25,65,"Perth",102, ,0,0,0,175,374,"Perth Lions Club",20071010
041,LANARK--FRONTENAC--LENNOX AND ,48,12,0,15,41,"Perth",103, ,0,0,0,116,302,"Royal Canadian Legion - Branch 244",20071010
041,LANARK--FRONTENAC--LENNOX AND ,31,8,0,22,29,"Perth",104, ,0,0,0,90,243,"Royal Canadian Legion - Branch 244",20071010
041,LANARK--FRONTENAC--LENNOX AND ,36,4,1,10,41,"Perth",105, ,0,0,0,92,244,"Perth Lions Club",20071010
041,LANARK--FRONTENAC--LENNOX AND ,49,6,1,10,48,"Perth",106, ,0,0,0,114,294,"Perth Lions Club",20071010
041,LANARK--FRONTENAC--LENNOX AND ,73,10,2,15,84,"Perth",107, ,0,0,0,184,374,"Perth Lions Club",20071010
041,LANARK--FRONTENAC--LENNOX AND ,41,20,0,11,50,"Perth",108, ,0,2,0,124,285,"Royal Canadian Legion - Branch 244",20071010
041,LANARK--FRONTENAC--LENNOX AND ,48,16,0,13,53,"Perth",109, ,1,1,0,132,319,"Perth Lions Club",20071010
041,LANARK--FRONTENAC--LENNOX AND ,65,17,3,20,39,"Perth",110, ,1,1,0,146,304,"Royal Canadian Legion - Branch 244",20071010
041,LANARK--FRONTENAC--LENNOX AND ,117,13,1,18,92,"Perth",111, ,0,2,0,243,473,"Bethel United Church",20071010
041,LANARK--FRONTENAC--LENNOX AND ,82,37,0,16,117,"Perth",112, ,1,0,0,253,502,"Bethel United Church",20071010
041,LANARK--FRONTENAC--LENNOX AND ,12,2,2,3,9,"Perth",113s, ,0,0,0,28,33,"Rideau Ferry Country Home",20071010
041,LANARK--FRONTENAC--LENNOX AND ,117,23,0,33,74,"Perth",114, ,0,0,0,247,446,"North Elmsley Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,94,12,1,32,48,"Smiths Falls",115, ,0,0,0,187,364,"T.R. Leger School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,74,9,0,13,52,"Smiths Falls",116, ,0,0,0,148,333,"T.R. Leger School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,28,0,2,0,15,"Smiths Falls",117s, ,10,0,0,55,93,"Broadview Nursing Home",20071010
041,LANARK--FRONTENAC--LENNOX AND ,40,3,1,18,50,"Smiths Falls",118, ,0,1,1,114,280,"T.R. Leger School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,104,7,2,20,75,"Smiths Falls",119, ,0,0,0,208,410,"Chimo Senior Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,93,10,1,21,70,"Smiths Falls",120, ,0,0,0,195,332,"Chimo Senior Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,23,1,0,0,13,"Smiths Falls",121s, ,0,1,0,38,58,"The Willowdale Retirement Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,54,5,4,22,40,"Smiths Falls",122, ,0,2,0,127,289,"Chimo Senior Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,22,1,1,2,14,"Smiths Falls",123s, ,0,1,0,41,61,"Van Horne Manor",20071010
041,LANARK--FRONTENAC--LENNOX AND ,95,8,2,17,77,"Smiths Falls",124, ,1,0,0,200,391,"Chimo Senior Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,42,3,1,19,32,"Smiths Falls",125, ,0,1,0,98,300,"Chimo Senior Elementary School",20071010
041,LANARK--FRONTENAC--LENNOX AND ,65,6,9,20,46,"Cloyne",126, ,1,0,0,147,301,"Cloyne Barrie Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,59,10,6,16,41,"Cloyne",127, ,4,0,0,136,243,"Cloyne Barrie Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,40,16,1,13,34,"Sharbot Lake",128, ,0,1,0,105,251,"St. James Major Church Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,74,19,1,35,47,"Maberly",129, ,1,0,0,177,401,"Maberly Town Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,60,36,0,19,23,"Maberly",130, ,0,1,0,139,352,"Maberly Town Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,112,12,2,20,69,"Perth",131, ,0,0,0,215,492,"Burgess Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,71,17,2,21,61,"Perth",132, ,2,0,0,174,323,"Burgess Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,92,17,0,16,72,"Perth",133, ,0,0,0,197,342,"Bethel United Church",20071010
041,LANARK--FRONTENAC--LENNOX AND ,97,11,9,19,70,"Cloyne",134, ,2,0,0,208,339,"Cloyne Barrie Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,69,6,0,17,45,"Mountain Grove",135, ,0,1,0,138,324,"Olden Community Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,81,27,1,17,56,"Maberly",136, ,0,0,0,182,343,"Maberly Town Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,86,20,1,13,43,"Perth",137, ,0,1,0,164,304,"Burgess Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,55,12,0,28,82,"Sharbot Lake",138, ,0,1,0,178,408,"St. James Major Church Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,6,2,1,2,5,"Sharbot Lake",139s, ,1,1,0,18,29,"Sharbot Lake Seniors Home",20071010
041,LANARK--FRONTENAC--LENNOX AND ,59,16,2,25,89,"Sharbot Lake",140, ,0,0,0,191,398,"St. James Major Church Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,4,0,0,1,9,"Northbrook",141s, ,0,0,1,15,65,"Pine Meadows Nursing Home",20071010
041,LANARK--FRONTENAC--LENNOX AND ,82,6,2,29,57,"Kaladar",142, ,0,0,0,176,563,"Kaladar Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,63,10,8,33,62,"Arden",143, ,1,0,0,177,334,"Royal Canadian Legion - Branch 334",20071010
041,LANARK--FRONTENAC--LENNOX AND ,94,19,4,35,64,"Arden",144, ,0,0,0,216,405,"Royal Canadian Legion - Branch 334",20071010
041,LANARK--FRONTENAC--LENNOX AND ,42,13,2,31,64,"Mountain Grove",145, ,0,0,0,152,374,"Olden Community Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,88,17,2,35,93,"Tichborne",146, ,0,1,0,236,347,"Bedford Township Fire Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,......................COMBINED WITH POLL 146 ....................,,,,,"Godfrey",147, ,,,,,,"Bedford Township Fire Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,76,7,10,32,42,"Flinton",148, ,0,0,0,167,522,"Flinton Recreation Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,35,0,1,6,16,"Parham",149, ,0,1,0,59,115,"Parham I.O.O.F. Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,93,19,1,32,77,"Parham",150, ,2,1,0,225,359,"Parham I.O.O.F. Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,86,9,0,16,60,"Godfrey",151, ,0,0,1,172,308,"Piccadilly Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,43,16,5,23,80,"Godfrey",152, ,0,0,0,167,333,"Bedford Township Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,66,18,5,37,131,"Erinsville",153, ,0,0,0,257,434,"Lakeview Tavern",20071010
041,LANARK--FRONTENAC--LENNOX AND ,43,12,3,35,75,"Tamworth",154, ,0,0,0,168,367,"Tamworth Library",20071010
041,LANARK--FRONTENAC--LENNOX AND ,55,13,4,26,54,"Enterprise",155, ,0,0,0,152,509,"Enterprise Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,49,13,0,33,57,"Hartington",156, ,0,0,0,152,514,"Desert Lake Family Resort",20071010
041,LANARK--FRONTENAC--LENNOX AND ,33,14,0,16,41,"Perth Road",157, ,1,0,0,105,116,"Perth Road Sunday School Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,77,12,1,48,129,"Tamworth",158, ,2,3,1,273,516,"Tamworth Library",20071010
041,LANARK--FRONTENAC--LENNOX AND ,29,14,0,19,49,"Verona",159, ,0,1,0,112,301,"Bell Rock Community Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,69,19,4,42,58,"Verona",160, ,0,0,0,192,425,"Verona Lions Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,34,4,1,8,67,"Verona",161, ,1,0,0,115,236,"Verona Lions Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,78,18,0,40,88,"Verona",162, ,0,0,0,224,490,"Verona Lions Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,82,9,5,22,81,"Hartington",163, ,0,0,0,199,416,"Princess Anne Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,65,19,1,18,63,"Perth Road",164, ,0,0,0,166,359,"Perth Road Sunday School Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,55,16,0,22,72,"Perth Road",165, ,0,1,0,166,426,"Perth Road Sunday School Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,70,22,7,45,103,"Battersea",166, ,0,0,0,247,466,"Battersea United Church",20071010
041,LANARK--FRONTENAC--LENNOX AND ,65,26,2,29,95,"Battersea",167, ,0,1,0,218,436,"Battersea United Church",20071010
041,LANARK--FRONTENAC--LENNOX AND ,74,11,4,22,75,"Roblin",168, ,0,0,0,186,395,"Roblin Wesleyan Church",20071010
041,LANARK--FRONTENAC--LENNOX AND ,59,11,4,23,46,"Enterprise",169, ,0,0,0,143,315,"Enterprise Community Centre",20071010
041,LANARK--FRONTENAC--LENNOX AND ,76,11,1,25,97,"Moscow",170, ,0,2,0,212,442,"Moscow United Church Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,51,12,5,24,81,"Harrowsmith",171, ,0,0,0,173,380,"Golden Links Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,78,6,2,32,76,"Harrowsmith",172, ,1,1,0,196,451,"Golden Links Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,45,17,2,24,66,"Harrowsmith",173, ,0,0,0,154,351,"Golden Links Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,45,8,0,13,54,"Sydenham",174, ,1,0,0,121,305,"South Frontenac Township Office",20071010
041,LANARK--FRONTENAC--LENNOX AND ,44,8,1,41,58,"Sydenham",175, ,1,0,0,153,355,"Royal Canadian Legion - Branch 496",20071010
041,LANARK--FRONTENAC--LENNOX AND ,39,21,0,15,91,"Sydenham",176, ,0,0,0,166,383,"South Frontenac Township Office",20071010
041,LANARK--FRONTENAC--LENNOX AND ,53,9,1,39,75,"Sydenham",177, ,1,0,1,179,453,"Royal Canadian Legion - Branch 496",20071010
041,LANARK--FRONTENAC--LENNOX AND ,58,9,1,22,90,"Sydenham",178, ,0,0,0,180,431,"South Frontenac Township Office",20071010
041,LANARK--FRONTENAC--LENNOX AND ,54,19,2,34,78,"Inverary",179, ,0,0,0,187,405,"Inverary United Church Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,40,16,2,31,82,"Inverary",180, ,0,0,0,171,383,"Inverary United Church Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,52,11,2,26,68,"Battersea",181A, ,1,0,0,160,393,"Storrington Township Office",20071010
041,LANARK--FRONTENAC--LENNOX AND ,65,12,2,29,75,"Battersea",181B, ,0,0,0,183,444,"Storrington Township Office",20071010
041,LANARK--FRONTENAC--LENNOX AND ,93,8,5,27,52,"Roblin",182, ,1,0,0,186,417,"Roblin Wesleyan Church",20071010
041,LANARK--FRONTENAC--LENNOX AND ,68,16,2,30,100,"Centreville",183, ,1,1,0,218,407,"Stone Mills Municipal Office",20071010
041,LANARK--FRONTENAC--LENNOX AND ,33,15,2,27,105,"Camden East",184, ,1,0,0,183,425,"Shirley Memorial Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,76,23,1,26,72,"Yarker",185, ,1,0,0,199,480,"Stone Mills Township Fire Department Station 1",20071010
041,LANARK--FRONTENAC--LENNOX AND ,49,22,0,39,62,"Yarker",186, ,1,1,0,174,340,"Stone Mills Township Fire Department Station 1",20071010
041,LANARK--FRONTENAC--LENNOX AND ,49,13,1,41,91,"Harrowsmith",187, ,0,1,0,196,401,"Golden Links Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,68,11,0,35,82,"Harrowsmith",188, ,0,0,0,196,410,"Golden Links Hall",20071010
041,LANARK--FRONTENAC--LENNOX AND ,56,11,2,42,71,"Sydenham",189, ,0,1,0,183,410,"Royal Canadian Legion - Branch 496",20071010
041,LANARK--FRONTENAC--LENNOX AND ,57,19,1,32,82,"Sydenham",190, ,0,0,0,191,426,"Royal Canadian Legion - Branch 496",20071010
