ED_CODE,ED_NAME,FOULDS,GRAVELLE,HOBBS,KANNEGIESSER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
091,THUNDER BAY--SUPERIOR NORTH,110,43,2,1,"Red Rock",033, ,2,0,0,158,309,"St. Hilary Catholic School",20071010
091,THUNDER BAY--SUPERIOR NORTH,89,32,11,2,"Dorion",034, ,0,0,0,134,251,"Hurkett Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,21,34,3,6,"Rossport",035, ,0,0,0,64,78,"Rossport Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,23,8,0,2,"Pays Plat 51",036, ,0,0,0,33,45,"Pays Plat 51 First Nation Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,54,90,6,3,"Terrace Bay",037, ,0,0,0,153,306,"Terrace Bay Curling Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,..........................NO POLL HELD........................,,,,"Terrace Bay",038, ,0,0,0,0,0,"",20071010
091,THUNDER BAY--SUPERIOR NORTH,57,43,14,1,"Dorion",039, ,0,0,0,115,199,"Dorion Municipal Office",20071010
091,THUNDER BAY--SUPERIOR NORTH,45,93,13,2,"Schreiber",040, ,2,0,0,155,334,"Schreiber Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,22,37,3,4,"Schreiber",041, ,0,0,0,66,196,"Schreiber Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,25,47,3,0,"Schreiber",042, ,0,0,0,75,201,"Schreiber Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,28,46,3,2,"Schreiber",043, ,0,1,0,80,182,"Schreiber Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,55,65,5,1,"Terrace Bay",044, ,1,0,0,127,277,"Terrace Bay Curling Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,20,27,3,0,"Terrace Bay",045, ,0,0,0,50,177,"Terrace Bay Curling Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,72,85,36,16,"Thunder Bay",046, ,0,1,0,210,456,"Lappe Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,64,51,26,11,"Thunder Bay",047, ,0,0,0,152,227,"Lappe Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,24,43,5,0,"Terrace Bay",048, ,0,0,0,72,178,"Terrace Bay Curling Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,46,81,6,2,"Terrace Bay",049, ,0,0,0,135,221,"Terrace Bay Curling Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,20,12,0,2,"Marathon",050, ,0,0,0,34,89,"Lakeview Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,47,66,9,4,"Marathon",051, ,0,0,0,126,319,"Lakeview Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,20,35,5,1,"Marathon",052, ,0,1,0,62,211,"Lakeview Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,54,74,10,2,"Marathon",053, ,0,1,0,141,307,"Lakeview Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,67,70,18,3,"Marathon",054, ,0,0,0,158,358,"Lakeview Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,92,60,13,12,"Marathon",055, ,2,0,0,179,400,"Lakeview Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,65,77,9,3,"Marathon",056, ,0,0,0,154,386,"Lakeview Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,49,70,13,1,"Marathon",057, ,0,0,0,133,344,"Lakeview Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,66,51,27,15,"Kaministiquia",058, ,0,0,0,159,276,"Kam Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,48,59,34,11,"Thunder Bay",059, ,0,0,0,152,319,"Lappe Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,15,6,3,3,"Thunder Bay",060, ,0,0,0,27,92,"East Gorham Fire Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,54,42,10,6,"Thunder Bay",061, ,0,0,0,112,160,"East Gorham Fire Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,16,37,8,3,"Thunder Bay",062, ,0,0,3,67,132,"East Gorham Fire Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,22,35,9,2,"Shuniah",063, ,0,0,0,68,133,"MacGregor Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,37,85,31,11,"Shuniah",064, ,0,0,1,165,287,"MacGregor Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,50,47,4,1,"Marathon",065, ,1,0,0,103,256,"Lakeview Community Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,37,26,1,3,"Heron Bay",066, ,0,2,0,69,218,"Pic River Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,3,1,0,0,"Heron Bay",067, ,0,0,0,4,12,"Pic River Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,46,101,25,8,"Thunder Bay",068, ,0,0,0,180,427,"Hilldale Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,54,91,33,16,"Thunder Bay",069, ,1,0,0,195,415,"Holy Cross School",20071010
091,THUNDER BAY--SUPERIOR NORTH,33,78,12,4,"Thunder Bay",070, ,0,0,0,127,305,"Holy Cross School",20071010
091,THUNDER BAY--SUPERIOR NORTH,34,58,10,2,"Thunder Bay",071, ,0,0,0,104,279,"Holy Cross School",20071010
091,THUNDER BAY--SUPERIOR NORTH,16,19,3,2,"Thunder Bay",072, ,0,0,0,40,154,"Hammarskjold High School",20071010
091,THUNDER BAY--SUPERIOR NORTH,24,62,14,6,"Thunder Bay",073A, ,0,0,0,106,251,"Hilldale Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,35,94,13,8,"Thunder Bay",073B, ,0,0,0,150,262,"Hilldale Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,50,93,15,8,"Thunder Bay",074, ,0,0,0,166,320,"Holy Cross School",20071010
091,THUNDER BAY--SUPERIOR NORTH,61,94,6,8,"Thunder Bay",075, ,3,0,0,172,398,"Hammarskjold High School",20071010
091,THUNDER BAY--SUPERIOR NORTH,43,67,9,2,"Thunder Bay",076, ,0,1,0,122,298,"Holy Cross School",20071010
091,THUNDER BAY--SUPERIOR NORTH,30,25,9,4,"Thunder Bay",077, ,0,0,0,68,245,"Hammarskjold High School",20071010
091,THUNDER BAY--SUPERIOR NORTH,56,129,24,11,"Thunder Bay",078, ,0,0,0,220,472,"Hilldale Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,16,20,1,2,"Thunder Bay",079, ,0,0,0,39,113,"Hammarskjold High School",20071010
091,THUNDER BAY--SUPERIOR NORTH,58,86,21,12,"Thunder Bay",080, ,2,1,1,181,322,"Algonquin School",20071010
091,THUNDER BAY--SUPERIOR NORTH,17,24,7,1,"Thunder Bay",081s, ,1,0,0,50,67,"Good Shepherd Village",20071010
091,THUNDER BAY--SUPERIOR NORTH,39,48,15,3,"Thunder Bay",082, ,0,0,0,105,246,"Algonquin School",20071010
091,THUNDER BAY--SUPERIOR NORTH,22,45,8,0,"Thunder Bay",083, ,0,0,0,75,183,"Hammarskjold High School",20071010
091,THUNDER BAY--SUPERIOR NORTH,45,55,15,9,"Thunder Bay",084, ,0,0,0,124,360,"Our Lady of Charity Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,62,107,29,7,"Thunder Bay",085, ,0,1,0,206,486,"Our Lady of Charity Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,51,53,8,5,"Thunder Bay",086, ,2,0,0,119,262,"St. Michael's Anglican Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,33,67,8,2,"Thunder Bay",087, ,1,0,0,111,330,"Our Lady of Charity Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,52,45,14,11,"Thunder Bay",088, ,1,1,0,124,260,"C.D. Howe Public School",20071010
091,THUNDER BAY--SUPERIOR NORTH,48,47,6,11,"Thunder Bay",089, ,1,0,0,113,274,"St. Michael's Anglican Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,51,134,33,16,"Thunder Bay",090, ,1,1,0,236,433,"C.D. Howe Public School",20071010
091,THUNDER BAY--SUPERIOR NORTH,60,35,14,0,"Thunder Bay",091, ,0,0,0,109,317,"Our Lady of Charity Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,40,33,6,7,"Thunder Bay",092, ,0,1,0,87,264,"Our Lady of Charity Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,..........................NO POLL HELD........................,,,,"Thunder Bay",093s, ,0,0,0,0,0,"",20071010
091,THUNDER BAY--SUPERIOR NORTH,44,91,11,9,"Thunder Bay",094, ,1,0,0,156,337,"C.D. Howe Public School",20071010
091,THUNDER BAY--SUPERIOR NORTH,38,106,19,2,"Thunder Bay",095s, ,1,0,0,166,236,"Bethammi Nursing Home",20071010
091,THUNDER BAY--SUPERIOR NORTH,11,26,9,1,"Thunder Bay",096s, ,0,0,0,47,77,"Suomi Koti Seniors Residence",20071010
091,THUNDER BAY--SUPERIOR NORTH,12,37,3,3,"Thunder Bay",097s, ,1,1,0,57,72,"The Walford",20071010
091,THUNDER BAY--SUPERIOR NORTH,51,57,15,14,"Thunder Bay",098, ,0,0,0,137,324,"St. Michael's Anglican Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,89,64,12,13,"Thunder Bay",099, ,0,0,0,178,378,"55 Plus Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,48,103,22,12,"Thunder Bay",100, ,0,0,0,185,356,"55 Plus Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,47,94,33,22,"Thunder Bay",101, ,0,0,0,196,370,"55 Plus Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,44,52,11,10,"Thunder Bay",102, ,1,0,0,118,259,"St. Michael's Anglican Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,71,67,7,11,"Thunder Bay",103, ,1,0,0,157,316,"Castlegreen Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,25,17,0,4,"Thunder Bay",104, ,0,0,0,46,131,"Castlegreen Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,51,72,12,5,"Thunder Bay",105, ,3,0,0,143,326,"École secondaire catholique de La Vérendrye",20071010
091,THUNDER BAY--SUPERIOR NORTH,59,50,12,7,"Thunder Bay",106, ,1,0,0,129,342,"55 Plus Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,65,98,17,12,"Thunder Bay",107, ,0,2,0,194,377,"55 Plus Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,59,69,17,17,"Thunder Bay",108, ,0,0,0,162,311,"École secondaire catholique de La Vérendrye",20071010
091,THUNDER BAY--SUPERIOR NORTH,58,74,13,2,"Thunder Bay",109, ,0,0,0,147,327,"North End Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,54,53,10,25,"Thunder Bay",110, ,1,0,0,143,296,"École secondaire catholique de La Vérendrye",20071010
091,THUNDER BAY--SUPERIOR NORTH,43,45,15,11,"Thunder Bay",111, ,0,0,0,114,288,"55 Plus Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,43,79,8,23,"Thunder Bay",112, ,0,0,0,153,301,"École secondaire catholique de La Vérendrye",20071010
091,THUNDER BAY--SUPERIOR NORTH,59,66,16,5,"Thunder Bay",113, ,2,1,0,149,290,"St. Margaret Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,45,31,4,6,"Thunder Bay",114, ,0,0,0,86,222,"École secondaire catholique de La Vérendrye",20071010
091,THUNDER BAY--SUPERIOR NORTH,66,107,30,13,"Thunder Bay",115, ,0,0,0,216,354,"Our Saviour's Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,59,80,16,5,"Thunder Bay",116, ,0,0,0,160,345,"North End Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,37,42,14,3,"Thunder Bay",117, ,0,0,0,96,205,"North End Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,86,92,6,10,"Thunder Bay",118, ,0,0,0,194,375,"St. Margaret Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,99,126,13,12,"Thunder Bay",119, ,0,0,0,250,431,"Our Saviour's Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,70,68,11,5,"Thunder Bay",120, ,0,1,0,155,325,"St. Margaret Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,89,60,18,3,"Thunder Bay",121, ,0,0,0,170,346,"St. Margaret Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,11,21,7,1,"Thunder Bay",122s, ,0,0,0,40,99,"Roseview Manor Long Term Care",20071010
091,THUNDER BAY--SUPERIOR NORTH,45,61,17,21,"Thunder Bay",123, ,2,0,0,146,306,"École catholique Franco-Supérieur",20071010
091,THUNDER BAY--SUPERIOR NORTH,84,88,19,10,"Thunder Bay",124, ,1,0,1,203,376,"North End Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,51,56,11,13,"Thunder Bay",125, ,1,0,0,132,348,"École catholique Franco-Supérieur",20071010
091,THUNDER BAY--SUPERIOR NORTH,58,78,13,8,"Thunder Bay",126, ,0,0,0,157,331,"St. Margaret Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,89,60,14,4,"Thunder Bay",127, ,0,0,0,167,373,"St. Margaret Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,45,50,16,6,"Thunder Bay",128, ,1,0,0,118,324,"St. Ignatius High School",20071010
091,THUNDER BAY--SUPERIOR NORTH,16,20,6,0,"Thunder Bay",129s, ,0,1,0,43,57,"Chartwell Select",20071010
091,THUNDER BAY--SUPERIOR NORTH,2,5,2,0,"Thunder Bay",130s, ,1,0,0,10,35,"Lakehead Psychiatric Hospital",20071010
091,THUNDER BAY--SUPERIOR NORTH,32,51,3,6,"Thunder Bay",131, ,0,0,1,93,226,"St. Ignatius High School",20071010
091,THUNDER BAY--SUPERIOR NORTH,71,86,15,11,"Thunder Bay",132, ,1,2,0,186,427,"North End Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,7,21,3,1,"Thunder Bay",133s, ,0,0,0,32,92,"Dawson Court - Home for Aged",20071010
091,THUNDER BAY--SUPERIOR NORTH,65,58,14,6,"Thunder Bay",134, ,1,0,0,144,309,"École catholique Franco-Supérieur",20071010
091,THUNDER BAY--SUPERIOR NORTH,61,45,7,6,"Thunder Bay",135, ,1,1,0,121,316,"Claude E. Garton School",20071010
091,THUNDER BAY--SUPERIOR NORTH,58,35,4,5,"Thunder Bay",136, ,3,0,0,105,256,"St. Ignatius High School",20071010
091,THUNDER BAY--SUPERIOR NORTH,80,62,11,8,"Thunder Bay",137, ,0,0,0,161,346,"Claude E. Garton School",20071010
091,THUNDER BAY--SUPERIOR NORTH,61,52,9,6,"Thunder Bay",138, ,0,0,0,128,313,"Claude E. Garton School",20071010
091,THUNDER BAY--SUPERIOR NORTH,84,70,17,9,"Thunder Bay",139, ,0,1,0,181,354,"Current River Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,27,14,4,7,"Thunder Bay",140, ,0,1,0,53,156,"Claude E. Garton School",20071010
091,THUNDER BAY--SUPERIOR NORTH,80,61,17,5,"Thunder Bay",141, ,1,0,0,164,360,"Current River Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,47,37,9,3,"Thunder Bay",142, ,0,0,0,96,287,"St. Ignatius High School",20071010
091,THUNDER BAY--SUPERIOR NORTH,82,74,10,6,"Thunder Bay",143, ,0,0,0,172,369,"Claude E. Garton School",20071010
091,THUNDER BAY--SUPERIOR NORTH,68,34,6,7,"Thunder Bay",144, ,0,1,0,116,311,"Current River Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,69,42,6,6,"Thunder Bay",145, ,0,0,0,123,309,"Current River Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,72,73,17,8,"Thunder Bay",146, ,0,0,0,170,368,"Claude E. Garton School",20071010
091,THUNDER BAY--SUPERIOR NORTH,55,70,16,7,"Thunder Bay",147, ,0,0,0,148,329,"Current River Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,66,86,39,12,"Shuniah",148, ,1,0,0,204,417,"MacGregor Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,79,115,29,17,"Shuniah",149, ,1,1,0,242,454,"MacGregor Recreation Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,58,93,13,10,"Pass Lake",150, ,0,0,0,174,291,"Salem Lutheran Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,28,61,28,6,"Thunder Bay",151A, ,0,0,0,123,266,"Evangel Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,26,84,25,8,"Thunder Bay",151B, ,0,0,0,143,283,"Evangel Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,44,138,24,10,"Thunder Bay",152, ,2,0,0,218,454,"Bishop E.Q. Jennings School",20071010
091,THUNDER BAY--SUPERIOR NORTH,44,115,27,11,"Thunder Bay",153, ,0,0,0,197,404,"Bishop E.Q. Jennings School",20071010
091,THUNDER BAY--SUPERIOR NORTH,169,94,35,61,"Thunder Bay",154, ,1,1,0,361,453,"Lakehead University (Bartley House)",20071010
091,THUNDER BAY--SUPERIOR NORTH,29,102,20,6,"Thunder Bay",155, ,2,0,0,159,328,"Bishop E.Q. Jennings School",20071010
091,THUNDER BAY--SUPERIOR NORTH,59,110,20,10,"Thunder Bay",156, ,4,0,0,203,412,"Bishop E.Q. Jennings School",20071010
091,THUNDER BAY--SUPERIOR NORTH,3,34,3,1,"Thunder Bay",157s, ,0,0,3,44,95,"Pioneer Ridge Long Term Care",20071010
091,THUNDER BAY--SUPERIOR NORTH,15,40,7,0,"Thunder Bay",158s, ,1,0,0,63,94,"Jasper Place",20071010
091,THUNDER BAY--SUPERIOR NORTH,3,49,6,3,"Thunder Bay",159s, ,0,1,0,62,75,"Glacier Ridge",20071010
091,THUNDER BAY--SUPERIOR NORTH,27,43,16,7,"Thunder Bay",160, ,1,0,0,94,265,"Evangel Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,64,117,7,7,"Thunder Bay",161, ,0,0,0,195,381,"Algonquin School",20071010
091,THUNDER BAY--SUPERIOR NORTH,58,31,5,13,"Thunder Bay",162, ,1,0,1,109,300,"Oliver Road Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,71,62,14,21,"Thunder Bay",163, ,1,0,0,169,374,"Oliver Road Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,43,61,13,16,"Thunder Bay",164, ,1,0,0,134,333,"Matthews Court",20071010
091,THUNDER BAY--SUPERIOR NORTH,36,28,7,9,"Thunder Bay",165, ,0,0,0,80,248,"Evangel Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,44,65,15,9,"Thunder Bay",166, ,0,0,0,133,284,"École Gron Morgan Public School",20071010
091,THUNDER BAY--SUPERIOR NORTH,55,76,8,11,"Thunder Bay",167, ,0,0,0,150,314,"Oliver Road Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,47,42,8,14,"Thunder Bay",168, ,0,0,0,111,285,"Oliver Road Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,50,96,14,12,"Thunder Bay",169, ,0,2,0,174,320,"École Gron Morgan Public School",20071010
091,THUNDER BAY--SUPERIOR NORTH,61,84,7,11,"Thunder Bay",170, ,0,1,0,164,309,"École Gron Morgan Public School",20071010
091,THUNDER BAY--SUPERIOR NORTH,38,61,18,9,"Thunder Bay",171, ,0,0,0,126,369,"Prosvita Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,71,52,8,22,"Thunder Bay",172, ,0,0,0,153,362,"Oliver Road Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,47,89,20,12,"Thunder Bay",173, ,0,1,0,169,314,"École Gron Morgan Public School",20071010
091,THUNDER BAY--SUPERIOR NORTH,47,124,29,24,"Thunder Bay",174, ,1,0,0,225,386,"École Gron Morgan Public School",20071010
091,THUNDER BAY--SUPERIOR NORTH,37,39,9,9,"Thunder Bay",175, ,0,1,0,95,286,"Prosvita Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,50,36,10,8,"Thunder Bay",176, ,0,1,0,105,256,"Prosvita Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,53,138,27,18,"Thunder Bay",177, ,0,0,0,236,417,"École Gron Morgan Public School",20071010
091,THUNDER BAY--SUPERIOR NORTH,38,40,11,22,"Thunder Bay",178, ,1,0,0,112,297,"Oliver Road Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,43,44,13,18,"Thunder Bay",179, ,0,0,0,118,271,"Italian Cultural Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,58,51,16,11,"Thunder Bay",180, ,0,0,0,136,403,"Prosvita Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,47,31,4,9,"Thunder Bay",181, ,1,0,0,92,244,"Italian Cultural Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,44,56,15,22,"Thunder Bay",182, ,1,0,0,138,276,"St. Paul's United Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,28,37,2,8,"Thunder Bay",183, ,2,0,0,77,203,"Italian Cultural Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,38,37,6,16,"Thunder Bay",184, ,0,1,0,98,259,"Italian Cultural Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,35,76,13,18,"Thunder Bay",185, ,0,1,0,143,329,"St. Paul's United Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,38,28,10,13,"Thunder Bay",186, ,1,0,0,90,191,"St. Paul's United Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,18,34,6,8,"Thunder Bay",187, ,0,0,0,66,175,"St. John's Anglican Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,33,40,8,11,"Thunder Bay",188, ,0,1,0,93,241,"St. Paul's United Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,7,17,3,0,"Thunder Bay",189s, ,0,0,0,27,99,"St. Joseph Hospital",20071010
091,THUNDER BAY--SUPERIOR NORTH,23,22,3,6,"Thunder Bay",190, ,3,0,0,57,204,"Italian Cultural Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,32,46,1,7,"Thunder Bay",191, ,0,0,0,86,267,"St. John's Anglican Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,25,24,7,7,"Thunder Bay",192, ,0,0,0,63,216,"St. John's Anglican Church",20071010
091,THUNDER BAY--SUPERIOR NORTH,54,79,16,9,"Thunder Bay",193, ,0,0,0,158,327,"École catholique Franco-Supérieur",20071010
091,THUNDER BAY--SUPERIOR NORTH,41,38,14,5,"Thunder Bay",194, ,0,0,0,98,259,"École catholique Franco-Supérieur",20071010
