ED_CODE,ED_NAME,KENNY,KIDD,TORY,WALKER,WYNNE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
017,DON VALLEY WEST,10,0,77,16,121,"Toronto",105, ,0,0,1,225,427,"Blythwood Junior Public School",20071010
017,DON VALLEY WEST,10,0,67,16,74,"Toronto",106, ,0,0,0,167,295,"Upper Canada Apartments",20071010
017,DON VALLEY WEST,8,0,78,11,136,"Toronto",107, ,0,0,0,233,443,"Northlea Elementary and Middle School",20071010
017,DON VALLEY WEST,13,0,124,10,127,"Toronto",108, ,0,1,0,275,455,"Northlea Elementary and Middle School",20071010
017,DON VALLEY WEST,2,0,82,18,93,"Toronto",109, ,1,2,0,198,371,"Northlea Elementary and Middle School",20071010
017,DON VALLEY WEST,10,0,110,11,137,"Toronto",110, ,0,0,0,268,432,"Northlea Elementary and Middle School",20071010
017,DON VALLEY WEST,4,1,48,8,50,"Toronto",111, ,0,0,1,112,195,"Finnish Canadian Senior Centre",20071010
017,DON VALLEY WEST,5,0,25,4,32,"Toronto",112s, ,1,0,0,67,127,"Finnish Canadian Senior Centre",20071010
017,DON VALLEY WEST,4,2,69,13,111,"Toronto",113, ,0,0,0,199,325,"Northlea Elementary and Middle School",20071010
017,DON VALLEY WEST,12,1,66,17,104,"Toronto",114, ,0,0,0,200,464,"Northlea United Church",20071010
017,DON VALLEY WEST,8,1,32,1,132,"Toronto",115, ,3,0,0,177,394,"Gateway Public School",20071010
017,DON VALLEY WEST,12,2,28,3,137,"Toronto",116, ,0,0,0,182,310,"Gateway Public School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",117, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,24,0,32,18,99,"Toronto",118, ,0,0,0,173,402,"St. Monica Catholic School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",119, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",120, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,18,0,62,18,99,"Toronto",121, ,1,2,1,201,414,"John Fisher Junior Public School",20071010
017,DON VALLEY WEST,17,0,20,8,60,"Toronto",122, ,1,0,0,106,216,"St. Monica Catholic School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",123, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,12,1,28,15,38,"Toronto",124, ,0,1,0,95,176,"Upper Canada Apartments",20071010
017,DON VALLEY WEST,4,2,64,7,85,"Toronto",125, ,1,1,1,165,303,"St. Monica Catholic School",20071010
017,DON VALLEY WEST,15,0,79,21,113,"Toronto",126, ,0,0,0,228,448,"St. Monica Catholic School",20071010
017,DON VALLEY WEST,5,0,83,10,90,"Toronto",127, ,0,0,0,188,329,"Bessborough Drive Elementary and Middle School",20071010
017,DON VALLEY WEST,5,0,95,14,104,"Toronto",128, ,0,0,0,218,384,"Bessborough Drive Elementary and Middle School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",129, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,14,1,55,15,68,"Toronto",130, ,0,0,0,153,377,"Northlea United Church",20071010
017,DON VALLEY WEST,1,0,35,7,42,"Toronto",131s, ,1,1,0,87,167,"Leaside Retirement Residence (Central Park Lodge)",20071010
017,DON VALLEY WEST,6,0,96,9,109,"Toronto",132, ,0,0,0,220,356,"Bessborough Drive Elementary and Middle School",20071010
017,DON VALLEY WEST,7,0,89,11,105,"Toronto",133, ,0,0,0,212,375,"Bessborough Drive Elementary and Middle School",20071010
017,DON VALLEY WEST,4,0,121,9,119,"Toronto",134, ,0,0,0,253,415,"Bessborough Drive Elementary and Middle School",20071010
017,DON VALLEY WEST,7,0,87,17,98,"Toronto",135, ,1,1,0,211,318,"Trace Manes Centennial Building",20071010
017,DON VALLEY WEST,3,0,72,12,110,"Toronto",136, ,0,0,0,197,321,"Trace Manes Centennial Building",20071010
017,DON VALLEY WEST,7,3,72,10,104,"Toronto",137, ,1,1,0,198,332,"Leaside Memorial Gardens",20071010
017,DON VALLEY WEST,14,2,32,6,90,"Toronto",138, ,3,2,0,149,320,"Greek Community of Metro Toronto",20071010
017,DON VALLEY WEST,18,4,29,4,93,"Toronto",139, ,1,0,0,149,368,"Thorncliffe Park Elementary School",20071010
017,DON VALLEY WEST,11,3,27,6,73,"Toronto",140, ,0,0,0,120,255,"Greek Community of Metro Toronto",20071010
017,DON VALLEY WEST,6,2,34,3,62,"Toronto",141, ,1,0,0,108,277,"Jenner-Jean Marie Community Centre",20071010
017,DON VALLEY WEST,9,1,29,3,86,"Toronto",142, ,0,0,0,128,250,"Thorncliffe Park Elementary School",20071010
017,DON VALLEY WEST,7,0,73,12,114,"Toronto",143, ,3,0,0,209,407,"Bessborough Drive Elementary and Middle School",20071010
017,DON VALLEY WEST,5,0,112,10,84,"Toronto",144, ,1,0,0,212,388,"Bessborough Drive Elementary and Middle School",20071010
017,DON VALLEY WEST,1,0,59,11,67,"Toronto",145, ,0,0,0,138,308,"Trace Manes Centennial Building",20071010
017,DON VALLEY WEST,3,0,124,10,91,"Toronto",146, ,0,0,1,229,393,"Trace Manes Centennial Building",20071010
017,DON VALLEY WEST,4,2,85,11,76,"Toronto",147, ,0,0,0,178,300,"Trace Manes Centennial Building",20071010
017,DON VALLEY WEST,9,1,75,17,88,"Toronto",148, ,0,1,0,191,300,"Leaside Memorial Gardens",20071010
017,DON VALLEY WEST,2,0,15,0,12,"Toronto",149s, ,0,0,0,29,63,"921 Millwood Road",20071010
017,DON VALLEY WEST,10,2,52,14,87,"Toronto",150, ,2,0,0,167,296,"Leaside Memorial Gardens",20071010
017,DON VALLEY WEST,10,2,20,13,69,"Toronto",151, ,0,0,0,114,304,"Thorncliffe Park Elementary School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",152, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,18,1,15,7,47,"Toronto",153, ,0,0,0,88,236,"Greek Community of Metro Toronto",20071010
017,DON VALLEY WEST,6,0,10,3,30,"Toronto",154, ,0,0,0,49,196,"Thorncliffe Park Elementary School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",155, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,5,0,165,12,100,"Toronto",156, ,0,0,0,282,437,"Leaside Memorial Gardens",20071010
017,DON VALLEY WEST,11,0,57,14,69,"Toronto",157, ,0,0,0,151,282,"Bennington Heights Elementary School",20071010
017,DON VALLEY WEST,6,0,73,17,77,"Toronto",158, ,0,0,0,173,301,"Bennington Heights Elementary School",20071010
017,DON VALLEY WEST,6,0,107,16,102,"Toronto",159, ,0,0,0,231,374,"Bennington Heights Elementary School",20071010
017,DON VALLEY WEST,11,1,107,7,101,"Toronto",400, ,1,1,0,229,498,"Trinity Presbyterian Church",20071010
017,DON VALLEY WEST,17,2,50,12,101,"Toronto",401, ,0,2,0,184,484,"Trinity Presbyterian Church",20071010
017,DON VALLEY WEST,35,3,49,4,96,"Toronto",402, ,2,0,0,189,452,"Trinity Presbyterian Church",20071010
017,DON VALLEY WEST,8,1,95,12,101,"Toronto",403, ,0,1,0,218,464,"York Mills Collegiate Institute",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",404, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",405, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,7,2,44,10,52,"Toronto",406, ,0,0,0,115,318,"York Mills Collegiate Institute",20071010
017,DON VALLEY WEST,17,4,73,11,106,"Toronto",407, ,0,4,0,215,312,"755 York Mills Road",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",408, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",409, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,7,0,98,14,96,"Toronto",410, ,0,0,0,215,385,"Hillside at York Mills 3",20071010
017,DON VALLEY WEST,8,0,97,4,85,"Toronto",411, ,0,0,0,194,356,"Hillside at York Mills 3",20071010
017,DON VALLEY WEST,6,0,29,8,50,"Toronto",412, ,0,0,0,93,203,"Fairmeadow Centre",20071010
017,DON VALLEY WEST,0,0,37,1,21,"Toronto",413, ,1,0,1,61,147,"Agricola Finnish Lutheran Church",20071010
017,DON VALLEY WEST,1,0,40,3,63,"Toronto",414, ,0,0,0,107,211,"Norman Ingram Public School",20071010
017,DON VALLEY WEST,2,1,60,6,62,"Toronto",415, ,3,0,0,134,268,"Norman Ingram Public School",20071010
017,DON VALLEY WEST,13,0,46,5,61,"Toronto",416, ,2,1,0,128,166,"The Pioneer Place",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",417, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,7,1,118,10,117,"Toronto",418, ,1,0,0,254,366,"The Courtyards of Concorde",20071010
017,DON VALLEY WEST,5,0,45,8,80,"Toronto",419A, ,0,0,0,138,268,"Concorde Park",20071010
017,DON VALLEY WEST,9,1,56,5,78,"Toronto",419B, ,2,1,0,152,309,"Concorde Park",20071010
017,DON VALLEY WEST,3,2,43,4,79,"Toronto",420A, ,0,0,0,131,266,"Concorde Park",20071010
017,DON VALLEY WEST,12,0,42,6,97,"Toronto",420B, ,0,2,0,159,278,"Concorde Park",20071010
017,DON VALLEY WEST,25,1,79,20,120,"Toronto",421, ,0,0,0,245,457,"Wynford North",20071010
017,DON VALLEY WEST,6,2,77,7,86,"Toronto",422, ,0,0,1,179,248,"Highgate Reception Centre",20071010
017,DON VALLEY WEST,7,1,73,7,98,"Toronto",423, ,1,1,0,188,268,"Wynford Place",20071010
017,DON VALLEY WEST,13,0,88,4,100,"Toronto",424, ,2,0,0,207,299,"Wynford Towers",20071010
017,DON VALLEY WEST,16,5,48,10,111,"Toronto",425, ,0,1,0,191,424,"Wynford Central",20071010
017,DON VALLEY WEST,27,2,65,17,128,"Toronto",426, ,0,0,0,239,423,"Wynford South",20071010
017,DON VALLEY WEST,18,0,40,5,102,"Toronto",427, ,2,0,1,168,302,"Palisades Recreation Hall",20071010
017,DON VALLEY WEST,11,1,56,5,86,"Toronto",428, ,1,1,0,161,312,"Palisades Recreation Hall",20071010
017,DON VALLEY WEST,12,0,49,9,80,"Toronto",429, ,0,1,0,151,315,"Palisades Recreation Hall",20071010
017,DON VALLEY WEST,4,0,65,7,64,"Toronto",430, ,0,0,0,140,241,"The Carrington on the Park (1101 Leslie Street)",20071010
017,DON VALLEY WEST,7,0,24,5,43,"Toronto",431, ,0,0,0,79,117,"1105 Leslie Street",20071010
017,DON VALLEY WEST,9,0,34,0,37,"Toronto",432, ,0,0,0,80,137,"1103 Leslie Street",20071010
017,DON VALLEY WEST,7,1,14,7,33,"Toronto",433, ,0,0,0,62,192,"Dennis R. Timbrell Resource Centre",20071010
017,DON VALLEY WEST,11,0,9,1,62,"Toronto",434, ,1,0,0,84,256,"Dennis R. Timbrell Resource Centre",20071010
017,DON VALLEY WEST,11,0,7,2,96,"Toronto",435A, ,0,0,0,116,297,"York Condominium Corporation - Party Room",20071010
017,DON VALLEY WEST,16,1,14,2,74,"Toronto",435B, ,0,0,0,107,260,"York Condominium Corporation - Party Room",20071010
017,DON VALLEY WEST,10,1,36,4,102,"Toronto",436A, ,1,0,0,154,285,"York Condominium Corporation - Party Room",20071010
017,DON VALLEY WEST,18,1,33,1,100,"Toronto",436B, ,2,1,0,156,286,"York Condominium Corporation - Party Room",20071010
017,DON VALLEY WEST,8,3,24,1,78,"Toronto",437A, ,1,1,0,116,290,"York Condominium Corporation - Party Room",20071010
017,DON VALLEY WEST,12,1,28,4,101,"Toronto",437B, ,1,2,0,149,297,"York Condominium Corporation - Party Room",20071010
017,DON VALLEY WEST,13,2,25,3,60,"Toronto",438, ,1,0,0,104,305,"Dennis R. Timbrell Resource Centre",20071010
017,DON VALLEY WEST,5,0,13,5,65,"Toronto",439, ,4,0,0,92,316,"Dennis R. Timbrell Resource Centre",20071010
017,DON VALLEY WEST,16,0,20,4,101,"Toronto",440, ,0,3,0,144,380,"Grenoble Public School",20071010
017,DON VALLEY WEST,8,1,21,2,106,"Toronto",441, ,0,0,0,138,375,"Grenoble Public School",20071010
017,DON VALLEY WEST,19,1,31,6,62,"Toronto",442, ,0,0,0,119,355,"Grenoble Public School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",443, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,10,0,21,3,85,"Toronto",444, ,2,0,0,121,378,"Grenoble Public School",20071010
017,DON VALLEY WEST,10,0,14,1,50,"Toronto",445, ,1,0,0,76,258,"Grenoble Public School",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",446, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,15,0,6,1,68,"Toronto",447A, ,1,0,0,91,281,"Grenoble Public School",20071010
017,DON VALLEY WEST,12,2,11,3,70,"Toronto",447B, ,1,1,0,100,291,"Grenoble Public School",20071010
017,DON VALLEY WEST,38,0,77,21,137,"Toronto",448, ,0,0,0,273,519,"Upper Canada Apartments",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",449, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,16,0,27,6,122,"Toronto",450A, ,0,0,0,171,444,"Gateway Public School",20071010
017,DON VALLEY WEST,16,1,43,10,119,"Toronto",450B, ,3,2,0,194,437,"Gateway Public School",20071010
017,DON VALLEY WEST,20,1,26,2,154,"Toronto",451, ,1,2,0,206,379,"Gateway Public School",20071010
017,DON VALLEY WEST,8,0,67,14,161,"Toronto",452, ,0,1,0,251,529,"Linkwood Village Recreation Centre",20071010
017,DON VALLEY WEST,13,4,51,9,145,"Toronto",453, ,3,1,0,226,549,"Linkwood Village Recreation Centre",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",454, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,14,3,49,18,96,"Toronto",455, ,0,1,0,181,315,"John Fisher Junior Public School",20071010
017,DON VALLEY WEST,21,0,67,28,132,"Toronto",456, ,1,0,0,249,511,"John Fisher Junior Public School",20071010
017,DON VALLEY WEST,18,3,62,23,109,"Toronto",457, ,0,0,0,215,445,"St. Monica Catholic School",20071010
017,DON VALLEY WEST,14,0,36,9,78,"Toronto",458, ,0,0,0,137,270,"Upper Canada Apartments",20071010
017,DON VALLEY WEST,15,0,25,14,74,"Toronto",459, ,0,0,0,128,272,"Upper Canada Apartments",20071010
017,DON VALLEY WEST,11,0,23,4,33,"Toronto",460, ,1,0,0,72,133,"Upper Canada Apartments",20071010
017,DON VALLEY WEST,..........................NO POLL HELD........................,,,,,"Toronto",461, ,0,0,0,0,0,"",20071010
017,DON VALLEY WEST,16,0,34,7,109,"Toronto",462A, ,0,0,0,166,300,"Leaside Towers",20071010
017,DON VALLEY WEST,5,0,55,13,110,"Toronto",462B, ,1,0,0,184,347,"Leaside Towers",20071010
