ED_CODE,ED_NAME,AGGARWAL,FORTIN,KUBANEK,MAACK,MACLEOD,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
052,NEPEAN--CARLETON,66,7,21,17,84,"Nepean",039, ,1,0,0,196,379,"Bells Corners Public School",20071010
052,NEPEAN--CARLETON,43,1,5,6,90,"Nepean",040s, ,1,3,0,149,247,"Stillwater Creek Retirement Community",20071010
052,NEPEAN--CARLETON,116,8,34,44,176,"Nepean",041, ,4,0,0,382,858,"Our Lady of Peace Catholic School",20071010
052,NEPEAN--CARLETON,40,1,14,15,94,"Nepean",042, ,0,0,0,164,355,"Bells Corners Public School",20071010
052,NEPEAN--CARLETON,64,2,18,18,117,"Nepean",043, ,0,0,1,220,349,"Our Lady of Peace Catholic School",20071010
052,NEPEAN--CARLETON,76,0,36,17,84,"Nepean",044, ,0,0,0,213,380,"Bells Corners Public School",20071010
052,NEPEAN--CARLETON,81,5,35,29,113,"Nepean",045, ,1,0,0,264,410,"Our Lady of Peace Catholic School",20071010
052,NEPEAN--CARLETON,26,2,5,14,51,"Nepean",046s, ,0,0,3,101,154,"Lynwood Park Lodge",20071010
052,NEPEAN--CARLETON,86,5,32,17,130,"Nepean",047, ,0,1,0,271,419,"Our Lady of Peace Catholic School",20071010
052,NEPEAN--CARLETON,14,1,1,3,22,"Nepean",048s, ,1,0,0,42,76,"Thorncliffe Place Retirement",20071010
052,NEPEAN--CARLETON,57,3,16,22,92,"Nepean",049, ,0,0,0,190,371,"Bells Corners Public School",20071010
052,NEPEAN--CARLETON,79,5,15,27,75,"Nepean",050, ,1,1,1,204,412,"Arlington Woods Free Methodist Church",20071010
052,NEPEAN--CARLETON,89,3,18,26,90,"Nepean",051, ,1,0,0,227,377,"Arlington Woods Free Methodist Church",20071010
052,NEPEAN--CARLETON,121,1,34,21,109,"Nepean",052, ,2,0,0,288,476,"Trend Arlington Community Building",20071010
052,NEPEAN--CARLETON,86,0,12,15,101,"Nepean",053, ,1,0,0,215,403,"Trend Arlington Community Building",20071010
052,NEPEAN--CARLETON,78,4,24,38,137,"Nepean",054, ,1,2,0,284,553,"Trend Arlington Community Building",20071010
052,NEPEAN--CARLETON,62,2,6,11,70,"Nepean",055, ,3,0,0,154,345,"Knox United Church",20071010
052,NEPEAN--CARLETON,67,3,17,11,89,"Nepean",056, ,0,1,0,188,349,"St. Monica Catholic School",20071010
052,NEPEAN--CARLETON,74,3,20,14,111,"Nepean",057, ,2,1,0,225,405,"St. Monica Catholic School",20071010
052,NEPEAN--CARLETON,81,0,25,16,108,"Nepean",058, ,1,2,0,233,397,"St. Monica Catholic School",20071010
052,NEPEAN--CARLETON,104,1,20,7,109,"Nepean",059, ,0,1,0,242,416,"St. Monica Catholic School",20071010
052,NEPEAN--CARLETON,22,1,3,7,29,"Gloucester",060, ,0,0,0,62,201,"Rideauview Community Centre",20071010
052,NEPEAN--CARLETON,142,1,16,18,87,"Gloucester",061, ,0,0,0,264,495,"Gloucester South Seniors Centre",20071010
052,NEPEAN--CARLETON,27,1,9,22,92,"Ottawa",062, ,0,0,0,151,402,"St. Mary's Catholic School",20071010
052,NEPEAN--CARLETON,44,2,13,6,108,"Gloucester",063, ,1,1,0,175,352,"Royal Canadian Legion Greely and District",20071010
052,NEPEAN--CARLETON,118,2,20,30,86,"Nepean",064, ,0,0,0,256,467,"Westcliffe Community Centre",20071010
052,NEPEAN--CARLETON,21,2,7,7,40,"Nepean",065, ,0,0,0,77,94,"Harmer House",20071010
052,NEPEAN--CARLETON,46,4,24,32,53,"Nepean",066, ,1,1,0,161,446,"College Catholique Franco-Ouest",20071010
052,NEPEAN--CARLETON,94,2,17,10,161,"Nepean",067, ,1,1,0,286,589,"Cedarview Alliance Church",20071010
052,NEPEAN--CARLETON,102,1,10,11,96,"Nepean",068, ,0,5,2,227,466,"St. Patrick Catholic School",20071010
052,NEPEAN--CARLETON,49,0,8,16,65,"Nepean",069, ,0,0,0,138,337,"Mother Teresa Catholic High School",20071010
052,NEPEAN--CARLETON,35,7,8,13,87,"Nepean",070, ,0,0,0,150,328,"Mother Teresa Catholic High School",20071010
052,NEPEAN--CARLETON,55,5,8,15,94,"Nepean",071, ,1,0,0,178,397,"St. Luke Catholic School",20071010
052,NEPEAN--CARLETON,46,4,12,12,90,"Nepean",072, ,1,0,0,165,332,"St. Luke Catholic School",20071010
052,NEPEAN--CARLETON,86,1,8,14,121,"Nepean",073, ,0,0,0,230,408,"St. Luke Catholic School",20071010
052,NEPEAN--CARLETON,58,3,11,15,52,"Nepean",074, ,1,0,0,140,299,"St. Luke Catholic School",20071010
052,NEPEAN--CARLETON,69,0,4,8,86,"Nepean",075, ,0,0,0,167,351,"St. Luke Catholic School",20071010
052,NEPEAN--CARLETON,54,0,9,17,76,"Nepean",076, ,3,0,0,159,351,"St. Luke Catholic School",20071010
052,NEPEAN--CARLETON,50,3,18,22,52,"Nepean",077, ,0,0,0,145,307,"St. Luke Catholic School",20071010
052,NEPEAN--CARLETON,100,0,10,9,122,"Nepean",078, ,2,3,0,246,481,"Southpointe Community Centre",20071010
052,NEPEAN--CARLETON,90,3,7,20,103,"Nepean",079, ,0,1,0,224,458,"Southpointe Community Centre",20071010
052,NEPEAN--CARLETON,84,1,12,14,106,"Nepean",080, ,1,1,0,219,426,"Southpointe Community Centre",20071010
052,NEPEAN--CARLETON,105,1,16,5,85,"Nepean",081, ,0,0,0,212,444,"Adrienne Clarkson Elementary School",20071010
052,NEPEAN--CARLETON,32,0,1,5,67,"Nepean",082, ,0,0,0,105,241,"Farley Mowat Public School",20071010
052,NEPEAN--CARLETON,79,3,9,7,87,"Gloucester",083, ,1,0,0,186,403,"St. Jerome Catholic School",20071010
052,NEPEAN--CARLETON,77,1,13,10,44,"Gloucester",084, ,0,0,0,145,330,"Rideauview Community Centre",20071010
052,NEPEAN--CARLETON,44,4,11,8,82,"Ottawa",085, ,1,1,0,151,369,"St. Mary's Catholic School",20071010
052,NEPEAN--CARLETON,50,6,25,15,162,"Greely",086, ,0,0,0,258,503,"Greely Community Centre",20071010
052,NEPEAN--CARLETON,18,0,9,7,32,"Gloucester",087, ,1,0,0,67,149,"Royal Canadian Legion Greely and District",20071010
052,NEPEAN--CARLETON,43,3,11,12,130,"Metcalfe",088, ,0,0,1,200,371,"Metcalfe and District Community Centre",20071010
052,NEPEAN--CARLETON,61,2,31,10,98,"Nepean",089, ,0,0,0,202,398,"St. Patrick's Church Hall",20071010
052,NEPEAN--CARLETON,101,2,23,21,115,"Nepean",090, ,3,0,0,265,474,"Barrhaven Public School",20071010
052,NEPEAN--CARLETON,76,2,16,15,91,"Nepean",091, ,1,0,0,201,359,"Barrhaven Public School",20071010
052,NEPEAN--CARLETON,61,4,11,15,112,"Nepean",092, ,0,0,0,203,403,"Barrhaven Public School",20071010
052,NEPEAN--CARLETON,94,1,30,14,102,"Nepean",093, ,1,0,0,242,416,"Barrhaven Public School",20071010
052,NEPEAN--CARLETON,91,1,24,18,118,"Nepean",094, ,1,0,0,253,450,"Walter Baker Sports Centre",20071010
052,NEPEAN--CARLETON,101,1,16,9,98,"Nepean",095, ,1,0,0,226,396,"St. Patrick Catholic School",20071010
052,NEPEAN--CARLETON,22,0,7,5,49,"Nepean",096, ,1,0,0,84,196,"Walter Baker Sports Centre",20071010
052,NEPEAN--CARLETON,106,5,24,40,159,"Nepean",097, ,0,1,0,335,710,"Walter Baker Sports Centre",20071010
052,NEPEAN--CARLETON,61,0,31,20,131,"Nepean",098, ,0,1,0,244,450,"St. Patrick Catholic School",20071010
052,NEPEAN--CARLETON,61,4,27,29,71,"Nepean",099, ,0,1,0,193,440,"Walter Baker Sports Centre",20071010
052,NEPEAN--CARLETON,41,1,22,16,55,"Nepean",100, ,1,0,0,136,258,"Walter Baker Sports Centre",20071010
052,NEPEAN--CARLETON,55,1,8,18,74,"Nepean",101, ,0,0,0,156,431,"Walter Baker Sports Centre",20071010
052,NEPEAN--CARLETON,88,6,13,31,121,"Nepean",102, ,0,0,0,259,480,"St. Patrick Catholic School",20071010
052,NEPEAN--CARLETON,63,1,29,16,99,"Nepean",103, ,1,0,0,209,414,"Walter Baker Sports Centre",20071010
052,NEPEAN--CARLETON,58,3,11,10,127,"Nepean",104, ,0,0,0,209,410,"St. Patrick Catholic School",20071010
052,NEPEAN--CARLETON,56,2,22,15,91,"Nepean",105, ,1,2,0,189,421,"Haven Baptist Church",20071010
052,NEPEAN--CARLETON,74,2,19,8,104,"Nepean",106, ,0,0,0,207,385,"St. Patrick Catholic School",20071010
052,NEPEAN--CARLETON,54,1,10,9,68,"Nepean",107, ,2,0,0,144,346,"Walter Baker Sports Centre",20071010
052,NEPEAN--CARLETON,54,0,21,13,85,"Nepean",108, ,0,0,0,173,399,"Haven Baptist Church",20071010
052,NEPEAN--CARLETON,55,1,5,12,76,"Nepean",109, ,2,0,0,151,345,"Berrigan Elementary School",20071010
052,NEPEAN--CARLETON,65,2,9,10,86,"Nepean",110, ,0,1,0,173,407,"Mother Teresa Catholic High School",20071010
052,NEPEAN--CARLETON,86,0,7,15,58,"Nepean",111, ,0,0,0,166,420,"Berrigan Elementary School",20071010
052,NEPEAN--CARLETON,23,0,8,1,26,"Nepean",112s, ,0,3,0,61,92,"Barrhaven Manor",20071010
052,NEPEAN--CARLETON,65,1,16,17,66,"Nepean",113, ,0,0,0,165,438,"Mother Teresa Catholic High School",20071010
052,NEPEAN--CARLETON,23,0,0,6,65,"Nepean",114s, ,2,0,0,96,156,"The Court at Barrhaven",20071010
052,NEPEAN--CARLETON,83,2,10,12,69,"Nepean",115, ,1,0,0,177,396,"Berrigan Elementary School",20071010
052,NEPEAN--CARLETON,68,2,14,11,86,"Nepean",116, ,0,0,0,181,324,"Berrigan Elementary School",20071010
052,NEPEAN--CARLETON,110,1,11,11,71,"Nepean",117, ,0,0,0,204,418,"Mother Teresa Catholic High School",20071010
052,NEPEAN--CARLETON,76,2,15,14,68,"Nepean",118, ,0,0,0,175,374,"Berrigan Elementary School",20071010
052,NEPEAN--CARLETON,49,3,11,9,60,"Nepean",119, ,0,0,0,132,325,"Berrigan Elementary School",20071010
052,NEPEAN--CARLETON,58,0,8,19,67,"Nepean",120, ,2,0,0,154,355,"Mother Teresa Catholic High School",20071010
052,NEPEAN--CARLETON,48,2,8,15,53,"Nepean",121, ,0,0,0,126,323,"Mother Teresa Catholic High School",20071010
052,NEPEAN--CARLETON,63,2,8,12,63,"Nepean",122, ,1,0,0,149,374,"Monsignor Paul Baxter Catholic School",20071010
052,NEPEAN--CARLETON,12,2,2,0,18,"Nepean",123s, ,0,0,0,34,62,"Longfields Manor",20071010
052,NEPEAN--CARLETON,68,0,13,12,71,"Nepean",124, ,2,0,0,166,380,"École élémentaire publique de Barrhaven",20071010
052,NEPEAN--CARLETON,80,2,8,19,82,"Nepean",125, ,0,0,0,191,411,"École élémentaire publique de Barrhaven",20071010
052,NEPEAN--CARLETON,75,0,4,10,86,"Nepean",126, ,0,1,0,176,343,"École élémentaire publique de Barrhaven",20071010
052,NEPEAN--CARLETON,97,0,12,7,90,"Nepean",127, ,2,0,0,208,412,"Monsignor Paul Baxter Catholic School",20071010
052,NEPEAN--CARLETON,54,1,7,12,33,"Nepean",128, ,0,0,0,107,230,"St. Emily Catholic School",20071010
052,NEPEAN--CARLETON,76,0,11,14,57,"Nepean",129, ,0,0,0,158,316,"St. Emily Catholic School",20071010
052,NEPEAN--CARLETON,79,1,9,16,110,"Nepean",130, ,0,0,0,215,446,"École élémentaire publique de Barrhaven",20071010
052,NEPEAN--CARLETON,83,3,14,14,75,"Nepean",131, ,0,1,0,190,415,"Monsignor Paul Baxter Catholic School",20071010
052,NEPEAN--CARLETON,57,2,16,8,88,"Nepean",132, ,1,0,0,172,344,"Monsignor Paul Baxter Catholic School",20071010
052,NEPEAN--CARLETON,75,3,14,9,91,"Nepean",133, ,1,0,0,193,403,"Adrienne Clarkson Elementary School",20071010
052,NEPEAN--CARLETON,66,1,16,20,93,"Nepean",134, ,2,0,0,198,406,"Adrienne Clarkson Elementary School",20071010
052,NEPEAN--CARLETON,105,3,11,7,127,"Nepean",135, ,1,0,0,254,413,"Adrienne Clarkson Elementary School",20071010
052,NEPEAN--CARLETON,85,4,14,14,92,"Nepean",136, ,1,0,0,210,463,"St. Andrew Catholic School",20071010
052,NEPEAN--CARLETON,88,1,7,10,105,"Nepean",137, ,0,1,0,212,402,"St. Andrew Catholic School",20071010
052,NEPEAN--CARLETON,75,2,16,15,87,"Nepean",138, ,0,0,0,195,361,"Adrienne Clarkson Elementary School",20071010
052,NEPEAN--CARLETON,89,1,21,17,80,"Nepean",139, ,0,0,1,209,425,"St. Andrew Catholic School",20071010
052,NEPEAN--CARLETON,29,0,9,11,20,"Nepean",140, ,0,0,0,69,239,"St. Andrew Catholic School",20071010
052,NEPEAN--CARLETON,65,1,8,20,89,"Nepean",141, ,0,0,0,183,398,"St. Andrew Catholic School",20071010
052,NEPEAN--CARLETON,31,0,4,11,24,"Nepean",142, ,0,0,0,70,174,"Prince of Wales Manor",20071010
052,NEPEAN--CARLETON,52,0,4,8,60,"Nepean",143, ,1,0,0,125,344,"Prince of Wales Manor",20071010
052,NEPEAN--CARLETON,99,1,13,17,77,"Nepean",144, ,0,0,0,207,466,"St. Andrew Catholic School",20071010
052,NEPEAN--CARLETON,67,3,8,12,80,"Nepean",145, ,0,0,0,170,445,"Farley Mowat Public School",20071010
052,NEPEAN--CARLETON,53,0,11,8,32,"Nepean",146, ,0,1,0,105,238,"Prince of Wales Manor",20071010
052,NEPEAN--CARLETON,85,0,6,14,69,"Nepean",147, ,0,0,0,174,422,"Farley Mowat Public School",20071010
052,NEPEAN--CARLETON,81,0,6,14,79,"Nepean",148, ,0,0,0,180,366,"Farley Mowat Public School",20071010
052,NEPEAN--CARLETON,112,1,23,24,117,"Nepean",149, ,0,0,0,277,514,"Farley Mowat Public School",20071010
052,NEPEAN--CARLETON,11,1,0,0,13,"Nepean",150s, ,0,0,0,25,45,"Prince of Wales Manor",20071010
052,NEPEAN--CARLETON,70,0,13,10,68,"Nepean",151, ,0,2,0,163,368,"Farley Mowat Public School",20071010
052,NEPEAN--CARLETON,85,2,21,27,111,"Gloucester",152, ,3,0,0,249,483,"St. Jerome Catholic School",20071010
052,NEPEAN--CARLETON,46,3,21,4,65,"Gloucester",153, ,0,0,0,139,231,"St. Jerome Catholic School",20071010
052,NEPEAN--CARLETON,67,1,12,13,60,"Gloucester",154, ,1,0,1,155,334,"St. Jerome Catholic School",20071010
052,NEPEAN--CARLETON,67,3,19,7,92,"Gloucester",155, ,0,0,0,188,359,"St. Jerome Catholic School",20071010
052,NEPEAN--CARLETON,83,0,15,14,90,"Gloucester",156, ,1,0,1,204,406,"St. Jerome Catholic School",20071010
052,NEPEAN--CARLETON,34,1,4,8,46,"Gloucester",157, ,0,0,0,93,236,"St. Jerome Catholic School",20071010
052,NEPEAN--CARLETON,60,3,15,15,74,"Gloucester",158, ,0,0,0,167,342,"St. Jerome Catholic School",20071010
052,NEPEAN--CARLETON,76,0,13,3,120,"Gloucester",159, ,1,0,0,213,351,"Rideauview Community Centre",20071010
052,NEPEAN--CARLETON,73,0,21,12,73,"Gloucester",160, ,1,0,0,180,358,"Rideauview Community Centre",20071010
052,NEPEAN--CARLETON,92,4,15,9,99,"Gloucester",161, ,0,0,0,219,347,"Rideauview Community Centre",20071010
052,NEPEAN--CARLETON,71,1,10,8,61,"Gloucester",162, ,0,0,0,151,337,"Rideauview Community Centre",20071010
052,NEPEAN--CARLETON,86,1,21,17,62,"Gloucester",163, ,1,2,0,190,418,"Rideauview Community Centre",20071010
052,NEPEAN--CARLETON,35,0,6,12,101,"Manotick",164, ,0,0,1,155,345,"St. Mark Catholic High School",20071010
052,NEPEAN--CARLETON,47,1,14,6,121,"Ottawa",165, ,0,0,0,189,414,"St. Mary's Catholic School",20071010
052,NEPEAN--CARLETON,57,0,17,9,138,"Ottawa",166, ,0,1,0,222,497,"St. Mary's Catholic School",20071010
052,NEPEAN--CARLETON,45,0,13,4,67,"Ottawa",167, ,0,0,0,129,244,"St. Mary's Catholic School",20071010
052,NEPEAN--CARLETON,48,5,22,9,120,"Ottawa",168, ,1,0,0,205,397,"St. Mary's Catholic School",20071010
052,NEPEAN--CARLETON,28,0,20,13,114,"Gloucester",169, ,0,1,0,176,365,"Royal Canadian Legion Greely and District",20071010
052,NEPEAN--CARLETON,42,2,5,12,52,"Nepean",170, ,2,0,0,115,258,"Cedarview Alliance Church",20071010
052,NEPEAN--CARLETON,124,3,24,13,134,"Nepean",171, ,1,0,0,299,503,"St. Elizabeth Ann Seton Catholic School",20071010
052,NEPEAN--CARLETON,97,1,21,13,149,"Nepean",172, ,1,2,0,284,543,"St. Elizabeth Ann Seton Catholic School",20071010
052,NEPEAN--CARLETON,87,1,20,20,122,"Nepean",173, ,0,2,0,252,439,"St. Elizabeth Ann Seton Catholic School",20071010
052,NEPEAN--CARLETON,56,0,20,15,73,"Nepean",174, ,1,0,0,165,381,"St. Elizabeth Ann Seton Catholic School",20071010
052,NEPEAN--CARLETON,94,4,18,23,121,"Nepean",175, ,0,0,0,260,483,"Mary Honeywell Elementary School",20071010
052,NEPEAN--CARLETON,88,1,17,18,131,"Nepean",176, ,0,0,0,255,464,"St. Elizabeth Ann Seton Catholic School",20071010
052,NEPEAN--CARLETON,53,3,13,17,106,"Nepean",177, ,0,0,0,192,375,"Barrhaven United Church",20071010
052,NEPEAN--CARLETON,91,1,19,16,79,"Nepean",178, ,0,0,0,206,381,"Mary Honeywell Elementary School",20071010
052,NEPEAN--CARLETON,96,2,11,9,111,"Nepean",179, ,0,1,0,230,451,"Mary Honeywell Elementary School",20071010
052,NEPEAN--CARLETON,105,2,28,15,105,"Nepean",180, ,0,1,0,256,461,"Mary Honeywell Elementary School",20071010
052,NEPEAN--CARLETON,91,2,19,17,131,"Nepean",181, ,0,0,0,260,448,"Barrhaven United Church",20071010
052,NEPEAN--CARLETON,87,1,20,13,89,"Nepean",182, ,2,0,0,212,405,"Barrhaven United Church",20071010
052,NEPEAN--CARLETON,49,1,18,15,81,"Nepean",183, ,0,0,0,164,359,"Haven Baptist Church",20071010
052,NEPEAN--CARLETON,37,3,11,14,50,"Nepean",184, ,0,0,0,115,318,"Barrhaven United Church",20071010
052,NEPEAN--CARLETON,59,1,20,17,123,"Nepean",185, ,0,0,0,220,458,"Haven Baptist Church",20071010
052,NEPEAN--CARLETON,47,1,9,14,71,"Nepean",186, ,1,0,0,143,302,"St. Joseph Catholic High School",20071010
052,NEPEAN--CARLETON,64,1,8,3,61,"Nepean",187, ,0,0,0,137,293,"St. Joseph Catholic High School",20071010
052,NEPEAN--CARLETON,69,0,11,7,73,"Nepean",188, ,0,3,0,163,353,"St. Joseph Catholic High School",20071010
052,NEPEAN--CARLETON,69,0,10,3,83,"Nepean",189, ,0,0,0,165,365,"St. Joseph Catholic High School",20071010
052,NEPEAN--CARLETON,84,4,12,4,113,"Nepean",190, ,1,0,0,218,432,"St. Joseph Catholic High School",20071010
052,NEPEAN--CARLETON,46,2,24,6,88,"Nepean",191, ,0,0,0,166,330,"St. Emily Catholic School",20071010
052,NEPEAN--CARLETON,120,2,22,10,149,"Nepean",192, ,1,1,0,305,541,"St. Joseph Catholic High School",20071010
052,NEPEAN--CARLETON,72,0,6,18,54,"Nepean",193, ,0,0,1,151,409,"Prince of Wales Manor",20071010
052,NEPEAN--CARLETON,48,0,3,3,37,"Nepean",194, ,0,0,0,91,263,"Prince of Wales Manor",20071010
052,NEPEAN--CARLETON,19,5,5,5,23,"Nepean",195s, ,0,0,0,57,163,"Carleton Lodge",20071010
052,NEPEAN--CARLETON,25,0,9,6,94,"Ottawa",196, ,0,0,0,134,336,"St. Mary's Catholic School",20071010
052,NEPEAN--CARLETON,55,2,21,22,118,"Greely",197, ,0,0,0,218,428,"Orchard View Reception & Conference Centre",20071010
052,NEPEAN--CARLETON,54,0,11,13,98,"Greely",198, ,0,0,0,176,345,"Orchard View Reception & Conference Centre",20071010
052,NEPEAN--CARLETON,40,0,19,12,75,"Ottawa",199, ,0,1,0,147,274,"St. Mary's Catholic School",20071010
052,NEPEAN--CARLETON,57,2,13,13,94,"Greely",200, ,0,0,0,179,344,"Greely Community Centre",20071010
052,NEPEAN--CARLETON,58,4,25,16,132,"Greely",201, ,0,0,0,235,414,"Greely Community Centre",20071010
052,NEPEAN--CARLETON,25,0,15,7,79,"Ottawa",202, ,0,0,0,126,297,"Osgoode Township High School",20071010
052,NEPEAN--CARLETON,37,0,17,20,121,"Ottawa",203, ,0,0,0,195,404,"Osgoode Township High School",20071010
052,NEPEAN--CARLETON,29,0,4,11,71,"Metcalfe",204, ,0,0,0,115,200,"Metcalfe and District Community Centre",20071010
052,NEPEAN--CARLETON,66,4,27,15,136,"Kenmore",205, ,4,0,0,252,454,"Castor Valley Baptist Church",20071010
052,NEPEAN--CARLETON,80,3,20,10,100,"Nepean",206, ,0,0,0,213,366,"St. Joseph Catholic High School",20071010
052,NEPEAN--CARLETON,72,3,17,16,101,"Manotick",207, ,0,0,0,209,400,"St. Leonard's Parish Hall",20071010
052,NEPEAN--CARLETON,52,3,14,25,96,"Manotick",208, ,0,1,0,191,359,"St. Leonard's Parish Hall",20071010
052,NEPEAN--CARLETON,51,0,32,7,96,"Manotick",209, ,0,0,0,186,421,"St. Mark Catholic High School",20071010
052,NEPEAN--CARLETON,44,1,14,2,68,"Manotick",210, ,0,0,0,129,263,"St. Mark Catholic High School",20071010
052,NEPEAN--CARLETON,14,0,3,5,44,"Manotick",211, ,0,0,0,66,151,"St. Mark Catholic High School",20071010
052,NEPEAN--CARLETON,......................COMBINED WITH POLL 213 ....................,,,,,"Greely",212s, ,,,,,,"Orchardview Living Centre",20071010
052,NEPEAN--CARLETON,75,3,24,17,145,"Greely",213, ,1,0,3,268,512,"Orchard View Reception & Conference Centre",20071010
052,NEPEAN--CARLETON,33,8,18,13,113,"Ottawa",214, ,0,1,0,186,397,"Osgoode Township High School",20071010
052,NEPEAN--CARLETON,2,2,1,1,14,"Osgoode",215s, ,2,1,0,23,109,"Osgoode Care Centre",20071010
052,NEPEAN--CARLETON,48,2,19,16,124,"Ottawa",216, ,1,0,0,210,378,"Osgoode Township High School",20071010
052,NEPEAN--CARLETON,11,0,0,5,30,"Metcalfe",217, ,0,0,0,46,65,"Stanley Apartments",20071010
052,NEPEAN--CARLETON,24,5,12,14,115,"Nepean",218, ,0,0,0,170,313,"St. Patrick's Church Hall",20071010
