ED_CODE,ED_NAME,ALBANESE,DIAS,FERREIRA,GRATL,McMILLAN,SANABRIA,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
106,YORK SOUTH--WESTON,4,0,6,1,2,0,"Toronto",080s, ,0,0,0,13,25,"Humber River Regional Hospital - Keele",20071010
106,YORK SOUTH--WESTON,80,2,45,6,23,1,"Toronto",081, ,0,0,0,157,315,"Greenborough Community Church Hall",20071010
106,YORK SOUTH--WESTON,83,0,49,9,13,0,"Toronto",082, ,0,0,0,154,345,"Greenborough Community Church Hall",20071010
106,YORK SOUTH--WESTON,20,2,77,6,6,0,"Toronto",083, ,2,0,0,113,323,"Portage Trail Junior Community School",20071010
106,YORK SOUTH--WESTON,32,3,72,9,24,0,"Toronto",084, ,1,1,0,142,337,"Portage Trail Junior Community School",20071010
106,YORK SOUTH--WESTON,95,4,97,3,20,0,"Toronto",085, ,3,0,0,222,523,"Portage Trail Junior Community School",20071010
106,YORK SOUTH--WESTON,34,2,82,2,7,1,"Toronto",086, ,1,0,0,129,328,"Bala Avenue Community School",20071010
106,YORK SOUTH--WESTON,49,2,33,2,16,0,"Toronto",087, ,1,0,0,103,282,"Trinity Temple Church of God",20071010
106,YORK SOUTH--WESTON,54,1,48,4,4,0,"Toronto",088, ,0,0,0,111,312,"Trinity Temple Church of God",20071010
106,YORK SOUTH--WESTON,11,0,25,3,5,0,"Toronto",089, ,0,0,0,44,190,"Charles E. Webster Junior Public School",20071010
106,YORK SOUTH--WESTON,23,0,17,2,9,1,"Toronto",090, ,0,0,0,52,166,"Charles E. Webster Junior Public School",20071010
106,YORK SOUTH--WESTON,72,0,61,6,22,5,"Toronto",091, ,1,1,0,168,336,"Charles E. Webster Junior Public School",20071010
106,YORK SOUTH--WESTON,73,1,50,7,7,0,"Toronto",092, ,11,0,0,149,332,"Centennial Recreation Centre",20071010
106,YORK SOUTH--WESTON,23,0,15,0,3,1,"Toronto",093, ,3,0,1,46,155,"Plaut Manor",20071010
106,YORK SOUTH--WESTON,67,1,47,6,7,0,"Toronto",094, ,2,0,0,130,315,"Greenborough Community Church Hall",20071010
106,YORK SOUTH--WESTON,44,1,45,10,9,2,"Toronto",095, ,0,0,2,113,334,"Kane Middle School",20071010
106,YORK SOUTH--WESTON,71,2,67,0,18,2,"Toronto",096, ,0,1,0,161,365,"Portage Trail Junior Community School",20071010
106,YORK SOUTH--WESTON,33,0,88,6,10,2,"Toronto",097, ,1,1,0,141,328,"Bala Avenue Community School",20071010
106,YORK SOUTH--WESTON,15,0,11,0,1,0,"Toronto",098, ,0,0,0,27,137,"Centennial Recreation Centre",20071010
106,YORK SOUTH--WESTON,9,0,16,0,1,0,"Toronto",099, ,0,0,0,26,122,"Centennial Recreation Centre",20071010
106,YORK SOUTH--WESTON,58,3,54,1,6,0,"Toronto",100, ,1,1,0,124,268,"Keelesdale Junior Public School",20071010
106,YORK SOUTH--WESTON,35,0,35,1,15,0,"Toronto",101, ,0,0,0,86,274,"Kane Middle School",20071010
106,YORK SOUTH--WESTON,47,1,45,4,11,0,"Toronto",102, ,0,0,0,108,268,"Kane Middle School",20071010
106,YORK SOUTH--WESTON,58,1,57,8,10,2,"Toronto",103, ,0,1,0,137,309,"Kane Middle School",20071010
106,YORK SOUTH--WESTON,87,7,50,9,10,0,"Toronto",104, ,0,1,0,164,364,"Kane Middle School",20071010
106,YORK SOUTH--WESTON,60,7,32,15,42,5,"Toronto",105s, ,1,3,0,165,473,"West Park Healthcare Centre",20071010
106,YORK SOUTH--WESTON,40,4,42,5,10,0,"Toronto",106, ,0,1,0,102,511,"York Humber High School",20071010
106,YORK SOUTH--WESTON,26,1,71,1,8,0,"Toronto",107, ,0,2,0,109,275,"Bala Avenue Community School",20071010
106,YORK SOUTH--WESTON,23,0,83,5,15,1,"Toronto",108, ,0,1,0,128,282,"Bala Avenue Community School",20071010
106,YORK SOUTH--WESTON,27,0,61,1,12,2,"Toronto",109, ,1,0,0,104,274,"Mount Dennis Community Hall",20071010
106,YORK SOUTH--WESTON,18,1,56,4,10,0,"Toronto",110, ,4,0,0,93,251,"Mount Dennis Community Hall",20071010
106,YORK SOUTH--WESTON,13,1,49,6,4,1,"Toronto",111, ,1,0,0,75,216,"Dennis Avenue Community School",20071010
106,YORK SOUTH--WESTON,61,0,85,7,12,0,"Toronto",112, ,2,0,0,167,325,"Keelesdale Junior Public School",20071010
106,YORK SOUTH--WESTON,63,0,73,3,10,0,"Toronto",113, ,1,0,0,150,349,"Kane Middle School",20071010
106,YORK SOUTH--WESTON,62,2,60,8,8,4,"Toronto",114, ,0,1,0,145,315,"Kane Middle School",20071010
106,YORK SOUTH--WESTON,55,5,73,9,8,1,"Toronto",115, ,3,3,0,157,363,"Kane Middle School",20071010
106,YORK SOUTH--WESTON,75,2,76,4,9,0,"Toronto",116, ,1,0,0,167,358,"Royal Canadian Legion - Silverthorn Branch",20071010
106,YORK SOUTH--WESTON,44,0,63,7,6,0,"Toronto",117, ,0,0,0,120,277,"Our Lady of Victory Catholic School",20071010
106,YORK SOUTH--WESTON,41,2,73,5,6,0,"Toronto",118, ,2,0,0,129,284,"Our Lady of Victory Catholic School",20071010
106,YORK SOUTH--WESTON,26,0,44,6,9,1,"Toronto",119, ,0,1,1,88,214,"Dennis Avenue Community School",20071010
106,YORK SOUTH--WESTON,34,2,70,8,10,1,"Toronto",120, ,1,0,0,126,295,"Dennis Avenue Community School",20071010
106,YORK SOUTH--WESTON,30,1,91,5,6,0,"Toronto",121, ,1,0,0,134,322,"Cordella Junior Public School",20071010
106,YORK SOUTH--WESTON,28,1,45,3,7,1,"Toronto",122, ,0,0,0,85,185,"Cordella Junior Public School",20071010
106,YORK SOUTH--WESTON,53,0,48,3,11,0,"Toronto",123, ,1,0,0,116,276,"Keelesdale Junior Public School",20071010
106,YORK SOUTH--WESTON,34,1,36,4,6,4,"Toronto",124, ,3,0,0,88,222,"Keelesdale Junior Public School",20071010
106,YORK SOUTH--WESTON,45,1,55,7,9,0,"Toronto",125, ,3,0,0,120,340,"St. Matthew Catholic School",20071010
106,YORK SOUTH--WESTON,43,0,63,4,19,1,"Toronto",126, ,2,2,0,134,305,"Royal Canadian Legion - Silverthorn Branch",20071010
106,YORK SOUTH--WESTON,41,3,67,5,16,0,"Toronto",127, ,0,0,0,132,254,"Royal Canadian Legion - Silverthorn Branch",20071010
106,YORK SOUTH--WESTON,51,2,82,15,17,0,"Toronto",128, ,1,0,0,168,388,"Roselands Junior Public School",20071010
106,YORK SOUTH--WESTON,75,2,60,11,18,1,"Toronto",129, ,0,0,0,167,341,"Roselands Junior Public School",20071010
106,YORK SOUTH--WESTON,73,2,82,4,14,0,"Toronto",130, ,1,3,0,179,378,"Roselands Junior Public School",20071010
106,YORK SOUTH--WESTON,68,2,75,8,14,0,"Toronto",131, ,2,1,0,170,357,"Frank Oke Secondary School",20071010
106,YORK SOUTH--WESTON,90,2,82,3,4,1,"Toronto",132, ,0,0,0,182,366,"Frank Oke Secondary School",20071010
106,YORK SOUTH--WESTON,29,1,58,4,9,0,"Toronto",133, ,0,0,0,101,289,"Frank Oke Secondary School",20071010
106,YORK SOUTH--WESTON,62,5,81,5,13,2,"Toronto",134, ,1,0,0,169,378,"Frank Oke Secondary School",20071010
106,YORK SOUTH--WESTON,45,4,68,5,22,0,"Toronto",135, ,0,2,0,146,324,"Frank Oke Secondary School",20071010
106,YORK SOUTH--WESTON,55,2,69,1,7,0,"Toronto",136, ,3,0,0,137,350,"Archbishop Romero Catholic Secondary School",20071010
106,YORK SOUTH--WESTON,27,3,54,6,10,1,"Toronto",137, ,0,0,0,101,310,"Archbishop Romero Catholic Secondary School",20071010
106,YORK SOUTH--WESTON,40,2,89,6,3,0,"Toronto",138, ,1,0,0,141,345,"Harwood Junior Middle School",20071010
106,YORK SOUTH--WESTON,36,0,28,2,5,0,"Toronto",139, ,0,2,0,73,257,"Harwood Junior Middle School",20071010
106,YORK SOUTH--WESTON,48,0,47,3,5,1,"Toronto",140, ,2,0,0,106,241,"St. Matthew Catholic School",20071010
106,YORK SOUTH--WESTON,87,2,106,8,31,3,"Toronto",141, ,1,0,0,238,434,"Roselands Junior Public School",20071010
106,YORK SOUTH--WESTON,31,2,65,2,17,3,"Toronto",142, ,0,0,0,120,252,"Roselands Junior Public School",20071010
106,YORK SOUTH--WESTON,78,2,67,2,11,1,"Toronto",143, ,5,0,0,166,360,"Frank Oke Secondary School",20071010
106,YORK SOUTH--WESTON,37,2,54,8,19,3,"Toronto",144, ,0,1,4,128,325,"Harwood Junior Middle School",20071010
106,YORK SOUTH--WESTON,47,0,63,8,17,1,"Toronto",145, ,0,0,0,136,326,"Harwood Junior Middle School",20071010
106,YORK SOUTH--WESTON,30,2,33,12,18,2,"Toronto",146, ,0,0,0,97,287,"Lambton Park Community School",20071010
106,YORK SOUTH--WESTON,25,0,49,1,4,0,"Toronto",147, ,2,0,0,81,253,"Rockcliffe Middle School",20071010
106,YORK SOUTH--WESTON,56,3,92,9,13,0,"Toronto",148, ,4,0,0,177,367,"George Syme Community School",20071010
106,YORK SOUTH--WESTON,52,4,60,14,8,0,"Toronto",149, ,3,0,0,141,363,"George Bell Arena",20071010
106,YORK SOUTH--WESTON,104,0,139,17,33,3,"Toronto",150, ,4,0,0,300,660,"George Bell Arena",20071010
106,YORK SOUTH--WESTON,48,4,86,17,23,2,"Toronto",151, ,2,1,0,183,340,"Lambton Park Community School",20071010
106,YORK SOUTH--WESTON,48,4,68,17,21,0,"Toronto",152, ,0,1,1,160,331,"Lambton Park Community School",20071010
106,YORK SOUTH--WESTON,40,0,87,5,17,0,"Toronto",153, ,0,0,0,149,322,"Lambton Park Community School",20071010
106,YORK SOUTH--WESTON,47,4,90,14,26,0,"Toronto",154, ,0,2,0,183,365,"Lambton Park Community School",20071010
106,YORK SOUTH--WESTON,50,3,83,8,16,1,"Toronto",155, ,1,2,0,164,318,"George Syme Community School",20071010
106,YORK SOUTH--WESTON,49,0,72,7,20,0,"Toronto",156, ,2,0,0,150,310,"George Syme Community School",20071010
106,YORK SOUTH--WESTON,44,1,53,7,1,1,"Toronto",157, ,2,0,0,109,292,"George Syme Community School",20071010
106,YORK SOUTH--WESTON,49,3,74,5,17,3,"Toronto",158, ,2,3,0,156,371,"George Bell Arena",20071010
106,YORK SOUTH--WESTON,89,0,86,9,41,1,"Toronto",159, ,3,0,0,229,501,"George Bell Arena",20071010
106,YORK SOUTH--WESTON,34,4,54,2,15,1,"Toronto",160, ,2,1,0,113,302,"George Bell Arena",20071010
106,YORK SOUTH--WESTON,47,0,89,10,17,2,"Toronto",161, ,1,1,0,167,369,"Lambton Park Community School",20071010
106,YORK SOUTH--WESTON,33,2,64,5,13,0,"Toronto",162, ,0,0,0,117,314,"George Syme Community School",20071010
106,YORK SOUTH--WESTON,10,1,7,2,3,0,"Toronto",163s, ,0,0,0,23,34,"North Park Nursing Home",20071010
106,YORK SOUTH--WESTON,106,1,27,2,15,1,"Toronto",400, ,2,0,0,154,241,"Casa Abruzzo",20071010
106,YORK SOUTH--WESTON,51,3,53,2,0,0,"Toronto",401, ,2,1,0,112,254,"Falstaff Community Centre",20071010
106,YORK SOUTH--WESTON,36,3,48,0,1,0,"Toronto",402, ,0,1,0,89,265,"Falstaff Community Centre",20071010
106,YORK SOUTH--WESTON,40,4,44,1,3,2,"Toronto",403, ,0,1,0,95,262,"Falstaff Community Centre",20071010
106,YORK SOUTH--WESTON,12,1,6,0,3,0,"Toronto",404, ,0,0,0,22,81,"St. Francis Xavier Catholic School",20071010
106,YORK SOUTH--WESTON,50,3,25,2,14,0,"Toronto",405, ,1,1,0,96,181,"Maple Leaf Drive Seniors Apartment Buildings",20071010
106,YORK SOUTH--WESTON,27,1,74,0,2,0,"Toronto",406, ,0,2,0,106,193,"Upwood Park Housing Co-operative",20071010
106,YORK SOUTH--WESTON,52,0,35,0,8,0,"Toronto",407, ,3,0,0,98,260,"Amesbury Community Centre",20071010
106,YORK SOUTH--WESTON,49,1,40,2,1,0,"Toronto",408, ,1,0,0,94,252,"Amesbury Community Centre",20071010
106,YORK SOUTH--WESTON,28,1,35,5,15,1,"Toronto",409, ,0,0,0,85,173,"Country Club Towers B",20071010
106,YORK SOUTH--WESTON,25,1,32,5,7,0,"Toronto",410, ,1,0,0,71,184,"Country Club Towers A",20071010
106,YORK SOUTH--WESTON,44,2,31,2,5,1,"Toronto",411, ,2,0,0,87,211,"1855 Jane Street",20071010
106,YORK SOUTH--WESTON,13,2,11,3,1,0,"Toronto",412, ,0,0,0,30,115,"St. Bernard Catholic School",20071010
106,YORK SOUTH--WESTON,13,0,30,1,0,0,"Toronto",413, ,0,0,0,44,183,"St. Bernard Catholic School",20071010
106,YORK SOUTH--WESTON,27,0,63,3,2,0,"Toronto",414, ,2,3,0,100,213,"Upwood Park Housing Co-operative",20071010
106,YORK SOUTH--WESTON,28,0,7,0,3,1,"Toronto",415, ,1,1,0,41,113,"Amesbury Middle School",20071010
106,YORK SOUTH--WESTON,13,0,9,0,5,1,"Toronto",416, ,0,0,0,28,124,"George Anderson Public School",20071010
106,YORK SOUTH--WESTON,19,0,16,1,1,0,"Toronto",417, ,0,0,0,37,113,"Amesbury Community Centre",20071010
106,YORK SOUTH--WESTON,28,1,23,0,3,0,"Toronto",418, ,0,0,0,55,175,"Amesbury Community Centre",20071010
106,YORK SOUTH--WESTON,43,5,42,6,7,1,"Toronto",419, ,1,0,0,105,263,"Amesbury Community Centre",20071010
106,YORK SOUTH--WESTON,8,0,14,0,2,0,"Toronto",420, ,0,0,0,24,112,"Weston Presbyterian Church",20071010
106,YORK SOUTH--WESTON,16,2,17,3,7,0,"Toronto",421, ,0,0,0,45,175,"Weston Presbyterian Church",20071010
106,YORK SOUTH--WESTON,9,0,9,0,0,0,"Toronto",422, ,0,0,0,18,65,"Weston Baptist Church",20071010
106,YORK SOUTH--WESTON,7,1,17,0,0,1,"Toronto",423, ,0,2,0,28,104,"Weston Presbyterian Church",20071010
106,YORK SOUTH--WESTON,24,1,10,1,2,1,"Toronto",424, ,0,0,1,40,116,"1755 Jane Street",20071010
106,YORK SOUTH--WESTON,40,2,33,2,6,1,"Toronto",425, ,0,1,0,85,376,"George Anderson Public School",20071010
106,YORK SOUTH--WESTON,12,0,12,2,6,0,"Toronto",426, ,0,0,0,32,158,"Weston Presbyterian Church",20071010
106,YORK SOUTH--WESTON,55,2,53,2,6,0,"Toronto",427, ,2,0,0,120,221,"Humberview Housing Co-operative",20071010
106,YORK SOUTH--WESTON,19,1,72,2,9,0,"Toronto",428, ,0,1,1,105,135,"Central King Seniors Residence",20071010
106,YORK SOUTH--WESTON,52,3,78,10,16,2,"Toronto",429, ,0,0,0,161,357,"Central King Seniors Residence",20071010
106,YORK SOUTH--WESTON,14,0,23,5,7,0,"Toronto",430, ,0,0,0,49,116,"Eagle Manor",20071010
106,YORK SOUTH--WESTON,83,6,113,3,4,2,"Toronto",431, ,9,9,0,229,384,"Eagle Manor",20071010
106,YORK SOUTH--WESTON,28,0,6,0,4,0,"Toronto",432, ,0,0,0,38,132,"Eagle Manor",20071010
106,YORK SOUTH--WESTON,12,1,20,1,2,4,"Toronto",433, ,0,1,0,41,136,"Hickory Tree Co-operative",20071010
106,YORK SOUTH--WESTON,16,0,15,1,2,0,"Toronto",434, ,0,0,0,34,117,"Hickory Tree Co-operative",20071010
106,YORK SOUTH--WESTON,67,6,96,14,11,0,"Toronto",435, ,4,1,0,199,479,"Bellevue Apartments",20071010
106,YORK SOUTH--WESTON,65,2,34,18,21,1,"Toronto",436, ,1,1,0,143,303,"River Ridge Apartments",20071010
106,YORK SOUTH--WESTON,48,2,52,12,18,0,"Toronto",437, ,0,0,0,132,253,"River Ridge Apartments",20071010
106,YORK SOUTH--WESTON,15,0,19,3,3,0,"Toronto",438, ,0,0,2,42,155,"Weston Baptist Church",20071010
106,YORK SOUTH--WESTON,12,1,16,2,0,1,"Toronto",439, ,0,0,0,32,104,"Weston Baptist Church",20071010
106,YORK SOUTH--WESTON,55,0,71,6,9,1,"Toronto",440, ,0,0,5,147,459,"1555 Jane Street",20071010
106,YORK SOUTH--WESTON,52,2,53,1,2,0,"Toronto",441, ,2,1,1,114,216,"720 Trethewey Drive",20071010
106,YORK SOUTH--WESTON,27,2,40,1,0,0,"Toronto",442, ,2,1,0,73,212,"720 Trethewey Drive",20071010
106,YORK SOUTH--WESTON,60,4,62,7,13,0,"Toronto",443A, ,2,1,0,149,374,"Maple Creek Apartment Building",20071010
106,YORK SOUTH--WESTON,56,2,65,5,14,5,"Toronto",443B, ,2,1,0,150,337,"Maple Creek Apartment Building",20071010
106,YORK SOUTH--WESTON,92,1,77,7,11,1,"Toronto",444, ,0,0,0,189,472,"Willow Glen Apartments",20071010
106,YORK SOUTH--WESTON,61,1,76,9,8,0,"Toronto",445, ,3,2,0,160,412,"Eaton Valley Apartments",20071010
106,YORK SOUTH--WESTON,33,0,37,2,9,0,"Toronto",446, ,0,0,0,81,204,"Greenborough Community Church Hall",20071010
