ED_CODE,ED_NAME,ARNOTT,BENTLEY,DUIGNAN,GORI,LAVICTOIRE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
099,WELLINGTON--HALTON HILLS,116,67,27,0,11,"Georgetown",089, ,0,0,0,221,417,"Georgetown District Christian School",20071010
099,WELLINGTON--HALTON HILLS,98,71,19,5,24,"Georgetown",090, ,0,1,0,218,410,"Georgetown District Christian School",20071010
099,WELLINGTON--HALTON HILLS,10,13,5,0,1,"Georgetown",091s, ,0,1,0,30,64,"Bennett Health Care Centre",20071010
099,WELLINGTON--HALTON HILLS,40,32,21,1,21,"Georgetown",092, ,0,0,0,115,277,"Joseph Gibbons Public School",20071010
099,WELLINGTON--HALTON HILLS,1,5,3,0,0,"Halton Hills",093s, ,0,0,0,9,26,"Halton Health Care-Georgetown Hospital",20071010
099,WELLINGTON--HALTON HILLS,94,69,25,3,26,"Georgetown",094, ,0,0,0,217,407,"Georgetown District Christian School",20071010
099,WELLINGTON--HALTON HILLS,84,66,29,2,19,"Georgetown",095, ,0,1,0,201,388,"Joseph Gibbons Public School",20071010
099,WELLINGTON--HALTON HILLS,66,59,15,2,15,"Georgetown",096, ,0,1,0,158,317,"Georgetown District Christian School",20071010
099,WELLINGTON--HALTON HILLS,69,64,22,4,27,"Georgetown",097, ,0,0,0,186,397,"Joseph Gibbons Public School",20071010
099,WELLINGTON--HALTON HILLS,93,92,18,1,15,"Georgetown",098, ,0,1,0,220,414,"Georgetown District Christian School",20071010
099,WELLINGTON--HALTON HILLS,40,40,10,2,13,"Georgetown",099, ,0,0,0,105,285,"Maple Avenue Baptist Church",20071010
099,WELLINGTON--HALTON HILLS,60,78,12,0,27,"Georgetown",100, ,0,1,0,178,344,"Georgetown District Christian School",20071010
099,WELLINGTON--HALTON HILLS,98,80,17,4,27,"Glen Williams",101, ,1,0,0,227,428,"St. Alban the Martyr Anglican Church",20071010
099,WELLINGTON--HALTON HILLS,45,37,16,1,17,"Georgetown",102, ,1,0,0,117,253,"Maple Avenue Baptist Church",20071010
099,WELLINGTON--HALTON HILLS,16,24,9,0,6,"Georgetown",103s, ,0,1,0,56,82,"Mountainview Residence",20071010
099,WELLINGTON--HALTON HILLS,58,38,18,4,19,"Georgetown",104, ,0,1,0,138,384,"Christ the King Catholic Secondary School",20071010
099,WELLINGTON--HALTON HILLS,42,47,21,0,5,"Georgetown",105, ,1,0,0,116,276,"Maple Avenue Baptist Church",20071010
099,WELLINGTON--HALTON HILLS,38,55,19,1,13,"Georgetown",106, ,0,0,0,126,264,"Maple Avenue Baptist Church",20071010
099,WELLINGTON--HALTON HILLS,65,55,23,0,17,"Georgetown",107, ,0,0,0,160,331,"Maple Avenue Baptist Church",20071010
099,WELLINGTON--HALTON HILLS,54,57,25,2,27,"Georgetown",108, ,0,0,0,165,373,"Christ the King Catholic Secondary School",20071010
099,WELLINGTON--HALTON HILLS,21,11,0,0,4,"Georgetown",109, ,0,0,0,36,47,"Christ the King Catholic Secondary School",20071010
099,WELLINGTON--HALTON HILLS,63,85,22,1,19,"Georgetown",110, ,0,0,0,190,330,"Harrison Public School",20071010
099,WELLINGTON--HALTON HILLS,83,53,15,2,24,"Georgetown",111, ,1,1,0,179,343,"Harrison Public School",20071010
099,WELLINGTON--HALTON HILLS,50,35,9,1,7,"Georgetown",112, ,0,0,0,102,228,"Christ the King Catholic Secondary School",20071010
099,WELLINGTON--HALTON HILLS,41,38,19,1,13,"Georgetown",113, ,0,0,0,112,247,"Christ the King Catholic Secondary School",20071010
099,WELLINGTON--HALTON HILLS,54,39,23,4,14,"Georgetown",114, ,0,0,0,134,321,"Harrison Public School",20071010
099,WELLINGTON--HALTON HILLS,90,81,17,1,11,"Georgetown",115, ,0,0,0,200,390,"Harrison Public School",20071010
099,WELLINGTON--HALTON HILLS,90,72,22,2,24,"Georgetown",116, ,1,0,0,211,420,"Harrison Public School",20071010
099,WELLINGTON--HALTON HILLS,63,46,8,2,18,"Georgetown",117, ,0,0,0,137,352,"Christ the King Catholic Secondary School",20071010
099,WELLINGTON--HALTON HILLS,65,48,24,2,19,"Georgetown",118, ,0,0,0,158,369,"Harrison Public School",20071010
099,WELLINGTON--HALTON HILLS,102,88,17,4,19,"Georgetown",119, ,0,0,0,230,477,"Centennial Public School",20071010
099,WELLINGTON--HALTON HILLS,133,116,21,6,24,"Georgetown",120, ,0,1,0,301,498,"Centennial Public School",20071010
099,WELLINGTON--HALTON HILLS,72,61,26,2,15,"Georgetown",121, ,3,0,0,179,452,"Christ the King Catholic Secondary School",20071010
099,WELLINGTON--HALTON HILLS,78,66,12,5,7,"Georgetown",122, ,0,0,0,168,366,"St. Francis of Assisi Separate School",20071010
099,WELLINGTON--HALTON HILLS,67,71,16,1,13,"Georgetown",123, ,0,0,0,168,365,"St. Francis of Assisi Separate School",20071010
099,WELLINGTON--HALTON HILLS,102,95,23,3,18,"Georgetown",124, ,1,1,0,243,432,"George Kennedy Public School",20071010
099,WELLINGTON--HALTON HILLS,61,45,21,0,10,"Georgetown",125, ,1,0,0,138,350,"St. Francis of Assisi Separate School",20071010
099,WELLINGTON--HALTON HILLS,94,71,25,3,10,"Georgetown",126, ,0,1,0,204,385,"George Kennedy Public School",20071010
099,WELLINGTON--HALTON HILLS,81,82,15,3,19,"Georgetown",127, ,1,0,0,201,390,"George Kennedy Public School",20071010
099,WELLINGTON--HALTON HILLS,88,54,21,1,11,"Georgetown",128, ,0,0,0,175,308,"George Kennedy Public School",20071010
099,WELLINGTON--HALTON HILLS,95,87,12,1,21,"Georgetown",129, ,0,0,0,216,382,"George Kennedy Public School",20071010
099,WELLINGTON--HALTON HILLS,106,76,20,2,11,"Georgetown",130, ,0,0,0,215,461,"St. Catherine of Alexandria School",20071010
099,WELLINGTON--HALTON HILLS,52,38,10,3,17,"Georgetown",131, ,1,1,0,122,219,"George Kennedy Public School",20071010
099,WELLINGTON--HALTON HILLS,60,54,17,0,6,"Georgetown",132, ,1,0,0,138,290,"George Kennedy Public School",20071010
099,WELLINGTON--HALTON HILLS,139,86,17,3,35,"Ariss",133, ,0,5,0,285,469,"Bethany United Church",20071010
099,WELLINGTON--HALTON HILLS,95,40,9,0,15,"Elora",134, ,1,0,0,160,299,"Ennotville Historical Library",20071010
099,WELLINGTON--HALTON HILLS,105,66,17,5,25,"Rockwood",135, ,2,1,0,221,384,"Eramosa Public School",20071010
099,WELLINGTON--HALTON HILLS,77,47,13,0,41,"Rockwood",136, ,1,0,1,180,346,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,95,42,17,5,14,"Rockwood",137, ,0,0,0,173,333,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,53,27,24,0,15,"Acton",138, ,0,0,0,119,285,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,81,81,19,1,11,"Acton",139, ,0,0,0,193,414,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,85,52,18,2,9,"Acton",140, ,0,0,0,166,311,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,86,49,18,0,14,"Acton",141, ,0,0,0,167,323,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,53,36,19,1,10,"Acton",142, ,2,0,0,121,273,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,55,23,19,4,16,"Acton",143, ,0,0,0,117,310,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,91,69,20,1,16,"Acton",144, ,0,0,1,198,391,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,47,47,15,0,13,"Acton",145, ,2,0,0,124,337,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,117,64,20,1,18,"Acton",146, ,0,0,0,220,416,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,72,37,31,3,23,"Acton",147, ,1,0,0,167,408,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,72,46,24,1,16,"Acton",148, ,0,0,0,159,324,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,65,28,12,3,14,"Acton",150, ,0,0,0,122,259,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,106,73,13,1,25,"Acton",151, ,0,0,0,218,410,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,99,67,16,2,13,"Acton",152, ,1,0,0,198,341,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,71,36,12,1,19,"Acton",153, ,0,0,0,139,328,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,61,43,18,3,14,"Acton",154, ,1,0,0,140,281,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,71,52,17,5,10,"Acton",155, ,3,0,0,158,303,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,82,62,12,2,18,"Acton",156, ,1,0,0,177,355,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,69,42,9,5,15,"Acton",157, ,1,0,0,141,333,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,86,42,17,0,19,"Acton",158, ,0,1,0,165,351,"Acton Arena & Community Centre",20071010
099,WELLINGTON--HALTON HILLS,111,54,19,0,24,"Limehouse",159, ,0,0,0,208,754,"Limehouse Memorial Hall",20071010
099,WELLINGTON--HALTON HILLS,111,98,6,5,20,"Georgetown",160, ,1,0,0,241,525,"Stewarttown Middle School",20071010
099,WELLINGTON--HALTON HILLS,82,81,10,2,6,"Georgetown",161, ,3,0,0,184,349,"Stewarttown Middle School",20071010
099,WELLINGTON--HALTON HILLS,72,61,11,0,11,"Georgetown",162, ,1,0,0,156,323,"Stewarttown Middle School",20071010
099,WELLINGTON--HALTON HILLS,82,92,11,2,8,"Georgetown",163, ,1,0,0,196,379,"Stewarttown Middle School",20071010
099,WELLINGTON--HALTON HILLS,98,69,11,2,22,"Georgetown",164, ,3,0,1,206,371,"Stewarttown Middle School",20071010
099,WELLINGTON--HALTON HILLS,69,42,3,1,4,"Georgetown",165, ,0,2,0,121,167,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,86,70,8,4,18,"Georgetown",166, ,0,0,0,186,397,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,90,95,13,2,16,"Georgetown",167, ,1,0,0,217,428,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,95,92,23,1,26,"Georgetown",168, ,0,0,0,237,472,"Centennial Public School",20071010
099,WELLINGTON--HALTON HILLS,96,80,8,1,16,"Georgetown",169, ,0,0,0,201,386,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,104,95,10,3,17,"Georgetown",170, ,0,0,0,229,410,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,111,107,11,1,11,"Georgetown",171, ,1,0,0,242,419,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,92,114,13,1,20,"Georgetown",172, ,0,0,0,240,453,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,70,74,11,2,15,"Georgetown",173, ,0,1,0,173,356,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,98,75,9,1,2,"Georgetown",174, ,0,0,0,185,420,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,108,91,11,2,13,"Georgetown",175, ,0,1,0,226,473,"St. Brigid School",20071010
099,WELLINGTON--HALTON HILLS,94,61,17,2,29,"Georgetown",176, ,0,0,0,203,397,"St. Catherine of Alexandria School",20071010
099,WELLINGTON--HALTON HILLS,93,92,28,1,18,"Georgetown",177, ,1,0,0,233,425,"St. Catherine of Alexandria School",20071010
099,WELLINGTON--HALTON HILLS,81,103,14,0,12,"Georgetown",178, ,0,0,0,210,385,"St. Catherine of Alexandria School",20071010
099,WELLINGTON--HALTON HILLS,65,98,23,9,12,"Georgetown",179, ,0,0,0,207,471,"St. Catherine of Alexandria School",20071010
099,WELLINGTON--HALTON HILLS,88,81,10,0,14,"Georgetown",180, ,0,0,0,193,388,"St. Catherine of Alexandria School",20071010
099,WELLINGTON--HALTON HILLS,51,30,16,3,6,"Georgetown",181, ,0,0,0,106,201,"St. Catherine of Alexandria School",20071010
099,WELLINGTON--HALTON HILLS,79,87,19,0,15,"Georgetown",182, ,0,1,0,201,345,"St. Catherine of Alexandria School",20071010
099,WELLINGTON--HALTON HILLS,126,87,18,3,32,"Guelph",183, ,1,1,1,269,461,"Grace Community Church",20071010
099,WELLINGTON--HALTON HILLS,53,22,12,1,16,"Rockwood",184, ,1,0,0,105,281,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,48,40,8,7,25,"Rockwood",185, ,0,0,0,128,255,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,104,52,24,4,28,"Rockwood",186, ,0,0,0,212,380,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,74,52,6,4,15,"Rockwood",187, ,0,0,0,151,284,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,60,47,12,1,13,"Rockwood",188, ,0,0,0,133,253,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,103,50,23,4,19,"Rockwood",189, ,1,0,1,201,409,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,62,61,16,8,13,"Rockwood",190, ,0,1,0,161,355,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,83,49,15,3,32,"Rockwood",191, ,0,0,0,182,323,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,72,55,18,3,22,"Acton",192, ,2,0,0,172,296,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,71,34,15,1,18,"Acton",193, ,1,0,0,140,286,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,78,60,14,3,9,"Limehouse",194, ,0,0,0,164,328,"Limehouse Memorial Hall",20071010
099,WELLINGTON--HALTON HILLS,87,62,20,5,16,"Georgetown",195, ,3,0,1,194,342,"Stewarttown Middle School",20071010
099,WELLINGTON--HALTON HILLS,88,53,14,2,19,"Georgetown",196, ,1,0,0,177,329,"Pineview Public School",20071010
099,WELLINGTON--HALTON HILLS,76,44,23,1,8,"Georgetown",197, ,0,0,0,152,354,"Pineview Public School",20071010
099,WELLINGTON--HALTON HILLS,71,26,8,0,12,"Ariss",198, ,0,0,0,117,182,"Bethany United Church",20071010
099,WELLINGTON--HALTON HILLS,119,54,11,0,12,"Guelph",199, ,0,0,3,199,344,"Marden Community Centre",20071010
099,WELLINGTON--HALTON HILLS,95,83,17,2,13,"Guelph",200, ,0,0,0,210,436,"Grace Community Church",20071010
099,WELLINGTON--HALTON HILLS,67,43,23,3,37,"Eden Mills",201, ,1,1,0,175,331,"Eden Mills & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,22,13,2,0,0,"Guelph/Eramosa",202s, ,0,0,1,38,75,"Eden House Care Facility Incorporated",20071010
099,WELLINGTON--HALTON HILLS,92,51,26,1,50,"Eden Mills",203, ,0,0,0,220,383,"Eden Mills & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,75,58,12,4,19,"Rockwood",204, ,0,0,0,168,323,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,97,85,14,6,18,"Georgetown",205, ,0,0,0,220,468,"Pineview Public School",20071010
099,WELLINGTON--HALTON HILLS,104,52,14,0,21,"Guelph",206, ,0,0,0,191,341,"Marden Community Centre",20071010
099,WELLINGTON--HALTON HILLS,102,112,25,0,24,"Guelph",207, ,1,1,0,265,488,"Grace Community Church",20071010
