ED_CODE,ED_NAME,BARRETT,BERGSTRAND,ELGERSMA,SQUIZZATO,WATSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
028,HALDIMAND--NORFOLK,101,35,0,13,18,"Waterford",027, ,0,1,0,168,330,"Boston Public School",20071010
028,HALDIMAND--NORFOLK,137,27,1,7,17,"Caledonia",028, ,0,0,0,189,333,"Oneida Central Public School",20071010
028,HALDIMAND--NORFOLK,153,28,1,14,15,"Caledonia",029, ,0,0,0,211,335,"Oneida Central Public School",20071010
028,HALDIMAND--NORFOLK,140,21,8,3,20,"York",030, ,1,0,1,194,386,"Seneca Central Public School",20071010
028,HALDIMAND--NORFOLK,88,32,2,8,22,"Canfield",031, ,1,1,0,154,313,"Canfield Community Centre",20071010
028,HALDIMAND--NORFOLK,97,26,5,3,23,"Canfield",032, ,12,0,0,166,275,"Canborough Community Centre",20071010
028,HALDIMAND--NORFOLK,124,56,3,8,15,"Waterford",033, ,1,0,1,208,354,"Boston Public School",20071010
028,HALDIMAND--NORFOLK,107,35,1,11,23,"Waterford",034, ,0,0,0,177,348,"Boston Public School",20071010
028,HALDIMAND--NORFOLK,172,38,5,9,38,"Waterford",035, ,0,0,0,262,445,"Boston Public School",20071010
028,HALDIMAND--NORFOLK,63,15,3,6,13,"Hagersville",036, ,0,1,0,101,235,"Royal Canadian Legion Branch 164",20071010
028,HALDIMAND--NORFOLK,94,41,0,6,15,"Hagersville",037, ,2,0,0,158,275,"Royal Canadian Legion Branch 164",20071010
028,HALDIMAND--NORFOLK,105,32,1,7,15,"Hagersville",038, ,0,0,0,160,312,"Royal Canadian Legion Branch 164",20071010
028,HALDIMAND--NORFOLK,115,25,1,9,15,"Cayuga",039, ,0,0,0,165,230,"Cayuga Kinsmen Community Centre",20071010
028,HALDIMAND--NORFOLK,70,24,1,9,7,"Cayuga",040, ,0,1,0,112,237,"Cayuga Kinsmen Community Centre",20071010
028,HALDIMAND--NORFOLK,76,23,0,7,29,"Canfield",041, ,0,0,0,135,274,"Canfield Community Centre",20071010
028,HALDIMAND--NORFOLK,183,36,7,8,17,"Canfield",042, ,2,0,0,253,420,"Canborough Community Centre",20071010
028,HALDIMAND--NORFOLK,146,43,1,19,25,"Dunnville",043, ,1,0,0,235,452,"Anna Melick Memorial",20071010
028,HALDIMAND--NORFOLK,134,34,5,6,13,"Teeterville",044, ,0,2,0,194,362,"Teeterville Public School",20071010
028,HALDIMAND--NORFOLK,65,4,2,2,12,"Teeterville",045, ,1,0,0,86,165,"Teeterville Public School",20071010
028,HALDIMAND--NORFOLK,113,35,2,18,12,"Teeterville",046, ,0,0,0,180,315,"Teeterville Public School",20071010
028,HALDIMAND--NORFOLK,95,48,0,6,14,"Waterford",047, ,2,0,0,165,346,"Boston Public School",20071010
028,HALDIMAND--NORFOLK,101,41,0,12,13,"Waterford",048, ,0,0,0,167,338,"W.F. Hewitt Public School",20071010
028,HALDIMAND--NORFOLK,167,47,2,10,21,"Hagersville",049, ,1,0,0,248,403,"St. Mary's School",20071010
028,HALDIMAND--NORFOLK,102,45,4,12,24,"Hagersville",050, ,1,0,0,188,354,"Royal Canadian Legion Branch 164",20071010
028,HALDIMAND--NORFOLK,69,42,1,10,9,"Hagersville",051, ,0,0,0,131,293,"St. Mary's School",20071010
028,HALDIMAND--NORFOLK,125,53,1,16,20,"Hagersville",052, ,1,2,0,218,354,"St. Mary's School",20071010
028,HALDIMAND--NORFOLK,25,11,2,2,4,"Hagersville",053s, ,0,0,0,44,91,"Norcliffe Life Care Centre",20071010
028,HALDIMAND--NORFOLK,......................COMBINED WITH POLL 053s ....................,,,,,"Hagersville",054s, ,,,,,,"West Haldimand General Hospital",20071010
028,HALDIMAND--NORFOLK,136,51,2,10,19,"Hagersville",055, ,0,0,0,218,369,"St. Mary's School",20071010
028,HALDIMAND--NORFOLK,66,12,1,0,15,"Fisherville",056, ,1,2,0,97,260,"Fisherville Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,135,18,0,9,14,"Cayuga",057, ,2,1,0,179,321,"Haldimand Agricultural Centre",20071010
028,HALDIMAND--NORFOLK,66,23,2,9,12,"Cayuga",058, ,1,0,0,113,309,"Cayuga Kinsmen Community Centre",20071010
028,HALDIMAND--NORFOLK,104,41,3,7,22,"Cayuga",059, ,2,0,0,179,349,"Cayuga Kinsmen Community Centre",20071010
028,HALDIMAND--NORFOLK,161,36,3,9,21,"Cayuga",060, ,1,2,0,233,417,"Cayuga Kinsmen Community Centre",20071010
028,HALDIMAND--NORFOLK,125,38,2,16,19,"Canfield",061, ,0,2,0,202,379,"Canfield Community Centre",20071010
028,HALDIMAND--NORFOLK,84,20,0,4,16,"Canfield",062, ,0,1,0,125,279,"Canborough Community Centre",20071010
028,HALDIMAND--NORFOLK,92,32,6,11,16,"Dunnville",063, ,8,1,0,166,334,"Inman Road Fire Station",20071010
028,HALDIMAND--NORFOLK,143,35,9,1,10,"Dunnville",064, ,0,0,0,198,323,"Anna Melick Memorial",20071010
028,HALDIMAND--NORFOLK,132,39,9,8,26,"Dunnville",065, ,0,0,2,216,363,"Anna Melick Memorial",20071010
028,HALDIMAND--NORFOLK,116,46,0,12,21,"Windham Centre",066, ,1,1,0,197,368,"Win-Del Community Park",20071010
028,HALDIMAND--NORFOLK,76,39,1,8,34,"Waterford",067, ,0,0,0,158,298,"W.F. Hewitt Public School",20071010
028,HALDIMAND--NORFOLK,113,45,2,11,34,"Waterford",068, ,0,2,0,207,381,"St. Bernard's School",20071010
028,HALDIMAND--NORFOLK,31,25,1,11,18,"Waterford",069, ,1,0,0,87,221,"St. Bernard's School",20071010
028,HALDIMAND--NORFOLK,72,49,4,11,33,"Waterford",070, ,0,3,0,172,328,"W.F. Hewitt Public School",20071010
028,HALDIMAND--NORFOLK,13,3,1,0,3,"Waterford",071s, ,0,0,0,20,32,"Golden Pond Retirement Home",20071010
028,HALDIMAND--NORFOLK,77,51,1,19,34,"Waterford",072, ,1,2,0,185,337,"Waterford Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,92,65,3,14,27,"Waterford",073, ,1,0,0,202,353,"Waterford Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,101,63,4,13,25,"Waterford",074, ,1,2,0,209,367,"Waterford Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,88,32,0,6,8,"Waterford",075, ,1,1,0,136,267,"Waterford Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,88,54,2,18,15,"Waterford",076, ,4,0,0,181,346,"Waterford Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,60,22,2,7,13,"Townsend",077, ,0,0,0,104,216,"Parkview Meadows",20071010
028,HALDIMAND--NORFOLK,182,36,0,6,11,"Jarvis",078, ,0,0,0,235,364,"Jarvis Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,123,26,0,5,19,"Fisherville",079, ,0,1,0,174,270,"Fisherville Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,141,19,1,5,22,"Cayuga",080, ,1,2,0,191,357,"Haldimand Agricultural Centre",20071010
028,HALDIMAND--NORFOLK,119,41,6,1,20,"Dunnville",081, ,0,0,0,187,357,"Grandview Central Public School",20071010
028,HALDIMAND--NORFOLK,16,15,1,4,4,"Dunnville",082s, ,3,1,0,44,135,"Grandview Lodge Long Term Care",20071010
028,HALDIMAND--NORFOLK,80,36,2,1,20,"Dunnville",083, ,0,0,0,139,364,"Thompson Creek Public School",20071010
028,HALDIMAND--NORFOLK,11,19,3,3,7,"Dunnville",084s, ,0,0,1,44,86,"Edgewater Gardens Long Term Care",20071010
028,HALDIMAND--NORFOLK,53,44,1,13,14,"Dunnville",085, ,0,1,1,127,281,"Thompson Creek Public School",20071010
028,HALDIMAND--NORFOLK,......................COMBINED WITH POLL 084s ....................,,,,,"Dunnville",086s, ,,,,,,"Haldimand War Memorial Hospital",20071010
028,HALDIMAND--NORFOLK,106,61,2,6,19,"Dunnville",087, ,0,0,1,195,426,"Thompson Creek Public School",20071010
028,HALDIMAND--NORFOLK,53,45,3,6,10,"Dunnville",088, ,0,0,0,117,295,"Dunnville Secondary School",20071010
028,HALDIMAND--NORFOLK,19,19,1,1,14,"Dunnville",089, ,0,0,0,54,194,"Dunnville Kinsmen Club Hall",20071010
028,HALDIMAND--NORFOLK,53,23,4,2,21,"Dunnville",090, ,0,0,0,103,318,"Dunnville Secondary School",20071010
028,HALDIMAND--NORFOLK,119,47,7,12,16,"Dunnville",091, ,0,1,0,202,374,"Fairview Avenue Public School",20071010
028,HALDIMAND--NORFOLK,26,25,0,1,11,"Dunnville",092, ,2,0,0,65,183,"Dunnville Kinsmen Club Hall",20071010
028,HALDIMAND--NORFOLK,83,25,5,7,12,"Dunnville",093, ,0,0,0,132,348,"Dunnville Secondary School",20071010
028,HALDIMAND--NORFOLK,74,21,2,2,11,"Dunnville",094, ,0,0,0,110,282,"Fairview Avenue Public School",20071010
028,HALDIMAND--NORFOLK,113,43,1,9,14,"Dunnville",095, ,0,0,0,180,305,"Fairview Avenue Public School",20071010
028,HALDIMAND--NORFOLK,30,19,1,3,18,"Dunnville",096, ,0,0,0,71,244,"Dunnville Kinsmen Club Hall",20071010
028,HALDIMAND--NORFOLK,115,38,0,6,21,"Dunnville",097, ,0,0,1,181,392,"Fairview Avenue Public School",20071010
028,HALDIMAND--NORFOLK,79,41,0,4,19,"Dunnville",098, ,0,0,0,143,303,"Inman Road Fire Station",20071010
028,HALDIMAND--NORFOLK,87,43,1,5,15,"Dunnville",099, ,1,1,0,153,300,"Inman Road Fire Station",20071010
028,HALDIMAND--NORFOLK,111,28,0,13,15,"Windham Centre",100, ,0,1,0,168,334,"Win-Del Community Park",20071010
028,HALDIMAND--NORFOLK,107,34,0,9,14,"Windham Centre",101, ,0,2,0,166,349,"Win-Del Community Park",20071010
028,HALDIMAND--NORFOLK,146,59,1,9,21,"Windham Centre",102, ,2,1,0,239,486,"Win-Del Community Park",20071010
028,HALDIMAND--NORFOLK,118,49,2,15,11,"Waterford",103, ,1,1,0,197,409,"St. Bernard's School",20071010
028,HALDIMAND--NORFOLK,162,56,0,13,22,"Simcoe",104, ,2,0,2,257,569,"Calvary Pentecostal Church",20071010
028,HALDIMAND--NORFOLK,116,30,2,8,20,"Townsend",105, ,0,0,0,176,344,"Parkview Meadows",20071010
028,HALDIMAND--NORFOLK,55,10,4,1,4,"Townsend",106s, ,1,0,0,75,133,"Parkview Meadows Gardenview Long Term",20071010
028,HALDIMAND--NORFOLK,114,20,3,5,5,"Townsend",107, ,0,1,0,148,257,"Parkview Meadows",20071010
028,HALDIMAND--NORFOLK,108,23,1,12,16,"Jarvis",108, ,0,0,0,160,282,"Jarvis Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,80,19,0,4,23,"Jarvis",109, ,0,0,0,126,248,"Jarvis Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,147,36,2,9,17,"Jarvis",110, ,12,1,0,224,413,"Jarvis Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,24,5,0,0,1,"Jarvis",111s, ,1,0,0,31,56,"Leisure Living Retirement",20071010
028,HALDIMAND--NORFOLK,97,36,1,5,18,"Jarvis",112, ,0,0,0,157,279,"Jarvis Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,104,10,5,11,7,"Jarvis",113, ,0,0,0,137,271,"Jarvis Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,181,20,4,10,22,"Fisherville",114, ,0,2,0,239,390,"Fisherville Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,81,24,1,2,9,"Cayuga",115, ,0,0,0,117,268,"Haldimand Agricultural Centre",20071010
028,HALDIMAND--NORFOLK,104,44,0,13,20,"Cayuga",116, ,2,0,0,183,403,"Haldimand Agricultural Centre",20071010
028,HALDIMAND--NORFOLK,86,20,1,6,16,"Dunnville",117, ,1,0,1,131,277,"Grandview Central Public School",20071010
028,HALDIMAND--NORFOLK,90,45,1,15,19,"Dunnville",118, ,0,0,0,170,351,"Grandview Central Public School",20071010
028,HALDIMAND--NORFOLK,148,46,4,17,34,"Dunnville",119, ,1,1,0,251,404,"Anna Melick Memorial",20071010
028,HALDIMAND--NORFOLK,40,27,1,4,22,"Dunnville",120, ,2,0,0,96,312,"Anna Melick Memorial",20071010
028,HALDIMAND--NORFOLK,78,26,3,3,32,"Courtland",121, ,0,0,0,142,315,"Courtland Community Centre",20071010
028,HALDIMAND--NORFOLK,53,23,0,4,11,"Delhi",122, ,0,0,0,91,221,"Delhi Public School",20071010
028,HALDIMAND--NORFOLK,57,32,2,11,5,"Delhi",123, ,1,0,0,108,285,"Delhi Public School",20071010
028,HALDIMAND--NORFOLK,42,35,2,8,13,"Delhi",124, ,0,1,0,101,269,"Delhi Public School",20071010
028,HALDIMAND--NORFOLK,54,26,1,3,15,"Delhi",125, ,0,0,0,99,254,"Delhi Public School",20071010
028,HALDIMAND--NORFOLK,78,43,2,2,10,"Delhi",126, ,0,0,0,135,297,"St. Frances Cabrini School",20071010
028,HALDIMAND--NORFOLK,98,50,1,9,10,"Delhi",127, ,0,0,0,168,321,"St. Frances Cabrini School",20071010
028,HALDIMAND--NORFOLK,60,31,2,5,15,"Delhi",128, ,0,0,0,113,303,"St. Frances Cabrini School",20071010
028,HALDIMAND--NORFOLK,109,84,1,6,32,"Delhi",129, ,0,0,0,232,393,"St. Frances Cabrini School",20071010
028,HALDIMAND--NORFOLK,121,40,1,5,19,"Delhi",130, ,2,0,0,188,428,"Delrose Retirement Residence",20071010
028,HALDIMAND--NORFOLK,121,39,3,14,21,"Simcoe",131, ,1,1,0,200,424,"Travelodge Simcoe",20071010
028,HALDIMAND--NORFOLK,87,46,1,6,19,"Simcoe",132, ,2,0,0,161,312,"Travelodge Simcoe",20071010
028,HALDIMAND--NORFOLK,45,21,2,3,16,"Simcoe",133, ,0,1,0,88,207,"Travelodge Simcoe",20071010
028,HALDIMAND--NORFOLK,90,46,1,7,18,"Simcoe",134, ,0,0,0,162,332,"Calvary Pentecostal Church",20071010
028,HALDIMAND--NORFOLK,119,63,1,13,19,"Simcoe",135, ,0,0,0,215,380,"Lynndale Heights Public School",20071010
028,HALDIMAND--NORFOLK,100,51,0,2,10,"Simcoe",136, ,2,3,0,168,316,"Lynndale Heights Public School",20071010
028,HALDIMAND--NORFOLK,90,8,1,13,9,"Jarvis",137, ,0,0,0,121,253,"Jarvis Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,136,31,1,0,19,"Selkirk",138, ,2,0,1,190,362,"Selkirk Baptist Church",20071010
028,HALDIMAND--NORFOLK,82,18,2,8,15,"Selkirk",139, ,1,1,0,127,241,"Selkirk Baptist Church",20071010
028,HALDIMAND--NORFOLK,154,32,0,18,37,"Fisherville",140, ,0,0,0,241,444,"Fisherville Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,116,20,5,7,22,"Fisherville",141, ,0,0,1,171,368,"Fisherville Lions Community Centre",20071010
028,HALDIMAND--NORFOLK,60,32,0,8,11,"Dunnville",142, ,0,1,0,112,277,"Grandview Central Public School",20071010
028,HALDIMAND--NORFOLK,65,33,0,8,9,"Courtland",143, ,0,3,0,118,222,"Courtland Community Centre",20071010
028,HALDIMAND--NORFOLK,55,19,2,8,18,"Courtland",144, ,0,1,0,103,260,"Courtland Community Centre",20071010
028,HALDIMAND--NORFOLK,64,23,0,6,25,"Courtland",145, ,0,1,0,119,319,"Courtland Community Centre",20071010
028,HALDIMAND--NORFOLK,2,4,0,0,1,"Courtland",146s, ,0,1,0,8,54,"Caressant Care Courtland",20071010
028,HALDIMAND--NORFOLK,79,22,0,3,8,"Courtland",147, ,0,0,1,113,235,"Courtland Community Centre",20071010
028,HALDIMAND--NORFOLK,89,59,3,8,15,"Delhi",148, ,0,0,0,174,339,"Delhi Public School",20071010
028,HALDIMAND--NORFOLK,39,24,3,6,10,"Delhi",149, ,0,0,0,82,318,"Delhi District Secondary School",20071010
028,HALDIMAND--NORFOLK,55,26,2,2,15,"Delhi",150, ,1,1,0,102,273,"Delhi Public School",20071010
028,HALDIMAND--NORFOLK,54,23,1,6,16,"Delhi",151, ,0,1,0,101,276,"Delrose Retirement Residence",20071010
028,HALDIMAND--NORFOLK,11,9,0,0,0,"Delhi",152s, ,1,1,0,22,61,"Delhi Long Care Centre",20071010
028,HALDIMAND--NORFOLK,..........................NO POLL HELD........................,,,,,"Delhi",153s, ,0,0,0,0,0,"",20071010
028,HALDIMAND--NORFOLK,74,20,3,8,20,"Delhi",154, ,0,1,0,126,309,"Delhi District Secondary School",20071010
028,HALDIMAND--NORFOLK,68,39,2,1,13,"Delhi",155, ,0,0,0,123,313,"Delhi District Secondary School",20071010
028,HALDIMAND--NORFOLK,80,53,1,8,14,"Delhi",156, ,0,0,0,156,309,"Delhi District Secondary School",20071010
028,HALDIMAND--NORFOLK,55,24,1,6,11,"Simcoe",157, ,0,0,0,97,251,"Royal Canadian Legion Branch 79",20071010
028,HALDIMAND--NORFOLK,37,9,1,0,7,"Simcoe",158s, ,0,0,0,54,195,"Norview Lodge",20071010
028,HALDIMAND--NORFOLK,41,17,0,2,6,"Simcoe",159s, ,0,0,2,68,133,"Cedarwood Village Long Term Care",20071010
028,HALDIMAND--NORFOLK,80,50,2,14,12,"Simcoe",160, ,1,0,0,159,335,"Royal Canadian Legion Branch 79",20071010
028,HALDIMAND--NORFOLK,60,40,2,6,20,"Simcoe",161, ,0,0,0,128,320,"Travelodge Simcoe",20071010
028,HALDIMAND--NORFOLK,115,71,1,10,18,"Simcoe",162, ,1,0,1,217,418,"Holy Trinity Catholic High School",20071010
028,HALDIMAND--NORFOLK,88,53,5,8,13,"Simcoe",163, ,0,1,2,170,318,"Royal Canadian Legion Branch 79",20071010
028,HALDIMAND--NORFOLK,35,17,2,4,18,"Simcoe",164, ,0,0,0,76,267,"Travelodge Simcoe",20071010
028,HALDIMAND--NORFOLK,65,34,1,3,17,"Simcoe",165, ,0,0,0,120,305,"Holy Trinity Catholic High School",20071010
028,HALDIMAND--NORFOLK,20,15,1,2,6,"Simcoe",166s, ,1,0,0,45,120,"Norfolk Hospital Nursing Home",20071010
028,HALDIMAND--NORFOLK,66,49,0,11,13,"Simcoe",167, ,0,0,0,139,309,"Royal Canadian Legion Branch 79",20071010
028,HALDIMAND--NORFOLK,98,44,2,7,24,"Simcoe",168, ,0,1,0,176,344,"Holy Trinity Catholic High School",20071010
028,HALDIMAND--NORFOLK,59,37,1,13,10,"Simcoe",169, ,1,0,0,121,356,"Holy Trinity Catholic High School",20071010
028,HALDIMAND--NORFOLK,61,28,3,15,13,"Simcoe",170, ,0,0,0,120,304,"Simcoe Composite School",20071010
028,HALDIMAND--NORFOLK,51,31,2,6,12,"Simcoe",171, ,0,1,0,103,316,"Holy Trinity Catholic High School",20071010
028,HALDIMAND--NORFOLK,57,14,0,4,10,"Simcoe",172, ,0,0,1,86,272,"Simcoe Composite School",20071010
028,HALDIMAND--NORFOLK,98,50,2,9,31,"Simcoe",173, ,2,0,0,192,351,"West Lynn Public School",20071010
028,HALDIMAND--NORFOLK,78,26,3,2,17,"Simcoe",174, ,1,1,0,128,311,"Holy Trinity Catholic High School",20071010
028,HALDIMAND--NORFOLK,42,19,0,5,19,"Simcoe",175, ,0,0,0,85,243,"Royal Canadian Legion Branch 79",20071010
028,HALDIMAND--NORFOLK,45,25,0,13,16,"Simcoe",176, ,0,0,1,100,260,"Simcoe Composite School",20071010
028,HALDIMAND--NORFOLK,43,11,2,2,16,"Simcoe",177, ,0,0,0,74,282,"West Lynn Public School",20071010
028,HALDIMAND--NORFOLK,76,44,3,10,9,"Simcoe",178, ,3,0,3,148,292,"West Lynn Public School",20071010
028,HALDIMAND--NORFOLK,30,20,0,1,1,"Simcoe",179s, ,1,0,0,53,65,"Cedarwood Gardens",20071010
028,HALDIMAND--NORFOLK,66,34,0,4,18,"Simcoe",180, ,1,0,0,123,285,"Simcoe Composite School",20071010
028,HALDIMAND--NORFOLK,40,17,1,7,16,"Simcoe",181, ,0,1,0,82,306,"West Lynn Public School",20071010
028,HALDIMAND--NORFOLK,6,5,0,0,1,"Simcoe",182s, ,0,0,0,12,24,"Simcoe Heritage Retirement Home",20071010
028,HALDIMAND--NORFOLK,..........................NO POLL HELD........................,,,,,"Simcoe",183s, ,0,0,0,0,0,"",20071010
028,HALDIMAND--NORFOLK,83,55,0,8,21,"Simcoe",184, ,2,0,0,169,340,"Lynndale Heights Public School",20071010
028,HALDIMAND--NORFOLK,16,15,0,3,5,"Simcoe",185, ,0,0,0,39,181,"St. Joseph's School",20071010
028,HALDIMAND--NORFOLK,56,20,0,8,23,"Simcoe",186, ,0,0,1,108,296,"St. Joseph's School",20071010
028,HALDIMAND--NORFOLK,123,84,0,12,16,"Simcoe",187, ,0,0,3,238,426,"Lynndale Heights Public School",20071010
028,HALDIMAND--NORFOLK,41,23,1,9,19,"Simcoe",188, ,0,0,0,93,221,"St. Joseph's School",20071010
028,HALDIMAND--NORFOLK,87,55,0,6,16,"Simcoe",189, ,0,0,0,164,332,"Lynndale Heights Public School",20071010
028,HALDIMAND--NORFOLK,54,29,2,12,25,"Simcoe",190, ,0,2,0,124,269,"St. Joseph's School",20071010
028,HALDIMAND--NORFOLK,99,64,1,12,21,"Simcoe",191, ,0,0,0,197,365,"Lynndale Heights Public School",20071010
028,HALDIMAND--NORFOLK,89,50,0,14,11,"Simcoe",192, ,1,1,0,166,393,"St. Joseph's School",20071010
028,HALDIMAND--NORFOLK,77,45,1,8,12,"Simcoe",193, ,0,1,0,144,294,"Calvary Pentecostal Church",20071010
028,HALDIMAND--NORFOLK,143,42,0,16,20,"Simcoe",194, ,0,0,0,221,390,"Calvary Pentecostal Church",20071010
028,HALDIMAND--NORFOLK,113,42,0,10,11,"Port Dover",195, ,0,0,0,176,303,"St. Cecilia's School",20071010
028,HALDIMAND--NORFOLK,130,34,4,10,17,"Nanticoke",196, ,0,0,0,195,365,"Nanticoke Community Centre",20071010
028,HALDIMAND--NORFOLK,167,48,2,17,49,"Selkirk",197, ,10,0,1,294,574,"Selkirk Baptist Church",20071010
028,HALDIMAND--NORFOLK,118,19,2,11,28,"Selkirk",198, ,0,1,0,179,333,"Selkirk Baptist Church",20071010
028,HALDIMAND--NORFOLK,71,26,3,11,19,"Courtland",199, ,0,0,0,130,321,"Courtland Community Centre",20071010
028,HALDIMAND--NORFOLK,115,39,2,17,11,"Courtland",200, ,0,0,0,184,321,"Courtland Community Centre",20071010
028,HALDIMAND--NORFOLK,62,27,0,6,10,"Delhi",201, ,0,0,0,105,208,"Delhi District Secondary School",20071010
028,HALDIMAND--NORFOLK,50,24,1,4,12,"Simcoe",202, ,0,0,0,91,206,"Walsh Public School",20071010
028,HALDIMAND--NORFOLK,59,21,0,10,6,"Simcoe",203, ,0,0,0,96,218,"Walsh Public School",20071010
028,HALDIMAND--NORFOLK,102,39,1,13,12,"Simcoe",204, ,2,0,0,169,424,"West Lynn Public School",20071010
028,HALDIMAND--NORFOLK,82,38,2,12,19,"Vittoria",205, ,0,0,0,153,324,"Vittoria & District Community Centre",20071010
028,HALDIMAND--NORFOLK,98,44,1,8,17,"Port Dover",206, ,0,1,0,169,286,"St. Cecilia's School",20071010
028,HALDIMAND--NORFOLK,102,65,2,15,35,"Port Dover",207, ,0,2,0,221,406,"St. Cecilia's School",20071010
028,HALDIMAND--NORFOLK,90,60,1,11,24,"Port Dover",208, ,0,0,2,188,335,"St. Cecilia's School",20071010
028,HALDIMAND--NORFOLK,87,45,3,10,26,"Port Dover",209, ,0,0,0,171,306,"Port Dover Community Centre",20071010
028,HALDIMAND--NORFOLK,47,23,0,7,10,"Port Dover",210, ,0,0,2,89,223,"Port Dover Community Centre",20071010
028,HALDIMAND--NORFOLK,84,41,3,13,20,"Port Dover",211, ,2,0,0,163,270,"Port Dover Community Centre",20071010
028,HALDIMAND--NORFOLK,8,5,1,1,0,"Port Dover",212s, ,0,0,0,15,65,"Dover Cliffs Long Term Care Centre",20071010
