ED_CODE,ED_NAME,GHOSH,MONSTER,SHINER,SUTHERLAND,THOMAS,ZETTERLUND,ZIMMER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
101,WILLOWDALE,4,8,51,0,1,4,62,"Toronto",036B, ,0,1,0,131,250,"St. Joseph's Convent",20071010
101,WILLOWDALE,10,0,41,0,0,5,62,"Toronto",037A, ,0,0,0,118,255,"Lester B. Pearson Public School",20071010
101,WILLOWDALE,3,1,31,1,0,5,55,"Toronto",037B, ,0,3,0,99,219,"Lester B. Pearson Public School",20071010
101,WILLOWDALE,18,2,93,1,0,11,84,"Toronto",038, ,3,0,0,212,386,"Pineway Public School",20071010
101,WILLOWDALE,22,2,61,0,3,3,84,"Toronto",039, ,4,2,1,182,449,"Immanuel Baptist Church",20071010
101,WILLOWDALE,..........................NO POLL HELD........................,,,,,,,"Toronto",040, ,0,0,0,0,0,"",20071010
101,WILLOWDALE,26,1,34,0,1,11,128,"Toronto",041, ,1,2,0,204,409,"Lillian Public School",20071010
101,WILLOWDALE,7,0,41,0,1,7,45,"Toronto",042A, ,0,0,0,101,218,"Brebeuf College School",20071010
101,WILLOWDALE,10,0,38,0,1,7,50,"Toronto",042B, ,0,0,1,107,261,"Brebeuf College School",20071010
101,WILLOWDALE,14,2,63,0,4,7,104,"Toronto",043, ,1,0,0,195,399,"Willowdale Pentecostal Church",20071010
101,WILLOWDALE,5,0,11,1,4,3,12,"Toronto",044s, ,0,0,0,36,175,"Extendicare Bayview",20071010
101,WILLOWDALE,6,0,46,0,0,9,53,"Toronto",045A, ,0,0,0,114,248,"Pineway Public School",20071010
101,WILLOWDALE,8,0,28,0,0,5,27,"Toronto",045B, ,1,0,0,69,199,"Pineway Public School",20071010
101,WILLOWDALE,12,1,28,0,1,3,36,"Toronto",046, ,0,0,0,81,203,"Tri-Congregational Church",20071010
101,WILLOWDALE,15,0,61,2,2,10,98,"Toronto",047, ,0,0,0,188,421,"Tri-Congregational Church",20071010
101,WILLOWDALE,22,0,38,1,3,14,69,"Toronto",048, ,2,0,0,149,380,"Tri-Congregational Church",20071010
101,WILLOWDALE,1,0,37,0,1,4,29,"Toronto",049A, ,2,1,0,75,230,"Wellspring Worship Centre",20071010
101,WILLOWDALE,0,2,36,0,0,6,51,"Toronto",049B, ,0,3,0,98,264,"Wellspring Worship Centre",20071010
101,WILLOWDALE,7,0,54,1,0,8,83,"Toronto",050, ,2,1,0,156,384,"Wellspring Worship Centre",20071010
101,WILLOWDALE,13,1,50,0,0,8,60,"Toronto",051A, ,0,0,0,132,271,"J.D. Griffin Adolescent Centre",20071010
101,WILLOWDALE,3,0,23,0,0,3,45,"Toronto",051B, ,0,0,1,75,225,"J.D. Griffin Adolescent Centre",20071010
101,WILLOWDALE,2,0,40,0,0,6,55,"Toronto",052A, ,2,1,0,106,243,"Willowdale Pentecostal Church",20071010
101,WILLOWDALE,6,0,48,0,1,7,29,"Toronto",052B, ,0,0,0,91,210,"Willowdale Pentecostal Church",20071010
101,WILLOWDALE,9,0,30,0,2,5,45,"Toronto",053A, ,0,0,0,91,213,"Blessed Trinity Catholic School",20071010
101,WILLOWDALE,6,0,56,0,1,3,47,"Toronto",053B, ,0,0,0,113,243,"Blessed Trinity Catholic School",20071010
101,WILLOWDALE,1,0,41,0,2,9,49,"Toronto",054A, ,0,0,0,102,220,"Blessed Trinity Catholic School",20071010
101,WILLOWDALE,8,0,49,0,3,9,68,"Toronto",054B, ,0,1,0,138,291,"Blessed Trinity Catholic School",20071010
101,WILLOWDALE,13,2,77,2,1,16,109,"Toronto",055, ,0,0,0,220,460,"The Prestige School",20071010
101,WILLOWDALE,6,1,10,2,2,2,48,"Toronto",056, ,2,0,0,73,227,"Tri-Congregational Church",20071010
101,WILLOWDALE,18,1,31,0,5,5,67,"Toronto",057A, ,1,0,0,128,324,"Royal Academia",20071010
101,WILLOWDALE,12,1,26,0,4,3,68,"Toronto",057B, ,3,0,0,117,307,"Royal Academia",20071010
101,WILLOWDALE,21,4,64,0,1,9,105,"Toronto",058, ,1,1,0,206,474,"J.D. Griffin Adolescent Centre",20071010
101,WILLOWDALE,10,0,14,2,4,1,49,"Toronto",059s, ,0,0,0,80,272,"Cummer Lodge Home for the Aged",20071010
101,WILLOWDALE,7,1,75,3,0,13,81,"Toronto",060, ,1,0,0,181,449,"Finch Public School",20071010
101,WILLOWDALE,10,2,59,0,2,7,63,"Toronto",061, ,0,2,1,146,351,"Blessed Trinity Catholic School",20071010
101,WILLOWDALE,23,3,96,1,3,11,100,"Toronto",062, ,0,3,0,240,470,"J.D. Griffin Adolescent Centre",20071010
101,WILLOWDALE,15,0,49,1,1,12,87,"Toronto",063, ,0,0,0,165,453,"Finch Public School",20071010
101,WILLOWDALE,2,0,6,2,0,2,27,"Toronto",064s, ,0,0,0,39,108,"Carefree Lodge",20071010
101,WILLOWDALE,15,1,88,0,1,11,84,"Toronto",065, ,0,3,0,203,396,"Forest Grove United Church",20071010
101,WILLOWDALE,17,1,100,0,0,11,90,"Toronto",066, ,0,0,0,219,397,"The Prestige School",20071010
101,WILLOWDALE,22,0,49,0,2,8,77,"Toronto",067, ,0,0,0,158,377,"Royal Academia",20071010
101,WILLOWDALE,17,1,73,0,3,14,80,"Toronto",068, ,1,0,0,189,469,"St. Antoine Daniel Catholic School",20071010
101,WILLOWDALE,..........................NO POLL HELD........................,,,,,,,"Toronto",069, ,0,0,0,0,0,"",20071010
101,WILLOWDALE,16,1,30,1,1,12,73,"Toronto",071, ,1,0,0,135,369,"Willowdale Baptist Church",20071010
101,WILLOWDALE,11,4,50,2,0,6,43,"Toronto",072, ,0,0,0,116,371,"Willowdale Baptist Church",20071010
101,WILLOWDALE,13,1,65,0,1,10,78,"Toronto",073, ,0,2,0,170,470,"Finch Public School",20071010
101,WILLOWDALE,10,1,55,0,0,13,63,"Toronto",074, ,0,0,0,142,408,"Finch Public School",20071010
101,WILLOWDALE,8,2,99,0,0,11,74,"Toronto",075, ,0,0,0,194,450,"Beth Tikvah Synagogue",20071010
101,WILLOWDALE,11,0,95,0,1,8,71,"Toronto",076, ,2,0,0,188,378,"Bayview Middle School",20071010
101,WILLOWDALE,3,0,94,0,0,19,108,"Toronto",077, ,0,1,0,225,395,"Forest Grove United Church",20071010
101,WILLOWDALE,25,2,71,0,2,14,114,"Toronto",078, ,0,1,0,229,441,"St. Antoine Daniel Catholic School",20071010
101,WILLOWDALE,6,1,56,1,1,10,98,"Toronto",079, ,0,1,0,174,433,"St. Antoine Daniel Catholic School",20071010
101,WILLOWDALE,22,0,37,0,0,6,75,"Toronto",080, ,0,0,0,140,343,"Edithvale Community Centre",20071010
101,WILLOWDALE,9,1,31,0,2,9,95,"Toronto",081, ,0,0,0,147,430,"McKee Public School",20071010
101,WILLOWDALE,4,0,17,0,0,4,50,"Toronto",082, ,0,0,0,75,243,"McKee Public School",20071010
101,WILLOWDALE,17,1,13,0,1,0,32,"Toronto",083, ,0,0,0,64,294,"Beth Tikvah Synagogue",20071010
101,WILLOWDALE,16,0,57,0,1,12,75,"Toronto",084, ,1,0,0,162,417,"Beth Tikvah Synagogue",20071010
101,WILLOWDALE,10,1,74,0,2,13,100,"Toronto",085, ,1,0,0,201,425,"Beth Tikvah Synagogue",20071010
101,WILLOWDALE,6,1,102,0,0,16,117,"Toronto",086, ,1,0,1,244,438,"Bayview Middle School",20071010
101,WILLOWDALE,6,2,95,0,2,16,104,"Toronto",087, ,0,0,0,225,459,"Bayview Middle School",20071010
101,WILLOWDALE,23,0,32,1,3,10,46,"Toronto",088, ,1,0,1,117,357,"Royal Academia",20071010
101,WILLOWDALE,14,1,45,0,1,4,56,"Toronto",089, ,5,2,0,128,365,"St. Antoine Daniel Catholic School",20071010
101,WILLOWDALE,..........................NO POLL HELD........................,,,,,,,"Toronto",090, ,0,0,0,0,0,"",20071010
101,WILLOWDALE,22,0,63,0,0,17,91,"Toronto",091, ,0,1,0,194,367,"St. Antoine Daniel Catholic School",20071010
101,WILLOWDALE,11,0,68,0,1,21,88,"Toronto",092, ,1,0,0,190,365,"Yorkview Public School",20071010
101,WILLOWDALE,15,1,66,0,0,13,71,"Toronto",093, ,0,0,0,166,386,"Edithvale Community Centre",20071010
101,WILLOWDALE,18,3,42,0,0,11,62,"Toronto",094, ,1,1,0,138,310,"Edithvale Community Centre",20071010
101,WILLOWDALE,14,1,50,0,2,17,65,"Toronto",095, ,0,0,0,149,374,"St. Edward the Confessor Church",20071010
101,WILLOWDALE,9,0,30,1,0,5,57,"Toronto",096, ,0,1,0,103,337,"Sommerset Way",20071010
101,WILLOWDALE,11,1,40,0,1,15,50,"Toronto",097, ,1,3,0,122,393,"Grandview Tower",20071010
101,WILLOWDALE,12,0,38,1,0,20,78,"Toronto",098, ,1,2,0,152,369,"McKee Public School",20071010
101,WILLOWDALE,9,1,47,0,0,17,80,"Toronto",099, ,1,0,0,155,441,"Beth Tikvah Synagogue",20071010
101,WILLOWDALE,11,0,62,0,1,7,66,"Toronto",100, ,0,0,0,147,446,"Hollywood Public School",20071010
101,WILLOWDALE,6,0,69,0,3,3,84,"Toronto",101, ,1,0,0,166,403,"Hollywood Public School",20071010
101,WILLOWDALE,11,1,75,0,1,17,85,"Toronto",102, ,3,1,0,194,381,"Bayview Middle School",20071010
101,WILLOWDALE,3,1,64,0,0,8,81,"Toronto",103, ,1,0,0,158,318,"Elkhorn Public School",20071010
101,WILLOWDALE,8,0,50,0,1,4,37,"Toronto",104A, ,5,0,0,105,289,"Elkhorn Public School",20071010
101,WILLOWDALE,3,0,38,0,0,2,41,"Toronto",104B, ,0,0,0,84,227,"Elkhorn Public School",20071010
101,WILLOWDALE,11,0,47,0,0,11,76,"Toronto",105, ,0,0,0,145,336,"Yorkview Public School",20071010
101,WILLOWDALE,30,4,62,2,1,13,74,"Toronto",106, ,0,0,0,186,400,"Yorkview Public School",20071010
101,WILLOWDALE,24,5,77,0,0,13,84,"Toronto",107, ,3,0,0,206,357,"Churchill Public School",20071010
101,WILLOWDALE,18,1,63,0,1,14,79,"Toronto",108, ,2,0,2,180,379,"Edithvale Community Centre",20071010
101,WILLOWDALE,5,3,57,0,1,13,70,"Toronto",109, ,1,0,0,150,326,"St. Edward the Confessor Church",20071010
101,WILLOWDALE,10,1,45,0,0,8,78,"Toronto",110, ,0,1,0,143,293,"McKee Public School",20071010
101,WILLOWDALE,21,1,58,2,3,13,94,"Toronto",111, ,1,0,0,193,413,"Spring Garden Baptist Church",20071010
101,WILLOWDALE,7,2,42,2,4,9,75,"Toronto",112, ,0,0,0,141,400,"Hollywood Public School",20071010
101,WILLOWDALE,10,4,91,0,2,13,77,"Toronto",113, ,0,1,0,198,437,"Hollywood Public School",20071010
101,WILLOWDALE,12,1,42,0,0,10,84,"Toronto",114, ,0,1,0,150,471,"St. Gabriel's Catholic Church",20071010
101,WILLOWDALE,14,1,107,0,0,16,78,"Toronto",115, ,0,0,0,216,435,"Elkhorn Public School",20071010
101,WILLOWDALE,15,1,31,0,5,9,50,"Toronto",116, ,0,0,0,111,237,"Elkhorn Public School",20071010
101,WILLOWDALE,5,3,50,1,0,6,57,"Toronto",117, ,1,1,0,124,327,"Elkhorn Public School",20071010
101,WILLOWDALE,..........................NO POLL HELD........................,,,,,,,"Toronto",118, ,0,0,0,0,0,"",20071010
101,WILLOWDALE,14,0,37,0,4,6,25,"Toronto",119, ,1,0,0,87,226,"Yorkview Public School",20071010
101,WILLOWDALE,26,2,64,2,2,11,86,"Toronto",120, ,2,1,0,196,414,"Yorkview Public School",20071010
101,WILLOWDALE,30,1,64,1,1,26,127,"Toronto",121, ,0,0,1,251,450,"Churchill Public School",20071010
101,WILLOWDALE,8,1,41,0,1,16,87,"Toronto",122, ,1,2,0,157,419,"Spring Garden Baptist Church",20071010
101,WILLOWDALE,11,0,49,0,1,12,74,"Toronto",123, ,1,0,0,148,362,"Hollywood Public School",20071010
101,WILLOWDALE,8,2,53,1,0,11,62,"Toronto",124, ,1,0,0,138,349,"St. Elizabeth of Hungary",20071010
101,WILLOWDALE,13,0,73,0,5,9,52,"Toronto",125, ,0,3,0,155,375,"St. Elizabeth of Hungary",20071010
101,WILLOWDALE,..........................NO POLL HELD........................,,,,,,,"Toronto",126, ,0,0,0,0,0,"",20071010
101,WILLOWDALE,5,2,38,0,1,9,57,"Toronto",127, ,3,0,0,115,325,"North York (Chinese) Baptist Church",20071010
101,WILLOWDALE,12,0,66,0,3,17,62,"Toronto",128, ,0,1,0,161,365,"North York (Chinese) Baptist Church",20071010
101,WILLOWDALE,16,0,89,1,2,20,102,"Toronto",129, ,0,2,0,232,445,"Churchill Public School",20071010
101,WILLOWDALE,11,5,51,0,0,17,69,"Toronto",130, ,4,0,0,157,336,"Willowdale Lawn Bowling Club",20071010
101,WILLOWDALE,16,1,56,0,1,13,93,"Toronto",131, ,0,0,0,180,441,"Spring Garden Baptist Church",20071010
101,WILLOWDALE,12,0,24,0,1,6,38,"Toronto",132, ,1,1,0,83,229,"Spring Garden Baptist Church",20071010
101,WILLOWDALE,7,0,30,0,1,6,71,"Toronto",133, ,0,1,0,116,286,"St. Elizabeth of Hungary",20071010
101,WILLOWDALE,14,1,39,0,0,11,71,"Toronto",134, ,0,0,0,136,330,"St. Elizabeth of Hungary",20071010
101,WILLOWDALE,11,0,46,0,1,9,50,"Toronto",135, ,0,0,0,117,288,"St. Elizabeth of Hungary",20071010
101,WILLOWDALE,13,1,89,0,0,24,81,"Toronto",136, ,1,0,0,209,367,"Churchill Public School",20071010
101,WILLOWDALE,12,1,62,1,1,21,96,"Toronto",137, ,0,0,0,194,390,"St. Edward Catholic School",20071010
101,WILLOWDALE,23,5,61,8,0,18,79,"Toronto",138, ,7,3,0,204,392,"Willowdale Lawn Bowling Club",20071010
101,WILLOWDALE,16,2,55,0,2,20,65,"Toronto",139, ,0,0,1,161,320,"Avondale Public School",20071010
101,WILLOWDALE,18,0,48,0,3,15,85,"Toronto",140, ,2,1,0,172,345,"Avondale Public School",20071010
101,WILLOWDALE,18,0,81,0,0,25,111,"Toronto",141, ,0,1,0,236,417,"St. Edward Catholic School",20071010
101,WILLOWDALE,3,1,22,0,0,0,28,"Toronto",141-1s, ,2,1,0,57,103,"Lansing Retirement Residences",20071010
101,WILLOWDALE,12,0,70,1,0,16,76,"Toronto",142, ,1,0,0,176,320,"Lansing United Church",20071010
101,WILLOWDALE,14,2,50,0,2,24,76,"Toronto",143, ,0,0,0,168,337,"Lansing United Church",20071010
101,WILLOWDALE,9,2,66,1,0,20,64,"Toronto",144, ,0,0,0,162,325,"Lansing United Church",20071010
101,WILLOWDALE,4,0,30,0,0,4,35,"Toronto",145, ,2,0,1,76,192,"Avondale Public School",20071010
101,WILLOWDALE,5,3,19,0,0,2,25,"Toronto",146, ,0,0,0,54,155,"Townhouses of Toronto Centre",20071010
101,WILLOWDALE,..........................NO POLL HELD........................,,,,,,,"Toronto",147, ,0,0,0,0,0,"",20071010
101,WILLOWDALE,10,0,39,0,1,14,75,"Toronto",148, ,0,0,0,139,274,"Townhouses of Toronto Centre",20071010
101,WILLOWDALE,16,2,35,0,3,10,91,"Toronto",149, ,0,0,0,157,287,"Townhouses of Toronto Centre",20071010
101,WILLOWDALE,16,1,43,0,2,15,40,"Toronto",150, ,1,2,0,120,272,"Avondale Public School",20071010
101,WILLOWDALE,26,1,56,1,3,19,89,"Toronto",151, ,1,1,0,197,375,"Cameron Public School",20071010
101,WILLOWDALE,14,1,71,0,0,18,67,"Toronto",152, ,1,1,0,173,277,"Cameron Public School",20071010
101,WILLOWDALE,22,0,76,2,2,19,99,"Toronto",153, ,1,0,0,221,435,"Lansing United Church",20071010
101,WILLOWDALE,15,0,18,0,1,9,38,"Toronto",154, ,0,0,0,81,190,"Avondale Public School",20071010
101,WILLOWDALE,13,4,98,0,0,30,109,"Toronto",155, ,0,0,0,254,399,"Cameron Public School",20071010
101,WILLOWDALE,30,2,67,3,5,4,120,"Toronto",400, ,8,2,0,241,383,"Cliffwood Manor",20071010
101,WILLOWDALE,9,0,34,1,1,6,74,"Toronto",401, ,5,1,0,131,328,"Vantage Recreation Centre",20071010
101,WILLOWDALE,11,0,45,0,1,12,78,"Toronto",402, ,3,1,0,151,259,"Vantage Recreation Centre",20071010
101,WILLOWDALE,13,1,91,0,1,7,79,"Toronto",403, ,0,0,0,192,347,"Gates of Bayview",20071010
101,WILLOWDALE,9,0,66,0,1,8,58,"Toronto",404, ,1,0,0,143,235,"Gates of Bayview",20071010
101,WILLOWDALE,6,2,17,1,0,1,14,"Toronto",405, ,0,1,0,42,87,"Hillmount Public School",20071010
101,WILLOWDALE,9,1,98,0,0,9,77,"Toronto",406, ,0,0,0,194,327,"Gates of Bayview",20071010
101,WILLOWDALE,3,0,85,2,4,8,71,"Toronto",407, ,2,1,0,176,361,"The Excellence",20071010
101,WILLOWDALE,3,2,118,1,1,1,47,"Toronto",408, ,1,1,0,175,279,"The Excellence",20071010
101,WILLOWDALE,3,0,117,1,2,6,63,"Toronto",409, ,4,2,0,198,319,"Skymark Place Recreation Centre",20071010
101,WILLOWDALE,7,0,87,0,2,7,135,"Toronto",410, ,1,0,0,239,406,"Skymark Place Recreation Centre",20071010
101,WILLOWDALE,6,7,82,2,3,4,71,"Toronto",411, ,4,0,0,179,278,"Seneca Towers",20071010
101,WILLOWDALE,17,1,16,0,3,16,28,"Toronto",412, ,0,0,1,82,139,"Seneca College Student Residences",20071010
101,WILLOWDALE,19,0,32,0,0,8,56,"Toronto",413, ,2,0,0,117,212,"Bayview Towers",20071010
101,WILLOWDALE,11,0,36,0,1,8,32,"Toronto",414, ,0,0,0,88,125,"Bayview Towers",20071010
101,WILLOWDALE,15,0,9,0,3,3,43,"Toronto",415, ,0,0,0,73,173,"Immanuel Baptist Church",20071010
101,WILLOWDALE,13,0,5,0,4,3,48,"Toronto",416, ,1,1,0,75,198,"Immanuel Baptist Church",20071010
101,WILLOWDALE,28,0,38,1,3,18,77,"Toronto",417, ,3,0,0,168,375,"Wedgewood Place Apartment",20071010
101,WILLOWDALE,0,44,12,0,1,10,71,"Toronto",418, ,10,0,0,148,232,"Bayview Towers",20071010
101,WILLOWDALE,12,1,21,0,2,7,37,"Toronto",419, ,0,1,0,81,204,"Blessed Trinity Catholic School",20071010
101,WILLOWDALE,10,4,35,0,1,6,45,"Toronto",420, ,3,0,0,104,207,"Bayview Towers",20071010
101,WILLOWDALE,6,0,6,0,2,6,14,"Toronto",421, ,0,0,0,34,123,"J.D. Griffin Adolescent Centre",20071010
101,WILLOWDALE,11,2,53,2,1,7,70,"Toronto",422, ,2,3,0,151,226,"Willowdale Manor",20071010
101,WILLOWDALE,12,0,46,0,5,6,33,"Toronto",423, ,0,1,1,104,237,"Blessed Trinity Catholic School",20071010
101,WILLOWDALE,8,5,103,0,0,2,67,"Toronto",424, ,3,3,0,191,308,"Palace Gate",20071010
101,WILLOWDALE,14,2,35,1,1,13,67,"Toronto",425, ,2,0,0,135,230,"Turnbury Court",20071010
101,WILLOWDALE,6,0,17,1,1,6,44,"Toronto",426, ,0,0,0,75,182,"Place Nouveau I",20071010
101,WILLOWDALE,15,2,39,1,1,5,63,"Toronto",427, ,0,1,0,127,243,"Place Nouveau II",20071010
101,WILLOWDALE,7,0,38,0,1,4,35,"Toronto",428A, ,2,0,0,87,218,"Vogue Condominiums",20071010
101,WILLOWDALE,10,1,27,0,4,8,46,"Toronto",428B, ,0,0,0,96,228,"Vogue Condominiums",20071010
101,WILLOWDALE,8,1,16,0,1,6,34,"Toronto",429, ,0,0,0,66,150,"The Park Lane I",20071010
101,WILLOWDALE,1,1,17,0,2,5,31,"Toronto",430, ,0,0,0,57,151,"The Park Lane I",20071010
101,WILLOWDALE,2,0,10,0,0,6,35,"Toronto",431, ,0,0,0,53,147,"Park Palace Shared Facility",20071010
101,WILLOWDALE,2,1,13,0,0,3,24,"Toronto",432, ,0,0,0,43,132,"Park Palace Shared Facility",20071010
101,WILLOWDALE,..........................NO POLL HELD........................,,,,,,,"Toronto",433, ,0,0,0,0,0,"",20071010
101,WILLOWDALE,6,2,13,0,0,1,21,"Toronto",434, ,0,1,0,44,133,"Park Palace Shared Facility",20071010
101,WILLOWDALE,8,2,44,1,4,5,72,"Toronto",435, ,0,1,0,137,342,"The Paramount",20071010
101,WILLOWDALE,15,3,31,0,2,6,82,"Toronto",436, ,0,2,0,141,271,"The Chicago",20071010
101,WILLOWDALE,15,0,25,0,1,8,43,"Toronto",437A, ,1,0,0,93,189,"The Galleria",20071010
101,WILLOWDALE,9,0,23,0,1,12,68,"Toronto",437B, ,1,0,1,115,209,"The Galleria",20071010
101,WILLOWDALE,..........................NO POLL HELD........................,,,,,,,"Toronto",438, ,0,0,0,0,0,"",20071010
101,WILLOWDALE,12,1,19,0,4,18,85,"Toronto",439, ,0,0,3,142,292,"Sonata",20071010
