ED_CODE,ED_NAME,BANNON,HAGAN,JACZEK,NAGY,RANSOM,REDMOND,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
059,OAK RIDGES--MARKHAM,113,10,102,18,1,0,"Stouffville",031, ,0,0,0,244,432,"Stouffville Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,135,25,96,25,0,3,"Whitchurch-Stouffville",032, ,0,1,0,285,501,"St. Brigid Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,77,15,72,24,1,1,"Schomberg",033, ,1,0,0,191,422,"Schomberg Public School",20071010
059,OAK RIDGES--MARKHAM,47,9,54,16,0,0,"Schomberg",034, ,1,0,0,127,319,"Schomberg Public School",20071010
059,OAK RIDGES--MARKHAM,67,8,71,16,8,1,"Kettleby",035, ,0,0,0,171,330,"Kettleby Pottageville Lions Community Hall",20071010
059,OAK RIDGES--MARKHAM,43,10,47,8,1,2,"Kettleby",036, ,0,0,0,111,271,"Kettleby Public School",20071010
059,OAK RIDGES--MARKHAM,79,12,64,14,0,1,"Kettleby",037, ,0,0,0,170,408,"Kettleby Public School",20071010
059,OAK RIDGES--MARKHAM,99,19,71,12,1,3,"Whitchurch-Stouffville",038, ,0,2,0,207,444,"Emmanuel International",20071010
059,OAK RIDGES--MARKHAM,78,12,105,15,0,0,"Whitchurch-Stouffville",039, ,0,0,0,210,402,"St. Mark Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,50,5,44,11,0,4,"Stouffville",040, ,0,0,0,114,217,"Stouffville Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,53,16,51,13,2,0,"Stouffville",041, ,2,0,0,137,259,"Stouffville District Secondary School",20071010
059,OAK RIDGES--MARKHAM,43,8,81,17,1,3,"Stouffville",042, ,0,0,0,153,321,"Stouffville Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,96,21,109,13,1,3,"Whitchurch-Stouffville",043, ,0,1,0,244,405,"St. Brigid Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,115,21,92,20,0,4,"Whitchurch-Stouffville",044, ,1,0,0,253,438,"St. Brigid Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,86,28,90,29,2,7,"Whitchurch-Stouffville",045, ,2,0,0,244,426,"Summitview Public School",20071010
059,OAK RIDGES--MARKHAM,100,21,82,16,1,0,"Stouffville",046, ,1,1,0,222,412,"Latcham Hall in the Park",20071010
059,OAK RIDGES--MARKHAM,101,20,88,20,3,2,"Whitchurch-Stouffville",047, ,0,1,0,235,453,"St. Brigid Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Stouffville",048, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,98,23,80,17,1,6,"Whitchurch-Stouffville",049, ,0,0,1,226,418,"Sleepy Hollow Golf & Country Club",20071010
059,OAK RIDGES--MARKHAM,163,31,118,8,1,0,"Stouffville",050, ,1,0,0,322,574,"Eastern Gate Retirement Community Centre",20071010
059,OAK RIDGES--MARKHAM,79,18,54,21,3,3,"Schomberg",051, ,0,0,0,178,368,"Schomberg Public School",20071010
059,OAK RIDGES--MARKHAM,72,14,51,13,2,3,"Schomberg",052, ,0,2,0,157,297,"Schomberg Public School",20071010
059,OAK RIDGES--MARKHAM,68,20,60,17,11,3,"Kettleby",053, ,1,2,2,184,399,"Kettleby Pottageville Lions Community Hall",20071010
059,OAK RIDGES--MARKHAM,82,15,81,22,0,0,"Whitchurch-Stouffville",054, ,1,0,0,201,476,"Whitchurch Highlands Public School",20071010
059,OAK RIDGES--MARKHAM,98,11,89,11,1,4,"Whitchurch-Stouffville",055, ,2,0,0,216,424,"St. Mark Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Whitchurch-Stouffville",056A, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,61,12,67,4,1,3,"Whitchurch-Stouffville",056B, ,0,1,0,149,302,"St. Mark Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,67,22,79,12,1,2,"Stouffville",057, ,0,0,0,183,294,"Stouffville District Secondary School",20071010
059,OAK RIDGES--MARKHAM,16,3,13,1,1,0,"Whitchurch-Stouffville",058s, ,0,0,0,34,120,"Parkview Home for the Aged",20071010
059,OAK RIDGES--MARKHAM,57,30,53,7,1,0,"Whitchurch-Stouffville",059, ,2,1,0,151,304,"St. Mark Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,83,11,74,20,0,0,"Stouffville",060, ,1,0,0,189,350,"Lebovic Leisure Centre",20071010
059,OAK RIDGES--MARKHAM,6,2,12,0,1,0,"Whitchurch-Stouffville",061s, ,0,0,0,21,35,"Buckingham Manor Rest Home",20071010
059,OAK RIDGES--MARKHAM,70,13,74,21,0,3,"Stouffville",062, ,0,0,1,182,342,"Lebovic Leisure Centre",20071010
059,OAK RIDGES--MARKHAM,19,3,38,3,0,0,"Markham",063, ,0,0,0,63,198,"Markham Missionary Church",20071010
059,OAK RIDGES--MARKHAM,169,32,140,17,1,1,"Stouffville",064, ,1,0,0,361,666,"Lebovic Leisure Centre",20071010
059,OAK RIDGES--MARKHAM,102,8,124,15,0,2,"Stouffville",065, ,0,2,0,253,444,"Lebovic Leisure Centre",20071010
059,OAK RIDGES--MARKHAM,84,16,98,23,1,4,"Stouffville",066, ,0,1,0,227,440,"Eastern Gate Retirement Community Centre",20071010
059,OAK RIDGES--MARKHAM,100,14,58,16,2,4,"Schomberg",067, ,0,0,0,194,404,"Schomberg Public School",20071010
059,OAK RIDGES--MARKHAM,6,4,11,3,1,1,"King City",068s, ,0,0,0,26,34,"King City Lodge Nursing Home",20071010
059,OAK RIDGES--MARKHAM,75,3,39,14,1,0,"King City",069, ,0,0,0,132,280,"King City Public Library",20071010
059,OAK RIDGES--MARKHAM,72,12,107,20,1,1,"Richmond Hill",070, ,0,0,0,213,462,"Oak Ridges Public School",20071010
059,OAK RIDGES--MARKHAM,77,12,116,11,2,2,"Richmond Hill",071, ,0,0,0,220,459,"Oak Ridges Public School",20071010
059,OAK RIDGES--MARKHAM,74,10,63,15,0,0,"Richmond Hill",072, ,1,0,0,163,362,"Our Lady of Annunciation Catholic School",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Richmond Hill",073, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,78,9,73,11,2,2,"Richmond Hill",074, ,1,0,0,176,441,"Lake Wilcox Public School",20071010
059,OAK RIDGES--MARKHAM,31,10,59,7,0,0,"Richmond Hill",075, ,1,1,0,109,289,"Lake Wilcox Public School",20071010
059,OAK RIDGES--MARKHAM,40,7,46,12,0,0,"Richmond Hill",076, ,2,0,0,107,286,"Lake Wilcox Public School",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Stouffville",077, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,82,19,89,15,0,0,"Stouffville",078, ,4,0,0,209,359,"Stouffville District Secondary School",20071010
059,OAK RIDGES--MARKHAM,13,3,32,2,0,0,"Markham",079, ,0,1,0,51,80,"Markham Missionary Church",20071010
059,OAK RIDGES--MARKHAM,60,14,97,24,2,0,"Kettleby",080, ,0,0,0,197,432,"Kettleby Public School",20071010
059,OAK RIDGES--MARKHAM,12,8,17,4,0,0,"King City",081, ,0,0,0,41,59,"Seneca King Residence and Conference Centre",20071010
059,OAK RIDGES--MARKHAM,64,13,84,11,1,0,"Richmond Hill",082, ,1,0,0,174,405,"Our Lady of Hope Catholic School",20071010
059,OAK RIDGES--MARKHAM,71,23,107,11,1,1,"Richmond Hill",083, ,1,1,0,216,521,"Our Lady of Hope Catholic School",20071010
059,OAK RIDGES--MARKHAM,41,19,73,13,2,2,"Richmond Hill",084, ,2,0,0,152,362,"Our Lady of Hope Catholic School",20071010
059,OAK RIDGES--MARKHAM,41,11,122,8,0,1,"Richmond Hill",085, ,2,0,0,185,411,"Our Lady of Hope Catholic School",20071010
059,OAK RIDGES--MARKHAM,60,14,64,8,2,1,"Richmond Hill",086, ,1,1,0,151,332,"Oak Ridges Public School",20071010
059,OAK RIDGES--MARKHAM,85,12,87,23,0,1,"Richmond Hill",087, ,0,1,0,209,415,"Oak Ridges Public School",20071010
059,OAK RIDGES--MARKHAM,45,20,59,14,1,2,"Richmond Hill",088, ,1,1,0,143,334,"Our Lady of Annunciation Catholic School",20071010
059,OAK RIDGES--MARKHAM,70,12,110,21,2,1,"Richmond Hill",089, ,0,0,0,216,451,"Oak Ridges Public School",20071010
059,OAK RIDGES--MARKHAM,63,17,63,18,0,0,"Richmond Hill",090, ,2,0,0,163,391,"Our Lady of Annunciation Catholic School",20071010
059,OAK RIDGES--MARKHAM,66,9,120,16,1,2,"Richmond Hill",091, ,0,0,0,214,461,"Our Lady of Annunciation Catholic School",20071010
059,OAK RIDGES--MARKHAM,89,15,104,12,0,1,"Richmond Hill",092, ,1,0,0,222,422,"Our Lady of Annunciation Catholic School",20071010
059,OAK RIDGES--MARKHAM,46,14,63,8,2,0,"Richmond Hill",093, ,7,0,0,140,361,"Our Lady of Annunciation Catholic School",20071010
059,OAK RIDGES--MARKHAM,40,15,57,10,2,2,"Richmond Hill",094, ,1,0,2,129,344,"St. Paul's United Church",20071010
059,OAK RIDGES--MARKHAM,38,14,75,20,0,0,"Richmond Hill",095, ,2,0,0,149,387,"Our Lady of Annunciation Catholic School",20071010
059,OAK RIDGES--MARKHAM,61,19,89,8,3,0,"Richmond Hill",096, ,3,0,0,183,393,"Lake Wilcox Public School",20071010
059,OAK RIDGES--MARKHAM,48,17,94,21,0,0,"Richmond Hill",097, ,0,0,0,180,418,"St. Paul's United Church",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Richmond Hill",098A, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,23,13,41,6,2,1,"Richmond Hill",098B, ,1,0,0,87,228,"Lake Wilcox Public School",20071010
059,OAK RIDGES--MARKHAM,41,9,50,11,0,0,"Richmond Hill",099, ,1,1,0,113,277,"Lake Wilcox Public School",20071010
059,OAK RIDGES--MARKHAM,117,12,46,19,1,2,"Whitchurch-Stouffville",100, ,1,1,0,199,412,"Whitchurch Highlands Public School",20071010
059,OAK RIDGES--MARKHAM,64,14,52,10,1,0,"Whitchurch-Stouffville",101, ,0,1,0,142,340,"Emmanuel International",20071010
059,OAK RIDGES--MARKHAM,53,13,45,17,0,2,"Nobleton",102, ,2,0,0,132,336,"Nobleton Senior Public School",20071010
059,OAK RIDGES--MARKHAM,94,10,107,28,1,1,"King City",103, ,0,0,0,241,455,"King City Public Library",20071010
059,OAK RIDGES--MARKHAM,46,4,48,6,3,1,"King City",104, ,1,0,0,109,346,"King City Public Library",20071010
059,OAK RIDGES--MARKHAM,21,8,46,9,1,1,"Richmond Hill",105, ,1,0,0,87,248,"Our Lady of Hope Catholic School",20071010
059,OAK RIDGES--MARKHAM,65,17,55,9,0,1,"Richmond Hill",106, ,0,0,0,147,391,"Father Frederick McGinn Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,25,12,58,3,2,1,"Richmond Hill",107, ,4,0,0,105,335,"Father Frederick McGinn Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,39,9,58,9,0,0,"Richmond Hill",108, ,0,0,0,115,330,"Father Frederick McGinn Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,59,13,72,5,2,1,"Richmond Hill",109, ,0,0,0,152,419,"Father Frederick McGinn Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,47,6,74,12,0,1,"Richmond Hill",110, ,0,0,0,140,341,"Father Frederick McGinn Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,41,16,95,9,3,4,"Richmond Hill",111, ,0,0,0,168,388,"Father Frederick McGinn Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,45,12,70,11,2,0,"Richmond Hill",112, ,1,0,0,141,436,"Father Frederick McGinn Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,73,24,75,11,1,5,"Richmond Hill",113, ,1,0,1,191,431,"Oak Ridges Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,46,11,72,13,1,1,"Richmond Hill",114, ,1,0,0,145,394,"Oak Ridges Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,70,11,75,7,1,1,"Richmond Hill",115, ,1,0,0,166,408,"Oak Ridges Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,46,5,46,9,0,0,"Richmond Hill",116, ,0,0,0,106,289,"The Summit Golf & Country Club",20071010
059,OAK RIDGES--MARKHAM,60,10,69,13,1,2,"Richmond Hill",117, ,0,0,0,155,450,"Oak Ridges Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Richmond Hill",118, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,45,10,81,14,1,0,"Richmond Hill",119, ,1,1,1,154,390,"Oak Ridges Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,64,11,40,8,1,0,"Markham",120, ,0,0,0,124,291,"Markham Missionary Church",20071010
059,OAK RIDGES--MARKHAM,31,16,62,0,1,2,"Markham",121, ,0,1,0,113,311,"Markham Missionary Church",20071010
059,OAK RIDGES--MARKHAM,68,6,59,22,1,0,"Nobleton",122, ,0,0,0,156,361,"Nobleton Senior Public School",20071010
059,OAK RIDGES--MARKHAM,70,10,64,31,3,0,"King City",123, ,0,0,0,178,370,"King City Public Library",20071010
059,OAK RIDGES--MARKHAM,98,15,83,25,2,2,"King City",124, ,0,0,0,225,441,"King City Secondary School",20071010
059,OAK RIDGES--MARKHAM,62,9,54,17,1,1,"King City",125, ,0,0,0,144,339,"King City Secondary School",20071010
059,OAK RIDGES--MARKHAM,58,20,76,14,1,1,"King City",126, ,0,1,0,171,361,"King City Secondary School",20071010
059,OAK RIDGES--MARKHAM,68,18,70,25,2,0,"King City",127, ,1,0,0,184,408,"King City Secondary School",20071010
059,OAK RIDGES--MARKHAM,44,12,44,18,5,0,"King City",128, ,0,0,0,123,286,"King City Secondary School",20071010
059,OAK RIDGES--MARKHAM,60,12,72,11,0,1,"Richmond Hill",129, ,0,0,0,156,313,"Father Frederick McGinn Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,43,4,63,11,0,1,"Richmond Hill",130, ,0,0,0,122,309,"Father Frederick McGinn Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,33,8,48,7,0,0,"Richmond Hill",131, ,0,0,0,96,314,"The Summit Golf & Country Club",20071010
059,OAK RIDGES--MARKHAM,33,7,64,6,1,0,"Richmond Hill",132, ,0,0,0,111,291,"The Summit Golf & Country Club",20071010
059,OAK RIDGES--MARKHAM,28,14,45,11,2,0,"Richmond Hill",133, ,3,0,0,103,276,"The Summit Golf & Country Club",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Richmond Hill",134, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,34,11,62,4,0,1,"Richmond Hill",135, ,0,0,0,112,360,"The Summit Golf & Country Club",20071010
059,OAK RIDGES--MARKHAM,83,1,52,6,0,1,"Richmond Hill",136, ,1,1,0,145,479,"Richmond Green Secondary School",20071010
059,OAK RIDGES--MARKHAM,19,8,50,10,1,1,"Markham",137, ,0,1,0,90,244,"Greensborough Public School",20071010
059,OAK RIDGES--MARKHAM,68,4,84,20,0,2,"King City",138, ,1,0,0,179,390,"King City Secondary School",20071010
059,OAK RIDGES--MARKHAM,78,13,99,21,4,3,"King City",139, ,1,0,0,219,453,"King City Secondary School",20071010
059,OAK RIDGES--MARKHAM,42,6,77,5,0,0,"Richmond Hill",140, ,1,3,0,134,379,"St. Marguerite d'Youville Catholic School",20071010
059,OAK RIDGES--MARKHAM,67,17,66,5,0,0,"Richmond Hill",141, ,0,0,1,156,405,"The Summit Golf & Country Club",20071010
059,OAK RIDGES--MARKHAM,47,8,69,12,0,1,"Richmond Hill",142, ,0,0,0,137,361,"St. Marguerite d'Youville Catholic School",20071010
059,OAK RIDGES--MARKHAM,56,10,100,8,1,1,"Richmond Hill",143, ,0,1,0,177,436,"St. Marguerite d'Youville Catholic School",20071010
059,OAK RIDGES--MARKHAM,55,8,71,5,2,2,"Richmond Hill",144, ,0,0,0,143,416,"St. Marguerite d'Youville Catholic School",20071010
059,OAK RIDGES--MARKHAM,62,9,92,8,1,0,"Richmond Hill",145, ,1,3,0,176,490,"Holy Trinity School",20071010
059,OAK RIDGES--MARKHAM,49,9,72,4,0,2,"Richmond Hill",146, ,0,1,0,137,413,"Holy Trinity School",20071010
059,OAK RIDGES--MARKHAM,43,11,82,9,0,1,"Richmond Hill",147, ,0,2,0,148,471,"Holy Trinity School",20071010
059,OAK RIDGES--MARKHAM,28,7,68,7,1,0,"Richmond Hill",148A, ,0,0,0,111,276,"Holy Trinity School",20071010
059,OAK RIDGES--MARKHAM,40,1,39,6,0,0,"Richmond Hill",148B, ,1,1,0,88,257,"Holy Trinity School",20071010
059,OAK RIDGES--MARKHAM,67,29,80,17,0,9,"Richmond Hill",149, ,1,1,0,204,455,"Richmond Green Secondary School",20071010
059,OAK RIDGES--MARKHAM,65,15,63,13,0,2,"Richmond Hill",150, ,0,0,0,158,493,"Richmond Green Secondary School",20071010
059,OAK RIDGES--MARKHAM,66,14,42,9,2,3,"Markham",151, ,0,1,0,137,314,"Angus Glen Community Centre",20071010
059,OAK RIDGES--MARKHAM,36,10,68,3,1,0,"Markham",152, ,0,0,0,118,308,"John McCrae Public School",20071010
059,OAK RIDGES--MARKHAM,19,10,127,3,1,3,"Markham",153, ,0,1,0,164,459,"The Olive Branch Community Church",20071010
059,OAK RIDGES--MARKHAM,22,12,61,4,0,0,"Markham",154, ,1,1,0,101,299,"John McCrae Public School",20071010
059,OAK RIDGES--MARKHAM,30,15,76,14,1,0,"Markham",155, ,0,0,0,136,364,"The Olive Branch Community Church",20071010
059,OAK RIDGES--MARKHAM,36,11,79,7,0,0,"Markham",156, ,3,0,0,136,365,"The Olive Branch Community Church",20071010
059,OAK RIDGES--MARKHAM,23,9,82,6,0,0,"Markham",157, ,0,0,0,120,311,"St. Julia Billiart Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,22,13,46,3,2,0,"Markham",158, ,0,0,0,86,198,"St. Julia Billiart Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,34,17,100,14,1,3,"Markham",159, ,0,0,0,169,392,"Brother André Catholic High School",20071010
059,OAK RIDGES--MARKHAM,38,8,107,7,0,3,"Markham",160, ,0,0,0,163,371,"St. Julia Billiart Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,39,13,106,7,0,4,"Markham",161, ,4,0,0,173,355,"St. Julia Billiart Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,42,14,122,9,1,0,"Markham",162, ,0,0,0,188,436,"St. Julia Billiart Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,46,11,135,10,1,1,"Markham",163, ,0,1,0,205,437,"Greensborough Public School",20071010
059,OAK RIDGES--MARKHAM,57,25,123,6,2,1,"Markham",164, ,1,1,0,216,472,"St. Julia Billiart Catholic Elementary School",20071010
059,OAK RIDGES--MARKHAM,27,10,82,10,1,0,"Markham",165, ,1,0,0,131,350,"Greensborough Public School",20071010
059,OAK RIDGES--MARKHAM,44,14,64,8,1,3,"Markham",166, ,0,0,0,134,339,"Greensborough Public School",20071010
059,OAK RIDGES--MARKHAM,76,8,65,29,1,1,"Nobleton",167, ,1,0,0,181,359,"Nobleton Senior Public School",20071010
059,OAK RIDGES--MARKHAM,101,8,85,17,3,1,"Nobleton",168, ,1,2,0,218,407,"Nobleton Senior Public School",20071010
059,OAK RIDGES--MARKHAM,57,12,64,12,2,2,"Nobleton",169, ,0,0,0,149,349,"Nobleton Senior Public School",20071010
059,OAK RIDGES--MARKHAM,102,19,76,10,0,2,"Nobleton",170, ,1,0,0,210,379,"Nobleton Senior Public School",20071010
059,OAK RIDGES--MARKHAM,66,8,54,19,2,0,"Nobleton",171, ,0,0,0,149,371,"Nobleton Community Recreation Centre",20071010
059,OAK RIDGES--MARKHAM,32,8,70,10,2,1,"Richmond Hill",172A, ,0,2,0,125,295,"St. Marguerite d'Youville Catholic School",20071010
059,OAK RIDGES--MARKHAM,42,5,62,10,0,0,"Richmond Hill",172B, ,0,0,0,119,280,"St. Marguerite d'Youville Catholic School",20071010
059,OAK RIDGES--MARKHAM,64,8,79,12,0,0,"Richmond Hill",173, ,0,0,0,163,374,"St. Marguerite d'Youville Catholic School",20071010
059,OAK RIDGES--MARKHAM,36,8,96,10,0,1,"Richmond Hill",174, ,0,0,0,151,425,"St. Marguerite d'Youville Catholic School",20071010
059,OAK RIDGES--MARKHAM,15,5,41,3,1,1,"Richmond Hill",175s, ,4,1,0,71,197,"Mon Sheong Long Term Care Centre",20071010
059,OAK RIDGES--MARKHAM,71,15,91,10,0,1,"Richmond Hill",176, ,0,1,1,190,468,"Richmond Hill High School",20071010
059,OAK RIDGES--MARKHAM,9,2,16,2,1,0,"Richmond Hill",177s, ,0,0,0,30,81,"Elginwood Long Term Care Centre",20071010
059,OAK RIDGES--MARKHAM,5,7,59,7,1,0,"Richmond Hill",178, ,0,0,0,79,348,"Richmond Hill High School",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Richmond Hill",179, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,82,17,112,17,0,3,"Richmond Hill",180, ,0,1,0,232,563,"Richmond Hill High School",20071010
059,OAK RIDGES--MARKHAM,47,23,134,12,0,1,"Richmond Hill",181, ,0,5,0,222,500,"H.G. Bernard Public School",20071010
059,OAK RIDGES--MARKHAM,67,17,78,14,1,2,"Richmond Hill",182, ,1,2,0,182,520,"Richmond Hill High School",20071010
059,OAK RIDGES--MARKHAM,..........................NO POLL HELD........................,,,,,,"Richmond Hill",183A, ,0,0,0,0,0,"",20071010
059,OAK RIDGES--MARKHAM,37,14,70,4,0,1,"Richmond Hill",183B, ,0,0,0,126,350,"H.G. Bernard Public School",20071010
059,OAK RIDGES--MARKHAM,110,37,219,16,5,4,"Richmond Hill",184, ,5,1,0,397,976,"Richmond Hill High School",20071010
059,OAK RIDGES--MARKHAM,39,13,51,6,1,1,"Richmond Hill",185A, ,1,1,0,113,281,"Holy Trinity School",20071010
059,OAK RIDGES--MARKHAM,40,7,53,7,0,0,"Richmond Hill",185B, ,0,0,0,107,344,"Holy Trinity School",20071010
059,OAK RIDGES--MARKHAM,51,15,104,9,2,1,"Richmond Hill",186, ,1,1,0,184,502,"Holy Trinity School",20071010
059,OAK RIDGES--MARKHAM,24,2,4,0,0,0,"Richmond Hill",187s, ,3,0,0,33,50,"Brookside-Hilltop Retirement Residence",20071010
