ED_CODE,ED_NAME,BOUDJENANE,CEOLIN,KASSIM,KORSHEL,QAADRI,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
025,ETOBICOKE NORTH,37,6,39,10,64,"Toronto",101, ,3,0,0,159,301,"Elmlea School",20071010
025,ETOBICOKE NORTH,15,0,24,0,40,"Toronto",102, ,1,0,0,80,307,"Ascot Co-operative Community Centre",20071010
025,ETOBICOKE NORTH,22,23,44,6,80,"Toronto",103, ,2,4,0,181,431,"Church of St. Paul",20071010
025,ETOBICOKE NORTH,29,9,31,8,123,"Toronto",104, ,1,1,0,202,415,"Mississauga Private School",20071010
025,ETOBICOKE NORTH,8,4,13,1,42,"Toronto",105, ,0,0,0,68,258,"Rexdale Presbyterian Senior Citizens Corporation",20071010
025,ETOBICOKE NORTH,50,27,47,14,117,"Toronto",106, ,1,1,0,257,599,"Rexdale Presbyterian Senior Citizens Corporation",20071010
025,ETOBICOKE NORTH,29,13,60,14,82,"Toronto",107, ,0,0,9,207,490,"Elmlea School",20071010
025,ETOBICOKE NORTH,30,10,55,13,56,"Toronto",108, ,2,0,0,166,324,"Elmlea School",20071010
025,ETOBICOKE NORTH,19,9,18,6,50,"Toronto",109, ,2,0,0,104,246,"Elmlea School",20071010
025,ETOBICOKE NORTH,12,4,48,15,117,"Toronto",110, ,2,1,0,199,442,"Don Bosco Catholic Secondary School",20071010
025,ETOBICOKE NORTH,14,6,65,11,120,"Toronto",111, ,3,0,0,219,414,"School of Experiential Education",20071010
025,ETOBICOKE NORTH,11,6,49,13,40,"Toronto",112, ,0,1,0,120,240,"School of Experiential Education",20071010
025,ETOBICOKE NORTH,9,2,6,4,26,"Toronto",113, ,0,0,0,47,159,"St. Maurice School",20071010
025,ETOBICOKE NORTH,10,3,27,9,62,"Toronto",114, ,1,0,0,112,278,"St. Maurice School",20071010
025,ETOBICOKE NORTH,13,6,46,6,121,"Toronto",115, ,5,2,0,199,443,"Don Bosco Catholic Secondary School",20071010
025,ETOBICOKE NORTH,28,16,30,5,102,"Toronto",116, ,3,0,0,184,375,"Don Bosco Catholic Secondary School",20071010
025,ETOBICOKE NORTH,13,6,36,10,83,"Toronto",117, ,2,0,0,150,340,"School of Experiential Education",20071010
025,ETOBICOKE NORTH,12,5,28,5,44,"Toronto",118, ,2,0,0,96,234,"School of Experiential Education",20071010
025,ETOBICOKE NORTH,34,9,66,10,67,"Toronto",119, ,0,1,1,188,387,"Martin Grove United Church",20071010
025,ETOBICOKE NORTH,28,9,36,9,112,"Toronto",120, ,0,0,1,195,403,"St. Maurice School",20071010
025,ETOBICOKE NORTH,14,3,17,4,31,"Toronto",121, ,0,0,0,69,214,"St. Maurice School",20071010
025,ETOBICOKE NORTH,17,2,38,10,54,"Toronto",122, ,0,0,0,121,338,"St. Maurice School",20071010
025,ETOBICOKE NORTH,23,3,20,6,101,"Toronto",400, ,1,1,0,155,332,"Consulate I",20071010
025,ETOBICOKE NORTH,7,4,13,1,104,"Toronto",401, ,2,0,0,131,253,"21 Markbrook Lane",20071010
025,ETOBICOKE NORTH,29,4,23,8,69,"Toronto",402, ,4,1,0,138,256,"Metro Toronto Convention Centre #919",20071010
025,ETOBICOKE NORTH,15,8,11,3,85,"Toronto",403, ,4,1,0,127,241,"Metro Toronto Convention Centre #856",20071010
025,ETOBICOKE NORTH,22,2,15,7,68,"Toronto",404, ,1,1,0,116,291,"Metro Toronto Convention Centre #928",20071010
025,ETOBICOKE NORTH,33,9,16,6,82,"Toronto",405, ,0,0,0,146,366,"Aplomb Properties",20071010
025,ETOBICOKE NORTH,11,1,6,2,63,"Toronto",406, ,1,0,0,84,215,"Frastell Property Management",20071010
025,ETOBICOKE NORTH,9,3,10,1,82,"Toronto",407, ,6,0,0,111,301,"Frastell Property Management",20071010
025,ETOBICOKE NORTH,21,5,24,3,106,"Toronto",408, ,0,0,0,159,386,"Metro Toronto Convention Centre #1061",20071010
025,ETOBICOKE NORTH,15,9,18,14,93,"Toronto",409, ,0,2,0,151,426,"Metro Toronto Convention Centre #1036",20071010
025,ETOBICOKE NORTH,24,10,30,8,133,"Toronto",410, ,4,0,0,209,454,"Metro Toronto Convention Centre #1066",20071010
025,ETOBICOKE NORTH,7,2,6,1,63,"Toronto",411, ,0,0,0,79,165,"Martella Place",20071010
025,ETOBICOKE NORTH,3,3,3,3,24,"Toronto",412, ,0,0,0,36,171,"Highfield Junior School",20071010
025,ETOBICOKE NORTH,14,6,15,6,84,"Toronto",413, ,1,0,1,127,193,"York Condominium Corporation",20071010
025,ETOBICOKE NORTH,14,1,8,7,44,"Toronto",414, ,4,1,1,80,169,"Humber Properties",20071010
025,ETOBICOKE NORTH,19,1,5,1,23,"Toronto",415, ,0,0,0,49,229,"North Albion Collegiate Site #9",20071010
025,ETOBICOKE NORTH,3,4,4,0,27,"Toronto",416, ,1,2,6,47,144,"Humber Properties",20071010
025,ETOBICOKE NORTH,28,5,16,6,100,"Toronto",417, ,0,0,0,155,343,"Humber Mills Apartments",20071010
025,ETOBICOKE NORTH,10,6,11,3,48,"Toronto",418, ,1,1,1,81,256,"St. Andrew Catholic School",20071010
025,ETOBICOKE NORTH,16,12,11,7,85,"Toronto",419, ,0,0,0,131,371,"St. Andrew Catholic School",20071010
025,ETOBICOKE NORTH,13,4,19,3,69,"Toronto",420, ,0,0,0,108,282,"46 Panorama Court",20071010
025,ETOBICOKE NORTH,17,6,16,8,68,"Toronto",421, ,2,0,1,118,306,"50 Panorama Court",20071010
025,ETOBICOKE NORTH,5,8,7,0,38,"Toronto",422, ,0,0,0,58,170,"Highfield Junior School",20071010
025,ETOBICOKE NORTH,2,0,4,4,17,"Toronto",423, ,0,0,0,27,110,"Highfield Junior School",20071010
025,ETOBICOKE NORTH,9,9,11,3,19,"Toronto",424, ,1,0,0,52,116,"Martingrove Square South",20071010
025,ETOBICOKE NORTH,4,8,11,2,82,"Toronto",425, ,0,2,0,109,199,"45 Silverstone Condominiums",20071010
025,ETOBICOKE NORTH,5,3,20,3,85,"Toronto",426, ,1,1,0,118,201,"60 Stevenson Road",20071010
025,ETOBICOKE NORTH,9,5,9,4,39,"Toronto",427, ,0,1,0,67,154,"Steven Tower Apartments",20071010
025,ETOBICOKE NORTH,11,2,8,1,75,"Toronto",428, ,1,0,0,98,312,"Toronto Community Housing",20071010
025,ETOBICOKE NORTH,12,3,30,12,44,"Toronto",429, ,1,1,0,103,169,"Comfort Living Co-operative",20071010
025,ETOBICOKE NORTH,28,12,18,7,146,"Toronto",430, ,1,3,0,215,442,"Toronto Community Housing",20071010
025,ETOBICOKE NORTH,1,3,9,3,39,"Toronto",431, ,0,0,0,55,201,"Albion Pool and Health Club",20071010
025,ETOBICOKE NORTH,12,5,23,2,41,"Toronto",432, ,2,0,0,85,138,"ACLI Etobicoke Community Homes",20071010
025,ETOBICOKE NORTH,15,1,11,4,55,"Toronto",433, ,0,0,0,86,230,"Compass Charitable Foundation",20071010
025,ETOBICOKE NORTH,9,1,8,1,25,"Toronto",434, ,0,0,0,44,106,"Compass Charitable Foundation",20071010
025,ETOBICOKE NORTH,17,0,18,3,68,"Toronto",435, ,0,0,0,106,232,"10 Humberline Drive",20071010
025,ETOBICOKE NORTH,19,9,27,5,75,"Toronto",436, ,0,0,0,135,259,"King's Terrace",20071010
025,ETOBICOKE NORTH,11,2,20,1,62,"Toronto",437, ,2,0,0,98,251,"2063 Islington Avenue",20071010
025,ETOBICOKE NORTH,..........................NO POLL HELD........................,,,,,"Toronto",438, ,0,0,0,0,0,"",20071010
025,ETOBICOKE NORTH,24,5,22,10,61,"Toronto",439, ,1,0,0,123,278,"Mansions of the Humberwood",20071010
025,ETOBICOKE NORTH,21,1,15,3,69,"Toronto",440, ,9,0,0,118,315,"Myriad Group",20071010
025,ETOBICOKE NORTH,31,8,50,4,78,"Toronto",441, ,1,1,1,174,433,"Metro Toronto Convention Centre #655",20071010
025,ETOBICOKE NORTH,20,9,41,10,57,"Toronto",442, ,1,0,0,138,331,"238 Albion Road Twin Towers",20071010
025,ETOBICOKE NORTH,24,5,26,7,83,"Toronto",443, ,4,1,1,151,436,"236 Albion Road Twin Towers",20071010
025,ETOBICOKE NORTH,8,4,15,3,34,"Toronto",444, ,0,0,0,64,167,"Ascot Co-operative Community Centre",20071010
025,ETOBICOKE NORTH,4,4,14,5,31,"Toronto",445, ,1,0,0,59,159,"Ascot Co-operative Community Centre",20071010
025,ETOBICOKE NORTH,22,3,39,7,59,"Toronto",446, ,5,1,0,136,213,"Rexdale Presbyterian Senior Citizens Corporation",20071010
025,ETOBICOKE NORTH,17,8,26,9,59,"Etobicoke",447, ,0,0,0,119,300,"Academy Place",20071010
025,ETOBICOKE NORTH,30,11,26,8,77,"Etobicoke",448, ,0,0,0,152,325,"Academy Place",20071010
025,ETOBICOKE NORTH,3,3,19,1,52,"Toronto",449, ,3,0,1,82,165,"2067 Islington Avenue",20071010
025,ETOBICOKE NORTH,7,4,63,10,77,"Toronto",450, ,3,0,0,164,222,"General Property Management",20071010
025,ETOBICOKE NORTH,7,1,21,1,41,"Toronto",451, ,2,0,0,73,188,"2063 Islington Avenue",20071010
025,ETOBICOKE NORTH,3,7,85,4,70,"Toronto",452, ,0,1,2,172,230,"General Property Management",20071010
025,ETOBICOKE NORTH,13,2,20,1,48,"Toronto",453, ,0,0,0,84,137,"Cap Reit",20071010
025,ETOBICOKE NORTH,26,8,44,2,200,"Toronto",454, ,0,0,0,280,592,"390 Dixon Road",20071010
025,ETOBICOKE NORTH,17,3,47,8,68,"Toronto",455, ,0,0,0,143,297,"Vista Property Management",20071010
025,ETOBICOKE NORTH,34,15,72,10,203,"Toronto",456, ,3,4,0,341,695,"370 Dixon Road",20071010
025,ETOBICOKE NORTH,30,4,48,12,140,"Toronto",457, ,1,1,0,236,609,"York Condominium Corporation #42",20071010
025,ETOBICOKE NORTH,16,7,27,4,68,"Toronto",458, ,3,0,0,125,277,"York Condominium Corporation #42",20071010
025,ETOBICOKE NORTH,32,9,60,3,112,"Toronto",459, ,1,0,0,217,468,"York Condominium Corporation #42",20071010
025,ETOBICOKE NORTH,85,20,336,34,317,"Rexdale",Advanced Polls /  ADV001, ,5,5,0,802,0,"Returning Office / Bureau du directeur du scrutin",20071010
025,ETOBICOKE NORTH,57,16,114,22,232,"Toronto",Advanced Polls /  ADV002, ,0,1,0,442,0,"Thistletown Multi-Service",20071010
025,ETOBICOKE NORTH,23,6,72,8,268,"Etobicoke",Advanced Polls /  ADV003, ,3,0,0,380,0,"North Kipling Community Centre",20071010
025,ETOBICOKE NORTH,35,9,138,15,119,"Etobicoke",Advanced Polls /  ADV004, ,0,2,0,318,0,"Quality Hotel & Suites",20071010
TOTALS:, ,4101,1255,5801,1312,15147, , , , , , , , , , 
