ED_CODE,ED_NAME,ARMSTRONG,HARNESS,JOLLIFFE,MCMASTER,MCNAUGHTON,VAN BOMMEL,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
040,LAMBTON--KENT--MIDDLESEX,24,1,22,2,66,72,"Lucan",039, ,1,0,0,188,370,"Lucan Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,22,2,13,4,82,79,"Ilderton",040, ,1,0,0,203,377,"Bryanston Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,7,1,20,1,47,66,"Forest",041, ,0,0,0,142,301,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,16,1,5,0,53,62,"Forest",042, ,0,0,0,137,253,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,13,2,17,2,67,76,"Forest",043, ,0,2,1,180,387,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,18,2,24,2,83,96,"Thedford",044, ,0,0,0,225,402,"Thedford-Bosanquet Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,16,0,7,8,50,75,"Thedford",045, ,1,0,0,157,328,"Thedford-Bosanquet Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,18,4,24,5,54,88,"Ailsa Craig",046, ,1,2,0,196,361,"Ailsa Craig Recreation Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,5,0,5,0,19,33,"Ailsa Craig",047s, ,0,0,0,62,121,"Craigholme",20071010
040,LAMBTON--KENT--MIDDLESEX,18,5,28,3,61,94,"Nairn",048, ,0,0,0,209,416,"East Williams Memorial Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,20,1,16,3,83,96,"Ilderton",049, ,0,0,0,219,384,"Ilderton Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,17,0,9,4,81,105,"Ilderton",050, ,8,2,0,226,375,"Bryanston Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,14,4,30,0,37,62,"Forest",051, ,1,1,0,149,341,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,7,0,17,2,51,83,"Forest",052, ,0,1,0,161,305,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,11,4,22,1,46,54,"Forest",053, ,0,0,0,138,312,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,20,0,14,1,57,63,"Forest",054, ,0,0,0,155,312,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,7,0,13,0,45,43,"Forest",055, ,0,1,0,109,250,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,3,2,3,0,18,15,"Forest",056s, ,0,1,0,42,87,"North Lambton Rest Home",20071010
040,LAMBTON--KENT--MIDDLESEX,7,0,14,1,49,57,"Forest",057, ,0,0,0,128,239,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,15,0,24,0,60,82,"Forest",058, ,0,0,0,181,302,"Royal Canadian Legion - Branch 176",20071010
040,LAMBTON--KENT--MIDDLESEX,13,1,30,3,87,87,"Arkona",059, ,1,0,0,222,393,"Arkona Seniors Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,12,0,11,3,59,98,"Parkhill",060, ,1,0,0,184,308,"Parkhill Leisure Club",20071010
040,LAMBTON--KENT--MIDDLESEX,12,1,12,2,87,128,"Nairn",061, ,0,1,0,243,462,"East Williams Memorial Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,18,1,24,6,87,114,"Ilderton",062, ,2,0,0,252,431,"Ilderton Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,15,1,18,4,75,132,"Ilderton",063, ,3,1,0,249,367,"Ilderton Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,12,0,2,2,80,89,"Ilderton",064, ,0,0,0,185,324,"Ilderton Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,26,0,20,0,64,119,"Ilderton",065, ,0,1,0,230,415,"Ilderton Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,28,1,9,1,79,105,"Ilderton",066, ,1,0,0,224,388,"Ilderton Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,39,0,29,3,97,93,"Ilderton",067, ,0,0,0,261,446,"Bryanston Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,20,0,16,1,71,79,"Arkona",068, ,1,2,0,190,406,"Arkona Seniors Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,20,0,32,1,94,109,"Ilderton",069, ,0,0,0,256,461,"Coldstream Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,26,0,22,0,80,72,"Ilderton",070, ,0,0,0,200,368,"Ilderton Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,28,1,22,1,102,129,"Arva",071, ,0,0,0,283,483,"Centennial Central Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,18,1,20,5,82,82,"Watford",072, ,0,0,0,208,410,"Watford Centennial Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,20,1,4,7,71,82,"Arkona",073, ,1,1,1,188,375,"Arkona Seniors Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,8,2,13,4,65,106,"Strathroy",074, ,1,0,0,199,327,"Adelaide Metcalfe Township Office",20071010
040,LAMBTON--KENT--MIDDLESEX,4,5,1,2,4,15,"Strathroy",075s, ,0,3,0,34,35,"Strathroy Residential Care Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,32,0,23,6,76,101,"Ilderton",076, ,0,0,0,238,414,"Coldstream Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,18,0,26,4,100,106,"Ilderton",077, ,0,0,1,255,423,"Coldstream Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,12,1,18,2,63,101,"Strathroy",078, ,0,0,0,197,390,"North Meadows Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,8,1,20,4,51,56,"Strathroy",079, ,0,0,0,140,303,"North Meadows Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,10,0,15,5,59,97,"Strathroy",080, ,1,1,0,188,365,"North Meadows Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,16,1,11,3,62,69,"Strathroy",081, ,0,0,0,162,335,"North Meadows Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,17,0,10,1,89,82,"Strathroy",082, ,0,1,0,200,411,"North Meadows Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,14,0,12,2,49,61,"Ilderton",083, ,0,0,0,138,310,"Coldstream Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,22,2,25,0,61,133,"Ilderton",084, ,0,0,0,243,434,"Coldstream Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,25,3,20,2,77,107,"Komoka",085, ,0,0,0,234,468,"Komoka Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,18,0,11,3,59,80,"Komoka",086, ,0,1,0,172,343,"Komoka Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,14,0,11,1,67,60,"Komoka",087, ,0,0,0,153,343,"Komoka Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,18,0,19,4,43,51,"Watford",088, ,1,1,0,137,280,"Watford Centennial Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,13,0,14,0,37,64,"Watford",089, ,0,0,0,128,292,"Watford Centennial Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,1,0,0,1,10,7,"Watford",090s, ,2,0,0,21,63,"Watford Quality Care Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,0,0,2,0,10,14,"Watford",091s, ,0,2,0,28,46,"Brookside Retirement Living",20071010
040,LAMBTON--KENT--MIDDLESEX,21,2,14,1,59,56,"Watford",092, ,0,1,0,154,319,"Watford Centennial Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,20,3,21,0,43,68,"Watford",094, ,0,0,0,155,281,"Watford Centennial Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,10,0,18,2,64,48,"Watford",095, ,1,0,0,143,282,"Watford Centennial Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,7,3,4,3,48,78,"Watford",096, ,0,0,0,143,262,"Watford Centennial Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,19,2,15,3,86,86,"Kerwood",097, ,2,0,0,213,340,"Kerwood Fire Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,23,2,6,5,81,87,"Strathroy",098, ,0,0,0,204,418,"North Meadows Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,2,0,2,0,29,27,"Strathroy",099s, ,0,1,0,61,155,"Strathmere Lodge",20071010
040,LAMBTON--KENT--MIDDLESEX,5,0,11,6,122,66,"Strathroy",100, ,4,1,0,215,277,"Trillium Village",20071010
040,LAMBTON--KENT--MIDDLESEX,12,0,24,1,70,129,"Strathroy",101, ,1,0,0,237,418,"Trillium Village",20071010
040,LAMBTON--KENT--MIDDLESEX,5,0,14,3,37,48,"Strathroy",102, ,4,0,0,111,262,"Trillium Village",20071010
040,LAMBTON--KENT--MIDDLESEX,8,0,8,4,46,75,"Strathroy",103, ,0,1,0,142,298,"Westmount Christian Reform Church Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,14,1,18,1,23,55,"Strathroy",104, ,1,1,0,114,259,"Royal Canadian Legion - Branch 116",20071010
040,LAMBTON--KENT--MIDDLESEX,0,0,1,0,5,8,"Strathroy",105s, ,0,0,0,14,20,"Strathroy Middlesex General Hospital",20071010
040,LAMBTON--KENT--MIDDLESEX,10,0,17,2,37,67,"Strathroy",106, ,1,0,0,134,332,"Westmount Christian Reform Church Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,3,0,21,1,44,50,"Strathroy",107, ,0,1,0,120,229,"Royal Canadian Legion - Branch 116",20071010
040,LAMBTON--KENT--MIDDLESEX,15,0,22,1,46,94,"Strathroy",108, ,1,0,0,179,359,"Royal Canadian Legion - Branch 116",20071010
040,LAMBTON--KENT--MIDDLESEX,15,1,9,2,51,58,"Strathroy",109, ,1,1,0,138,285,"Westmount Christian Reform Church Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,10,0,19,1,40,43,"Strathroy",110, ,1,1,0,115,237,"15 Centre Street Fraternal Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,8,0,18,0,36,58,"Strathroy",111, ,0,0,0,120,205,"Royal Canadian Legion - Branch 116",20071010
040,LAMBTON--KENT--MIDDLESEX,22,0,23,5,39,80,"Strathroy",112, ,1,1,0,171,359,"Royal Canadian Legion - Branch 116",20071010
040,LAMBTON--KENT--MIDDLESEX,1,1,3,1,13,19,"Strathroy",113s, ,1,0,0,39,95,"Sprucedale Care Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,9,1,12,1,17,34,"Strathroy",114, ,0,1,1,76,221,"15 Centre Street Fraternal Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,13,0,22,2,47,72,"Strathroy",115, ,2,0,0,158,358,"St. Vincent de Paul",20071010
040,LAMBTON--KENT--MIDDLESEX,5,0,18,3,38,43,"Strathroy",116, ,0,0,0,107,290,"Royal Canadian Legion - Branch 116",20071010
040,LAMBTON--KENT--MIDDLESEX,23,2,17,0,65,65,"Strathroy",117, ,0,0,0,172,337,"St. Vincent de Paul",20071010
040,LAMBTON--KENT--MIDDLESEX,17,1,22,0,58,107,"Strathroy",118, ,2,0,0,207,366,"St. Vincent de Paul",20071010
040,LAMBTON--KENT--MIDDLESEX,14,0,13,5,48,56,"Strathroy",119, ,0,0,0,136,284,"St. Vincent de Paul",20071010
040,LAMBTON--KENT--MIDDLESEX,6,1,12,4,38,37,"Strathroy",120, ,0,0,0,98,236,"Colborne Street Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,7,0,15,1,53,62,"Strathroy",121, ,1,1,0,140,283,"St. Vincent de Paul",20071010
040,LAMBTON--KENT--MIDDLESEX,9,0,24,7,39,61,"Strathroy",122, ,1,0,0,141,311,"Colborne Street Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,8,2,21,1,25,44,"Strathroy",123, ,1,1,0,103,286,"Twin Elm Estates",20071010
040,LAMBTON--KENT--MIDDLESEX,14,1,22,0,55,68,"Strathroy",124, ,0,0,0,160,334,"Colborne Street Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,6,1,22,0,39,67,"Strathroy",125, ,1,0,0,136,353,"Twin Elm Estates",20071010
040,LAMBTON--KENT--MIDDLESEX,18,1,16,3,68,103,"Strathroy",126, ,0,0,0,209,407,"East Christian Reformed Church Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,13,1,18,0,60,100,"Strathroy",127, ,1,0,0,193,366,"East Christian Reformed Church Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,16,2,24,2,87,70,"Strathroy",128, ,2,0,0,203,425,"East Christian Reformed Church Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,19,2,18,0,69,85,"Komoka",129, ,0,0,0,193,371,"Komoka Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,0,1,5,1,9,14,"Komoka",130s, ,1,1,0,32,116,"Country Terrace",20071010
040,LAMBTON--KENT--MIDDLESEX,20,0,19,2,52,94,"Komoka",131, ,1,0,0,188,329,"Komoka Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,12,0,36,0,83,95,"Komoka",132, ,1,0,0,227,364,"Komoka Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,13,0,21,1,70,62,"Komoka",133, ,0,0,0,167,349,"Komoka Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,14,0,11,0,70,77,"Komoka",134, ,0,0,1,173,348,"Komoka Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,24,1,22,1,80,91,"Komoka",135, ,0,0,0,219,417,"Komoka Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,19,1,29,1,87,89,"Strathroy",137A, ,0,0,0,226,434,"Twin Elm Estates",20071010
040,LAMBTON--KENT--MIDDLESEX,14,1,24,1,94,99,"Strathroy",137B, ,1,0,0,234,409,"Twin Elm Estates",20071010
040,LAMBTON--KENT--MIDDLESEX,15,0,30,2,67,63,"Mount Brydges",138, ,0,0,0,177,359,"Caradoc Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,14,1,24,0,55,50,"Mount Brydges",139, ,0,0,0,144,295,"Royal Canadian Legion - Branch 251",20071010
040,LAMBTON--KENT--MIDDLESEX,13,0,11,1,94,109,"Mount Brydges",140, ,1,0,0,229,432,"Caradoc Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,11,1,15,3,55,64,"Mount Brydges",141, ,0,1,0,150,326,"Caradoc Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,12,1,19,2,68,65,"Mount Brydges",143, ,1,0,0,168,384,"Royal Canadian Legion - Branch 251",20071010
040,LAMBTON--KENT--MIDDLESEX,16,0,16,1,57,98,"Mount Brydges",144, ,0,1,0,189,359,"Royal Canadian Legion - Branch 251",20071010
040,LAMBTON--KENT--MIDDLESEX,0,1,2,2,10,10,"Delaware",145s, ,0,0,0,25,103,"Middlesex Terrace Nursing Home",20071010
040,LAMBTON--KENT--MIDDLESEX,26,0,33,0,85,123,"Delaware",146, ,0,0,0,267,423,"Delaware Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,34,0,17,3,43,72,"Delaware",147, ,1,0,0,170,307,"Delaware Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,25,1,14,1,64,81,"Delaware",148, ,0,0,0,186,330,"Delaware Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,19,0,16,2,82,76,"Delaware",149, ,1,0,0,196,383,"Delaware Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,30,0,17,4,69,56,"Alvinston",150, ,0,0,0,176,324,"Brooke Central Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,15,1,9,11,67,54,"Alvinston",151, ,0,0,0,157,276,"Brooke Central Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,11,2,15,2,64,58,"Strathroy",152, ,1,0,0,153,287,"Metcalfe Central Elementary School",20071010
040,LAMBTON--KENT--MIDDLESEX,9,0,20,2,68,80,"Melbourne",153, ,0,1,0,180,403,"Melbourne Agricultural Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,20,3,34,4,70,74,"Mount Brydges",154, ,0,0,1,206,496,"South Caradoc Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,24,0,14,2,72,71,"Delaware",155, ,0,0,0,183,373,"Delaware Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,16,0,16,0,56,86,"Strathroy",156, ,0,0,0,174,331,"Metcalfe Central Elementary School",20071010
040,LAMBTON--KENT--MIDDLESEX,20,1,20,0,113,68,"Appin",157, ,1,0,0,223,432,"Appin Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,17,1,34,2,100,78,"Melbourne",158, ,1,0,0,233,389,"Melbourne Agricultural Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,3,0,13,0,1,33,"Mount Brydges",159, ,0,0,0,50,110,"South Caradoc Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,26,1,14,6,81,74,"Inwood",160, ,0,2,0,204,356,"Inwood Fire Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,44,1,14,3,53,35,"Alvinston",161, ,0,0,0,150,317,"Brooke-Alvinston Inwood Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,25,0,17,1,42,37,"Alvinston",162, ,0,0,0,122,232,"Brooke-Alvinston Inwood Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,49,0,25,6,69,81,"Alvinston",163, ,0,1,0,231,421,"Brooke-Alvinston Inwood Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,9,0,10,0,64,50,"Appin",164, ,0,0,0,133,236,"Appin Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,3,0,8,1,1,10,"Muncey",165, ,0,0,0,23,40,"Munsee-Delaware Nation - Band Office",20071010
040,LAMBTON--KENT--MIDDLESEX,7,0,24,1,2,34,"Mount Brydges",166, ,0,0,0,68,280,"South Caradoc Community Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,10,2,25,4,85,96,"Glencoe",167, ,0,0,0,222,375,"Glencoe Agriculture Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,14,0,13,0,48,36,"Glencoe",168, ,0,1,0,112,248,"Glencoe Agriculture Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,16,2,11,0,85,60,"Melbourne",169, ,0,0,0,174,303,"Melbourne Agricultural Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,9,2,18,3,117,57,"Glencoe",170, ,0,0,0,206,406,"Glencoe Agriculture Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,9,1,7,1,51,67,"Glencoe",171, ,0,0,0,136,290,"Glencoe Agriculture Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,9,1,12,2,88,78,"Glencoe",172, ,0,0,0,190,368,"Glencoe Agriculture Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,8,0,20,3,88,66,"Glencoe",173, ,0,0,0,185,363,"Glencoe Agriculture Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,20,0,18,1,85,48,"Glencoe",174, ,0,1,0,173,378,"Glencoe Agriculture Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,14,1,16,4,90,61,"Dresden",175, ,0,1,0,187,331,"Dawn Central Elementary School",20071010
040,LAMBTON--KENT--MIDDLESEX,15,2,29,2,78,53,"Dresden",176, ,0,0,0,179,329,"Dawn Central Elementary School",20071010
040,LAMBTON--KENT--MIDDLESEX,9,1,15,3,91,59,"Florence",177, ,0,0,0,178,300,"Florence Community Center",20071010
040,LAMBTON--KENT--MIDDLESEX,22,0,9,7,79,69,"Florence",178, ,0,0,0,186,337,"Florence Community Center",20071010
040,LAMBTON--KENT--MIDDLESEX,5,0,29,0,134,61,"Newbury",179, ,0,0,0,229,369,"Newbury Fire Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,8,1,22,2,102,24,"Bothwell",181, ,0,0,0,159,275,"Zone Township Central Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,9,0,18,1,110,60,"Newbury",182, ,2,0,0,200,354,"Newbury Fire Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,0,0,0,2,13,9,"Wardsville",184s, ,2,1,0,27,61,"Babcock Community Care Centre",20071010
040,LAMBTON--KENT--MIDDLESEX,7,0,14,4,91,39,"Wardsville",185, ,0,0,0,155,242,"Wardsville Masonic Hall",20071010
040,LAMBTON--KENT--MIDDLESEX,11,0,22,7,78,93,"Dresden",186, ,1,1,0,213,447,"Lambton Kent Memorial Arena",20071010
040,LAMBTON--KENT--MIDDLESEX,10,0,7,2,65,65,"Dresden",187, ,0,1,0,150,307,"Lambton Kent Memorial Arena",20071010
040,LAMBTON--KENT--MIDDLESEX,8,1,11,1,72,49,"Florence",188, ,0,2,1,145,305,"Florence Community Center",20071010
040,LAMBTON--KENT--MIDDLESEX,7,0,7,3,79,37,"Bothwell",189, ,0,0,0,133,214,"Zone Township Central Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,9,1,12,8,90,32,"Bothwell",190, ,0,0,0,152,272,"Zone Township Central Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,12,1,12,9,86,38,"Bothwell",191, ,1,2,1,162,255,"Zone Township Central Public School",20071010
040,LAMBTON--KENT--MIDDLESEX,9,1,18,2,46,64,"Wallaceburg",192, ,0,0,0,140,295,"Baldoon Golf & Country Club",20071010
040,LAMBTON--KENT--MIDDLESEX,6,0,22,5,48,73,"Wallaceburg",193, ,1,0,0,155,345,"Baldoon Golf & Country Club",20071010
040,LAMBTON--KENT--MIDDLESEX,0,0,8,1,13,11,"Wallaceburg",194s, ,0,0,0,33,96,"Fairfield Park Long Term Care",20071010
040,LAMBTON--KENT--MIDDLESEX,7,0,12,3,33,47,"Wallaceburg",195, ,0,0,0,102,227,"Christian Reform Church",20071010
