ED_CODE,ED_NAME,BARLOW,BROTEN,MURRAY,NÉMETH,SCHULMAN,WILLIAMS,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
024,ETOBICOKE--LAKESHORE,59,80,0,16,7,3,"Toronto",043, ,0,0,0,165,344,"Our Lady of Peace Catholic School (Elementary)",20071010
024,ETOBICOKE--LAKESHORE,9,13,0,1,0,0,"Toronto",044s, ,0,1,0,24,37,"Labdara Nursing Home",20071010
024,ETOBICOKE--LAKESHORE,59,106,1,24,18,0,"Toronto",045, ,0,0,0,208,396,"Fairfield Senior Centre",20071010
024,ETOBICOKE--LAKESHORE,84,97,2,20,11,1,"Toronto",046, ,0,0,0,215,340,"Fairfield Senior Centre",20071010
024,ETOBICOKE--LAKESHORE,72,114,0,17,17,6,"Toronto",047, ,1,1,2,230,385,"Royal York Road United Church",20071010
024,ETOBICOKE--LAKESHORE,96,101,2,25,21,3,"Toronto",048, ,2,1,0,251,370,"Sunnylea Junior Elementary School",20071010
024,ETOBICOKE--LAKESHORE,63,75,0,23,23,0,"Toronto",049, ,0,0,0,184,290,"Sunnylea Junior Elementary School",20071010
024,ETOBICOKE--LAKESHORE,103,111,3,21,21,4,"Toronto",050, ,2,0,0,265,447,"Parklawn Junior School",20071010
024,ETOBICOKE--LAKESHORE,17,23,2,23,1,1,"Toronto",051, ,0,0,1,68,190,"Parklawn Junior School",20071010
024,ETOBICOKE--LAKESHORE,10,23,1,12,3,1,"Toronto",052, ,0,0,0,50,180,"Parklawn Junior School",20071010
024,ETOBICOKE--LAKESHORE,18,12,2,17,4,1,"Toronto",053, ,0,0,0,54,212,"Etienne Brule Junior School",20071010
024,ETOBICOKE--LAKESHORE,21,34,3,17,11,0,"Toronto",054, ,0,0,0,86,221,"Etienne Brule Junior School",20071010
024,ETOBICOKE--LAKESHORE,16,26,0,13,7,2,"Toronto",055, ,0,0,0,64,163,"Etienne Brule Junior School",20071010
024,ETOBICOKE--LAKESHORE,23,19,0,13,10,3,"Toronto",056, ,0,0,0,68,178,"Etienne Brule Junior School",20071010
024,ETOBICOKE--LAKESHORE,27,47,0,15,7,2,"Toronto",057, ,0,0,0,98,336,"Bloorlea Middle School",20071010
024,ETOBICOKE--LAKESHORE,72,102,1,23,12,3,"Toronto",058, ,4,1,0,218,431,"Bloorlea Middle School",20071010
024,ETOBICOKE--LAKESHORE,41,49,1,18,5,1,"Toronto",059, ,0,0,0,115,245,"St. Elizabeth Catholic School",20071010
024,ETOBICOKE--LAKESHORE,48,67,1,14,16,4,"Toronto",060, ,0,0,0,150,341,"Our Lady of Peace Catholic School (Elementary)",20071010
024,ETOBICOKE--LAKESHORE,60,100,3,19,14,4,"Toronto",061, ,0,0,0,200,348,"Fairfield Senior Centre",20071010
024,ETOBICOKE--LAKESHORE,65,86,0,23,12,2,"Toronto",062, ,1,1,0,190,283,"Norseman Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,88,97,3,20,13,5,"Toronto",063, ,0,0,0,226,376,"Norseman Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,41,35,0,27,5,3,"Toronto",064, ,0,0,0,111,217,"Norseman Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,13,5,0,0,0,0,"Toronto",065s, ,1,0,0,19,82,"Ivan Franko Ukrainian Home",20071010
024,ETOBICOKE--LAKESHORE,77,116,0,16,20,3,"Toronto",066, ,0,0,0,232,361,"Parklawn Junior School",20071010
024,ETOBICOKE--LAKESHORE,77,95,0,27,21,2,"Toronto",067, ,2,1,0,225,379,"Parklawn Junior School",20071010
024,ETOBICOKE--LAKESHORE,0,26,39,2,13,11,"Toronto",068, ,1,0,0,92,216,"Parklawn Junior School",20071010
024,ETOBICOKE--LAKESHORE,15,31,0,12,9,2,"Toronto",069, ,1,0,0,70,178,"St. Mark Catholic School",20071010
024,ETOBICOKE--LAKESHORE,22,30,1,15,9,0,"Toronto",070, ,0,0,0,77,199,"Parklawn Junior School",20071010
024,ETOBICOKE--LAKESHORE,23,17,0,10,4,0,"Toronto",071, ,0,0,0,54,183,"Etienne Brule Junior School",20071010
024,ETOBICOKE--LAKESHORE,34,38,1,13,4,3,"Toronto",072, ,6,0,0,99,214,"St. Mark Catholic School",20071010
024,ETOBICOKE--LAKESHORE,24,53,1,18,7,1,"Toronto",073, ,0,0,0,104,191,"Etienne Brule Junior School",20071010
024,ETOBICOKE--LAKESHORE,14,23,1,16,4,1,"Toronto",074, ,0,0,0,59,208,"Etienne Brule Junior School",20071010
024,ETOBICOKE--LAKESHORE,40,44,1,20,14,0,"Toronto",075, ,0,0,1,120,253,"Etienne Brule Junior School",20071010
024,ETOBICOKE--LAKESHORE,45,81,0,27,14,0,"Toronto",076, ,0,0,0,167,369,"St. Mark Catholic School",20071010
024,ETOBICOKE--LAKESHORE,76,88,4,26,12,1,"Toronto",077, ,0,1,0,208,424,"St. Elizabeth Catholic School",20071010
024,ETOBICOKE--LAKESHORE,90,104,3,31,15,3,"Toronto",078A, ,2,2,0,250,551,"St. Elizabeth Catholic School",20071010
024,ETOBICOKE--LAKESHORE,62,100,1,30,14,2,"Toronto",078B, ,0,0,0,209,411,"St. Elizabeth Catholic School",20071010
024,ETOBICOKE--LAKESHORE,105,145,3,42,18,2,"Toronto",079, ,3,0,0,318,496,"Norseman Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,91,127,1,30,25,1,"Toronto",080, ,3,0,0,278,470,"Norseman Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,39,63,1,13,16,0,"Toronto",081, ,2,0,0,134,295,"Etobicoke School of the Arts",20071010
024,ETOBICOKE--LAKESHORE,50,73,1,13,12,4,"Toronto",082, ,0,0,0,153,281,"Parklawn Junior School",20071010
024,ETOBICOKE--LAKESHORE,66,94,0,30,14,3,"Toronto",083, ,1,0,0,208,416,"St. Mark Catholic School",20071010
024,ETOBICOKE--LAKESHORE,60,59,3,26,11,3,"Toronto",084, ,0,0,0,162,318,"St. Mark Catholic School",20071010
024,ETOBICOKE--LAKESHORE,39,75,0,16,14,1,"Toronto",085, ,1,0,0,146,296,"St. Mark Catholic School",20071010
024,ETOBICOKE--LAKESHORE,63,107,2,35,19,3,"Toronto",086, ,1,0,0,230,412,"St. Elizabeth Catholic School",20071010
024,ETOBICOKE--LAKESHORE,43,89,1,16,12,0,"Toronto",087A, ,0,0,0,161,323,"Fairfield Senior Centre",20071010
024,ETOBICOKE--LAKESHORE,51,73,1,19,16,1,"Toronto",087B, ,0,2,0,163,379,"Fairfield Senior Centre",20071010
024,ETOBICOKE--LAKESHORE,71,111,3,26,10,1,"Toronto",088, ,2,1,3,228,430,"Norseman Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,51,68,1,30,19,0,"Toronto",089, ,0,0,0,169,323,"Etobicoke School of the Arts",20071010
024,ETOBICOKE--LAKESHORE,52,110,2,38,18,0,"Toronto",090, ,0,0,0,220,408,"Etobicoke School of the Arts",20071010
024,ETOBICOKE--LAKESHORE,35,41,0,12,13,1,"Toronto",091, ,1,0,0,103,223,"Etobicoke School of the Arts",20071010
024,ETOBICOKE--LAKESHORE,32,82,1,10,15,1,"Toronto",092, ,1,0,0,142,309,"Etobicoke School of the Arts",20071010
024,ETOBICOKE--LAKESHORE,35,67,4,28,12,1,"Toronto",093, ,0,0,0,147,325,"Etobicoke School of the Arts",20071010
024,ETOBICOKE--LAKESHORE,56,70,2,26,11,6,"Toronto",094, ,0,0,0,171,375,"St. Louis Catholic School",20071010
024,ETOBICOKE--LAKESHORE,54,70,1,15,7,1,"Toronto",095, ,0,1,0,149,305,"St. Louis Catholic School",20071010
024,ETOBICOKE--LAKESHORE,51,97,4,16,8,1,"Toronto",096, ,0,0,2,179,434,"Holy Angels Catholic School",20071010
024,ETOBICOKE--LAKESHORE,44,105,3,18,5,0,"Toronto",097, ,3,1,0,179,338,"Holy Angels Catholic School",20071010
024,ETOBICOKE--LAKESHORE,69,116,5,30,7,1,"Toronto",098, ,1,3,0,232,434,"Holy Angels Catholic School",20071010
024,ETOBICOKE--LAKESHORE,25,73,1,18,11,3,"Toronto",099, ,3,0,0,134,312,"Holy Angels Catholic School",20071010
024,ETOBICOKE--LAKESHORE,..........................NO POLL HELD........................,,,,,,"Toronto",100, ,0,0,0,0,0,"",20071010
024,ETOBICOKE--LAKESHORE,25,58,3,12,5,0,"Toronto",101s, ,0,0,3,106,145,"Kingsway Lambton Senior Home",20071010
024,ETOBICOKE--LAKESHORE,12,32,0,8,2,0,"Toronto",102, ,1,0,0,55,116,"St. Louis Catholic School",20071010
024,ETOBICOKE--LAKESHORE,18,42,3,6,8,2,"Toronto",103, ,0,1,1,81,243,"St. Louis Catholic School",20071010
024,ETOBICOKE--LAKESHORE,33,68,1,13,5,3,"Toronto",104, ,0,1,0,124,293,"St. Louis Catholic School",20071010
024,ETOBICOKE--LAKESHORE,62,92,3,15,11,3,"Toronto",105, ,0,1,0,187,399,"George R. Gauld Junior School",20071010
024,ETOBICOKE--LAKESHORE,27,48,1,11,11,0,"Toronto",106, ,0,0,0,98,195,"George R. Gauld Junior School",20071010
024,ETOBICOKE--LAKESHORE,..........................NO POLL HELD........................,,,,,,"Toronto",108, ,0,0,0,0,0,"",20071010
024,ETOBICOKE--LAKESHORE,30,67,1,15,4,2,"Toronto",109, ,1,0,0,120,272,"Holy Angels Catholic School",20071010
024,ETOBICOKE--LAKESHORE,37,102,4,33,14,3,"Toronto",110, ,1,3,0,197,406,"Holy Angels Catholic School",20071010
024,ETOBICOKE--LAKESHORE,47,95,2,16,22,1,"Toronto",111, ,0,0,0,183,436,"Ourland Community Centre",20071010
024,ETOBICOKE--LAKESHORE,15,29,0,19,3,0,"Toronto",112, ,0,0,0,66,157,"Ourland Community Centre",20071010
024,ETOBICOKE--LAKESHORE,21,44,3,14,4,0,"Toronto",113, ,2,0,0,88,264,"Ourland Community Centre",20071010
024,ETOBICOKE--LAKESHORE,4,39,0,5,2,3,"Toronto",114, ,1,0,0,54,107,"George R. Gauld Junior School",20071010
024,ETOBICOKE--LAKESHORE,16,26,3,13,1,1,"Toronto",115, ,0,1,0,61,170,"George R. Gauld Junior School",20071010
024,ETOBICOKE--LAKESHORE,31,44,1,13,9,1,"Toronto",116, ,0,0,0,99,228,"George R. Gauld Junior School",20071010
024,ETOBICOKE--LAKESHORE,28,26,3,8,4,0,"Toronto",117, ,0,0,0,69,167,"George R. Gauld Junior School",20071010
024,ETOBICOKE--LAKESHORE,31,55,0,25,9,1,"Toronto",118, ,1,0,0,122,289,"David Hornell Junior School",20071010
024,ETOBICOKE--LAKESHORE,42,51,0,8,19,0,"Toronto",119, ,0,0,0,120,247,"Polish Alliance Hall",20071010
024,ETOBICOKE--LAKESHORE,26,39,1,10,10,0,"Toronto",120, ,2,3,0,91,210,"David Hornell Junior School",20071010
024,ETOBICOKE--LAKESHORE,67,99,0,23,13,3,"Toronto",121, ,0,0,0,205,507,"Polish Alliance Hall",20071010
024,ETOBICOKE--LAKESHORE,..........................NO POLL HELD........................,,,,,,"Toronto",122, ,0,0,0,0,0,"",20071010
024,ETOBICOKE--LAKESHORE,43,79,2,24,9,2,"Toronto",123, ,0,0,0,159,333,"Ourland Community Centre",20071010
024,ETOBICOKE--LAKESHORE,30,76,3,34,16,4,"Toronto",124, ,1,0,0,164,345,"Ourland Community Centre",20071010
024,ETOBICOKE--LAKESHORE,20,56,5,31,5,3,"Toronto",125s, ,5,0,0,125,247,"Edwards Manor",20071010
024,ETOBICOKE--LAKESHORE,29,86,7,33,5,3,"Toronto",126s, ,2,0,0,165,278,"Griggs Manor",20071010
024,ETOBICOKE--LAKESHORE,10,21,1,16,5,1,"Toronto",127s, ,0,1,0,55,108,"Griggs Manor",20071010
024,ETOBICOKE--LAKESHORE,35,44,2,20,16,1,"Toronto",128, ,1,1,0,120,259,"St. Leo Catholic School",20071010
024,ETOBICOKE--LAKESHORE,15,42,0,16,6,1,"Toronto",129, ,0,0,1,81,204,"David Hornell Junior School",20071010
024,ETOBICOKE--LAKESHORE,46,69,0,24,15,1,"Toronto",130, ,0,0,0,155,278,"St. Leo Catholic School",20071010
024,ETOBICOKE--LAKESHORE,36,65,0,28,22,2,"Toronto",131, ,0,0,0,153,307,"John English Community School",20071010
024,ETOBICOKE--LAKESHORE,14,49,0,19,17,2,"Toronto",132, ,5,0,0,106,244,"David Hornell Junior School",20071010
024,ETOBICOKE--LAKESHORE,31,48,3,16,8,2,"Toronto",133, ,0,0,0,108,242,"David Hornell Junior School",20071010
024,ETOBICOKE--LAKESHORE,16,25,1,6,4,0,"Toronto",134, ,0,0,0,52,131,"Martin Luther Church",20071010
024,ETOBICOKE--LAKESHORE,13,30,2,16,1,0,"Toronto",135, ,0,1,0,63,205,"Martin Luther Church",20071010
024,ETOBICOKE--LAKESHORE,6,17,2,8,3,1,"Toronto",136, ,0,0,0,37,108,"Polish Alliance Hall",20071010
024,ETOBICOKE--LAKESHORE,5,14,1,10,3,0,"Toronto",137, ,0,0,1,34,105,"Martin Luther Church",20071010
024,ETOBICOKE--LAKESHORE,59,87,5,14,18,1,"Toronto",138, ,1,0,0,185,392,"St. Ambrose Catholic School",20071010
024,ETOBICOKE--LAKESHORE,48,82,2,28,15,1,"Toronto",139, ,1,0,0,177,368,"Lanor Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,42,90,4,30,10,4,"Toronto",140, ,0,1,0,181,358,"Ourland Community Centre",20071010
024,ETOBICOKE--LAKESHORE,29,36,3,21,16,0,"Toronto",141, ,0,0,0,105,251,"John English Community School",20071010
024,ETOBICOKE--LAKESHORE,12,24,0,17,4,0,"Toronto",142, ,0,0,0,57,152,"Storefront Humber",20071010
024,ETOBICOKE--LAKESHORE,28,34,2,12,7,0,"Toronto",143, ,1,0,0,84,204,"Storefront Humber",20071010
024,ETOBICOKE--LAKESHORE,25,38,0,15,5,0,"Toronto",144, ,0,0,0,83,192,"Martin Luther Church",20071010
024,ETOBICOKE--LAKESHORE,8,12,2,21,5,1,"Toronto",145, ,1,0,0,50,194,"Storefront Humber",20071010
024,ETOBICOKE--LAKESHORE,6,9,3,6,1,3,"Toronto",146s, ,0,0,0,28,87,"McCall Centre",20071010
024,ETOBICOKE--LAKESHORE,12,23,1,9,2,1,"Toronto",147, ,0,0,0,48,129,"St. Ambrose Catholic School",20071010
024,ETOBICOKE--LAKESHORE,15,31,0,9,2,0,"Toronto",148s, ,0,0,0,57,76,"Jubilee Centre",20071010
024,ETOBICOKE--LAKESHORE,32,89,4,25,5,0,"Toronto",149, ,5,0,0,160,354,"Lanor Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,43,103,1,25,20,4,"Toronto",150, ,0,1,0,197,391,"Lanor Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,51,84,2,24,6,0,"Toronto",151, ,0,1,1,169,367,"Franklin Horner Community Centre",20071010
024,ETOBICOKE--LAKESHORE,37,74,3,23,10,3,"Toronto",152, ,0,3,0,153,372,"Franklin Horner Community Centre",20071010
024,ETOBICOKE--LAKESHORE,25,33,1,19,11,2,"Toronto",153, ,3,1,0,95,250,"St. Leo Catholic School",20071010
024,ETOBICOKE--LAKESHORE,41,70,1,20,12,4,"Toronto",154, ,2,0,0,150,313,"St. Leo Catholic School",20071010
024,ETOBICOKE--LAKESHORE,41,53,0,25,11,5,"Toronto",155, ,0,0,0,135,304,"St. Leo Catholic School",20071010
024,ETOBICOKE--LAKESHORE,34,65,1,16,11,3,"Toronto",156, ,0,0,0,130,309,"St. Leo Catholic School",20071010
024,ETOBICOKE--LAKESHORE,53,76,0,23,16,6,"Toronto",157, ,1,0,0,175,354,"Second Street Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,40,100,0,20,17,0,"Toronto",158, ,0,0,0,177,321,"John English Community School",20071010
024,ETOBICOKE--LAKESHORE,47,84,1,22,13,2,"Toronto",159, ,0,0,0,169,329,"John English Community School",20071010
024,ETOBICOKE--LAKESHORE,14,21,0,6,5,1,"Toronto",160, ,0,0,0,47,122,"John English Community School",20071010
024,ETOBICOKE--LAKESHORE,8,20,1,13,9,0,"Toronto",161, ,0,0,1,52,152,"John English Community School",20071010
024,ETOBICOKE--LAKESHORE,3,7,0,4,1,1,"Toronto",162s, ,1,0,0,17,53,"Trillium Health Centre",20071010
024,ETOBICOKE--LAKESHORE,64,121,1,35,15,1,"Toronto",163, ,1,0,0,238,384,"St. Ambrose Catholic School",20071010
024,ETOBICOKE--LAKESHORE,68,61,4,41,15,2,"Toronto",164, ,0,0,0,191,359,"St. Ambrose Catholic School",20071010
024,ETOBICOKE--LAKESHORE,34,51,1,12,6,0,"Toronto",165, ,0,0,0,104,292,"Lanor Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,41,58,1,17,6,2,"Toronto",166, ,0,0,0,125,254,"Lanor Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,41,80,1,34,12,0,"Toronto",167, ,0,0,0,168,324,"Franklin Horner Community Centre",20071010
024,ETOBICOKE--LAKESHORE,72,83,3,25,12,0,"Toronto",168, ,1,4,0,200,415,"Franklin Horner Community Centre",20071010
024,ETOBICOKE--LAKESHORE,48,84,1,36,19,3,"Toronto",169, ,1,0,0,192,408,"Franklin Horner Community Centre",20071010
024,ETOBICOKE--LAKESHORE,68,99,1,28,7,0,"Toronto",170, ,2,0,0,205,409,"Franklin Horner Community Centre",20071010
024,ETOBICOKE--LAKESHORE,22,36,0,12,12,1,"Toronto",171, ,1,0,0,84,222,"Royal Canadian Legion, Branch 003",20071010
024,ETOBICOKE--LAKESHORE,34,27,3,36,9,0,"Toronto",172, ,1,0,0,110,326,"Lamp (185 Fifth Street)",20071010
024,ETOBICOKE--LAKESHORE,35,66,1,31,14,2,"Toronto",173, ,0,0,1,150,323,"Lamp (185 Fifth Street)",20071010
024,ETOBICOKE--LAKESHORE,50,51,4,25,12,5,"Toronto",174, ,0,0,0,147,266,"Second Street Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,52,76,2,24,13,3,"Toronto",175, ,1,0,0,171,337,"Second Street Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,36,46,0,15,10,1,"Toronto",176, ,0,0,0,108,221,"Second Street Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,26,27,1,14,3,0,"Toronto",177, ,0,0,0,71,198,"John English Community School",20071010
024,ETOBICOKE--LAKESHORE,72,87,3,43,27,2,"Toronto",178, ,1,1,0,236,390,"Sir Adam Beck Junior School",20071010
024,ETOBICOKE--LAKESHORE,71,111,4,42,21,2,"Toronto",179, ,0,0,0,251,400,"Sir Adam Beck Junior School",20071010
024,ETOBICOKE--LAKESHORE,72,61,0,23,9,2,"Toronto",180, ,2,0,0,169,349,"Franklin Horner Community Centre",20071010
024,ETOBICOKE--LAKESHORE,37,81,2,33,13,2,"Toronto",181, ,4,0,0,172,380,"Franklin Horner Community Centre",20071010
024,ETOBICOKE--LAKESHORE,35,51,2,35,12,1,"Toronto",182, ,0,0,0,136,307,"Lakeshore Collegiate Institute",20071010
024,ETOBICOKE--LAKESHORE,24,36,0,21,3,1,"Toronto",183, ,1,0,0,86,240,"Lakeshore Collegiate Institute",20071010
024,ETOBICOKE--LAKESHORE,34,84,4,22,10,0,"Toronto",184, ,0,0,0,154,320,"Lakeshore Collegiate Institute",20071010
024,ETOBICOKE--LAKESHORE,24,40,2,20,8,1,"Toronto",185, ,0,0,0,95,253,"Royal Canadian Legion, Branch 003",20071010
024,ETOBICOKE--LAKESHORE,8,13,2,9,2,1,"Toronto",186, ,2,1,0,38,111,"Lerette Manor",20071010
024,ETOBICOKE--LAKESHORE,29,68,3,21,2,0,"Toronto",187s, ,0,0,4,127,194,"Lerette Manor",20071010
024,ETOBICOKE--LAKESHORE,8,14,0,19,3,0,"Toronto",188, ,0,0,0,44,140,"Royal Canadian Legion, Branch 003",20071010
024,ETOBICOKE--LAKESHORE,5,12,0,2,3,0,"Toronto",189, ,0,0,0,22,53,"Royal Canadian Legion, Branch 003",20071010
024,ETOBICOKE--LAKESHORE,25,29,2,12,5,0,"Toronto",190, ,0,0,0,73,165,"Royal Canadian Legion, Branch 003",20071010
024,ETOBICOKE--LAKESHORE,39,44,1,27,11,0,"Toronto",191, ,0,0,0,122,243,"St. Teresa Catholic School",20071010
024,ETOBICOKE--LAKESHORE,8,26,1,17,2,2,"Toronto",192, ,0,0,0,56,193,"Royal Canadian Legion, Branch 003",20071010
024,ETOBICOKE--LAKESHORE,46,64,0,39,11,0,"Toronto",193, ,0,0,0,160,365,"Seventh Street Junior School",20071010
024,ETOBICOKE--LAKESHORE,39,58,2,35,7,1,"Toronto",194, ,0,0,0,142,296,"Seventh Street Junior School",20071010
024,ETOBICOKE--LAKESHORE,13,51,3,11,0,2,"Toronto",195s, ,10,2,0,92,142,"Woods Manor",20071010
024,ETOBICOKE--LAKESHORE,29,54,1,26,10,0,"Toronto",196, ,0,0,0,120,232,"Seventh Street Junior School",20071010
024,ETOBICOKE--LAKESHORE,29,53,0,22,12,0,"Toronto",197, ,1,0,0,117,248,"Second Street Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,4,8,3,4,0,1,"Toronto",198s, ,1,1,0,22,46,"Garden Court Nursing Home",20071010
024,ETOBICOKE--LAKESHORE,24,44,2,21,9,0,"Toronto",199, ,0,0,0,100,189,"Second Street Junior Middle School",20071010
024,ETOBICOKE--LAKESHORE,54,107,0,36,15,0,"Toronto",200, ,0,0,0,212,376,"Sir Adam Beck Junior School",20071010
