ED_CODE,ED_NAME,ARTHURS,HALL,INSANG,LALCHAN,MOFFAT,NEWELL,PERSAUD,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
072,PICKERING--SCARBOROUGH EAST,70,39,0,7,9,0,0,"Pickering",023B, ,0,0,0,125,240,"St. Mary Catholic Secondary School",20071010
072,PICKERING--SCARBOROUGH EAST,114,74,0,9,18,1,0,"Pickering",024, ,0,0,0,216,438,"St. Mary Catholic Secondary School",20071010
072,PICKERING--SCARBOROUGH EAST,79,46,0,10,22,3,1,"Pickering",025, ,0,0,0,161,357,"St. Mary Catholic Secondary School",20071010
072,PICKERING--SCARBOROUGH EAST,91,52,0,8,17,0,0,"Pickering",026, ,0,2,0,170,355,"St. Mary Catholic Secondary School",20071010
072,PICKERING--SCARBOROUGH EAST,119,100,1,16,16,2,0,"Pickering",027, ,1,0,0,255,443,"Gandatsetiagon Public School",20071010
072,PICKERING--SCARBOROUGH EAST,125,72,2,11,30,1,0,"Pickering",028, ,1,0,0,242,448,"Gandatsetiagon Public School",20071010
072,PICKERING--SCARBOROUGH EAST,94,97,2,9,27,1,2,"Pickering",029, ,1,0,0,233,488,"Gandatsetiagon Public School",20071010
072,PICKERING--SCARBOROUGH EAST,76,111,1,18,14,1,0,"Pickering",030, ,1,0,0,222,453,"William Dunbar Public School",20071010
072,PICKERING--SCARBOROUGH EAST,106,58,2,19,27,2,1,"Pickering",031, ,1,0,0,216,446,"William Dunbar Public School",20071010
072,PICKERING--SCARBOROUGH EAST,109,79,2,13,18,4,0,"Pickering",032, ,0,0,0,225,457,"Dunbarton-Fairport United Church of Canada",20071010
072,PICKERING--SCARBOROUGH EAST,125,92,1,24,24,1,3,"Pickering",033, ,1,0,0,271,459,"Vaughan Willard Public School",20071010
072,PICKERING--SCARBOROUGH EAST,91,53,0,20,15,1,1,"Pickering",034, ,0,2,0,183,383,"Vaughan Willard Public School",20071010
072,PICKERING--SCARBOROUGH EAST,63,43,2,13,18,3,1,"Pickering",035, ,5,0,1,149,370,"Bayview Heights Public School",20071010
072,PICKERING--SCARBOROUGH EAST,76,40,0,10,13,1,2,"Pickering",036, ,0,0,0,142,327,"Westcreek Public School",20071010
072,PICKERING--SCARBOROUGH EAST,80,59,2,19,19,1,1,"Pickering",037, ,3,0,0,184,393,"Westcreek Public School",20071010
072,PICKERING--SCARBOROUGH EAST,83,38,0,4,14,3,2,"Pickering",038, ,0,1,0,145,299,"Westcreek Public School",20071010
072,PICKERING--SCARBOROUGH EAST,116,73,0,14,15,1,0,"Pickering",039, ,1,0,0,220,402,"Altona Forest Public School",20071010
072,PICKERING--SCARBOROUGH EAST,143,61,2,6,29,1,0,"Pickering",040, ,3,1,0,246,478,"St. Mary Catholic Secondary School",20071010
072,PICKERING--SCARBOROUGH EAST,109,75,1,4,23,1,0,"Pickering",041, ,0,1,0,214,427,"Highbush Public School",20071010
072,PICKERING--SCARBOROUGH EAST,94,88,2,18,16,3,0,"Pickering",042, ,1,2,0,224,447,"St. Mary Catholic Secondary School",20071010
072,PICKERING--SCARBOROUGH EAST,94,73,0,21,19,0,1,"Pickering",043, ,0,1,1,210,410,"Highbush Public School",20071010
072,PICKERING--SCARBOROUGH EAST,77,33,1,7,13,1,0,"Pickering",044A, ,0,0,0,132,261,"St. Marguerite Bourgeoys Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,79,35,2,9,15,1,1,"Pickering",044B, ,0,0,0,142,267,"St. Marguerite Bourgeoys Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,95,63,2,17,14,0,3,"Pickering",045, ,0,1,0,195,371,"St. Marguerite Bourgeoys Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,117,92,2,21,31,0,0,"Pickering",046, ,0,1,0,264,485,"St. Marguerite Bourgeoys Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,101,66,4,13,19,2,1,"Pickering",047, ,0,0,0,206,433,"St. Marguerite Bourgeoys Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,90,99,2,17,29,1,2,"Pickering",048, ,0,0,1,241,466,"William Dunbar Public School",20071010
072,PICKERING--SCARBOROUGH EAST,97,69,0,10,19,1,0,"Pickering",049, ,0,0,1,197,454,"Dunbarton-Fairport United Church of Canada",20071010
072,PICKERING--SCARBOROUGH EAST,59,34,1,12,19,1,2,"Pickering",050, ,0,0,0,128,332,"Bayview Heights Public School",20071010
072,PICKERING--SCARBOROUGH EAST,67,47,0,17,36,1,1,"Pickering",051, ,0,1,0,170,372,"Bayview Heights Public School",20071010
072,PICKERING--SCARBOROUGH EAST,89,47,2,17,38,2,0,"Pickering",052, ,1,0,0,196,426,"Holy Redeemer Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,77,65,1,16,25,5,0,"Pickering",053, ,0,0,0,189,403,"Bayview Heights Public School",20071010
072,PICKERING--SCARBOROUGH EAST,62,60,2,19,18,1,1,"Pickering",054, ,1,0,0,164,373,"Sir John A. Macdonald Public School",20071010
072,PICKERING--SCARBOROUGH EAST,70,78,1,20,30,2,1,"Pickering",055, ,0,0,0,202,431,"Sir John A. Macdonald Public School",20071010
072,PICKERING--SCARBOROUGH EAST,6,5,0,0,1,1,0,"Pickering",056s, ,0,2,0,15,113,"Bay Ridges Long Term Care Centre",20071010
072,PICKERING--SCARBOROUGH EAST,72,46,1,13,21,1,0,"Pickering",057, ,0,1,0,155,345,"St. Monica Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,98,74,2,8,24,4,1,"Pickering",058, ,0,0,1,212,379,"St. Monica Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,108,67,0,7,18,1,0,"Pickering",059, ,0,0,0,201,411,"Westcreek Public School",20071010
072,PICKERING--SCARBOROUGH EAST,115,48,1,9,15,2,1,"Pickering",060, ,0,0,0,191,387,"Westcreek Public School",20071010
072,PICKERING--SCARBOROUGH EAST,125,42,0,6,11,0,0,"Pickering",061, ,0,0,0,184,394,"Westcreek Public School",20071010
072,PICKERING--SCARBOROUGH EAST,68,56,1,9,22,0,1,"Pickering",062, ,0,0,0,157,337,"Highbush Public School",20071010
072,PICKERING--SCARBOROUGH EAST,98,45,0,11,12,0,1,"Pickering",063, ,0,0,0,167,347,"Highbush Public School",20071010
072,PICKERING--SCARBOROUGH EAST,75,51,4,8,11,1,3,"Pickering",064, ,0,0,0,153,334,"Highbush Public School",20071010
072,PICKERING--SCARBOROUGH EAST,65,41,1,6,7,0,0,"Pickering",065A, ,1,0,0,121,268,"Highbush Public School",20071010
072,PICKERING--SCARBOROUGH EAST,58,33,0,9,12,0,0,"Pickering",065B, ,0,1,1,114,239,"Highbush Public School",20071010
072,PICKERING--SCARBOROUGH EAST,62,46,1,7,11,1,0,"Pickering",066A, ,0,0,0,128,285,"Dunbarton High School",20071010
072,PICKERING--SCARBOROUGH EAST,68,30,2,5,11,2,1,"Pickering",066B, ,0,0,0,119,271,"Dunbarton High School",20071010
072,PICKERING--SCARBOROUGH EAST,58,38,2,3,5,0,0,"Pickering",067A, ,1,0,0,107,262,"St. Marguerite Bourgeoys Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,50,31,0,3,9,0,0,"Pickering",067B, ,1,0,0,94,261,"St. Marguerite Bourgeoys Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,80,50,1,16,15,0,0,"Pickering",068, ,2,0,0,164,441,"Dunbarton High School",20071010
072,PICKERING--SCARBOROUGH EAST,76,76,1,15,29,0,0,"Pickering",069, ,0,0,0,197,421,"Frenchman's Bay Public School",20071010
072,PICKERING--SCARBOROUGH EAST,93,80,0,10,29,2,0,"Pickering",070, ,0,0,0,214,417,"Westshore Community Centre",20071010
072,PICKERING--SCARBOROUGH EAST,64,44,2,12,20,0,1,"Pickering",071A, ,1,0,0,144,300,"Westshore Community Centre",20071010
072,PICKERING--SCARBOROUGH EAST,64,44,0,14,26,0,2,"Pickering",071B, ,2,0,0,152,306,"Westshore Community Centre",20071010
072,PICKERING--SCARBOROUGH EAST,61,54,0,25,23,1,2,"Pickering",072, ,3,0,0,169,364,"Holy Redeemer Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,73,65,1,14,30,2,0,"Pickering",073, ,2,0,0,187,373,"Holy Redeemer Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,66,77,0,17,22,3,2,"Pickering",074, ,0,0,1,188,357,"Holy Redeemer Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,89,75,3,15,29,0,1,"Pickering",075, ,0,0,0,212,432,"Sir John A. Macdonald Public School",20071010
072,PICKERING--SCARBOROUGH EAST,74,94,0,20,26,2,1,"Pickering",076, ,1,0,2,220,423,"Sir John A. Macdonald Public School",20071010
072,PICKERING--SCARBOROUGH EAST,74,65,1,10,28,1,0,"Pickering",077, ,1,0,0,180,394,"St. Monica Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,110,43,0,6,15,0,0,"Pickering",078, ,0,1,0,175,441,"St. Monica Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,76,41,3,7,14,0,0,"Pickering",079A, ,2,0,0,143,265,"Elizabeth B. Phin Public School",20071010
072,PICKERING--SCARBOROUGH EAST,74,57,0,3,13,0,0,"Pickering",079B, ,0,0,0,147,270,"Elizabeth B. Phin Public School",20071010
072,PICKERING--SCARBOROUGH EAST,70,66,0,13,14,1,0,"Pickering",080, ,0,0,0,164,418,"Dunbarton High School",20071010
072,PICKERING--SCARBOROUGH EAST,90,51,3,25,25,8,0,"Pickering",081, ,0,0,0,202,495,"Dunbarton High School",20071010
072,PICKERING--SCARBOROUGH EAST,88,59,3,20,22,0,3,"Pickering",082, ,4,0,0,199,396,"Fairport Beach Public School",20071010
072,PICKERING--SCARBOROUGH EAST,71,63,3,16,29,1,0,"Pickering",083, ,1,0,0,184,391,"Fairport Beach Public School",20071010
072,PICKERING--SCARBOROUGH EAST,87,73,1,17,14,0,0,"Pickering",084, ,8,0,0,200,401,"Frenchman's Bay Public School",20071010
072,PICKERING--SCARBOROUGH EAST,110,85,1,19,18,4,1,"Pickering",085, ,0,0,0,238,425,"Frenchman's Bay Public School",20071010
072,PICKERING--SCARBOROUGH EAST,69,74,1,17,33,2,0,"Pickering",086, ,0,2,0,198,392,"Frenchman's Bay Public School",20071010
072,PICKERING--SCARBOROUGH EAST,75,52,1,19,18,1,4,"Pickering",087, ,0,0,0,170,352,"Holy Redeemer Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,60,25,2,6,20,1,0,"Toronto",088A, ,0,0,0,114,257,"Chief Dan George Public School",20071010
072,PICKERING--SCARBOROUGH EAST,48,34,4,7,19,3,0,"Toronto",088B, ,4,0,1,120,247,"Chief Dan George Public School",20071010
072,PICKERING--SCARBOROUGH EAST,112,76,4,9,21,2,1,"Toronto",089, ,2,0,0,227,504,"Rouge Valley Public School",20071010
072,PICKERING--SCARBOROUGH EAST,120,97,4,14,16,1,0,"Pickering",090, ,0,0,0,252,482,"St. Monica Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,108,101,0,15,28,1,1,"Pickering",091, ,0,0,0,254,461,"Elizabeth B. Phin Public School",20071010
072,PICKERING--SCARBOROUGH EAST,98,73,1,6,18,0,2,"Pickering",092, ,3,0,0,201,394,"Elizabeth B. Phin Public School",20071010
072,PICKERING--SCARBOROUGH EAST,91,79,3,13,21,0,1,"Pickering",093, ,11,0,0,219,467,"Rosebank Road Public School",20071010
072,PICKERING--SCARBOROUGH EAST,123,76,0,30,22,1,1,"Pickering",094, ,0,0,0,253,409,"Rosebank Road Public School",20071010
072,PICKERING--SCARBOROUGH EAST,74,42,2,16,31,0,2,"Pickering",095, ,2,1,0,170,321,"Fairport Beach Public School",20071010
072,PICKERING--SCARBOROUGH EAST,85,66,1,20,27,3,1,"Pickering",096A, ,2,0,1,206,344,"Fairport Beach Public School",20071010
072,PICKERING--SCARBOROUGH EAST,83,51,2,17,21,0,0,"Pickering",096B, ,4,0,1,179,325,"Fairport Beach Public School",20071010
072,PICKERING--SCARBOROUGH EAST,30,19,2,4,7,0,0,"Toronto",097s, ,0,1,1,64,184,"Extendicare",20071010
072,PICKERING--SCARBOROUGH EAST,72,16,3,3,19,1,0,"Toronto",098A, ,1,1,0,116,265,"St. Jean de Brebeuf Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,86,20,5,4,14,1,0,"Toronto",098B, ,0,2,0,132,284,"St. Jean de Brebeuf Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,59,25,2,5,13,1,2,"Toronto",099A, ,1,1,0,109,231,"St. Jean de Brebeuf Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,51,43,3,6,16,0,1,"Toronto",099B, ,0,1,1,122,249,"St. Jean de Brebeuf Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,132,33,2,10,31,0,0,"Toronto",100, ,1,0,0,209,457,"St. Jean de Brebeuf Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,119,40,1,13,23,2,2,"Toronto",101, ,2,0,0,202,441,"St. Jean de Brebeuf Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,116,45,2,13,48,0,1,"Toronto",102, ,2,2,0,229,500,"Chief Dan George Public School",20071010
072,PICKERING--SCARBOROUGH EAST,40,22,2,10,12,0,0,"Toronto",103, ,4,0,0,90,296,"Chief Dan George Public School",20071010
072,PICKERING--SCARBOROUGH EAST,20,18,0,0,7,0,0,"Toronto",104, ,0,0,0,45,172,"Chief Dan George Public School",20071010
072,PICKERING--SCARBOROUGH EAST,103,41,6,7,20,1,1,"Toronto",105, ,2,2,0,183,389,"Chief Dan George Public School",20071010
072,PICKERING--SCARBOROUGH EAST,70,28,0,2,9,4,0,"Toronto",106A, ,0,0,0,113,277,"Rouge Valley Public School",20071010
072,PICKERING--SCARBOROUGH EAST,77,20,3,1,14,2,0,"Toronto",106B, ,0,1,0,118,253,"Rouge Valley Public School",20071010
072,PICKERING--SCARBOROUGH EAST,128,49,7,9,30,1,0,"Toronto",107, ,1,0,0,225,484,"Rouge Valley Public School",20071010
072,PICKERING--SCARBOROUGH EAST,92,93,4,20,28,3,3,"Toronto",108, ,3,0,0,246,387,"West Rouge Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,73,96,1,25,16,2,0,"Pickering",109, ,1,0,0,214,427,"Rosebank Road Public School",20071010
072,PICKERING--SCARBOROUGH EAST,96,96,1,20,23,1,4,"Pickering",110, ,0,1,0,242,416,"Rosebank Road Public School",20071010
072,PICKERING--SCARBOROUGH EAST,102,71,5,9,24,2,1,"Pickering",111, ,1,0,1,216,435,"Fairport Beach Public School",20071010
072,PICKERING--SCARBOROUGH EAST,132,33,2,12,27,2,2,"Toronto",112, ,11,1,0,222,447,"St. Jean de Brebeuf Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,93,21,3,3,12,0,1,"Toronto",113A, ,0,1,0,134,270,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,59,12,3,8,18,1,0,"Toronto",113B, ,0,2,0,103,276,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,100,50,0,8,24,1,2,"Toronto",114, ,0,0,0,185,434,"Cardinal Léger Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,121,42,3,8,25,3,4,"Toronto",115, ,2,1,0,209,460,"Cardinal Léger Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,63,14,4,4,12,2,2,"Toronto",116A, ,2,0,0,103,237,"Meadowvale Public School",20071010
072,PICKERING--SCARBOROUGH EAST,64,31,0,9,23,1,0,"Toronto",116B, ,0,0,0,128,269,"Meadowvale Public School",20071010
072,PICKERING--SCARBOROUGH EAST,101,27,1,2,19,1,2,"Toronto",117A, ,0,0,0,153,306,"Meadowvale Public School",20071010
072,PICKERING--SCARBOROUGH EAST,108,11,1,7,27,2,6,"Toronto",117B, ,0,0,0,162,302,"Meadowvale Public School",20071010
072,PICKERING--SCARBOROUGH EAST,62,15,0,2,12,0,0,"Toronto",118A, ,0,1,0,92,235,"Rouge Valley Public School",20071010
072,PICKERING--SCARBOROUGH EAST,74,22,2,8,13,0,1,"Toronto",118B, ,1,1,0,122,269,"Rouge Valley Public School",20071010
072,PICKERING--SCARBOROUGH EAST,53,15,3,6,26,2,0,"Toronto",119, ,0,1,0,106,242,"Rouge Valley Public School",20071010
072,PICKERING--SCARBOROUGH EAST,105,97,1,18,29,0,1,"Toronto",120, ,0,0,0,251,479,"West Rouge Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,5,1,2,1,1,0,1,"Toronto",121s, ,0,1,0,12,113,"Altamont Nursing Home",20071010
072,PICKERING--SCARBOROUGH EAST,86,66,1,21,21,1,0,"Toronto",122, ,1,0,0,197,357,"West Rouge Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,66,76,1,15,24,0,0,"Pickering",123, ,0,1,0,183,377,"Rosebank Road Public School",20071010
072,PICKERING--SCARBOROUGH EAST,......................COMBINED WITH POLL 125A ....................,,,,,,,"Pickering",124s, ,,,,,,"Abbeylawn Manor",20071010
072,PICKERING--SCARBOROUGH EAST,76,27,4,4,9,2,0,"Toronto",125A, ,2,0,0,124,275,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,78,24,1,2,17,3,0,"Toronto",125B, ,0,0,0,125,277,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,68,26,0,4,19,0,1,"Toronto",126A, ,2,1,0,121,244,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,76,25,4,1,14,1,0,"Toronto",126B, ,0,0,0,121,257,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,76,23,2,10,16,1,0,"Toronto",127A, ,0,1,0,129,268,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,75,39,1,8,17,0,0,"Toronto",127B, ,1,1,0,142,268,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,93,26,0,6,10,1,1,"Toronto",128A, ,1,0,0,138,301,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,90,38,0,5,17,0,0,"Toronto",128B, ,0,0,0,150,301,"Morrish Public School",20071010
072,PICKERING--SCARBOROUGH EAST,149,58,5,8,36,2,0,"Toronto",129, ,1,0,0,259,488,"Cardinal Léger Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,83,34,0,3,18,0,0,"Toronto",130A, ,0,0,0,138,280,"Cardinal Léger Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,90,24,2,7,19,0,0,"Toronto",130B, ,1,0,0,143,258,"Cardinal Léger Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,62,35,1,8,12,2,1,"Toronto",131A, ,0,2,0,123,257,"Meadowvale Public School",20071010
072,PICKERING--SCARBOROUGH EAST,54,28,2,7,8,0,0,"Toronto",131B, ,1,0,0,100,247,"Meadowvale Public School",20071010
072,PICKERING--SCARBOROUGH EAST,76,50,0,6,11,0,0,"Toronto",132A, ,0,0,0,143,316,"Salvation Army- West Hill",20071010
072,PICKERING--SCARBOROUGH EAST,61,42,3,7,18,1,1,"Toronto",132B, ,0,0,0,133,301,"Salvation Army- West Hill",20071010
072,PICKERING--SCARBOROUGH EAST,82,80,2,16,32,1,2,"Toronto",133, ,1,0,0,216,441,"Meadowvale Public School",20071010
072,PICKERING--SCARBOROUGH EAST,63,60,1,6,13,0,0,"Toronto",134A, ,0,0,0,143,272,"St. Brendan Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,64,47,0,11,9,2,0,"Toronto",134B, ,0,0,0,133,238,"St. Brendan Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,108,76,2,8,16,1,0,"Toronto",135, ,0,0,0,211,433,"Centennial Road Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,70,29,3,9,17,1,1,"Toronto",136, ,0,1,0,131,336,"Centennial Road Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,125,80,1,15,15,2,0,"Toronto",137, ,0,1,0,239,442,"Centennial Road Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,94,82,1,31,22,0,1,"Toronto",138, ,1,0,0,232,444,"William G. Davis Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,82,92,2,13,32,0,0,"Toronto",139, ,4,1,0,226,392,"West Rouge Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,70,65,1,7,21,0,0,"Toronto",140A, ,1,0,0,165,272,"West Rouge Community Centre",20071010
072,PICKERING--SCARBOROUGH EAST,75,69,1,15,18,3,1,"Toronto",140B, ,0,0,0,182,284,"West Rouge Community Centre",20071010
072,PICKERING--SCARBOROUGH EAST,108,76,5,16,32,1,2,"Toronto",141, ,0,1,0,241,456,"West Rouge Community Centre",20071010
072,PICKERING--SCARBOROUGH EAST,111,100,1,14,28,3,0,"Toronto",142, ,0,0,0,257,452,"West Rouge Community Centre",20071010
072,PICKERING--SCARBOROUGH EAST,116,85,5,14,33,1,0,"Toronto",143, ,1,1,0,256,453,"Highland Creek Public School",20071010
072,PICKERING--SCARBOROUGH EAST,121,76,5,14,28,3,6,"Toronto",144, ,1,0,0,254,451,"Highland Creek Public School",20071010
072,PICKERING--SCARBOROUGH EAST,107,76,4,10,25,1,1,"Toronto",145, ,0,0,0,224,456,"Highland Creek Public School",20071010
072,PICKERING--SCARBOROUGH EAST,63,31,0,4,9,2,0,"Toronto",146A, ,2,0,0,111,257,"Salvation Army- West Hill",20071010
072,PICKERING--SCARBOROUGH EAST,64,46,4,6,22,0,1,"Toronto",146B, ,0,1,0,144,281,"Salvation Army- West Hill",20071010
072,PICKERING--SCARBOROUGH EAST,121,50,1,3,20,1,2,"Toronto",147, ,1,1,0,200,465,"Salvation Army- West Hill",20071010
072,PICKERING--SCARBOROUGH EAST,7,10,1,1,4,1,0,"Toronto",148s, ,2,0,0,26,61,"Tony Stacey Centre for Veterans Care",20071010
072,PICKERING--SCARBOROUGH EAST,93,78,2,10,22,0,3,"Toronto",149, ,0,0,0,208,455,"St. Dunstan of Canterbury",20071010
072,PICKERING--SCARBOROUGH EAST,115,79,2,22,18,2,2,"Toronto",150, ,0,0,0,240,460,"St. Brendan Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,54,65,1,9,14,1,3,"Toronto",151A, ,0,0,0,147,259,"St. Brendan Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,56,55,1,9,12,1,1,"Toronto",151B, ,0,1,1,137,242,"St. Brendan Catholic School",20071010
072,PICKERING--SCARBOROUGH EAST,104,69,2,29,8,1,7,"Toronto",152, ,0,0,0,220,403,"Centennial Road Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,109,83,2,22,19,1,3,"Toronto",153, ,2,0,0,241,390,"Charlottetown Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,120,86,0,19,15,3,3,"Toronto",154, ,1,1,0,248,450,"Charlottetown Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,96,53,3,14,21,2,0,"Toronto",155, ,0,1,0,190,392,"Charlottetown Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,80,69,1,14,21,1,3,"Toronto",156, ,0,4,0,193,410,"Joseph Howe Senior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,102,67,2,12,27,0,2,"Toronto",157, ,0,2,0,214,454,"Joseph Howe Senior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,132,81,4,16,34,3,3,"Toronto",158, ,0,0,0,273,471,"William G. Davis Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,70,70,5,15,24,3,0,"Toronto",159, ,1,1,1,190,404,"William G. Davis Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,115,60,2,9,26,1,0,"Toronto",160, ,0,1,0,214,433,"William G. Davis Junior Public School",20071010
072,PICKERING--SCARBOROUGH EAST,18,16,1,6,17,1,0,"Toronto",161, ,0,0,0,59,116,"University of Toronto at Scarborough",20071010
