ED_CODE,ED_NAME,BRYANT,D'SA,DE KERCKHOVE,GOLDSTEIN,HELLER,KITTREDGE,LEBORG,THOMPSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
077,ST. PAUL'S,72,21,0,48,16,0,0,0,"Toronto",038, ,0,0,0,157,295,"Hodgson Senior Public School",20071010
077,ST. PAUL'S,44,6,31,13,1,0,1,0,"Toronto",039, ,1,0,0,97,195,"Glen Garden Apartment",20071010
077,ST. PAUL'S,36,7,0,42,7,1,0,0,"Toronto",040, ,0,1,0,94,222,"Forest Hill Junior & Senior Public School",20071010
077,ST. PAUL'S,52,11,0,29,5,0,0,0,"Toronto",041, ,0,1,0,98,235,"Oriole Park Public School",20071010
077,ST. PAUL'S,76,20,0,75,14,0,0,0,"Toronto",042, ,0,0,0,185,314,"Oriole Park Public School",20071010
077,ST. PAUL'S,83,15,0,66,22,2,0,0,"Toronto",043, ,0,1,0,189,365,"Oriole Park Public School",20071010
077,ST. PAUL'S,115,27,1,100,22,2,0,0,"Toronto",044, ,0,0,0,267,460,"Unity Church of Truth",20071010
077,ST. PAUL'S,107,11,0,41,27,2,0,0,"Toronto",045, ,2,0,1,191,344,"Glebe Manor",20071010
077,ST. PAUL'S,..........................NO POLL HELD........................,,,,,,,,"Toronto",046, ,0,0,0,0,0,"",20071010
077,ST. PAUL'S,87,25,0,43,22,0,0,2,"Toronto",047, ,0,1,0,180,349,"Davisville Public School",20071010
077,ST. PAUL'S,90,18,0,46,20,1,1,0,"Toronto",048, ,1,0,0,177,323,"Davisville Public School",20071010
077,ST. PAUL'S,18,2,1,8,6,0,0,0,"Toronto",049s, ,2,0,0,37,43,"Meighen Manor",20071010
077,ST. PAUL'S,55,20,0,22,9,1,1,0,"Toronto",050, ,0,0,0,108,212,"Hodgson Senior Public School",20071010
077,ST. PAUL'S,89,12,0,53,25,2,2,0,"Toronto",051, ,0,1,0,184,317,"Hodgson Senior Public School",20071010
077,ST. PAUL'S,121,20,1,50,20,0,0,1,"Toronto",052, ,0,2,0,215,368,"The Claremont",20071010
077,ST. PAUL'S,73,14,0,48,18,0,1,0,"Toronto",053, ,0,0,0,154,289,"The Claremont",20071010
077,ST. PAUL'S,9,2,0,7,4,0,2,0,"Toronto",054s, ,1,2,0,27,49,"Pine Villa Retirement Residence",20071010
077,ST. PAUL'S,69,12,0,102,19,0,0,0,"Toronto",055, ,1,0,0,203,351,"Glen Garden Apartment",20071010
077,ST. PAUL'S,45,6,1,119,17,2,0,0,"Toronto",056, ,0,0,0,190,389,"Glen Garden Apartment",20071010
077,ST. PAUL'S,46,5,0,181,8,0,0,0,"Toronto",057, ,1,0,1,242,461,"Forest Hill Junior & Senior Public School",20071010
077,ST. PAUL'S,41,10,3,124,4,0,0,0,"Toronto",058, ,0,0,0,182,416,"Oriole Park Public School",20071010
077,ST. PAUL'S,107,25,1,89,30,1,0,6,"Toronto",059, ,1,0,1,261,429,"Oriole Park Public School",20071010
077,ST. PAUL'S,45,14,0,51,18,0,0,2,"Toronto",060, ,0,0,0,130,302,"Glebe Manor",20071010
077,ST. PAUL'S,63,20,1,43,16,0,0,1,"Toronto",061, ,0,1,0,145,262,"Davisville Public School",20071010
077,ST. PAUL'S,87,18,0,39,18,3,1,0,"Toronto",062, ,0,0,0,166,329,"Hospital Worker's Housing Co-operative",20071010
077,ST. PAUL'S,22,1,0,17,5,0,1,1,"Toronto",063s, ,0,1,0,48,67,"The Claremont",20071010
077,ST. PAUL'S,60,2,0,18,16,3,3,0,"Toronto",064, ,1,0,0,103,170,"George Barker Manor",20071010
077,ST. PAUL'S,74,15,1,59,15,0,0,0,"Toronto",065, ,0,0,0,164,288,"The Claremont",20071010
077,ST. PAUL'S,33,1,0,10,15,2,1,0,"Toronto",066, ,3,0,0,65,184,"Maria A. Shchuka Library",20071010
077,ST. PAUL'S,82,14,1,50,27,1,2,2,"Toronto",067, ,0,1,0,180,307,"Beth Shalom Synagogue",20071010
077,ST. PAUL'S,67,12,0,68,14,1,1,0,"Toronto",068, ,0,0,1,164,282,"Pine Villa Retirement Residence",20071010
077,ST. PAUL'S,77,19,1,102,13,1,1,0,"Toronto",069, ,0,0,0,214,335,"Glen Garden Apartment",20071010
077,ST. PAUL'S,58,11,0,68,28,1,1,0,"Toronto",070, ,0,0,1,168,326,"Cedarvale Community School",20071010
077,ST. PAUL'S,62,6,2,153,7,1,2,1,"Toronto",071, ,1,0,0,235,430,"Beth Tzedek Synagogue",20071010
077,ST. PAUL'S,65,16,0,55,9,2,0,0,"Toronto",072, ,0,0,0,147,338,"17 Lascelles Boulevard",20071010
077,ST. PAUL'S,36,13,0,17,21,1,0,0,"Toronto",073, ,0,0,0,88,193,"23 Lascelles Boulevard",20071010
077,ST. PAUL'S,66,9,1,71,17,0,0,0,"Toronto",074, ,0,0,0,164,321,"25 Lascelles Boulevard",20071010
077,ST. PAUL'S,85,26,0,81,10,0,1,1,"Toronto",075, ,2,0,0,206,384,"Glebe Manor",20071010
077,ST. PAUL'S,132,21,0,61,21,0,0,0,"Toronto",076, ,1,0,0,236,431,"Hospital Worker's Housing Co-operative",20071010
077,ST. PAUL'S,42,2,2,12,10,0,0,1,"Toronto",077, ,0,1,0,70,169,"Maria A. Shchuka Library",20071010
077,ST. PAUL'S,48,0,1,14,5,2,0,0,"Toronto",078, ,0,0,1,71,182,"Maria A. Shchuka Library",20071010
077,ST. PAUL'S,70,5,0,17,23,2,1,1,"Toronto",079, ,0,0,0,119,273,"Maria A. Shchuka Library",20071010
077,ST. PAUL'S,82,6,1,10,25,4,0,4,"Toronto",080, ,0,0,0,132,305,"Beth Shalom Synagogue",20071010
077,ST. PAUL'S,101,8,2,31,34,0,2,1,"Toronto",081, ,1,0,0,180,365,"Beth Shalom Synagogue",20071010
077,ST. PAUL'S,107,18,1,73,22,0,2,0,"Toronto",082, ,1,1,1,226,408,"Beth Shalom Synagogue",20071010
077,ST. PAUL'S,74,8,0,106,28,0,0,0,"Toronto",083, ,0,0,0,216,367,"Cedarvale Community School",20071010
077,ST. PAUL'S,42,1,1,19,13,0,0,1,"Toronto",084, ,0,0,0,77,168,"Beth Tzedek Synagogue",20071010
077,ST. PAUL'S,54,15,1,79,20,0,0,0,"Toronto",085, ,1,0,0,170,343,"Beth Tzedek Synagogue",20071010
077,ST. PAUL'S,51,6,0,142,7,1,0,0,"Toronto",086, ,1,1,0,209,405,"Beth Tzedek Synagogue",20071010
077,ST. PAUL'S,63,14,1,109,9,1,0,0,"Toronto",087, ,0,0,0,197,426,"Timothy Eaton Memorial Church",20071010
077,ST. PAUL'S,91,23,0,36,13,0,0,0,"Toronto",088, ,0,0,0,163,331,"Yorkminster Park Baptist Church",20071010
077,ST. PAUL'S,44,0,12,15,8,1,0,0,"Toronto",089, ,0,0,0,80,160,"Yorkminster Park Baptist Church",20071010
077,ST. PAUL'S,32,9,0,25,10,1,1,0,"Toronto",090, ,0,0,0,78,229,"Janet McGee Manor",20071010
077,ST. PAUL'S,29,5,0,18,10,0,0,0,"Toronto",091, ,1,0,0,63,87,"St. Hilda's Towers",20071010
077,ST. PAUL'S,31,4,1,9,11,1,0,1,"Toronto",092, ,1,0,0,59,180,"Fairbank Middle School",20071010
077,ST. PAUL'S,73,10,2,21,21,4,0,1,"Toronto",093, ,2,2,0,136,348,"Fairbank Middle School",20071010
077,ST. PAUL'S,59,1,1,4,11,3,2,1,"Toronto",094, ,0,1,0,83,180,"D'Arcy McGee Catholic School",20071010
077,ST. PAUL'S,71,16,0,20,25,3,1,2,"Toronto",095, ,1,1,0,140,334,"Vaughan Road Academy",20071010
077,ST. PAUL'S,84,13,2,35,34,1,1,0,"Toronto",096, ,0,0,0,170,322,"Arlington Middle School",20071010
077,ST. PAUL'S,59,7,0,128,14,1,0,0,"Toronto",097, ,0,0,0,209,374,"Cedarvale Community School",20071010
077,ST. PAUL'S,35,8,0,31,12,1,1,1,"Toronto",098, ,1,0,0,90,193,"Cedarvale Community School",20071010
077,ST. PAUL'S,62,8,0,126,11,1,0,0,"Toronto",099, ,1,0,0,209,425,"Beth Tzedek Synagogue",20071010
077,ST. PAUL'S,56,5,0,89,5,0,0,0,"Toronto",100, ,1,0,0,156,323,"Forest Hill Junior & Senior Public School",20071010
077,ST. PAUL'S,50,11,0,47,7,1,0,0,"Toronto",101, ,0,0,0,116,273,"Forest Hill Junior & Senior Public School",20071010
077,ST. PAUL'S,70,10,1,37,14,0,0,0,"Toronto",102, ,0,0,0,132,299,"Yorkminster Park Baptist Church",20071010
077,ST. PAUL'S,76,12,0,62,16,0,0,1,"Toronto",103, ,0,1,1,169,323,"Yorkminster Park Baptist Church",20071010
077,ST. PAUL'S,72,11,4,15,26,2,3,0,"Toronto",104, ,1,1,0,135,289,"Fairbank Memorial Community Centre",20071010
077,ST. PAUL'S,75,4,1,15,26,2,1,0,"Toronto",105, ,3,0,0,127,318,"Fairbank Memorial Community Centre",20071010
077,ST. PAUL'S,67,10,0,14,31,0,0,1,"Toronto",106, ,0,0,0,123,322,"D'Arcy McGee Catholic School",20071010
077,ST. PAUL'S,69,9,3,22,21,1,1,1,"Toronto",107, ,2,0,0,129,267,"Vaughan Road Academy",20071010
077,ST. PAUL'S,54,12,1,17,32,2,1,0,"Toronto",108, ,2,0,0,121,247,"Arlington Middle School",20071010
077,ST. PAUL'S,80,23,1,17,44,0,2,3,"Toronto",109, ,1,1,0,172,322,"Arlington Middle School",20071010
077,ST. PAUL'S,84,15,0,52,46,0,0,4,"Toronto",110, ,0,0,0,201,406,"Humewood Community School",20071010
077,ST. PAUL'S,44,12,1,63,15,0,0,0,"Toronto",111, ,0,1,0,136,256,"Forest Hill Junior & Senior Public School",20071010
077,ST. PAUL'S,59,13,0,64,8,1,0,0,"Toronto",112, ,0,1,0,146,320,"Timothy Eaton Memorial Church",20071010
077,ST. PAUL'S,46,8,1,51,8,0,0,1,"Toronto",113, ,0,0,0,115,250,"First Unitarian Church",20071010
077,ST. PAUL'S,23,1,1,19,9,0,0,0,"Toronto",114, ,0,0,1,54,132,"Deer Park United Church",20071010
077,ST. PAUL'S,49,2,7,23,20,0,0,1,"Toronto",115, ,0,3,0,105,204,"Deer Park United Church",20071010
077,ST. PAUL'S,54,15,0,43,20,1,0,0,"Toronto",116, ,0,0,0,133,267,"Deer Park United Church",20071010
077,ST. PAUL'S,64,12,0,40,21,0,0,0,"Toronto",117, ,0,0,0,137,293,"Deer Park United Church",20071010
077,ST. PAUL'S,70,12,0,40,22,2,0,0,"Toronto",118, ,0,0,0,146,282,"Christ Church Deer Park",20071010
077,ST. PAUL'S,37,12,0,30,9,0,0,0,"Toronto",119, ,0,0,0,88,186,"Deer Park Library",20071010
077,ST. PAUL'S,111,9,2,12,24,3,0,1,"Toronto",120, ,5,0,1,168,377,"Fairbank Memorial Community Centre",20071010
077,ST. PAUL'S,75,10,1,12,36,3,3,2,"Toronto",121, ,2,1,0,145,362,"D'Arcy McGee Catholic School",20071010
077,ST. PAUL'S,62,4,0,15,17,2,1,0,"Toronto",122, ,0,0,0,101,234,"Vaughan Road Academy",20071010
077,ST. PAUL'S,75,14,2,26,31,1,1,1,"Toronto",123, ,1,0,0,152,326,"Vaughan Road Academy",20071010
077,ST. PAUL'S,60,8,1,13,33,0,0,0,"Toronto",124, ,0,3,0,118,301,"Vaughan Road Academy",20071010
077,ST. PAUL'S,63,12,1,9,35,1,0,1,"Toronto",125, ,0,2,0,124,300,"Arlington Middle School",20071010
077,ST. PAUL'S,69,14,0,19,43,0,1,1,"Toronto",126, ,0,0,0,147,293,"Humewood Community School",20071010
077,ST. PAUL'S,27,9,1,7,38,0,0,0,"Toronto",127, ,1,0,0,83,172,"Humewood Community School",20071010
077,ST. PAUL'S,55,5,2,12,18,1,0,0,"Toronto",128, ,0,0,0,93,206,"Louise Towers",20071010
077,ST. PAUL'S,34,4,0,9,30,0,0,0,"Toronto",129, ,1,0,0,78,198,"Beth Tzedek Synagogue",20071010
077,ST. PAUL'S,68,19,0,31,23,0,0,0,"Toronto",130, ,1,0,0,142,318,"Beth Tzedek Synagogue",20071010
077,ST. PAUL'S,99,10,0,83,9,0,0,1,"Toronto",131, ,0,3,0,205,323,"Lower Village Gate",20071010
077,ST. PAUL'S,60,13,1,34,16,0,0,0,"Toronto",132, ,0,0,0,124,247,"Lincoln Place",20071010
077,ST. PAUL'S,59,15,0,35,20,1,0,1,"Toronto",133, ,1,0,1,133,243,"Lincoln Place",20071010
077,ST. PAUL'S,57,6,0,46,12,0,0,0,"Toronto",134, ,0,0,0,121,235,"Lincoln Place",20071010
077,ST. PAUL'S,37,15,0,50,13,3,0,0,"Toronto",135, ,0,0,0,118,302,"Timothy Eaton Memorial Church",20071010
077,ST. PAUL'S,26,5,0,50,3,1,0,1,"Toronto",136, ,0,0,0,86,217,"First Unitarian Church",20071010
077,ST. PAUL'S,52,12,1,19,16,0,2,1,"Toronto",137, ,0,0,0,103,196,"Deer Park United Church",20071010
077,ST. PAUL'S,48,7,0,34,8,0,1,0,"Toronto",138, ,0,1,0,99,215,"Deer Park United Church",20071010
077,ST. PAUL'S,24,10,1,18,12,0,0,0,"Toronto",139, ,1,0,0,66,160,"Bradgate Arms",20071010
077,ST. PAUL'S,92,13,0,67,15,1,1,0,"Toronto",140A, ,0,0,0,189,312,"Christ Church Deer Park",20071010
077,ST. PAUL'S,44,8,0,50,6,2,0,0,"Toronto",140B, ,0,0,0,110,253,"Christ Church Deer Park",20071010
077,ST. PAUL'S,42,20,0,45,11,0,0,0,"Toronto",141, ,0,0,1,119,266,"Bretton Place",20071010
077,ST. PAUL'S,51,8,3,21,17,1,2,4,"Toronto",142, ,0,0,0,107,299,"Fairbank Memorial Community Centre",20071010
077,ST. PAUL'S,65,6,0,26,27,1,0,1,"Toronto",143, ,0,2,0,128,330,"D'Arcy McGee Catholic School",20071010
077,ST. PAUL'S,95,11,0,20,62,0,0,1,"Toronto",144, ,0,0,2,191,386,"St. Alphonsus Separate School",20071010
077,ST. PAUL'S,92,18,2,21,61,1,0,1,"Toronto",145, ,0,0,0,196,324,"Humewood Community School",20071010
077,ST. PAUL'S,120,13,1,48,67,1,0,1,"Toronto",146, ,0,0,0,251,403,"Humewood Community School",20071010
077,ST. PAUL'S,47,9,1,13,25,2,0,0,"Toronto",147, ,0,0,0,97,206,"Louise Towers",20071010
077,ST. PAUL'S,68,20,1,23,61,1,0,0,"Toronto",148, ,0,0,0,174,342,"St. Clair Avenue Baptist Church",20071010
077,ST. PAUL'S,85,16,2,23,55,2,0,1,"Toronto",149, ,3,0,0,187,331,"Louise Towers",20071010
077,ST. PAUL'S,43,6,0,2,30,0,0,1,"Toronto",150, ,0,1,0,83,184,"Louise Towers",20071010
077,ST. PAUL'S,47,10,0,8,30,0,0,0,"Toronto",151, ,0,0,0,95,182,"Tichester Garden Apartments",20071010
077,ST. PAUL'S,61,10,1,15,31,0,0,1,"Toronto",152, ,0,0,1,120,232,"Tichester Garden Apartments",20071010
077,ST. PAUL'S,35,14,1,7,23,0,0,1,"Toronto",153, ,0,0,0,81,157,"Tichester Garden Apartments",20071010
077,ST. PAUL'S,43,9,0,29,19,0,0,1,"Toronto",154, ,0,0,0,101,206,"400 Walmer Road",20071010
077,ST. PAUL'S,8,1,0,7,3,1,0,0,"Toronto",155s, ,0,0,1,21,67,"Lincoln Place",20071010
077,ST. PAUL'S,59,10,1,53,11,2,0,0,"Toronto",156, ,0,1,0,137,273,"Lincoln Place",20071010
077,ST. PAUL'S,59,8,0,40,16,0,0,0,"Toronto",157, ,1,0,0,124,264,"Timothy Eaton Memorial Church",20071010
077,ST. PAUL'S,53,11,0,54,12,3,0,0,"Toronto",158, ,1,0,0,134,302,"Bradgate Arms",20071010
077,ST. PAUL'S,20,0,0,15,5,0,0,1,"Toronto",159s, ,0,1,0,42,65,"Bradgate Arms",20071010
077,ST. PAUL'S,56,12,0,43,23,0,0,0,"Toronto",160, ,0,0,0,134,262,"Bradgate Arms",20071010
077,ST. PAUL'S,102,23,3,80,12,1,0,0,"Toronto",161, ,2,0,1,224,418,"Balmoral Club",20071010
077,ST. PAUL'S,98,20,1,35,87,1,0,3,"Toronto",162, ,1,0,0,246,444,"St. Alphonsus Separate School",20071010
077,ST. PAUL'S,100,26,1,44,68,1,0,0,"Toronto",163, ,1,0,0,241,399,"St. Alphonsus Separate School",20071010
077,ST. PAUL'S,77,23,1,15,48,1,0,0,"Toronto",164, ,0,0,0,165,322,"St. Clair Avenue Baptist Church",20071010
077,ST. PAUL'S,90,1,29,27,62,1,0,0,"Toronto",165, ,1,0,1,212,387,"St. Clair Avenue Baptist Church",20071010
077,ST. PAUL'S,33,13,3,9,33,0,1,0,"Toronto",166, ,1,0,0,93,232,"St. Clair Avenue Baptist Church",20071010
077,ST. PAUL'S,32,12,0,6,49,0,0,1,"Toronto",167, ,0,0,0,100,230,"Wychwood Library",20071010
077,ST. PAUL'S,27,5,1,8,20,0,0,2,"Toronto",168, ,0,0,0,63,148,"St. Michael's All Angels Anglican Church",20071010
077,ST. PAUL'S,44,9,0,17,29,0,1,0,"Toronto",169, ,1,0,0,101,221,"St. Michael's All Angels Anglican Church",20071010
077,ST. PAUL'S,80,8,0,53,21,1,0,0,"Toronto",170, ,0,0,0,163,366,"Hillcrest Community Centre",20071010
077,ST. PAUL'S,49,14,1,73,14,0,1,1,"Toronto",171, ,0,1,0,154,263,"Timothy Eaton Memorial Church",20071010
077,ST. PAUL'S,46,8,0,41,14,0,0,0,"Toronto",172, ,0,0,0,109,268,"First Unitarian Church",20071010
077,ST. PAUL'S,69,16,0,46,7,1,0,0,"Toronto",173, ,1,0,0,140,262,"Brown Community Centre",20071010
077,ST. PAUL'S,49,15,0,18,16,0,0,0,"Toronto",174, ,0,0,0,98,216,"Brown Community Centre",20071010
077,ST. PAUL'S,61,6,0,36,16,1,0,3,"Toronto",175, ,0,0,0,123,249,"Brown Community Centre",20071010
077,ST. PAUL'S,70,15,1,73,7,2,0,1,"Toronto",176, ,0,2,0,171,353,"Cottingham Junior Public School",20071010
077,ST. PAUL'S,75,12,0,56,12,1,0,0,"Toronto",177, ,0,0,0,156,279,"Cottingham Junior Public School",20071010
077,ST. PAUL'S,109,22,0,5,48,0,0,0,"Toronto",178, ,0,0,0,184,324,"St. Alphonsus Separate School",20071010
077,ST. PAUL'S,51,21,0,11,34,1,0,2,"Toronto",179, ,0,0,0,120,256,"St. Alphonsus Separate School",20071010
077,ST. PAUL'S,67,1,9,15,24,1,2,0,"Toronto",180, ,0,0,0,119,250,"St. Matthew's United Church",20071010
077,ST. PAUL'S,64,16,0,6,39,0,0,0,"Toronto",181, ,0,1,0,126,260,"St. Matthew's Bracondale House",20071010
077,ST. PAUL'S,83,26,1,26,70,2,1,0,"Toronto",182, ,0,1,0,210,382,"Wychwood Library",20071010
077,ST. PAUL'S,66,13,2,17,30,0,1,1,"Toronto",183, ,0,0,0,130,263,"Hillcrest Community Centre",20071010
077,ST. PAUL'S,129,23,0,52,43,0,0,2,"Toronto",184, ,1,0,0,250,472,"Hillcrest Community Centre",20071010
077,ST. PAUL'S,78,24,0,63,29,0,0,0,"Toronto",185, ,1,0,0,195,379,"Toronto Records & Archives",20071010
077,ST. PAUL'S,49,13,0,34,15,0,0,0,"Toronto",186, ,0,0,0,111,230,"Brown Community Centre",20071010
077,ST. PAUL'S,97,14,0,37,26,0,0,0,"Toronto",187, ,2,0,0,176,314,"Cottingham Junior Public School",20071010
077,ST. PAUL'S,73,11,4,33,10,0,0,0,"Toronto",188, ,0,0,0,131,256,"Cottingham Junior Public School",20071010
077,ST. PAUL'S,91,25,0,64,22,0,0,0,"Toronto",189, ,0,0,0,202,374,"Cottingham Junior Public School",20071010
077,ST. PAUL'S,78,13,1,10,46,3,0,0,"Toronto",190, ,2,0,0,153,320,"St. Matthew's United Church",20071010
077,ST. PAUL'S,65,28,2,11,55,0,0,0,"Toronto",191, ,0,1,0,162,290,"St. Matthew's United Church",20071010
077,ST. PAUL'S,99,19,1,12,70,0,2,0,"Toronto",192, ,1,0,0,204,387,"St. Matthew's Bracondale House",20071010
077,ST. PAUL'S,90,19,0,38,53,1,0,0,"Toronto",193, ,0,0,0,201,351,"Wychwood Library",20071010
077,ST. PAUL'S,84,30,2,27,24,0,0,2,"Toronto",194, ,0,0,0,169,368,"Castleview Wychwood Towers",20071010
077,ST. PAUL'S,81,16,4,36,32,0,1,2,"Toronto",195, ,0,0,0,172,340,"Habayit Shelanu Seniors Residence",20071010
077,ST. PAUL'S,86,25,1,58,17,1,0,0,"Toronto",196, ,0,0,0,188,347,"Toronto Records & Archives",20071010
077,ST. PAUL'S,14,1,0,4,13,1,0,0,"Toronto",197s, ,0,1,0,34,38,"Hellenic Home for the Aged",20071010
077,ST. PAUL'S,128,28,0,37,53,2,0,0,"Toronto",198, ,1,0,0,249,465,"Hellenic Home for the Aged",20071010
077,ST. PAUL'S,65,22,0,25,52,1,1,0,"Toronto",199, ,0,0,0,166,301,"Castleview Wychwood Towers",20071010
077,ST. PAUL'S,77,13,1,13,45,1,0,0,"Toronto",200, ,0,1,0,151,355,"Castleview Wychwood Towers",20071010
077,ST. PAUL'S,..........................NO POLL HELD........................,,,,,,,,"Toronto",201, ,0,0,0,0,0,"",20071010
077,ST. PAUL'S,63,23,5,23,34,0,1,0,"Toronto",202, ,0,1,0,150,296,"Habayit Shelanu Seniors Residence",20071010
077,ST. PAUL'S,..........................NO POLL HELD........................,,,,,,,,"Toronto",203, ,0,0,0,0,0,"",20071010
077,ST. PAUL'S,14,2,2,13,9,1,0,0,"Toronto",204s, ,0,0,0,41,55,"Habayit Shelanu Seniors Residence",20071010
077,ST. PAUL'S,49,6,0,43,16,0,0,0,"Toronto",205, ,0,0,0,114,252,"Toronto Records & Archives",20071010
077,ST. PAUL'S,..........................NO POLL HELD........................,,,,,,,,"Toronto",206, ,0,0,0,0,0,"",20071010
077,ST. PAUL'S,66,14,1,15,54,2,0,0,"Toronto",207, ,1,0,0,153,399,"Hellenic Home for the Aged",20071010
077,ST. PAUL'S,71,27,0,22,61,2,0,0,"Toronto",208, ,3,0,0,186,387,"Christie Gardens",20071010
077,ST. PAUL'S,65,5,2,6,90,2,0,2,"Toronto",209, ,0,1,0,173,322,"Christie Gardens",20071010
077,ST. PAUL'S,12,1,0,7,4,0,1,0,"Toronto",210s, ,1,0,0,26,75,"Christie Gardens",20071010
077,ST. PAUL'S,5,1,0,3,7,0,0,0,"Toronto",211s, ,1,1,0,18,114,"Castleview Wychwood Towers",20071010
