"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","EPSTEIN","FAGAN","KWINTER","MOSTYN","PANCER","SHEVYRYOV","TAL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"104","YORK CENTRE","035B","U","TORONTO","3","28","66","43","0","2","0","1","1","0","144","396","William Lyon Mackenzie Collegiate Institute"
"104","YORK CENTRE","036","U","TORONTO","0","36","101","28","0","2","1","0","0","1","169","518","St. Robert Catholic School"
"104","YORK CENTRE","037","U","TORONTO","4","27","139","75","1","6","2","0","0","0","254","578","St. Robert Catholic School"
"104","YORK CENTRE","038","U","TORONTO","3","19","80","76","1","4","0","3","0","0","186","372","St. Robert Catholic School"
"104","YORK CENTRE","039A","U","TORONTO","1","15","58","60","0","0","0","1","0","0","135","329","St. Robert Catholic School"
"104","YORK CENTRE","039B","U","TORONTO","3","14","58","45","0","3","0","0","0","0","123","300","St. Robert Catholic School"
"104","YORK CENTRE","040A","U","TORONTO","1","11","70","67","1","2","0","1","0","0","153","330","Dublin Heights Elementary School"
"104","YORK CENTRE","040B","U","TORONTO","3","2","69","60","0","2","0","0","0","0","136","299","Dublin Heights Elementary School"
"104","YORK CENTRE","041","U","TORONTO","0","8","81","124","0","1","0","1","2","0","217","453","Dublin Heights Elementary School"
"104","YORK CENTRE","042","U","TORONTO","3","9","33","119","0","0","0","1","0","1","166","330","Clanton Park Synagogue"
"104","YORK CENTRE","043A","U","TORONTO","0","5","65","77","0","1","0","0","0","0","148","321","Summit Heights Public School"
"104","YORK CENTRE","043B","U","TORONTO","1","9","62","78","0","1","1","0","0","0","152","314","Summit Heights Public School"
"104","YORK CENTRE","044","U","TORONTO","2","12","82","146","0","4","0","2","1","0","249","442","Faywood Arts-Based Curriculum School"
"104","YORK CENTRE","045","U","TORONTO","0","8","48","122","0","5","1","1","1","0","186","390","Clanton Park Synagogue"
"104","YORK CENTRE","046A","U","TORONTO","0","14","68","68","1","3","0","1","0","0","155","314","Summit Heights Public School"
"104","YORK CENTRE","046B","U","TORONTO","3","14","60","79","1","3","0","0","0","0","160","334","Summit Heights Public School"
"104","YORK CENTRE","047","U","TORONTO","1","11","125","121","1","0","0","0","0","0","259","482","Summit Heights Public School"
"104","YORK CENTRE","048","U","TORONTO","5","4","80","126","2","2","1","0","0","0","220","427","Summit Heights Public School"
"104","YORK CENTRE","049","U","TORONTO","1","7","61","67","0","4","2","1","0","0","143","317","Clanton Park Synagogue"
"104","YORK CENTRE","050","U","TORONTO","3","18","64","41","0","1","0","0","0","0","127","352","Clanton Park Synagogue"
"104","YORK CENTRE","051","U","TORONTO","4","36","91","123","2","4","1","1","0","0","262","615","Faywood Arts-Based Curriculum School"
"104","YORK CENTRE","052","U","TORONTO","5","32","124","91","1","4","0","2","1","0","260","508","Faywood Arts-Based Curriculum School"
"104","YORK CENTRE","053","U","TORONTO","2","44","131","101","0","2","1","1","0","0","282","620","Faywood Arts-Based Curriculum School"
"104","YORK CENTRE","054","U","TORONTO","4","35","132","65","2","3","1","1","0","0","243","531","Yeshiva B'Nai Zion of Bobov of Toronto"
"104","YORK CENTRE","055","U","TORONTO","5","19","72","64","2","7","0","1","1","0","171","474","Pleasant Public School"
"104","YORK CENTRE","056","U","TORONTO","3","34","68","34","0","2","1","1","0","0","143","384","Muki Baum Treatment Centre"
"104","YORK CENTRE","057","U","TORONTO","9","23","109","42","0","3","0","3","0","0","189","425","St. Norbert Catholic School"
"104","YORK CENTRE","058","U","TORONTO","9","49","150","55","0","2","1","3","0","0","269","557","St. Norbert Catholic School"
"104","YORK CENTRE","059","U","TORONTO","9","51","129","65","2","4","1","2","2","0","265","572","Muki Baum Treatment Centre"
"104","YORK CENTRE","060","U","TORONTO","3","16","36","9","0","0","0","1","0","0","65","208","Downsview Public School"
"104","YORK CENTRE","061","U","TORONTO","2","45","113","35","1","5","1","2","9","0","213","603","Roding Community Centre"
"104","YORK CENTRE","062","U","TORONTO","3","38","100","25","0","1","1","2","0","0","170","418","Highview Public School"
"104","YORK CENTRE","063A","U","TORONTO","4","27","45","31","1","3","0","1","0","0","112","332","Highview Public School"
"104","YORK CENTRE","063B","U","TORONTO","6","27","36","22","1","0","1","0","0","0","93","308","Highview Public School"
"104","YORK CENTRE","064","U","TORONTO","6","53","133","52","2","6","4","3","2","0","261","624","Tumpane Public School"
"104","YORK CENTRE","065","U","TORONTO","3","39","51","69","1","3","0","1","0","0","167","480","Pleasant Public School"
"104","YORK CENTRE","066","U","TORONTO","9","26","107","39","1","2","1","5","0","0","190","400","Roding Community Centre"
"104","YORK CENTRE","067","U","TORONTO","2","17","25","27","0","0","0","0","0","0","71","297","Antibes Community Centre"
"104","YORK CENTRE","068","U","TORONTO","4","35","161","31","3","2","0","0","0","1","237","438","St. Raphael Catholic School"
"104","YORK CENTRE","069A","U","TORONTO","3","19","71","27","1","1","0","4","0","0","126","309","St. Raphael Catholic School"
"104","YORK CENTRE","069B","U","TORONTO","2","28","70","25","0","3","0","1","1","0","130","311","St. Raphael Catholic School"
"104","YORK CENTRE","070A","U","TORONTO","3","21","101","17","1","3","0","0","0","0","146","316","Tumpane Public School"
"104","YORK CENTRE","070B","U","TORONTO","6","27","73","35","0","4","0","0","0","0","145","312","Tumpane Public School"
"104","YORK CENTRE","071","U","TORONTO","6","22","87","39","0","2","3","1","0","0","160","389","Beverley Heights Middle School"
"104","YORK CENTRE","072","U","TORONTO","5","20","129","59","0","6","0","3","0","0","222","434","Beverley Heights Middle School"
"104","YORK CENTRE","073","U","TORONTO","3","30","106","50","1","2","0","1","1","0","194","412","Blaydon Public School"
"104","YORK CENTRE","074","U","TORONTO","5","25","79","35","0","1","2","0","2","0","149","339","Blaydon Public School"
"104","YORK CENTRE","075","U","TORONTO","5","52","94","37","2","0","1","0","0","0","191","441","Blaydon Public School"
"104","YORK CENTRE","076","U","TORONTO","6","39","105","59","2","7","0","3","0","0","221","458","St. Martha Catholic School"
"104","YORK CENTRE","077","U","TORONTO","8","33","86","38","1","2","1","0","1","0","170","379","Calico Public School"
"104","YORK CENTRE","078","U","TORONTO","3","37","64","17","0","1","1","1","0","0","124","319","Calico Public School"
"104","YORK CENTRE","079","U","TORONTO","3","42","77","36","1","0","2","1","1","0","163","469","Ramses Shrine Banquet Centre"
"104","YORK CENTRE","080","U","TORONTO","2","34","50","16","0","0","0","0","1","0","103","338","Ramses Shrine Banquet Centre"
"104","YORK CENTRE","081","U","TORONTO","1","22","59","27","0","7","1","0","0","0","117","308","Ramses Shrine Banquet Centre"
"104","YORK CENTRE","082","U","TORONTO","5","32","72","39","3","5","0","2","0","0","158","368","Downsview Public School"
"104","YORK CENTRE","083","U","TORONTO","5","16","185","44","0","2","0","1","1","0","254","471","St. Norbert Catholic School"
"104","YORK CENTRE","084","U","TORONTO","6","30","82","32","2","2","0","0","0","0","154","489","Sheppard Public School"
"104","YORK CENTRE","085","U","TORONTO","2","35","71","27","0","3","3","2","0","0","143","520","Sheppard Public School"
"104","YORK CENTRE","086","U","TORONTO","10","22","127","37","0","3","0","1","1","0","201","495","St. Jerome Catholic School"
"104","YORK CENTRE","087","U","TORONTO","3","27","103","23","1","1","2","3","0","0","163","382","Sheppard Public School"
"104","YORK CENTRE","088","U","TORONTO","5","38","58","26","6","1","0","0","0","0","134","380","St. Jerome Catholic School"
"104","YORK CENTRE","089","U","TORONTO","15","34","133","28","2","2","0","2","1","0","217","432","St. Jerome Catholic School"
"104","YORK CENTRE","090","U","TORONTO","6","14","108","57","0","1","1","4","0","0","191","403","St. Jerome Catholic School"
"104","YORK CENTRE","091","U","TORONTO","3","23","74","69","0","1","1","1","0","0","172","398","Antibes Community Centre"
"104","YORK CENTRE","092","U","TORONTO","8","21","59","31","1","3","0","2","0","0","125","374","National Council of Jewish Women"
"104","YORK CENTRE","093","U","TORONTO","3","17","47","38","0","2","1","0","0","0","108","385","National Council of Jewish Women"
"104","YORK CENTRE","094","U","TORONTO","3","27","72","26","0","3","0","0","1","0","132","382","St. Jerome Catholic School"
"104","YORK CENTRE","095","U","TORONTO","3","28","70","26","1","1","0","0","0","0","129","316","Downsview Public School"
"104","YORK CENTRE","096","U","TORONTO","7","59","74","61","0","2","0","2","1","0","206","528","Ramses Shrine Banquet Centre"
"104","YORK CENTRE","097","U","TORONTO","2","33","93","21","1","1","0","1","0","0","152","314","Ramses Shrine Banquet Centre"
"104","YORK CENTRE","098","U","TORONTO","8","24","84","22","0","1","2","0","0","0","141","368","St. Martha Catholic School"
"104","YORK CENTRE","099","U","TORONTO","3","28","91","39","1","1","1","0","1","0","165","435","Calico Public School"
"104","YORK CENTRE","100","U","TORONTO","4","49","97","37","3","2","0","1","0","0","193","402","St. Martha Catholic School"
"104","YORK CENTRE","101","U","TORONTO","0","22","70","39","2","2","1","0","0","0","136","340","Beverley Heights Middle School"
"104","YORK CENTRE","102","U","TORONTO","7","36","108","39","0","1","0","0","0","0","191","352","Beverley Heights Middle School"
"104","YORK CENTRE","103","U","TORONTO","1","36","72","29","1","1","0","1","1","0","142","532","Roding Community Centre"
"104","YORK CENTRE","104","U","TORONTO","13","37","82","38","0","5","0","1","0","0","176","525","Highview Public School"
"104","YORK CENTRE","105","U","TORONTO","5","23","56","32","1","5","0","3","0","0","125","413","Muki Baum Treatment Centre"
"104","YORK CENTRE","106","U","TORONTO","43","12","76","33","0","1","2","1","0","0","168","475","Clanton Park Synagogue"
"104","YORK CENTRE","107","U","TORONTO","1","5","77","87","1","3","0","0","0","0","174","386","Clanton Park Synagogue"
"104","YORK CENTRE","108","U","TORONTO","3","24","57","60","0","4","1","2","0","0","151","372","St. Robert Catholic School"
"104","YORK CENTRE","109","U","TORONTO","1","26","67","56","0","1","0","3","0","0","154","412","B'Nai Brith Centre"
"104","YORK CENTRE","110","U","TORONTO","1","11","65","49","0","1","1","0","0","0","128","361","Irving Chapley Community Centre"
"104","YORK CENTRE","111","U","TORONTO","3","16","86","72","0","1","0","1","0","0","179","379","B'Nai Brith Centre"
"104","YORK CENTRE","112","U","TORONTO","4","26","69","43","0","0","0","0","0","0","142","446","Irving Chapley Community Centre"
"104","YORK CENTRE","113","U","TORONTO","2","25","46","58","0","5","0","0","0","0","136","454","Charles H Best Elementary School"
"104","YORK CENTRE","114","U","TORONTO","2","22","68","70","1","1","0","1","0","0","165","460","Fisherville Middle School"
"104","YORK CENTRE","115","U","TORONTO","10","20","79","78","0","2","0","2","0","0","191","452","R. J. Lang Elementary and Middle School"
"104","YORK CENTRE","116","U","TORONTO","0","20","89","61","1","4","1","0","2","0","178","392","Fisherville Middle School"
"104","YORK CENTRE","117","U","TORONTO","7","23","90","87","0","4","0","2","2","0","215","465","Newtonbrook Secondary School"
"104","YORK CENTRE","118","U","TORONTO","4","38","65","60","1","4","0","2","1","0","175","447","Newtonbrook Secondary School"
"104","YORK CENTRE","400","U","TORONTO","0","17","26","21","1","0","0","0","0","0","65","170","Garden View Terrace"
"104","YORK CENTRE","401","U","TORONTO","2","12","81","57","3","3","0","4","0","0","162","311","The Courtland 1 YCC247"
"104","YORK CENTRE","402","U","TORONTO","9","25","128","163","1","1","0","1","0","0","328","634","The Primrose II MTCC847"
"104","YORK CENTRE","403","U","TORONTO","8","22","92","141","1","4","1","0","2","0","271","568","The Primrose I MTCC808"
"104","YORK CENTRE","404","U","TORONTO","4","9","36","152","0","3","0","11","4","0","219","367","West Don Apartments"
"104","YORK CENTRE","405A","U","TORONTO","3","17","43","52","0","2","0","4","2","0","123","378","Village Gate Apartments"
"104","YORK CENTRE","405B","U","TORONTO","3","20","45","44","1","1","1","1","0","0","116","337","Village Gate Apartments"
"104","YORK CENTRE","406","U","TORONTO","10","31","84","94","1","4","2","4","0","0","230","475","The Dalemount YCC201"
"104","YORK CENTRE","407","U","TORONTO","10","29","86","76","0","3","2","2","1","2","211","505","Carrington Towers"
"104","YORK CENTRE","408","U","TORONTO","9","18","54","27","2","0","0","2","0","0","112","333","The Alpine"
"104","YORK CENTRE","409","U","TORONTO","4","20","59","54","2","12","0","0","1","0","152","319","The Eddington YCC102"
"104","YORK CENTRE","410A","U","TORONTO","3","18","36","60","2","8","2","1","0","0","130","372","Caravelle Court"
"104","YORK CENTRE","410B","U","TORONTO","5","16","38","56","0","3","1","0","0","0","119","323","Caravelle Court"
"104","YORK CENTRE","411","U","TORONTO","7","24","41","46","0","2","0","0","0","0","120","292","Dell Park Towers II"
"104","YORK CENTRE","412","U","TORONTO","8","22","46","52","0","3","1","0","0","0","132","393","Valencia Towers II"
"104","YORK CENTRE","413","U","TORONTO","3","19","61","70","1","8","1","2","2","0","167","544","Bathville Towers"
"104","YORK CENTRE","414A","U","TORONTO","5","15","37","42","1","3","0","1","0","0","104","379","La Scala"
"104","YORK CENTRE","414B","U","TORONTO","2","21","37","67","2","2","1","2","0","0","134","378","La Scala"
"104","YORK CENTRE","415","U","TORONTO","7","23","41","3","1","0","0","0","0","0","75","139","Roding Place Park"
"104","YORK CENTRE","416","U","TORONTO","7","49","54","52","0","5","0","2","0","0","169","458","Forest Lane"
"104","YORK CENTRE","417","U","TORONTO","6","41","70","15","0","4","1","1","0","0","138","234","Dehaviland Court"
"104","YORK CENTRE","418","U","TORONTO","14","53","63","15","1","1","0","0","2","0","149","419","Fairway Downs YCC385"
"104","YORK CENTRE","419","U","TORONTO","7","31","98","175","0","6","1","0","2","1","321","674","York Condominium Corp # 465"
"104","YORK CENTRE","420","U","TORONTO","3","16","43","96","3","3","0","0","0","1","165","386","York Condominium Corp # 74"
"104","YORK CENTRE","421","U","TORONTO","8","22","118","159","0","3","0","1","0","0","311","608","The Hemispheres I MTCC551"
"104","YORK CENTRE","422","U","TORONTO","5","21","44","24","0","5","1","0","1","0","101","337","Wyldewood Apartments"
"104","YORK CENTRE","423","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"104","YORK CENTRE","424","U","TORONTO","7","26","53","38","2","4","2","0","0","0","132","507","Barene Towers"
"104","YORK CENTRE","425","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"104","YORK CENTRE","426","U","TORONTO","1","9","75","94","0","2","1","1","0","0","183","334","The Savoy MTCC815"
"104","YORK CENTRE","427","U","TORONTO","4","26","65","65","0","4","2","2","0","1","169","393","Silver Springs"
"104","YORK CENTRE","428","U","TORONTO","7","34","62","66","1","7","0","2","0","0","179","538","The Somerset"
"104","YORK CENTRE","429","U","TORONTO","5","37","58","45","0","6","0","0","0","0","151","365","Baroness Apartments"
"104","YORK CENTRE","430","U","TORONTO","6","24","32","58","0","6","1","0","3","0","130","326","Glimjem Holdings"
"104","YORK CENTRE","431","U","TORONTO","13","59","69","28","0","1","0","0","0","0","170","545","Raphaelo Places"
"104","YORK CENTRE","432","U","TORONTO","1","7","39","143","0","7","1","3","10","0","211","305","Sheppard Place Apartments"
"104","YORK CENTRE","433","U","TORONTO","7","21","74","53","1","6","0","0","0","0","162","368","Canyon Towers"
"104","YORK CENTRE","434","U","TORONTO","9","34","100","57","1","7","2","1","2","0","213","507","Viewpoint Towers"
"104","YORK CENTRE","435","U","TORONTO","2","41","66","36","0","5","0","1","0","0","151","249","Le Plateau II"
"104","YORK CENTRE","436","U","TORONTO","9","45","77","21","1","3","0","1","1","0","158","398","Havenbrook Realty"
"104","YORK CENTRE","437","U","TORONTO","7","20","46","22","0","1","1","0","5","0","102","200","Park Plaza T.S.Community Centre 1617"
"104","YORK CENTRE","438","U","TORONTO","0","26","42","15","0","5","0","1","0","0","89","182","The Max TSCC1879"
"104","YORK CENTRE","439","U","TORONTO","2","7","41","84","0","0","0","2","4","0","140","197","B'Nai Brith Canada"
"104","YORK CENTRE","440","U","TORONTO","5","7","34","55","0","1","0","0","0","0","102","153","B'Nai Brith Upper Canada Lodge"
"104","YORK CENTRE","441","U","TORONTO","7","17","56","59","0","4","0","1","0","0","144","267","Monaco Towers"
"104","YORK CENTRE","442","U","TORONTO","4","29","62","14","0","2","0","2","0","0","113","505","Muki Baum Treatment Centre"
"104","YORK CENTRE","443","U","TORONTO","9","44","67","15","2","2","1","2","0","0","142","278","Downsview Acres"
"104","YORK CENTRE","444","U","TORONTO","6","16","66","48","1","5","0","0","0","0","142","286","El Presidente"
"104","YORK CENTRE","445","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"104","YORK CENTRE","446","U","TORONTO","6","40","88","41","0","3","1","2","0","0","181","407","Metro Place"
"104","YORK CENTRE","447","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"104","YORK CENTRE","448","U","TORONTO","4","15","61","8","0","0","1","1","0","1","91","171","Champlain Apartments"
"104","YORK CENTRE","449","U","TORONTO","13","49","69","34","0","6","1","1","1","0","174","323","La Place Victoria"
"104","YORK CENTRE","450","U","TORONTO","6","19","41","22","1","4","0","3","0","0","96","203","Bathurst Towers"
"104","YORK CENTRE","700","U","TORONTO","1","8","8","9","1","0","0","0","0","0","27","136","Leisure World (Cheltenham Nursing Home)"
"104","YORK CENTRE","701","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"104","YORK CENTRE","702","U","TORONTO","4","7","16","5","1","0","0","0","0","0","33","66","Valleyview Residence Nursing Home"
"104","YORK CENTRE","703","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"104","YORK CENTRE","704","U","TORONTO","2","3","42","11","0","0","0","1","0","0","59","111","Kensington Place Retirement Res"
"104","YORK CENTRE","705","U","TORONTO",".......................COMBINED WITH POLL 706.......................","","","","","","","","","","","","L'Chaim Retirement Home"
"104","YORK CENTRE","706","U","TORONTO","6","6","39","8","1","0","1","1","0","4","66","134","Casa Verde Health Centre"
"104","YORK CENTRE","ADV001","U","TORONTO","7","57","296","191","1","7","3","0","1","1","564","0","Returning Office / Bureau du directeur du scrutin"
"104","YORK CENTRE","ADV002","U","TORONTO","9","37","114","143","1","7","2","9","1","0","323","0","Special Ballot Voting / Vote par bulletin spécial"
"104","YORK CENTRE","ADV003","U","TORONTO","6","15","99","143","2","3","2","0","0","0","270","0","Antibes Community Centre (Adv)"
"104","YORK CENTRE","ADV004","U","TORONTO","8","45","177","121","0","3","1","8","1","1","365","0","Goulding Community Centre"
"104","YORK CENTRE","ADV005","U","TORONTO","0","7","78","122","1","3","0","0","1","1","213","0","Beth David B'Nai Israel Synaguogue"
"104","YORK CENTRE","ADV006","U","TORONTO","9","30","303","261","1","12","0","2","0","0","618","0","Irving Chapley Community Centre (Adv)"
"104","YORK CENTRE","ADV007","U","TORONTO","1","30","48","38","1","6","0","0","0","0","124","0","Beverley Heights Middle School (Adv)"
"104","YORK CENTRE","ADV008","U","TORONTO","4","43","116","48","2","2","0","1","0","0","216","0","Roding Community Centre (Adv)"
"TOTALS:","","","","","846","4579","14694","11506","127","535","108","216","91","18","32720","71531",""
