"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CHAN","CHOO","O'BRIEN","SMALL","THAYAPARAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"046","MARKHAM--UNIONVILLE","020A","U","MARKHAM","49","13","1","0","22","0","1","0","86","345","Applecreek Seventh Day Adventist Church"
"046","MARKHAM--UNIONVILLE","020B","U","MARKHAM","31","14","5","0","26","3","0","0","79","357","Applecreek Seventh Day Adventist Church"
"046","MARKHAM--UNIONVILLE","021","U","MARKHAM","110","10","8","4","64","0","0","0","196","433","William Berczy Public School"
"046","MARKHAM--UNIONVILLE","022","U","MARKHAM","93","3","6","2","74","0","0","1","179","428","William Berczy Public School"
"046","MARKHAM--UNIONVILLE","023","U","MARKHAM","109","22","2","2","74","1","0","0","210","427","William Berczy Public School"
"046","MARKHAM--UNIONVILLE","024","U","MARKHAM","69","21","6","4","42","0","32","0","174","339","William Berczy Public School"
"046","MARKHAM--UNIONVILLE","025","U","MARKHAM","65","15","7","2","30","1","0","0","120","323","William Berczy Public School"
"046","MARKHAM--UNIONVILLE","026","U","MARKHAM","106","12","12","1","61","0","1","0","193","469","William Berczy Public School"
"046","MARKHAM--UNIONVILLE","027","U","MARKHAM","76","15","6","2","68","0","0","0","167","486","Blessed John Xxiii Elementary School"
"046","MARKHAM--UNIONVILLE","028","U","MARKHAM","81","12","18","1","62","0","3","0","177","395","William Berczy Public School"
"046","MARKHAM--UNIONVILLE","029","U","MARKHAM","92","25","14","0","74","0","0","0","205","503","Blessed John Xxiii Elementary School"
"046","MARKHAM--UNIONVILLE","030","U","MARKHAM","85","21","10","0","60","0","0","0","176","569","Blessed John Xxiii Elementary School"
"046","MARKHAM--UNIONVILLE","031","U","MARKHAM","107","15","4","0","54","0","0","0","180","469","Blessed John Xxiii Elementary School"
"046","MARKHAM--UNIONVILLE","032","U","MARKHAM","92","10","1","2","36","1","0","0","142","454","Blessed John Xxiii Elementary School"
"046","MARKHAM--UNIONVILLE","033","U","MARKHAM","93","13","7","0","69","0","0","0","182","550","Blessed John Xxiii Elementary School"
"046","MARKHAM--UNIONVILLE","034A","U","MARKHAM","67","10","8","0","43","0","0","0","128","345","Markham Civic Centre"
"046","MARKHAM--UNIONVILLE","034B","U","MARKHAM","59","9","5","1","40","0","1","0","115","326","Markham Civic Centre"
"046","MARKHAM--UNIONVILLE","035","U","MARKHAM","93","16","10","0","56","0","1","0","176","362","William Berczy Public School"
"046","MARKHAM--UNIONVILLE","036","U","MARKHAM","53","13","18","0","48","0","0","1","133","365","Parkview Public School"
"046","MARKHAM--UNIONVILLE","037","U","MARKHAM","100","20","16","2","55","0","0","1","194","431","Blessed John Xxiii Elementary School"
"046","MARKHAM--UNIONVILLE","038","U","UNIONVILLE","114","11","15","1","58","0","0","0","199","437","Unionville Public School"
"046","MARKHAM--UNIONVILLE","039","U","UNIONVILLE","95","13","14","3","68","0","0","0","193","456","Unionville Public School"
"046","MARKHAM--UNIONVILLE","040","U","MARKHAM","106","12","20","2","81","1","1","0","223","473","Parkview Public School"
"046","MARKHAM--UNIONVILLE","041","U","MARKHAM","82","12","9","0","41","0","0","1","145","411","Parkview Public School"
"046","MARKHAM--UNIONVILLE","042","U","MARKHAM","84","7","14","0","72","2","0","0","179","394","St. Matthew Catholic School"
"046","MARKHAM--UNIONVILLE","043","U","MARKHAM","92","21","11","0","51","1","1","0","177","488","St. Matthew Catholic School"
"046","MARKHAM--UNIONVILLE","044","U","MARKHAM","106","17","4","2","75","0","2","0","206","480","St. Matthew Catholic School"
"046","MARKHAM--UNIONVILLE","045","U","MARKHAM","75","18","3","1","58","0","0","0","155","488","St. Matthew Catholic School"
"046","MARKHAM--UNIONVILLE","046","U","MARKHAM","75","11","11","0","43","0","0","0","140","410","St. Matthew Catholic School"
"046","MARKHAM--UNIONVILLE","047","U","MARKHAM","88","32","8","1","52","0","0","0","181","511","Central Park Public School"
"046","MARKHAM--UNIONVILLE","048","U","MARKHAM","77","9","3","0","40","0","1","0","130","464","St. Matthew Catholic School"
"046","MARKHAM--UNIONVILLE","049","U","MARKHAM","84","11","4","0","25","1","0","0","125","379","Central Park Public School"
"046","MARKHAM--UNIONVILLE","050","U","MARKHAM","71","19","4","4","36","2","0","0","136","364","Central Park Public School"
"046","MARKHAM--UNIONVILLE","051","U","MARKHAM","97","35","4","0","42","0","3","0","181","528","Central Park Public School"
"046","MARKHAM--UNIONVILLE","052","U","MARKHAM","90","20","9","3","43","0","0","0","165","406","Central Park Public School"
"046","MARKHAM--UNIONVILLE","053","U","MARKHAM","71","11","5","0","47","4","2","0","140","426","Central Park Public School"
"046","MARKHAM--UNIONVILLE","054","U","MARKHAM","73","8","2","1","29","0","0","0","113","449","Central Park Public School"
"046","MARKHAM--UNIONVILLE","055","U","MARKHAM","73","24","5","2","36","4","1","0","145","466","Markham Centennial Community Centre"
"046","MARKHAM--UNIONVILLE","056","U","MARKHAM","63","20","6","3","59","1","0","0","152","425","Markham Centennial Community Centre"
"046","MARKHAM--UNIONVILLE","057","U","MARKHAM","68","30","11","1","45","0","0","0","155","462","Markham Centennial Community Centre"
"046","MARKHAM--UNIONVILLE","058","U","MARKHAM","46","12","9","0","55","0","0","0","122","301","Blessed John Xxiii Elementary School"
"046","MARKHAM--UNIONVILLE","059","U","MARKHAM","89","11","6","3","46","0","1","0","156","439","Bill Crothers Secondary School"
"046","MARKHAM--UNIONVILLE","060","U","MARKHAM","52","11","6","0","37","2","0","0","108","445","Unionville Meadows Public School"
"046","MARKHAM--UNIONVILLE","061","U","MARKHAM","78","20","5","0","29","0","0","0","132","397","Unionville Meadows Public School"
"046","MARKHAM--UNIONVILLE","062","U","MARKHAM","37","17","3","2","18","0","0","0","77","406","Bill Crothers Secondary School"
"046","MARKHAM--UNIONVILLE","063","U","MARKHAM","50","7","2","0","25","0","0","0","84","346","Unionville Meadows Public School"
"046","MARKHAM--UNIONVILLE","064","U","MARKHAM","83","13","8","0","39","1","1","0","145","387","Unionville Meadows Public School"
"046","MARKHAM--UNIONVILLE","065","U","MARKHAM","114","17","3","1","61","0","0","0","196","516","Harvest Bible Chapel"
"046","MARKHAM--UNIONVILLE","066A","U","MARKHAM","55","17","3","0","33","0","1","0","109","353","Unionville Meadows Public School"
"046","MARKHAM--UNIONVILLE","066B","U","MARKHAM","59","16","4","2","27","0","0","0","108","363","Unionville Meadows Public School"
"046","MARKHAM--UNIONVILLE","067","U","MARKHAM","86","36","2","0","42","0","0","0","166","529","Unionville Meadows Public School"
"046","MARKHAM--UNIONVILLE","068","U","MARKHAM","107","30","3","2","41","0","0","0","183","503","Unionville Meadows Public School"
"046","MARKHAM--UNIONVILLE","069","U","MARKHAM","93","34","8","1","30","1","1","0","168","453","Harvest Bible Chapel"
"046","MARKHAM--UNIONVILLE","070","U","MARKHAM","98","14","5","1","32","0","0","0","150","413","Harvest Bible Chapel"
"046","MARKHAM--UNIONVILLE","071","U","MARKHAM","88","29","11","2","57","1","0","0","188","388","St. Patrick Catholic School"
"046","MARKHAM--UNIONVILLE","072","U","MARKHAM","89","32","9","3","75","0","0","0","208","407","St. Patrick Catholic School"
"046","MARKHAM--UNIONVILLE","073","U","MARKHAM","45","17","3","1","29","0","0","0","95","270","St. Patrick Catholic School"
"046","MARKHAM--UNIONVILLE","074","U","MARKHAM","68","18","13","2","66","0","0","0","167","344","St. Patrick Catholic School"
"046","MARKHAM--UNIONVILLE","075","U","MARKHAM","103","19","9","1","55","0","0","0","187","461","Markham Village Community Library"
"046","MARKHAM--UNIONVILLE","076","U","MARKHAM","62","19","1","0","31","0","0","0","113","372","Markham Village Community Library"
"046","MARKHAM--UNIONVILLE","077","U","MARKHAM","113","30","18","1","44","1","0","0","207","435","Markham Village Community Library"
"046","MARKHAM--UNIONVILLE","078","U","MARKHAM","125","18","10","3","71","0","1","0","228","443","William Armstrong Public School"
"046","MARKHAM--UNIONVILLE","079","U","MARKHAM","124","25","16","2","63","0","0","0","230","475","William Armstrong Public School"
"046","MARKHAM--UNIONVILLE","080","U","MARKHAM","99","17","8","0","53","1","0","0","178","397","William Armstrong Public School"
"046","MARKHAM--UNIONVILLE","081","U","MARKHAM","135","21","22","6","55","0","0","0","239","447","William Armstrong Public School"
"046","MARKHAM--UNIONVILLE","082","U","MARKHAM","95","21","5","0","58","0","0","0","179","442","William Armstrong Public School"
"046","MARKHAM--UNIONVILLE","083","U","MARKHAM","..........................NO POLL HELD..........................","","","","","","","","","",""
"046","MARKHAM--UNIONVILLE","084","U","MARKHAM","234","70","20","4","111","3","1","0","443","1096","Milliken Mills Public School"
"046","MARKHAM--UNIONVILLE","085","U","MARKHAM","..........................NO POLL HELD..........................","","","","","","","","","",""
"046","MARKHAM--UNIONVILLE","086","U","MARKHAM","140","56","1","2","76","2","0","0","277","765","Milliken Mills Public School"
"046","MARKHAM--UNIONVILLE","087","U","MARKHAM","86","12","4","2","23","0","0","1","128","358","Mother Teresa Elementary School"
"046","MARKHAM--UNIONVILLE","088","U","MARKHAM","79","20","4","0","36","1","1","0","141","394","Mother Teresa Elementary School"
"046","MARKHAM--UNIONVILLE","089","U","MARKHAM","79","19","4","0","35","2","0","0","139","362","Mother Teresa Elementary School"
"046","MARKHAM--UNIONVILLE","090","U","MARKHAM","85","17","2","2","36","0","2","0","144","476","Milliken Mills Public School"
"046","MARKHAM--UNIONVILLE","091","U","MARKHAM","82","23","7","3","41","0","0","0","156","450","Mother Teresa Elementary School"
"046","MARKHAM--UNIONVILLE","092","U","MARKHAM","71","19","2","2","44","0","0","0","138","419","Mother Teresa Elementary School"
"046","MARKHAM--UNIONVILLE","093","U","MARKHAM","65","14","1","2","16","0","0","0","98","386","Mother Teresa Elementary School"
"046","MARKHAM--UNIONVILLE","094","U","MARKHAM","34","11","0","1","24","0","0","0","70","332","Milliken Mills Community Centre"
"046","MARKHAM--UNIONVILLE","095","U","MARKHAM","41","11","0","0","21","1","0","0","74","359","Milliken Mills Community Centre"
"046","MARKHAM--UNIONVILLE","096","U","MARKHAM","52","13","3","1","47","0","0","0","116","363","Milliken Mills Public School"
"046","MARKHAM--UNIONVILLE","097","U","MARKHAM","47","21","2","0","21","0","0","0","91","385","Milliken Mills Community Centre"
"046","MARKHAM--UNIONVILLE","098","U","MARKHAM","84","17","4","0","23","0","0","0","128","376","Milliken Mills Public School"
"046","MARKHAM--UNIONVILLE","099","U","MARKHAM","81","18","1","2","28","0","1","0","131","365","Milliken Mills Public School"
"046","MARKHAM--UNIONVILLE","100","U","MARKHAM","47","7","2","1","10","1","0","0","68","422","Milliken Mills Community Centre"
"046","MARKHAM--UNIONVILLE","101","U","MARKHAM","86","13","3","0","35","0","0","1","138","551","Milliken Mills Community Centre"
"046","MARKHAM--UNIONVILLE","102","U","MARKHAM","94","27","4","3","47","0","0","0","175","556","St. Francis Xavier Catholic School"
"046","MARKHAM--UNIONVILLE","103","U","MARKHAM","99","32","5","1","49","0","0","0","186","536","St. Francis Xavier Catholic School"
"046","MARKHAM--UNIONVILLE","104","U","MARKHAM","100","24","3","2","61","0","0","0","190","536","St. Francis Xavier Catholic School"
"046","MARKHAM--UNIONVILLE","105","U","MARKHAM","66","25","5","0","15","1","0","0","112","279","St. Francis Xavier Catholic School"
"046","MARKHAM--UNIONVILLE","106","U","MARKHAM","66","10","3","0","41","0","0","0","120","357","St. Francis Xavier Catholic School"
"046","MARKHAM--UNIONVILLE","107","U","MARKHAM","86","27","13","0","48","3","1","0","178","485","Randall Public School"
"046","MARKHAM--UNIONVILLE","108","U","MARKHAM","62","6","0","1","30","1","0","1","101","479","Milliken Mills Community Centre"
"046","MARKHAM--UNIONVILLE","109","U","MARKHAM","66","25","4","0","29","3","0","0","127","443","Milliken Mills Community Centre"
"046","MARKHAM--UNIONVILLE","110","U","MARKHAM","82","22","2","2","33","0","0","0","141","467","St. Benedict Catholic School"
"046","MARKHAM--UNIONVILLE","111","U","MARKHAM","51","22","0","5","26","0","0","0","104","408","St. Benedict Catholic School"
"046","MARKHAM--UNIONVILLE","112","U","MARKHAM","87","12","2","2","36","0","1","0","140","460","St. Benedict Catholic School"
"046","MARKHAM--UNIONVILLE","113","U","MARKHAM","71","41","8","2","54","0","1","0","177","522","St. Benedict Catholic School"
"046","MARKHAM--UNIONVILLE","114","U","MARKHAM","107","28","3","2","38","0","0","0","178","498","St. Benedict Catholic School"
"046","MARKHAM--UNIONVILLE","115","U","MARKHAM","78","37","6","1","44","1","0","0","167","630","Milliken Mills Community Centre"
"046","MARKHAM--UNIONVILLE","116","U","MARKHAM","88","28","4","1","56","0","0","0","177","622","Aldergrove Public School"
"046","MARKHAM--UNIONVILLE","117","U","MARKHAM","89","21","7","0","60","0","1","0","178","451","Aldergrove Public School"
"046","MARKHAM--UNIONVILLE","118","U","MARKHAM","74","29","4","4","64","3","0","0","178","484","Aldergrove Public School"
"046","MARKHAM--UNIONVILLE","119A","U","MARKHAM","64","26","2","1","13","0","0","0","106","386","Aldergrove Public School"
"046","MARKHAM--UNIONVILLE","119B","U","MARKHAM","72","24","1","0","22","1","1","0","121","311","Aldergrove Public School"
"046","MARKHAM--UNIONVILLE","120","U","MARKHAM","65","27","1","2","45","1","1","0","142","441","Aldergrove Public School"
"046","MARKHAM--UNIONVILLE","121","U","MARKHAM","87","27","1","1","42","0","0","0","158","417","Aldergrove Public School"
"046","MARKHAM--UNIONVILLE","122","U","MARKHAM","77","13","1","1","49","2","0","0","143","422","St. Francis Xavier Catholic School"
"046","MARKHAM--UNIONVILLE","123","U","MARKHAM","83","16","0","0","34","0","0","0","133","376","St. Francis Xavier Catholic School"
"046","MARKHAM--UNIONVILLE","124","U","MARKHAM","85","24","2","0","34","1","0","0","146","436","Randall Public School"
"046","MARKHAM--UNIONVILLE","125","U","MARKHAM","74","17","6","0","36","0","0","0","133","418","Randall Public School"
"046","MARKHAM--UNIONVILLE","126","U","MARKHAM","105","26","2","2","49","0","0","0","184","495","Randall Public School"
"046","MARKHAM--UNIONVILLE","127","U","MARKHAM","85","27","3","0","47","0","0","0","162","415","Randall Public School"
"046","MARKHAM--UNIONVILLE","128","U","MARKHAM","54","12","0","0","29","0","0","0","95","337","Randall Public School"
"046","MARKHAM--UNIONVILLE","129","U","MARKHAM","59","15","1","0","47","0","1","0","123","389","Randall Public School"
"046","MARKHAM--UNIONVILLE","130","U","MARKHAM","83","15","1","0","49","1","0","0","149","498","Armadale Community Centre"
"046","MARKHAM--UNIONVILLE","131","U","MARKHAM","55","18","2","0","36","0","0","0","111","381","Armadale Community Centre"
"046","MARKHAM--UNIONVILLE","132","U","MARKHAM","77","21","3","1","29","0","0","0","131","447","Armadale Community Centre"
"046","MARKHAM--UNIONVILLE","133","U","MARKHAM","71","16","3","0","48","0","0","0","138","492","Armadale Community Centre"
"046","MARKHAM--UNIONVILLE","134","U","MARKHAM","71","17","1","0","43","0","0","0","132","443","Wilclay Public School"
"046","MARKHAM--UNIONVILLE","135","U","MARKHAM","86","28","3","1","31","1","0","0","150","503","Wilclay Public School"
"046","MARKHAM--UNIONVILLE","136","U","MARKHAM","83","24","3","1","70","0","1","0","182","537","Wilclay Public School"
"046","MARKHAM--UNIONVILLE","137","U","MARKHAM","86","28","7","2","43","0","0","0","166","441","Wilclay Public School"
"046","MARKHAM--UNIONVILLE","138","U","MARKHAM","77","16","1","3","56","1","0","0","154","418","Wilclay Public School"
"046","MARKHAM--UNIONVILLE","139","U","MARKHAM","111","18","3","1","47","3","0","0","183","403","Wilclay Public School"
"046","MARKHAM--UNIONVILLE","140","U","MARKHAM","90","18","4","3","49","1","0","0","165","478","Wilclay Public School"
"046","MARKHAM--UNIONVILLE","141","U","MARKHAM","70","29","5","0","39","2","0","0","145","460","Father Michael McGivney Secondary School"
"046","MARKHAM--UNIONVILLE","142","U","MARKHAM","88","17","1","1","72","2","0","0","181","488","Father Michael McGivney Secondary School"
"046","MARKHAM--UNIONVILLE","143","U","MARKHAM","61","27","2","1","55","4","0","0","150","476","Father Michael McGivney Secondary School"
"046","MARKHAM--UNIONVILLE","144","U","MARKHAM","67","23","1","1","43","1","1","0","137","454","Father Michael McGivney Secondary School"
"046","MARKHAM--UNIONVILLE","145","U","MARKHAM","97","24","3","2","77","0","0","0","203","495","Coppard Glen Public School"
"046","MARKHAM--UNIONVILLE","146","U","MARKHAM","83","24","5","0","33","1","0","0","146","472","Coppard Glen Public School"
"046","MARKHAM--UNIONVILLE","147","U","MARKHAM","70","25","3","1","52","1","2","0","154","423","Coppard Glen Public School"
"046","MARKHAM--UNIONVILLE","148","U","MARKHAM","85","19","1","2","42","0","0","1","150","427","Coppard Glen Public School"
"046","MARKHAM--UNIONVILLE","149","U","MARKHAM","64","37","2","1","45","5","0","0","154","505","Coppard Glen Public School"
"046","MARKHAM--UNIONVILLE","150","U","MARKHAM","75","15","2","0","40","0","0","0","132","433","St. Vincent de Paul Elementary School"
"046","MARKHAM--UNIONVILLE","151","U","MARKHAM","80","23","4","1","64","0","0","0","172","509","St. Vincent de Paul Elementary School"
"046","MARKHAM--UNIONVILLE","152","U","MARKHAM","66","24","0","1","36","0","0","0","127","382","Armadale Public School"
"046","MARKHAM--UNIONVILLE","153","U","MARKHAM","92","22","3","2","37","1","2","0","159","437","Armadale Public School"
"046","MARKHAM--UNIONVILLE","154","U","MARKHAM","82","12","4","1","42","0","1","0","142","378","Armadale Public School"
"046","MARKHAM--UNIONVILLE","155","U","MARKHAM","52","23","0","1","51","0","0","0","127","373","Armadale Public School"
"046","MARKHAM--UNIONVILLE","156","U","MARKHAM","48","13","3","0","32","0","0","0","96","307","Armadale Public School"
"046","MARKHAM--UNIONVILLE","157","U","MARKHAM","71","19","1","1","48","1","0","0","141","426","St. Vincent de Paul Elementary School"
"046","MARKHAM--UNIONVILLE","158","U","MARKHAM","62","22","1","0","39","0","0","0","124","357","St. Vincent de Paul Elementary School"
"046","MARKHAM--UNIONVILLE","159","U","MARKHAM","62","28","2","0","35","0","0","0","127","408","St. Vincent de Paul Elementary School"
"046","MARKHAM--UNIONVILLE","160","U","MARKHAM","107","17","1","0","68","1","0","0","194","479","Armadale Public School"
"046","MARKHAM--UNIONVILLE","161","U","MARKHAM","106","32","1","2","79","2","0","0","222","569","Ellen Faircough Public School"
"046","MARKHAM--UNIONVILLE","162","U","MARKHAM","68","27","0","4","98","0","0","0","197","518","Ellen Faircough Public School"
"046","MARKHAM--UNIONVILLE","163","U","MARKHAM","92","22","1","0","60","1","1","0","177","484","Markham Gateway Public School"
"046","MARKHAM--UNIONVILLE","164","U","MARKHAM","53","13","1","0","97","1","0","1","166","390","Ellen Faircough Public School"
"046","MARKHAM--UNIONVILLE","165A","U","MARKHAM","55","10","1","0","28","0","0","0","94","302","Markham Gateway Public School"
"046","MARKHAM--UNIONVILLE","165B","U","MARKHAM","49","16","6","0","62","0","0","0","133","344","Markham Gateway Public School"
"046","MARKHAM--UNIONVILLE","166","U","MARKHAM","48","17","0","0","74","3","0","0","142","390","Markham Gateway Public School"
"046","MARKHAM--UNIONVILLE","167","U","MARKHAM","99","29","2","1","62","2","0","0","195","503","Markham Gateway Public School"
"046","MARKHAM--UNIONVILLE","168","U","MARKHAM","53","20","0","0","42","0","0","0","115","310","Markham Gateway Public School"
"046","MARKHAM--UNIONVILLE","169","U","MARKHAM","49","16","1","2","19","2","0","0","89","302","Parkland Public School"
"046","MARKHAM--UNIONVILLE","170","U","MARKHAM","69","17","6","0","30","6","0","0","128","343","Parkland Public School"
"046","MARKHAM--UNIONVILLE","171","U","MARKHAM","87","14","3","0","49","4","0","0","157","445","Parkland Public School"
"046","MARKHAM--UNIONVILLE","172","U","MARKHAM","118","27","2","3","45","2","0","0","197","476","Parkland Public School"
"046","MARKHAM--UNIONVILLE","173","U","MARKHAM","88","10","0","1","42","1","0","0","142","342","Parkland Public School"
"046","MARKHAM--UNIONVILLE","174","U","MARKHAM","98","29","1","0","34","0","0","0","162","475","Parkland Public School"
"046","MARKHAM--UNIONVILLE","175","U","MARKHAM","65","21","2","0","25","2","0","0","115","394","Parkland Public School"
"046","MARKHAM--UNIONVILLE","176","U","MARKHAM","83","13","1","0","40","3","1","0","141","398","Parkland Public School"
"046","MARKHAM--UNIONVILLE","177","U","MARKHAM","64","27","2","1","52","1","3","0","150","476","Parkland Public School"
"046","MARKHAM--UNIONVILLE","178","U","MARKHAM","61","10","1","0","35","0","0","0","107","314","Parkland Public School"
"046","MARKHAM--UNIONVILLE","179","U","MARKHAM","47","15","1","1","50","1","0","0","115","316","Parkland Public School"
"046","MARKHAM--UNIONVILLE","180","U","MARKHAM","64","19","2","0","29","4","1","0","119","339","Sir Richard W. Scott Catholic School"
"046","MARKHAM--UNIONVILLE","181","U","MARKHAM","88","26","2","2","42","0","1","0","161","459","Sir Richard W. Scott Catholic School"
"046","MARKHAM--UNIONVILLE","182","U","MARKHAM","54","14","0","0","83","0","0","0","151","408","Sir Richard W. Scott Catholic School"
"046","MARKHAM--UNIONVILLE","183","U","MARKHAM","95","13","4","0","32","2","1","0","147","391","Sir Richard W. Scott Catholic School"
"046","MARKHAM--UNIONVILLE","184","U","MARKHAM","123","21","1","0","72","2","0","0","219","546","Legacy Public School"
"046","MARKHAM--UNIONVILLE","185","U","MARKHAM","92","13","6","0","35","0","0","0","146","373","Legacy Public School"
"046","MARKHAM--UNIONVILLE","186","U","MARKHAM","82","27","3","0","55","0","1","0","168","414","Legacy Public School"
"046","MARKHAM--UNIONVILLE","187","U","MARKHAM","106","18","7","1","75","3","0","0","210","554","Legacy Public School"
"046","MARKHAM--UNIONVILLE","188","U","MARKHAM","72","16","2","1","57","1","0","0","149","380","Legacy Public School"
"046","MARKHAM--UNIONVILLE","189","U","MARKHAM","63","20","2","2","45","3","2","0","137","387","Boxwood Public School"
"046","MARKHAM--UNIONVILLE","190","U","MARKHAM","78","24","5","0","35","0","0","2","144","416","Boxwood Public School"
"046","MARKHAM--UNIONVILLE","191","U","MARKHAM","101","36","7","0","47","0","0","0","191","500","Boxwood Public School"
"046","MARKHAM--UNIONVILLE","192","U","MARKHAM","71","24","3","1","27","0","0","0","126","400","Boxwood Public School"
"046","MARKHAM--UNIONVILLE","193","U","MARKHAM","72","15","4","1","35","0","0","0","127","352","Boxwood Public School"
"046","MARKHAM--UNIONVILLE","194A","U","MARKHAM","45","13","0","0","47","0","0","0","105","360","Ellen Faircough Public School"
"046","MARKHAM--UNIONVILLE","194B","U","MARKHAM","30","7","1","0","84","0","0","0","122","346","Ellen Faircough Public School"
"046","MARKHAM--UNIONVILLE","195","U","MARKHAM","50","19","1","2","86","0","1","0","159","368","Cedarwood Public School"
"046","MARKHAM--UNIONVILLE","196","U","MARKHAM","31","3","4","0","45","0","0","0","83","178","Cedarwood Public School"
"046","MARKHAM--UNIONVILLE","197","U","MARKHAM","36","11","0","2","58","0","0","0","107","304","Cedarwood Public School"
"046","MARKHAM--UNIONVILLE","198","U","MARKHAM","83","24","6","2","121","1","0","0","237","542","Cedarwood Public School"
"046","MARKHAM--UNIONVILLE","199","U","MARKHAM","55","20","3","0","77","0","0","0","155","427","Cedarwood Public School"
"046","MARKHAM--UNIONVILLE","200","U","MARKHAM","54","20","2","0","84","1","0","0","161","472","Cedarwood Public School"
"046","MARKHAM--UNIONVILLE","400","U","MARKHAM","66","15","6","1","42","2","0","0","132","215","Unionville Centre for Seniors"
"046","MARKHAM--UNIONVILLE","401","U","MARKHAM","72","8","7","0","46","0","0","0","133","206","Waldon Pond 1"
"046","MARKHAM--UNIONVILLE","402","U","MARKHAM","86","17","6","0","41","0","2","0","152","230","Waldon Pond 2"
"046","MARKHAM--UNIONVILLE","403","U","MARKHAM","125","23","11","3","73","3","2","0","240","393","The Hunt Club"
"046","MARKHAM--UNIONVILLE","404","U","MARKHAM","82","15","6","3","51","0","1","0","158","500","Circa Shared Facilities YRSCC1067"
"046","MARKHAM--UNIONVILLE","405","U","MARKHAM","57","7","2","2","45","1","0","0","114","331","Circa Shared Facilities YRSCC1183"
"046","MARKHAM--UNIONVILLE","406","U","MARKHAM","36","9","0","1","27","0","1","0","74","143","Calvary House"
"046","MARKHAM--UNIONVILLE","407","U","MARKHAM","43","14","5","0","29","0","0","0","91","274","30 & 32 Clegg Road"
"046","MARKHAM--UNIONVILLE","408","U","MARKHAM","100","24","4","0","31","0","0","0","159","506","50 Clegg Road/60 South Towne Centre Boulevard"
"046","MARKHAM--UNIONVILLE","409","U","MARKHAM","55","16","3","4","26","1","1","0","106","299","55 South Town Centre Boulevard/75 South Town"
"046","MARKHAM--UNIONVILLE","410","U","MARKHAM","26","22","2","1","17","0","0","0","68","169","1 & 21 Upper Duke Crescent"
"046","MARKHAM--UNIONVILLE","411","U","MARKHAM","50","16","3","2","32","0","1","0","104","262","39 Upper Duke Crescent and 57 Upper Duke Crescent"
"046","MARKHAM--UNIONVILLE","412","U","MARKHAM","26","11","1","2","8","1","1","0","50","110","Tony Wong Place"
