"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DE VERTEUIL","DOMINATO","DUNCAN","LEVESQUE","MCAVOY","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"102","WINDSOR--TECUMSEH","028","U","WINDSOR","16","3","25","0","24","0","0","0","68","343","Lions Manor"
"102","WINDSOR--TECUMSEH","029","U","WINDSOR","14","2","28","2","62","0","0","0","108","414","Gino Marcus Community Complex"
"102","WINDSOR--TECUMSEH","030","U","WINDSOR","13","0","32","1","69","3","0","0","118","396","Gino Marcus Community Complex"
"102","WINDSOR--TECUMSEH","031","U","WINDSOR","8","3","28","3","66","0","0","0","108","311","Gino Marcus Community Complex"
"102","WINDSOR--TECUMSEH","032","U","WINDSOR","18","2","30","5","54","0","0","0","109","325","Gino Marcus Community Complex"
"102","WINDSOR--TECUMSEH","033","U","WINDSOR","18","2","27","5","50","2","0","0","104","238","Gino Marcus Community Complex"
"102","WINDSOR--TECUMSEH","034","U","WINDSOR","18","1","31","2","64","0","0","0","116","350","Most Precious Blood Parish"
"102","WINDSOR--TECUMSEH","035","U","WINDSOR","21","1","58","10","75","0","2","0","167","425","Most Precious Blood Parish"
"102","WINDSOR--TECUMSEH","036","U","WINDSOR","26","7","59","3","54","0","0","3","152","398","Most Precious Blood Parish"
"102","WINDSOR--TECUMSEH","037","U","WINDSOR","12","0","23","0","38","0","0","0","73","361","Windsor Public Library - Seminole"
"102","WINDSOR--TECUMSEH","038","U","WINDSOR","14","0","29","3","58","1","0","0","105","319","Windsor Public Library - Seminole"
"102","WINDSOR--TECUMSEH","039","U","WINDSOR","15","2","39","1","60","0","0","1","118","313","Windsor Public Library - Seminole"
"102","WINDSOR--TECUMSEH","040","U","WINDSOR","19","0","41","0","64","0","0","0","124","333","Constable John Atkinson Community Centre"
"102","WINDSOR--TECUMSEH","041","U","WINDSOR","7","3","37","1","67","0","0","0","115","327","Constable John Atkinson Community Centre"
"102","WINDSOR--TECUMSEH","042","U","WINDSOR","10","1","48","3","50","1","1","0","114","287","Constable John Atkinson Community Centre"
"102","WINDSOR--TECUMSEH","043","U","WINDSOR","14","0","42","5","74","0","0","0","135","327","Constable John Atkinson Community Centre"
"102","WINDSOR--TECUMSEH","044","U","WINDSOR","20","0","34","7","76","0","0","0","137","390","Percy McCallum School"
"102","WINDSOR--TECUMSEH","045","U","WINDSOR","21","0","41","3","66","0","1","0","132","322","Percy McCallum School"
"102","WINDSOR--TECUMSEH","046","U","WINDSOR","27","3","56","2","73","2","0","0","163","367","David Maxwell School"
"102","WINDSOR--TECUMSEH","047","U","WINDSOR","13","2","46","2","67","1","0","0","131","325","Percy McCallum School"
"102","WINDSOR--TECUMSEH","048","U","WINDSOR","18","1","45","0","43","1","0","0","108","351","Lions Manor"
"102","WINDSOR--TECUMSEH","049","U","WINDSOR","24","0","37","1","15","0","0","0","77","265","F. J. Brennan High School"
"102","WINDSOR--TECUMSEH","050","U","WINDSOR","67","2","104","5","55","0","0","0","233","527","St. Aidan's Church"
"102","WINDSOR--TECUMSEH","051","U","WINDSOR","12","0","35","1","51","0","0","1","100","385","F. J. Brennan High School"
"102","WINDSOR--TECUMSEH","052","U","WINDSOR","31","2","48","6","66","0","0","0","153","350","F. J. Brennan High School"
"102","WINDSOR--TECUMSEH","053","U","WINDSOR","19","0","42","0","84","0","0","0","145","377","David Maxwell School"
"102","WINDSOR--TECUMSEH","054","U","WINDSOR","24","0","44","4","63","0","0","0","135","381","David Maxwell School"
"102","WINDSOR--TECUMSEH","055","U","WINDSOR","20","1","40","3","58","0","0","0","122","387","David Maxwell School"
"102","WINDSOR--TECUMSEH","056","U","WINDSOR","26","2","56","7","72","1","0","0","164","392","David Maxwell School"
"102","WINDSOR--TECUMSEH","057","U","WINDSOR","47","1","84","5","28","2","1","0","168","349","St. Aidan's Church"
"102","WINDSOR--TECUMSEH","058","U","WINDSOR","31","1","93","7","17","1","0","0","150","335","St. Aidan's Church"
"102","WINDSOR--TECUMSEH","059","U","WINDSOR","35","2","44","9","55","0","0","0","145","360","F. J. Brennan High School"
"102","WINDSOR--TECUMSEH","060","U","WINDSOR","17","1","43","7","52","0","0","0","120","401","F. J. Brennan High School"
"102","WINDSOR--TECUMSEH","061","U","WINDSOR","36","0","73","3","54","0","0","0","166","396","F. J. Brennan High School"
"102","WINDSOR--TECUMSEH","062","U","WINDSOR","20","1","45","4","80","1","0","0","151","396","Rose City Islamic Centre"
"102","WINDSOR--TECUMSEH","063","U","WINDSOR","10","0","39","2","45","0","0","0","96","386","Rose City Islamic Centre"
"102","WINDSOR--TECUMSEH","064","U","WINDSOR","15","0","31","0","61","0","0","0","107","379","Rose City Islamic Centre"
"102","WINDSOR--TECUMSEH","065","U","WINDSOR","18","3","41","5","91","0","0","0","158","376","The Hospice of Windsor"
"102","WINDSOR--TECUMSEH","066","U","WINDSOR","24","2","55","0","70","0","0","0","151","341","The Hospice of Windsor"
"102","WINDSOR--TECUMSEH","067","U","WINDSOR","5","0","55","3","42","1","1","0","107","309","Percy McCallum School"
"102","WINDSOR--TECUMSEH","068","U","WINDSOR","15","3","34","0","59","0","0","0","111","309","Rose City Islamic Centre"
"102","WINDSOR--TECUMSEH","069","U","WINDSOR","18","1","53","5","65","2","0","0","144","384","Rose City Islamic Centre"
"102","WINDSOR--TECUMSEH","070","U","WINDSOR","20","1","44","1","77","0","0","0","143","337","The Hospice of Windsor"
"102","WINDSOR--TECUMSEH","071","U","WINDSOR","32","0","60","5","30","1","1","0","129","382","St. Aidan's Church"
"102","WINDSOR--TECUMSEH","072","U","WINDSOR","19","2","70","4","48","0","0","0","143","353","Dr. David Suzuki Elementary School"
"102","WINDSOR--TECUMSEH","073","U","WINDSOR","26","0","54","7","87","0","0","0","174","407","Dr. David Suzuki Elementary School"
"102","WINDSOR--TECUMSEH","074","U","WINDSOR","34","2","98","5","64","0","0","0","203","450","Dr. David Suzuki Elementary School"
"102","WINDSOR--TECUMSEH","075","U","WINDSOR","22","0","42","4","25","0","0","0","93","321","St. Rose School"
"102","WINDSOR--TECUMSEH","076","U","WINDSOR","23","4","49","1","33","0","0","0","110","312","St. Rose School"
"102","WINDSOR--TECUMSEH","077","U","WINDSOR","25","1","78","3","57","0","0","0","164","331","St. Rose School"
"102","WINDSOR--TECUMSEH","078","U","WINDSOR","24","1","95","2","53","1","0","0","176","331","Dr. David Suzuki Elementary School"
"102","WINDSOR--TECUMSEH","079","U","WINDSOR","23","0","45","3","38","0","0","0","109","298","Dr. David Suzuki Elementary School"
"102","WINDSOR--TECUMSEH","080","U","WINDSOR","40","2","78","4","41","0","0","0","165","383","Dr. David Suzuki Elementary School"
"102","WINDSOR--TECUMSEH","081","U","WINDSOR","28","1","47","4","51","0","0","0","131","356","Riverside Banquet Hall"
"102","WINDSOR--TECUMSEH","082","U","WINDSOR","25","2","69","3","22","0","0","0","121","310","St. Rose School"
"102","WINDSOR--TECUMSEH","083","U","WINDSOR","29","0","58","8","36","0","0","0","131","301","St. Rose School"
"102","WINDSOR--TECUMSEH","084","U","WINDSOR","21","1","73","5","83","0","0","0","183","393","Riverside Banquet Hall"
"102","WINDSOR--TECUMSEH","085","U","WINDSOR","22","1","55","2","33","1","0","0","114","300","Riverside Secondary School"
"102","WINDSOR--TECUMSEH","086","U","WINDSOR","21","2","63","5","48","0","0","0","139","332","Riverside Banquet Hall"
"102","WINDSOR--TECUMSEH","087","U","WINDSOR","27","0","57","0","33","0","0","0","117","361","Riverside Banquet Hall"
"102","WINDSOR--TECUMSEH","088","U","WINDSOR","28","0","38","1","44","1","0","0","112","340","St. John Vianney School"
"102","WINDSOR--TECUMSEH","089","U","WINDSOR","32","3","76","5","35","0","1","0","152","386","St. John Vianney School"
"102","WINDSOR--TECUMSEH","090","U","WINDSOR","29","2","55","3","38","1","0","0","128","373","St. John Vianney School"
"102","WINDSOR--TECUMSEH","091","U","WINDSOR","35","0","74","1","30","0","0","0","140","353","Windsor Yacht Club"
"102","WINDSOR--TECUMSEH","092","U","WINDSOR","27","1","104","6","47","0","0","0","185","401","St. John Vianney School"
"102","WINDSOR--TECUMSEH","093","U","WINDSOR","37","3","77","2","50","1","0","0","170","428","Riverside Secondary School"
"102","WINDSOR--TECUMSEH","094","U","WINDSOR","27","1","57","6","40","1","0","0","132","406","Riverside Secondary School"
"102","WINDSOR--TECUMSEH","095","U","WINDSOR","22","0","43","3","43","1","0","0","112","383","Windsor Yacht Club"
"102","WINDSOR--TECUMSEH","096","U","WINDSOR","28","4","65","2","71","0","0","0","170","407","Riverside Secondary School"
"102","WINDSOR--TECUMSEH","097","U","WINDSOR","32","3","80","5","51","0","0","0","171","379","Riverside Secondary School"
"102","WINDSOR--TECUMSEH","098","U","WINDSOR","15","1","36","1","36","0","0","0","89","476","WFCU Centre"
"102","WINDSOR--TECUMSEH","099","U","WINDSOR","20","2","29","2","56","1","0","0","110","384","WFCU Centre"
"102","WINDSOR--TECUMSEH","100","U","WINDSOR","17","2","36","8","73","2","0","0","138","410","WFCU Centre"
"102","WINDSOR--TECUMSEH","101","U","WINDSOR","20","0","28","0","35","1","0","0","84","399","WFCU Centre"
"102","WINDSOR--TECUMSEH","102","U","WINDSOR","15","2","22","0","55","0","0","0","94","408","WFCU Centre"
"102","WINDSOR--TECUMSEH","103","U","WINDSOR","25","1","34","2","50","0","0","0","112","399","WFCU Centre"
"102","WINDSOR--TECUMSEH","104","U","WINDSOR","30","1","71","3","37","2","0","0","144","382","Windsor Yacht Club"
"102","WINDSOR--TECUMSEH","105","U","WINDSOR","27","2","67","2","41","0","0","0","139","393","Windsor Yacht Club"
"102","WINDSOR--TECUMSEH","106","U","WINDSOR","20","1","74","2","11","0","1","0","109","225","Lilly Kazzilly's"
"102","WINDSOR--TECUMSEH","107","U","WINDSOR","40","2","78","4","42","0","1","0","167","406","Lilly Kazzilly's"
"102","WINDSOR--TECUMSEH","108","U","WINDSOR","29","2","42","5","29","0","0","0","107","309","Lilly Kazzilly's"
"102","WINDSOR--TECUMSEH","109","U","TECUMSEH","37","1","62","1","34","1","0","0","136","370","Tecumseh Knights of Columbus"
"102","WINDSOR--TECUMSEH","110","U","WINDSOR","28","1","43","1","29","1","0","0","103","360","St. Joseph High School"
"102","WINDSOR--TECUMSEH","111","U","WINDSOR","23","1","39","1","28","0","0","0","92","331","St. Joseph High School"
"102","WINDSOR--TECUMSEH","112","U","TECUMSEH","21","0","48","3","42","0","0","0","114","304","Tecumseh Knights of Columbus"
"102","WINDSOR--TECUMSEH","113","U","TECUMSEH","22","1","66","3","30","0","0","0","122","384","Tecumseh Knights of Columbus"
"102","WINDSOR--TECUMSEH","114","U","WINDSOR","32","2","78","2","41","1","0","0","156","387","St. Joseph High School"
"102","WINDSOR--TECUMSEH","115","U","WINDSOR","25","2","75","1","40","0","1","0","144","408","St. Joseph High School"
"102","WINDSOR--TECUMSEH","116","U","WINDSOR","48","1","92","7","62","1","0","0","211","470","St. Joseph High School"
"102","WINDSOR--TECUMSEH","117","U","WINDSOR","39","2","76","0","37","0","1","0","155","329","St. Joseph High School"
"102","WINDSOR--TECUMSEH","118","U","WINDSOR","15","1","49","1","30","0","0","0","96","373","St. Joseph High School"
"102","WINDSOR--TECUMSEH","119","U","WINDSOR","26","4","47","0","40","2","0","0","119","302","St. Joseph High School"
"102","WINDSOR--TECUMSEH","120","U","TECUMSEH","19","1","46","1","35","0","1","0","103","285","Banwell Community Church"
"102","WINDSOR--TECUMSEH","121","U","TECUMSEH","45","3","59","1","12","1","0","0","121","357","Tecumseh Knights of Columbus"
"102","WINDSOR--TECUMSEH","122","U","TECUMSEH","36","0","86","4","44","0","0","0","170","386","Tecumseh Knights of Columbus"
"102","WINDSOR--TECUMSEH","123","U","TECUMSEH","56","2","105","5","44","1","0","0","213","445","Tecumseh United Church"
"102","WINDSOR--TECUMSEH","124","U","TECUMSEH","42","1","73","3","49","0","0","0","168","377","Tecumseh Knights of Columbus"
"102","WINDSOR--TECUMSEH","125","U","TECUMSEH","55","1","91","7","24","0","0","0","178","366","Tecumseh United Church"
"102","WINDSOR--TECUMSEH","126","U","TECUMSEH","56","0","110","7","46","0","0","0","219","440","École Ste Marguerite D'Youville"
"102","WINDSOR--TECUMSEH","127","U","TECUMSEH","26","2","115","4","42","0","0","0","189","415","Banwell Community Church"
"102","WINDSOR--TECUMSEH","128","U","TECUMSEH","34","5","92","4","57","0","1","0","193","407","Banwell Community Church"
"102","WINDSOR--TECUMSEH","129","U","TECUMSEH","26","0","72","2","31","0","0","0","131","326","Tecumseh Recreation Centre"
"102","WINDSOR--TECUMSEH","130","U","TECUMSEH","37","2","80","7","45","0","0","0","171","474","Tecumseh Recreation Centre"
"102","WINDSOR--TECUMSEH","131","U","TECUMSEH","29","3","42","1","53","1","1","0","130","349","Banwell Community Church"
"102","WINDSOR--TECUMSEH","132","U","TECUMSEH","32","1","67","4","49","0","0","0","153","436","Tecumseh Recreation Centre"
"102","WINDSOR--TECUMSEH","133","U","TECUMSEH","36","3","98","3","22","0","0","0","162","364","Tecumseh United Church"
"102","WINDSOR--TECUMSEH","134","U","TECUMSEH","29","3","50","10","57","0","0","0","149","372","Tecumseh United Church"
"102","WINDSOR--TECUMSEH","135","U","TECUMSEH","48","1","101","5","38","1","0","0","194","416","Tecumseh United Church"
"102","WINDSOR--TECUMSEH","136","U","TECUMSEH","32","2","62","3","27","0","0","0","126","316","Tecumseh United Church"
"102","WINDSOR--TECUMSEH","137","U","TECUMSEH","36","3","87","2","74","0","1","0","203","449","Tecumseh Recreation Centre"
"102","WINDSOR--TECUMSEH","138","U","TECUMSEH","33","3","63","2","33","0","0","0","134","372","École Ste Marguerite D'Youville"
"102","WINDSOR--TECUMSEH","139","U","TECUMSEH","49","1","89","5","42","0","0","0","186","430","École Ste Marguerite D'Youville"
"102","WINDSOR--TECUMSEH","140","U","TECUMSEH","41","2","80","2","36","0","0","0","161","367","École Ste Marguerite D'Youville"
"102","WINDSOR--TECUMSEH","141","U","TECUMSEH","38","0","72","5","30","0","0","0","145","383","École Ste Marguerite D'Youville"
"102","WINDSOR--TECUMSEH","142","U","TECUMSEH","45","1","110","3","41","0","0","0","200","428","École Ste Marguerite D'Youville"
"102","WINDSOR--TECUMSEH","143","U","TECUMSEH","46","2","94","6","28","0","0","0","176","381","L'Essor High School"
"102","WINDSOR--TECUMSEH","144","U","TECUMSEH","24","2","86","4","16","0","0","0","132","344","L'Essor High School"
"102","WINDSOR--TECUMSEH","145","U","TECUMSEH","57","0","61","1","9","0","0","0","128","324","St. Mark's By-The-Lake"
"102","WINDSOR--TECUMSEH","146","U","TECUMSEH","37","1","82","3","35","1","0","0","159","408","St. Mark's By-The-Lake"
"102","WINDSOR--TECUMSEH","147","U","TECUMSEH","50","1","81","1","25","0","0","0","158","355","L'Essor High School"
"102","WINDSOR--TECUMSEH","148","U","TECUMSEH","43","1","68","1","42","0","0","0","155","326","L'Essor High School"
"102","WINDSOR--TECUMSEH","149","U","TECUMSEH","41","0","74","4","18","0","0","0","137","326","St. Mark's By-The-Lake"
"102","WINDSOR--TECUMSEH","150","U","TECUMSEH","69","0","90","3","15","0","0","0","177","403","St. Mark's By-The-Lake"
"102","WINDSOR--TECUMSEH","151","U","TECUMSEH","56","2","111","6","51","1","0","0","227","491","L'Essor High School"
"102","WINDSOR--TECUMSEH","152","U","TECUMSEH","44","3","49","0","37","2","0","0","135","316","L'Essor High School"
"102","WINDSOR--TECUMSEH","153","U","WINDSOR","32","2","92","2","43","2","1","0","174","364","St. Alexander"
"102","WINDSOR--TECUMSEH","154","U","WINDSOR","40","3","57","6","45","1","0","0","152","313","St. Alexander"
"102","WINDSOR--TECUMSEH","155","U","WINDSOR","45","3","69","6","46","0","0","0","169","358","St. Alexander"
"102","WINDSOR--TECUMSEH","156","U","WINDSOR","9","1","36","2","41","2","1","0","92","280","St. Alexander"
"102","WINDSOR--TECUMSEH","157","U","WINDSOR","15","0","24","2","33","0","0","0","74","279","St. Alexander"
"102","WINDSOR--TECUMSEH","158","U","WINDSOR","30","3","72","2","49","2","0","0","158","321","Windsor Public Library - Fontainebleau"
"102","WINDSOR--TECUMSEH","159","U","WINDSOR","27","2","45","2","56","1","1","0","134","346","Windsor Public Library - Fontainebleau"
"102","WINDSOR--TECUMSEH","160","U","WINDSOR","15","3","25","3","33","1","0","0","80","297","Roseville Public School"
"102","WINDSOR--TECUMSEH","161","U","WINDSOR","22","4","47","8","51","1","0","0","133","345","Roseville Public School"
"102","WINDSOR--TECUMSEH","162","U","WINDSOR","22","3","40","5","67","0","0","0","137","367","Roseville Public School"
"102","WINDSOR--TECUMSEH","163","U","WINDSOR","9","2","39","0","37","0","0","0","87","358","Roseville Public School"
"102","WINDSOR--TECUMSEH","164","U","WINDSOR","20","3","60","1","61","0","0","0","145","487","Roseville Public School"
"102","WINDSOR--TECUMSEH","165","U","WINDSOR","30","0","43","4","58","0","0","0","135","325","W. J. Langlois"
"102","WINDSOR--TECUMSEH","166","U","WINDSOR","26","4","65","1","49","1","1","0","147","308","Windsor Public Library - Fontainebleau"
"102","WINDSOR--TECUMSEH","167","U","WINDSOR","18","2","66","5","94","1","0","0","186","395","W. J. Langlois"
"102","WINDSOR--TECUMSEH","168","U","WINDSOR","22","0","27","3","23","0","0","0","75","279","W. J. Langlois"
"102","WINDSOR--TECUMSEH","169","U","WINDSOR","44","1","77","7","57","1","1","0","188","392","W. J. Langlois"
"102","WINDSOR--TECUMSEH","170","U","WINDSOR","4","0","15","3","17","0","0","0","39","259","Forest Glade Elementary"
"102","WINDSOR--TECUMSEH","171","U","WINDSOR","31","5","77","6","44","1","0","0","164","445","Forest Glade Elementary"
"102","WINDSOR--TECUMSEH","172","U","WINDSOR","18","3","36","4","46","4","1","0","112","415","Forest Glade Elementary"
"102","WINDSOR--TECUMSEH","173","U","WINDSOR","35","1","78","3","78","0","0","0","195","396","Forest Glade Elementary"
"102","WINDSOR--TECUMSEH","174","U","WINDSOR","26","0","89","4","37","0","0","0","156","397","Forest Glade Community Centre"
"102","WINDSOR--TECUMSEH","175","U","WINDSOR","6","2","17","2","19","0","0","0","46","304","Forest Glade Elementary"
"102","WINDSOR--TECUMSEH","176","U","WINDSOR","19","0","43","3","47","1","0","0","113","356","H.J. Lassaline"
"102","WINDSOR--TECUMSEH","177","U","WINDSOR","12","1","29","1","19","0","0","0","62","301","H.J. Lassaline"
"102","WINDSOR--TECUMSEH","178","U","WINDSOR","7","0","15","2","12","0","0","0","36","279","H.J. Lassaline"
"102","WINDSOR--TECUMSEH","179","U","WINDSOR","31","3","33","3","42","1","0","0","113","370","H.J. Lassaline"
"102","WINDSOR--TECUMSEH","180","U","WINDSOR","25","1","63","5","52","3","0","0","149","405","Forest Glade Community Centre"
"102","WINDSOR--TECUMSEH","181","U","WINDSOR","31","0","66","0","37","0","0","0","134","418","Forest Glade Community Centre"
"102","WINDSOR--TECUMSEH","182","U","WINDSOR","18","1","53","1","42","0","0","0","115","404","Forest Glade Arena"
"102","WINDSOR--TECUMSEH","183","U","WINDSOR","11","1","68","2","75","2","1","0","160","407","Forest Glade Arena"
"102","WINDSOR--TECUMSEH","184","U","WINDSOR","23","1","68","3","63","0","0","0","158","431","Forest Glade Arena"
"102","WINDSOR--TECUMSEH","185","U","WINDSOR","26","2","48","5","85","2","0","2","170","420","Our Lady of Atonement St. Francis Hall"
"102","WINDSOR--TECUMSEH","186","U","WINDSOR","34","5","61","3","55","1","0","0","159","405","Our Lady of Atonement St. Francis Hall"
"102","WINDSOR--TECUMSEH","187","U","WINDSOR","26","0","85","5","50","3","0","0","169","389","Our Lady of Atonement St. Francis Hall"
"102","WINDSOR--TECUMSEH","188","U","WINDSOR","36","1","55","3","64","0","0","0","159","403","Forest Glade Arena"
"102","WINDSOR--TECUMSEH","189","U","WINDSOR","40","1","80","3","46","0","0","0","170","399","Our Lady of Atonement St. Francis Hall"
"102","WINDSOR--TECUMSEH","190","U","WINDSOR","22","2","46","3","34","0","0","0","107","304","Forest Glade Community Centre"
"102","WINDSOR--TECUMSEH","191","U","WINDSOR","41","0","79","3","54","0","0","0","177","418","Forest Glade Community Centre"
"102","WINDSOR--TECUMSEH","192","U","WINDSOR","36","3","72","1","46","0","0","0","158","374","Forest Glade Community Centre"
"102","WINDSOR--TECUMSEH","193","U","WINDSOR","20","1","60","2","30","0","0","0","113","323","L. A. Desmarais"
"102","WINDSOR--TECUMSEH","194","U","WINDSOR","32","4","66","1","69","1","0","0","173","387","L. A. Desmarais"
"102","WINDSOR--TECUMSEH","195","U","WINDSOR","34","3","42","5","46","1","0","0","131","369","L. A. Desmarais"
"102","WINDSOR--TECUMSEH","196","U","WINDSOR","21","0","65","2","58","0","0","0","146","413","Forest Glade Arena"
"102","WINDSOR--TECUMSEH","197","U","WINDSOR","11","2","43","3","38","0","0","0","97","362","Forest Glade Arena"
"102","WINDSOR--TECUMSEH","198","U","TECUMSEH","15","1","41","1","28","0","0","0","86","263","St. Anne's Church Hall"
"102","WINDSOR--TECUMSEH","199","U","TECUMSEH","13","0","45","0","40","0","0","1","99","326","St. Anne's Church Hall"
"102","WINDSOR--TECUMSEH","200","U","TECUMSEH","28","1","50","3","32","1","2","0","117","341","St. Anne's Church Hall"
"102","WINDSOR--TECUMSEH","201","U","TECUMSEH","37","1","49","2","49","1","0","0","139","317","St. Anne's Church Hall"
"102","WINDSOR--TECUMSEH","202","U","TECUMSEH","33","3","67","3","49","0","1","0","156","383","St. Anne's Church Hall"
"102","WINDSOR--TECUMSEH","203","U","TECUMSEH","35","1","73","4","70","0","0","0","183","468","École St Antoine"
"102","WINDSOR--TECUMSEH","204","U","TECUMSEH","11","0","71","2","45","0","0","0","129","324","École St Antoine"
"102","WINDSOR--TECUMSEH","205","U","TECUMSEH","63","1","96","4","63","1","0","0","228","450","Calvary Community Church"
"102","WINDSOR--TECUMSEH","206","U","TECUMSEH","29","1","56","3","20","0","0","0","109","274","Calvary Community Church"
"102","WINDSOR--TECUMSEH","207","U","TECUMSEH","43","1","121","3","65","3","1","0","237","500","Calvary Community Church"
"102","WINDSOR--TECUMSEH","208","U","TECUMSEH","39","2","106","3","62","1","0","0","213","418","Calvary Community Church"
"102","WINDSOR--TECUMSEH","209","U","TECUMSEH","44","0","84","6","56","3","0","0","193","424","St. Peter's School"
"102","WINDSOR--TECUMSEH","210","U","TECUMSEH","60","8","120","0","26","0","2","0","216","471","Calvary Community Church"
"102","WINDSOR--TECUMSEH","211","U","TECUMSEH","36","2","96","9","62","1","0","0","206","396","St. Peter's School"
"102","WINDSOR--TECUMSEH","212","U","TECUMSEH","28","6","80","7","51","0","0","0","172","436","St. Peter's School"
"102","WINDSOR--TECUMSEH","213","U","OLDCASTLE","40","2","49","2","47","0","1","0","141","366","Ciociaro Club"
"102","WINDSOR--TECUMSEH","214","U","OLDCASTLE","28","0","43","4","29","5","0","0","109","296","Ciociaro Club"
"102","WINDSOR--TECUMSEH","215","U","OLDCASTLE","43","2","39","3","51","0","0","1","139","356","Ciociaro Club"
"102","WINDSOR--TECUMSEH","216","U","OLDCASTLE","40","5","53","1","39","0","0","1","139","351","Ciociaro Club"
"102","WINDSOR--TECUMSEH","217","U","MAIDSTONE","63","4","65","4","61","0","0","0","197","398","St. Mary's Parish Hall"
"102","WINDSOR--TECUMSEH","218","U","MAIDSTONE","51","6","37","2","31","0","0","0","127","254","St. Mary's Parish Hall"
"102","WINDSOR--TECUMSEH","400","U","WINDSOR","14","0","28","2","22","0","0","0","66","206","Lonsdale Apartments"
"102","WINDSOR--TECUMSEH","401","U","WINDSOR","10","0","50","3","35","1","0","0","99","178","Palazzo Apartments"
"102","WINDSOR--TECUMSEH","402","U","WINDSOR","18","2","35","1","30","0","0","1","87","130","Harbour Towers"
"102","WINDSOR--TECUMSEH","403","U","WINDSOR","23","1","26","1","15","0","0","0","66","139","Pinnacle Apartments"
"102","WINDSOR--TECUMSEH","404","U","WINDSOR","10","1","15","0","5","0","0","0","31","51","Glengarda Condo"
"102","WINDSOR--TECUMSEH","405","U","WINDSOR","19","0","18","1","20","0","0","0","58","144","Seaway Towers"
