"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ARNOTT","DARTSCH","HAMILTON","JOHNSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"099","WELLINGTON--HALTON HILLS","020","U","FERGUS","145","1","21","31","0","0","0","198","424","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","021","U","FERGUS","153","8","43","46","0","0","0","250","590","Wellington County Museum and Archives"
"099","WELLINGTON--HALTON HILLS","022","U","FERGUS","126","5","29","51","0","1","0","212","477","Wellington County Museum and Archives"
"099","WELLINGTON--HALTON HILLS","023","U","FERGUS","68","3","27","26","0","1","0","125","373","St. Joseph's Catholic School"
"099","WELLINGTON--HALTON HILLS","024","U","FERGUS","57","7","28","19","0","0","0","111","273","Royal Canadian Legion, Branch 275"
"099","WELLINGTON--HALTON HILLS","025","U","FERGUS","70","3","20","27","0","0","0","120","299","St. Joseph's Catholic School"
"099","WELLINGTON--HALTON HILLS","026","U","FERGUS","71","9","28","39","1","0","0","148","336","Royal Canadian Legion, Branch 275"
"099","WELLINGTON--HALTON HILLS","027","U","FERGUS","45","5","19","27","0","1","0","97","297","Royal Canadian Legion, Branch 275"
"099","WELLINGTON--HALTON HILLS","028","U","FERGUS","109","7","28","40","1","1","0","186","378","Royal Canadian Legion, Branch 275"
"099","WELLINGTON--HALTON HILLS","029","U","FERGUS","119","2","21","37","0","0","0","179","406","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","030","U","FERGUS","104","4","30","33","0","0","0","171","439","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","031","U","FERGUS","73","4","23","40","0","0","0","140","331","Royal Canadian Legion, Branch 275"
"099","WELLINGTON--HALTON HILLS","032","U","FERGUS","120","11","30","58","0","1","0","220","456","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","033","U","FERGUS","114","7","20","29","0","0","0","170","408","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","034","U","FERGUS","55","1","24","25","2","1","0","108","248","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","035","U","FERGUS","54","6","15","12","0","0","0","87","299","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","036","U","FERGUS","107","3","32","30","0","1","1","174","377","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","037","U","FERGUS","61","10","20","15","0","0","0","106","246","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","038","U","FERGUS","89","3","31","28","0","0","0","151","438","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","039","U","ELORA","121","8","31","54","0","0","0","214","474","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","040","U","ELORA","80","14","30","61","0","0","0","185","466","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","041","U","ELORA","134","4","41","78","0","0","0","257","597","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","042","U","FERGUS","92","3","11","31","1","1","0","139","323","Wellington County Museum and Archives"
"099","WELLINGTON--HALTON HILLS","043","U","FERGUS","71","6","21","26","0","0","0","124","330","Wellington County Museum and Archives"
"099","WELLINGTON--HALTON HILLS","044","U","ELORA","84","8","26","34","0","0","0","152","295","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","045","U","ELORA","65","5","17","28","0","0","0","115","277","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","046","U","ELORA","34","16","33","45","1","0","0","129","354","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","047","U","ELORA","71","6","24","19","0","0","0","120","303","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","048","U","ELORA","73","3","31","35","0","0","0","142","375","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","049","U","ELORA","130","6","44","76","1","0","2","259","603","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","050","U","MARDEN","190","10","39","74","0","0","0","313","658","Marden Community Centre"
"099","WELLINGTON--HALTON HILLS","051","U","MARDEN","115","11","19","57","0","0","0","202","456","Marden Community Centre"
"099","WELLINGTON--HALTON HILLS","052","U","MARDEN","61","2","22","42","1","0","0","128","336","Marden Community Centre"
"099","WELLINGTON--HALTON HILLS","053","U","MARDEN","76","6","21","33","0","0","0","136","313","Marden Community Centre"
"099","WELLINGTON--HALTON HILLS","054","U","MARDEN","138","8","30","92","1","0","0","269","526","Grace Community Church"
"099","WELLINGTON--HALTON HILLS","055","U","ENNOTVILLE","65","6","16","15","0","0","0","102","215","Ennotville Historical Library"
"099","WELLINGTON--HALTON HILLS","056","U","MARDEN","103","10","20","69","0","0","0","202","420","Grace Community Church"
"099","WELLINGTON--HALTON HILLS","057","U","GUELPH/ERAMOSA","110","8","35","35","0","0","0","188","397","Eramosa Public School"
"099","WELLINGTON--HALTON HILLS","058","U","GUELPH/ERAMOSA","126","1","33","50","1","2","0","213","455","Eramosa Public School"
"099","WELLINGTON--HALTON HILLS","059","U","MARDEN","80","8","25","66","0","1","0","180","439","Grace Community Church"
"099","WELLINGTON--HALTON HILLS","060","U","EDEN MILLS","92","10","45","48","0","3","0","198","448","Eden Mills and District Community Hall"
"099","WELLINGTON--HALTON HILLS","061","U","EDEN MILLS","66","7","77","46","0","0","1","197","364","Eden Mills and District Community Hall"
"099","WELLINGTON--HALTON HILLS","062","U","ROCKWOOD","53","8","23","21","0","0","0","105","267","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","063","U","ROCKWOOD","98","8","40","41","0","0","0","187","403","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","064","U","ROCKWOOD","113","10","45","44","0","0","0","212","448","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","065","U","ROCKWOOD","53","5","22","10","0","0","0","90","246","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","066","U","ROCKWOOD","54","8","20","19","0","0","0","101","324","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","067","U","ROCKWOOD","97","2","30","73","0","0","0","202","408","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","068","U","ROCKWOOD","74","2","25","33","0","0","0","134","263","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","069","U","ROCKWOOD","91","4","26","71","1","0","0","193","453","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","070","U","ROCKWOOD","48","6","25","33","0","0","0","112","308","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","071","U","ROCKWOOD","100","8","46","62","0","0","0","216","507","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","072","U","ROCKWOOD","68","6","24","36","1","0","0","135","320","Rockmosa Community Centre"
"099","WELLINGTON--HALTON HILLS","073","U","ABERFOYLE","84","10","35","44","0","0","0","173","473","Mini Lakes Park Pavilion (Gate 3)"
"099","WELLINGTON--HALTON HILLS","074","U","ABERFOYLE","67","4","10","31","0","0","0","112","241","Mini Lakes Park Pavilion (Gate 3)"
"099","WELLINGTON--HALTON HILLS","075A","U","ABERFOYLE","84","9","20","45","0","0","0","158","360","Mini Lakes Park Pavilion (Gate 3)"
"099","WELLINGTON--HALTON HILLS","075B","U","ABERFOYLE","110","1","28","43","0","0","0","182","382","Mini Lakes Park Pavilion (Gate 3)"
"099","WELLINGTON--HALTON HILLS","076","U","ABERFOYLE","112","4","20","56","1","0","0","193","498","Puslinch Community Centre"
"099","WELLINGTON--HALTON HILLS","077","U","PUSLINCH TWP","70","7","22","47","0","0","1","147","316","United Food and  Commercial Workers"
"099","WELLINGTON--HALTON HILLS","078","U","PUSLINCH TWP","154","4","18","43","0","0","1","220","501","United Food and  Commercial Workers"
"099","WELLINGTON--HALTON HILLS","079","U","PUSLINCH TWP","46","10","19","26","0","0","0","101","239","United Food and  Commercial Workers"
"099","WELLINGTON--HALTON HILLS","080","U","PUSLINCH TWP","121","7","12","40","0","0","0","180","395","United Food and  Commercial Workers"
"099","WELLINGTON--HALTON HILLS","081","U","ABERFOYLE","141","6","38","43","0","0","0","228","508","Puslinch Community Centre"
"099","WELLINGTON--HALTON HILLS","082","U","ABERFOYLE","81","3","25","34","0","0","0","143","377","Puslinch Community Centre"
"099","WELLINGTON--HALTON HILLS","083","U","ABERFOYLE","149","10","41","53","2","0","0","255","607","Puslinch Community Centre"
"099","WELLINGTON--HALTON HILLS","084","U","ABERFOYLE","52","4","17","31","0","0","0","104","221","Puslinch Community Centre"
"099","WELLINGTON--HALTON HILLS","085","U","HILLSBURGH","98","10","24","50","0","0","0","182","526","Ross R. Mackay Public School"
"099","WELLINGTON--HALTON HILLS","086","U","HILLSBURGH","178","15","44","38","1","0","0","276","578","Ross R. Mackay Public School"
"099","WELLINGTON--HALTON HILLS","087","U","HILLSBURGH","109","6","10","47","0","0","0","172","430","Ross R. Mackay Public School"
"099","WELLINGTON--HALTON HILLS","088","U","HILLSBURGH","81","8","30","32","0","0","0","151","328","Ross R. Mackay Public School"
"099","WELLINGTON--HALTON HILLS","089","U","HILLSBURGH","96","7","28","22","0","0","0","153","385","Ross R. Mackay Public School"
"099","WELLINGTON--HALTON HILLS","090","U","HILLSBURGH","89","11","19","43","0","0","0","162","337","Ross R. Mackay Public School"
"099","WELLINGTON--HALTON HILLS","091","U","BRISBANE","128","6","49","44","0","0","0","227","503","Brisbane Public School"
"099","WELLINGTON--HALTON HILLS","092","U","ERIN","100","9","19","35","0","0","0","163","407","Erin Public School"
"099","WELLINGTON--HALTON HILLS","093","U","ERIN","87","7","17","22","0","0","0","133","376","Erin Public School"
"099","WELLINGTON--HALTON HILLS","094","U","ERIN","78","11","34","45","0","0","0","168","486","Erin Public School"
"099","WELLINGTON--HALTON HILLS","095","U","ERIN","122","7","39","33","0","0","0","201","435","Erin Public School"
"099","WELLINGTON--HALTON HILLS","096","U","ERIN","104","10","43","32","0","0","0","189","501","Erin Public School"
"099","WELLINGTON--HALTON HILLS","097","U","ERIN","55","3","17","33","0","0","0","108","243","Erin Public School"
"099","WELLINGTON--HALTON HILLS","098","U","ERIN","111","8","13","41","0","0","0","173","437","Erin Public School"
"099","WELLINGTON--HALTON HILLS","099","U","BRISBANE","101","5","34","55","0","0","0","195","472","Brisbane Public School"
"099","WELLINGTON--HALTON HILLS","100","U","BALLINAFAD","98","5","22","42","0","0","0","167","341","Ballinafad Community Centre"
"099","WELLINGTON--HALTON HILLS","101","U","BALLINAFAD","117","9","16","32","0","1","0","175","332","Ballinafad Community Centre"
"099","WELLINGTON--HALTON HILLS","102","U","BRISBANE","88","8","20","61","0","0","0","177","363","Brisbane Public School"
"099","WELLINGTON--HALTON HILLS","103","U","BRISBANE","104","7","22","34","0","0","0","167","459","Brisbane Public School"
"099","WELLINGTON--HALTON HILLS","104","U","ACTON","46","1","5","34","0","1","0","87","288","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","105","U","ACTON","136","2","22","52","0","0","0","212","506","Acton Arena and Community Centre"
"099","WELLINGTON--HALTON HILLS","106","U","ACTON","61","7","17","25","0","0","0","110","298","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","107","U","ACTON","49","4","27","40","1","0","0","121","328","Robert Little Public School"
"099","WELLINGTON--HALTON HILLS","108","U","ACTON","89","2","22","40","0","0","0","153","352","Robert Little Public School"
"099","WELLINGTON--HALTON HILLS","109","U","ACTON","64","4","27","30","0","0","0","125","317","Robert Little Public School"
"099","WELLINGTON--HALTON HILLS","110","U","ACTON","42","2","22","14","0","0","0","80","284","Robert Little Public School"
"099","WELLINGTON--HALTON HILLS","111","U","ACTON","110","5","23","29","0","0","0","167","406","Acton Arena and Community Centre"
"099","WELLINGTON--HALTON HILLS","112","U","ACTON","115","1","21","51","1","0","0","189","434","Robert Little Public School"
"099","WELLINGTON--HALTON HILLS","113","U","ACTON","119","4","27","44","0","0","0","194","438","Acton Arena and Community Centre"
"099","WELLINGTON--HALTON HILLS","114","U","ACTON","80","4","27","53","1","0","0","165","326","Acton Arena and Community Centre"
"099","WELLINGTON--HALTON HILLS","115","U","ACTON","87","3","31","43","1","0","0","165","332","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","116","U","ACTON","54","5","30","24","0","0","2","115","318","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","117","U","ACTON","38","7","21","43","0","0","1","110","421","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","118","U","ACTON","56","5","24","17","0","0","0","102","274","Acton Arena and Community Centre"
"099","WELLINGTON--HALTON HILLS","119","U","ACTON","81","3","15","24","0","0","1","124","272","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","120","U","ACTON","64","12","20","17","0","0","0","113","391","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","121","U","ACTON","51","5","36","32","1","0","0","125","500","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","122","U","ACTON","62","3","32","40","2","0","0","139","405","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","123","U","ACTON","41","5","36","23","0","0","0","105","287","Acton Arena and Community Centre"
"099","WELLINGTON--HALTON HILLS","124","U","ACTON","76","3","27","26","0","1","0","133","307","Acton Arena and Community Centre"
"099","WELLINGTON--HALTON HILLS","125","U","ACTON","142","11","39","58","0","0","0","250","543","Acton Arena and Community Centre"
"099","WELLINGTON--HALTON HILLS","126","U","ACTON","65","8","23","48","0","1","0","145","364","Acton Arena and Community Centre"
"099","WELLINGTON--HALTON HILLS","127","U","BALLINAFAD","133","10","21","66","0","1","0","231","477","Ballinafad Community Centre"
"099","WELLINGTON--HALTON HILLS","128","U","BALLINAFAD","48","0","12","32","0","0","0","92","226","Ballinafad Community Centre"
"099","WELLINGTON--HALTON HILLS","129","U","LIMEHOUSE","98","6","24","44","0","0","0","172","382","Limehouse Memorial Hall"
"099","WELLINGTON--HALTON HILLS","130","U","GLEN WILLIAMS","146","4","35","75","0","0","0","260","546","St. Alban the Martyr Anglican Church"
"099","WELLINGTON--HALTON HILLS","131","U","ACTON","79","4","18","36","1","0","0","138","340","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","132","U","LIMEHOUSE","96","4","16","34","1","0","0","151","394","Limehouse Memorial Hall"
"099","WELLINGTON--HALTON HILLS","133","U","ACTON","84","2","20","44","2","0","0","152","463","Royal Canadian Legion, Branch 197"
"099","WELLINGTON--HALTON HILLS","134","U","HALTON HILLS","97","4","15","67","0","0","1","184","441","Pineview Public School"
"099","WELLINGTON--HALTON HILLS","135","U","HALTON HILLS","43","2","9","25","0","0","0","79","215","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","136","U","HALTON HILLS","135","3","29","55","1","1","0","224","488","Pineview Public School"
"099","WELLINGTON--HALTON HILLS","137","U","HALTON HILLS","88","7","17","44","0","0","0","156","381","Pineview Public School"
"099","WELLINGTON--HALTON HILLS","138","U","HALTON HILLS","54","0","7","22","0","0","0","83","212","Pineview Public School"
"099","WELLINGTON--HALTON HILLS","139","U","HALTON HILLS","80","2","17","40","0","0","0","139","354","Pineview Public School"
"099","WELLINGTON--HALTON HILLS","140","U","GEORGETOWN","127","5","30","62","0","1","1","226","692","Joseph Gibbons Public School"
"099","WELLINGTON--HALTON HILLS","141","U","GLEN WILLIAMS","145","8","23","87","0","0","0","263","552","St. Alban the Martyr Anglican Church"
"099","WELLINGTON--HALTON HILLS","142","U","GLEN WILLIAMS","85","5","22","40","1","2","0","155","379","St. Alban the Martyr Anglican Church"
"099","WELLINGTON--HALTON HILLS","143","U","GEORGETOWN","120","3","33","67","0","0","0","223","564","George Kennedy Public School"
"099","WELLINGTON--HALTON HILLS","144","U","GEORGETOWN","89","0","16","60","0","0","0","165","393","Joseph Gibbons Public School"
"099","WELLINGTON--HALTON HILLS","145","U","GEORGETOWN","90","5","27","68","0","0","0","190","388","Joseph Gibbons Public School"
"099","WELLINGTON--HALTON HILLS","146","U","GEORGETOWN","100","12","29","61","2","0","1","205","464","Joseph Gibbons Public School"
"099","WELLINGTON--HALTON HILLS","147","U","GEORGETOWN","101","8","19","50","1","0","0","179","391","Joseph Gibbons Public School"
"099","WELLINGTON--HALTON HILLS","148","U","GEORGETOWN","53","7","5","30","0","0","0","95","224","Joseph Gibbons Public School"
"099","WELLINGTON--HALTON HILLS","149","U","GEORGETOWN","89","3","25","80","0","0","0","197","514","Joseph Gibbons Public School"
"099","WELLINGTON--HALTON HILLS","150","U","HALTON HILLS","80","4","13","65","2","0","0","164","396","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","151","U","HALTON HILLS","96","4","17","69","0","0","0","186","444","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","152","U","HALTON HILLS","53","1","16","29","0","0","0","99","231","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","153","U","HALTON HILLS","88","9","27","85","0","0","1","210","406","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","154","U","HALTON HILLS","46","4","20","44","0","0","0","114","273","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","155","U","GEORGETOWN","41","5","18","37","0","0","0","101","330","Joseph Gibbons Public School"
"099","WELLINGTON--HALTON HILLS","156","U","GEORGETOWN","122","4","35","51","0","0","0","212","534","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","157","U","GEORGETOWN","55","2","23","34","0","0","0","114","321","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","158","U","GEORGETOWN","66","7","39","38","0","0","1","151","397","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","159","U","GEORGETOWN","88","8","34","57","0","0","0","187","561","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","160","U","HALTON HILLS","34","1","9","18","0","0","0","62","136","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","161","U","HALTON HILLS","85","5","13","95","0","0","0","198","404","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","162","U","HALTON HILLS","79","2","22","80","2","0","0","185","400","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","163","U","GEORGETOWN","69","6","28","62","0","0","0","165","261","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","164","U","HALTON HILLS","109","4","16","89","0","0","0","218","514","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","165","U","HALTON HILLS","75","2","15","53","0","0","0","145","340","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","166","U","HALTON HILLS","50","4","13","70","0","1","0","138","326","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","167","U","HALTON HILLS","91","1","7","63","1","0","0","163","376","Halton Hills Christian School"
"099","WELLINGTON--HALTON HILLS","168","U","GEORGETOWN","88","1","11","55","0","0","0","155","324","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","169","U","GEORGETOWN","76","5","25","37","0","0","0","143","348","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","170","U","GEORGETOWN","47","4","22","25","0","0","0","98","263","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","171","U","GEORGETOWN","64","7","39","60","0","0","0","170","484","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","172","U","GEORGETOWN","64","6","30","24","0","0","0","124","360","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","173","U","GEORGETOWN","91","9","13","46","0","0","0","159","389","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","174","U","GEORGETOWN","78","10","28","47","2","0","0","165","432","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","175","U","GEORGETOWN","58","5","27","25","1","0","0","116","362","Maple Avenue Baptist Church"
"099","WELLINGTON--HALTON HILLS","176","U","GEORGETOWN","106","6","29","44","0","0","0","185","421","St. Andrew's United Church"
"099","WELLINGTON--HALTON HILLS","177","U","GEORGETOWN","53","2","33","13","1","0","0","102","320","St. Andrew's United Church"
"099","WELLINGTON--HALTON HILLS","178","U","GEORGETOWN","127","4","31","53","1","0","0","216","457","St. Andrew's United Church"
"099","WELLINGTON--HALTON HILLS","179","U","GEORGETOWN","77","4","16","81","0","0","1","179","340","St. Andrew's United Church"
"099","WELLINGTON--HALTON HILLS","180","U","GEORGETOWN","57","5","16","62","1","0","0","141","344","George Kennedy Public School"
"099","WELLINGTON--HALTON HILLS","181","U","GEORGETOWN","66","6","23","38","1","0","0","134","358","St. Andrew's United Church"
"099","WELLINGTON--HALTON HILLS","182","U","GEORGETOWN","122","3","25","78","0","0","0","228","596","Sacre-Coeur School"
"099","WELLINGTON--HALTON HILLS","183","U","GEORGETOWN","97","5","28","69","0","0","0","199","465","Sacre-Coeur School"
"099","WELLINGTON--HALTON HILLS","184","U","GEORGETOWN","81","1","30","52","0","0","0","164","352","George Kennedy Public School"
"099","WELLINGTON--HALTON HILLS","185","U","GEORGETOWN","40","2","18","35","0","0","0","95","235","George Kennedy Public School"
"099","WELLINGTON--HALTON HILLS","186","U","GEORGETOWN","109","3","28","86","0","0","0","226","423","St. Andrew's United Church"
"099","WELLINGTON--HALTON HILLS","187","U","GEORGETOWN","83","5","25","51","0","0","0","164","330","George Kennedy Public School"
"099","WELLINGTON--HALTON HILLS","188","U","GEORGETOWN","98","4","33","57","0","0","0","192","421","George Kennedy Public School"
"099","WELLINGTON--HALTON HILLS","189","U","GEORGETOWN","93","4","27","94","0","0","0","218","438","George Kennedy Public School"
"099","WELLINGTON--HALTON HILLS","190","U","GEORGETOWN","63","4","16","42","0","0","0","125","280","Sacre-Coeur School"
"099","WELLINGTON--HALTON HILLS","191","U","GEORGETOWN","98","2","8","75","0","0","0","183","364","Gellert Community Centre"
"099","WELLINGTON--HALTON HILLS","192","U","GEORGETOWN","81","4","19","55","0","0","0","159","413","Sacre-Coeur School"
"099","WELLINGTON--HALTON HILLS","193","U","GEORGETOWN","90","4","11","53","0","0","0","158","408","Gellert Community Centre"
"099","WELLINGTON--HALTON HILLS","194","U","GEORGETOWN","117","11","31","79","0","0","0","238","473","Sacre-Coeur School"
"099","WELLINGTON--HALTON HILLS","195","U","GEORGETOWN","98","5","30","71","0","0","0","204","406","Sacre-Coeur School"
"099","WELLINGTON--HALTON HILLS","196","U","GEORGETOWN","90","6","28","91","0","0","0","215","464","Sacre-Coeur School"
"099","WELLINGTON--HALTON HILLS","197","U","GEORGETOWN","92","9","20","52","1","0","0","174","441","St. Catherine of Alexandria Catholic School"
"099","WELLINGTON--HALTON HILLS","198","U","GEORGETOWN","43","4","14","52","1","0","1","115","249","St. Catherine of Alexandria Catholic School"
"099","WELLINGTON--HALTON HILLS","199","U","GEORGETOWN","85","4","23","85","0","0","0","197","426","St. Catherine of Alexandria Catholic School"
"099","WELLINGTON--HALTON HILLS","200","U","GEORGETOWN","107","3","18","71","0","0","0","199","483","St. Catherine of Alexandria Catholic School"
"099","WELLINGTON--HALTON HILLS","201","U","GEORGETOWN","93","4","12","55","0","0","0","164","437","Gellert Community Centre"
"099","WELLINGTON--HALTON HILLS","202","U","GEORGETOWN","121","2","26","60","0","0","0","209","501","Gellert Community Centre"
"099","WELLINGTON--HALTON HILLS","203","U","GEORGETOWN","109","4","24","69","0","0","0","206","557","Gellert Community Centre"
"099","WELLINGTON--HALTON HILLS","204","U","GEORGETOWN","128","3","46","97","0","0","0","274","726","St. Catherine of Alexandria Catholic School"
"099","WELLINGTON--HALTON HILLS","205","U","GEORGETOWN","65","4","16","34","0","0","0","119","235","St. Catherine of Alexandria Catholic School"
"099","WELLINGTON--HALTON HILLS","206","U","GEORGETOWN","120","2","34","67","0","0","0","223","469","St. Catherine of Alexandria Catholic School"
"099","WELLINGTON--HALTON HILLS","400","U","GEORGETOWN","29","5","21","23","0","0","2","80","171","Silvercreek Towers - 2"
"099","WELLINGTON--HALTON HILLS","401","U","GEORGETOWN","29","2","17","26","1","0","0","75","146","Silvercreek Towers - 1"
"099","WELLINGTON--HALTON HILLS","402","U","GEORGETOWN","82","2","22","51","0","0","0","157","204","The Sands"
"099","WELLINGTON--HALTON HILLS","403","U","ELORA","43","0","9","12","0","1","0","65","85","Heritage River Retirement Residence"
"099","WELLINGTON--HALTON HILLS","404","U","GEORGETOWN","15","0","2","5","0","0","0","22","150","The Gallery"
"099","WELLINGTON--HALTON HILLS","700","U","ERIN","..........................NO POLL HELD..........................","","","","","","","","",""
"099","WELLINGTON--HALTON HILLS","701","U","FERGUS","..........................NO POLL HELD..........................","","","","","","","","",""
"099","WELLINGTON--HALTON HILLS","702","U","FERGUS","22","0","11","5","1","1","0","40","117","Caressant Care - Nursing/Retirement Home"
"099","WELLINGTON--HALTON HILLS","703","U","FERGUS","32","0","8","11","0","1","0","52","177","Wellington Terrace Long Care Home"
"099","WELLINGTON--HALTON HILLS","704","U","FERGUS","39","1","4","2","0","2","0","48","64","Highland Manor Retirement Lodge"
