"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","FEDELI","GIROUX","HAIG","WHITING","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"057","NIPISSING","707","U","TROUT CREEK","18","2","1","9","1","0","0","31","86","Lady Isabelle Nursing Home"
"057","NIPISSING","708","U","CORBEIL","..........................NO POLL HELD..........................","","","","","","","","",""
"057","NIPISSING","709","U","CORBEIL","..........................NO POLL HELD..........................","","","","","","","","",""
"057","NIPISSING","710","U","CORBEIL","..........................NO POLL HELD..........................","","","","","","","","",""
"057","NIPISSING","711","U","CORBEIL","..........................NO POLL HELD..........................","","","","","","","","",""
"057","NIPISSING","712","U","TROUT CREEK","..........................NO POLL HELD..........................","","","","","","","","",""
"057","NIPISSING","713","U","POWASSAN","..........................NO POLL HELD..........................","","","","","","","","",""
"057","NIPISSING","ADV001","U","NORTH BAY","363","109","25","232","0","0","0","729","0","Returning Office / Bureau du directeur du scrutin"
"057","NIPISSING","ADV002","U","NORTH BAY","402","127","34","230","0","0","0","793","0","Special Ballot Voting / Vote par bulletin spécial"
"057","NIPISSING","ADV003","U","MATTAWA","162","60","8","74","0","0","0","304","0","Voyageur Curling Club"
"057","NIPISSING","ADV004","U","NORTH BAY","1514","404","61","670","5","2","2","2658","0","Northgate Shopping Center"
"057","NIPISSING","ADV005","U","NORTH BAY","999","243","51","524","0","2","1","1820","0","North Bay Mall"
"057","NIPISSING","ADV006","U","CALLANDER","346","68","9","111","1","0","0","535","0","Callander Legion Branch #445"
"057","NIPISSING","ADV007","U","POWASSAN","209","43","7","55","2","0","0","316","0","Powassan Legion Branch 453"
"057","NIPISSING","ADV008","U","NORTH BAY","57","35","4","49","1","0","0","146","0","Founders House - Nipissing University"
"TOTALS:","","","","","15381","5567","971","8775","98","42","12","30846","59481",""
