"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DRIVER","DUGUID","MATHURIN","MOLE","WILLIAMS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"081","SCARBOROUGH CENTRE","025","U","TORONTO","1","43","31","1","16","1","0","0","93","314","Ellesmere Community Centre"
"081","SCARBOROUGH CENTRE","026","U","TORONTO","2","102","27","4","46","1","0","0","182","461","Ellesmere Statton Public School"
"081","SCARBOROUGH CENTRE","027","U","TORONTO","1","104","38","1","35","1","0","0","180","423","Dorset Park Baptist Church"
"081","SCARBOROUGH CENTRE","028","U","TORONTO","3","105","25","1","27","0","0","0","161","449","Dorset Park Baptist Church"
"081","SCARBOROUGH CENTRE","029","U","TORONTO","1","98","21","6","62","0","0","0","188","398","Edgewood Public School"
"081","SCARBOROUGH CENTRE","030","U","TORONTO","5","79","22","3","51","0","2","0","162","352","Edgewood Public School"
"081","SCARBOROUGH CENTRE","031","U","TORONTO","1","127","38","2","53","0","0","0","221","467","St. Andrew's Public School"
"081","SCARBOROUGH CENTRE","032","U","TORONTO","2","108","52","4","62","1","0","0","229","431","St. Andrew's Public School"
"081","SCARBOROUGH CENTRE","033","U","TORONTO","1","115","34","5","51","1","1","0","208","432","North Bendale Junior Public School"
"081","SCARBOROUGH CENTRE","034","U","TORONTO","0","102","40","2","66","1","0","0","211","443","North Bendale Junior Public School"
"081","SCARBOROUGH CENTRE","035","U","TORONTO","0","121","33","3","48","1","0","0","206","441","North Bendale Junior Public School"
"081","SCARBOROUGH CENTRE","036","U","TORONTO","0","68","43","2","45","1","0","0","159","336","Maryvale Public School"
"081","SCARBOROUGH CENTRE","037","U","TORONTO","1","69","25","7","39","0","0","0","141","394","Ellesmere Community Centre"
"081","SCARBOROUGH CENTRE","038","U","TORONTO","0","84","37","3","38","0","0","1","163","354","Ellesmere Community Centre"
"081","SCARBOROUGH CENTRE","039","U","TORONTO","0","129","32","3","61","0","0","0","225","424","St. Andrew's Presbyterian Church"
"081","SCARBOROUGH CENTRE","040","U","TORONTO","1","103","38","3","52","1","0","0","198","405","St. Andrew's Public School"
"081","SCARBOROUGH CENTRE","041","U","TORONTO","0","116","29","7","60","3","2","0","217","430","Bendale Junior Public School"
"081","SCARBOROUGH CENTRE","042","U","TORONTO","2","98","36","2","57","2","0","0","197","421","Bendale Junior Public School"
"081","SCARBOROUGH CENTRE","043","U","TORONTO","1","73","24","1","55","1","2","0","157","366","Maryvale Public School"
"081","SCARBOROUGH CENTRE","044","U","TORONTO","3","97","42","3","41","0","1","0","187","451","Gooderham Learning Centre"
"081","SCARBOROUGH CENTRE","045","U","TORONTO","0","112","18","3","47","0","0","0","180","415","Manhattan Park Junior Public School"
"081","SCARBOROUGH CENTRE","046","U","TORONTO","4","110","29","5","42","1","2","0","193","399","Manhattan Park Junior Public School"
"081","SCARBOROUGH CENTRE","047","U","TORONTO","0","64","39","2","34","0","0","1","140","374","Dorset Park Junior Public School"
"081","SCARBOROUGH CENTRE","048","U","TORONTO","0","77","33","7","36","0","1","0","154","377","Dorset Park Junior Public School"
"081","SCARBOROUGH CENTRE","049","U","TORONTO","1","62","31","2","41","0","0","0","137","344","St. Giles Anglican Church"
"081","SCARBOROUGH CENTRE","050","U","TORONTO","0","76","54","9","42","0","1","0","182","419","St. Giles Anglican Church"
"081","SCARBOROUGH CENTRE","051","U","TORONTO","0","91","22","9","57","0","1","0","180","387","Bendale Business and Technical Institute"
"081","SCARBOROUGH CENTRE","052","U","TORONTO","1","96","18","1","45","0","0","0","161","379","Highbrook Campus ( Donwood Pk Public School)"
"081","SCARBOROUGH CENTRE","053","U","TORONTO","1","88","34","4","49","0","0","0","176","404","St. Andrew's Presbyterian Church"
"081","SCARBOROUGH CENTRE","054","U","TORONTO","3","43","15","1","20","0","1","0","83","293","Wexford Collegiate Institute"
"081","SCARBOROUGH CENTRE","055","U","TORONTO","1","77","25","1","32","0","0","0","136","325","Wexford Collegiate Institute"
"081","SCARBOROUGH CENTRE","056","U","TORONTO","3","90","16","1","40","0","0","0","150","402","Gooderham Learning Centre"
"081","SCARBOROUGH CENTRE","057","U","TORONTO","1","81","31","1","59","0","0","0","173","379","Manhattan Park Junior Public School"
"081","SCARBOROUGH CENTRE","058","U","TORONTO","2","68","35","2","70","0","1","0","178","405","Manhattan Park Junior Public School"
"081","SCARBOROUGH CENTRE","059","U","TORONTO","1","84","33","6","44","0","0","0","168","381","St. Giles Anglican Church"
"081","SCARBOROUGH CENTRE","060","U","TORONTO","4","90","23","4","60","0","0","0","181","378","St. Giles Anglican Church"
"081","SCARBOROUGH CENTRE","061","U","TORONTO","0","75","28","5","17","0","0","0","125","405","Bendale Business and Technical Institute"
"081","SCARBOROUGH CENTRE","062","U","TORONTO","3","80","45","2","41","1","0","0","172","382","Highbrook Campus ( Donwood Pk Public School)"
"081","SCARBOROUGH CENTRE","063","U","TORONTO","0","91","34","5","49","0","0","0","179","381","St. Rose of Lima Catholic School"
"081","SCARBOROUGH CENTRE","064","U","TORONTO","1","80","33","4","50","1","0","0","169","379","St. Rose of Lima Catholic School"
"081","SCARBOROUGH CENTRE","065","U","TORONTO","0","79","43","3","32","1","0","0","158","388","Wexford Collegiate Institute"
"081","SCARBOROUGH CENTRE","066","U","TORONTO","0","69","35","2","38","0","0","0","144","379","Gooderham Learning Centre"
"081","SCARBOROUGH CENTRE","067","U","TORONTO","3","78","36","4","46","0","0","0","167","386","Wexford Heights United Church"
"081","SCARBOROUGH CENTRE","068","U","TORONTO","3","80","37","3","30","0","0","0","153","433","Dorset Park Junior Public School"
"081","SCARBOROUGH CENTRE","069","U","TORONTO","0","102","23","4","41","1","1","0","172","397","Highbrook Campus ( Donwood Pk Public School)"
"081","SCARBOROUGH CENTRE","070","U","TORONTO","1","84","46","4","50","0","0","0","185","453","Bendale Public Library"
"081","SCARBOROUGH CENTRE","071","U","TORONTO","2","100","31","6","45","1","0","0","185","394","St. Rose of Lima Catholic School"
"081","SCARBOROUGH CENTRE","072","U","TORONTO","2","91","38","1","46","0","1","0","179","432","Wexford Public School"
"081","SCARBOROUGH CENTRE","073","U","TORONTO","1","60","38","2","18","0","0","0","119","340","Wexford Public School"
"081","SCARBOROUGH CENTRE","074","U","TORONTO","0","84","47","1","44","0","1","0","177","428","Precious Blood Catholic School"
"081","SCARBOROUGH CENTRE","075","U","TORONTO","1","85","42","2","40","11","0","0","181","412","George Peck Public School"
"081","SCARBOROUGH CENTRE","076","U","TORONTO","1","74","30","3","26","1","0","0","135","362","McGregor Park Community Centre"
"081","SCARBOROUGH CENTRE","077","U","TORONTO","0","72","31","4","24","0","0","0","131","330","Winston Churchill Collegiate Institute"
"081","SCARBOROUGH CENTRE","078","U","TORONTO","2","94","31","3","28","2","0","0","160","439","Winston Churchill Collegiate Institute"
"081","SCARBOROUGH CENTRE","079","U","TORONTO","2","118","36","4","52","1","0","0","213","464","St. Peter's Anglican Church"
"081","SCARBOROUGH CENTRE","080","U","TORONTO","0","73","27","0","35","0","0","0","135","422","Bendale Public Library"
"081","SCARBOROUGH CENTRE","081","U","TORONTO","3","119","39","0","62","0","0","0","223","462","Evangelical St Matthew's Lutheran Church"
"081","SCARBOROUGH CENTRE","082","U","TORONTO","1","92","26","3","87","0","0","0","209","454","Evangelical St Matthew's Lutheran Church"
"081","SCARBOROUGH CENTRE","083","U","TORONTO","1","66","30","1","33","0","0","0","131","332","Wexford Public School"
"081","SCARBOROUGH CENTRE","084","U","TORONTO","0","86","35","3","43","1","0","0","168","420","Precious Blood Catholic School"
"081","SCARBOROUGH CENTRE","085","U","TORONTO","2","105","55","4","62","0","1","0","229","448","George Peck Public School"
"081","SCARBOROUGH CENTRE","086","U","TORONTO","1","68","53","2","52","1","0","0","177","419","George Peck Public School"
"081","SCARBOROUGH CENTRE","087","U","TORONTO","1","68","37","2","30","0","0","0","138","328","McGregor Park Community Centre"
"081","SCARBOROUGH CENTRE","088","U","TORONTO","2","58","30","3","35","0","0","0","128","380","McGregor Park Community Centre"
"081","SCARBOROUGH CENTRE","089","U","TORONTO","4","54","45","2","30","0","0","0","135","359","Winston Churchill Collegiate Institute"
"081","SCARBOROUGH CENTRE","090","U","TORONTO","0","88","35","4","43","0","0","0","170","412","Charles Gordon Senior Public School"
"081","SCARBOROUGH CENTRE","091","U","TORONTO","2","109","46","0","30","0","0","0","187","428","Charles Gordon Senior Public School"
"081","SCARBOROUGH CENTRE","092","U","TORONTO","1","93","28","1","33","3","0","0","159","418","Knob Hill Junior Public School"
"081","SCARBOROUGH CENTRE","093","U","TORONTO","2","118","38","3","45","1","0","0","207","440","Bendale Public Library"
"081","SCARBOROUGH CENTRE","094","U","TORONTO","1","73","36","2","64","0","0","0","176","386","Bendale Public Library"
"081","SCARBOROUGH CENTRE","095","U","TORONTO","0","101","26","3","49","1","0","0","180","481","Evangelical St Matthew's Lutheran Church"
"081","SCARBOROUGH CENTRE","096","U","TORONTO","2","97","34","1","38","0","0","0","172","406","Church of Jesus Christ of Latter Day Saints"
"081","SCARBOROUGH CENTRE","097","U","TORONTO","1","72","26","4","28","1","0","0","132","312","Precious Blood Catholic School"
"081","SCARBOROUGH CENTRE","098","U","TORONTO","1","81","36","3","21","0","0","0","142","377","Precious Blood Catholic School"
"081","SCARBOROUGH CENTRE","099","U","TORONTO","0","113","55","4","41","0","0","0","213","463","George Peck Public School"
"081","SCARBOROUGH CENTRE","100","U","TORONTO","2","72","30","1","36","1","0","1","143","376","George Peck Public School"
"081","SCARBOROUGH CENTRE","101","U","TORONTO","1","90","30","2","42","1","0","0","166","392","Wilmar Heights United Church"
"081","SCARBOROUGH CENTRE","102","U","TORONTO","0","98","28","2","50","1","0","0","179","459","Wilmar Heights United Church"
"081","SCARBOROUGH CENTRE","103","U","TORONTO","1","97","32","2","28","1","0","0","161","410","Charles Gordon Senior Public School"
"081","SCARBOROUGH CENTRE","104","U","TORONTO","1","85","48","5","40","0","1","0","180","434","Hunter's Glen Junior Public School"
"081","SCARBOROUGH CENTRE","105","U","TORONTO","2","113","43","5","61","3","0","0","227","453","Hunter's Glen Junior Public School"
"081","SCARBOROUGH CENTRE","106","U","TORONTO","1","84","26","2","44","0","0","0","157","377","Knob Hill Junior Public School"
"081","SCARBOROUGH CENTRE","107","U","TORONTO","2","117","47","8","49","0","1","0","224","457","Lord Roberts Junior Public School"
"081","SCARBOROUGH CENTRE","108","U","TORONTO","2","90","28","1","39","0","0","0","160","407","Jean Vanier Catholic Public School"
"081","SCARBOROUGH CENTRE","109","U","TORONTO","2","113","35","1","50","0","0","0","201","405","Glen Ravine Junior Public School"
"081","SCARBOROUGH CENTRE","110","U","TORONTO","3","71","28","3","48","0","0","0","153","400","Glen Ravine Junior Public School"
"081","SCARBOROUGH CENTRE","111","U","TORONTO","1","61","28","1","29","1","0","0","121","343","Knob Hill Junior Public School"
"081","SCARBOROUGH CENTRE","112","U","TORONTO","1","118","35","1","32","0","1","0","188","490","Bendale Public Library"
"081","SCARBOROUGH CENTRE","113","U","TORONTO","4","69","52","7","24","2","0","0","158","329","Jean Vanier Catholic Public School"
"081","SCARBOROUGH CENTRE","114","U","TORONTO","1","55","29","4","22","0","1","0","112","321","Glen Ravine Junior Public School"
"081","SCARBOROUGH CENTRE","115","U","TORONTO","1","79","26","4","50","1","0","0","161","346","Glen Ravine Junior Public School"
"081","SCARBOROUGH CENTRE","116","U","TORONTO","2","51","34","1","20","0","0","0","108","349","Glen Ravine Junior Public School"
"081","SCARBOROUGH CENTRE","117","U","TORONTO","4","44","18","1","25","0","0","0","92","326","Glen Ravine Junior Public School"
"081","SCARBOROUGH CENTRE","118","U","TORONTO","1","51","25","3","16","1","0","0","97","306","St. David's Village Apartment-Retirement Residence"
"081","SCARBOROUGH CENTRE","119","U","TORONTO","5","97","41","1","27","1","2","0","174","460","St. David's Village Apartment-Retirement Residence"
"081","SCARBOROUGH CENTRE","120","U","TORONTO","0","115","45","2","27","1","1","0","191","471","Church of Jesus Christ of Latter Day Saints"
"081","SCARBOROUGH CENTRE","121","U","TORONTO","1","110","32","0","28","1","0","0","172","435","Church of Jesus Christ of Latter Day Saints"
"081","SCARBOROUGH CENTRE","400","U","TORONTO","3","46","29","3","34","2","0","0","117","259","Terrapark Apartment(s)"
"081","SCARBOROUGH CENTRE","401","U","TORONTO","0","37","30","0","6","0","0","0","73","241","Glamorgan Junior Public School"
"081","SCARBOROUGH CENTRE","402","U","TORONTO","2","37","31","0","13","0","0","0","83","155","30 Antrim Crescent"
"081","SCARBOROUGH CENTRE","403","U","TORONTO","1","44","33","2","11","0","0","0","91","200","20 Antrim Crescent"
"081","SCARBOROUGH CENTRE","404","U","TORONTO","1","76","51","0","18","0","0","0","146","299","Sunrise Terrace YCC405"
"081","SCARBOROUGH CENTRE","405","U","TORONTO","4","74","50","1","15","0","0","0","144","279","Kennedy Place"
"081","SCARBOROUGH CENTRE","406","U","TORONTO","3","36","24","2","26","1","0","1","93","207","11 Antrim Crescent"
"081","SCARBOROUGH CENTRE","407","U","TORONTO","0","28","13","1","6","0","0","0","48","219","Glamorgan Junior Public School"
"081","SCARBOROUGH CENTRE","408","U","TORONTO","0","74","49","3","27","4","3","0","160","274","The Copenhagen YCC81"
"081","SCARBOROUGH CENTRE","409","U","TORONTO","3","35","32","0","5","0","0","0","75","200","7 Glamorgan Avenue"
"081","SCARBOROUGH CENTRE","410","U","TORONTO","6","44","23","1","7","0","0","0","81","241","7 Glamorgan Avenue"
"081","SCARBOROUGH CENTRE","411","U","TORONTO","0","30","8","0","0","0","0","0","38","164","Glamorgan Junior Public School"
"081","SCARBOROUGH CENTRE","412","U","TORONTO","0","17","14","0","2","0","0","0","33","148","Glamorgan Junior Public School"
"081","SCARBOROUGH CENTRE","413A","U","TORONTO","3","62","28","2","37","0","0","0","132","430","Consilium Club Apartment(s) MTCC1143"
"081","SCARBOROUGH CENTRE","413B","U","TORONTO","0","53","24","3","28","0","0","0","108","360","Consilium Club Apartment(s) MTCC1143"
"081","SCARBOROUGH CENTRE","414A","U","TORONTO","3","83","32","3","36","0","0","0","157","447","Consilium Club Apartment(s) MTCC1023"
"081","SCARBOROUGH CENTRE","414B","U","TORONTO","1","74","25","4","31","0","0","0","135","374","Consilium Club Apartment(s) MTCC1023"
"081","SCARBOROUGH CENTRE","415","U","TORONTO","8","65","21","3","25","1","0","0","123","354","Hillsborough Court - 18"
"081","SCARBOROUGH CENTRE","416","U","TORONTO","0","54","34","3","36","1","0","0","128","450","Ellipse I"
"081","SCARBOROUGH CENTRE","417","U","TORONTO","1","54","32","7","29","0","1","0","124","427","Ellipse II"
"081","SCARBOROUGH CENTRE","418","U","TORONTO","1","42","36","2","23","1","0","0","105","320","May Tower II TSCC1411"
"081","SCARBOROUGH CENTRE","419","U","TORONTO","2","50","20","1","32","2","1","0","108","365","May Tower I"
"081","SCARBOROUGH CENTRE","420","U","TORONTO","2","62","35","6","27","0","0","0","132","385","Hillsborough Court - 8"
"081","SCARBOROUGH CENTRE","421","U","TORONTO","2","99","43","2","36","0","0","0","182","419","Mondeo Springs - 18"
"081","SCARBOROUGH CENTRE","422","U","TORONTO","2","113","36","1","40","4","1","0","197","450","Mondeo Springs - 18"
"081","SCARBOROUGH CENTRE","423","U","TORONTO","3","123","37","7","57","2","0","0","229","594","360 Degrees at City Centre"
"081","SCARBOROUGH CENTRE","424","U","TORONTO","2","83","37","2","40","0","0","0","164","424","Omni"
"081","SCARBOROUGH CENTRE","425","U","TORONTO","0","29","16","0","21","0","0","0","66","214","Omni"
"081","SCARBOROUGH CENTRE","426","U","TORONTO","2","89","31","1","46","0","0","0","169","455","Omni"
"081","SCARBOROUGH CENTRE","427","U","TORONTO","0","57","25","2","38","0","0","0","122","358","Equinox II"
"081","SCARBOROUGH CENTRE","428","U","TORONTO","2","55","23","3","32","0","0","0","115","292","Equinox I"
"081","SCARBOROUGH CENTRE","429","U","TORONTO","0","37","25","3","23","0","0","3","91","251","TCSS 2036  (70 Town Centre )"
"081","SCARBOROUGH CENTRE","430","U","TORONTO","0","51","26","1","22","0","0","0","100","227","TCSS 2044 ( 60 Town Centre )"
"081","SCARBOROUGH CENTRE","431","U","TORONTO","2","84","34","5","42","0","0","0","167","387","Forest Vista"
"081","SCARBOROUGH CENTRE","432","U","TORONTO","2","67","37","1","24","1","0","0","132","274","The Skyscape  TCSS 1948"
"081","SCARBOROUGH CENTRE","433","U","TORONTO","1","31","16","1","13","0","0","0","62","206","Blue Danube Apartment(s)"
"081","SCARBOROUGH CENTRE","434","U","TORONTO","0","29","17","1","2","1","0","0","50","206","Wexford Public School"
"081","SCARBOROUGH CENTRE","435","U","TORONTO","0","42","29","0","31","1","0","0","103","191","Grace Community Corporation (Salvation Army)"
"081","SCARBOROUGH CENTRE","436","U","TORONTO","3","69","57","6","30","1","1","0","167","335","Aldebrain Towers Apartment(s)"
"081","SCARBOROUGH CENTRE","437","U","TORONTO","1","23","20","3","22","0","0","0","69","192","McGregor Park Community Centre"
"081","SCARBOROUGH CENTRE","438","U","TORONTO","3","82","68","1","21","0","0","0","175","344","The Birches Apartment YCC380"
"081","SCARBOROUGH CENTRE","439","U","TORONTO","3","101","70","3","28","0","0","0","205","416","The Birches Apartment(s) YCC386"
"081","SCARBOROUGH CENTRE","440","U","TORONTO","2","79","39","3","38","0","0","0","161","288","The Birches Apartment YCC211"
"081","SCARBOROUGH CENTRE","441","U","TORONTO","0","24","17","1","7","0","0","0","49","218","Winston Churchill Collegiate Institute"
"081","SCARBOROUGH CENTRE","442","U","TORONTO","0","22","4","0","7","0","0","0","33","186","Winston Churchill Collegiate Institute"
"081","SCARBOROUGH CENTRE","443","U","TORONTO","1","129","46","2","16","0","0","0","194","468","Scarborough Fair"
"081","SCARBOROUGH CENTRE","444","U","TORONTO","2","91","42","4","26","2","0","0","167","447","Scarborough Fair"
"081","SCARBOROUGH CENTRE","445","U","TORONTO","2","74","30","0","5","1","2","0","114","413","Bendale Business and Technical Institute"
"081","SCARBOROUGH CENTRE","446","U","TORONTO","0","71","14","0","5","2","0","0","92","269","Bendale Business and Technical Institute"
"081","SCARBOROUGH CENTRE","447","U","TORONTO","0","10","3","0","4","0","0","0","17","96","Evangelical St Matthew's Lutheran Church"
"081","SCARBOROUGH CENTRE","448","U","TORONTO","0","23","21","3","9","0","0","0","56","156","St. Rose of Lima Catholic School"
"081","SCARBOROUGH CENTRE","449","U","TORONTO","1","30","20","0","9","0","0","0","60","193","Wexford Public School"
"081","SCARBOROUGH CENTRE","450","U","TORONTO","0","17","15","0","10","0","1","0","43","138","Charles Gordon Senior Public School"
"081","SCARBOROUGH CENTRE","451","U","TORONTO","0","12","9","0","4","0","0","0","25","196","Knob Hill Junior Public School"
"081","SCARBOROUGH CENTRE","452","U","TORONTO","0","37","18","0","8","0","0","0","63","410","Knob Hill Junior Public School"
"081","SCARBOROUGH CENTRE","453","U","TORONTO","3","110","57","2","44","1","0","0","217","562","Rainbow Village Apartment 2460 Eglinton Ave East"
"081","SCARBOROUGH CENTRE","454","U","TORONTO","6","122","74","3","45","0","0","0","250","602","Rainbow Village 2466 Eglinton"
"081","SCARBOROUGH CENTRE","455","U","TORONTO","2","27","29","1","14","0","0","0","73","266","Parisienne YCC517"
"081","SCARBOROUGH CENTRE","456","U","TORONTO","1","36","25","4","20","0","0","1","87","162","Jean Vanier Catholic Public School"
"081","SCARBOROUGH CENTRE","457","U","TORONTO","0","23","29","3","1","0","0","0","56","210","Jean Vanier Catholic Public School"
"081","SCARBOROUGH CENTRE","458","U","TORONTO","0","35","19","0","3","0","0","0","57","200","Jean Vanier Catholic Public School"
"081","SCARBOROUGH CENTRE","459","U","TORONTO","1","21","11","2","9","1","0","0","45","176","St. David's Village Apartment-Retirement Residence"
"081","SCARBOROUGH CENTRE","460","U","TORONTO","2","35","10","1","14","0","0","0","62","225","St. David's Village Apartment-Retirement Residence"
"081","SCARBOROUGH CENTRE","461","U","TORONTO","0","24","12","0","4","1","0","0","41","160","St. David's Village Apartment-Retirement Residence"
"081","SCARBOROUGH CENTRE","462","U","TORONTO","1","47","8","3","24","0","2","0","85","292","St. David's Village Apartment-Retirement Residence"
"081","SCARBOROUGH CENTRE","463","U","TORONTO","1","29","10","0","1","0","0","0","41","217","St. David's Village Apartment-Retirement Residence"
"081","SCARBOROUGH CENTRE","464","U","TORONTO","0","23","13","1","3","0","0","1","41","169","Church of Jesus Christ of Latter Day Saints"
"081","SCARBOROUGH CENTRE","465","U","TORONTO","1","41","45","2","7","0","0","0","96","261","Church of Jesus Christ of Latter Day Saints"
"081","SCARBOROUGH CENTRE","466","U","TORONTO","6","97","60","4","36","3","0","0","206","368","McCowan Place"
"081","SCARBOROUGH CENTRE","467","U","TORONTO","2","75","47","5","40","0","0","0","169","295","15 Torrance Road  YCC325"
"081","SCARBOROUGH CENTRE","468","U","TORONTO","2","71","21","2","16","1","0","0","113","297","Bellamy Tower - 126"
"081","SCARBOROUGH CENTRE","469","U","TORONTO","1","51","37","4","19","0","0","0","112","311","Bellamy Towers - 123"
"081","SCARBOROUGH CENTRE","470","U","TORONTO","0","19","17","2","22","0","0","0","60","88","Centro"
"081","SCARBOROUGH CENTRE","700","U","TORONTO","1","16","5","0","12","0","0","0","34","160","Leisureworld"
"081","SCARBOROUGH CENTRE","701","U","TORONTO","1","21","2","0","7","0","0","0","31","85","Kennedy Lodge Nursing Home"
"081","SCARBOROUGH CENTRE","702","U","TORONTO","2","42","15","0","20","1","0","0","80","220","The Wexford Residence"
"081","SCARBOROUGH CENTRE","703","U","TORONTO","1","24","9","1","11","0","0","0","46","118","Bendale Acres"
"081","SCARBOROUGH CENTRE","704","U","TORONTO","2","102","22","4","11","0","4","0","145","207","Brimley Acres Senior Residence"
"081","SCARBOROUGH CENTRE","705","U","TORONTO","2","77","32","3","23","1","0","0","138","206","Jack Goodlad Senior Citizens Residence"
"081","SCARBOROUGH CENTRE","706","U","TORONTO","4","21","11","4","8","0","0","0","48","108","Leisureworld Rockliffe Long Term Care"
"081","SCARBOROUGH CENTRE","707","U","TORONTO","2","15","7","0","4","0","0","0","28","77","Hellenic Home for the Aged"
"081","SCARBOROUGH CENTRE","708","U","TORONTO","0","75","26","0","17","1","0","0","119","179","St. David's Village Apartment-Retirement Residence"
"081","SCARBOROUGH CENTRE","ADV001","U","TORONTO","6","347","137","7","231","0","0","0","728","0","Returning Office / Bureau du directeur du scrutin"
"081","SCARBOROUGH CENTRE","ADV002","U","TORONTO","2","156","55","2","64","5","0","0","284","0","Special Ballot Voting / Vote par bulletin spécial"
"081","SCARBOROUGH CENTRE","ADV003","U","TORONTO","2","367","104","14","252","2","2","1","744","0","Blue Danube Apartment(s)"
"081","SCARBOROUGH CENTRE","ADV004","U","TORONTO","1","171","41","6","127","0","1","0","347","0","St. Peter's Anglican Church"
"081","SCARBOROUGH CENTRE","ADV005","U","TORONTO","1","118","45","7","48","0","0","0","219","0","Ellesmere Community Centre"
"081","SCARBOROUGH CENTRE","ADV006","U","TORONTO","4","278","105","13","140","2","0","0","542","0","Wilmar Heights United Church"
"TOTALS:","","","","","301","16142","6876","558","7511","117","53","10","31568","70958",""
