"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BARNICOAT","O'TOOLE","SOMERVILLE","STRUTT","TERRY","YAGHLEDJIAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"019","DURHAM","031","U","GOODWOOD","2","125","72","0","26","5","0","2","0","232","444","Goodwood Community Centre"
"019","DURHAM","032","U","GOODWOOD","5","114","71","0","34","4","2","0","0","230","496","Goodwood Community Centre"
"019","DURHAM","033","U","GOODWOOD","2","76","47","2","22","11","0","0","0","160","391","Goodwood Public School"
"019","DURHAM","034","U","GREENBANK","3","84","72","0","18","7","0","0","0","184","399","Greenbank Public School"
"019","DURHAM","035","U","GREENBANK","0","103","65","0","31","8","1","0","0","208","566","Greenbank Public School"
"019","DURHAM","036","U","GREENBANK","1","129","86","1","39","10","2","0","0","268","580","Greenbank Public School"
"019","DURHAM","037","U","PORT PERRY","1","81","44","0","21","5","0","0","0","152","377","Scugog Community Centre"
"019","DURHAM","038","U","PORT PERRY","1","104","71","1","20","5","0","0","0","202","486","S.A. Cawker Public School"
"019","DURHAM","039","U","PORT PERRY","1","100","66","0","21","3","0","0","0","191","458","S.A. Cawker Public School"
"019","DURHAM","040","U","PORT PERRY","2","165","134","0","15","3","1","0","0","320","467","The Centre In Canterbury Common"
"019","DURHAM","041","U","PORT PERRY","3","89","92","0","22","7","1","0","0","214","428","Port Perry Villa"
"019","DURHAM","042","U","PORT PERRY","1","70","52","0","27","5","0","0","0","155","395","S.A. Cawker Public School"
"019","DURHAM","043","U","PORT PERRY","3","99","82","0","50","6","0","0","0","240","589","Latcham Centre"
"019","DURHAM","044","U","PORT PERRY","1","91","72","0","20","1","0","0","0","185","398","Scugog Community Centre"
"019","DURHAM","045","U","PORT PERRY","0","98","75","1","11","2","0","0","0","187","392","Scugog Community Centre"
"019","DURHAM","046","U","PORT PERRY","1","102","59","0","20","1","0","0","0","183","396","Scugog Community Centre"
"019","DURHAM","047","U","PORT PERRY","0","75","59","0","11","2","0","0","0","147","382","Latcham Centre"
"019","DURHAM","048","U","PORT PERRY","2","84","63","1","18","4","1","0","0","173","396","Hope Christian Reformed Church"
"019","DURHAM","049","U","PORT PERRY","1","76","53","0","26","2","0","0","0","158","335","Immaculate Conception Catholic Church"
"019","DURHAM","050","U","PORT PERRY","2","81","60","1","44","3","0","0","2","193","399","Immaculate Conception Catholic Church"
"019","DURHAM","051","U","PORT PERRY","1","113","49","0","40","3","2","0","1","209","444","Latcham Centre"
"019","DURHAM","052","U","PORT PERRY","2","88","64","0","43","8","0","0","1","206","486","Hope Christian Reformed Church"
"019","DURHAM","053","U","PORT PERRY","1","85","49","3","22","6","0","0","1","167","453","Immaculate Conception Catholic Church"
"019","DURHAM","054","U","PRINCE ALBERT","0","101","59","0","23","6","0","0","0","189","421","Prince Albert Public School"
"019","DURHAM","055","U","PORT PERRY","1","137","90","2","57","9","0","0","0","296","676","Hope Christian Reformed Church"
"019","DURHAM","056","U","PORT PERRY","0","81","65","0","26","8","1","0","0","181","442","Oakridge Golf Course - Warren's Glen"
"019","DURHAM","057","U","PRINCE ALBERT","0","86","66","1","23","5","0","0","0","181","424","Prince Albert Public School"
"019","DURHAM","058","U","PORT PERRY","2","115","48","1","26","6","2","0","0","200","466","Port Perry Baptist Church"
"019","DURHAM","059","U","PORT PERRY","1","106","44","1","31","11","0","0","0","194","499","Port Perry Baptist Church"
"019","DURHAM","060","U","PORT PERRY","2","110","52","2","27","6","0","0","0","199","483","Port Perry Baptist Church"
"019","DURHAM","061","U","PORT PERRY","1","101","34","0","38","6","1","0","0","181","502","Port Perry Baptist Church"
"019","DURHAM","062","U","BLACKSTOCK","1","66","21","0","34","5","1","0","0","128","308","Cartwright Centre Public School"
"019","DURHAM","063","U","BLACKSTOCK","2","78","49","2","41","9","0","0","0","181","482","Cartwright Centre Public School"
"019","DURHAM","064","U","NESTLETON STATION","1","106","38","0","40","1","0","0","0","186","390","Nestleton Community Centre"
"019","DURHAM","065","U","NESTLETON STATION","4","86","54","0","38","2","0","0","0","184","437","Nestleton Community Centre"
"019","DURHAM","066","U","NESTLETON STATION","1","107","47","0","30","8","0","0","0","193","393","Nestleton Community Centre"
"019","DURHAM","067","U","BLACKSTOCK","1","114","29","1","44","14","0","0","0","203","415","Cartwright Centre Public School"
"019","DURHAM","068","U","BLACKSTOCK","1","115","36","1","27","2","0","0","0","182","375","Blackstock Recreation Centre"
"019","DURHAM","069","U","BLACKSTOCK","1","94","36","1","43","4","0","0","0","179","375","Blackstock Recreation Centre"
"019","DURHAM","070","U","BLACKSTOCK","3","118","55","0","28","4","0","0","0","208","438","Blackstock Recreation Centre"
"019","DURHAM","071","U","BOWMANVILLE","2","98","61","0","28","4","2","0","0","195","455","Tyrone Community Centre"
"019","DURHAM","072","U","HAMPTON","1","108","57","2","31","4","0","1","0","204","409","Solina Community Hall"
"019","DURHAM","073","U","BOWMANVILLE","0","112","51","2","41","3","1","0","0","210","471","Tyrone Community Centre"
"019","DURHAM","074","U","BOWMANVILLE","2","138","40","2","40","3","0","0","0","225","466","Tyrone Community Centre"
"019","DURHAM","075","U","HAMPTON","2","82","44","1","31","1","3","0","0","164","374","Solina Community Hall"
"019","DURHAM","076","U","HAMPTON","2","91","51","1","24","0","1","0","0","170","381","Solina Community Hall"
"019","DURHAM","077","U","BOWMANVILLE","2","111","37","0","33","5","0","0","0","188","336","Tyrone Community Centre"
"019","DURHAM","078","U","HAMPTON","4","144","68","0","54","8","1","0","0","279","550","Hampton Public School"
"019","DURHAM","079","U","HAMPTON","1","108","56","2","23","4","1","0","0","195","419","Hampton Public School"
"019","DURHAM","080","U","HAMPTON","0","110","57","0","32","2","0","0","1","202","460","Hampton Public School"
"019","DURHAM","081","U","COURTICE","1","126","63","3","48","1","1","0","0","243","532","Faith United United Church"
"019","DURHAM","082","U","HAMPTON","4","95","36","0","45","14","1","0","0","195","408","Carriage Country Baptist Church"
"019","DURHAM","083","U","HAMPTON","2","124","39","1","32","6","1","0","0","205","476","Carriage Country Baptist Church"
"019","DURHAM","084","U","COURTICE","0","70","63","0","29","1","0","0","0","163","438","S.T. Worden Public School"
"019","DURHAM","085","U","COURTICE","5","81","58","3","39","3","0","0","0","189","445","S.T. Worden Public School"
"019","DURHAM","086","U","COURTICE","4","82","60","2","40","5","0","0","0","193","442","S.T. Worden Public School"
"019","DURHAM","087","U","COURTICE","1","86","65","0","50","4","0","0","0","206","496","Courtice High School"
"019","DURHAM","088","U","COURTICE","4","72","47","0","51","4","1","0","0","179","452","Courtice North Public School"
"019","DURHAM","089","U","COURTICE","2","90","44","1","44","2","0","0","0","183","414","Courtice North Public School"
"019","DURHAM","090","U","COURTICE","1","49","22","0","34","4","0","0","0","110","402","Courtice North Public School"
"019","DURHAM","091","U","COURTICE","3","73","43","0","37","4","1","0","0","161","460","Courtice North Public School"
"019","DURHAM","092","U","COURTICE","2","45","32","0","43","3","1","0","0","126","344","Faith United United Church"
"019","DURHAM","093","U","COURTICE","3","90","73","2","54","8","0","0","0","230","474","Faith United United Church"
"019","DURHAM","094","U","COURTICE","1","60","37","0","33","1","1","0","0","133","425","S.T. Worden Public School"
"019","DURHAM","095","U","COURTICE","3","99","72","0","39","11","1","0","0","225","464","Courtice High School"
"019","DURHAM","096","U","COURTICE","3","62","62","0","39","2","2","0","0","170","425","Courtice High School"
"019","DURHAM","097","U","COURTICE","0","58","42","0","42","2","0","0","0","144","344","Faith United United Church"
"019","DURHAM","098","U","COURTICE","3","65","44","1","32","2","2","0","0","149","411","Courtice High School"
"019","DURHAM","099","U","COURTICE","6","63","41","0","35","1","0","0","0","146","399","Courtice High School"
"019","DURHAM","100","U","COURTICE","2","64","87","2","38","3","0","0","1","197","432","Family Worship and Outreach Centre"
"019","DURHAM","101","U","COURTICE","2","66","73","0","34","2","2","0","0","179","393","Dr. Emily Stowe Public School"
"019","DURHAM","102","U","COURTICE","2","68","42","2","44","2","0","0","0","160","396","Dr. Emily Stowe Public School"
"019","DURHAM","103","U","COURTICE","0","64","39","1","38","3","1","1","0","147","358","Dr. Emily Stowe Public School"
"019","DURHAM","104","U","COURTICE","3","54","43","0","33","9","0","0","0","142","352","Dr. Emily Stowe Public School"
"019","DURHAM","105","U","COURTICE","1","76","46","1","38","8","1","0","0","171","431","Lydia Trull Public School"
"019","DURHAM","106","U","COURTICE","0","65","61","0","31","3","0","0","0","160","372","Lydia Trull Public School"
"019","DURHAM","107","U","COURTICE","2","90","86","0","46","5","0","0","0","229","453","Lydia Trull Public School"
"019","DURHAM","108","U","COURTICE","2","48","47","1","34","11","0","0","0","143","360","Lydia Trull Public School"
"019","DURHAM","109","U","COURTICE","0","53","50","2","27","6","1","0","0","139","359","Holy Trinity Catholicsecondary School"
"019","DURHAM","110","U","COURTICE","2","91","58","0","50","3","0","0","0","204","473","Holy Trinity Catholicsecondary School"
"019","DURHAM","111","U","COURTICE","3","86","57","0","33","3","0","0","0","182","485","Holy Trinity Catholicsecondary School"
"019","DURHAM","112","U","COURTICE","2","97","41","1","40","0","1","0","0","182","470","Holy Trinity Catholicsecondary School"
"019","DURHAM","113","U","COURTICE","3","89","102","2","56","4","0","0","0","256","581","Dr. G. J. MacGillivray Public School"
"019","DURHAM","114","U","COURTICE",".......................COMBINED WITH POLL 117.......................","","","","","","","","","","","Dr. G. J. MacGillivray Public School"
"019","DURHAM","115","U","COURTICE","2","85","63","0","32","4","1","0","0","187","444","Family Worship and Outreach Centre"
"019","DURHAM","116","U","COURTICE","4","125","81","2","26","7","0","1","0","246","501","Dr. G. J. MacGillivray Public School"
"019","DURHAM","117","U","COURTICE","1","80","66","1","50","6","1","1","0","206","521","Dr. G. J. MacGillivray Public School"
"019","DURHAM","118","U","COURTICE","2","99","51","3","29","1","0","0","0","185","455","Family Worship and Outreach Centre"
"019","DURHAM","119","U","COURTICE","4","67","65","2","44","4","3","0","0","189","544","South Courtice Arena"
"019","DURHAM","120","U","COURTICE","4","98","79","1","35","0","0","0","0","217","483","South Courtice Arena"
"019","DURHAM","121","U","COURTICE","1","148","67","1","43","4","0","1","0","265","711","Family Worship and Outreach Centre"
"019","DURHAM","122","U","COURTICE","0","68","38","0","24","9","0","0","0","139","337","Faith United United Church"
"019","DURHAM","123","U","BOWMANVILLE","0","75","32","2","42","8","1","0","0","160","442","Church of Jesus Christ of Latter Day Saints"
"019","DURHAM","124","U","BOWMANVILLE","4","121","66","2","54","4","0","3","0","254","633","Holy Family Catholic Elementary School"
"019","DURHAM","125","U","BOWMANVILLE","1","76","53","0","32","3","0","0","0","165","523","Church of Jesus Christ of Latter Day Saints"
"019","DURHAM","126","U","BOWMANVILLE","0","120","48","0","45","4","0","0","0","217","563","Church of Jesus Christ of Latter Day Saints"
"019","DURHAM","127","U","BOWMANVILLE","0","63","51","1","35","2","1","0","0","153","432","Dr. Ross Tilley Public School"
"019","DURHAM","128","U","BOWMANVILLE","2","51","47","2","34","5","1","0","0","142","420","Holy Family Catholic Elementary School"
"019","DURHAM","129","U","BOWMANVILLE","0","100","45","1","36","3","0","0","1","186","433","Holy Family Catholic Elementary School"
"019","DURHAM","130","U","BOWMANVILLE","6","97","71","0","36","6","0","0","0","216","450","Dr. Ross Tilley Public School"
"019","DURHAM","131","U","BOWMANVILLE","3","68","53","0","46","3","0","0","0","173","411","Dr. Ross Tilley Public School"
"019","DURHAM","132","U","BOWMANVILLE","2","70","46","1","52","2","0","0","0","173","466","Baseline Community Centre"
"019","DURHAM","133","U","BOWMANVILLE","2","62","52","3","40","4","1","0","0","164","374","Baseline Community Centre"
"019","DURHAM","134","U","BOWMANVILLE","0","82","36","0","22","4","0","0","0","144","384","Baseline Community Centre"
"019","DURHAM","135","U","BOWMANVILLE","3","58","43","1","19","3","0","0","0","127","361","Liberty Pentecostal Church"
"019","DURHAM","136","U","BOWMANVILLE","1","89","55","2","35","5","0","0","0","187","474","Liberty Pentecostal Church"
"019","DURHAM","137","U","BOWMANVILLE","2","75","18","2","34","1","0","0","0","132","387","Liberty Pentecostal Church"
"019","DURHAM","138","U","BOWMANVILLE","3","90","59","1","36","1","1","0","1","192","437","Baseline Community Centre"
"019","DURHAM","139","U","BOWMANVILLE","1","97","52","0","46","3","0","0","0","199","511","Ontario Street Public School"
"019","DURHAM","140","U","BOWMANVILLE","1","75","26","1","50","1","0","1","0","155","332","Ontario Street Public School"
"019","DURHAM","141","U","BOWMANVILLE","2","70","18","1","40","2","1","1","0","135","377","Ontario Street Public School"
"019","DURHAM","142","U","BOWMANVILLE","0","82","43","1","30","4","1","1","0","162","383","Trinity United Church"
"019","DURHAM","143","U","BOWMANVILLE","2","63","29","0","24","3","1","0","0","122","371","Trinity United Church"
"019","DURHAM","144","U","BOWMANVILLE","2","70","52","1","24","6","2","0","0","157","395","Trinity United Church"
"019","DURHAM","145","U","BOWMANVILLE","0","87","78","0","32","15","0","0","0","212","391","Clarington Beech Centre"
"019","DURHAM","146","U","BOWMANVILLE","3","85","44","0","42","6","0","0","0","180","468","Vincent Massey Public School"
"019","DURHAM","147","U","BOWMANVILLE","1","86","40","0","27","7","0","0","0","161","333","Clarington Beech Centre"
"019","DURHAM","148","U","BOWMANVILLE","0","65","28","0","36","3","1","0","0","133","346","Clarington Beech Centre"
"019","DURHAM","149","U","BOWMANVILLE","2","81","58","0","40","3","2","1","0","187","457","Trinity United Church"
"019","DURHAM","150","U","BOWMANVILLE","3","82","50","0","29","4","1","0","0","169","392","St. Elizabeth Catholic Elementary School"
"019","DURHAM","151","U","BOWMANVILLE","2","92","78","0","48","6","0","0","0","226","464","St. Elizabeth Catholic Elementary School"
"019","DURHAM","152","U","BOWMANVILLE","3","109","66","0","30","8","0","0","0","216","522","Durham Christian High School"
"019","DURHAM","153","U","BOWMANVILLE","3","123","79","0","42","4","1","0","0","252","547","Durham Christian High School"
"019","DURHAM","154","U","BOWMANVILLE","2","78","43","2","39","6","0","0","0","170","451","St. Elizabeth Catholic Elementary School"
"019","DURHAM","155A","U","BOWMANVILLE","1","94","56","1","34","2","0","0","0","188","472","Durham Christian High School"
"019","DURHAM","155B","U","BOWMANVILLE","0","99","60","0","38","1","0","0","0","198","471","Durham Christian High School"
"019","DURHAM","156","U","BOWMANVILLE","0","53","18","0","28","3","0","0","0","102","354","St. Elizabeth Catholic Elementary School"
"019","DURHAM","157","U","BOWMANVILLE","0","73","28","0","11","4","0","0","0","116","276","Durham Christian High School"
"019","DURHAM","158","U","BOWMANVILLE","2","68","30","0","41","6","0","0","0","147","365","Harold Longworth Public School"
"019","DURHAM","159","U","BOWMANVILLE","2","93","63","1","38","5","2","0","0","204","500","Harold Longworth Public School"
"019","DURHAM","160","U","BOWMANVILLE","3","77","29","1","40","7","1","0","0","158","403","Harold Longworth Public School"
"019","DURHAM","161A","U","BOWMANVILLE","3","83","76","3","55","13","0","0","0","233","492","Harold Longworth Public School"
"019","DURHAM","161B","U","BOWMANVILLE","0","98","55","0","46","9","1","0","0","209","473","Harold Longworth Public School"
"019","DURHAM","162","U","BOWMANVILLE","2","67","43","0","44","3","1","0","0","160","437","Harold Longworth Public School"
"019","DURHAM","163","U","BOWMANVILLE","1","72","44","2","47","10","0","0","1","177","447","John M. James Public School"
"019","DURHAM","164","U","BOWMANVILLE","4","88","64","1","34","4","0","0","0","195","459","John M. James Public School"
"019","DURHAM","165","U","BOWMANVILLE","3","71","49","1","31","5","0","0","0","160","437","John M. James Public School"
"019","DURHAM","166","U","BOWMANVILLE","1","90","60","0","28","4","0","0","0","183","447","John M. James Public School"
"019","DURHAM","167","U","BOWMANVILLE","1","86","71","0","37","3","0","0","0","198","448","John M. James Public School"
"019","DURHAM","168","U","BOWMANVILLE","2","88","53","1","42","5","0","0","0","191","429","John M. James Public School"
"019","DURHAM","169","U","BOWMANVILLE","3","69","35","1","36","7","0","0","0","151","362","Vincent Massey Public School"
"019","DURHAM","170","U","BOWMANVILLE","3","84","49","1","32","2","0","0","0","171","464","Maranatha Christian Reformed Church"
"019","DURHAM","171","U","BOWMANVILLE","0","70","52","0","37","2","1","0","0","162","460","Maranatha Christian Reformed Church"
"019","DURHAM","172","U","BOWMANVILLE","2","85","62","0","33","10","0","0","0","192","461","Maranatha Christian Reformed Church"
"019","DURHAM","173","U","BOWMANVILLE","1","73","35","0","41","3","0","0","0","153","380","Vincent Massey Public School"
"019","DURHAM","174","U","BOWMANVILLE","2","59","37","2","36","4","1","0","0","141","381","St. Joseph's Elementary Catholic School"
"019","DURHAM","175","U","BOWMANVILLE","1","68","44","0","35","3","0","0","0","151","388","St. Joseph's Elementary Catholic School"
"019","DURHAM","176","U","BOWMANVILLE","1","84","32","0","37","3","1","0","0","158","420","St. Joseph's Elementary Catholic School"
"019","DURHAM","177","U","BOWMANVILLE","2","83","28","1","25","6","0","0","0","145","321","Maranatha Christian Reformed Church"
"019","DURHAM","178","U","BOWMANVILLE","5","108","42","0","27","4","0","1","1","188","465","St. Joseph's Elementary Catholic School"
"019","DURHAM","179","U","NEWCASTLE","3","175","110","0","68","4","3","3","0","366","538","Wheelhouse Recreation Centre"
"019","DURHAM","180","U","NEWCASTLE","7","188","70","0","39","3","2","0","0","309","503","Wheelhouse Recreation Centre"
"019","DURHAM","181","U","NEWCASTLE","4","177","96","0","52","2","1","0","0","332","506","Wheelhouse Recreation Centre"
"019","DURHAM","182","U","NEWCASTLE","3","113","143","0","50","5","2","0","0","316","662","Newcastle United Church"
"019","DURHAM","183","U","NEWCASTLE","3","93","80","1","32","2","0","0","0","211","493","Newcastle United Church"
"019","DURHAM","184","U","NEWCASTLE","0","81","47","1","32","2","1","0","0","164","404","Newcastle Community Hall"
"019","DURHAM","185","U","NEWCASTLE","7","121","37","1","36","3","1","1","0","207","451","St. Francis of Assissi Separate Elementary School"
"019","DURHAM","186","U","NEWCASTLE","3","104","68","2","46","4","0","0","0","227","483","St. Francis of Assissi Separate Elementary School"
"019","DURHAM","187","U","NEWCASTLE","2","105","41","0","42","5","0","0","0","195","445","St. Francis of Assissi Separate Elementary School"
"019","DURHAM","188","U","NEWCASTLE","2","69","42","0","22","8","1","0","0","144","362","St. Francis of Assissi Separate Elementary School"
"019","DURHAM","189","U","NEWCASTLE","3","106","56","0","45","3","1","0","0","214","497","Newcastle Community Hall"
"019","DURHAM","190","U","NEWCASTLE","1","69","56","0","57","1","1","0","0","185","448","Newcastle Community Hall"
"019","DURHAM","191","U","NEWCASTLE","3","58","68","0","39","5","0","0","0","173","415","Crossroads Christian Assembly"
"019","DURHAM","192","U","NEWCASTLE","1","69","44","0","30","6","0","1","0","151","400","Crossroads Christian Assembly"
"019","DURHAM","193","U","NEWCASTLE","1","78","38","2","34","3","1","0","0","157","372","Crossroads Christian Assembly"
"019","DURHAM","194","U","NEWCASTLE","0","93","33","1","28","6","1","0","0","162","396","Crossroads Christian Assembly"
"019","DURHAM","195","U","ORONO","3","175","67","2","51","7","1","0","0","306","621","Orono Oddfellows and Rebekah's Centre"
"019","DURHAM","196","U","ORONO","2","106","40","0","43","10","0","0","0","201","368","Orono Oddfellows and Rebekah's Centre"
"019","DURHAM","197","U","ORONO","1","101","47","1","39","8","0","0","0","197","391","Durham County Senior Citizens Lodge"
"019","DURHAM","198","U","ORONO","3","100","38","1","58","1","0","1","0","202","451","Durham County Senior Citizens Lodge"
"019","DURHAM","199","U","ORONO","3","120","48","1","31","12","1","0","0","216","425","Kirby Centennial Public School"
"019","DURHAM","200","U","ORONO","1","111","37","0","29","1","0","0","0","179","398","Kirby Centennial Public School"
"019","DURHAM","201","U","KENDAL","2","103","32","1","39","6","0","0","0","183","357","Kendal Community Centre"
"019","DURHAM","202","U","KENDAL","2","121","46","2","50","10","0","0","0","231","412","Kendal Community Centre"
"019","DURHAM","203","U","KENDAL","1","93","39","1","28","10","0","0","0","172","390","Kendal Community Centre"
"019","DURHAM","204","U","KENDAL","0","77","45","1","28","11","1","0","0","163","502","Kendal Community Centre"
"019","DURHAM","205","U","NEWCASTLE","1","104","45","0","26","7","0","1","0","184","416","Newcastle United Church"
"019","DURHAM","700","U","UXBRIDGE",".......................COMBINED WITH POLL 020.......................","","","","","","","","","","","Uxbridge Library - Lower Level"
"019","DURHAM","701","U","UXBRIDGE","0","11","9","0","8","1","1","0","0","30","107","Reachview Village"
"019","DURHAM","702","U","PORT PERRY","0","14","18","0","9","0","2","1","0","44","132","Community Nursing Home"
"019","DURHAM","703","U","PORT PERRY","1","33","26","0","8","0","1","1","0","70","105","West Shore Village"
"019","DURHAM","704","U","PORT PERRY",".......................COMBINED WITH POLL 044.......................","","","","","","","","","","","Scugog Community Centre"
"019","DURHAM","705","U","COURTICE","0","21","23","1","4","2","1","0","0","52","121","White Cliffe Terrace Retirement Res"
"019","DURHAM","706","U","BOWMANVILLE","1","52","45","2","21","1","0","0","1","123","179","Kingsway Arms at Clarington Centre"
"019","DURHAM","707","U","BOWMANVILLE","2","11","13","3","5","0","1","0","0","35","85","Marnwood Lifecare Centre"
"019","DURHAM","708","U","BOWMANVILLE","0","10","8","0","2","0","0","1","0","21","32","Lakeridge Health - Bowmanville"
"019","DURHAM","709","U","BOWMANVILLE","3","38","16","2","11","0","1","0","0","71","249","Strathaven Life Care Centre"
"019","DURHAM","710","U","BOWMANVILLE",".......................COMBINED WITH POLL 708.......................","","","","","","","","","","","Lakeridge Health - Bowmanville"
"019","DURHAM","711","U","NEWCASTLE","2","8","10","1","5","0","0","0","0","26","91","Fosterbrook Long Term Care Facility"
"019","DURHAM","712","U","UXBRIDGE",".......................COMBINED WITH POLL 018.......................","","","","","","","","","","","Butternut Manor"
"019","DURHAM","713","U","PORT PERRY",".......................COMBINED WITH POLL 041.......................","","","","","","","","","","","Port Perry Villa"
"019","DURHAM","ADV001","U","COURTICE","11","629","346","1","212","24","1","0","0","1224","0","Returning Office / Bureau du directeur du scrutin"
"019","DURHAM","ADV002","U","COURTICE","2","176","80","4","47","9","4","0","1","323","0","Special Ballot Voting / Vote par bulletin spécial"
"019","DURHAM","ADV003","U","BOWMANVILLE","5","742","388","2","210","28","3","1","2","1381","0","Church of Jesus Christ of Latter Day Saints"
"019","DURHAM","ADV004","U","PORT PERRY","4","789","431","1","153","32","0","0","1","1411","0","Scugog Arena - Meeting Room"
"019","DURHAM","ADV005","U","UXBRIDGE","14","787","481","3","151","37","3","0","0","1476","0","Uxbridge Senior Citizens Centre"
"019","DURHAM","ADV006","U","NEWCASTLE","1","273","109","0","56","9","0","3","1","452","0","Crossroads Christian Assembly"
"019","DURHAM","ADV007","U","HAMPTON","0","74","35","0","25","5","0","0","0","139","0","Solina Community Hall"
"TOTALS:","","","","","424","22393","13394","172","8027","1221","120","33","20","45804","92096",""
