"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AITCHISON","BAPTISTE","CORNELL","NATION","RAKOCEVIC","RINI","SERGIO","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"107","YORK WEST","025","U","TORONTO","0","0","0","22","76","3","77","1","2","0","181","377","Gulfstream Public School"
"107","YORK WEST","026","U","TORONTO","1","0","0","19","36","0","41","1","0","0","98","277","St. Jude's Catholic School"
"107","YORK WEST","027","U","TORONTO","2","2","1","25","61","1","64","0","0","1","157","415","St. Jude's Catholic School"
"107","YORK WEST","028","U","TORONTO","0","1","0","13","51","1","29","0","1","0","96","265","St. Jude's Catholic School"
"107","YORK WEST","029","U","TORONTO","0","0","0","7","16","0","19","0","0","0","42","153","Gulfstream Public School"
"107","YORK WEST","030","U","TORONTO","1","2","0","26","67","3","79","2","1","1","182","411","Gulfstream Public School"
"107","YORK WEST","031","U","TORONTO","5","0","2","27","63","2","94","0","0","0","193","449","St. Jude's Catholic School"
"107","YORK WEST","032","U","TORONTO","0","0","1","30","61","3","85","0","1","2","183","356","Gulfstream Public School"
"107","YORK WEST","033","U","TORONTO","1","0","0","52","55","4","104","0","0","0","216","414","Gulfstream Public School"
"107","YORK WEST","034","U","TORONTO","0","0","4","36","65","1","119","2","0","0","227","461","St. Basil-the-Great College School"
"107","YORK WEST","035","U","TORONTO","3","0","0","26","26","1","68","1","0","0","125","288","St. Basil-the-Great College School"
"107","YORK WEST","036","U","TORONTO","1","0","0","19","32","0","65","0","0","0","117","271","St. Basil-the-Great College School"
"107","YORK WEST","037","U","TORONTO","1","0","1","33","31","4","121","0","0","0","191","459","St. Basil-the-Great College School"
"107","YORK WEST","038","U","TORONTO","2","0","0","21","21","2","66","1","0","0","113","331","St. Basil-the-Great College School"
"107","YORK WEST","039","U","TORONTO","0","0","0","26","55","3","92","1","0","0","177","453","St. Basil-the-Great College School"
"107","YORK WEST","040","U","TORONTO","0","1","0","12","72","2","70","2","0","0","159","352","St. Augustine Catholic School"
"107","YORK WEST","041","U","TORONTO","1","1","1","29","69","1","110","0","1","0","213","400","Blacksmith Public School"
"107","YORK WEST","042","U","TORONTO","1","0","0","5","39","0","40","1","0","0","86","251","Blacksmith Public School"
"107","YORK WEST","043","U","TORONTO","2","0","1","33","82","2","105","3","1","0","229","539","St. Augustine Catholic School"
"107","YORK WEST","044","U","TORONTO","0","0","0","21","39","0","48","0","0","0","108","347","Gosford Public School"
"107","YORK WEST","045","U","TORONTO","0","3","0","32","94","3","81","0","0","0","213","458","Gosford Public School"
"107","YORK WEST","046A","U","TORONTO","0","0","0","22","55","6","45","0","0","0","128","305","Gosford Public School"
"107","YORK WEST","046B","U","TORONTO","0","0","2","12","49","1","52","0","0","0","116","339","Gosford Public School"
"107","YORK WEST","047","U","TORONTO","0","0","0","20","44","4","51","0","0","0","119","330","Gosford Public School"
"107","YORK WEST","048","U","TORONTO","1","0","2","9","59","0","102","1","0","0","174","412","Firgrove Public School"
"107","YORK WEST","049","U","TORONTO","0","10","2","33","33","0","120","2","1","0","201","466","Firgrove Public School"
"107","YORK WEST","050","U","TORONTO","2","1","3","12","34","0","91","1","0","0","144","344","Firgrove Public School"
"107","YORK WEST","051","U","TORONTO","0","1","0","3","41","0","105","0","0","0","150","410","St. Francis de Sales Catholic School"
"107","YORK WEST","052","U","TORONTO","3","2","0","29","34","4","116","4","0","0","192","488","Stanley Public School"
"107","YORK WEST","053","U","TORONTO","0","2","0","18","41","1","109","0","0","1","172","421","Stanley Public School"
"107","YORK WEST","054","U","TORONTO","2","2","1","19","49","3","128","1","1","0","206","463","Stanley Public School"
"107","YORK WEST","055","U","TORONTO","0","0","3","11","28","2","35","0","0","0","79","246","Domenico Diluca Community Centre"
"107","YORK WEST","056","U","TORONTO","0","0","0","40","58","0","126","0","0","0","224","478","Stanley Public School"
"107","YORK WEST","057","U","TORONTO","1","0","0","34","48","1","123","1","0","0","208","456","Stanley Public School"
"107","YORK WEST","058","U","TORONTO","0","0","0","15","29","0","54","0","0","0","98","283","Beverly Hills Church Hall"
"107","YORK WEST","059A","U","TORONTO","0","1","0","25","59","3","83","2","0","0","173","429","Beverly Hills Church Hall"
"107","YORK WEST","059B","U","TORONTO","0","0","0","32","67","1","52","0","0","0","152","471","Beverly Hills Church Hall"
"107","YORK WEST","060A","U","TORONTO","0","0","2","17","18","3","91","0","0","0","131","266","Chalkfarm Public School"
"107","YORK WEST","060B","U","TORONTO","2","1","0","16","58","4","67","0","2","2","152","322","Chalkfarm Public School"
"107","YORK WEST","061","U","TORONTO","1","0","0","12","42","0","44","0","0","0","99","314","Chalkfarm Public School"
"107","YORK WEST","062","U","TORONTO","1","0","0","7","21","2","28","0","0","0","59","220","Beverly Hills Church Hall"
"107","YORK WEST","063","U","TORONTO","0","1","0","2","46","1","45","0","0","0","95","240","Shoreham Public School"
"107","YORK WEST","064","U","TORONTO","0","0","1","1","21","2","43","1","0","0","69","206","Shoreham Public School"
"107","YORK WEST","065","U","TORONTO","2","0","0","10","44","1","68","1","0","0","126","354","Driftwood Public School"
"107","YORK WEST","066","U","TORONTO","0","0","0","20","37","3","63","0","0","0","123","437","Driftwood Community Centre"
"107","YORK WEST","067","U","TORONTO","0","0","2","18","58","0","57","2","0","0","137","476","Driftwood Community Centre"
"107","YORK WEST","068","U","TORONTO","1","0","0","12","53","2","82","1","0","0","151","378","Driftwood Public School"
"107","YORK WEST","069","U","TORONTO","0","0","0","17","75","0","82","0","0","0","174","467","St. Charles Garnier Catholic School"
"107","YORK WEST","070A","U","TORONTO","0","1","0","4","45","6","41","0","0","0","97","344","York University - T.E.L. Building"
"107","YORK WEST","070B","U","TORONTO","2","1","0","10","38","7","48","1","1","0","108","374","York University - T.E.L. Building"
"107","YORK WEST","071A","U","TORONTO","0","2","0","18","54","3","46","0","0","0","123","544","York University - T.E.L. Building"
"107","YORK WEST","071B","U","TORONTO","1","1","0","22","62","2","68","0","0","0","156","629","York University - T.E.L. Building"
"107","YORK WEST","071C","U","TORONTO","0","1","0","17","56","10","68","0","0","0","152","586","York University - T.E.L. Building"
"107","YORK WEST","072A","U","TORONTO","0","0","1","19","47","2","48","0","0","0","117","330","James Cardinal McGuigan Catholic School"
"107","YORK WEST","072B","U","TORONTO","0","1","0","16","66","2","64","4","0","0","153","399","James Cardinal McGuigan Catholic School"
"107","YORK WEST","073","U","TORONTO","1","3","1","28","46","7","52","0","0","0","138","350","Topcliff Public School"
"107","YORK WEST","074","U","TORONTO","0","0","0","15","35","0","58","3","1","0","112","296","Topcliff Public School"
"107","YORK WEST","075","U","TORONTO","0","0","0","14","75","1","85","1","0","0","176","484","Topcliff Public School"
"107","YORK WEST","076","U","TORONTO","0","1","1","8","25","0","23","0","0","0","58","200","Topcliff Public School"
"107","YORK WEST","077","U","TORONTO","0","2","2","13","24","0","20","0","0","0","61","201","Yorkwoods Public School"
"107","YORK WEST","078","U","TORONTO","2","0","4","20","46","0","50","1","0","0","123","315","Oakdale Community Centre"
"107","YORK WEST","079","U","TORONTO","0","0","1","7","30","1","61","0","0","0","100","335","Yorkwoods Public School"
"107","YORK WEST","080","U","TORONTO","0","0","1","6","23","2","60","0","2","0","94","293","Oakdale Community Centre"
"107","YORK WEST","081","U","TORONTO","0","2","1","25","60","0","84","0","0","0","172","430","Oakdale Community Centre"
"107","YORK WEST","082","U","TORONTO","0","1","0","17","46","2","78","0","0","0","144","317","St. Jane Frances Catholic School"
"107","YORK WEST","083","U","TORONTO","0","0","0","9","42","2","91","0","1","0","145","314","St. Jane Frances Catholic School"
"107","YORK WEST","084","U","TORONTO","1","2","1","14","46","4","66","0","0","0","134","362","Blessed Margherita Catholic School"
"107","YORK WEST","085","U","TORONTO","0","0","1","20","61","0","99","0","1","0","182","385","Oakdale Community Centre"
"107","YORK WEST","086","U","TORONTO","0","0","0","22","74","2","86","2","2","0","188","437","Oakdale Community Centre"
"107","YORK WEST","087","U","TORONTO","0","0","1","20","68","0","103","0","4","0","196","440","Blessed Margherita Catholic School"
"107","YORK WEST","088","U","TORONTO","0","1","1","26","84","2","84","2","0","0","200","388","Blessed Margherita Catholic School"
"107","YORK WEST","089","U","TORONTO","1","0","0","13","62","5","67","2","0","0","150","347","St. Wilfrid Catholic School"
"107","YORK WEST","090","U","TORONTO","1","0","1","22","71","1","108","0","0","0","204","409","Lamberton Public School"
"107","YORK WEST","091","U","TORONTO","0","0","0","31","81","3","57","0","1","0","173","358","Lamberton Public School"
"107","YORK WEST","092","U","TORONTO","0","0","0","21","45","4","41","0","1","0","112","277","Lamberton Public School"
"107","YORK WEST","093","U","TORONTO","1","1","1","25","98","5","95","5","0","0","231","440","Lamberton Public School"
"107","YORK WEST","094","U","TORONTO","0","0","2","10","47","0","42","1","0","0","102","292","St. Wilfrid Catholic School"
"107","YORK WEST","095","U","TORONTO","1","1","0","39","96","3","98","1","0","0","239","428","Derrydown Public School"
"107","YORK WEST","096","U","TORONTO","0","0","1","29","54","0","79","0","1","0","164","385","Elia Middle School"
"107","YORK WEST","097","U","TORONTO","0","0","0","30","83","2","84","3","0","1","203","437","Elia Middle School"
"107","YORK WEST","098","U","TORONTO","0","2","0","21","98","1","72","1","0","0","195","436","Derrydown Public School"
"107","YORK WEST","099","U","TORONTO","0","0","0","5","24","1","20","0","0","0","50","167","Derrydown Public School"
"107","YORK WEST","100A","U","TORONTO","0","0","0","13","37","0","27","0","0","0","77","277","Elia Middle School"
"107","YORK WEST","100B","U","TORONTO","1","0","1","10","37","1","29","1","0","0","80","281","Elia Middle School"
"107","YORK WEST","400","U","TORONTO","1","0","1","6","12","0","72","1","0","0","93","295","Humber Summit Middle School"
"107","YORK WEST","401","U","TORONTO","1","1","0","10","17","0","70","0","0","0","99","285","Humber Summit Middle School"
"107","YORK WEST","402","U","TORONTO","0","3","0","3","11","0","42","0","0","0","59","162","Humber Summit Middle School"
"107","YORK WEST","403","U","TORONTO","0","0","0","0","13","0","178","1","0","0","192","334","Ahmadiyya Abode of Peace"
"107","YORK WEST","404","U","TORONTO","0","0","0","6","13","1","41","0","0","0","61","177","Gracedale Public School"
"107","YORK WEST","405","U","TORONTO","0","1","0","5","11","1","11","0","0","0","29","112","Daystrom Public School"
"107","YORK WEST","406","U","TORONTO","1","0","0","3","5","0","16","0","0","0","25","81","Daystrom Public School"
"107","YORK WEST","407","U","TORONTO","1","0","1","8","7","1","17","0","0","0","35","167","Daystrom Public School"
"107","YORK WEST","408","U","TORONTO","0","1","2","7","28","2","23","0","0","0","63","178","Daystrom Public School"
"107","YORK WEST","409","U","TORONTO","0","0","0","5","20","1","20","0","0","0","46","143","Emery Collegiate Institute"
"107","YORK WEST","410","U","TORONTO","0","0","0","5","21","0","33","0","0","0","59","286","Emery Collegiate Institute"
"107","YORK WEST","411","U","TORONTO","0","0","0","7","21","1","31","1","0","0","61","255","Emery Collegiate Institute"
"107","YORK WEST","412","U","TORONTO","0","0","0","19","27","2","25","0","0","0","73","345","Emery Collegiate Institute"
"107","YORK WEST","413","U","TORONTO","0","0","0","13","16","0","23","0","0","0","52","215","Gulfstream Public School"
"107","YORK WEST","414","U","TORONTO","0","0","0","4","7","0","39","1","0","0","51","203","St. Basil-the-Great College School"
"107","YORK WEST","415","U","TORONTO","0","0","0","13","28","2","53","0","0","0","96","315","St. Basil-the-Great College School"
"107","YORK WEST","416","U","TORONTO","1","2","0","14","30","2","51","1","1","0","102","378","Blacksmith Public School"
"107","YORK WEST","417","U","TORONTO","0","0","0","6","28","0","33","0","0","0","67","268","Blacksmith Public School"
"107","YORK WEST","418","U","TORONTO","0","0","0","3","20","0","34","1","0","0","58","268","St. Augustine Catholic School"
"107","YORK WEST","419","U","TORONTO","0","1","0","5","27","0","27","0","0","0","60","197","Gosford Public School"
"107","YORK WEST","420","U","TORONTO","0","0","1","8","15","0","33","0","0","0","57","212","Gosford Public School"
"107","YORK WEST","421","U","TORONTO","1","1","3","4","13","0","13","0","0","0","35","142","Gosford Public School"
"107","YORK WEST","422","U","TORONTO","0","1","2","3","24","0","36","0","0","0","66","223","St. Francis de Sales Catholic School"
"107","YORK WEST","423","U","TORONTO","1","1","0","2","20","1","30","0","0","0","55","189","St. Francis de Sales Catholic School"
"107","YORK WEST","424","U","TORONTO","0","2","1","3","22","1","31","0","0","0","60","240","St. Francis de Sales Catholic School"
"107","YORK WEST","425","U","TORONTO","2","1","1","4","17","0","26","0","0","0","51","183","St. Francis de Sales Catholic School"
"107","YORK WEST","426","U","TORONTO","0","1","2","11","24","1","27","1","2","0","69","298","St. Francis de Sales Catholic School"
"107","YORK WEST","427","U","TORONTO","0","0","0","1","8","0","18","0","0","0","27","127","St. Jane Frances Catholic School"
"107","YORK WEST","428","U","TORONTO","0","0","0","13","18","1","36","0","0","0","68","164","St. Jane Frances Catholic School"
"107","YORK WEST","429","U","TORONTO","0","0","1","6","9","1","36","0","0","0","53","196","Domenico Diluca Community Centre"
"107","YORK WEST","430","U","TORONTO","0","2","1","3","21","0","41","0","0","0","68","386","Domenico Diluca Community Centre"
"107","YORK WEST","431","U","TORONTO","0","0","0","3","15","0","14","1","0","0","33","143","Domenico Diluca Community Centre"
"107","YORK WEST","432","U","TORONTO","0","0","0","13","15","0","35","1","0","0","64","261","St. Gerard Majella Catholic School"
"107","YORK WEST","433","U","TORONTO","0","0","1","1","21","1","47","0","0","0","71","243","St. Gerard Majella Catholic School"
"107","YORK WEST","434","U","TORONTO","0","0","0","4","15","0","30","1","0","0","50","208","St. Gerard Majella Catholic School"
"107","YORK WEST","435","U","TORONTO","0","0","0","2","13","0","28","0","0","0","43","186","St. Gerard Majella Catholic School"
"107","YORK WEST","436","U","TORONTO","2","1","1","14","38","0","70","1","0","0","127","514","Shoreham Public School"
"107","YORK WEST","437","U","TORONTO","0","1","3","7","80","2","79","2","1","0","175","328","Shoreham Public School"
"107","YORK WEST","438","U","TORONTO","0","0","0","6","3","0","25","0","0","0","34","138","Shoreham Public School"
"107","YORK WEST","439","U","TORONTO","0","0","0","8","9","1","26","0","0","0","44","200","Driftwood Community Centre"
"107","YORK WEST","440","U","TORONTO","0","1","0","7","12","0","20","0","0","0","40","151","Driftwood Community Centre"
"107","YORK WEST","441","U","TORONTO","4","0","1","15","76","4","73","0","0","0","173","447","500 Murray Ross Parkway"
"107","YORK WEST","442","U","TORONTO","1","1","1","2","11","3","18","0","0","0","37","174","St. Charles Garnier Catholic School"
"107","YORK WEST","443","U","TORONTO","0","0","0","3","17","0","42","0","0","0","62","281","St. Charles Garnier Catholic School"
"107","YORK WEST","444","U","TORONTO","0","0","0","6","39","0","55","2","0","0","102","407","St. Charles Garnier Catholic School"
"107","YORK WEST","445","U","TORONTO","1","0","2","13","50","0","44","1","0","0","111","386","St. Charles Garnier Catholic School"
"107","YORK WEST","446","U","TORONTO","0","0","2","4","21","0","31","0","1","0","59","217","Topcliff Public School"
"107","YORK WEST","447","U","TORONTO","0","0","0","6","6","0","12","0","0","0","24","122","Driftwood Public School"
"107","YORK WEST","448","U","TORONTO","1","0","0","10","35","1","31","1","0","0","79","239","Driftwood Public School"
"107","YORK WEST","449","U","TORONTO","0","0","2","7","46","1","76","1","0","0","133","443","Driftwood Public School"
"107","YORK WEST","450","U","TORONTO","0","0","0","9","17","0","27","0","0","0","53","317","The McMaster"
"107","YORK WEST","451","U","TORONTO","0","0","0","15","62","7","68","3","0","0","155","357","The Carlton"
"107","YORK WEST","452","U","TORONTO","1","0","0","5","42","3","49","3","1","0","104","370","The McMaster"
"107","YORK WEST","453","U","TORONTO","1","0","0","14","33","0","55","0","0","0","103","322","The Carlton"
"107","YORK WEST","454","U","TORONTO","3","2","2","34","75","4","47","1","0","2","170","348","455 Sentinel Road"
"107","YORK WEST","455","U","TORONTO","1","2","2","13","43","2","40","0","1","0","104","203","7-11 Arleta Avenue"
"107","YORK WEST","456A","U","TORONTO","0","0","0","14","72","4","74","0","0","0","164","446","James Cardinal McGuigan Catholic School"
"107","YORK WEST","456B","U","TORONTO","0","1","2","13","78","2","73","2","0","0","171","477","James Cardinal McGuigan Catholic School"
"107","YORK WEST","457","U","TORONTO","0","0","0","4","12","0","37","0","0","0","53","218","St. Francis de Sales Catholic School"
"107","YORK WEST","458","U","TORONTO","0","0","2","12","27","0","17","0","1","0","59","224","Yorkwoods Public School"
"107","YORK WEST","459","U","TORONTO","0","1","0","1","10","0","12","1","0","0","25","63","Yorkwoods Public School"
"107","YORK WEST","460","U","TORONTO","0","5","1","4","34","4","36","1","0","0","85","280","Yorkwoods Public School"
"107","YORK WEST","461","U","TORONTO","0","0","1","5","19","0","23","0","0","0","48","188","Yorkwoods Public School"
"107","YORK WEST","462","U","TORONTO","0","1","0","3","5","1","13","0","0","0","23","88","Yorkwoods Public School"
"107","YORK WEST","463","U","TORONTO","1","0","0","8","35","2","25","2","0","0","73","263","Oakdale Community Centre"
"107","YORK WEST","464","U","TORONTO","2","1","1","3","11","1","16","0","0","0","35","147","Yorkwoods Public School"
"107","YORK WEST","465","U","TORONTO","0","0","0","9","27","2","29","0","0","0","67","227","Oakdale Community Centre"
"107","YORK WEST","466","U","TORONTO","0","1","0","18","44","0","20","0","0","0","83","263","Derrydown Public School"
"107","YORK WEST","467","U","TORONTO","1","0","0","4","46","1","36","0","0","0","88","249","Derrydown Public School"
"107","YORK WEST","468","U","TORONTO","0","0","0","5","26","1","27","0","0","0","59","200","Elia Middle School"
"107","YORK WEST","469","U","TORONTO","0","0","2","9","32","2","53","0","2","0","100","171","7-11 Arleta Avenue"
"107","YORK WEST","700","U","NORTH YORK","1","6","0","5","8","1","13","0","0","0","34","75","Leisure World Centre"
"107","YORK WEST","701","U","TORONTO","2","2","1","4","10","1","25","1","0","0","46","117","Yorkview Life Care Centre"
"107","YORK WEST","ADV001","U","TORONTO","1","0","2","24","57","3","108","0","0","0","195","0","Returning Office / Bureau du directeur du scrutin"
"107","YORK WEST","ADV002","U","TORONTO","0","0","2","15","30","4","70","0","0","1","122","0","Special Ballot Voting / Vote par bulletin spécial"
"107","YORK WEST","ADV003","U","TORONTO","1","0","1","30","83","6","144","0","2","3","270","0","Gord and Irene Risk Community Centre"
"107","YORK WEST","ADV004","U","TORONTO","2","1","1","73","235","10","266","0","0","0","588","0","Driftwood Community Centre"
"107","YORK WEST","ADV005","U","TORONTO","1","1","0","9","51","4","40","1","0","1","108","0","York University - T.E.L. Building"
"TOTALS:","","","","","89","107","114","2735","7901","287","11455","109","43","18","22858","58255",""
