"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AHUJA","CHEN","CHOI","MCLARTY","THOMPSON","WALL","WONG","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"080","SCARBOROUGH--AGINCOURT","040","U","TORONTO","1","77","36","4","1","0","88","1","0","0","208","530","Brookmill Boulevard Junior Public School"
"080","SCARBOROUGH--AGINCOURT","041","U","TORONTO","1","35","21","4","1","0","74","1","0","0","137","354","Brookmill Boulevard Junior Public School"
"080","SCARBOROUGH--AGINCOURT","042","U","TORONTO","2","48","29","5","2","0","84","0","0","0","170","521","Brookmill Boulevard Junior Public School"
"080","SCARBOROUGH--AGINCOURT","043","U","TORONTO","2","51","26","0","1","0","112","2","0","0","194","489","Silver Springs Public School"
"080","SCARBOROUGH--AGINCOURT","044","U","TORONTO","0","58","27","4","2","1","76","1","3","0","172","448","Silver Springs Public School"
"080","SCARBOROUGH--AGINCOURT","045","U","TORONTO","2","63","27","2","2","0","99","0","0","0","195","538","Silver Springs Public School"
"080","SCARBOROUGH--AGINCOURT","046","U","TORONTO","0","26","16","2","3","0","72","0","0","0","119","300","Silver Springs Public School"
"080","SCARBOROUGH--AGINCOURT","047","U","TORONTO","0","35","20","1","1","0","63","0","0","0","120","468","Silver Springs Public School"
"080","SCARBOROUGH--AGINCOURT","048","U","TORONTO","1","27","19","1","1","0","73","1","0","0","123","351","Fairglen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","049","U","TORONTO","1","47","23","8","1","1","89","2","0","0","172","347","Fairglen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","050","U","TORONTO","0","49","22","7","8","0","61","4","0","0","151","329","Fairglen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","051","U","TORONTO","1","51","19","6","5","0","96","1","0","0","179","401","Fairglen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","052","U","TORONTO","6","64","40","3","9","3","91","2","0","0","218","568","Mary Ward Esl Catholic School"
"080","SCARBOROUGH--AGINCOURT","053","U","TORONTO","2","59","23","0","6","0","84","1","0","0","175","424","Mary Ward Esl Catholic School"
"080","SCARBOROUGH--AGINCOURT","054","U","TORONTO","0","59","14","0","3","1","100","0","0","0","177","417","Mary Ward Esl Catholic School"
"080","SCARBOROUGH--AGINCOURT","055","U","TORONTO","0","54","21","1","9","0","91","0","0","0","176","370","Mary Ward Esl Catholic School"
"080","SCARBOROUGH--AGINCOURT","056","U","TORONTO","3","38","37","0","5","0","74","0","0","0","157","523","St. Aidan's Catholic School"
"080","SCARBOROUGH--AGINCOURT","057","U","TORONTO","0","48","34","3","3","0","121","0","0","0","209","568","Mary Ward Esl Catholic School"
"080","SCARBOROUGH--AGINCOURT","058","U","TORONTO","2","50","24","4","1","0","96","0","1","0","178","459","Mary Ward Esl Catholic School"
"080","SCARBOROUGH--AGINCOURT","059","U","TORONTO","3","32","34","7","3","1","81","1","0","0","162","476","Timberbank Junior Public School"
"080","SCARBOROUGH--AGINCOURT","060","U","TORONTO","1","54","24","4","3","4","78","0","0","0","168","544","Timberbank Junior Public School"
"080","SCARBOROUGH--AGINCOURT","061","U","TORONTO","0","69","28","7","2","1","114","2","0","0","223","542","Timberbank Junior Public School"
"080","SCARBOROUGH--AGINCOURT","062","U","TORONTO","1","70","33","4","5","0","96","0","1","0","210","445","Timberbank Junior Public School"
"080","SCARBOROUGH--AGINCOURT","063","U","TORONTO","2","66","16","0","2","0","85","1","0","0","172","439","Timberbank Junior Public School"
"080","SCARBOROUGH--AGINCOURT","064","U","TORONTO","0","45","25","3","1","0","74","0","0","0","148","427","Highland Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","065","U","TORONTO","0","71","30","0","4","1","113","0","0","0","219","444","Highland Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","066","U","TORONTO","0","63","21","2","7","0","82","1","1","0","177","409","Highland Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","067","U","TORONTO","2","51","36","0","6","1","95","2","0","0","193","551","Highland Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","068","U","TORONTO","0","70","23","4","6","0","71","0","0","0","174","429","Agincourt Pentacostal Church"
"080","SCARBOROUGH--AGINCOURT","069","U","TORONTO","1","68","25","2","6","0","44","0","0","0","146","391","Agincourt Pentacostal Church"
"080","SCARBOROUGH--AGINCOURT","070","U","TORONTO","0","36","14","1","1","1","54","1","1","0","109","427","Agincourt Pentacostal Church"
"080","SCARBOROUGH--AGINCOURT","071","U","TORONTO","3","53","19","2","2","0","64","0","0","0","143","397","Agincourt Pentacostal Church"
"080","SCARBOROUGH--AGINCOURT","072","U","TORONTO","0","43","13","0","2","0","66","1","0","0","125","403","Agincourt Pentacostal Church"
"080","SCARBOROUGH--AGINCOURT","073","U","TORONTO","0","51","24","2","2","0","99","1","0","0","179","463","Henry Kelsey Senior Public School"
"080","SCARBOROUGH--AGINCOURT","074","U","TORONTO","1","50","22","2","3","0","72","3","0","0","153","440","Henry Kelsey Senior Public School"
"080","SCARBOROUGH--AGINCOURT","075","U","TORONTO","0","49","17","2","3","0","86","0","0","0","157","378","Henry Kelsey Senior Public School"
"080","SCARBOROUGH--AGINCOURT","076","U","TORONTO","2","35","27","1","0","0","64","2","0","0","131","402","Gracepoint Baptist Church"
"080","SCARBOROUGH--AGINCOURT","077","U","TORONTO","1","32","35","7","4","0","83","0","0","0","162","549","Gracepoint Baptist Church"
"080","SCARBOROUGH--AGINCOURT","078","U","TORONTO","0","47","32","3","2","3","85","3","0","0","175","544","Gracepoint Baptist Church"
"080","SCARBOROUGH--AGINCOURT","079","U","TORONTO","0","44","15","0","2","0","102","0","0","0","163","317","Bridlewood Junior Public School"
"080","SCARBOROUGH--AGINCOURT","080","U","TORONTO","1","48","40","5","12","2","96","0","1","0","205","395","Bridlewood Junior Public School"
"080","SCARBOROUGH--AGINCOURT","081","U","TORONTO","0","61","22","2","5","0","96","1","1","0","188","338","Bridlewood Junior Public School"
"080","SCARBOROUGH--AGINCOURT","082","U","TORONTO","0","61","26","0","11","1","96","0","0","0","195","406","Bridlewood Junior Public School"
"080","SCARBOROUGH--AGINCOURT","083","U","TORONTO","0","41","16","2","2","0","67","0","0","0","128","378","Holy Spirit Catholic School"
"080","SCARBOROUGH--AGINCOURT","084","U","TORONTO","0","60","24","1","3","0","88","1","1","0","178","443","Holy Spirit Catholic School"
"080","SCARBOROUGH--AGINCOURT","085","U","TORONTO","0","56","34","7","6","0","84","0","0","0","187","579","Stephen Leacock Community Centre"
"080","SCARBOROUGH--AGINCOURT","086","U","TORONTO","0","50","13","1","0","0","48","0","1","0","113","348","Stephen Leacock Community Centre"
"080","SCARBOROUGH--AGINCOURT","087","U","TORONTO","1","24","45","10","5","0","58","0","0","0","143","494","Stephen Leacock Community Centre"
"080","SCARBOROUGH--AGINCOURT","088","U","TORONTO","0","39","15","2","1","0","66","0","0","0","123","343","Highland Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","089","U","TORONTO","1","63","8","3","1","0","48","0","0","0","124","373","Agincourt District Library"
"080","SCARBOROUGH--AGINCOURT","090","U","TORONTO","1","17","21","1","2","0","56","1","1","0","100","383","Stephen Leacock Community Centre"
"080","SCARBOROUGH--AGINCOURT","091","U","TORONTO","0","73","23","1","4","0","72","0","0","0","173","451","Henry Kelsey Senior Public School"
"080","SCARBOROUGH--AGINCOURT","092","U","TORONTO","0","53","15","3","1","0","61","4","0","0","137","429","Henry Kelsey Senior Public School"
"080","SCARBOROUGH--AGINCOURT","093","U","TORONTO","0","31","17","7","3","2","70","1","0","0","131","378","Agincourt District Library"
"080","SCARBOROUGH--AGINCOURT","094","U","TORONTO","0","44","28","1","2","0","54","0","0","0","129","435","Henry Kelsey Senior Public School"
"080","SCARBOROUGH--AGINCOURT","095","U","TORONTO","1","51","18","3","0","0","38","0","0","0","111","481","Henry Kelsey Senior Public School"
"080","SCARBOROUGH--AGINCOURT","096","U","TORONTO","1","18","4","0","1","0","13","0","0","0","37","221","Agincourt District Library"
"080","SCARBOROUGH--AGINCOURT","097","U","TORONTO","2","51","17","3","0","0","82","0","0","0","155","414","North Agincourt Junior Public School"
"080","SCARBOROUGH--AGINCOURT","098","U","TORONTO","0","49","26","0","7","2","65","3","2","0","154","422","North Agincourt Junior Public School"
"080","SCARBOROUGH--AGINCOURT","099","U","TORONTO","1","42","32","2","6","1","75","1","1","0","161","437","North Agincourt Junior Public School"
"080","SCARBOROUGH--AGINCOURT","100","U","TORONTO","1","53","32","2","10","0","88","0","0","0","186","427","Vradenburg Junior Public School"
"080","SCARBOROUGH--AGINCOURT","101","U","TORONTO","0","59","19","3","3","0","84","1","0","0","169","423","Gracepoint Baptist Church"
"080","SCARBOROUGH--AGINCOURT","102","U","TORONTO","2","51","32","4","2","0","85","1","2","0","179","387","Vradenburg Junior Public School"
"080","SCARBOROUGH--AGINCOURT","103","U","TORONTO","0","52","43","1","6","0","114","1","1","0","218","483","Vradenburg Junior Public School"
"080","SCARBOROUGH--AGINCOURT","104","U","TORONTO","0","67","34","2","6","0","92","3","0","0","204","500","Vradenburg Junior Public School"
"080","SCARBOROUGH--AGINCOURT","105","U","TORONTO","2","44","23","2","4","1","73","0","0","0","149","383","Vradenburg Junior Public School"
"080","SCARBOROUGH--AGINCOURT","106","U","TORONTO","0","45","41","2","4","0","94","0","1","0","187","451","Lynngate Junior Public School"
"080","SCARBOROUGH--AGINCOURT","107","U","TORONTO","2","49","37","3","7","0","96","2","0","0","196","409","Lynngate Junior Public School"
"080","SCARBOROUGH--AGINCOURT","108","U","TORONTO","1","70","46","9","8","1","101","2","0","0","238","533","Lynngate Junior Public School"
"080","SCARBOROUGH--AGINCOURT","109","U","TORONTO","0","47","36","6","9","1","82","0","0","0","181","405","Lynngate Junior Public School"
"080","SCARBOROUGH--AGINCOURT","110","U","TORONTO","2","57","40","7","6","1","100","1","0","0","214","510","Lynngate Junior Public School"
"080","SCARBOROUGH--AGINCOURT","111","U","TORONTO","0","27","20","0","4","0","31","1","0","0","83","365","Lynngate Junior Public School"
"080","SCARBOROUGH--AGINCOURT","112","U","TORONTO","2","46","20","5","2","0","48","0","0","0","123","302","Inglewood Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","113","U","TORONTO","0","38","18","3","0","0","67","3","0","0","129","553","Inglewood Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","114","U","TORONTO","1","33","50","2","6","1","80","2","0","0","175","430","Inglewood Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","115","U","TORONTO","2","36","25","3","6","1","94","3","0","0","170","366","Inglewood Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","116","U","TORONTO","0","54","18","2","3","0","69","2","0","0","148","340","Inglewood Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","117","U","TORONTO","0","14","9","1","2","0","21","0","0","0","47","171","Inglewood Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","118","U","TORONTO","0","58","30","3","1","0","91","1","0","0","184","451","Agincourt Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","119","U","TORONTO","0","46","27","5","0","0","62","1","2","0","143","410","Agincourt Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","120","U","TORONTO","1","44","31","4","1","1","60","0","0","0","142","419","Agincourt Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","121","U","TORONTO","1","40","35","2","5","1","76","0","0","0","160","377","Agincourt Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","122","U","TORONTO","2","55","26","4","6","1","89","3","0","0","186","498","Agincourt Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","400","U","TORONTO","0","85","21","2","7","1","75","0","1","0","192","510","Bridlewood Place Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","401","U","TORONTO","1","65","33","6","5","0","67","2","2","0","181","521","Bridlewood Place Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","402","U","TORONTO","1","78","22","2","4","1","69","0","0","0","177","545","Bridlewood Place Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","403","U","TORONTO","4","26","27","8","6","1","56","2","0","0","130","314","Northboro"
"080","SCARBOROUGH--AGINCOURT","404","U","TORONTO","2","131","34","9","6","0","82","3","1","0","268","606","The Monterey"
"080","SCARBOROUGH--AGINCOURT","405","U","TORONTO","1","55","17","4","2","1","71","1","2","0","154","368","Sky Park"
"080","SCARBOROUGH--AGINCOURT","406","U","TORONTO","2","71","15","6","4","0","69","0","1","0","168","395","Sky Park"
"080","SCARBOROUGH--AGINCOURT","407","U","TORONTO","0","94","15","4","2","2","59","0","0","0","176","395","Sky Park"
"080","SCARBOROUGH--AGINCOURT","408A","U","TORONTO","1","51","37","5","3","2","80","5","0","0","184","385","Royalcrest"
"080","SCARBOROUGH--AGINCOURT","408B","U","TORONTO","0","58","32","4","10","0","109","0","1","0","214","453","Royalcrest"
"080","SCARBOROUGH--AGINCOURT","409","U","TORONTO","0","43","21","2","4","0","63","0","1","0","134","267","Beverly Glen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","410","U","TORONTO","3","53","31","6","6","0","81","0","0","0","180","329","YCC337"
"080","SCARBOROUGH--AGINCOURT","411","U","TORONTO","1","73","33","7","1","0","126","0","0","0","241","471","Sky Garden"
"080","SCARBOROUGH--AGINCOURT","412","U","TORONTO","1","93","31","7","4","1","104","1","0","0","242","454","Sky Garden"
"080","SCARBOROUGH--AGINCOURT","413","U","TORONTO","9","53","59","13","9","2","83","1","2","0","231","550","Glenhurst Apartment(s)"
"080","SCARBOROUGH--AGINCOURT","414","U","TORONTO","4","26","55","3","3","0","62","1","0","0","154","493","Brookmill Boulevard Junior Public School"
"080","SCARBOROUGH--AGINCOURT","415A","U","TORONTO","2","63","40","7","5","1","78","2","0","0","198","408","Woodlands on the Park"
"080","SCARBOROUGH--AGINCOURT","415B","U","TORONTO","5","53","28","3","1","0","62","0","0","0","152","332","Woodlands on the Park"
"080","SCARBOROUGH--AGINCOURT","416","U","TORONTO","4","12","36","4","1","0","40","1","1","0","99","466","Silver Springs Public School"
"080","SCARBOROUGH--AGINCOURT","417A","U","TORONTO","0","43","26","1","1","1","46","0","1","0","119","472","The Japanese Gospel Church of Toronto"
"080","SCARBOROUGH--AGINCOURT","417B","U","TORONTO","0","27","16","0","1","1","24","0","1","0","70","346","The Japanese Gospel Church of Toronto"
"080","SCARBOROUGH--AGINCOURT","418","U","TORONTO","0","71","13","5","1","0","92","2","2","0","186","311","Tam O'shanter Towers"
"080","SCARBOROUGH--AGINCOURT","419","U","TORONTO","2","32","22","9","6","1","67","0","0","0","139","392","Fairglen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","420","U","TORONTO","0","15","18","0","0","0","61","0","1","0","95","276","Mary Ward Esl Catholic School"
"080","SCARBOROUGH--AGINCOURT","421","U","TORONTO","1","111","34","13","7","0","89","4","0","0","259","432","St. Paul's l'Amoreaux Seniors' Centre"
"080","SCARBOROUGH--AGINCOURT","422","U","TORONTO","1","17","35","4","4","0","61","0","0","0","122","397","St. Aidan's Catholic School"
"080","SCARBOROUGH--AGINCOURT","423","U","TORONTO","1","31","30","0","4","0","63","0","0","0","129","424","St. Aidan's Catholic School"
"080","SCARBOROUGH--AGINCOURT","424","U","TORONTO","2","15","21","3","1","0","35","0","1","0","78","220","Stonehill"
"080","SCARBOROUGH--AGINCOURT","425","U","TORONTO","0","27","15","1","0","0","33","0","0","0","76","190","St. Aidan's Catholic School"
"080","SCARBOROUGH--AGINCOURT","426","U","TORONTO","0","34","20","0","6","0","62","0","1","0","123","383","St. Aidan's Catholic School"
"080","SCARBOROUGH--AGINCOURT","427","U","TORONTO","2","24","37","8","3","0","69","1","0","0","144","329","St. Aidan's Catholic School"
"080","SCARBOROUGH--AGINCOURT","428","U","TORONTO","4","13","40","7","2","0","53","2","1","0","122","451","Highland Heights Junior Public School"
"080","SCARBOROUGH--AGINCOURT","429","U","TORONTO","0","20","49","18","1","1","76","1","0","0","166","461","Victoria Park Avenue"
"080","SCARBOROUGH--AGINCOURT","430","U","TORONTO","2","75","27","10","5","4","32","6","0","3","164","300","Wishing Well Manor"
"080","SCARBOROUGH--AGINCOURT","431","U","TORONTO","3","29","31","3","2","1","54","1","0","0","124","487","Holy Spirit Catholic School"
"080","SCARBOROUGH--AGINCOURT","432","U","TORONTO","1","26","35","3","2","0","60","1","0","0","128","439","Stephen Leacock Community Centre"
"080","SCARBOROUGH--AGINCOURT","433","U","TORONTO","1","28","25","0","2","0","46","0","0","0","102","440","Stephen Leacock Community Centre"
"080","SCARBOROUGH--AGINCOURT","434","U","TORONTO","0","20","34","3","2","0","48","1","0","0","108","426","Stephen Leacock Community Centre"
"080","SCARBOROUGH--AGINCOURT","435","U","TORONTO","0","31","34","1","2","0","32","2","1","0","103","552","Agincourt Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","436","U","TORONTO","0","71","14","1","0","0","65","0","0","0","151","351","The Greens at Tam O'shanter"
"080","SCARBOROUGH--AGINCOURT","437","U","TORONTO","3","118","24","7","7","2","87","3","1","0","252","617","The Greens at Tam O'shanter"
"080","SCARBOROUGH--AGINCOURT","438","U","TORONTO","0","37","11","1","1","0","27","0","0","0","77","246","Agincourt District Library"
"080","SCARBOROUGH--AGINCOURT","439","U","TORONTO","1","74","13","8","4","0","74","0","0","0","174","541","Agincourt District Library"
"080","SCARBOROUGH--AGINCOURT","440","U","TORONTO","2","25","10","0","1","0","29","1","0","0","68","344","Agincourt Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","441","U","TORONTO","1","28","21","1","3","0","42","0","0","0","96","272","Gracepoint Baptist Church"
"080","SCARBOROUGH--AGINCOURT","442","U","TORONTO","3","24","31","5","0","1","59","1","0","1","125","279","Scarsdale House"
"080","SCARBOROUGH--AGINCOURT","700","U","TORONTO","1","17","5","0","1","0","20","1","3","1","49","187","Tendercare Health Centre"
"080","SCARBOROUGH--AGINCOURT","701","U","TORONTO","0","14","3","0","1","0","15","0","2","0","35","171","Mon Sheong Long Term Care Centre"
"080","SCARBOROUGH--AGINCOURT","702","U","TORONTO","2","89","10","2","4","0","106","1","0","0","214","328","Mon Sheong Court Senior Residence"
"080","SCARBOROUGH--AGINCOURT","703","U","TORONTO","0","30","8","3","2","0","30","2","0","0","75","113","Shepherd Lodge (Village)"
"080","SCARBOROUGH--AGINCOURT","704","U","TORONTO","1","35","5","1","0","0","22","0","0","0","64","137","Shepherd Manor (Village)"
"080","SCARBOROUGH--AGINCOURT","705","U","TORONTO","0","30","6","3","4","0","14","0","0","0","57","132","Shepherd Lodge (Village)"
"080","SCARBOROUGH--AGINCOURT","706","U","TORONTO","0","106","13","4","1","0","47","0","1","0","172","267","Shepherd Manor (Village)"
"080","SCARBOROUGH--AGINCOURT","707","U","TORONTO","1","31","6","3","1","0","42","1","3","0","88","169","Villa Elegance"
"080","SCARBOROUGH--AGINCOURT","ADV001","U","TORONTO","19","755","322","60","48","5","1106","1","5","0","2321","0","Returning Office / Bureau du directeur du scrutin"
"080","SCARBOROUGH--AGINCOURT","ADV002","U","TORONTO","9","202","126","16","21","3","335","3","1","0","716","0","Special Ballot Voting / Vote par bulletin spécial"
"080","SCARBOROUGH--AGINCOURT","ADV003","U","TORONTO","1","197","68","4","10","0","182","2","0","0","464","0","Agincourt Recreation Centre"
"080","SCARBOROUGH--AGINCOURT","ADV004","U","TORONTO","3","340","115","16","19","1","505","4","2","0","1005","0","L'Amoreaux Community Centre"
"TOTALS:","","","","","209","10222","5017","656","722","83","14907","160","76","10","32062","73583",""
