"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","NAVARRO","NICHOLLS","SULLIVAN","WATSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"014","CHATHAM--KENT--ESSEX","026","U","LEAMINGTON","32","43","6","63","2","0","0","146","459","Leamington District Half Century Centre"
"014","CHATHAM--KENT--ESSEX","027","U","LEAMINGTON","36","16","3","13","0","0","0","68","268","Leamington District Half Century Centre"
"014","CHATHAM--KENT--ESSEX","028","U","LEAMINGTON","37","36","0","30","0","0","0","103","368","Leamington District Half Century Centre"
"014","CHATHAM--KENT--ESSEX","029","U","LEAMINGTON","19","31","0","41","1","0","0","92","260","Leamington United Mennonite Church"
"014","CHATHAM--KENT--ESSEX","030","U","LEAMINGTON","18","33","3","23","0","0","0","77","298","Leamington United Mennonite Church"
"014","CHATHAM--KENT--ESSEX","031","U","LEAMINGTON","49","61","2","76","3","0","0","191","394","Leamington Kinsmen Recreation Complex"
"014","CHATHAM--KENT--ESSEX","032","U","LEAMINGTON","28","45","2","46","1","0","0","122","363","Leamington Kinsmen Recreation Complex"
"014","CHATHAM--KENT--ESSEX","033","U","LEAMINGTON","58","81","4","75","3","2","0","223","458","Leamington United Mennonite Church"
"014","CHATHAM--KENT--ESSEX","034","U","LEAMINGTON","24","84","3","47","1","0","0","159","362","Mennonite Heritage Centre"
"014","CHATHAM--KENT--ESSEX","035","U","LEAMINGTON","34","44","3","55","2","1","0","139","423","Mennonite Heritage Centre"
"014","CHATHAM--KENT--ESSEX","036","U","LEAMINGTON","37","62","5","65","1","3","0","173","416","Margaret D. Bennie Public School"
"014","CHATHAM--KENT--ESSEX","037","U","LEAMINGTON","25","52","3","64","0","0","0","144","383","Leamington United Mennonite Church"
"014","CHATHAM--KENT--ESSEX","038","U","LEAMINGTON","34","33","0","41","0","0","0","108","343","Mennonite Heritage Centre"
"014","CHATHAM--KENT--ESSEX","039","U","LEAMINGTON","23","33","1","13","2","1","0","73","363","Leamington United Mennonite Church"
"014","CHATHAM--KENT--ESSEX","040","U","LEAMINGTON","19","37","5","27","0","1","0","89","274","Mennonite Heritage Centre"
"014","CHATHAM--KENT--ESSEX","041","U","LEAMINGTON","27","38","2","21","0","2","0","90","248","Mennonite Heritage Centre"
"014","CHATHAM--KENT--ESSEX","042","U","LEAMINGTON","30","42","0","37","0","0","0","109","277","Margaret D. Bennie Public School"
"014","CHATHAM--KENT--ESSEX","043","U","LEAMINGTON","23","48","7","49","0","0","0","127","303","Roma Club of Leamington"
"014","CHATHAM--KENT--ESSEX","044","U","LEAMINGTON","21","49","0","41","0","0","0","111","261","Roma Club of Leamington"
"014","CHATHAM--KENT--ESSEX","045","U","LEAMINGTON","38","92","1","74","0","3","0","208","410","Roma Club of Leamington"
"014","CHATHAM--KENT--ESSEX","046","U","LEAMINGTON","23","26","4","16","0","0","0","69","158","Roma Club of Leamington"
"014","CHATHAM--KENT--ESSEX","047","U","LEAMINGTON","33","78","6","37","0","0","0","154","370","Gore Hill Public School"
"014","CHATHAM--KENT--ESSEX","048","U","LEAMINGTON","37","90","4","30","0","0","0","161","437","Gore Hill Public School"
"014","CHATHAM--KENT--ESSEX","049","U","LEAMINGTON","35","79","4","48","1","0","0","167","360","Gore Hill Public School"
"014","CHATHAM--KENT--ESSEX","050","U","TILBURY","32","34","5","35","0","0","0","106","259","Tilbury Leisure Centre"
"014","CHATHAM--KENT--ESSEX","051","U","TILBURY","39","26","4","27","0","1","0","97","262","Tilbury Leisure Centre"
"014","CHATHAM--KENT--ESSEX","052","U","TILBURY","24","27","3","22","0","0","0","76","234","Tilbury Leisure Centre"
"014","CHATHAM--KENT--ESSEX","053","U","TILBURY","51","38","4","26","0","1","0","120","352","Tilbury Leisure Centre"
"014","CHATHAM--KENT--ESSEX","054","U","TILBURY","48","18","5","20","0","0","0","91","319","Tilbury and  District Memorial Community Arena"
"014","CHATHAM--KENT--ESSEX","055","U","TILBURY","39","41","5","30","0","0","0","115","357","Tilbury and  District Memorial Community Arena"
"014","CHATHAM--KENT--ESSEX","056","U","TILBURY","17","17","2","18","0","0","0","54","166","Tilbury and  District Memorial Community Arena"
"014","CHATHAM--KENT--ESSEX","057","U","TILBURY","54","27","2","26","1","0","0","110","321","Tilbury and  District Memorial Community Arena"
"014","CHATHAM--KENT--ESSEX","058","U","TILBURY","21","23","0","17","0","2","0","63","189","Tilbury Area Public School"
"014","CHATHAM--KENT--ESSEX","059","U","TILBURY","52","48","8","90","2","0","0","200","419","Tilbury and  District Memorial Community Arena"
"014","CHATHAM--KENT--ESSEX","060","U","TILBURY","41","60","3","51","0","0","0","155","338","Tilbury and  District Memorial Community Arena"
"014","CHATHAM--KENT--ESSEX","061","U","TILBURY","29","33","2","50","0","0","0","114","290","Tilbury and  District Memorial Community Arena"
"014","CHATHAM--KENT--ESSEX","062","U","TILBURY","19","51","1","51","0","0","0","122","277","Tilbury Area Public School"
"014","CHATHAM--KENT--ESSEX","063","U","MERLIN","57","56","2","48","0","0","2","165","352","Merlin Public School"
"014","CHATHAM--KENT--ESSEX","064","U","TILBURY","35","72","3","40","0","0","0","150","373","Tilbury Area Public School"
"014","CHATHAM--KENT--ESSEX","065","U","MERLIN","26","44","4","34","1","0","0","109","278","Merlin Public School"
"014","CHATHAM--KENT--ESSEX","066","U","WHEATLEY","38","69","3","43","0","0","0","153","381","Wheatley Area Public School"
"014","CHATHAM--KENT--ESSEX","067","U","WHEATLEY","37","78","10","47","0","0","0","172","479","Wheatley Area Public School"
"014","CHATHAM--KENT--ESSEX","068","U","WHEATLEY","29","83","6","35","0","0","0","153","425","Wheatley Area Public School"
"014","CHATHAM--KENT--ESSEX","069","U","WHEATLEY","23","58","2","27","0","0","0","110","276","Wheatley United Church"
"014","CHATHAM--KENT--ESSEX","070","U","WHEATLEY","36","58","8","28","0","1","0","131","382","Wheatley United Church"
"014","CHATHAM--KENT--ESSEX","071","U","WHEATLEY","31","41","3","19","0","0","0","94","275","Wheatley United Church"
"014","CHATHAM--KENT--ESSEX","072","U","WHEATLEY","23","49","3","25","0","0","0","100","283","Wheatley United Church"
"014","CHATHAM--KENT--ESSEX","073","U","TILBURY","46","87","10","61","0","0","0","204","452","Maple City Billiards"
"014","CHATHAM--KENT--ESSEX","074","U","CHATHAM","17","61","6","43","1","0","0","128","262","North Raleigh Fire Hall"
"014","CHATHAM--KENT--ESSEX","075","U","CHATHAM","31","73","0","50","1","0","0","155","307","Southside Estates Retirement Living"
"014","CHATHAM--KENT--ESSEX","076","U","CHATHAM","30","61","6","64","2","0","1","164","286","Southside Estates Retirement Living"
"014","CHATHAM--KENT--ESSEX","077","U","MERLIN","36","54","2","46","1","0","0","139","337","Merlin Public School"
"014","CHATHAM--KENT--ESSEX","078","U","MERLIN","34","50","1","54","1","0","0","140","276","Buxton National Historic Site and Museum"
"014","CHATHAM--KENT--ESSEX","079","U","CHARING CROSS","54","104","7","60","0","0","0","225","408","Charing Cross United Church"
"014","CHATHAM--KENT--ESSEX","080","U","MERLIN","27","61","3","40","0","1","0","132","272","South Raleigh Fire Hall"
"014","CHATHAM--KENT--ESSEX","081","U","MERLIN","53","76","4","47","1","0","0","181","384","South Raleigh Fire Hall"
"014","CHATHAM--KENT--ESSEX","082","U","CEDAR SPRINGS","39","106","5","51","0","1","0","202","384","Cedar Springs United Church"
"014","CHATHAM--KENT--ESSEX","083","U","CHATHAM","12","77","6","66","0","0","0","161","314","Villa Angela"
"014","CHATHAM--KENT--ESSEX","084","U","CHATHAM","27","84","6","133","2","0","0","252","456","Villa Angela"
"014","CHATHAM--KENT--ESSEX","085","U","CHATHAM","17","30","2","28","0","0","2","79","167","Tecumseh Public School"
"014","CHATHAM--KENT--ESSEX","086","U","CHATHAM","28","65","3","82","2","0","1","181","353","Villa Angela"
"014","CHATHAM--KENT--ESSEX","087","U","CHATHAM","43","49","2","60","0","0","0","154","326","Tecumseh Public School"
"014","CHATHAM--KENT--ESSEX","088","U","CHATHAM","40","70","7","80","0","0","2","199","417","Tecumseh Public School"
"014","CHATHAM--KENT--ESSEX","089","U","CHATHAM","21","82","1","78","1","0","0","183","331","Tecumseh Public School"
"014","CHATHAM--KENT--ESSEX","090","U","CHATHAM","23","43","0","39","0","0","0","105","232","Tecumseh Public School"
"014","CHATHAM--KENT--ESSEX","091","U","CHATHAM","34","55","1","40","0","0","0","130","398","Tecumseh Public School"
"014","CHATHAM--KENT--ESSEX","092","U","CHATHAM","31","76","5","56","0","0","1","169","347","Salvation Army Chatham-Kent Ministries"
"014","CHATHAM--KENT--ESSEX","093","U","CHATHAM","32","82","4","94","0","0","0","212","404","Salvation Army Chatham-Kent Ministries"
"014","CHATHAM--KENT--ESSEX","094","U","CHATHAM","32","96","4","87","3","0","0","222","465","Sprucedale United Church"
"014","CHATHAM--KENT--ESSEX","095","U","CHATHAM","30","34","6","32","0","1","2","105","207","Salvation Army Chatham-Kent Ministries"
"014","CHATHAM--KENT--ESSEX","096","U","CHATHAM","35","49","6","42","0","0","0","132","284","Salvation Army Chatham-Kent Ministries"
"014","CHATHAM--KENT--ESSEX","097","U","CHATHAM","32","68","3","62","2","0","0","167","343","Sprucedale United Church"
"014","CHATHAM--KENT--ESSEX","098","U","CHATHAM","28","15","1","10","0","0","0","54","255","Salvation Army Chatham-Kent Ministries"
"014","CHATHAM--KENT--ESSEX","099","U","CHATHAM","19","29","1","25","0","0","0","74","274","Salvation Army Chatham-Kent Ministries"
"014","CHATHAM--KENT--ESSEX","100","U","CHATHAM","27","39","5","17","2","0","0","90","224","McNaughton Manor"
"014","CHATHAM--KENT--ESSEX","101","U","CHATHAM","15","75","5","48","0","1","0","144","272","Sprucedale United Church"
"014","CHATHAM--KENT--ESSEX","102","U","CHATHAM","21","47","1","39","0","0","0","108","241","Sprucedale United Church"
"014","CHATHAM--KENT--ESSEX","103","U","CHATHAM","30","68","5","64","1","0","1","169","458","Portuguese Canadian Social Club Chatham"
"014","CHATHAM--KENT--ESSEX","104","U","CHATHAM","28","23","2","17","2","1","0","73","265","Portuguese Canadian Social Club Chatham"
"014","CHATHAM--KENT--ESSEX","105","U","CHATHAM","36","87","4","85","0","0","0","212","470","McNaughton Avenue Public School"
"014","CHATHAM--KENT--ESSEX","106","U","CHATHAM","43","37","4","52","0","0","0","136","324","McNaughton Avenue Public School"
"014","CHATHAM--KENT--ESSEX","107","U","CHATHAM","29","61","2","31","0","0","0","123","292","Portuguese Canadian Social Club Chatham"
"014","CHATHAM--KENT--ESSEX","108","U","CHATHAM","40","56","6","69","0","0","0","171","352","McNaughton Avenue Public School"
"014","CHATHAM--KENT--ESSEX","109","U","CHATHAM","48","66","4","39","0","0","0","157","354","McNaughton Avenue Public School"
"014","CHATHAM--KENT--ESSEX","110","U","CHATHAM","51","42","0","47","1","0","0","141","307","Portuguese Canadian Social Club Chatham"
"014","CHATHAM--KENT--ESSEX","111","U","CHATHAM","39","51","3","37","0","0","0","130","288","Portuguese Canadian Social Club Chatham"
"014","CHATHAM--KENT--ESSEX","112","U","CHATHAM","38","44","5","31","0","1","0","119","306","Portuguese Canadian Social Club Chatham"
"014","CHATHAM--KENT--ESSEX","113","U","CHATHAM","28","45","7","68","0","0","1","149","357","Holy Trinity Anglican Church"
"014","CHATHAM--KENT--ESSEX","114","U","CHATHAM","28","38","3","36","0","0","0","105","356","Portuguese Canadian Social Club Chatham"
"014","CHATHAM--KENT--ESSEX","115","U","CHATHAM","42","48","6","39","0","0","0","135","336","Holy Trinity Anglican Church"
"014","CHATHAM--KENT--ESSEX","116","U","CHATHAM","29","49","3","35","0","0","0","116","339","Holy Trinity Anglican Church"
"014","CHATHAM--KENT--ESSEX","117","U","CHATHAM","27","49","7","50","2","0","0","135","387","Holy Trinity Anglican Church"
"014","CHATHAM--KENT--ESSEX","118","U","CHATHAM","35","54","7","73","2","0","0","171","402","Holy Trinity Anglican Church"
"014","CHATHAM--KENT--ESSEX","119","U","CHATHAM","41","46","4","27","1","2","1","122","348","Holy Trinity Anglican Church"
"014","CHATHAM--KENT--ESSEX","120","U","CHATHAM","27","33","4","22","1","0","0","87","259","Holy Trinity Anglican Church"
"014","CHATHAM--KENT--ESSEX","121","U","CHATHAM","35","53","5","49","2","1","0","145","314","Caleb Village"
"014","CHATHAM--KENT--ESSEX","122","U","CHATHAM","34","32","2","28","0","0","0","96","302","Caleb Village"
"014","CHATHAM--KENT--ESSEX","123","U","CHATHAM","33","22","5","30","1","0","0","91","317","John N. Given Public School"
"014","CHATHAM--KENT--ESSEX","124","U","CHATHAM","55","72","7","49","4","0","0","187","331","John N. Given Public School"
"014","CHATHAM--KENT--ESSEX","125","U","CHATHAM","41","75","3","51","2","0","0","172","351","John N. Given Public School"
"014","CHATHAM--KENT--ESSEX","126","U","CHATHAM","37","60","2","40","0","0","0","139","288","Monsignor Uyen Catholic School"
"014","CHATHAM--KENT--ESSEX","127","U","CHATHAM","29","18","2","21","0","0","1","71","195","Thames Park Tower North"
"014","CHATHAM--KENT--ESSEX","128","U","CHATHAM","23","13","3","11","0","0","0","50","176","Thames Park Tower North"
"014","CHATHAM--KENT--ESSEX","129","U","CHATHAM","17","26","5","61","0","0","0","109","314","Caleb Village"
"014","CHATHAM--KENT--ESSEX","130","U","CHATHAM","23","48","1","51","1","0","0","124","209","Thames Tower's Apartments West"
"014","CHATHAM--KENT--ESSEX","131","U","CHATHAM","35","43","5","49","1","1","0","134","388","Monsignor Uyen Catholic School"
"014","CHATHAM--KENT--ESSEX","132","U","CHATHAM","42","62","3","59","1","0","0","167","311","Monsignor Uyen Catholic School"
"014","CHATHAM--KENT--ESSEX","133","U","CHATHAM","53","68","7","90","0","0","0","218","425","Monsignor Uyen Catholic School"
"014","CHATHAM--KENT--ESSEX","134","U","CHATHAM","22","63","1","43","0","0","0","129","303","Tecumseh Public School"
"014","CHATHAM--KENT--ESSEX","135","U","CHATHAM","62","55","10","69","1","1","0","198","431","Trillium Village 1"
"014","CHATHAM--KENT--ESSEX","136","U","CHATHAM","24","30","3","22","0","0","0","79","260","John N. Given Public School"
"014","CHATHAM--KENT--ESSEX","137","U","CHATHAM","24","24","0","19","0","0","1","68","245","Active Lifestyle Centre"
"014","CHATHAM--KENT--ESSEX","138","U","CHATHAM","52","74","5","82","1","2","0","216","465","Active Lifestyle Centre"
"014","CHATHAM--KENT--ESSEX","139","U","CHATHAM","20","39","5","42","0","0","0","106","200","Active Lifestyle Centre"
"014","CHATHAM--KENT--ESSEX","140","U","CHATHAM","30","31","4","42","0","0","0","107","343","Active Lifestyle Centre"
"014","CHATHAM--KENT--ESSEX","141","U","CHATHAM","39","62","3","93","1","0","0","198","409","Active Lifestyle Centre"
"014","CHATHAM--KENT--ESSEX","142","U","CHATHAM","27","44","8","40","0","0","0","119","307","Active Lifestyle Centre"
"014","CHATHAM--KENT--ESSEX","143","U","CHATHAM","31","27","6","44","1","1","0","110","326","Active Lifestyle Centre"
"014","CHATHAM--KENT--ESSEX","144","U","CHATHAM","33","40","2","55","0","0","0","130","287","Chatham Baptist Church"
"014","CHATHAM--KENT--ESSEX","145","U","CHATHAM","34","23","6","39","2","0","0","104","268","W.I.S.H. Centre"
"014","CHATHAM--KENT--ESSEX","146","U","CHATHAM","32","23","1","11","0","1","0","68","215","W.I.S.H. Centre"
"014","CHATHAM--KENT--ESSEX","147","U","CHATHAM","62","23","4","31","0","0","0","120","356","W.I.S.H. Centre"
"014","CHATHAM--KENT--ESSEX","148","U","CHATHAM","30","21","4","22","0","0","0","77","283","Chatham Baptist Church"
"014","CHATHAM--KENT--ESSEX","149","U","CHATHAM","55","40","2","48","1","0","0","146","424","Chatham Baptist Church"
"014","CHATHAM--KENT--ESSEX","150","U","CHATHAM","34","11","4","17","1","0","0","67","314","Chatham Baptist Church"
"014","CHATHAM--KENT--ESSEX","151","U","CHATHAM","23","33","8","21","0","0","0","85","285","Chatham Baptist Church"
"014","CHATHAM--KENT--ESSEX","152","U","CHATHAM","34","31","3","29","0","1","0","98","353","St. Paul's Congregational Church"
"014","CHATHAM--KENT--ESSEX","153","U","CHATHAM","34","26","3","21","0","0","0","84","212","St. Paul's Congregational Church"
"014","CHATHAM--KENT--ESSEX","154","U","CHATHAM","51","86","4","52","1","0","0","194","440","St. Paul's Congregational Church"
"014","CHATHAM--KENT--ESSEX","155","U","CHATHAM","46","81","4","59","1","0","0","191","474","St. Paul's Congregational Church"
"014","CHATHAM--KENT--ESSEX","156","U","CHATHAM","43","37","6","37","0","0","1","124","346","St. Paul's Congregational Church"
"014","CHATHAM--KENT--ESSEX","157","U","CHATHAM","40","42","2","19","1","0","0","104","336","St. Paul's Congregational Church"
"014","CHATHAM--KENT--ESSEX","158","U","CHATHAM","38","35","4","20","1","0","0","98","274","St. Paul's Congregational Church"
"014","CHATHAM--KENT--ESSEX","159","U","CHATHAM","37","22","0","54","0","0","0","113","300","John McGregor Secondary School"
"014","CHATHAM--KENT--ESSEX","160","U","CHATHAM","66","58","7","47","1","1","0","180","399","John McGregor Secondary School"
"014","CHATHAM--KENT--ESSEX","161","U","CHATHAM","60","105","9","29","0","3","0","206","513","South Chatham Village Apartments"
"014","CHATHAM--KENT--ESSEX","162","U","CHATHAM","41","70","6","55","0","0","0","172","354","Queen Elizabeth II Public School"
"014","CHATHAM--KENT--ESSEX","163","U","CHATHAM","62","56","6","26","1","0","0","151","424","South Chatham Village Apartments"
"014","CHATHAM--KENT--ESSEX","164","U","CHATHAM","35","20","3","16","0","0","0","74","297","Queen Elizabeth II Public School"
"014","CHATHAM--KENT--ESSEX","165","U","CHATHAM","52","113","3","63","0","0","0","231","439","Kent Cloverleaf Conservation Club"
"014","CHATHAM--KENT--ESSEX","166","U","CHATHAM","45","93","2","72","0","1","0","213","410","Queen Elizabeth II Public School"
"014","CHATHAM--KENT--ESSEX","167","U","CHATHAM","34","78","5","57","2","0","1","177","356","Georges P. Vanier School"
"014","CHATHAM--KENT--ESSEX","168","U","CHATHAM","41","63","8","54","0","0","0","166","348","Georges P. Vanier School"
"014","CHATHAM--KENT--ESSEX","169","U","CHATHAM","32","67","3","47","0","0","0","149","296","Georges P. Vanier School"
"014","CHATHAM--KENT--ESSEX","170","U","CHATHAM","16","64","4","76","1","1","1","163","340","John McGregor Secondary School"
"014","CHATHAM--KENT--ESSEX","171","U","CHATHAM","20","102","6","68","1","0","0","197","368","John McGregor Secondary School"
"014","CHATHAM--KENT--ESSEX","172","U","CHATHAM","22","50","1","58","1","0","2","134","264","John McGregor Secondary School"
"014","CHATHAM--KENT--ESSEX","173","U","CHATHAM","27","96","5","67","0","0","0","195","407","Indian Creek Road Public School"
"014","CHATHAM--KENT--ESSEX","174","U","CHATHAM","35","100","5","57","0","1","0","198","345","Indian Creek Road Public School"
"014","CHATHAM--KENT--ESSEX","175","U","CHATHAM","9","53","1","60","0","0","0","123","241","Indian Creek Road Public School"
"014","CHATHAM--KENT--ESSEX","176","U","CHATHAM","30","69","8","54","2","0","0","163","367","Kent Cloverleaf Conservation Club"
"014","CHATHAM--KENT--ESSEX","177","U","CHATHAM","24","116","4","61","0","0","0","205","448","Maple City Country Club"
"014","CHATHAM--KENT--ESSEX","178","U","CHATHAM","17","42","4","48","0","0","0","111","235","Maple City Country Club"
"014","CHATHAM--KENT--ESSEX","179","U","CHATHAM","34","85","5","55","0","0","2","181","360","Kent Cloverleaf Conservation Club"
"014","CHATHAM--KENT--ESSEX","180","U","CHARING CROSS","31","57","2","26","0","0","2","118","245","Charing Cross United Church"
"014","CHATHAM--KENT--ESSEX","181","U","CEDAR SPRINGS","26","57","9","49","0","0","0","141","343","Cedar Springs United Church"
"014","CHATHAM--KENT--ESSEX","182","U","BLENHEIM","24","48","7","77","0","0","0","156","334","Blenheim United Church"
"014","CHATHAM--KENT--ESSEX","183","U","BLENHEIM","35","37","4","31","0","0","0","107","292","Blenheim United Church"
"014","CHATHAM--KENT--ESSEX","184","U","BLENHEIM","43","50","2","64","0","1","0","160","418","Blenheim United Church"
"014","CHATHAM--KENT--ESSEX","185","U","BLENHEIM","52","105","8","65","1","2","0","233","487","W. J. Baird Public School"
"014","CHATHAM--KENT--ESSEX","186","U","BLENHEIM","34","48","2","27","1","1","0","113","278","W. J. Baird Public School"
"014","CHATHAM--KENT--ESSEX","187","U","BLENHEIM","30","74","2","40","1","0","0","147","305","W. J. Baird Public School"
"014","CHATHAM--KENT--ESSEX","188","U","BLENHEIM","64","65","4","44","0","0","0","177","440","Blenheim United Church"
"014","CHATHAM--KENT--ESSEX","189","U","BLENHEIM","42","45","5","44","2","0","0","138","327","St. Mary's Hall"
"014","CHATHAM--KENT--ESSEX","190","U","BLENHEIM","41","68","6","39","0","0","0","154","390","St. Mary's Hall"
"014","CHATHAM--KENT--ESSEX","191","U","BLENHEIM","22","40","3","41","1","0","0","107","260","St. Mary's Hall"
"014","CHATHAM--KENT--ESSEX","192","U","BLENHEIM","22","90","2","33","0","0","0","147","312","St. Mary's Hall"
"014","CHATHAM--KENT--ESSEX","193","U","BLENHEIM","23","138","6","61","3","0","0","231","398","New Scotland United Church"
"014","CHATHAM--KENT--ESSEX","194","U","BLENHEIM","53","95","6","53","2","0","1","210","512","St. Mary's Hall"
"014","CHATHAM--KENT--ESSEX","195","U","BLENHEIM","20","43","3","53","0","0","0","119","307","St. Mary's Hall"
"014","CHATHAM--KENT--ESSEX","196","U","CEDAR SPRINGS","69","105","16","69","1","1","0","261","495","Cedar Springs United Church"
"014","CHATHAM--KENT--ESSEX","197","U","ERIEAU","52","105","8","40","1","0","0","206","335","Erieau Fire Hall"
"014","CHATHAM--KENT--ESSEX","198","U","RIDGETOWN","17","71","7","56","0","0","0","151","325","Rudy H. Brown Rural Development Centre"
"014","CHATHAM--KENT--ESSEX","199","U","RIDGETOWN","28","73","7","44","0","1","0","153","324","Rudy H. Brown Rural Development Centre"
"014","CHATHAM--KENT--ESSEX","200","U","RIDGETOWN","37","54","4","31","0","1","1","128","290","Rudy H. Brown Rural Development Centre"
"014","CHATHAM--KENT--ESSEX","201","U","RIDGETOWN","42","58","2","45","0","0","0","147","325","Rudy H. Brown Rural Development Centre"
"014","CHATHAM--KENT--ESSEX","202","U","RIDGETOWN","34","56","2","40","0","0","1","133","372","Rudy H. Brown Rural Development Centre"
"014","CHATHAM--KENT--ESSEX","203","U","RIDGETOWN","48","35","7","34","0","0","0","124","303","Ridgetown Rotary Youth Centre"
"014","CHATHAM--KENT--ESSEX","204","U","RIDGETOWN","30","61","3","41","0","0","0","135","357","Ridgetown Rotary Youth Centre"
"014","CHATHAM--KENT--ESSEX","205","U","RIDGETOWN","41","75","4","54","0","0","0","174","417","Ridgetown Rotary Youth Centre"
"014","CHATHAM--KENT--ESSEX","206","U","RIDGETOWN","32","35","1","31","0","0","0","99","300","Ridgetown Rotary Youth Centre"
"014","CHATHAM--KENT--ESSEX","207","U","RIDGETOWN","22","54","2","54","0","0","0","132","276","Rudy H. Brown Rural Development Centre"
"014","CHATHAM--KENT--ESSEX","208","U","MORPETH","35","105","4","44","0","0","0","188","359","Morpeth Community Centre"
"014","CHATHAM--KENT--ESSEX","209","U","MORPETH","31","45","9","25","1","0","0","111","243","Morpeth Community Centre"
"014","CHATHAM--KENT--ESSEX","210","U","THAMESVILLE","33","9","0","4","0","0","0","46","164","Delaware Nation Community Centre"
"014","CHATHAM--KENT--ESSEX","211","U","HIGHGATE","30","65","8","50","0","0","0","153","303","Highgate Community Hall"
"014","CHATHAM--KENT--ESSEX","212","U","HIGHGATE","57","51","7","39","0","0","0","154","298","Highgate Community Hall"
"014","CHATHAM--KENT--ESSEX","213","U","HIGHGATE","21","44","4","43","0","0","0","112","229","Highgate Community Hall"
"014","CHATHAM--KENT--ESSEX","214","U","HIGHGATE","35","63","7","53","0","0","0","158","290","Highgate Community Hall"
"014","CHATHAM--KENT--ESSEX","400","U","LEAMINGTON","25","34","2","18","0","0","0","79","136","Lakeview Towers"
"014","CHATHAM--KENT--ESSEX","401","U","CHATHAM","34","24","2","22","0","2","0","84","134","Linden Towers"
"014","CHATHAM--KENT--ESSEX","402","U","CHATHAM","21","18","6","14","0","0","0","59","107","McNaughton Manor"
