"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BELLOWS","BRADLEY","CLARKE","LOWELL","MOORADIAN","RADICK","UNRAU","WAZIRUDDIN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"076","ST. CATHARINES","035","U","ST CATHARINES","59","70","1","64","7","0","0","0","1","0","0","202","412","Governor Simcoe Secondary School"
"076","ST. CATHARINES","036","U","ST CATHARINES","95","127","0","38","5","0","0","0","0","0","0","265","517","Governor Simcoe Secondary School"
"076","ST. CATHARINES","037","U","ST CATHARINES","67","66","0","39","3","0","0","2","0","0","0","177","471","Governor Simcoe Secondary School"
"076","ST. CATHARINES","038","U","ST CATHARINES","98","123","0","42","11","0","1","0","1","0","0","276","523","Governor Simcoe Secondary School"
"076","ST. CATHARINES","039","U","ST CATHARINES","87","115","0","47","7","1","0","0","0","0","1","258","504","Grace Mennonite Church"
"076","ST. CATHARINES","040","U","ST CATHARINES","114","104","3","33","14","0","0","0","0","0","0","268","536","Grace Mennonite Church"
"076","ST. CATHARINES","041","U","ST CATHARINES","66","108","0","22","4","1","0","0","0","0","0","201","498","Grace Mennonite Church"
"076","ST. CATHARINES","042","U","ST CATHARINES","71","92","1","42","3","3","0","0","1","0","0","213","463","Grace Mennonite Church"
"076","ST. CATHARINES","043","U","ST CATHARINES","44","29","0","28","4","0","0","0","0","0","0","105","434","Grace Mennonite Church"
"076","ST. CATHARINES","044","U","ST CATHARINES","97","86","4","43","3","0","0","1","0","0","0","234","450","Grace Mennonite Church"
"076","ST. CATHARINES","045","U","ST CATHARINES","76","85","0","46","3","0","0","1","0","0","0","211","446","Grace Mennonite Church"
"076","ST. CATHARINES","046","U","ST CATHARINES","94","123","0","41","5","0","0","0","0","0","0","263","538","Scottlea Presbyterian Church"
"076","ST. CATHARINES","047","U","ST CATHARINES","111","101","1","40","6","0","0","0","0","0","0","259","476","Scottlea Presbyterian Church"
"076","ST. CATHARINES","048","U","ST CATHARINES","90","124","2","41","6","0","2","0","1","0","0","266","536","Scottlea Presbyterian Church"
"076","ST. CATHARINES","049","U","ST CATHARINES","69","77","2","30","7","0","0","0","4","0","0","189","462","First Grantham United Church"
"076","ST. CATHARINES","050","U","ST CATHARINES","64","98","0","33","6","0","0","0","1","0","0","202","462","First Grantham United Church"
"076","ST. CATHARINES","051","U","ST CATHARINES","59","67","1","27","0","0","0","1","1","0","0","156","380","First Grantham United Church"
"076","ST. CATHARINES","052","U","ST CATHARINES","89","102","1","39","6","0","0","0","2","0","0","239","473","First Grantham United Church"
"076","ST. CATHARINES","053","U","ST CATHARINES","36","36","0","22","2","0","0","0","0","0","0","96","213","First Grantham United Church"
"076","ST. CATHARINES","054","U","ST CATHARINES","86","84","1","23","4","0","0","0","1","0","0","199","393","First Grantham United Church"
"076","ST. CATHARINES","055","U","ST CATHARINES","94","75","1","40","7","0","0","0","1","0","0","218","487","First Grantham United Church"
"076","ST. CATHARINES","056","U","ST CATHARINES","95","72","2","44","4","1","0","0","0","0","0","218","449","First Grantham United Church"
"076","ST. CATHARINES","057","U","ST CATHARINES","90","91","1","53","3","0","0","0","0","0","0","238","486","Grantham Optimist Youth Centre"
"076","ST. CATHARINES","058","U","ST CATHARINES","90","73","0","51","6","0","1","1","1","0","0","223","423","Grantham Optimist Youth Centre"
"076","ST. CATHARINES","059","U","ST CATHARINES","84","93","0","35","0","0","0","0","2","0","0","214","431","Grantham Optimist Youth Centre"
"076","ST. CATHARINES","060","U","ST CATHARINES","81","94","2","47","4","1","1","0","1","0","0","231","529","Grantham Optimist Youth Centre"
"076","ST. CATHARINES","061","U","ST CATHARINES","82","81","3","51","5","0","0","0","0","0","0","222","552","Grantham Optimist Youth Centre"
"076","ST. CATHARINES","062","U","ST CATHARINES","41","61","0","20","5","0","0","0","0","1","0","128","365","Meadowvale Elementary School"
"076","ST. CATHARINES","063","U","ST CATHARINES","97","109","0","40","10","0","0","1","0","0","0","257","489","Meadowvale Elementary School"
"076","ST. CATHARINES","064","U","ST CATHARINES","111","83","1","57","3","0","0","0","0","0","0","255","498","Meadowvale Elementary School"
"076","ST. CATHARINES","065","U","ST CATHARINES","107","76","0","45","2","0","1","0","0","0","0","231","518","Meadowvale Elementary School"
"076","ST. CATHARINES","066","U","ST CATHARINES","54","51","2","29","5","1","0","0","0","1","0","143","327","Meadowvale Elementary School"
"076","ST. CATHARINES","067","U","ST CATHARINES","67","98","3","46","2","3","0","1","0","1","0","221","457","Scottview Gardens"
"076","ST. CATHARINES","068","U","ST CATHARINES","58","61","1","54","8","1","0","0","0","0","0","183","379","The Parkland"
"076","ST. CATHARINES","069","U","ST CATHARINES","61","59","2","53","2","1","0","0","0","1","0","179","345","Yorkshire Apartments"
"076","ST. CATHARINES","070","U","ST CATHARINES","73","77","2","49","1","1","1","0","0","0","1","205","493","St. Alfred's Church Hall"
"076","ST. CATHARINES","071","U","ST CATHARINES","68","81","3","52","9","2","0","0","1","0","1","217","496","St. Alfred's Church Hall"
"076","ST. CATHARINES","072","U","ST CATHARINES","50","74","0","44","7","0","1","0","3","0","0","179","497","St. Alfred's Church Hall"
"076","ST. CATHARINES","073","U","ST CATHARINES","82","68","1","47","6","0","0","0","1","1","1","207","488","Lincoln Centennial Elementary School"
"076","ST. CATHARINES","074","U","ST CATHARINES","65","72","3","52","9","0","0","1","1","2","0","205","582","Lincoln Centennial Elementary School"
"076","ST. CATHARINES","075","U","ST CATHARINES","28","70","3","38","5","1","1","1","2","0","0","149","425","St. Alfred's Church Hall"
"076","ST. CATHARINES","076","U","ST CATHARINES","72","104","2","38","4","2","1","0","0","0","0","223","462","St. Alfred's Church Hall"
"076","ST. CATHARINES","077","U","ST CATHARINES","72","114","0","20","6","1","1","0","2","0","0","216","444","St. Alfred's Church Hall"
"076","ST. CATHARINES","078","U","ST CATHARINES","67","119","0","49","6","0","0","0","1","0","0","242","492","St. Alfred's Church Hall"
"076","ST. CATHARINES","079","U","ST CATHARINES","106","117","2","40","9","0","0","1","2","1","0","278","545","Scottlea Presbyterian Church"
"076","ST. CATHARINES","080","U","ST CATHARINES","120","153","3","61","9","1","0","0","0","0","0","347","735","Scottlea Presbyterian Church"
"076","ST. CATHARINES","081","U","ST CATHARINES",".......................COMBINED WITH POLL 080.......................","","","","","","","","","","","","","Scottlea Presbyterian Church"
"076","ST. CATHARINES","082","U","ST CATHARINES","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"076","ST. CATHARINES","083","U","ST CATHARINES","94","86","5","54","6","0","0","0","1","0","0","246","500","Scottlea Presbyterian Church"
"076","ST. CATHARINES","084","U","ST CATHARINES","80","51","0","44","2","0","1","2","1","0","0","181","393","E. I. McCulley Elementary School"
"076","ST. CATHARINES","085","U","ST CATHARINES","54","51","0","46","3","0","0","0","0","0","1","155","525","E. I. McCulley Elementary School"
"076","ST. CATHARINES","086","U","ST CATHARINES","45","50","1","59","1","1","0","0","0","0","0","157","395","E. I. McCulley Elementary School"
"076","ST. CATHARINES","087","U","ST CATHARINES","89","49","1","55","6","0","0","0","2","1","0","203","512","E. I. McCulley Elementary School"
"076","ST. CATHARINES","088","U","ST CATHARINES","50","61","1","44","2","0","0","0","2","0","0","160","499","E. I. McCulley Elementary School"
"076","ST. CATHARINES","089","U","ST CATHARINES","35","41","1","50","1","0","0","1","0","0","0","129","458","Roehampton Place"
"076","ST. CATHARINES","090","U","ST CATHARINES","66","66","1","65","1","2","0","0","3","0","1","205","519","Roehampton Place"
"076","ST. CATHARINES","091","U","ST CATHARINES","51","94","1","52","2","0","0","1","0","0","0","201","479","Centre Immaculée Conception"
"076","ST. CATHARINES","092","U","ST CATHARINES","71","82","0","43","4","0","0","1","0","0","0","201","535","Centre Immaculée Conception"
"076","ST. CATHARINES","093","U","ST CATHARINES","54","69","0","37","3","0","1","0","0","0","0","164","448","Centre Immaculée Conception"
"076","ST. CATHARINES","094","U","ST CATHARINES","55","57","2","39","6","1","0","0","2","0","0","162","459","Prince of Wales Elementary School"
"076","ST. CATHARINES","095","U","ST CATHARINES","45","48","0","97","10","0","0","1","0","0","0","201","507","Prince of Wales Elementary School"
"076","ST. CATHARINES","096","U","ST CATHARINES","61","53","0","49","9","0","1","0","1","0","0","174","520","Prince of Wales Elementary School"
"076","ST. CATHARINES","097","U","ST CATHARINES","47","39","0","49","6","1","1","0","2","0","0","145","450","Centre Immaculée Conception"
"076","ST. CATHARINES","098","U","ST CATHARINES","45","38","1","45","6","0","0","0","0","0","1","136","371","Centre Immaculée Conception"
"076","ST. CATHARINES","099","U","ST CATHARINES","49","40","1","47","10","0","1","0","0","0","1","149","274","St. Denis Catholic Elementary School"
"076","ST. CATHARINES","100","U","ST CATHARINES","71","74","0","65","4","0","0","0","0","1","0","215","509","St. Denis Catholic Elementary School"
"076","ST. CATHARINES","101","U","ST CATHARINES","43","56","2","62","3","1","0","0","0","2","0","169","491","St. Denis Catholic Elementary School"
"076","ST. CATHARINES","102","U","ST CATHARINES","46","68","0","54","4","0","0","0","0","0","0","172","490","St. Denis Catholic Elementary School"
"076","ST. CATHARINES","103","U","ST CATHARINES","41","52","2","55","2","0","0","0","0","0","0","152","440","St. Denis Catholic Elementary School"
"076","ST. CATHARINES","104","U","ST CATHARINES","41","37","0","37","2","1","0","0","0","0","0","118","517","St. Denis Catholic Elementary School"
"076","ST. CATHARINES","105","U","ST CATHARINES","113","107","0","23","3","0","0","1","2","0","0","249","567","First Reformed Church"
"076","ST. CATHARINES","106","U","ST CATHARINES","123","76","3","17","4","1","0","0","0","0","0","224","427","Jubilee Fellowship Christian Reformed Church"
"076","ST. CATHARINES","107","U","ST CATHARINES","87","106","0","17","3","0","0","0","0","0","0","213","442","Jubilee Fellowship Christian Reformed Church"
"076","ST. CATHARINES","108","U","ST CATHARINES","104","88","1","22","3","0","1","0","0","0","0","219","506","First Reformed Church"
"076","ST. CATHARINES","109","U","ST CATHARINES","84","126","1","27","3","0","1","0","0","0","0","242","482","First Reformed Church"
"076","ST. CATHARINES","110","U","ST CATHARINES","66","92","0","40","3","0","1","3","0","0","0","205","525","Jubilee Fellowship Christian Reformed Church"
"076","ST. CATHARINES","111","U","ST CATHARINES","153","90","3","41","1","0","0","0","0","0","0","288","509","First Reformed Church"
"076","ST. CATHARINES","112","U","ST CATHARINES","97","98","0","50","9","0","0","0","3","0","0","257","555","Armenian Community Centre"
"076","ST. CATHARINES","113","U","ST CATHARINES","106","119","0","22","6","0","1","0","0","0","0","254","498","Armenian Community Centre"
"076","ST. CATHARINES","114","U","ST CATHARINES","119","99","0","23","4","0","0","0","0","1","0","246","568","Armenian Community Centre"
"076","ST. CATHARINES","115","U","ST CATHARINES","38","97","1","27","7","0","0","0","0","0","1","171","464","St. Catharines Centennial Library"
"076","ST. CATHARINES","116","U","ST CATHARINES","47","58","2","84","11","2","0","0","4","3","0","211","519","Russell Avenue Community Centre"
"076","ST. CATHARINES","117","U","ST CATHARINES","49","80","1","73","15","0","0","3","1","0","0","222","540","Russell Avenue Community Centre"
"076","ST. CATHARINES","118","U","ST CATHARINES","60","75","1","61","11","0","0","1","0","0","0","209","536","Russell Avenue Community Centre"
"076","ST. CATHARINES","119","U","ST CATHARINES","40","86","1","69","14","0","0","2","0","0","0","212","568","St. George's Anglican Church"
"076","ST. CATHARINES","120","U","ST CATHARINES","63","79","3","46","10","1","3","0","0","0","0","205","465","Russell Avenue Community Centre"
"076","ST. CATHARINES","121","U","ST CATHARINES","53","76","0","53","12","0","0","0","1","0","0","195","459","Russell Avenue Community Centre"
"076","ST. CATHARINES","122","U","ST CATHARINES","60","53","2","62","10","1","3","0","0","0","3","194","465","Russell Avenue Community Centre"
"076","ST. CATHARINES","123","U","ST CATHARINES","58","79","0","52","9","0","0","0","0","0","0","198","457","Russell Avenue Community Centre"
"076","ST. CATHARINES","124","U","ST CATHARINES","46","79","1","50","8","0","0","0","0","0","0","184","475","Russell Avenue Community Centre"
"076","ST. CATHARINES","125","U","ST CATHARINES","51","112","1","42","11","0","1","2","0","0","0","220","527","Dunlop Drive Seniors Citizens Centre"
"076","ST. CATHARINES","126","U","ST CATHARINES","54","79","1","70","10","0","0","0","2","0","0","216","544","Dunlop Drive Seniors Citizens Centre"
"076","ST. CATHARINES","127","U","ST CATHARINES","53","53","0","42","1","0","1","0","1","1","0","152","438","Dunlop Drive Seniors Citizens Centre"
"076","ST. CATHARINES","128","U","ST CATHARINES","49","41","1","58","2","0","0","0","0","1","0","152","479","C.A.W. Union Hall"
"076","ST. CATHARINES","129","U","ST CATHARINES","32","33","1","53","3","0","2","0","1","0","0","125","523","Jack Gatecliff Arena"
"076","ST. CATHARINES","130","U","ST CATHARINES","40","24","1","44","5","2","0","2","1","0","0","119","493","Jack Gatecliff Arena"
"076","ST. CATHARINES","131","U","ST CATHARINES","36","39","0","46","6","0","0","0","0","0","0","127","372","Jack Gatecliff Arena"
"076","ST. CATHARINES","132","U","ST CATHARINES","25","49","2","36","1","0","0","0","0","0","0","113","285","Jack Gatecliff Arena"
"076","ST. CATHARINES","133","U","ST CATHARINES","40","75","1","56","11","0","0","0","0","0","0","183","589","St. George's Anglican Church"
"076","ST. CATHARINES","134","U","ST CATHARINES","36","80","0","54","9","0","1","1","0","0","0","181","539","St. George's Anglican Church"
"076","ST. CATHARINES","135","U","ST CATHARINES","58","75","1","41","12","0","1","0","0","0","1","189","533","St. Catharines Centennial Library"
"076","ST. CATHARINES","136","U","ST CATHARINES","61","72","0","56","7","0","0","0","1","0","0","197","512","Seymour-Hannah Sports and  Entertainment Complex"
"076","ST. CATHARINES","137","U","ST CATHARINES","99","68","5","39","6","0","0","0","0","0","0","217","559","Seymour-Hannah Sports and  Entertainment Complex"
"076","ST. CATHARINES","138","U","ST CATHARINES","71","83","0","46","13","0","0","1","0","0","0","214","511","Seymour-Hannah Sports and  Entertainment Complex"
"076","ST. CATHARINES","139","U","ST CATHARINES","56","82","0","37","10","0","1","3","0","0","0","189","577","St. Catharines Centennial Library"
"076","ST. CATHARINES","140","U","ST CATHARINES","53","115","1","6","5","0","0","0","0","0","1","181","341","Denis Morris Catholic High School"
"076","ST. CATHARINES","141","U","ST CATHARINES","68","115","1","34","5","0","0","0","0","0","0","223","396","Denis Morris Catholic High School"
"076","ST. CATHARINES","142","U","ST CATHARINES","50","132","0","27","17","0","0","0","0","0","0","226","425","Denis Morris Catholic High School"
"076","ST. CATHARINES","143","U","ST CATHARINES","34","42","0","43","6","0","0","0","0","0","0","125","399","St. Thomas Aquinas Church"
"076","ST. CATHARINES","144","U","ST CATHARINES","78","85","3","71","6","0","0","1","1","0","0","245","565","St. Thomas Aquinas Church"
"076","ST. CATHARINES","145","U","ST CATHARINES","46","70","0","52","4","0","0","0","0","0","0","172","490","C.A.W. Union Hall"
"076","ST. CATHARINES","146A","U","ST CATHARINES","50","75","0","33","6","1","0","0","2","1","0","168","359","C.A.W. Union Hall"
"076","ST. CATHARINES","146B","U","ST CATHARINES","43","69","1","43","3","0","0","0","1","0","0","160","352","C.A.W. Union Hall"
"076","ST. CATHARINES","147","U","ST CATHARINES","55","67","0","36","3","0","1","2","0","0","0","164","410","C.A.W. Union Hall"
"076","ST. CATHARINES","148","U","ST CATHARINES","72","82","1","38","2","0","1","0","0","1","0","197","454","C.A.W. Union Hall"
"076","ST. CATHARINES","149","U","ST CATHARINES","50","60","0","54","0","2","0","0","0","0","1","167","383","St. Thomas Aquinas Church"
"076","ST. CATHARINES","150","U","ST CATHARINES","53","69","0","58","2","0","0","0","0","0","0","182","478","St. Thomas Aquinas Church"
"076","ST. CATHARINES","151","U","ST CATHARINES","74","60","1","57","6","0","0","0","0","0","0","198","516","St. Christopher Catholic Elementary School"
"076","ST. CATHARINES","152","U","ST CATHARINES","81","73","2","84","5","0","0","0","1","0","0","246","553","St. Christopher Catholic Elementary School"
"076","ST. CATHARINES","153","U","ST CATHARINES","82","49","2","66","2","0","1","0","0","0","0","202","546","St. Christopher Catholic Elementary School"
"076","ST. CATHARINES","154","U","ST CATHARINES","47","75","1","56","6","0","0","0","0","0","0","185","487","St. Christopher Catholic Elementary School"
"076","ST. CATHARINES","155","U","ST CATHARINES","70","85","0","67","6","0","0","1","0","0","0","229","580","Applewood Elementary School"
"076","ST. CATHARINES","156","U","ST CATHARINES","98","86","2","67","5","1","0","0","1","0","0","260","590","Applewood Elementary School"
"076","ST. CATHARINES","157","U","ST CATHARINES","68","36","3","39","5","2","1","0","0","0","0","154","430","St. Theresa Catholic Elementary School"
"076","ST. CATHARINES","158","U","ST CATHARINES","98","93","3","60","2","0","2","0","0","0","0","258","568","St. Theresa Catholic Elementary School"
"076","ST. CATHARINES","159","U","ST CATHARINES","70","52","0","81","5","0","1","1","0","0","0","210","523","St. Theresa Catholic Elementary School"
"076","ST. CATHARINES","160","U","ST CATHARINES","64","52","0","66","2","0","1","2","0","0","0","187","465","St. Theresa Catholic Elementary School"
"076","ST. CATHARINES","161","U","ST CATHARINES","77","50","1","78","9","0","1","0","0","0","0","216","541","St. Theresa Catholic Elementary School"
"076","ST. CATHARINES","162","U","ST CATHARINES","30","47","1","40","1","0","0","1","1","0","0","121","408","St. Theresa Catholic Elementary School"
"076","ST. CATHARINES","163","U","ST CATHARINES","41","91","0","21","1","2","1","0","1","0","0","158","335","Denis Morris Catholic High School"
"076","ST. CATHARINES","164","U","ST CATHARINES","64","114","1","40","2","0","0","1","0","0","0","222","419","Denis Morris Catholic High School"
"076","ST. CATHARINES","165","U","ST CATHARINES","77","68","1","26","2","0","0","0","0","0","0","174","355","Denis Morris Catholic High School"
"076","ST. CATHARINES","166","U","ST CATHARINES","100","100","1","46","4","0","0","0","1","0","0","252","420","Centennial Towers"
"076","ST. CATHARINES","167","U","ST CATHARINES","61","89","1","47","3","1","0","0","1","1","0","204","410","Crown Towers"
"076","ST. CATHARINES","168","U","ST CATHARINES","92","113","2","30","3","0","0","0","0","0","0","240","527","Denis Morris Catholic High School"
"076","ST. CATHARINES","400","U","ST CATHARINES","24","29","0","41","3","0","0","0","1","0","0","98","156","Briarwood Apartments"
"076","ST. CATHARINES","401","U","ST CATHARINES","41","41","0","38","2","0","0","0","0","0","0","122","207","Brockton Apartments"
"076","ST. CATHARINES","402","U","ST CATHARINES","45","51","2","18","2","1","0","0","1","0","0","120","160","Meadowvale Condominiums"
"076","ST. CATHARINES","403","U","ST CATHARINES","69","67","0","27","3","1","0","0","0","0","0","167","210","Millrun Condominiums"
"076","ST. CATHARINES","404","U","ST CATHARINES","4","16","0","14","0","0","0","0","0","0","0","34","72","Ridley Terrace Apartments"
"076","ST. CATHARINES","405","U","ST CATHARINES","81","76","1","59","3","0","0","0","0","1","0","221","571","St. Lawrence Village"
"076","ST. CATHARINES","700","U","ST CATHARINES","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"076","ST. CATHARINES","701","U","ST CATHARINES","98","119","1","25","2","1","1","1","0","0","0","248","378","Niagara Ina Grafton Gage"
"076","ST. CATHARINES","702","U","ST CATHARINES","31","50","3","17","2","0","0","0","1","1","0","105","199","Heidehof Home for the Aged"
"076","ST. CATHARINES","703","U","ST CATHARINES","36","48","1","16","2","0","0","1","0","0","0","104","119","Anchor Pointe"
"076","ST. CATHARINES","704","U","ST CATHARINES","15","18","1","6","1","1","0","0","1","0","0","43","231","Linhaven"
"076","ST. CATHARINES","705","U","ST CATHARINES","11","21","1","9","0","0","0","0","1","0","0","43","158","Henley House"
"076","ST. CATHARINES","706","U","ST CATHARINES",".......................COMBINED WITH POLL 707.......................","","","","","","","","","","","","","Scott Manor"
"076","ST. CATHARINES","707","U","ST CATHARINES","52","65","1","29","3","1","2","1","3","3","0","160","288","St. Catharines Place"
"076","ST. CATHARINES","708","U","ST CATHARINES","7","20","1","10","0","1","0","1","0","0","0","40","196","Garden City Manor"
"076","ST. CATHARINES","709","U","ST CATHARINES","109","33","0","5","0","0","1","0","0","1","0","149","233","Tabor Manor"
"076","ST. CATHARINES","710","U","ST CATHARINES","42","49","2","39","0","0","0","1","3","0","0","136","205","Niagara Retirement Manor"
"076","ST. CATHARINES","711","U","ST CATHARINES","15","12","0","11","0","0","0","0","0","0","1","39","60","Scott Street Senior Housing"
"076","ST. CATHARINES","712","U","ST CATHARINES","29","40","2","48","2","2","0","1","0","0","0","124","216","Carlton Seniors Complex"
"076","ST. CATHARINES","713","U","ST CATHARINES","9","34","0","30","2","0","0","0","2","0","0","77","97","La Residence"
"076","ST. CATHARINES","714","U","ST CATHARINES","15","16","1","7","0","0","0","0","2","1","0","42","100","Niagara Gardens Retirement Manor"
"076","ST. CATHARINES","715","U","ST CATHARINES","8","21","0","3","0","0","1","0","0","0","0","33","111","Tufford Nursing Home and Tufford Manor"
"076","ST. CATHARINES","716","U","ST CATHARINES","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"076","ST. CATHARINES","717","U","ST CATHARINES","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"076","ST. CATHARINES","718","U","ST CATHARINES","17","34","3","35","3","1","0","0","0","0","0","93","131","14 Centre Street Seniors Apartments"
"076","ST. CATHARINES","719","U","ST CATHARINES","..........................NO POLL HELD..........................","","","","","","","","","","","","",""
"076","ST. CATHARINES","720","U","ST CATHARINES",".......................COMBINED WITH POLL 721.......................","","","","","","","","","","","","","Mount Carmel Nursing Home"
"076","ST. CATHARINES","721","U","ST CATHARINES","39","56","3","17","1","0","0","0","0","1","0","117","178","Royal Henley Retirement Residence"
"076","ST. CATHARINES","ADV001","U","ST CATHARINES","701","806","5","270","42","0","1","3","1","2","0","1831","0","Returning Office / Bureau du directeur du scrutin"
"076","ST. CATHARINES","ADV002","U","ST CATHARINES","152","153","2","87","7","1","0","1","4","0","0","407","0","Special Ballot Voting / Vote par bulletin spécial"
"076","ST. CATHARINES","ADV003","U","ST CATHARINES","497","484","0","110","23","1","1","1","0","1","0","1118","0","Armenian Community Centre"
"076","ST. CATHARINES","ADV004","U","ST CATHARINES","90","153","4","64","10","1","0","1","0","1","1","325","0","St. Catharines Centennial Library"
"076","ST. CATHARINES","ADV005","U","ST CATHARINES","230","254","0","143","18","0","2","2","3","1","0","653","0","C.A.W. Union Hall"
"076","ST. CATHARINES","ADV006","U","ST CATHARINES","365","335","0","105","13","0","2","2","3","3","1","829","0","Club Heidelberg"
"076","ST. CATHARINES","ADV007","U","ST CATHARINES","224","220","3","84","14","1","1","0","3","0","0","550","0","Grantham Optimist Youth Centre"
"TOTALS:","","","","","15461","17166","191","8624","1066","62","57","68","126","42","20","42883","84078",""
