"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CLARKE","JETHI","MERCER","RECKER","RICHARDSON","STERLING","TABUNS","VERA","WHALLEY","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"095","TORONTO--DANFORTH","032","U","TORONTO","0","17","1","0","1","52","70","0","5","1","2","0","149","327","Estonian House"
"095","TORONTO--DANFORTH","033","U","TORONTO","1","17","0","1","1","69","111","0","5","2","0","0","207","437","Estonian House"
"095","TORONTO--DANFORTH","034","U","TORONTO","2","11","1","5","0","59","58","0","2","1","0","0","139","318","Bethany Baptist Church"
"095","TORONTO--DANFORTH","035","U","TORONTO","2","34","1","4","0","56","88","1","2","1","2","0","191","381","Bethany Baptist Church"
"095","TORONTO--DANFORTH","036","U","TORONTO","0","21","1","3","0","54","93","0","11","1","0","0","184","415","Blair Court"
"095","TORONTO--DANFORTH","037","U","TORONTO","2","25","0","2","0","57","89","0","4","0","0","0","179","388","Holy Cross Catholic School"
"095","TORONTO--DANFORTH","038","U","TORONTO","1","31","1","1","0","68","85","0","10","1","0","0","198","428","Holy Cross Catholic School"
"095","TORONTO--DANFORTH","039","U","TORONTO","0","19","2","2","0","34","65","0","4","0","0","0","126","332","East York Civic Centre"
"095","TORONTO--DANFORTH","040","U","TORONTO","0","25","0","3","1","65","68","1","8","1","0","0","172","381","East York Civic Centre"
"095","TORONTO--DANFORTH","041","U","TORONTO","0","17","1","4","0","65","101","1","2","0","0","0","191","399","East York Civic Centre"
"095","TORONTO--DANFORTH","042","U","TORONTO","2","24","2","0","1","61","102","0","8","1","0","0","201","392","East York Civic Centre"
"095","TORONTO--DANFORTH","043","U","TORONTO","1","23","1","0","1","48","101","0","8","2","0","0","185","402","Holy Cross Catholic School"
"095","TORONTO--DANFORTH","044","U","TORONTO","1","19","0","0","1","36","84","1","7","1","0","0","150","333","Holy Cross Catholic School"
"095","TORONTO--DANFORTH","045","U","TORONTO","0","19","1","4","1","51","72","1","3","0","1","0","153","359","Bethany Baptist Church"
"095","TORONTO--DANFORTH","046","U","TORONTO","1","21","0","0","0","76","73","0","2","0","0","0","173","440","Bethany Baptist Church"
"095","TORONTO--DANFORTH","047","U","TORONTO","1","23","0","1","0","73","85","0","9","0","0","0","192","379","St. Irene Greek Orthodox Church"
"095","TORONTO--DANFORTH","048","U","TORONTO","0","19","0","0","0","67","91","0","9","0","0","0","186","381","Estonian House"
"095","TORONTO--DANFORTH","049","U","TORONTO","0","35","0","5","0","153","216","0","19","0","0","1","429","856","Estonian House"
"095","TORONTO--DANFORTH","050","U","TORONTO","0","8","1","1","0","17","62","0","1","0","0","0","90","142","Broadview Manor"
"095","TORONTO--DANFORTH","051","U","TORONTO","0","16","1","2","0","80","124","0","7","0","0","0","230","523","Broadview Manor"
"095","TORONTO--DANFORTH","052","U","TORONTO","0","23","0","2","0","72","128","1","8","0","0","0","234","454","Jackman Avenue Junior Public School"
"095","TORONTO--DANFORTH","053","U","TORONTO","1","19","0","0","0","59","85","0","6","0","0","0","170","405","Jackman Avenue Junior Public School"
"095","TORONTO--DANFORTH","054","U","TORONTO","1","23","0","2","0","101","98","1","9","0","0","0","235","459","Jackman Avenue Junior Public School"
"095","TORONTO--DANFORTH","055","U","TORONTO","0","11","0","0","0","80","76","0","6","0","0","0","173","321","Jackman Avenue Junior Public School"
"095","TORONTO--DANFORTH","056","U","TORONTO","1","6","1","0","1","60","74","0","10","1","0","0","154","320","Jackman Avenue Junior Public School"
"095","TORONTO--DANFORTH","057","U","TORONTO","0","19","0","0","0","78","111","0","14","1","0","0","223","502","Jackman Avenue Junior Public School"
"095","TORONTO--DANFORTH","058","U","TORONTO","1","22","0","0","0","62","93","0","11","0","0","0","189","451","St. Irene Greek Orthodox Church"
"095","TORONTO--DANFORTH","059","U","TORONTO","0","8","0","1","0","51","48","0","7","1","0","0","116","316","St. Irene Greek Orthodox Church"
"095","TORONTO--DANFORTH","060","U","TORONTO","0","14","0","1","0","52","76","0","7","0","2","0","152","353","Riverdale Presbyterian Church"
"095","TORONTO--DANFORTH","061","U","TORONTO","2","2","1","0","1","38","67","0","3","0","0","0","114","288","Riverdale Presbyterian Church"
"095","TORONTO--DANFORTH","062","U","TORONTO","0","21","1","1","0","52","71","0","10","0","1","0","157","336","Riverdale Presbyterian Church"
"095","TORONTO--DANFORTH","063","U","TORONTO","1","15","0","0","0","64","68","0","8","0","0","0","156","352","Wilkinson Public School"
"095","TORONTO--DANFORTH","064","U","TORONTO","1","13","0","3","0","60","112","1","5","1","0","0","196","392","Wilkinson Public School"
"095","TORONTO--DANFORTH","065","U","TORONTO","2","24","0","1","0","43","80","0","6","0","0","0","156","335","Wilkinson Public School"
"095","TORONTO--DANFORTH","066","U","TORONTO","0","13","0","3","0","66","106","1","4","0","0","0","193","423","Wilkinson Public School"
"095","TORONTO--DANFORTH","067","U","TORONTO","1","14","0","1","0","56","103","0","3","0","0","1","179","356","Wilkinson Public School"
"095","TORONTO--DANFORTH","068","U","TORONTO","1","17","1","3","2","54","112","1","8","1","1","0","201","419","Wilkinson Public School"
"095","TORONTO--DANFORTH","069","U","TORONTO","0","10","2","4","0","50","83","0","6","4","0","0","159","335","Wilkinson Public School"
"095","TORONTO--DANFORTH","070","U","TORONTO","0","6","1","1","0","55","120","3","8","0","0","1","195","384","École élémentaire la Mosaique"
"095","TORONTO--DANFORTH","071","U","TORONTO","0","15","1","1","0","54","99","0","7","2","0","1","180","355","École élémentaire la Mosaique"
"095","TORONTO--DANFORTH","072","U","TORONTO","0","19","0","3","1","54","94","1","8","2","0","0","182","358","École élémentaire la Mosaique"
"095","TORONTO--DANFORTH","073","U","TORONTO","0","20","0","2","0","52","90","1","7","1","1","0","174","367","École élémentaire la Mosaique"
"095","TORONTO--DANFORTH","074","U","TORONTO","0","14","0","1","0","34","55","1","4","0","0","0","109","285","École élémentaire la Mosaique"
"095","TORONTO--DANFORTH","075","U","TORONTO","0","22","0","1","1","86","103","2","18","0","0","1","234","534","École élémentaire la Mosaique"
"095","TORONTO--DANFORTH","076","U","TORONTO","3","11","0","2","0","49","117","2","6","0","0","0","190","518","École élémentaire la Mosaique"
"095","TORONTO--DANFORTH","077","U","TORONTO","1","8","1","2","0","17","41","0","1","2","0","0","73","170","Wilkinson Public School"
"095","TORONTO--DANFORTH","078","U","TORONTO","0","21","0","1","1","82","154","2","12","0","0","0","273","548","Withrow Avenue Junior Public School"
"095","TORONTO--DANFORTH","079","U","TORONTO","1","8","0","0","0","55","92","2","8","2","0","0","168","446","Frankland Community School Junior"
"095","TORONTO--DANFORTH","080","U","TORONTO","0","10","0","0","0","54","102","1","4","0","0","0","171","400","Frankland Community School Junior"
"095","TORONTO--DANFORTH","081","U","TORONTO","0","7","0","1","0","79","110","0","10","0","0","0","207","401","Frankland Community School Junior"
"095","TORONTO--DANFORTH","082","U","TORONTO","0","26","0","1","0","90","107","0","6","1","0","0","231","409","Frankland Community School Junior"
"095","TORONTO--DANFORTH","083","U","TORONTO","0","14","0","0","0","103","91","0","7","0","0","0","215","433","Withrow Avenue Junior Public School"
"095","TORONTO--DANFORTH","084","U","TORONTO","0","10","1","2","0","91","78","0","9","1","0","0","192","357","Withrow Avenue Junior Public School"
"095","TORONTO--DANFORTH","085","U","TORONTO","0","6","0","0","0","56","70","0","8","2","1","0","143","288","Frankland Community School Junior"
"095","TORONTO--DANFORTH","086","U","TORONTO","1","15","0","3","0","72","76","2","8","1","0","0","178","395","Frankland Community School Junior"
"095","TORONTO--DANFORTH","087","U","TORONTO","0","9","0","4","0","74","97","0","4","1","0","0","189","369","Riverdale Presbyterian Church"
"095","TORONTO--DANFORTH","088","U","TORONTO","1","17","0","1","1","81","88","0","11","1","0","0","201","394","Riverdale Presbyterian Church"
"095","TORONTO--DANFORTH","089","U","TORONTO","0","17","1","1","0","67","71","0","9","1","0","0","167","357","Riverdale Presbyterian Church"
"095","TORONTO--DANFORTH","090","U","TORONTO","0","18","0","1","0","54","69","1","11","0","0","0","154","369","Eastview Community Centre"
"095","TORONTO--DANFORTH","091","U","TORONTO","2","5","1","5","1","25","66","0","0","1","0","0","106","353","Eastview Community Centre"
"095","TORONTO--DANFORTH","092","U","TORONTO","1","9","0","2","0","28","75","0","3","2","0","0","120","311","Eastview Community Centre"
"095","TORONTO--DANFORTH","093","U","TORONTO","0","9","0","2","1","40","100","0","6","2","0","0","160","368","Eastview Community Centre"
"095","TORONTO--DANFORTH","094","U","TORONTO","0","9","0","3","0","32","103","1","13","0","0","0","161","372","Earl Grey Senior Public School"
"095","TORONTO--DANFORTH","095","U","TORONTO","1","13","1","2","1","62","81","0","2","0","0","0","163","407","Earl Grey Senior Public School"
"095","TORONTO--DANFORTH","096","U","TORONTO","0","7","0","2","1","25","74","1","13","2","0","1","126","318","Earl Grey Senior Public School"
"095","TORONTO--DANFORTH","097","U","TORONTO","1","5","0","1","0","50","97","0","7","0","0","0","161","378","Eastview Community Centre"
"095","TORONTO--DANFORTH","098","U","TORONTO","0","14","4","2","0","39","115","1","7","0","0","0","182","412","Eastview Community Centre"
"095","TORONTO--DANFORTH","099","U","TORONTO","0","11","0","3","0","48","110","1","4","0","0","1","178","366","Eastview Community Centre"
"095","TORONTO--DANFORTH","100","U","TORONTO","1","10","0","0","0","42","120","0","13","1","0","0","187","394","Eastview Community Centre"
"095","TORONTO--DANFORTH","101","U","TORONTO","0","10","0","2","0","45","96","0","7","0","0","0","160","381","Eastview Community Centre"
"095","TORONTO--DANFORTH","102","U","TORONTO","0","13","1","1","0","27","86","1","7","1","0","2","139","411","Eastview Community Centre"
"095","TORONTO--DANFORTH","103","U","TORONTO","1","18","1","6","0","57","116","0","9","0","1","0","209","463","City Home - Toronto Housing Corporation"
"095","TORONTO--DANFORTH","104","U","TORONTO","2","7","0","2","0","73","102","0","6","1","0","0","193","442","City Home - Toronto Housing Corporation"
"095","TORONTO--DANFORTH","105","U","TORONTO","2","14","0","2","0","48","104","0","10","0","1","2","183","396","St. Patrick Catholic Secondary School"
"095","TORONTO--DANFORTH","106","U","TORONTO","0","24","2","3","0","61","154","0","9","1","0","0","254","501","St. Patrick Catholic Secondary School"
"095","TORONTO--DANFORTH","107","U","TORONTO","2","38","0","4","0","34","82","0","4","2","0","0","166","291","Fred J. Beavis Apartments"
"095","TORONTO--DANFORTH","108","U","TORONTO","1","7","0","4","0","63","104","0","6","0","0","0","185","398","St. Patrick Catholic Secondary School"
"095","TORONTO--DANFORTH","109","U","TORONTO","2","17","0","3","1","40","98","1","6","0","0","0","168","389","St. Patrick Catholic Secondary School"
"095","TORONTO--DANFORTH","110","U","TORONTO","3","15","0","3","0","42","90","0","3","1","1","1","159","379","Glen Rhodes United Church"
"095","TORONTO--DANFORTH","111","U","TORONTO","1","19","2","3","0","40","120","0","3","0","0","0","188","472","Glen Rhodes United Church"
"095","TORONTO--DANFORTH","112","U","TORONTO","0","4","0","0","1","27","98","0","14","1","1","0","146","304","Roden Junior Public School"
"095","TORONTO--DANFORTH","113","U","TORONTO","0","28","0","2","0","39","92","0","8","1","0","0","170","382","Roden Junior Public School"
"095","TORONTO--DANFORTH","114","U","TORONTO","0","8","0","2","1","9","48","0","6","1","0","0","75","277","Roden Junior Public School"
"095","TORONTO--DANFORTH","115","U","TORONTO","0","15","1","2","2","38","121","0","14","1","1","0","195","559","Roden Junior Public School"
"095","TORONTO--DANFORTH","116","U","TORONTO","0","11","2","4","0","32","74","0","3","2","0","0","128","362","Roden Junior Public School"
"095","TORONTO--DANFORTH","117","U","TORONTO","0","8","0","1","0","39","79","0","2","0","0","0","129","339","Riverdale Collegiate Institute"
"095","TORONTO--DANFORTH","118","U","TORONTO","0","8","0","0","0","36","104","1","8","1","0","0","158","357","Riverdale Collegiate Institute"
"095","TORONTO--DANFORTH","119","U","TORONTO","1","10","1","2","1","47","108","1","1","0","0","0","172","383","Riverdale Collegiate Institute"
"095","TORONTO--DANFORTH","120","U","TORONTO","0","8","0","0","0","32","98","0","7","0","0","0","145","365","Riverdale Collegiate Institute"
"095","TORONTO--DANFORTH","121","U","TORONTO","1","15","1","2","0","32","84","1","1","2","2","0","141","374","Riverdale Collegiate Institute"
"095","TORONTO--DANFORTH","122","U","TORONTO","0","17","0","3","1","43","116","0","1","1","1","0","183","423","Frances Beavis Manor"
"095","TORONTO--DANFORTH","123","U","TORONTO","1","6","2","2","0","13","85","2","0","1","0","0","112","162","Frances Beavis Manor"
"095","TORONTO--DANFORTH","124","U","TORONTO","0","14","1","2","0","39","109","1","14","6","1","0","187","420","Frances Beavis Manor"
"095","TORONTO--DANFORTH","125","U","TORONTO","1","18","2","2","0","60","71","0","4","0","1","0","159","379","Frances Beavis Manor"
"095","TORONTO--DANFORTH","126","U","TORONTO","2","25","0","1","1","83","113","0","18","1","0","0","244","450","Withrow Avenue Junior Public School"
"095","TORONTO--DANFORTH","127","U","TORONTO","0","25","0","0","0","75","98","0","14","0","0","0","212","405","Withrow Avenue Junior Public School"
"095","TORONTO--DANFORTH","128","U","TORONTO","0","6","0","1","0","76","119","1","11","0","0","0","214","414","Withrow Avenue Junior Public School"
"095","TORONTO--DANFORTH","129","U","TORONTO","0","22","0","0","0","101","102","0","6","0","0","0","231","454","Metropolitan Community Church"
"095","TORONTO--DANFORTH","130","U","TORONTO","1","7","2","1","0","34","92","1","5","0","0","0","143","412","Metropolitan Community Church"
"095","TORONTO--DANFORTH","131","U","TORONTO","1","13","0","2","0","44","81","0","3","0","0","0","144","376","Metropolitan Community Church"
"095","TORONTO--DANFORTH","132","U","TORONTO","0","14","0","3","0","40","79","1","11","1","0","0","149","340","Queen Alexandra Senior Public School"
"095","TORONTO--DANFORTH","133","U","TORONTO","3","22","3","9","3","48","218","1","5","4","3","0","319","800","Queen Alexandra Senior Public School"
"095","TORONTO--DANFORTH","134","U","TORONTO","0","14","0","1","0","58","87","0","5","1","0","0","166","375","Metropolitan Community Church"
"095","TORONTO--DANFORTH","135","U","TORONTO","1","9","0","4","0","53","100","1","1","0","0","0","169","384","Metropolitan Community Church"
"095","TORONTO--DANFORTH","136","U","TORONTO","3","9","2","2","0","70","40","0","2","1","0","0","129","181","Ray McCleary Towers"
"095","TORONTO--DANFORTH","137","U","TORONTO","1","19","2","2","0","56","95","0","6","0","0","0","181","431","Metropolitan Community Church"
"095","TORONTO--DANFORTH","138","U","TORONTO","1","7","0","0","0","33","86","0","1","0","0","1","129","428","Jimmie Simpson Recreation Centre"
"095","TORONTO--DANFORTH","139","U","TORONTO","2","7","0","0","0","39","73","0","8","0","0","0","129","359","Jimmie Simpson Recreation Centre"
"095","TORONTO--DANFORTH","140","U","TORONTO","0","13","0","4","1","66","87","1","3","1","0","0","176","432","Riverdale Collegiate Institute"
"095","TORONTO--DANFORTH","141","U","TORONTO","4","8","2","2","0","21","76","0","5","3","0","0","121","328","Riverdale Collegiate Institute"
"095","TORONTO--DANFORTH","142","U","TORONTO","0","8","0","6","0","36","110","0","6","0","0","0","166","358","Leslieville Junior Public School"
"095","TORONTO--DANFORTH","143","U","TORONTO","1","7","7","2","1","36","91","0","5","0","0","1","151","340","Leslieville Junior Public School"
"095","TORONTO--DANFORTH","144","U","TORONTO","1","10","0","1","0","24","101","0","4","1","0","0","142","313","Leslieville Junior Public School"
"095","TORONTO--DANFORTH","145","U","TORONTO","0","12","0","0","1","31","105","2","3","0","0","0","154","398","Leslieville Junior Public School"
"095","TORONTO--DANFORTH","146","U","TORONTO","0","7","0","1","0","25","74","0","4","0","0","0","111","311","Leslieville Junior Public School"
"095","TORONTO--DANFORTH","147","U","TORONTO","0","10","2","1","0","34","83","2","5","0","0","0","137","340","Leslieville Junior Public School"
"095","TORONTO--DANFORTH","148","U","TORONTO","1","27","0","1","0","61","115","0","11","0","0","0","216","480","Glen Rhodes United Church"
"095","TORONTO--DANFORTH","149","U","TORONTO","0","22","2","4","0","36","79","0","14","2","0","0","159","383","Glen Rhodes United Church"
"095","TORONTO--DANFORTH","150","U","TORONTO","0","10","0","0","0","34","89","0","4","0","0","0","137","356","Glen Rhodes United Church"
"095","TORONTO--DANFORTH","151","U","TORONTO","0","10","2","2","1","36","49","0","11","1","0","0","112","334","S. H. Armstrong Community Recreation Centre"
"095","TORONTO--DANFORTH","152","U","TORONTO","0","15","0","1","0","29","67","0","3","0","0","0","115","293","S. H. Armstrong Community Recreation Centre"
"095","TORONTO--DANFORTH","153","U","TORONTO","1","11","1","4","1","55","67","1","2","0","0","0","143","297","S. H. Armstrong Community Recreation Centre"
"095","TORONTO--DANFORTH","154","U","TORONTO","0","6","0","1","0","36","110","0","5","0","0","0","158","436","S. H. Armstrong Community Recreation Centre"
"095","TORONTO--DANFORTH","155","U","TORONTO","0","12","1","1","0","26","77","1","5","1","1","0","125","337","S. H. Armstrong Community Recreation Centre"
"095","TORONTO--DANFORTH","156","U","TORONTO","0","11","0","3","0","32","47","1","3","0","0","0","97","260","St. Joseph's Place"
"095","TORONTO--DANFORTH","157","U","TORONTO","1","16","0","6","1","64","107","0","2","0","0","0","197","460","St. Joseph's Place"
"095","TORONTO--DANFORTH","158","U","TORONTO","1","33","1","2","0","88","153","0","7","0","0","0","285","519","St. Joseph's Place"
"095","TORONTO--DANFORTH","159","U","TORONTO","1","19","0","5","0","55","146","3","15","0","1","0","245","655","Woodgreen Community Housing"
"095","TORONTO--DANFORTH","160","U","TORONTO","0","7","1","3","0","56","96","0","7","1","0","0","171","347","Woodgreen Community Housing"
"095","TORONTO--DANFORTH","161","U","TORONTO","1","9","0","2","0","53","77","0","11","1","0","0","154","283","Woodgreen Community Housing"
"095","TORONTO--DANFORTH","162","U","TORONTO","0","21","0","2","0","76","120","2","17","1","1","0","240","420","Woodgreen Community Housing"
"095","TORONTO--DANFORTH","163","U","TORONTO","2","32","1","5","1","74","161","1","3","4","1","0","285","563","Woodgreen Community Housing"
"095","TORONTO--DANFORTH","164","U","TORONTO","1","27","1","3","0","212","161","1","17","0","0","0","423","994","Jimmie Simpson Recreation Centre"
"095","TORONTO--DANFORTH","165","U","TORONTO","1","17","0","0","0","42","104","0","1","0","0","0","165","346","Jimmie Simpson Recreation Centre"
"095","TORONTO--DANFORTH","166","U","TORONTO","0","17","0","3","0","73","110","1","12","0","0","0","216","426","Queen Alexandra Senior Public School"
"095","TORONTO--DANFORTH","167","U","TORONTO","0","13","1","3","0","49","136","0","7","1","0","0","210","456","Queen Alexandra Senior Public School"
"095","TORONTO--DANFORTH","168","U","TORONTO","0","11","0","5","1","34","102","2","3","1","0","0","159","373","Queen Alexandra Senior Public School"
"095","TORONTO--DANFORTH","169","U","TORONTO","2","26","3","2","0","103","168","0","12","0","1","2","319","904","Queen Alexandra Senior Public School"
"095","TORONTO--DANFORTH","170","U","TORONTO","0","6","0","1","0","51","66","0","2","1","0","0","127","323","Queen Alexandra Senior Public School"
"095","TORONTO--DANFORTH","171","U","TORONTO","1","8","0","2","0","55","77","0","5","2","0","0","150","386","Morse Street Junior Public School"
"095","TORONTO--DANFORTH","172","U","TORONTO","0","13","0","1","0","51","85","1","5","1","0","0","157","325","Morse Street Junior Public School"
"095","TORONTO--DANFORTH","173","U","TORONTO","0","20","0","5","1","62","86","0","9","1","0","0","184","406","Morse Street Junior Public School"
"095","TORONTO--DANFORTH","174","U","TORONTO","0","11","0","2","0","42","71","1","5","1","1","0","134","334","Morse Street Junior Public School"
"095","TORONTO--DANFORTH","175","U","TORONTO","1","11","2","1","0","50","91","1","9","1","0","0","167","413","Bruce Public School"
"095","TORONTO--DANFORTH","176","U","TORONTO","2","16","1","3","0","70","143","0","13","0","0","0","248","452","Bruce Public School"
"095","TORONTO--DANFORTH","177","U","TORONTO","0","14","0","6","0","50","111","0","8","0","0","0","189","489","Bruce Public School"
"095","TORONTO--DANFORTH","178","U","TORONTO","1","16","0","5","1","54","110","1","3","0","0","0","191","541","Bruce Public School"
"095","TORONTO--DANFORTH","179","U","TORONTO","0","22","2","2","0","71","121","1","5","0","0","2","226","624","S. H. Armstrong Community Recreation Centre"
"095","TORONTO--DANFORTH","180","U","TORONTO","0","22","0","4","0","44","91","1","8","0","0","1","171","428","Morse Street Junior Public School"
"095","TORONTO--DANFORTH","400","U","TORONTO","1","40","0","3","1","51","90","0","5","1","0","0","192","273","Halliwell Terrace Condominiums"
"095","TORONTO--DANFORTH","401","U","TORONTO","1","18","0","1","0","69","122","0","6","0","0","0","217","530","Broadview Manor"
"095","TORONTO--DANFORTH","402","U","TORONTO","1","7","0","0","0","37","51","0","8","0","0","0","104","292","Broadview Manor"
"095","TORONTO--DANFORTH","403","U","TORONTO","3","12","0","2","0","50","117","2","7","0","0","0","193","327","Montcrest Towers - 1"
"095","TORONTO--DANFORTH","404","U","TORONTO","1","15","0","3","0","53","109","1","4","0","0","0","186","338","Montcrest Towers - 2"
"095","TORONTO--DANFORTH","405","U","TORONTO","2","5","0","1","1","21","184","2","6","0","1","0","223","395","Bain Community Centre"
"095","TORONTO--DANFORTH","406","U","TORONTO","0","2","0","5","0","16","48","2","0","2","0","0","75","144","City Home - Toronto Housing Corporation"
"095","TORONTO--DANFORTH","407","U","TORONTO","0","35","3","6","1","63","88","1","3","10","0","0","210","335","Greenwood Towers"
"095","TORONTO--DANFORTH","700","U","TORONTO","2","19","0","4","5","15","18","1","1","2","1","0","68","128","Nisbet Lodge"
"095","TORONTO--DANFORTH","701","U","TORONTO","1","1","0","1","0","3","3","0","0","0","0","0","9","61","Bridgepoint Health"
"095","TORONTO--DANFORTH","702","U","TORONTO","0","5","2","2","1","11","9","1","1","0","1","2","35","117","Heritage Nursing Home"
"095","TORONTO--DANFORTH","703","U","TORONTO","0","9","2","1","0","18","11","0","0","1","0","0","42","61","Avondale Retirement Res"
"095","TORONTO--DANFORTH","ADV001","U","TORONTO","2","158","2","7","1","640","1240","7","62","0","0","0","2119","0","Returning Office / Bureau du directeur du scrutin"
"095","TORONTO--DANFORTH","ADV002","U","TORONTO","1","35","0","5","0","149","297","3","14","10","1","1","516","0","Special Ballot Voting / Vote par bulletin spécial"
"095","TORONTO--DANFORTH","ADV003","U","TORONTO","1","135","2","7","4","285","479","3","22","1","0","0","939","0","East York Civic Centre"
"095","TORONTO--DANFORTH","ADV004","U","TORONTO","0","40","2","6","3","151","319","0","18","0","0","0","539","0","S. H. Armstrong Community Recreation Centre"
"TOTALS:","","","","","143","3488","110","440","75","11369","20062","107","1354","157","45","24","37374","75815",""
