"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CLARK","JACKSON","MACKENZIE","MILLER","ROSKAM","WALSH","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"004","BARRIE","055","U","BARRIE","..........................NO POLL HELD..........................","","","","","","","","","","",""
"004","BARRIE","056","U","BARRIE","19","65","2","2","0","65","0","0","0","153","401","Paul Sadlon Motors"
"004","BARRIE","057","U","BARRIE","21","77","1","9","0","71","0","0","0","179","431","Paul Sadlon Motors"
"004","BARRIE","058","U","BARRIE","35","75","0","5","2","80","1","0","0","198","422","Paul Sadlon Motors"
"004","BARRIE","059","U","BARRIE","24","63","0","9","2","60","0","0","0","158","445","Paul Sadlon Motors"
"004","BARRIE","060","U","BARRIE","33","82","1","2","3","62","0","1","1","185","462","Paul Sadlon Motors"
"004","BARRIE","061","U","BARRIE","24","57","0","9","1","68","3","0","0","162","450","East Bayfield Community Centre"
"004","BARRIE","062","U","BARRIE","26","60","0","5","1","64","0","0","2","158","430","East Bayfield Community Centre"
"004","BARRIE","063","U","BARRIE","40","64","0","9","1","40","1","0","0","155","405","East Bayfield Community Centre"
"004","BARRIE","064","U","BARRIE","28","56","1","11","1","72","1","0","0","170","463","Barrie Free Methodist Church"
"004","BARRIE","065","U","BARRIE","28","30","1","16","0","41","0","0","0","116","351","Barrie Free Methodist Church"
"004","BARRIE","066","U","BARRIE","35","68","1","15","0","37","0","0","0","156","427","Barrie Free Methodist Church"
"004","BARRIE","067","U","BARRIE","42","40","0","9","1","37","0","0","0","129","438","Royal Canadian Legion Branch 147"
"004","BARRIE","068","U","BARRIE","32","75","2","9","2","65","0","0","0","185","546","Paul Sadlon Motors"
"004","BARRIE","069","U","BARRIE","44","70","0","9","0","47","1","0","0","171","400","East Bayfield Community Centre"
"004","BARRIE","070","U","BARRIE","25","63","0","9","0","75","2","0","0","174","425","East Bayfield Community Centre"
"004","BARRIE","071","U","BARRIE","30","60","2","9","0","33","0","0","0","134","424","East Bayfield Community Centre"
"004","BARRIE","072","U","BARRIE","19","52","0","6","1","40","0","0","0","118","313","Paul Sadlon Motors"
"004","BARRIE","073","U","BARRIE","39","67","0","9","1","74","0","0","0","190","447","St. Marguerite D'Youville School"
"004","BARRIE","074","U","BARRIE","32","91","2","6","3","67","0","0","0","201","448","St. Margaret's Anglican Church"
"004","BARRIE","075","U","BARRIE","29","81","1","6","3","50","0","0","0","170","407","St. Margaret's Anglican Church"
"004","BARRIE","076","U","BARRIE","29","59","2","5","3","75","0","0","0","173","450","St. Margaret's Anglican Church"
"004","BARRIE","077","U","BARRIE","25","53","1","8","1","47","1","0","0","136","409","Dorian Parker Centre"
"004","BARRIE","078","U","BARRIE","26","84","0","9","1","56","0","0","0","176","423","St. Marguerite D'Youville School"
"004","BARRIE","079","U","BARRIE","34","32","0","5","2","43","0","0","0","116","478","Paul Sadlon Motors"
"004","BARRIE","080","U","BARRIE","27","69","0","7","1","68","1","0","0","173","407","St. Marguerite D'Youville School"
"004","BARRIE","081","U","BARRIE","60","90","1","10","1","91","0","0","0","253","481","High Point Apartments"
"004","BARRIE","082","U","BARRIE","38","87","0","8","1","59","2","0","1","196","417","St. Marguerite D'Youville School"
"004","BARRIE","083","U","BARRIE","72","64","1","7","4","56","0","0","2","206","516","Coulter Glen"
"004","BARRIE","084","U","BARRIE","20","64","1","10","0","109","0","0","0","204","415","École Nouvelle-Alliance"
"004","BARRIE","085","U","BARRIE","26","58","0","9","1","91","0","0","0","185","428","Dorian Parker Centre"
"004","BARRIE","086","U","BARRIE","30","59","1","4","2","63","1","0","0","160","449","St. Margaret's Anglican Church"
"004","BARRIE","087","U","BARRIE","32","48","0","6","1","53","0","0","0","140","405","Westside Evangelical Lutheran Church"
"004","BARRIE","088","U","BARRIE","12","68","0","7","1","45","0","0","0","133","409","Westside Evangelical Lutheran Church"
"004","BARRIE","089","U","BARRIE","22","62","0","7","0","34","0","0","0","125","405","Westside Evangelical Lutheran Church"
"004","BARRIE","090","U","BARRIE","26","38","1","14","2","41","0","0","0","122","405","École Nouvelle-Alliance"
"004","BARRIE","091","U","BARRIE","43","58","1","10","0","48","0","0","1","161","430","Dorian Parker Centre"
"004","BARRIE","092","U","BARRIE","32","55","1","5","1","36","0","0","0","130","408","École Nouvelle-Alliance"
"004","BARRIE","093","U","BARRIE","32","51","1","6","2","30","0","0","0","122","415","First Christian Reform Church"
"004","BARRIE","094","U","BARRIE","31","41","1","5","0","28","0","0","0","106","358","Lampman Lane Community Centre"
"004","BARRIE","095","U","BARRIE","35","67","1","9","1","52","1","0","0","166","453","Lampman Lane Community Centre"
"004","BARRIE","096","U","BARRIE","37","71","0","6","1","34","1","0","0","150","440","Lampman Lane Community Centre"
"004","BARRIE","097","U","BARRIE","44","41","0","4","1","37","1","0","1","129","397","First Christian Reform Church"
"004","BARRIE","098","U","BARRIE","28","39","0","5","0","39","1","0","0","112","402","First Christian Reform Church"
"004","BARRIE","099","U","BARRIE","19","70","0","8","3","92","0","1","0","193","451","First Christian Reform Church"
"004","BARRIE","100","U","BARRIE","30","63","0","3","1","47","0","0","0","144","446","First Christian Reform Church"
"004","BARRIE","101","U","BARRIE","18","48","0","10","0","47","0","0","0","123","395","Lampman Lane Community Centre"
"004","BARRIE","102","U","BARRIE","21","32","0","8","0","57","0","0","0","118","371","Hi-Way Pentecostal Church"
"004","BARRIE","103","U","BARRIE","14","24","0","4","0","30","0","0","0","72","353","Dorian Parker Centre"
"004","BARRIE","104","U","BARRIE","25","60","1","10","0","74","0","0","0","170","456","Dorian Parker Centre"
"004","BARRIE","105","U","BARRIE","8","39","1","3","2","26","0","0","0","79","313","Hi-Way Pentecostal Church"
"004","BARRIE","106","U","BARRIE","13","17","0","5","1","10","0","0","1","47","150","Hi-Way Pentecostal Church"
"004","BARRIE","107","U","BARRIE","17","67","0","2","0","52","0","0","0","138","410","Westside Evangelical Lutheran Church"
"004","BARRIE","108","U","BARRIE","22","67","2","8","0","60","0","1","1","161","444","Northwest Barrie United Church"
"004","BARRIE","109","U","BARRIE","40","62","1","5","1","59","1","0","0","169","550","Northwest Barrie United Church"
"004","BARRIE","110","U","BARRIE","26","40","0","9","1","39","0","0","0","115","416","Northwest Barrie United Church"
"004","BARRIE","111","U","BARRIE","38","46","0","5","3","44","0","0","0","136","394","Northwest Barrie United Church"
"004","BARRIE","112","U","BARRIE","35","52","0","4","4","57","0","0","0","152","456","Northwest Barrie United Church"
"004","BARRIE","113","U","BARRIE","36","55","1","5","1","44","0","0","0","142","454","Northwest Barrie United Church"
"004","BARRIE","114","U","BARRIE","22","90","0","9","2","58","1","0","0","182","435","St. Catharine of Siena Catholic School"
"004","BARRIE","115","U","BARRIE","21","71","0","7","1","59","0","0","0","159","439","St. Catharine of Siena Catholic School"
"004","BARRIE","116","U","BARRIE","34","72","2","5","1","71","1","0","0","186","484","St. Catharine of Siena Catholic School"
"004","BARRIE","117","U","BARRIE","37","71","2","10","3","56","0","0","0","179","451","St. Catharine of Siena Catholic School"
"004","BARRIE","118","U","BARRIE","32","54","0","7","2","65","1","0","0","161","438","Covenant Christian Reformed Church"
"004","BARRIE","119","U","BARRIE","40","74","1","2","0","39","1","0","0","157","493","St. Catharine of Siena Catholic School"
"004","BARRIE","120","U","BARRIE","45","84","0","13","3","59","0","0","0","204","495","Covenant Christian Reformed Church"
"004","BARRIE","121","U","BARRIE","27","78","1","10","1","30","0","0","0","147","520","Holly Community Centre"
"004","BARRIE","122","U","BARRIE","13","66","0","6","0","54","0","0","0","139","447","Holly Community Centre"
"004","BARRIE","123","U","BARRIE","29","82","1","6","1","50","0","0","0","169","490","Holly Community Centre"
"004","BARRIE","124","U","BARRIE","23","82","1","8","1","55","0","0","0","170","524","St. Catharine of Siena Catholic School"
"004","BARRIE","125","U","BARRIE","33","51","1","5","1","45","0","0","0","136","436","Holly Community Centre"
"004","BARRIE","126","U","BARRIE","23","64","1","4","2","62","0","0","0","156","448","Holly Community Centre"
"004","BARRIE","127","U","BARRIE","25","78","1","2","1","43","0","0","0","150","471","Holly Community Centre"
"004","BARRIE","128","U","BARRIE","14","59","0","7","1","58","0","0","0","139","453","Holly Community Centre"
"004","BARRIE","129","U","BARRIE","13","73","0","6","0","59","0","0","0","151","437","Holly Community Centre"
"004","BARRIE","130","U","BARRIE","24","73","0","8","1","69","3","1","0","179","437","Covenant Christian Reformed Church"
"004","BARRIE","131","U","BARRIE","17","39","1","4","0","29","0","0","0","90","394","Timbercrest Apartments"
"004","BARRIE","132","U","BARRIE","27","26","1","4","0","44","0","0","0","102","365","Timbercrest Apartments"
"004","BARRIE","133","U","BARRIE","21","19","0","3","2","17","0","0","0","62","254","Covenant Christian Reformed Church"
"004","BARRIE","134","U","BARRIE","18","40","0","5","0","25","0","0","0","88","310","Mapleview Community Church"
"004","BARRIE","135","U","BARRIE","25","22","0","1","0","25","0","0","0","73","293","Mapleview Community Church"
"004","BARRIE","136","U","BARRIE","14","20","0","8","1","17","1","0","0","61","325","Mapleview Community Church"
"004","BARRIE","137","U","BARRIE","28","45","1","3","1","24","0","0","0","102","357","Mapleview Community Church"
"004","BARRIE","138","U","BARRIE","28","75","0","6","2","47","0","4","3","165","427","Roberta Place Retirement Lodge"
"004","BARRIE","139","U","BARRIE","26","58","0","7","0","36","1","0","0","128","433","Mapleview Community Church"
"004","BARRIE","140","U","BARRIE","37","46","0","9","0","40","1","0","0","133","413","Mapleview Community Church"
"004","BARRIE","141","U","BARRIE","20","44","0","6","1","43","0","0","0","114","373","Mapleview Community Church"
"004","BARRIE","142","U","BARRIE","21","52","1","3","0","36","0","0","0","113","430","Holly United Church"
"004","BARRIE","143","U","BARRIE","29","56","0","1","3","49","1","0","0","139","450","Holly Community Centre"
"004","BARRIE","144","U","BARRIE","28","50","0","7","3","42","1","0","0","131","386","Holly Community Centre"
"004","BARRIE","145","U","BARRIE","35","52","3","8","1","34","1","0","0","134","414","W. C. Little Public School"
"004","BARRIE","146","U","BARRIE","30","45","0","1","1","23","1","0","0","101","332","Holly United Church"
"004","BARRIE","147","U","BARRIE","18","24","0","4","0","32","0","0","0","78","339","Holly United Church"
"004","BARRIE","148","U","BARRIE","16","41","0","6","1","32","1","0","0","97","370","W. C. Little Public School"
"004","BARRIE","149","U","BARRIE","22","45","0","3","3","29","1","0","0","103","410","Holly United Church"
"004","BARRIE","150","U","BARRIE","36","53","0","5","2","40","2","0","0","138","401","Holly United Church"
"004","BARRIE","151","U","BARRIE","32","68","0","7","3","49","0","0","0","159","406","W. C. Little Public School"
"004","BARRIE","152","U","BARRIE","28","71","0","5","3","51","0","0","0","158","382","W. C. Little Public School"
"004","BARRIE","153","U","BARRIE","22","71","0","6","1","38","0","0","0","138","452","W. C. Little Public School"
"004","BARRIE","154","U","BARRIE","34","83","0","5","0","59","0","0","0","181","467","St. Nicholas Catholic School"
"004","BARRIE","155","U","BARRIE","41","65","0","7","2","46","0","0","0","161","422","St. Nicholas Catholic School"
"004","BARRIE","156","U","BARRIE","41","59","1","7","2","55","0","0","0","165","427","St. Nicholas Catholic School"
"004","BARRIE","157","U","BARRIE","19","86","1","10","0","40","0","0","0","156","435","St. Nicholas Catholic School"
"004","BARRIE","158","U","BARRIE","25","64","0","11","1","36","2","0","0","139","407","Mapleview Community Church"
"004","BARRIE","159","U","BARRIE","27","64","0","8","2","61","1","0","1","164","395","St. John Vianney Parish Hall"
"004","BARRIE","160","U","BARRIE","30","47","0","6","0","54","0","0","0","137","414","St. John Vianney Parish Hall"
"004","BARRIE","161","U","BARRIE","32","37","0","10","1","50","0","0","0","130","346","St. John Vianney Parish Hall"
"004","BARRIE","162","U","BARRIE","23","48","0","1","0","41","1","0","0","114","363","St. John Vianney Parish Hall"
"004","BARRIE","163","U","BARRIE","22","47","2","12","2","12","1","0","0","98","389","Allandale Recreation Centre"
"004","BARRIE","164","U","BARRIE","24","44","1","4","0","43","0","0","0","116","468","Allandale Recreation Centre"
"004","BARRIE","165","U","BARRIE","36","72","0","10","0","70","0","0","0","188","433","Allandale Recreation Centre"
"004","BARRIE","166","U","BARRIE","24","61","0","2","0","75","1","0","0","163","458","St. John Vianney Parish Hall"
"004","BARRIE","167","U","BARRIE","49","25","0","7","2","46","0","0","0","129","429","Unity Christian High School"
"004","BARRIE","168","U","BARRIE","31","34","0","3","1","24","0","0","0","93","388","Unity Christian High School"
"004","BARRIE","169","U","BARRIE","33","53","2","4","0","61","1","0","0","154","476","Allandale Recreation Centre"
"004","BARRIE","170","U","BARRIE","29","72","0","6","1","41","1","0","1","151","460","Tollendale Village"
"004","BARRIE","171","U","BARRIE","27","165","1","7","0","75","0","1","0","276","403","Tollendale Village"
"004","BARRIE","172","U","BARRIE","30","101","2","5","3","66","1","0","0","208","452","Tollendale Village"
"004","BARRIE","173","U","BARRIE","29","84","0","12","0","50","1","0","0","176","402","Tollendale Village"
"004","BARRIE","174","U","BARRIE","26","73","0","5","0","76","0","0","0","180","458","Bob Rumball Home for the Deaf"
"004","BARRIE","175","U","BARRIE","14","57","0","6","0","52","1","0","0","130","321","Tollendale Village"
"004","BARRIE","176","U","BARRIE","18","65","0","6","1","62","0","0","0","152","417","Tollendale Village"
"004","BARRIE","177","U","BARRIE","36","75","1","7","1","70","0","0","1","191","442","Painswick United Church (The Oasis)"
"004","BARRIE","178","U","BARRIE","37","53","3","4","2","64","0","0","0","163","422","Warnica Public School"
"004","BARRIE","179","U","BARRIE","40","79","2","10","2","53","1","0","0","187","395","Warnica Public School"
"004","BARRIE","180","U","BARRIE","35","73","1","2","0","72","2","0","0","185","444","Painswick United Church (The Oasis)"
"004","BARRIE","181","U","BARRIE","23","81","1","5","1","57","0","0","0","168","379","Tollendale Village"
"004","BARRIE","182","U","BARRIE","44","66","1","3","2","75","0","0","0","191","436","Painswick United Church (The Oasis)"
"004","BARRIE","183","U","BARRIE","49","35","0","12","1","35","1","0","0","133","467","Warnica Public School"
"004","BARRIE","184","U","BARRIE","29","60","1","5","0","64","0","0","0","159","469","Warnica Public School"
"004","BARRIE","185","U","BARRIE","29","48","0","7","2","46","0","3","0","135","345","Inniswood Baptist Church"
"004","BARRIE","186","U","BARRIE","35","72","1","7","1","49","0","0","0","165","428","Inniswood Baptist Church"
"004","BARRIE","187","U","BARRIE","34","33","2","8","0","50","1","0","0","128","468","Inniswood Baptist Church"
"004","BARRIE","188","U","BARRIE","38","62","0","9","0","38","1","0","0","148","399","Inniswood Baptist Church"
"004","BARRIE","189","U","BARRIE","42","63","0","5","0","37","2","1","0","150","475","Inniswood Baptist Church"
"004","BARRIE","190","U","BARRIE","28","45","0","4","0","23","1","0","0","101","390","Inniswood Baptist Church"
"004","BARRIE","191","U","BARRIE","44","54","0","6","0","47","0","0","0","151","437","Allandale Recreation Centre"
"004","BARRIE","192","U","BARRIE","14","80","0","5","1","49","0","0","0","149","403","St. Gabriel the Archangel School"
"004","BARRIE","193","U","BARRIE","29","60","0","2","1","55","0","0","1","148","434","Bob Rumball Home for the Deaf"
"004","BARRIE","194","U","BARRIE","13","62","1","4","0","42","0","1","0","123","352","St. Gabriel the Archangel School"
"004","BARRIE","195","U","BARRIE","25","53","3","4","1","66","0","2","0","154","396","St. Gabriel the Archangel School"
"004","BARRIE","196","U","BARRIE","15","54","0","3","0","65","1","0","0","138","375","St. Gabriel the Archangel School"
"004","BARRIE","197","U","BARRIE","21","47","1","2","3","47","0","2","0","123","330","St. Gabriel the Archangel School"
"004","BARRIE","198","U","BARRIE","27","69","1","4","0","38","1","0","0","140","371","St. Gabriel the Archangel School"
"004","BARRIE","199","U","BARRIE","39","41","0","8","0","67","1","0","0","156","414","St. Gabriel the Archangel School"
"004","BARRIE","200","U","BARRIE","14","45","0","2","0","39","2","0","1","103","261","St. Gabriel the Archangel School"
"004","BARRIE","201","U","BARRIE","32","87","3","7","3","69","0","0","0","201","463","Bob Rumball Home for the Deaf"
"004","BARRIE","202","U","BARRIE","18","78","1","2","2","50","0","1","0","152","440","Bob Rumball Home for the Deaf"
"004","BARRIE","203","U","BARRIE","42","69","0","13","1","48","0","0","0","173","404","Warnica Public School"
"004","BARRIE","204","U","BARRIE","14","37","0","3","1","34","2","0","0","91","337","École la Source"
"004","BARRIE","205","U","BARRIE","27","72","0","5","4","37","0","2","0","147","456","Zehr's Markets"
"004","BARRIE","206","U","BARRIE","43","55","0","6","1","43","0","0","0","148","362","Zehr's Markets"
"004","BARRIE","207","U","BARRIE","30","59","2","6","1","66","0","1","0","165","424","Zehr's Markets"
"004","BARRIE","208","U","BARRIE","25","64","0","5","0","47","0","0","0","141","401","École la Source"
"004","BARRIE","209","U","BARRIE","24","85","0","7","0","55","0","0","0","171","463","École la Source"
"004","BARRIE","210","U","BARRIE","24","86","3","4","2","48","1","0","0","168","488","École la Source"
"004","BARRIE","211","U","BARRIE","25","66","0","3","1","34","0","0","0","129","400","École la Source"
"004","BARRIE","212","U","BARRIE","25","39","0","3","1","44","0","1","0","113","416","École la Source"
"004","BARRIE","213","U","BARRIE","23","55","0","4","2","54","0","0","0","138","472","École la Source"
"004","BARRIE","214","U","BARRIE","23","57","0","4","1","59","1","0","0","145","427","Inniswood Baptist Church"
"004","BARRIE","215","U","BARRIE","28","71","0","4","0","53","0","0","0","156","481","Inniswood Baptist Church"
"004","BARRIE","216","U","BARRIE","23","54","0","1","3","38","0","0","0","119","442","Inniswood Baptist Church"
"004","BARRIE","217","U","BARRIE","22","54","0","6","0","31","0","0","0","113","353","Inniswood Baptist Church"
"004","BARRIE","218","U","BARRIE","23","52","2","4","4","43","0","0","0","128","515","Inniswood Baptist Church"
"004","BARRIE","219","U","BARRIE","41","55","0","4","1","59","0","0","0","160","394","Allandale Recreation Centre"
"004","BARRIE","400","U","BARRIE","31","26","0","3","3","47","1","0","0","111","209","Imperial Towers"
"004","BARRIE","401","U","BARRIE","69","84","2","13","2","101","1","1","0","273","473","Coral Place"
"004","BARRIE","402","U","BARRIE","38","152","0","4","4","156","0","0","0","354","534","The Bay Club"
"004","BARRIE","403","U","BARRIE","34","73","2","8","0","89","1","0","0","207","323","Bayshore Landing Condominiums"
"004","BARRIE","404","U","BARRIE",".......................COMBINED WITH POLL 402.......................","","","","","","","","","","","Grand Harbour Condominiums"
"004","BARRIE","405","U","BARRIE","..........................NO POLL HELD..........................","","","","","","","","","","",""
"004","BARRIE","406","U","BARRIE",".......................COMBINED WITH POLL 401.......................","","","","","","","","","","","Nautica Condominiums"
"004","BARRIE","407","U","BARRIE","..........................NO POLL HELD..........................","","","","","","","","","","",""
"004","BARRIE","408","U","BARRIE","30","97","0","7","1","88","0","0","0","223","385","Marina Bay Condominiums"
"004","BARRIE","409","U","BARRIE","..........................NO POLL HELD..........................","","","","","","","","","","",""
"004","BARRIE","410","U","BARRIE","38","19","1","4","3","28","0","0","0","93","202","Gateway Co-Operative Homes"
"004","BARRIE","411","U","BARRIE","25","22","1","3","0","23","0","0","0","74","168","Edgehill Apartments"
"004","BARRIE","700","U","BARRIE","7","18","1","8","1","9","0","1","0","45","99","Barrie Manor"
"004","BARRIE","701","U","BARRIE","7","22","0","3","0","15","0","0","0","47","159","Grove Park Home"
"004","BARRIE","702","U","BARRIE","3","7","2","5","0","4","0","0","0","21","67","Leisureworld Caregiving Centre"
"004","BARRIE","703","U","BARRIE","4","8","0","1","0","4","0","0","0","17","34","Mulcaster Mews Retirement Residence"
"004","BARRIE","704","U","BARRIE","6","13","1","2","0","10","0","0","0","32","116","Victoria Village Manor"
"004","BARRIE","705","U","BARRIE","5","33","1","1","1","18","1","0","0","60","94","Simcoe Terrace Retirement Centre"
"004","BARRIE","706","U","BARRIE","10","20","2","1","2","16","1","1","1","54","160","Woods Park Care Centre"
"004","BARRIE","707","U","BARRIE","3","11","0","1","3","7","1","1","1","28","114","Coleman Care Centre"
"004","BARRIE","708","U","BARRIE","8","31","1","1","10","13","0","1","0","65","110","Whispering Pines Retirement Residence"
"004","BARRIE","709","U","BARRIE","5","43","1","0","1","28","0","0","0","78","116","The Waterford Retirement Residence"
"004","BARRIE","710","U","BARRIE","8","21","3","1","0","12","2","0","0","47","144","Roberta Place Long Term Care"
"004","BARRIE","711","U","BARRIE","27","56","1","0","3","35","1","0","0","123","290","Ioof Seniors Homes"
"004","BARRIE","712","U","BARRIE","..........................NO POLL HELD..........................","","","","","","","","","","",""
"004","BARRIE","713","U","BARRIE","8","25","2","0","2","12","0","0","0","49","161","Mill Creek Care Centre"
"004","BARRIE","714","U","BARRIE","7","20","2","0","0","14","0","1","0","44","67","Barrington Retirement Residence"
"004","BARRIE","715","U","BARRIE","3","5","0","2","2","10","0","1","0","23","65","Bob Rumball Home for the Deaf"
"004","BARRIE","ADV001","U","BARRIE","256","859","4","80","5","477","0","1","1","1683","0","Returning Office / Bureau du directeur du scrutin"
"004","BARRIE","ADV002","U","BARRIE","107","271","0","19","3","219","9","0","0","628","0","Special Ballot Voting / Vote par bulletin spécial"
"004","BARRIE","ADV003","U","BARRIE","433","1125","5","98","11","1113","9","2","1","2797","0","Parkview Centre for Seniors"
"004","BARRIE","ADV004","U","BARRIE","327","1055","12","68","17","773","4","0","1","2257","0","Allandale Recreation Centre"
"004","BARRIE","ADV005","U","BARRIE","40","204","2","11","2","141","0","1","0","401","0","Bob Rumball Home for the Deaf"
"004","BARRIE","ADV006","U","BARRIE","101","416","1","23","3","191","0","0","0","735","0","Mapleview Community Church"
"004","BARRIE","ADV007","U","BARRIE","180","654","4","48","4","492","0","1","0","1383","0","Northwest Barrie United Church"
"004","BARRIE","ADV008","U","BARRIE","41","20","2","18","2","36","0","0","0","119","0","Georgian College Campus"
