"2350 Finch Avenue West ,  TORONTO ,  Ontario, Canada"
"Rockford Public School ,  TORONTO ,  Ontario, Canada"
"Roding Community Centre ,  TORONTO ,  Ontario, Canada"
"Roding Place Park ,  TORONTO ,  Ontario, Canada"
"Sheppard Place Apartments ,  TORONTO ,  Ontario, Canada"
"Sheppard Public School ,  TORONTO ,  Ontario, Canada"
"Silver Springs ,  TORONTO ,  Ontario, Canada"
"St. Jerome Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Martha Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Norbert Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Raphael Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Robert Catholic School ,  TORONTO ,  Ontario, Canada"
"Summit Heights Public School ,  TORONTO ,  Ontario, Canada"
"The Alpine ,  TORONTO ,  Ontario, Canada"
"The Courtland 1 YCC247 ,  TORONTO ,  Ontario, Canada"
"The Dalemount YCC201 ,  TORONTO ,  Ontario, Canada"
"The Eddington YCC102 ,  TORONTO ,  Ontario, Canada"
"The Hemispheres I MTCC551 ,  TORONTO ,  Ontario, Canada"
"The Max TSCC1879 ,  TORONTO ,  Ontario, Canada"
"The Primrose I MTCC808 ,  TORONTO ,  Ontario, Canada"
"The Primrose II MTCC847 ,  TORONTO ,  Ontario, Canada"
"The Savoy MTCC815 ,  TORONTO ,  Ontario, Canada"
"The Somerset ,  TORONTO ,  Ontario, Canada"
"Tumpane Public School ,  TORONTO ,  Ontario, Canada"
"Valencia Towers II ,  TORONTO ,  Ontario, Canada"
"Valleyview Residence Nursing Home ,  TORONTO ,  Ontario, Canada"
"Viewpoint Towers ,  TORONTO ,  Ontario, Canada"
"Village Gate Apartments ,  TORONTO ,  Ontario, Canada"
"West Don Apartments ,  TORONTO ,  Ontario, Canada"
"William Lyon Mackenzie Collegiate Institute ,  TORONTO ,  Ontario, Canada"
"Wyldewood Apartments ,  TORONTO ,  Ontario, Canada"
"Yeshiva B'Nai Zion of Bobov of Toronto ,  TORONTO ,  Ontario, Canada"
"York Condominium Corp # 465 ,  TORONTO ,  Ontario, Canada"
"York Condominium Corp # 74 ,  TORONTO ,  Ontario, Canada"
"ƒcole Monseigneur Jean Noel ,  WINDSOR ,  Ontario, Canada"
"ƒcole St. Edmond ,  WINDSOR ,  Ontario, Canada"
"75 Riverside Drive East ,  WINDSOR ,  Ontario, Canada"
"Academie Ste Cecile International ,  WINDSOR ,  Ontario, Canada"
"Adie Knox Community Centre ,  WINDSOR ,  Ontario, Canada"
"All Saints Church ,  WINDSOR ,  Ontario, Canada"
"Arthur J. Reaume Apartments ,  WINDSOR ,  Ontario, Canada"
"Ash Grove Manor ,  WINDSOR ,  Ontario, Canada"
"Assumption College Roman Catholic High School ,  WINDSOR ,  Ontario, Canada"
"Bruce Villa ,  WINDSOR ,  Ontario, Canada"
"Caboto Club ,  WINDSOR ,  Ontario, Canada"
"Caribbean Centre ,  WINDSOR ,  Ontario, Canada"
"Carnegie Apartments ,  WINDSOR ,  Ontario, Canada"
"Cencourse Project ,  WINDSOR ,  Ontario, Canada"
"Central Public School ,  WINDSOR ,  Ontario, Canada"
"Century Secondary School ,  WINDSOR ,  Ontario, Canada"
"Chartwell Classic Oak Park Terrace ,  WINDSOR ,  Ontario, Canada"
"Chateau Manor ,  WINDSOR ,  Ontario, Canada"
"Chateau Park Nursing Home ,  WINDSOR ,  Ontario, Canada"
"Cherniak Manor ,  WINDSOR ,  Ontario, Canada"
"Church of the Ascension ,  WINDSOR ,  Ontario, Canada"
"Club Alouette ,  WINDSOR ,  Ontario, Canada"
"College Avenue Centre ,  WINDSOR ,  Ontario, Canada"
"Corpus Christi Church ,  WINDSOR ,  Ontario, Canada"
"Devonshire Seniors' Res ,  WINDSOR ,  Ontario, Canada"
"Dieppe Towers ,  WINDSOR ,  Ontario, Canada"
"Dougall Avenue Public School ,  WINDSOR ,  Ontario, Canada"
"Extendicare ,  WINDSOR ,  Ontario, Canada"
"First Lutheran Christian Academy ,  WINDSOR ,  Ontario, Canada"
"First Lutheran Church ,  WINDSOR ,  Ontario, Canada"
"Fogolar Furlan Club ,  WINDSOR ,  Ontario, Canada"
"General Brock Public School ,  WINDSOR ,  Ontario, Canada"
"Gethsemane Lutheran Church ,  WINDSOR ,  Ontario, Canada"
"Glenwood United Church ,  WINDSOR ,  Ontario, Canada"
"Holy Names High School ,  WINDSOR ,  Ontario, Canada"
"Hugh Beaton Public School ,  WINDSOR ,  Ontario, Canada"
"Huron Lodge ,  WINDSOR ,  Ontario, Canada"
"Immaculate Conception Elementary School ,  WINDSOR ,  Ontario, Canada"
"Kensington Court ,  WINDSOR ,  Ontario, Canada"
"Le Goyeau Condominiums ,  WINDSOR ,  Ontario, Canada"
"Malden Park Continuing Care ,  WINDSOR ,  Ontario, Canada"
"Mintz Apartments ,  WINDSOR ,  Ontario, Canada"
"Northwood Public School ,  WINDSOR ,  Ontario, Canada"
"Notre Dame School ,  WINDSOR ,  Ontario, Canada"
"Ojibway Nature Centre ,  WINDSOR ,  Ontario, Canada"
"Optimist Community Centre ,  WINDSOR ,  Ontario, Canada"
"Ouellette Manor ,  WINDSOR ,  Ontario, Canada"
"Ouellette Towers ,  WINDSOR ,  Ontario, Canada"
"Our Lady of Mount Carmel School ,  WINDSOR ,  Ontario, Canada"
"Our Lady of Perpetual Help School ,  WINDSOR ,  Ontario, Canada"
"Raymond Desmarais Apartments ,  WINDSOR ,  Ontario, Canada"
"Regency Park Nursing Centre ,  WINDSOR ,  Ontario, Canada"
"Rose Garden Villa ,  WINDSOR ,  Ontario, Canada"
"Roseland Golf Club ,  WINDSOR ,  Ontario, Canada"
"Roseland Public School ,  WINDSOR ,  Ontario, Canada"
"Royal Canadian Legion 143 ,  WINDSOR ,  Ontario, Canada"
"Royal Windsor Terrace ,  WINDSOR ,  Ontario, Canada"
"Salvation Army South Windsor Citadel ,  WINDSOR ,  Ontario, Canada"
"Sandwich Baptist Church ,  WINDSOR ,  Ontario, Canada"
"Shaar Hashomayim School ,  WINDSOR ,  Ontario, Canada"
"South Windsor Arena ,  WINDSOR ,  Ontario, Canada"
"Southwood Community Church ,  WINDSOR ,  Ontario, Canada"
"St. Angela Catholic School ,  WINDSOR ,  Ontario, Canada"
"St. Angela Merici Hall ,  WINDSOR ,  Ontario, Canada"
"St. Christopher School ,  WINDSOR ,  Ontario, Canada"
"St. David's Anglican Church ,  WINDSOR ,  Ontario, Canada"
"St. James School ,  WINDSOR ,  Ontario, Canada"
"St. John Elementary School ,  WINDSOR ,  Ontario, Canada"
"St. Matthew's Church ,  WINDSOR ,  Ontario, Canada"
"St. Michael's School ,  WINDSOR ,  Ontario, Canada"
"Talbot Trail Public School ,  WINDSOR ,  Ontario, Canada"
"Vanier Hall - University of Windsor ,  WINDSOR ,  Ontario, Canada"
"Victoria Manor ,  WINDSOR ,  Ontario, Canada"
"Victoria Park Place ,  WINDSOR ,  Ontario, Canada"
"Walker Road Church of God ,  WINDSOR ,  Ontario, Canada"
"Waterpark Place Condominiums ,  WINDSOR ,  Ontario, Canada"
"ƒcole St Antoine ,  TECUMSEH ,  Ontario, Canada"
"ƒcole Ste Marguerite D'Youville ,  TECUMSEH ,  Ontario, Canada"
"Amica of Windsor ,  WINDSOR ,  Ontario, Canada"
"Anchorage Apartments ,  WINDSOR ,  Ontario, Canada"
"Banwell Community Church ,  TECUMSEH ,  Ontario, Canada"
"Banwell Gardens ,  TECUMSEH ,  Ontario, Canada"
"Bayview Towers ,  WINDSOR ,  Ontario, Canada"
"Brouillette Manor ,  TECUMSEH ,  Ontario, Canada"
"Calvary Community Church ,  TECUMSEH ,  Ontario, Canada"
"Ciociaro Club ,  OLDCASTLE ,  Ontario, Canada"
"Constable John Atkinson Community Centre ,  WINDSOR ,  Ontario, Canada"
"David Maxwell School ,  WINDSOR ,  Ontario, Canada"
"Dr. David Suzuki Elementary School ,  WINDSOR ,  Ontario, Canada"
"Extendicare ,  TECUMSEH ,  Ontario, Canada"
"F. J. Brennan High School ,  WINDSOR ,  Ontario, Canada"
"F. W. Begley Public School ,  WINDSOR ,  Ontario, Canada"
"Fontainebleu Towers ,  WINDSOR ,  Ontario, Canada"
"Forest Glade Arena ,  WINDSOR ,  Ontario, Canada"
"Forest Glade Community Centre ,  WINDSOR ,  Ontario, Canada"
"Forest Glade Elementary ,  WINDSOR ,  Ontario, Canada"
"General Mihailovich Place ,  WINDSOR ,  Ontario, Canada"
"Gino Marcus Community Complex ,  WINDSOR ,  Ontario, Canada"
"Glengarda Condo ,  WINDSOR ,  Ontario, Canada"
"H.J. Lassaline ,  WINDSOR ,  Ontario, Canada"
"Harbour Towers ,  WINDSOR ,  Ontario, Canada"
"Heron Terrace ,  WINDSOR ,  Ontario, Canada"
"Holy Trinity Church ,  WINDSOR ,  Ontario, Canada"
"Island View Tower ,  WINDSOR ,  Ontario, Canada"
"King Edward School ,  WINDSOR ,  Ontario, Canada"
"Kingsway Arms at Maisonville Court ,  WINDSOR ,  Ontario, Canada"
"L. A. Desmarais ,  WINDSOR ,  Ontario, Canada"
"L'Essor High School ,  TECUMSEH ,  Ontario, Canada"
"Lilly Kazzilly's ,  WINDSOR ,  Ontario, Canada"
"Lions Manor ,  WINDSOR ,  Ontario, Canada"
"Lonsdale Apartments ,  WINDSOR ,  Ontario, Canada"
"Most Precious Blood Parish ,  WINDSOR ,  Ontario, Canada"
"Other Place Catering and Reception Centre ,  WINDSOR ,  Ontario, Canada"
"Our Lady of Atonement St. Francis Hall ,  WINDSOR ,  Ontario, Canada"
"Palazzo Apartments ,  WINDSOR ,  Ontario, Canada"
"Percy McCallum School ,  WINDSOR ,  Ontario, Canada"
"Pinnacle Apartments ,  WINDSOR ,  Ontario, Canada"
"Plaza East Apartments ,  WINDSOR ,  Ontario, Canada"
"Riverside Banquet Hall ,  WINDSOR ,  Ontario, Canada"
"Riverside Place ,  WINDSOR ,  Ontario, Canada"
"Riverside Secondary School ,  WINDSOR ,  Ontario, Canada"
"Riverside Towers ,  WINDSOR ,  Ontario, Canada"
"Rose City Islamic Centre ,  WINDSOR ,  Ontario, Canada"
"Roseville Public School ,  WINDSOR ,  Ontario, Canada"
"Scottish Club ,  WINDSOR ,  Ontario, Canada"
"Seaway Towers ,  WINDSOR ,  Ontario, Canada"
"Shoreline Towers ,  WINDSOR ,  Ontario, Canada"
"Solidarity Towers ,  WINDSOR ,  Ontario, Canada"
"St. Aidan's Church ,  WINDSOR ,  Ontario, Canada"
"St. Alexander ,  WINDSOR ,  Ontario, Canada"
"St. Anne's Church Hall ,  TECUMSEH ,  Ontario, Canada"
"St. Clair Towers ,  WINDSOR ,  Ontario, Canada"
"St. John Vianney School ,  WINDSOR ,  Ontario, Canada"
"St. Joseph High School ,  WINDSOR ,  Ontario, Canada"
"St. Mark's By-The-Lake ,  TECUMSEH ,  Ontario, Canada"
"St. Mary's Parish Hall ,  MAIDSTONE ,  Ontario, Canada"
"St. Peter's School ,  TECUMSEH ,  Ontario, Canada"
"St. Rose School ,  WINDSOR ,  Ontario, Canada"
"Sunrise Senior Living ,  WINDSOR ,  Ontario, Canada"
"Tecumseh Knights of Columbus ,  TECUMSEH ,  Ontario, Canada"
"Tecumseh Recreation Centre ,  TECUMSEH ,  Ontario, Canada"
"Tecumseh United Church ,  TECUMSEH ,  Ontario, Canada"
"The Grandview ,  WINDSOR ,  Ontario, Canada"
"The Hospice of Windsor ,  WINDSOR ,  Ontario, Canada"
"The Village of Aspen Lake ,  WINDSOR ,  Ontario, Canada"
"Venture Place ,  WINDSOR ,  Ontario, Canada"
"W. J. Langlois ,  WINDSOR ,  Ontario, Canada"
"Walkerville Collegiate Institute ,  WINDSOR ,  Ontario, Canada"
"Westchester at the Lake ,  WINDSOR ,  Ontario, Canada"
"WFCU Centre ,  WINDSOR ,  Ontario, Canada"
"Willistead Manor Coach House ,  WINDSOR ,  Ontario, Canada"
"Windsor Public Library - Fontainebleau ,  WINDSOR ,  Ontario, Canada"
"Windsor Public Library - Seminole ,  WINDSOR ,  Ontario, Canada"
"Windsor Yacht Club ,  WINDSOR ,  Ontario, Canada"
"11 Ruddington Drive ,  TORONTO ,  Ontario, Canada"
"2 Forest Laneway ,  TORONTO ,  Ontario, Canada"
"4 Forest Laneway ,  TORONTO ,  Ontario, Canada"
"6 Forest Laneway ,  TORONTO ,  Ontario, Canada"
"A. Y. Jackson Secondary School ,  TORONTO ,  Ontario, Canada"
"All Saints Greek Orthodox Centre ,  TORONTO ,  Ontario, Canada"
"Amica at Bayview ,  TORONTO ,  Ontario, Canada"
"Amica at Bayview Gardens ,  TORONTO ,  Ontario, Canada"
"Arbor Glen Public School ,  TORONTO ,  Ontario, Canada"
"Arc Condominiums ,  TORONTO ,  Ontario, Canada"
"Atrium I ,  TORONTO ,  Ontario, Canada"
"Atrium II ,  TORONTO ,  Ontario, Canada"
"Avondale Lofts - 1 Avondale Avenue ,  TORONTO ,  Ontario, Canada"
"Avondale Schools ,  TORONTO ,  Ontario, Canada"
"Bayview Arena ,  TORONTO ,  Ontario, Canada"
"Bayview Mansion - 1 Clairtrell Road ,  TORONTO ,  Ontario, Canada"
"Bayview Mansion - 2 Clairtrell Road ,  TORONTO ,  Ontario, Canada"
"Bayview Middle School ,  TORONTO ,  Ontario, Canada"
"Bayview Terraced Condominiums Residences ,  TORONTO ,  Ontario, Canada"
"Beecroft Manor ,  TORONTO ,  Ontario, Canada"
"Brebeuf College School ,  TORONTO ,  Ontario, Canada"
"Broadway One ,  TORONTO ,  Ontario, Canada"
"Broadway Two ,  TORONTO ,  Ontario, Canada"
"Cameron Public School ,  TORONTO ,  Ontario, Canada"
"Carefree Lodge ,  TORONTO ,  Ontario, Canada"
"Churchill Public School ,  TORONTO ,  Ontario, Canada"
"Cliffwood Manor ,  TORONTO ,  Ontario, Canada"
"Cliffwood Public School ,  TORONTO ,  Ontario, Canada"
"Cosmo - 31 Bales Avenue ,  TORONTO ,  Ontario, Canada"
"Cosmo - 35 Bales Avenue ,  TORONTO ,  Ontario, Canada"
"Cresthaven Public School ,  TORONTO ,  Ontario, Canada"
"Cummer Lodge ,  TORONTO ,  Ontario, Canada"
"Cummer Park Community Centre ,  TORONTO ,  Ontario, Canada"
"Delmanor Northtown ,  TORONTO ,  Ontario, Canada"
