"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AYAD","DELANEY","SUNBATY","WARNER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"051","MISSISSAUGA--STREETSVILLE","025","U","MISSISSAUGA","19","90","48","10","0","0","0","167","410","Lisgar Middle School"
"051","MISSISSAUGA--STREETSVILLE","026","U","MISSISSAUGA","21","86","64","7","0","0","0","178","400","St. Therese of the Child Jesus"
"051","MISSISSAUGA--STREETSVILLE","027","U","MISSISSAUGA","37","91","50","5","1","0","0","184","496","St. Therese of the Child Jesus"
"051","MISSISSAUGA--STREETSVILLE","028","U","MISSISSAUGA","15","120","49","7","0","0","0","191","469","St. Therese of the Child Jesus"
"051","MISSISSAUGA--STREETSVILLE","029","U","MISSISSAUGA","39","76","61","15","0","0","0","191","508","St. John the Cross Elementary School"
"051","MISSISSAUGA--STREETSVILLE","030","U","MISSISSAUGA","13","94","60","8","0","0","0","175","421","St. John the Cross Elementary School"
"051","MISSISSAUGA--STREETSVILLE","031","U","MISSISSAUGA","24","122","73","12","0","0","1","232","512","St. John the Cross Elementary School"
"051","MISSISSAUGA--STREETSVILLE","032","U","MISSISSAUGA","26","100","51","3","0","0","0","180","435","Lisgar Middle School"
"051","MISSISSAUGA--STREETSVILLE","033","U","MISSISSAUGA","21","54","41","3","0","0","0","119","385","Lisgar Middle School"
"051","MISSISSAUGA--STREETSVILLE","034","U","MISSISSAUGA","19","115","69","10","1","0","0","214","507","Our Lady of Mount Carmel"
"051","MISSISSAUGA--STREETSVILLE","035","U","MISSISSAUGA","28","116","75","12","0","0","0","231","514","Our Lady of Mount Carmel"
"051","MISSISSAUGA--STREETSVILLE","036","U","MISSISSAUGA","11","82","64","8","0","0","0","165","496","Our Lady of Mount Carmel"
"051","MISSISSAUGA--STREETSVILLE","037","U","MISSISSAUGA","16","95","57","5","1","0","0","174","441","Meadowvale Secondary School"
"051","MISSISSAUGA--STREETSVILLE","038","U","MISSISSAUGA","10","75","42","7","0","0","0","134","400","Meadowvale Secondary School"
"051","MISSISSAUGA--STREETSVILLE","039","U","MISSISSAUGA","24","79","50","8","0","0","0","161","400","St. Simon Stock"
"051","MISSISSAUGA--STREETSVILLE","040","U","MISSISSAUGA","27","69","51","6","0","0","0","153","427","St. Simon Stock"
"051","MISSISSAUGA--STREETSVILLE","041","U","MISSISSAUGA","23","108","65","8","1","0","0","205","488","St. Simon Stock"
"051","MISSISSAUGA--STREETSVILLE","042","U","MISSISSAUGA","15","89","72","4","1","0","0","181","418","Our Lady of Mount Carmel"
"051","MISSISSAUGA--STREETSVILLE","043","U","MISSISSAUGA","25","94","60","5","0","1","0","185","580","Our Lady of Mount Carmel"
"051","MISSISSAUGA--STREETSVILLE","044","U","MISSISSAUGA","21","90","38","8","0","0","0","157","393","Our Lady of Mount Carmel"
"051","MISSISSAUGA--STREETSVILLE","045","U","MISSISSAUGA","39","97","40","8","0","0","0","184","446","Meadowvale Secondary School"
"051","MISSISSAUGA--STREETSVILLE","046","U","MISSISSAUGA","27","108","55","2","0","0","0","192","518","Meadowvale Secondary School"
"051","MISSISSAUGA--STREETSVILLE","047","U","MISSISSAUGA","18","67","54","2","0","0","0","141","424","St. Simon Stock"
"051","MISSISSAUGA--STREETSVILLE","048","U","MISSISSAUGA","16","63","23","5","0","0","0","107","414","Osprey Woods Public School"
"051","MISSISSAUGA--STREETSVILLE","049","U","MISSISSAUGA","28","81","35","2","1","0","0","147","385","St. Simon Stock"
"051","MISSISSAUGA--STREETSVILLE","050","U","MISSISSAUGA","14","55","38","7","0","0","0","114","380","St. Simon Stock"
"051","MISSISSAUGA--STREETSVILLE","051","U","MISSISSAUGA","39","114","70","6","4","0","0","233","547","Our Lady of Mount Carmel"
"051","MISSISSAUGA--STREETSVILLE","052","U","MISSISSAUGA","20","56","39","10","0","0","0","125","375","Our Lady of Mount Carmel"
"051","MISSISSAUGA--STREETSVILLE","053","U","MISSISSAUGA","17","101","41","9","0","0","0","168","462","Our Lady of Mount Carmel"
"051","MISSISSAUGA--STREETSVILLE","054","U","MISSISSAUGA","29","62","44","4","2","0","0","141","324","Miller's Grove Public School"
"051","MISSISSAUGA--STREETSVILLE","055","U","MISSISSAUGA","30","145","82","12","0","1","0","270","555","Miller's Grove Public School"
"051","MISSISSAUGA--STREETSVILLE","056","U","MISSISSAUGA","26","92","69","6","0","1","0","194","419","Osprey Woods Public School"
"051","MISSISSAUGA--STREETSVILLE","057","U","MISSISSAUGA","20","51","45","3","0","0","0","119","342","Osprey Woods Public School"
"051","MISSISSAUGA--STREETSVILLE","058","U","MISSISSAUGA","17","60","55","7","0","0","0","139","405","Osprey Woods Public School"
"051","MISSISSAUGA--STREETSVILLE","059","U","MISSISSAUGA","22","94","56","5","0","0","0","177","546","Osprey Woods Public School"
"051","MISSISSAUGA--STREETSVILLE","060","U","MISSISSAUGA","21","77","42","3","0","0","0","143","441","Osprey Woods Public School"
"051","MISSISSAUGA--STREETSVILLE","061","U","MISSISSAUGA","24","103","57","12","1","0","0","197","566","Osprey Woods Public School"
"051","MISSISSAUGA--STREETSVILLE","062","U","MISSISSAUGA","24","102","77","9","0","0","0","212","460","Miller's Grove Public School"
"051","MISSISSAUGA--STREETSVILLE","063","U","MISSISSAUGA","26","87","51","13","0","0","0","177","376","Miller's Grove Public School"
"051","MISSISSAUGA--STREETSVILLE","064","U","MISSISSAUGA","23","87","66","6","0","0","0","182","417","Miller's Grove Public School"
"051","MISSISSAUGA--STREETSVILLE","065","U","MISSISSAUGA","69","124","86","20","1","0","0","300","672","St. Richard Elementary School"
"051","MISSISSAUGA--STREETSVILLE","066","U","MISSISSAUGA","18","84","37","2","1","1","0","143","417","St. Richard Elementary School"
"051","MISSISSAUGA--STREETSVILLE","067","U","MISSISSAUGA","20","97","75","11","0","0","0","203","502","St. Richard Elementary School"
"051","MISSISSAUGA--STREETSVILLE","068","U","MISSISSAUGA","38","77","66","14","0","0","0","195","393","St. Richard Elementary School"
"051","MISSISSAUGA--STREETSVILLE","069","U","MISSISSAUGA","33","90","85","14","0","0","0","222","470","St. Richard Elementary School"
"051","MISSISSAUGA--STREETSVILLE","070","U","MISSISSAUGA","35","79","72","15","0","0","0","201","434","St. Richard Elementary School"
"051","MISSISSAUGA--STREETSVILLE","071","U","MISSISSAUGA","27","64","52","7","1","1","2","154","408","St. Richard Elementary School"
"051","MISSISSAUGA--STREETSVILLE","072","U","MISSISSAUGA","36","103","61","14","1","0","0","215","552","Shelter Bay Public School"
"051","MISSISSAUGA--STREETSVILLE","073","U","MISSISSAUGA","45","108","88","15","1","0","0","257","644","Shelter Bay Public School"
"051","MISSISSAUGA--STREETSVILLE","074","U","MISSISSAUGA","47","114","79","15","1","0","0","256","586","Shelter Bay Public School"
"051","MISSISSAUGA--STREETSVILLE","075","U","MISSISSAUGA","24","94","39","8","0","0","0","165","465","Shelter Bay Public School"
"051","MISSISSAUGA--STREETSVILLE","076","U","MISSISSAUGA","20","93","34","14","1","0","0","162","377","Maple Wood Public School"
"051","MISSISSAUGA--STREETSVILLE","077","U","MISSISSAUGA","35","78","62","10","0","0","0","185","446","Maple Wood Public School"
"051","MISSISSAUGA--STREETSVILLE","078","U","MISSISSAUGA","28","75","47","12","2","0","0","164","374","Maple Wood Public School"
"051","MISSISSAUGA--STREETSVILLE","079","U","MISSISSAUGA","24","64","44","4","0","0","0","136","493","Maple Wood Public School"
"051","MISSISSAUGA--STREETSVILLE","080","U","MISSISSAUGA","35","118","72","7","1","0","0","233","631","West Credit Secondary School"
"051","MISSISSAUGA--STREETSVILLE","081","U","MISSISSAUGA","38","93","44","11","0","0","0","186","797","Shelter Bay Public School"
"051","MISSISSAUGA--STREETSVILLE","082","U","MISSISSAUGA","32","65","30","11","0","1","0","139","643","West Credit Secondary School"
"051","MISSISSAUGA--STREETSVILLE","083","U","MISSISSAUGA","32","123","71","13","0","0","0","239","610","West Credit Secondary School"
"051","MISSISSAUGA--STREETSVILLE","084","U","MISSISSAUGA","27","49","30","6","0","0","0","112","485","West Credit Secondary School"
"051","MISSISSAUGA--STREETSVILLE","085","U","MISSISSAUGA","23","62","34","3","0","0","1","123","549","West Credit Secondary School"
"051","MISSISSAUGA--STREETSVILLE","086","U","MISSISSAUGA","32","80","34","5","0","0","0","151","641","Settler's Green Public School"
"051","MISSISSAUGA--STREETSVILLE","087","U","MISSISSAUGA","14","41","27","3","0","0","0","85","326","Plowman's Park Public School"
"051","MISSISSAUGA--STREETSVILLE","088","U","MISSISSAUGA","23","83","62","7","1","0","0","176","456","Settler's Green Public School"
"051","MISSISSAUGA--STREETSVILLE","089","U","MISSISSAUGA","45","104","58","8","0","1","0","216","525","Settler's Green Public School"
"051","MISSISSAUGA--STREETSVILLE","090","U","MISSISSAUGA","41","121","59","10","0","0","0","231","635","Plowman's Park Public School"
"051","MISSISSAUGA--STREETSVILLE","091","U","MISSISSAUGA","25","68","68","14","1","0","0","176","433","Plowman's Park Public School"
"051","MISSISSAUGA--STREETSVILLE","092","U","MISSISSAUGA","21","46","28","6","0","1","0","102","266","Settler's Green Public School"
"051","MISSISSAUGA--STREETSVILLE","093","U","MISSISSAUGA","39","95","60","12","0","0","0","206","421","Settler's Green Public School"
"051","MISSISSAUGA--STREETSVILLE","094","U","MISSISSAUGA","24","50","34","1","0","0","0","109","240","Plowman's Park Public School"
"051","MISSISSAUGA--STREETSVILLE","095","U","MISSISSAUGA","39","112","65","9","0","1","0","226","518","St. Elizabeth Seton"
"051","MISSISSAUGA--STREETSVILLE","096","U","MISSISSAUGA","23","87","54","7","0","0","0","171","442","Settler's Green Public School"
"051","MISSISSAUGA--STREETSVILLE","097","U","MISSISSAUGA","43","76","42","5","0","0","0","166","353","St. Elizabeth Seton"
"051","MISSISSAUGA--STREETSVILLE","098","U","MISSISSAUGA","28","55","42","9","2","0","0","136","357","St. Elizabeth Seton"
"051","MISSISSAUGA--STREETSVILLE","099","U","MISSISSAUGA","53","88","85","11","0","0","0","237","696","St. Elizabeth Seton"
"051","MISSISSAUGA--STREETSVILLE","100","U","MISSISSAUGA","22","37","44","5","0","0","0","108","356","St. Elizabeth Seton"
"051","MISSISSAUGA--STREETSVILLE","101","U","MISSISSAUGA","32","79","46","6","0","2","0","165","407","St. Elizabeth Seton"
"051","MISSISSAUGA--STREETSVILLE","102","U","MISSISSAUGA","23","101","45","18","2","0","0","189","421","Streetsville Secondary School"
"051","MISSISSAUGA--STREETSVILLE","103","U","MISSISSAUGA","29","81","33","6","0","0","0","149","444","Vista Heights Public School"
"051","MISSISSAUGA--STREETSVILLE","104","U","MISSISSAUGA","41","93","60","11","0","0","0","205","447","Streetsville Secondary School"
"051","MISSISSAUGA--STREETSVILLE","105","U","MISSISSAUGA","24","72","19","5","1","1","0","122","398","Streetsville Secondary School"
"051","MISSISSAUGA--STREETSVILLE","106","U","MISSISSAUGA","25","107","72","8","3","0","0","215","434","Vista Heights Public School"
"051","MISSISSAUGA--STREETSVILLE","107","U","MISSISSAUGA","24","83","70","7","0","0","1","185","412","Vista Heights Public School"
"051","MISSISSAUGA--STREETSVILLE","108","U","MISSISSAUGA","21","107","75","9","0","0","0","212","493","Vista Heights Public School"
"051","MISSISSAUGA--STREETSVILLE","109","U","MISSISSAUGA","33","124","63","15","1","0","0","236","517","Streetsville Secondary School"
"051","MISSISSAUGA--STREETSVILLE","110","U","MISSISSAUGA","30","64","35","6","0","0","0","135","377","St. Joseph Elementary School"
"051","MISSISSAUGA--STREETSVILLE","111","U","MISSISSAUGA","22","74","35","2","0","0","0","133","460","Vista Heights Public School"
"051","MISSISSAUGA--STREETSVILLE","112","U","MISSISSAUGA","26","97","75","6","0","0","0","204","670","Vista Heights Public School"
"051","MISSISSAUGA--STREETSVILLE","113","U","MISSISSAUGA","16","124","36","3","0","2","0","181","432","Streetsville Secondary School"
"051","MISSISSAUGA--STREETSVILLE","114","U","MISSISSAUGA","30","100","64","9","1","0","0","204","483","Streetsville Secondary School"
"051","MISSISSAUGA--STREETSVILLE","115","U","MISSISSAUGA","11","65","81","1","0","0","0","158","556","Portico Community Church"
"051","MISSISSAUGA--STREETSVILLE","116","U","MISSISSAUGA","11","85","71","2","0","0","0","169","591","Portico Community Church"
"051","MISSISSAUGA--STREETSVILLE","117","U","MISSISSAUGA","13","81","58","1","0","1","0","154","693","Portico Community Church"
"051","MISSISSAUGA--STREETSVILLE","118","U","MISSISSAUGA","15","88","70","1","0","0","0","174","542","Portico Community Church"
"051","MISSISSAUGA--STREETSVILLE","119","U","MISSISSAUGA","39","61","62","7","0","0","0","169","462","Ray Underhill Public School"
"051","MISSISSAUGA--STREETSVILLE","120","U","MISSISSAUGA","36","76","47","7","0","0","0","166","482","Ray Underhill Public School"
"051","MISSISSAUGA--STREETSVILLE","121","U","MISSISSAUGA","28","81","48","9","1","0","0","167","415","Ray Underhill Public School"
"051","MISSISSAUGA--STREETSVILLE","122","U","MISSISSAUGA","23","76","72","9","0","0","0","180","422","Britannia Public School"
"051","MISSISSAUGA--STREETSVILLE","123","U","MISSISSAUGA","17","97","64","9","0","0","0","187","463","Ray Underhill Public School"
"051","MISSISSAUGA--STREETSVILLE","124","U","MISSISSAUGA","29","122","86","16","0","1","0","254","509","Ray Underhill Public School"
"051","MISSISSAUGA--STREETSVILLE","125","U","MISSISSAUGA","19","105","64","7","1","0","0","196","536","Ray Underhill Public School"
"051","MISSISSAUGA--STREETSVILLE","126","U","MISSISSAUGA","16","120","79","5","1","0","0","221","424","Ray Underhill Public School"
"051","MISSISSAUGA--STREETSVILLE","127","U","MISSISSAUGA","22","106","51","4","0","1","0","184","578","Ray Underhill Public School"
"051","MISSISSAUGA--STREETSVILLE","128","U","MISSISSAUGA","28","99","55","12","2","0","0","196","497","St. Joseph Elementary School"
"051","MISSISSAUGA--STREETSVILLE","129","U","MISSISSAUGA","21","87","52","4","0","0","0","164","497","Our Lady of Good Voyage"
"051","MISSISSAUGA--STREETSVILLE","130","U","MISSISSAUGA","28","103","62","8","0","0","0","201","536","Willow Way Public School"
"051","MISSISSAUGA--STREETSVILLE","131","U","MISSISSAUGA","33","125","56","10","0","0","0","224","524","Our Lady of Good Voyage"
"051","MISSISSAUGA--STREETSVILLE","132","U","MISSISSAUGA","29","118","40","3","2","0","0","192","603","Our Lady of Good Voyage"
"051","MISSISSAUGA--STREETSVILLE","133","U","MISSISSAUGA","25","98","51","2","0","0","0","176","513","Willow Way Public School"
"051","MISSISSAUGA--STREETSVILLE","134","U","MISSISSAUGA","28","111","32","0","2","0","0","173","549","Willow Way Public School"
"051","MISSISSAUGA--STREETSVILLE","135","U","MISSISSAUGA","36","86","38","5","0","0","0","165","513","Willow Way Public School"
"051","MISSISSAUGA--STREETSVILLE","136","U","MISSISSAUGA","39","85","45","5","0","0","0","174","522","Willow Way Public School"
"051","MISSISSAUGA--STREETSVILLE","137","U","MISSISSAUGA","32","79","39","7","0","0","0","157","427","St. Joseph Elementary School"
"051","MISSISSAUGA--STREETSVILLE","138","U","MISSISSAUGA","13","93","67","5","0","0","0","178","482","St. Dunstan Elementary School"
"051","MISSISSAUGA--STREETSVILLE","139","U","MISSISSAUGA","21","109","59","6","0","0","0","195","523","St. Dunstan Elementary School"
"051","MISSISSAUGA--STREETSVILLE","140","U","MISSISSAUGA","21","114","62","8","0","1","0","206","493","St. Dunstan Elementary School"
"051","MISSISSAUGA--STREETSVILLE","141","U","MISSISSAUGA","12","106","66","9","2","1","0","196","444","Portico Community Church"
"051","MISSISSAUGA--STREETSVILLE","142","U","MISSISSAUGA","26","78","50","6","1","0","0","161","400","St. Dunstan Elementary School"
"051","MISSISSAUGA--STREETSVILLE","143","U","MISSISSAUGA","35","99","62","2","0","1","0","199","470","St. Dunstan Elementary School"
"051","MISSISSAUGA--STREETSVILLE","144","U","MISSISSAUGA","24","91","39","5","0","0","0","159","450","St. Gregory Secondary School"
"051","MISSISSAUGA--STREETSVILLE","145","U","MISSISSAUGA","29","98","49","3","0","0","0","179","507","St. Gregory Secondary School"
"051","MISSISSAUGA--STREETSVILLE","146","U","MISSISSAUGA","12","87","23","2","0","0","0","124","427","St. Gregory Secondary School"
"051","MISSISSAUGA--STREETSVILLE","147","U","MISSISSAUGA","23","92","44","1","0","1","0","161","460","St. Gregory Secondary School"
"051","MISSISSAUGA--STREETSVILLE","148","U","MISSISSAUGA","14","113","37","5","0","0","0","169","490","St. Gregory Secondary School"
"051","MISSISSAUGA--STREETSVILLE","149","U","MISSISSAUGA","19","119","44","1","1","0","1","185","501","Britannia Public School"
"051","MISSISSAUGA--STREETSVILLE","150","U","MISSISSAUGA","16","76","37","5","1","0","0","135","418","Britannia Public School"
"051","MISSISSAUGA--STREETSVILLE","151","U","MISSISSAUGA","22","110","41","10","0","0","0","183","454","Britannia Public School"
"051","MISSISSAUGA--STREETSVILLE","152","U","MISSISSAUGA","19","115","41","4","1","0","0","180","581","Britannia Public School"
"051","MISSISSAUGA--STREETSVILLE","153","U","MISSISSAUGA","29","75","33","3","1","0","0","141","481","St. Gregory Secondary School"
"051","MISSISSAUGA--STREETSVILLE","154","U","MISSISSAUGA","44","117","36","1","0","2","0","200","654","Britannia Public School"
"051","MISSISSAUGA--STREETSVILLE","155","U","MISSISSAUGA","24","115","35","2","1","0","0","177","519","St. Gregory Secondary School"
"051","MISSISSAUGA--STREETSVILLE","156","U","MISSISSAUGA","21","55","24","0","0","0","0","100","117","Our Lady of Good Voyage"
"051","MISSISSAUGA--STREETSVILLE","157","U","MISSISSAUGA","38","54","30","5","0","0","0","127","397","Our Lady of Good Voyage"
"051","MISSISSAUGA--STREETSVILLE","158","U","MISSISSAUGA","27","47","23","3","1","0","0","101","771","Our Lady of Good Voyage"
"051","MISSISSAUGA--STREETSVILLE","159","U","MISSISSAUGA","39","53","35","2","0","0","0","129","472","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","160","U","MISSISSAUGA","28","55","19","2","0","0","0","104","431","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","161","U","MISSISSAUGA","38","72","18","4","0","0","0","132","553","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","162","U","MISSISSAUGA","35","64","59","6","1","0","0","165","455","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","163","U","MISSISSAUGA","25","102","52","7","0","0","0","186","533","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","164","U","MISSISSAUGA","37","83","33","3","0","0","0","156","453","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","165","U","MISSISSAUGA","33","68","35","2","0","0","1","139","434","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","166","U","MISSISSAUGA","24","75","45","5","0","0","0","149","446","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","167","U","MISSISSAUGA","24","93","44","5","0","0","0","166","524","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","168","U","MISSISSAUGA","16","33","9","1","0","0","0","59","286","Whitehorn Public School"
"051","MISSISSAUGA--STREETSVILLE","169","U","MISSISSAUGA","16","55","18","1","0","0","0","90","408","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","170","U","MISSISSAUGA","13","58","24","5","0","0","0","100","413","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","171","U","MISSISSAUGA","28","67","30","4","1","0","0","130","470","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","172","U","MISSISSAUGA","19","40","22","0","2","0","0","83","346","Sherwood Mills Public School"
"051","MISSISSAUGA--STREETSVILLE","173","U","MISSISSAUGA","28","79","56","3","0","0","0","166","518","Sherwood Mills Public School"
"051","MISSISSAUGA--STREETSVILLE","174","U","MISSISSAUGA","27","79","50","8","2","0","0","166","521","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","175","U","MISSISSAUGA","33","83","30","5","0","0","0","151","450","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","176","U","MISSISSAUGA","26","80","34","5","0","1","0","146","526","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","177","U","MISSISSAUGA","19","95","48","2","0","1","2","167","527","Sherwood Mills Public School"
"051","MISSISSAUGA--STREETSVILLE","178","U","MISSISSAUGA","23","101","65","6","2","0","0","197","556","Sherwood Mills Public School"
"051","MISSISSAUGA--STREETSVILLE","179","U","MISSISSAUGA","37","102","52","3","1","0","0","195","526","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","180","U","MISSISSAUGA","34","101","39","7","1","0","0","182","476","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","181","U","MISSISSAUGA","36","83","44","8","1","1","0","173","456","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","182","U","MISSISSAUGA","21","74","66","2","0","2","0","165","431","Sherwood Mills Public School"
"051","MISSISSAUGA--STREETSVILLE","183","U","MISSISSAUGA","19","39","22","7","0","0","0","87","348","Sherwood Mills Public School"
"051","MISSISSAUGA--STREETSVILLE","184","U","MISSISSAUGA","33","103","44","8","1","0","0","189","509","Rick Hansen Secondary School"
"051","MISSISSAUGA--STREETSVILLE","700","U","MISSISSAUGA","9","51","17","1","2","1","0","81","120","Edenwood Seniors Village"
"051","MISSISSAUGA--STREETSVILLE","701","U","MISSISSAUGA","34","115","33","1","2","0","0","185","324","Heritage Square Apartments (I)"
"051","MISSISSAUGA--STREETSVILLE","702","U","MISSISSAUGA","..........................NO POLL HELD..........................","","","","","","","","",""
"051","MISSISSAUGA--STREETSVILLE","ADV001","U","MISSISSAUGA","86","309","275","36","0","0","0","706","0","Returning Office / Bureau du directeur du scrutin"
"051","MISSISSAUGA--STREETSVILLE","ADV002","U","MISSISSAUGA","26","126","97","6","0","0","0","255","0","Special Ballot Voting / Vote par bulletin spécial"
"051","MISSISSAUGA--STREETSVILLE","ADV003","U","MISSISSAUGA","249","1154","587","66","4","1","1","2062","0","Meadowvale Community Centre"
"051","MISSISSAUGA--STREETSVILLE","ADV004","U","MISSISSAUGA","211","903","515","34","1","1","0","1665","0","River Grove Community Centre"
"TOTALS:","","","","","5494","18591","10655","1329","80","34","11","36194","87297",""
