"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BUSSMANN","CANSFIELD","DEMONTE-WHELAN","MILLICAN","RENDA","RIVERO","SAN JUAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"023","ETOBICOKE CENTRE","035","U","TORONTO","0","40","32","0","0","10","1","0","0","0","83","210","St. Andrew's Presbyterian Church"
"023","ETOBICOKE CENTRE","036","U","TORONTO","2","104","55","0","2","21","5","0","0","0","189","384","Valleyfield Public School"
"023","ETOBICOKE CENTRE","037","U","TORONTO","1","84","67","0","1","14","2","2","0","0","171","314","Valleyfield Public School"
"023","ETOBICOKE CENTRE","038","U","TORONTO","1","90","58","0","0","24","1","1","0","0","175","329","Valleyfield Public School"
"023","ETOBICOKE CENTRE","039","U","TORONTO","1","91","46","1","0","7","4","1","1","0","152","338","Father Serra Catholic School- Gym"
"023","ETOBICOKE CENTRE","040","U","TORONTO","0","68","64","1","0","24","3","1","0","0","161","357","Father Serra Catholic School- Gym"
"023","ETOBICOKE CENTRE","041","U","TORONTO","5","95","50","0","1","14","5","2","0","0","172","366","St. Andrew's Presbyterian Church"
"023","ETOBICOKE CENTRE","042","U","TORONTO","1","55","40","1","3","13","2","0","0","0","115","253","St. Andrew's Presbyterian Church"
"023","ETOBICOKE CENTRE","043","U","TORONTO","1","78","20","5","1","39","2","0","0","0","146","410","St. Andrew's Presbyterian Church"
"023","ETOBICOKE CENTRE","044","U","TORONTO","1","88","65","0","0","20","5","5","0","0","184","398","St. Andrew's Presbyterian Church"
"023","ETOBICOKE CENTRE","045","U","TORONTO","4","134","74","0","2","13","4","0","0","0","231","456","Father Serra Catholic School- Gym"
"023","ETOBICOKE CENTRE","046","U","TORONTO","4","101","59","1","0","20","1","3","0","0","189","365","Father Serra Catholic School- Gym"
"023","ETOBICOKE CENTRE","047","U","TORONTO","2","89","40","1","2","12","2","0","0","0","148","307","Father Serra Catholic School- Gym"
"023","ETOBICOKE CENTRE","048","U","TORONTO","0","80","52","1","2","13","2","2","0","0","152","351","Westmount Junior School"
"023","ETOBICOKE CENTRE","049","U","TORONTO","6","112","57","0","1","20","8","2","0","0","206","560","Westmount Junior School"
"023","ETOBICOKE CENTRE","050","U","TORONTO","3","99","56","1","1","9","8","2","0","0","179","356","Father Serra Catholic School- Gym"
"023","ETOBICOKE CENTRE","051","U","TORONTO","2","135","77","3","0","13","1","0","0","0","231","470","Father Serra Catholic School- Gym"
"023","ETOBICOKE CENTRE","052","U","TORONTO","2","86","42","0","0","24","1","0","0","0","155","318","Westmount Junior School"
"023","ETOBICOKE CENTRE","053","U","TORONTO","4","128","69","3","0","14","3","4","0","0","225","425","Westmount Junior School"
"023","ETOBICOKE CENTRE","054","U","TORONTO","1","88","50","2","2","28","2","0","0","1","174","436","Westmount Junior School"
"023","ETOBICOKE CENTRE","055","U","TORONTO","1","52","45","0","2","23","2","1","0","0","126","328","St. Demetrius Catholic School"
"023","ETOBICOKE CENTRE","056","U","TORONTO","1","56","16","0","0","29","0","1","0","2","105","412","St. Demetrius Catholic School"
"023","ETOBICOKE CENTRE","057","U","TORONTO","0","79","54","0","0","30","2","1","0","0","166","371","Briarcrest Public School"
"023","ETOBICOKE CENTRE","058","U","TORONTO","3","86","73","0","0","23","1","0","0","0","186","361","Briarcrest Public School"
"023","ETOBICOKE CENTRE","059","U","TORONTO","1","95","58","2","0","23","5","0","0","0","184","452","Briarcrest Public School"
"023","ETOBICOKE CENTRE","060","U","TORONTO","2","76","69","1","1","23","8","0","0","0","180","323","Briarcrest Public School"
"023","ETOBICOKE CENTRE","061","U","TORONTO","0","131","60","5","0","23","5","1","0","0","225","484","Briarcrest Public School"
"023","ETOBICOKE CENTRE","062","U","TORONTO","0","84","80","0","0","29","4","0","0","0","197","435","Briarcrest Public School"
"023","ETOBICOKE CENTRE","063","U","TORONTO","0","77","66","2","0","32","3","1","1","0","182","362","Briarcrest Public School"
"023","ETOBICOKE CENTRE","064","U","TORONTO","0","81","55","1","0","40","2","0","0","0","179","446","Centennial Park Place"
"023","ETOBICOKE CENTRE","065","U","TORONTO","3","103","74","1","0","22","5","1","0","0","209","486","Briarcrest Public School"
"023","ETOBICOKE CENTRE","066","U","TORONTO","2","66","53","0","0","26","2","0","0","0","149","347","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","067","U","TORONTO","0","83","60","0","0","24","1","0","0","0","168","364","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","068","U","TORONTO","3","63","49","3","0","22","1","1","0","0","142","387","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","069","U","TORONTO","2","74","40","2","0","33","9","1","0","0","161","379","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","070","U","TORONTO","1","102","59","2","0","26","2","2","0","0","194","380","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","071","U","TORONTO","2","75","53","3","0","23","6","4","0","1","167","365","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","072","U","TORONTO","1","65","38","2","1","15","2","1","0","0","125","333","Mill Valley Public School"
"023","ETOBICOKE CENTRE","073","U","TORONTO","1","79","43","0","0","23","4","1","0","0","151","337","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","074","U","TORONTO","2","105","38","0","2","33","4","0","0","0","184","520","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","075","U","TORONTO","3","121","71","2","0","30","4","2","0","0","233","401","Mill Valley Public School"
"023","ETOBICOKE CENTRE","076","U","TORONTO","0","88","38","0","1","12","4","1","1","1","146","279","Mill Valley Public School"
"023","ETOBICOKE CENTRE","077","U","TORONTO","1","98","53","3","1","23","2","0","0","0","181","353","Mill Valley Public School"
"023","ETOBICOKE CENTRE","078","U","TORONTO","0","82","49","0","0","10","12","0","0","0","153","301","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","079","U","TORONTO","0","97","62","0","2","19","4","2","0","0","186","363","Mill Valley Public School"
"023","ETOBICOKE CENTRE","080","U","TORONTO","0","83","50","6","0","12","4","1","0","0","156","326","Mill Valley Public School"
"023","ETOBICOKE CENTRE","081","U","TORONTO","1","83","35","0","0","29","2","1","1","0","152","327","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","082","U","TORONTO","1","107","63","2","0","22","7","2","0","1","205","435","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","083","U","TORONTO","1","40","24","0","0","13","2","2","0","0","82","205","Nativity of Our Lord Church"
"023","ETOBICOKE CENTRE","084","U","TORONTO","0","75","66","0","0","28","3","1","0","0","173","457","Mill Valley Public School"
"023","ETOBICOKE CENTRE","085","U","TORONTO","2","80","47","2","0","25","5","3","0","1","165","408","Mill Valley Public School"
"023","ETOBICOKE CENTRE","086","U","TORONTO","0","99","56","0","0","21","7","0","0","0","183","347","St. Philip's Lutheran Church"
"023","ETOBICOKE CENTRE","087","U","TORONTO","3","82","59","2","0","21","3","1","0","0","171","320","Princess Margaret School"
"023","ETOBICOKE CENTRE","088","U","TORONTO","0","130","88","1","0","8","10","4","0","0","241","464","Princess Margaret School"
"023","ETOBICOKE CENTRE","089","U","TORONTO","0","73","43","1","0","36","5","0","0","0","158","592","Princess Margaret School"
"023","ETOBICOKE CENTRE","090","U","TORONTO","5","87","71","3","0","12","6","0","0","0","184","363","Princess Margaret School"
"023","ETOBICOKE CENTRE","091","U","TORONTO","1","95","86","2","0","14","3","0","0","0","201","379","Princess Margaret School"
"023","ETOBICOKE CENTRE","092","U","TORONTO","1","86","74","1","1","11","0","0","0","0","174","378","St. George's Public School"
"023","ETOBICOKE CENTRE","093","U","TORONTO","1","105","85","0","1","11","1","2","0","0","206","401","St. George's Public School"
"023","ETOBICOKE CENTRE","094","U","TORONTO","1","85","67","4","0","23","6","1","0","0","187","341","Princess Margaret School"
"023","ETOBICOKE CENTRE","095","U","TORONTO","1","78","66","1","0","6","3","0","0","0","155","336","St. George's Public School"
"023","ETOBICOKE CENTRE","096","U","TORONTO","0","60","55","0","0","12","3","0","0","0","130","243","John G Althouse Public School"
"023","ETOBICOKE CENTRE","097","U","TORONTO","1","63","55","1","0","25","3","1","0","0","149","307","John G Althouse Public School"
"023","ETOBICOKE CENTRE","098","U","TORONTO","0","65","40","0","0","16","5","0","0","0","126","299","John G Althouse Public School"
"023","ETOBICOKE CENTRE","099","U","TORONTO","1","75","43","1","0","18","1","0","0","0","139","300","St. Philip's Lutheran Church"
"023","ETOBICOKE CENTRE","100","U","TORONTO","2","86","89","0","0","2","6","0","0","0","185","368","St. George's Public School"
"023","ETOBICOKE CENTRE","101","U","TORONTO","0","67","56","0","0","10","3","0","0","0","136","262","St. Philip's Lutheran Church"
"023","ETOBICOKE CENTRE","102","U","TORONTO","0","116","65","1","1","12","3","0","1","0","199","318","John G Althouse Public School"
"023","ETOBICOKE CENTRE","103","U","TORONTO","0","116","79","0","1","15","6","0","0","0","217","390","John G Althouse Public School"
"023","ETOBICOKE CENTRE","104","U","TORONTO","2","104","83","1","0","10","1","0","0","0","201","403","St. George's Public School"
"023","ETOBICOKE CENTRE","105","U","TORONTO","1","67","43","1","1","20","4","0","0","0","137","351","St. Philip's Lutheran Church"
"023","ETOBICOKE CENTRE","106","U","TORONTO","1","60","40","4","0","18","5","2","0","0","130","249","John G Althouse Public School"
"023","ETOBICOKE CENTRE","107","U","TORONTO","0","75","63","1","0","8","5","1","0","0","153","323","John G Althouse Public School"
"023","ETOBICOKE CENTRE","108","U","TORONTO","0","78","92","0","0","2","1","0","0","0","173","392","St. George's Public School"
"023","ETOBICOKE CENTRE","109","U","TORONTO","0","84","82","1","0","9","7","0","0","0","183","376","Rosethorn Public School"
"023","ETOBICOKE CENTRE","110","U","TORONTO","2","94","83","0","1","5","3","0","1","0","189","406","St. George's Public School"
"023","ETOBICOKE CENTRE","111","U","TORONTO","2","102","48","1","1","26","7","0","0","0","187","439","St. Philip's Lutheran Church"
"023","ETOBICOKE CENTRE","112","U","TORONTO","2","78","77","0","0","19","3","1","0","0","180","339","St. Philip's Lutheran Church"
"023","ETOBICOKE CENTRE","113","U","TORONTO","0","76","35","2","0","19","3","0","0","0","135","252","Rosethorn Public School"
"023","ETOBICOKE CENTRE","114","U","TORONTO","1","77","55","0","0","16","3","0","0","0","152","284","Rosethorn Public School"
"023","ETOBICOKE CENTRE","115","U","TORONTO","0","84","76","0","0","8","3","1","0","0","172","406","St. George's Public School"
"023","ETOBICOKE CENTRE","116","U","TORONTO","0","69","53","0","0","7","0","1","0","0","130","347","St. Demetrius Catholic School"
"023","ETOBICOKE CENTRE","117","U","TORONTO","1","95","50","0","2","16","4","3","0","0","171","474","St. Demetrius Catholic School"
"023","ETOBICOKE CENTRE","118","U","TORONTO","6","63","83","5","2","40","3","3","0","0","205","586","St. Demetrius Catholic School"
"023","ETOBICOKE CENTRE","119","U","TORONTO","1","67","57","2","0","29","2","0","0","0","158","387","Bloordale United Church"
"023","ETOBICOKE CENTRE","120","U","TORONTO","0","91","48","0","1","15","3","1","0","0","159","308","St. Demetrius Catholic School"
"023","ETOBICOKE CENTRE","121","U","TORONTO","1","52","74","0","0","12","0","2","0","0","141","366","St. George's Public School"
"023","ETOBICOKE CENTRE","122","U","TORONTO","0","107","57","1","2","9","5","3","0","0","184","322","St. Demetrius Catholic School"
"023","ETOBICOKE CENTRE","123","U","TORONTO","0","51","92","0","0","3","5","1","0","0","152","340","Humber Valley Village Public School"
"023","ETOBICOKE CENTRE","124","U","TORONTO","1","79","69","2","0","10","3","1","0","0","165","442","St. Demetrius Catholic School"
"023","ETOBICOKE CENTRE","125","U","TORONTO","0","99","77","1","0","18","2","0","1","0","198","503","St. Demetrius Catholic School"
"023","ETOBICOKE CENTRE","126","U","TORONTO","0","72","63","0","1","7","2","1","0","0","146","353","Humber Valley Village Public School"
"023","ETOBICOKE CENTRE","127","U","TORONTO","1","108","77","0","0","5","3","0","0","0","194","344","Humber Valley Village Public School"
"023","ETOBICOKE CENTRE","128","U","TORONTO","0","111","86","0","1","8","8","0","0","0","214","413","Humber Valley Village Public School"
"023","ETOBICOKE CENTRE","129","U","TORONTO","0","65","57","0","0","12","2","0","0","0","136","299","Humber Valley Village Public School"
"023","ETOBICOKE CENTRE","130","U","TORONTO","1","70","36","0","1","43","5","0","0","0","156","467","Humber Valley Village Public School"
"023","ETOBICOKE CENTRE","131","U","TORONTO","3","96","68","0","1","11","8","0","0","0","187","460","St. Giles Kingsway Presbyterian Church"
"023","ETOBICOKE CENTRE","132","U","TORONTO","0","89","90","0","0","6","0","0","0","0","185","385","Humber Valley Village Public School"
"023","ETOBICOKE CENTRE","133","U","TORONTO","2","106","82","0","0","29","4","0","0","0","223","498","St. Giles Kingsway Presbyterian Church"
"023","ETOBICOKE CENTRE","134","U","TORONTO","3","74","47","2","0","5","3","2","0","0","136","322","St. Giles Kingsway Presbyterian Church"
"023","ETOBICOKE CENTRE","135","U","TORONTO","0","74","65","2","0","10","1","0","0","0","152","281","St. Giles Kingsway Presbyterian Church"
"023","ETOBICOKE CENTRE","136","U","TORONTO","0","111","72","0","0","14","3","0","0","0","200","436","St. Giles Kingsway Presbyterian Church"
"023","ETOBICOKE CENTRE","137","U","TORONTO","2","92","58","0","0","19","5","1","0","0","177","385","St. Giles Kingsway Presbyterian Church"
"023","ETOBICOKE CENTRE","138","U","TORONTO","2","96","54","0","0","12","4","0","0","0","168","344","St. Giles Kingsway Presbyterian Church"
"023","ETOBICOKE CENTRE","139","U","TORONTO","3","69","14","0","0","29","1","0","0","3","119","429","Burnhamthorpe Adult Learning Centre"
"023","ETOBICOKE CENTRE","140","U","TORONTO","2","76","55","2","1","27","3","0","0","0","166","434","Burnhamthorpe Adult Learning Centre"
"023","ETOBICOKE CENTRE","141","U","TORONTO","1","92","42","0","0","9","3","1","0","0","148","350","Burnhamthorpe Adult Learning Centre"
"023","ETOBICOKE CENTRE","142","U","TORONTO","2","72","40","1","0","8","3","0","0","0","126","303","Burnhamthorpe Adult Learning Centre"
"023","ETOBICOKE CENTRE","143","U","TORONTO","1","69","64","1","0","16","4","1","0","0","156","347","Burnhamthorpe Adult Learning Centre"
"023","ETOBICOKE CENTRE","144","U","TORONTO","1","112","72","0","1","24","1","0","0","0","211","395","Rosethorn Public School"
"023","ETOBICOKE CENTRE","145","U","TORONTO","0","100","66","1","0","9","4","2","0","0","182","380","Rosethorn Public School"
"023","ETOBICOKE CENTRE","146","U","TORONTO","1","121","98","0","0","17","3","1","0","0","241","462","Rosethorn Public School"
"023","ETOBICOKE CENTRE","147","U","TORONTO","2","53","31","0","1","6","4","0","0","0","97","402","Burnhamthorpe Adult Learning Centre"
"023","ETOBICOKE CENTRE","148","U","TORONTO","4","81","34","2","0","21","11","2","1","0","156","329","Burnhamthorpe Adult Learning Centre"
"023","ETOBICOKE CENTRE","149","U","TORONTO","0","63","70","0","1","14","2","0","0","0","150","373","Burnhamthorpe Adult Learning Centre"
"023","ETOBICOKE CENTRE","150","U","TORONTO","0","97","69","2","0","20","6","0","0","0","194","424","Burnhamthorpe Adult Learning Centre"
"023","ETOBICOKE CENTRE","151","U","TORONTO","2","100","68","2","0","10","2","0","0","0","184","396","Rosethorn Public School"
"023","ETOBICOKE CENTRE","152","U","TORONTO","0","107","87","1","0","10","2","0","0","0","207","411","Rosethorn Public School"
"023","ETOBICOKE CENTRE","153","U","TORONTO","0","119","72","0","0","3","1","2","0","0","197","360","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","154","U","TORONTO","3","65","48","1","0","19","3","1","2","0","142","304","Eatonville Public School"
"023","ETOBICOKE CENTRE","155","U","TORONTO","2","121","56","4","3","28","8","1","1","0","224","462","Eatonville Public School"
"023","ETOBICOKE CENTRE","156","U","TORONTO","2","42","13","0","1","22","2","0","0","0","82","325","Eatonville Public School"
"023","ETOBICOKE CENTRE","157","U","TORONTO","4","110","86","1","0","7","7","1","0","0","216","499","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","158","U","TORONTO","0","113","47","0","0","10","7","0","1","2","180","309","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","159","U","TORONTO","3","133","87","1","1","14","7","0","0","0","246","482","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","160","U","TORONTO","0","96","63","1","0","15","6","2","0","0","183","319","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","161","U","TORONTO","1","88","56","0","0","10","2","0","0","0","157","309","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","162","U","TORONTO","2","77","70","0","0","10","3","1","0","0","163","303","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","163","U","TORONTO","1","54","36","0","0","25","1","1","0","0","118","252","Eatonville Public School"
"023","ETOBICOKE CENTRE","164","U","TORONTO","3","70","42","0","1","41","5","0","0","0","162","465","Eatonville Public School"
"023","ETOBICOKE CENTRE","165","U","TORONTO","2","50","9","0","0","28","3","0","0","0","92","468","Eatonville Public School"
"023","ETOBICOKE CENTRE","166","U","TORONTO","0","92","49","0","0","22","3","0","0","0","166","394","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","167","U","TORONTO","0","91","62","2","1","18","4","2","0","0","180","320","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","168","U","TORONTO","4","87","41","0","0","8","2","0","0","0","142","284","Bloordale United Church"
"023","ETOBICOKE CENTRE","169","U","TORONTO","0","39","44","1","0","14","2","0","0","0","100","218","Bloordale United Church"
"023","ETOBICOKE CENTRE","170","U","TORONTO","1","41","28","0","0","30","3","1","0","0","104","351","Bloordale United Church"
"023","ETOBICOKE CENTRE","171","U","TORONTO","0","127","73","0","0","8","4","0","0","0","212","385","Millwood Junior Public School"
"023","ETOBICOKE CENTRE","172","U","TORONTO","4","76","68","2","1","22","2","0","0","0","175","339","Bloordale United Church"
"023","ETOBICOKE CENTRE","400","U","TORONTO","3","103","55","1","0","51","1","2","0","0","216","457","Tiffany Place"
"023","ETOBICOKE CENTRE","401","U","TORONTO","8","62","6","0","1","22","0","1","0","0","100","223","Scarlett Road Manor"
"023","ETOBICOKE CENTRE","402","U","TORONTO","8","104","7","1","2","29","3","1","0","0","155","457","Willowridge Community Housing"
"023","ETOBICOKE CENTRE","403","U","TORONTO","9","46","8","2","1","12","2","1","0","0","81","277","Willowridge Community Housing"
"023","ETOBICOKE CENTRE","404","U","TORONTO","6","42","14","1","0","17","4","0","0","0","84","170","Richgrove Place"
"023","ETOBICOKE CENTRE","405","U","TORONTO","2","40","9","0","1","30","0","0","0","3","85","178","Richgrove Place - Front Lobby"
"023","ETOBICOKE CENTRE","406","U","TORONTO","4","101","42","0","0","30","2","0","0","0","179","395","Huntingwood Place - B1 Library"
"023","ETOBICOKE CENTRE","407","U","TORONTO","2","90","50","3","1","40","4","0","0","0","190","368","Huntingwood Place -B1 Library 1"
"023","ETOBICOKE CENTRE","408","U","TORONTO","3","87","41","0","1","31","2","0","0","0","165","397","Huntingwood Place - B1 Library 2"
"023","ETOBICOKE CENTRE","409","U","TORONTO","4","123","104","1","0","16","5","2","0","0","255","394","Widdicombe Place-Party Room B1"
"023","ETOBICOKE CENTRE","410","U","TORONTO","2","75","61","1","1","34","3","1","0","0","178","353","Squires Apartments"
"023","ETOBICOKE CENTRE","411","U","TORONTO","1","57","36","0","1","23","7","0","1","0","126","221","Royal Gate Apartments"
"023","ETOBICOKE CENTRE","412","U","TORONTO","2","78","41","1","0","20","4","4","0","0","150","306","Royal York Grande"
"023","ETOBICOKE CENTRE","413","U","TORONTO","4","80","35","1","0","28","7","1","0","0","156","328","The Royal Rose Apartments"
"023","ETOBICOKE CENTRE","414","U","TORONTO","3","48","22","1","4","33","1","4","0","0","116","249","Roseglen Apartments - Lower Room"
"023","ETOBICOKE CENTRE","415","U","TORONTO","0","49","24","0","0","8","0","0","0","0","81","141","The Sovereign"
"023","ETOBICOKE CENTRE","416","U","TORONTO","4","130","43","2","0","39","3","1","0","0","222","449","Humber Hill Towers"
"023","ETOBICOKE CENTRE","417","U","TORONTO","4","67","57","0","0","22","1","1","0","0","152","275","Humberview Heights - Card Room"
"023","ETOBICOKE CENTRE","418","U","TORONTO","7","77","44","1","0","31","3","3","1","0","167","458","Richview Terrace 1B"
"023","ETOBICOKE CENTRE","419","U","TORONTO","2","93","78","3","2","40","8","0","0","0","226","402","Top of the Humber"
"023","ETOBICOKE CENTRE","420","U","TORONTO","2","56","35","1","0","29","2","0","0","0","125","323","Richview Gardens"
"023","ETOBICOKE CENTRE","421","U","TORONTO","2","39","24","0","0","23","6","0","0","0","94","293","Fontenay Court"
"023","ETOBICOKE CENTRE","422","U","TORONTO","1","74","50","1","0","34","6","0","0","0","166","404","The Buckingham - 714 YCC202"
"023","ETOBICOKE CENTRE","423","U","TORONTO","4","91","29","0","2","25","2","2","0","0","155","377","The Buckingham - 714 YCC202"
"023","ETOBICOKE CENTRE","424","U","TORONTO","2","91","49","2","0","37","3","0","1","0","185","466","Summit Royale"
"023","ETOBICOKE CENTRE","425","U","TORONTO","1","96","44","0","1","54","5","0","2","0","203","481","Summit Royale"
"023","ETOBICOKE CENTRE","426","U","TORONTO","11","98","62","0","0","49","6","3","0","0","229","490","The Grange YCC26"
"023","ETOBICOKE CENTRE","427","U","TORONTO","2","68","25","1","2","38","4","1","1","0","142","403","Lincoln Towers"
"023","ETOBICOKE CENTRE","428","U","TORONTO","5","94","41","2","0","31","8","0","1","0","182","465","Bransfield House"
"023","ETOBICOKE CENTRE","429","U","TORONTO","3","92","56","1","0","25","4","1","0","0","182","334","Burnham Glen Condominiums YCC56"
"023","ETOBICOKE CENTRE","430","U","TORONTO","7","106","58","2","4","48","9","5","2","0","241","480","Sunset West"
"023","ETOBICOKE CENTRE","431","U","TORONTO","5","110","47","1","1","43","5","3","0","0","215","440","Sussex House"
"023","ETOBICOKE CENTRE","432","U","TORONTO","1","67","34","3","2","13","0","0","0","0","120","206","Chestnut Place Tscc#1493"
"023","ETOBICOKE CENTRE","433","U","TORONTO","0","87","41","0","0","51","10","0","0","1","190","400","Burnham Glen Apartments"
"023","ETOBICOKE CENTRE","434","U","TORONTO","1","135","83","0","0","23","1","1","0","0","244","414","The Masters, YCC166 - Front Lobby - 4"
"023","ETOBICOKE CENTRE","435","U","TORONTO","3","108","58","1","0","26","2","1","0","0","199","334","Millgate Manor Recreation Centre"
"023","ETOBICOKE CENTRE","436","U","TORONTO","0","76","65","0","0","28","4","1","0","0","174","326","Millgate Manor Recreation Centre"
"023","ETOBICOKE CENTRE","437","U","TORONTO","2","103","51","2","1","31","3","1","0","1","195","370","Millgate Manor Recreation Centre"
"023","ETOBICOKE CENTRE","438","U","TORONTO","1","106","71","1","0","32","4","4","0","0","219","391","The Masters, YCC166 - Front Lobby - 2"
"023","ETOBICOKE CENTRE","439","U","TORONTO","4","28","24","1","0","21","3","0","0","0","81","198","The Mikado"
"023","ETOBICOKE CENTRE","440","U","TORONTO","0","25","32","0","1","28","4","0","1","0","91","202","The Coach House"
"023","ETOBICOKE CENTRE","441","U","TORONTO","3","111","45","5","0","33","5","1","0","0","203","381","Royal York Gardens Apartments"
"023","ETOBICOKE CENTRE","442","U","TORONTO","1","46","29","0","1","18","0","1","1","0","97","171","The James Club"
