"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ARMSTRONG","DURNIN","HAMADI","HARNICK","LAZAR","MILLER","RAMAL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"043","LONDON--FANSHAWE","072","U","LONDON","60","2","2","1","3","31","32","2","1","0","134","356","Bob Hayward YMCA"
"043","LONDON--FANSHAWE","073","U","LONDON","79","1","0","2","4","45","56","2","0","0","189","361","Bob Hayward YMCA"
"043","LONDON--FANSHAWE","074A","U","LONDON","59","2","1","0","1","24","30","4","1","0","122","311","Bob Hayward YMCA"
"043","LONDON--FANSHAWE","074B","U","LONDON","55","0","1","0","1","36","46","1","1","0","141","323","Bob Hayward YMCA"
"043","LONDON--FANSHAWE","075A","U","LONDON","42","1","1","0","3","35","25","0","0","0","107","313","Bob Hayward YMCA"
"043","LONDON--FANSHAWE","075B","U","LONDON","68","1","0","2","3","45","28","0","0","0","147","343","Bob Hayward YMCA"
"043","LONDON--FANSHAWE","076","U","LONDON","55","0","0","0","3","75","44","0","1","0","178","445","École Saint Jean de Brebeuf"
"043","LONDON--FANSHAWE","077A","U","LONDON","46","1","0","0","9","44","74","2","0","2","178","430","École Saint Jean de Brebeuf"
"043","LONDON--FANSHAWE","077B","U","LONDON","46","0","0","2","7","51","52","0","0","1","159","430","École Saint Jean de Brebeuf"
"043","LONDON--FANSHAWE","078","U","LONDON","43","0","0","1","11","30","75","4","1","0","165","344","École Saint Jean de Brebeuf"
"043","LONDON--FANSHAWE","079A","U","LONDON","51","0","2","1","1","44","65","0","0","0","164","300","École Saint Jean de Brebeuf"
"043","LONDON--FANSHAWE","079B","U","LONDON","53","0","0","1","2","40","38","1","1","0","136","286","École Saint Jean de Brebeuf"
"043","LONDON--FANSHAWE","080","U","LONDON","64","2","0","3","8","35","66","0","0","0","178","390","École Saint Jean de Brebeuf"
"043","LONDON--FANSHAWE","081","U","LONDON","46","0","0","0","6","37","61","0","0","0","150","343","École Saint Jean de Brebeuf"
"043","LONDON--FANSHAWE","082","U","LONDON","55","0","0","1","2","47","43","1","0","0","149","424","École Saint Jean de Brebeuf"
"043","LONDON--FANSHAWE","083","U","LONDON","114","1","0","4","11","51","61","3","0","0","245","558","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","084A","U","LONDON","50","1","0","1","2","23","32","0","1","0","110","276","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","084B","U","LONDON","53","0","1","1","3","16","27","0","0","0","101","290","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","085A","U","LONDON","40","2","0","0","2","23","27","2","0","0","96","300","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","085B","U","LONDON","44","0","0","1","1","21","21","1","0","0","89","307","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","086","U","LONDON","82","0","1","4","12","40","37","4","0","0","180","417","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","087","U","LONDON","57","0","0","0","9","41","30","0","0","0","137","443","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","088A","U","LONDON","63","0","1","1","5","18","41","1","0","0","130","333","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","088B","U","LONDON","41","0","0","0","4","27","28","0","0","0","100","327","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","089","U","LONDON","52","0","1","5","3","44","54","1","1","0","161","373","Princess Elizabeth Public School"
"043","LONDON--FANSHAWE","090","U","LONDON","89","1","3","3","14","54","67","0","0","0","231","515","Seventh Day Adventist Church"
"043","LONDON--FANSHAWE","091","U","LONDON","71","0","0","1","3","64","58","2","0","0","199","470","Seventh Day Adventist Church"
"043","LONDON--FANSHAWE","092","U","LONDON","59","0","0","0","0","56","45","0","0","0","160","358","Seventh Day Adventist Church"
"043","LONDON--FANSHAWE","093","U","LONDON","76","1","1","0","8","51","40","1","0","0","178","492","Seventh Day Adventist Church"
"043","LONDON--FANSHAWE","094","U","LONDON","28","0","0","2","7","18","32","0","0","0","87","292","Chalmers Presbyterian Church"
"043","LONDON--FANSHAWE","095","U","LONDON","74","0","0","2","1","42","53","0","0","0","172","493","Chalmers Presbyterian Church"
"043","LONDON--FANSHAWE","096","U","LONDON","59","0","0","3","8","30","16","0","0","0","116","333","Chalmers Presbyterian Church"
"043","LONDON--FANSHAWE","097","U","LONDON","56","0","0","2","5","34","18","1","0","0","116","315","Compass Community Church"
"043","LONDON--FANSHAWE","098","U","LONDON","67","0","0","4","2","51","50","0","1","0","175","395","Compass Community Church"
"043","LONDON--FANSHAWE","099","U","LONDON","63","2","1","1","2","61","47","0","0","0","177","510","Glen Cairn Public School"
"043","LONDON--FANSHAWE","100","U","LONDON","57","1","0","1","6","47","57","0","0","0","169","417","Glen Cairn Public School"
"043","LONDON--FANSHAWE","101","U","LONDON","87","0","1","3","2","69","46","1","0","0","209","371","Glen Cairn Public School"
"043","LONDON--FANSHAWE","102A","U","LONDON","57","0","2","0","2","39","29","0","1","0","130","308","Compass Community Church"
"043","LONDON--FANSHAWE","102B","U","LONDON","49","0","1","0","3","39","33","0","0","1","126","328","Compass Community Church"
"043","LONDON--FANSHAWE","103","U","LONDON","37","0","1","2","0","62","53","0","0","0","155","357","Glen Cairn Public School"
"043","LONDON--FANSHAWE","104","U","LONDON","55","1","0","0","3","63","59","1","1","0","183","352","Compass Community Church"
"043","LONDON--FANSHAWE","105","U","LONDON","53","0","0","0","4","62","50","0","1","2","172","340","Southdale Bible Chapel"
"043","LONDON--FANSHAWE","106","U","LONDON","70","1","1","1","5","57","63","1","0","0","199","428","Compass Community Church"
"043","LONDON--FANSHAWE","107","U","LONDON","66","1","1","2","5","81","80","1","0","0","237","409","Arthur Stringer Public School"
"043","LONDON--FANSHAWE","108","U","LONDON","71","0","2","3","5","87","86","1","1","0","256","421","Arthur Stringer Public School"
"043","LONDON--FANSHAWE","109","U","LONDON","42","0","0","1","2","42","63","0","0","0","150","379","Arthur Stringer Public School"
"043","LONDON--FANSHAWE","110","U","LONDON","44","2","3","0","1","40","49","0","0","0","139","298","Southdale Bible Chapel"
"043","LONDON--FANSHAWE","111","U","LONDON","41","0","1","2","3","19","49","0","0","0","115","317","Southdale Bible Chapel"
"043","LONDON--FANSHAWE","112","U","LONDON","52","1","3","0","2","27","66","1","0","0","152","355","Southdale Bible Chapel"
"043","LONDON--FANSHAWE","113","U","LONDON","65","1","0","0","1","69","76","2","0","0","214","467","Southdale Bible Chapel"
"043","LONDON--FANSHAWE","114","U","LONDON","43","1","0","1","1","29","22","0","0","0","97","295","Wilton Grove Public School"
"043","LONDON--FANSHAWE","115","U","LONDON","94","0","0","1","6","48","72","0","0","0","221","555","Wilton Grove Public School"
"043","LONDON--FANSHAWE","116A","U","LONDON","54","0","0","1","2","22","35","1","0","0","115","276","Wilton Grove Public School"
"043","LONDON--FANSHAWE","116B","U","LONDON","49","0","0","1","3","28","40","0","0","0","121","307","Wilton Grove Public School"
"043","LONDON--FANSHAWE","117","U","LONDON","44","1","4","2","1","30","65","2","0","0","149","359","Wilton Grove Public School"
"043","LONDON--FANSHAWE","118","U","LONDON","81","1","0","1","6","39","70","1","0","0","199","369","Wilton Grove Public School"
"043","LONDON--FANSHAWE","119","U","LONDON","76","0","0","0","6","43","64","0","1","0","190","373","Wilton Grove Public School"
"043","LONDON--FANSHAWE","120","U","LONDON","99","2","2","2","7","66","67","2","0","0","247","440","Wilton Grove Public School"
"043","LONDON--FANSHAWE","121","U","LONDON","52","0","1","1","3","66","44","0","0","0","167","377","Nicholas Wilson Public School"
"043","LONDON--FANSHAWE","122","U","LONDON","117","2","2","0","5","78","69","1","0","0","274","523","Nicholas Wilson Public School"
"043","LONDON--FANSHAWE","123","U","LONDON","69","0","1","3","7","57","68","1","0","0","206","377","Nicholas Wilson Public School"
"043","LONDON--FANSHAWE","124","U","LONDON","77","1","0","1","8","66","62","3","1","0","219","391","Nicholas Wilson Public School"
"043","LONDON--FANSHAWE","125","U","LONDON","63","0","2","1","9","55","50","1","0","0","181","360","Nicholas Wilson Public School"
"043","LONDON--FANSHAWE","126","U","LONDON","32","3","0","1","5","81","76","0","0","0","198","407","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","127","U","LONDON","56","0","2","3","8","82","79","0","0","0","230","446","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","128","U","LONDON","50","1","2","3","5","60","74","0","0","0","195","401","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","129","U","LONDON","73","3","3","2","5","37","85","0","0","0","208","529","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","130","U","LONDON","50","2","2","2","4","49","62","1","0","0","172","522","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","131","U","LONDON","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"043","LONDON--FANSHAWE","132","U","LONDON","70","2","2","0","5","43","53","0","0","1","176","409","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","133","U","LONDON","43","0","0","0","1","36","44","2","0","0","126","349","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","134","U","LONDON","56","1","1","1","0","35","36","0","2","0","132","365","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","135","U","LONDON","49","1","0","2","0","35","27","1","0","0","115","386","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","136","U","LONDON","52","1","0","1","2","23","30","1","0","0","110","489","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","137","U","LONDON","70","2","0","1","7","56","80","0","0","0","216","489","Earl Nichols Arena"
"043","LONDON--FANSHAWE","138","U","LONDON","30","1","0","0","0","18","27","0","0","0","76","281","Earl Nichols Arena"
"043","LONDON--FANSHAWE","139","U","LONDON","41","0","0","3","4","28","38","0","0","0","114","299","Earl Nichols Arena"
"043","LONDON--FANSHAWE","140","U","LONDON","54","1","1","1","8","39","44","0","0","0","148","343","Earl Nichols Arena"
"043","LONDON--FANSHAWE","141","U","LONDON","58","0","0","2","4","66","92","1","0","0","223","464","Earl Nichols Arena"
"043","LONDON--FANSHAWE","142","U","LONDON","78","0","0","2","4","37","58","0","0","0","179","401","Earl Nichols Arena"
"043","LONDON--FANSHAWE","143","U","LONDON","53","1","2","3","13","54","60","2","0","0","188","375","Earl Nichols Arena"
"043","LONDON--FANSHAWE","144","U","LONDON","79","1","2","1","6","67","67","0","0","0","223","455","Faith Lutheran Church"
"043","LONDON--FANSHAWE","145","U","LONDON","51","1","1","0","2","46","53","0","1","0","155","389","Faith Lutheran Church"
"043","LONDON--FANSHAWE","146","U","LONDON","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"043","LONDON--FANSHAWE","147","U","LONDON","85","0","0","1","4","54","42","0","0","0","186","531","Faith Lutheran Church"
"043","LONDON--FANSHAWE","148","U","LONDON","80","0","0","2","1","46","46","1","0","0","176","522","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","149A","U","LONDON","29","0","2","0","1","28","69","0","1","0","130","295","Ashley Oaks Public School"
"043","LONDON--FANSHAWE","149B","U","LONDON","30","1","0","0","1","38","45","0","0","0","115","272","Ashley Oaks Public School"
"043","LONDON--FANSHAWE","150","U","LONDON","55","0","0","0","2","41","37","1","2","0","138","345","Ashley Oaks Public School"
"043","LONDON--FANSHAWE","151","U","LONDON","74","1","0","1","5","56","92","2","0","0","231","435","Church In the Oaks"
"043","LONDON--FANSHAWE","152","U","LONDON","56","1","0","1","10","37","63","0","0","0","168","402","Church In the Oaks"
"043","LONDON--FANSHAWE","153A","U","LONDON","50","0","1","1","2","18","63","3","3","0","141","309","Ashley Oaks Public School"
"043","LONDON--FANSHAWE","153B","U","LONDON","46","0","0","1","8","29","49","1","0","0","134","302","Ashley Oaks Public School"
"043","LONDON--FANSHAWE","154","U","LONDON","69","1","2","4","6","36","85","1","1","0","205","485","Ashley Oaks Public School"
"043","LONDON--FANSHAWE","155","U","LONDON","47","0","0","2","5","29","47","2","0","0","132","284","Church In the Oaks"
"043","LONDON--FANSHAWE","156","U","LONDON","79","0","0","3","0","40","78","0","0","0","200","387","Church In the Oaks"
"043","LONDON--FANSHAWE","157A","U","LONDON","54","1","2","4","7","40","45","0","0","0","153","329","Sir Arthur Carty Separate School"
"043","LONDON--FANSHAWE","157B","U","LONDON","64","1","0","0","1","31","48","0","0","0","145","315","Sir Arthur Carty Separate School"
"043","LONDON--FANSHAWE","158","U","LONDON","39","2","4","0","2","21","54","0","2","0","124","339","Sir Arthur Carty Separate School"
"043","LONDON--FANSHAWE","159","U","LONDON","57","3","0","2","5","47","61","2","0","0","177","402","Sir Arthur Carty Separate School"
"043","LONDON--FANSHAWE","160","U","LONDON","69","0","0","3","3","40","62","0","1","0","178","384","Church In the Oaks"
"043","LONDON--FANSHAWE","161","U","LONDON","62","0","0","0","4","32","33","0","0","0","131","324","Church In the Oaks"
"043","LONDON--FANSHAWE","162","U","LONDON","45","0","0","0","2","23","29","0","0","0","99","291","Church In the Oaks"
"043","LONDON--FANSHAWE","163","U","LONDON","45","2","0","5","4","29","31","0","0","0","116","361","Church In the Oaks"
"043","LONDON--FANSHAWE","164","U","LONDON","45","1","1","1","2","12","33","0","0","1","96","339","Church In the Oaks"
"043","LONDON--FANSHAWE","165","U","LONDON","75","0","0","2","4","40","74","0","1","0","196","432","Rick Hansen Public School"
"043","LONDON--FANSHAWE","166","U","LONDON","57","1","2","3","3","72","74","1","0","0","213","443","Rick Hansen Public School"
"043","LONDON--FANSHAWE","167","U","LONDON","58","1","2","0","2","56","75","0","0","0","194","363","Rick Hansen Public School"
"043","LONDON--FANSHAWE","168","U","LONDON","66","0","1","2","3","32","60","1","0","0","165","544","Rick Hansen Public School"
"043","LONDON--FANSHAWE","169","U","LONDON","59","1","0","0","6","22","50","1","0","2","141","544","Rick Hansen Public School"
"043","LONDON--FANSHAWE","400","U","LONDON","10","1","0","1","4","2","8","0","0","0","26","171","Stronach Community Centre"
"043","LONDON--FANSHAWE","401","U","LONDON","53","0","0","3","4","34","49","1","0","0","144","253","Rivers Edge Condominium(s)"
"043","LONDON--FANSHAWE","700","U","LONDON","17","1","4","7","2","29","20","2","0","0","82","252","Kensington Village"
"043","LONDON--FANSHAWE","701","U","LONDON","14","0","2","1","3","10","15","0","0","1","46","138","Regional Mental Health Care"
"043","LONDON--FANSHAWE","702","U","LONDON","9","0","1","1","2","20","3","0","1","0","37","157","Meadow Park Nursing Home and Retirement Lodge"
"043","LONDON--FANSHAWE","703","U","LONDON","24","3","1","2","4","32","24","0","0","2","92","206","Parkwood Hospital"
"043","LONDON--FANSHAWE","704","U","LONDON","15","1","2","4","0","26","17","1","1","0","67","246","Dearness Home"
"043","LONDON--FANSHAWE","ADV001","U","LONDON","300","3","5","5","13","236","166","1","0","1","730","0","Returning Office / Bureau du directeur du scrutin"
"043","LONDON--FANSHAWE","ADV002","U","LONDON","191","9","1","3","4","104","67","2","0","0","381","0","Special Ballot Voting / Vote par bulletin spécial"
"043","LONDON--FANSHAWE","ADV003","U","LONDON","260","5","0","9","15","356","295","2","0","0","942","0","Best Western Lamplighter Inn"
"043","LONDON--FANSHAWE","ADV004","U","LONDON","110","3","0","2","7","179","103","4","0","0","408","0","Earl Nichols Arena"
"043","LONDON--FANSHAWE","ADV005","U","LONDON","110","1","3","1","5","98","85","1","1","0","305","0","Stronach Community Centre"
"043","LONDON--FANSHAWE","ADV006","U","LONDON","630","2","3","9","20","479","298","6","0","1","1448","0","Argyle Mall"
"043","LONDON--FANSHAWE","ADV007","U","LONDON","14","2","0","0","4","7","8","0","0","0","35","0","Fanshawe College"
"TOTALS:","","","","","13953","155","192","320","852","9075","9678","133","59","26","34443","75165",""
