ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,BEDROSYAN,COTEAU,HILLIARD,KIDD,LENDE,SIMMONS,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
16,DON VALLEY EAST,40,U,TORONTO,2,64,40,2,14,0,1,0,0,123,244,Forest Manor Public School
16,DON VALLEY EAST,41,U,TORONTO,3,93,18,0,66,0,0,0,0,180,433,Three Valleys Public School
16,DON VALLEY EAST,42,U,TORONTO,3,37,13,0,14,0,0,0,0,67,376,George S Henry Academy
16,DON VALLEY EAST,43,U,TORONTO,3,70,25,1,35,2,0,0,1,137,382,George S Henry Academy
16,DON VALLEY EAST,44,U,TORONTO,2,20,12,1,14,1,0,0,0,50,301,George S Henry Academy
16,DON VALLEY EAST,45,U,TORONTO,2,39,22,0,11,0,0,0,1,75,330,George S Henry Academy
16,DON VALLEY EAST,46,U,TORONTO,1,63,12,0,13,0,0,0,0,89,296,George S Henry Academy
16,DON VALLEY EAST,47,U,TORONTO,3,113,17,1,52,0,0,1,0,187,402,Rene Gordon Elementary School
16,DON VALLEY EAST,48,U,TORONTO,6,132,45,0,70,1,0,1,0,255,558,Rene Gordon Elementary School
16,DON VALLEY EAST,49,U,TORONTO,2,80,10,1,59,3,0,1,0,156,297,Three Valleys Public School
16,DON VALLEY EAST,50,U,TORONTO,4,85,26,0,65,1,0,0,0,181,350,Three Valleys Public School
16,DON VALLEY EAST,51,U,TORONTO,3,125,18,0,98,0,0,0,0,244,424,Three Valleys Public School
16,DON VALLEY EAST,52,U,TORONTO,5,112,16,1,46,0,0,0,1,181,335,La Citadelle International Academy
16,DON VALLEY EAST,53,U,TORONTO,1,78,27,0,22,0,0,0,0,128,338,La Citadelle International Academy
16,DON VALLEY EAST,54,U,TORONTO,4,62,23,1,29,1,0,1,0,121,341,La Citadelle International Academy
16,DON VALLEY EAST,55,U,TORONTO,0,74,13,1,36,0,2,0,0,126,451,St. Mark's Presbyterian Church
16,DON VALLEY EAST,56,U,TORONTO,3,57,23,0,30,1,1,0,0,115,278,St. Mark's Presbyterian Church
16,DON VALLEY EAST,57,U,TORONTO,5,83,29,1,43,1,0,0,0,162,280,St. Mark's Presbyterian Church
16,DON VALLEY EAST,58,U,TORONTO,2,20,24,0,14,0,0,0,0,60,161,Greenland Public School
16,DON VALLEY EAST,59,U,TORONTO,4,72,43,0,20,4,0,0,0,143,294,Greenland Public School
16,DON VALLEY EAST,60,U,TORONTO,4,61,53,0,41,3,2,0,0,164,433,Greenland Public School
16,DON VALLEY EAST,61,U,TORONTO,3,63,22,0,49,0,0,1,0,138,440,Greenland Public School
16,DON VALLEY EAST,62,U,TORONTO,3,56,27,0,29,0,2,0,0,117,275,Greenland Public School
16,DON VALLEY EAST,63,U,TORONTO,6,68,26,10,41,1,1,0,0,153,395,Cherokee Public School
16,DON VALLEY EAST,64,U,TORONTO,5,112,20,2,38,1,1,1,0,180,457,Cherokee Public School
16,DON VALLEY EAST,65,U,TORONTO,4,84,38,6,58,2,2,0,0,194,473,Cherokee Public School
16,DON VALLEY EAST,66,U,TORONTO,4,65,24,1,40,0,3,0,0,137,341,Cherokee Public School
16,DON VALLEY EAST,67,U,TORONTO,3,67,35,0,46,1,1,0,1,154,431,Cherokee Public School
16,DON VALLEY EAST,68,U,TORONTO,3,43,18,0,47,2,0,0,0,113,343,Cherokee Public School
16,DON VALLEY EAST,69,U,TORONTO,5,124,33,0,75,1,2,0,0,240,530,Ernest Public School
16,DON VALLEY EAST,70,U,TORONTO,5,102,26,0,62,0,2,0,0,197,489,Ernest Public School
16,DON VALLEY EAST,71,U,TORONTO,4,91,12,1,59,1,1,1,0,170,409,Ernest Public School
16,DON VALLEY EAST,72,U,TORONTO,5,49,19,1,27,0,0,0,0,101,346,Ernest Public School
16,DON VALLEY EAST,73,U,TORONTO,1,42,31,2,12,0,0,1,0,89,361,Ernest Public School
16,DON VALLEY EAST,74,U,TORONTO,4,117,19,1,72,0,0,0,0,213,468,Ernest Public School
16,DON VALLEY EAST,75,U,TORONTO,6,108,31,1,62,0,2,0,0,210,468,Pleasantview Junior High
16,DON VALLEY EAST,76,U,TORONTO,4,66,46,1,25,0,1,0,0,143,550,Pleasantview Junior High
16,DON VALLEY EAST,77,U,TORONTO,3,77,19,1,35,0,0,0,0,135,312,Pleasantview Junior High
16,DON VALLEY EAST,78,U,TORONTO,3,105,39,0,69,1,1,0,0,218,472,Muirhead Public School
16,DON VALLEY EAST,79,U,TORONTO,0,91,29,0,73,0,1,0,0,194,464,St. Gerald Separate School
16,DON VALLEY EAST,80,U,TORONTO,11,133,35,2,63,0,0,2,0,246,476,Muirhead Public School
16,DON VALLEY EAST,81,U,TORONTO,4,107,47,0,73,1,0,0,0,232,481,St. Gerald Separate School
16,DON VALLEY EAST,82,U,TORONTO,5,87,29,0,29,0,0,0,1,151,334,Muirhead Public School
16,DON VALLEY EAST,83,U,TORONTO,3,108,31,2,52,0,0,0,0,196,488,St. Gerald Separate School
16,DON VALLEY EAST,84,U,TORONTO,3,116,44,4,56,1,0,1,0,225,451,St. Gerald Separate School
16,DON VALLEY EAST,85,U,TORONTO,2,79,30,0,26,1,0,0,0,138,289,Muirhead Public School
16,DON VALLEY EAST,86,U,TORONTO,4,103,31,0,52,2,1,0,0,193,377,St. Gerald Separate School
16,DON VALLEY EAST,87,U,TORONTO,5,78,37,2,40,1,0,0,0,163,376,Donview Middle School
16,DON VALLEY EAST,88,U,TORONTO,9,73,34,0,51,0,1,0,0,168,398,Donview Middle School
16,DON VALLEY EAST,89,U,TORONTO,0,62,31,0,56,0,1,0,0,150,356,Roywood Public School
16,DON VALLEY EAST,90,U,TORONTO,2,61,29,1,18,0,0,0,1,112,547,Donview Middle School
16,DON VALLEY EAST,91,U,TORONTO,1,42,18,0,5,1,0,0,0,67,239,Donview Middle School
16,DON VALLEY EAST,92,U,TORONTO,0,77,18,1,39,0,0,0,0,135,351,Donview Middle School
16,DON VALLEY EAST,93,U,TORONTO,7,109,29,1,48,0,0,1,0,195,374,Donview Middle School
16,DON VALLEY EAST,94,U,TORONTO,4,117,37,0,56,0,2,1,0,217,431,Roywood Public School
16,DON VALLEY EAST,95,U,TORONTO,6,125,43,0,56,0,0,0,0,230,434,Roywood Public School
16,DON VALLEY EAST,96,U,TORONTO,5,41,26,0,25,0,1,0,0,98,305,Roywood Public School
16,DON VALLEY EAST,97,U,TORONTO,3,67,40,1,50,0,0,0,0,161,499,Roywood Public School
16,DON VALLEY EAST,98,U,TORONTO,.......................COMBINED WITH POLL 099.......................,,,,,,,,,,,Brookbanks Public Library
16,DON VALLEY EAST,99,U,TORONTO,3,52,41,1,29,0,0,0,0,126,516,Brookbanks Public Library
16,DON VALLEY EAST,100,U,TORONTO,2,63,30,1,20,0,1,1,0,118,446,Brookbanks Public Library
16,DON VALLEY EAST,101,U,TORONTO,5,93,38,2,50,1,0,0,0,189,491,Brookbanks Public Library
16,DON VALLEY EAST,102,U,TORONTO,0,58,21,0,26,0,0,0,0,105,332,Victoria Village Collegiate Institute
16,DON VALLEY EAST,103,U,TORONTO,5,102,28,1,60,0,1,0,2,199,423,Victoria Village Collegiate Institute
16,DON VALLEY EAST,104,U,TORONTO,0,46,25,2,10,0,0,2,0,85,384,Brookbanks Public Library
16,DON VALLEY EAST,105,U,TORONTO,3,28,21,1,27,0,0,0,0,80,340,Victoria Village Collegiate Institute
16,DON VALLEY EAST,106,U,TORONTO,1,39,21,0,19,0,0,0,0,80,335,Three Valleys Public School
16,DON VALLEY EAST,107,U,TORONTO,2,80,22,0,62,0,0,0,0,166,332,Cassandra Public School
16,DON VALLEY EAST,108,U,TORONTO,3,67,24,0,46,1,0,0,0,141,302,Victoria Village Collegiate Institute
16,DON VALLEY EAST,109,U,TORONTO,1,105,40,1,47,0,0,0,0,194,453,Victoria Village Collegiate Institute
16,DON VALLEY EAST,110,U,TORONTO,3,48,31,0,25,0,0,0,0,107,306,Cassandra Public School
16,DON VALLEY EAST,111,U,TORONTO,2,115,21,0,73,1,0,1,0,213,379,Cassandra Public School
16,DON VALLEY EAST,112,U,TORONTO,4,104,13,1,80,1,0,0,0,203,384,Ranchdale Public School
16,DON VALLEY EAST,113,U,TORONTO,3,78,30,1,53,0,0,0,0,165,335,Ranchdale Public School
16,DON VALLEY EAST,114,U,TORONTO,5,56,53,1,32,1,0,0,0,148,428,Ranchdale Public School
16,DON VALLEY EAST,115,U,TORONTO,4,63,31,1,33,0,0,0,0,132,420,Ranchdale Public School
16,DON VALLEY EAST,116,U,TORONTO,2,63,26,1,19,0,0,0,0,111,531,Ranchdale Public School
16,DON VALLEY EAST,117,U,TORONTO,0,46,12,0,14,0,1,0,0,73,325,Ranchdale Public School
16,DON VALLEY EAST,118,U,TORONTO,6,101,21,1,73,3,1,0,0,206,479,Milne Valley Junior High
16,DON VALLEY EAST,119,U,TORONTO,8,98,22,1,53,1,2,0,0,185,402,Milne Valley Junior High
16,DON VALLEY EAST,120,U,TORONTO,2,60,24,0,39,0,0,1,0,126,352,Milne Valley Junior High
16,DON VALLEY EAST,121,U,TORONTO,2,108,33,0,77,0,0,0,0,220,439,St. Catherine Separate School
16,DON VALLEY EAST,122,U,TORONTO,2,63,31,0,50,1,0,3,0,150,459,St. Catherine Separate School
16,DON VALLEY EAST,123,U,TORONTO,1,108,30,2,69,1,0,0,0,211,369,St. Catherine Separate School
16,DON VALLEY EAST,124,U,TORONTO,3,107,25,1,38,1,0,0,0,175,385,St. Catherine Separate School
16,DON VALLEY EAST,125,U,TORONTO,5,75,39,0,32,1,0,1,0,153,380,St. Catherine Separate School
16,DON VALLEY EAST,126,U,TORONTO,2,86,16,0,59,2,1,1,1,168,338,St. Catherine Separate School
16,DON VALLEY EAST,127,U,TORONTO,11,134,37,0,41,2,0,0,0,225,451,Victoria Village Public School
16,DON VALLEY EAST,128,U,TORONTO,3,31,15,0,6,0,0,0,0,55,270,Victoria Village Public School
16,DON VALLEY EAST,129,U,TORONTO,1,50,11,1,5,1,0,0,0,69,360,Victoria Village Public School
16,DON VALLEY EAST,130,U,TORONTO,2,36,19,0,5,1,1,0,0,64,301,Victoria Village Public School
16,DON VALLEY EAST,131,U,TORONTO,0,133,27,1,66,0,0,0,0,227,425,Victoria Village Public School
16,DON VALLEY EAST,132,U,TORONTO,2,100,24,3,78,0,0,0,0,207,393,Victoria Village Public School
16,DON VALLEY EAST,133,U,TORONTO,4,100,17,1,43,1,0,1,0,167,354,Victoria Village Public School
16,DON VALLEY EAST,134,U,TORONTO,1,69,30,1,30,1,0,0,0,132,336,Emmanuel Lutheran Manor
16,DON VALLEY EAST,135,U,TORONTO,4,116,33,1,84,1,0,0,0,239,439,Sloane Public School
16,DON VALLEY EAST,136,U,TORONTO,4,55,37,0,32,0,0,0,0,128,361,Emmanuel Lutheran Manor
16,DON VALLEY EAST,137,U,TORONTO,6,104,33,1,46,0,0,1,0,191,474,Emmanuel Lutheran Manor
16,DON VALLEY EAST,138,U,TORONTO,2,37,27,0,30,1,0,0,0,97,288,Sloane Public School
16,DON VALLEY EAST,139,U,TORONTO,1,32,32,3,28,0,0,0,0,96,339,Sloane Public School
16,DON VALLEY EAST,140,U,TORONTO,4,108,24,0,65,1,1,0,0,203,384,Sloane Public School
16,DON VALLEY EAST,141,U,TORONTO,5,83,54,0,45,0,0,0,0,187,438,Sloane Public School
16,DON VALLEY EAST,142,U,TORONTO,1,53,19,0,9,0,1,0,0,83,386,Emmanuel Lutheran Manor
16,DON VALLEY EAST,143,U,TORONTO,2,100,31,1,38,0,0,1,0,173,514,Latvian Canadian Cultural Centre
16,DON VALLEY EAST,144,U,TORONTO,1,54,28,0,22,0,0,0,0,105,309,Latvian Canadian Cultural Centre
16,DON VALLEY EAST,145,U,TORONTO,1,70,26,0,34,1,0,0,0,132,391,Latvian Canadian Cultural Centre
16,DON VALLEY EAST,146,U,TORONTO,4,89,44,2,42,0,1,1,0,183,697,Latvian Canadian Cultural Centre
16,DON VALLEY EAST,147,U,TORONTO,0,61,32,0,10,2,1,0,0,106,276,Golden Gate Apartment(s)
16,DON VALLEY EAST,148,U,TORONTO,3,70,44,1,23,0,0,0,0,141,271,Victoria Towne Recreation Centre
16,DON VALLEY EAST,400,U,TORONTO,4,62,31,1,35,1,0,0,0,134,348,Crestview Place South Tower
16,DON VALLEY EAST,401,U,TORONTO,4,56,30,0,29,1,0,0,0,120,266,Crestview Place North Tower
16,DON VALLEY EAST,402,U,TORONTO,3,56,40,4,29,0,0,2,0,134,360,Crestview Place East Tower
16,DON VALLEY EAST,403,U,TORONTO,6,106,36,0,48,0,0,1,0,197,410,Highpoint Apartment(s)
16,DON VALLEY EAST,404,U,TORONTO,5,92,26,0,102,0,0,0,0,225,473,Skymark Recreation Facility
16,DON VALLEY EAST,405,U,TORONTO,6,109,27,1,96,2,0,0,0,241,380,Skymark Recreation Facility
16,DON VALLEY EAST,406,U,TORONTO,2,50,31,1,22,0,0,0,0,106,219,Attache North
16,DON VALLEY EAST,407,U,TORONTO,4,36,26,0,11,1,0,0,0,78,186,Valleyview Towers
16,DON VALLEY EAST,408,U,TORONTO,6,44,27,1,4,1,1,0,0,84,189,Attache South
16,DON VALLEY EAST,409,U,TORONTO,6,30,37,0,20,0,0,0,0,93,200,Alben Towers
16,DON VALLEY EAST,410,U,TORONTO,8,41,16,0,19,0,0,0,0,84,213,Century Towers
16,DON VALLEY EAST,411,U,TORONTO,4,52,25,1,20,1,1,0,0,104,230,Casa Topaz
16,DON VALLEY EAST,412,U,TORONTO,7,53,38,1,35,0,1,0,0,135,286,Bonneville Towers
16,DON VALLEY EAST,413,U,TORONTO,4,47,24,0,13,0,0,0,0,88,312,Lescon Public School
16,DON VALLEY EAST,414,U,TORONTO,2,42,32,0,11,1,0,0,0,88,215,Ash Grove Apartment(s)
16,DON VALLEY EAST,415,U,TORONTO,4,43,20,0,19,0,0,0,0,86,233,Pine Grove
16,DON VALLEY EAST,416,U,TORONTO,1,50,51,1,9,0,1,0,0,113,283,Harold Green Apartment(s)
16,DON VALLEY EAST,417,U,TORONTO,0,51,23,1,15,0,0,0,0,90,219,Willow Grove
16,DON VALLEY EAST,418,U,TORONTO,9,85,48,1,27,0,0,1,0,171,321,Parkway Forest Towers
16,DON VALLEY EAST,419,U,TORONTO,5,144,48,1,50,1,1,0,0,250,554,York Gardens
16,DON VALLEY EAST,420,U,TORONTO,3,62,43,4,16,0,0,0,0,128,313,Laurel Grove
16,DON VALLEY EAST,421,U,TORONTO,4,113,48,2,21,0,0,1,0,189,362,Duncan Mills Labourers' Local 183
16,DON VALLEY EAST,422,U,TORONTO,3,89,32,0,25,0,0,2,0,151,333,Operating Engineer's Nonprofit Housing
16,DON VALLEY EAST,423,U,TORONTO,0,141,39,1,30,1,0,0,0,212,406,Manor House Apartments
16,DON VALLEY EAST,424,U,TORONTO,0,60,33,0,24,1,0,0,0,118,216,The Savoy
16,DON VALLEY EAST,425,U,TORONTO,5,70,46,2,44,0,4,2,0,173,328,Muirhead Apartment(s)
16,DON VALLEY EAST,426,U,TORONTO,8,103,27,2,46,1,0,0,0,187,340,"Crossroads B"""""
16,DON VALLEY EAST,427,U,TORONTO,5,97,29,1,35,0,0,1,0,168,306,Crossroads
16,DON VALLEY EAST,428,U,TORONTO,..........................NO POLL HELD..........................,,,,,,,,,,,
16,DON VALLEY EAST,429,U,TORONTO,6,61,51,2,44,1,1,0,0,166,325,York Valley Condominium(s)
16,DON VALLEY EAST,430,U,TORONTO,4,67,60,0,37,0,2,0,0,170,373,York Mills Heights
16,DON VALLEY EAST,431,U,TORONTO,9,48,39,0,25,0,0,0,0,121,229,York Valley Condominium(s)
16,DON VALLEY EAST,432,U,TORONTO,2,36,39,2,19,1,0,0,0,99,300,Top of the Valley Apartments
16,DON VALLEY EAST,433,U,TORONTO,2,39,13,0,27,0,0,0,0,81,185,Bellair Gardens
16,DON VALLEY EAST,434,U,TORONTO,3,92,39,1,50,0,1,1,0,187,339,Wycliffe Mews
16,DON VALLEY EAST,435,U,TORONTO,2,20,22,1,9,2,0,0,0,56,124,Curlew Gardens Apartment(s)
16,DON VALLEY EAST,436,U,TORONTO,3,86,34,0,61,1,0,0,1,186,330,Oasis Condominium(s)
16,DON VALLEY EAST,437,U,TORONTO,4,55,23,0,32,0,0,0,0,114,253,Oasis Condominium(s)
16,DON VALLEY EAST,438,U,TORONTO,0,34,21,0,20,0,0,0,0,75,160,Oasis Condominium(s)
16,DON VALLEY EAST,439,U,TORONTO,.......................COMBINED WITH POLL 440.......................,,,,,,,,,,,Golden Gate Apartment(s)
16,DON VALLEY EAST,440,U,TORONTO,2,51,18,1,15,1,1,0,0,89,245,Golden Gate Apartment(s)
16,DON VALLEY EAST,441,U,TORONTO,7,149,35,1,36,1,1,3,0,233,486,Sunrise Towers
16,DON VALLEY EAST,442,U,TORONTO,.......................COMBINED WITH POLL 441.......................,,,,,,,,,,,Golden Gate Apartment(s)
16,DON VALLEY EAST,700,U,TORONTO,4,111,36,1,61,2,1,0,0,216,617,Senior's Health Centre
16,DON VALLEY EAST,701,U,TORONTO,6,190,63,3,78,2,2,1,0,345,666,North York General Hospital
16,DON VALLEY EAST,702,U,TORONTO,.......................COMBINED WITH POLL 701.......................,,,,,,,,,,,Donway Place
16,DON VALLEY EAST,703,U,TORONTO,1,55,18,1,38,0,2,0,1,116,163,Donway Place
16,DON VALLEY EAST,704,U,TORONTO,.......................COMBINED WITH POLL 101.......................,,,,,,,,,,,Rayoak Retirement Centre
16,DON VALLEY EAST,705,U,TORONTO,.......................COMBINED WITH POLL 146.......................,,,,,,,,,,,Leisure World #1
16,DON VALLEY EAST,706,U,TORONTO,.......................COMBINED WITH POLL 146.......................,,,,,,,,,,,Leisure World #2
16,DON VALLEY EAST,ADV001,U,TORONTO,12,356,98,1,200,2,0,0,1,670,0,Returning Office / Bureau du directeur du scrutin
16,DON VALLEY EAST,ADV002,U,TORONTO,6,236,70,3,117,4,14,0,0,450,0,Special Ballot Voting / Vote par bulletin sp‚cial
16,DON VALLEY EAST,ADV003,U,TORONTO,19,574,139,5,376,1,3,2,3,1122,0,Pleasantview Community Centre
16,DON VALLEY EAST,ADV004,U,TORONTO,10,501,120,1,370,0,1,0,3,1006,0,Jubilee United Church
16,DON VALLEY EAST,ADV005,U,TORONTO,13,101,45,2,53,1,0,0,0,215,0,Emmanuel Lutheran Manor
16,DON VALLEY EAST,ADV006,U,TORONTO,4,89,27,0,32,0,0,1,0,153,0,Latvian Canadian Cultural Centre
TOTALS:,,,,,702,16350,5953,187,8705,113,100,53,22,32185,69851,
