"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","MILLER","RICHTER","STIVRINS","WATERS","ZYGANIUK","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"069","PARRY SOUND--MUSKOKA","031","R","PARRY SOUND","45","11","0","28","30","0","0","0","114","345","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","032","R","PARRY SOUND","57","8","0","24","28","0","0","0","117","342","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","033","R","PARRY SOUND","49","10","2","28","34","0","0","0","123","338","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","034","R","PARRY SOUND","43","3","1","21","24","1","0","0","93","300","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","035","R","PARRY SOUND","42","7","0","28","32","0","0","0","109","391","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","036","R","PARRY SOUND","43","10","1","18","42","1","1","0","116","400","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","037","R","PARRY SOUND","71","7","1","19","39","0","0","0","137","466","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","038","R","PARRY SOUND","48","5","1","8","12","0","0","0","74","188","Foley Agricultural Hall"
"069","PARRY SOUND--MUSKOKA","039","R","PARRY SOUND","55","8","5","27","24","2","1","0","122","300","Foley Agricultural Hall"
"069","PARRY SOUND--MUSKOKA","040","R","PARRY SOUND","34","6","1","21","21","0","0","0","83","216","Foley Agricultural Hall"
"069","PARRY SOUND--MUSKOKA","041","R","PARRY SOUND","87","8","5","28","30","0","0","0","158","382","Foley Agricultural Hall"
"069","PARRY SOUND--MUSKOKA","042","R","PARRY SOUND","94","11","4","53","32","0","0","0","194","360","Orrville Community Centre"
"069","PARRY SOUND--MUSKOKA","043","R","PARRY SOUND","41","5","1","34","23","0","0","0","104","222","Humphrey Community Centre"
"069","PARRY SOUND--MUSKOKA","044","R","PARRY SOUND","107","19","2","33","42","0","0","1","204","420","Humphrey Community Centre"
"069","PARRY SOUND--MUSKOKA","045","R","ROSSEAU","73","11","3","30","24","1","0","0","142","319","Church of the Redeemer"
"069","PARRY SOUND--MUSKOKA","046","R","ROSSEAU","122","16","0","43","38","0","0","0","219","477","Church of the Redeemer"
"069","PARRY SOUND--MUSKOKA","047","R","MINETT","96","11","0","30","21","0","0","0","158","297","Peninsula Recreation Centre"
"069","PARRY SOUND--MUSKOKA","048","R","PORT CARLING","77","14","0","20","10","0","0","0","121","248","Port Carling Memorial Community Centre"
"069","PARRY SOUND--MUSKOKA","049","R","PORT CARLING","137","31","0","42","30","0","0","0","240","500","Port Carling Memorial Community Centre"
"069","PARRY SOUND--MUSKOKA","050","R","PORT CARLING","116","12","0","28","20","0","0","0","176","385","Port Carling Memorial Community Centre"
"069","PARRY SOUND--MUSKOKA","051","R","MACTIER","122","10","0","45","21","0","0","0","198","510","St. James the Great Parish Hall"
"069","PARRY SOUND--MUSKOKA","052","R","MACTIER","64","9","0","33","23","1","0","0","130","434","St. James the Great Parish Hall"
"069","PARRY SOUND--MUSKOKA","053","R","BALA","108","12","2","22","13","1","0","0","158","335","Bala Royal Canadian Legion Branch 424"
"069","PARRY SOUND--MUSKOKA","054","R","BALA","134","11","1","43","39","1","1","1","231","426","Bala Royal Canadian Legion Branch 424"
"069","PARRY SOUND--MUSKOKA","055","R","BALA","78","20","0","44","25","0","0","0","167","315","Bala Royal Canadian Legion Branch 424"
"069","PARRY SOUND--MUSKOKA","056","R","PORT SEVERN","77","10","0","42","21","0","0","0","150","258","Baxter Ward Community Centre"
"069","PARRY SOUND--MUSKOKA","057","R","PORT SEVERN","83","5","0","54","28","0","1","0","171","369","Baxter Ward Community Centre"
"069","PARRY SOUND--MUSKOKA","058","R","PORT SEVERN","68","5","2","36","27","0","0","0","138","297","Baxter Ward Community Centre"
"069","PARRY SOUND--MUSKOKA","059","R","PORT SEVERN","107","3","1","41","22","0","0","0","174","318","Baxter Ward Community Centre"
"069","PARRY SOUND--MUSKOKA","060","R","SOUTH RIVER","100","9","4","24","21","0","0","0","158","291","Machar Municipal Hall"
"069","PARRY SOUND--MUSKOKA","061","R","SOUTH RIVER","74","8","0","19","37","1","0","0","139","297","Machar Municipal Hall"
"069","PARRY SOUND--MUSKOKA","062","R","SOUTH RIVER","48","1","0","11","16","0","0","0","76","216","Chalmers United Church Hall"
"069","PARRY SOUND--MUSKOKA","063","R","SOUTH RIVER","62","1","1","17","35","0","0","0","116","269","Chalmers United Church Hall"
"069","PARRY SOUND--MUSKOKA","064","R","SOUTH RIVER","75","3","0","14","17","0","0","0","109","300","Chalmers United Church Hall"
"069","PARRY SOUND--MUSKOKA","065","R","SOUTH RIVER","78","8","0","17","39","0","0","0","142","426","Chalmers United Church Hall"
"069","PARRY SOUND--MUSKOKA","066","R","SUNDRIDGE","92","13","0","17","30","0","0","0","152","355","Sundridge Community Centre"
"069","PARRY SOUND--MUSKOKA","067","R","SUNDRIDGE","63","11","0","37","18","0","0","0","129","273","Sundridge Community Centre Happy Gang Seniors"
"069","PARRY SOUND--MUSKOKA","068","R","SUNDRIDGE","72","5","0","24","15","0","0","0","116","268","Sundridge Community Centre Happy Gang Seniors"
"069","PARRY SOUND--MUSKOKA","069","R","SUNDRIDGE","96","5","0","38","55","0","0","0","194","412","Sundridge Community Centre Happy Gang Seniors"
"069","PARRY SOUND--MUSKOKA","070","R","SUNDRIDGE","115","16","0","19","47","0","0","0","197","408","Sundridge Community Centre"
"069","PARRY SOUND--MUSKOKA","071","R","SUNDRIDGE","123","9","1","21","38","1","0","0","193","343","Sundridge Community Centre"
"069","PARRY SOUND--MUSKOKA","072","R","BURKS FALLS","80","13","0","23","34","0","0","0","150","316","Burks Falls Arena"
"069","PARRY SOUND--MUSKOKA","073","R","BURKS FALLS","45","12","1","13","44","0","0","0","115","346","Burks Falls Arena"
"069","PARRY SOUND--MUSKOKA","074","R","BURKS FALLS","68","9","0","15","31","0","0","0","123","419","Burks Falls Arena"
"069","PARRY SOUND--MUSKOKA","075","R","BURKS FALLS","70","10","0","13","20","1","0","0","114","311","Burks Falls Arena"
"069","PARRY SOUND--MUSKOKA","076","R","BURKS FALLS","94","8","1","16","30","0","0","0","149","244","Ryerson Community Centre"
"069","PARRY SOUND--MUSKOKA","077","R","BURKS FALLS","37","7","0","11","21","0","0","0","76","210","Ryerson Community Centre"
"069","PARRY SOUND--MUSKOKA","078","R","KATRINE","114","15","1","17","49","0","0","0","196","431","Katrine Community Centre"
"069","PARRY SOUND--MUSKOKA","079","R","KEARNEY","126","10","1","44","56","1","0","0","238","470","Kearney Community Centre"
"069","PARRY SOUND--MUSKOKA","080","R","KEARNEY","91","8","1","20","47","0","0","0","167","335","Kearney Community Centre"
"069","PARRY SOUND--MUSKOKA","081","R","EMSDALE","126","20","0","25","54","0","0","0","225","543","Emsdale Community Centre"
"069","PARRY SOUND--MUSKOKA","082","R","EMSDALE","55","7","0","23","26","0","0","0","111","332","Emsdale Community Centre"
"069","PARRY SOUND--MUSKOKA","083","R","SPRUCEDALE","115","17","1","43","58","0","1","0","235","565","Sprucedale Community Centre"
"069","PARRY SOUND--MUSKOKA","084","R","NOVAR","129","22","1","50","38","0","0","0","240","568","Novar Community Centre"
"069","PARRY SOUND--MUSKOKA","085","R","NOVAR","102","13","2","31","33","3","0","0","184","397","Novar Community Centre"
"069","PARRY SOUND--MUSKOKA","086","R","HUNTSVILLE","40","9","0","12","15","1","0","0","77","168","Pioneer Memorial United Church"
"069","PARRY SOUND--MUSKOKA","087","R","HUNTSVILLE","66","26","0","30","21","0","1","0","144","457","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","088","R","HUNTSVILLE","72","18","2","25","31","0","0","0","148","290","Pioneer Memorial United Church"
"069","PARRY SOUND--MUSKOKA","089","R","HUNTSVILLE","45","21","0","19","11","0","0","0","96","297","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","090","R","HUNTSVILLE","51","24","0","26","21","0","0","0","122","361","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","091","R","HUNTSVILLE","48","18","0","19","27","0","0","0","112","359","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","092","R","HUNTSVILLE","39","20","0","16","12","0","0","0","87","261","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","093","R","HUNTSVILLE","61","13","0","26","28","0","0","0","128","345","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","094","R","HUNTSVILLE","77","13","0","24","33","2","1","0","150","351","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","095","R","HUNTSVILLE","79","8","2","16","23","0","0","0","128","417","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","096","R","HUNTSVILLE","76","11","1","27","17","0","0","0","132","354","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","097","R","HUNTSVILLE","60","19","0","15","29","0","0","0","123","431","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","098","R","HUNTSVILLE","68","18","1","23","22","1","0","0","133","311","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","099","R","HUNTSVILLE","84","13","0","23","21","0","0","0","141","466","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","100","R","HUNTSVILLE","40","8","1","21","20","0","0","0","90","338","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","101","R","HUNTSVILLE","76","20","4","25","23","1","0","0","149","471","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","102","R","HUNTSVILLE","45","22","1","28","20","0","0","0","116","403","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","103","R","HUNTSVILLE","74","21","0","15","19","0","0","0","129","450","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","104","R","HUNTSVILLE","67","30","0","24","19","1","0","0","141","357","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","105","R","HUNTSVILLE","48","25","0","31","19","0","0","0","123","304","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","106","R","HUNTSVILLE","78","21","1","25","22","1","0","0","148","429","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","107","R","HUNTSVILLE","34","18","0","9","19","0","0","0","80","266","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","108","R","HUNTSVILLE","44","16","0","23","12","0","0","0","95","316","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","109","R","HUNTSVILLE","66","15","0","20","18","0","0","0","119","385","Huntsville Royal Canadian Legion Branch 232"
"069","PARRY SOUND--MUSKOKA","110","R","HUNTSVILLE","60","11","0","27","9","0","0","0","107","367","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","111","R","HUNTSVILLE","58","12","0","27","13","0","0","0","110","400","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","112","R","HUNTSVILLE","62","14","1","37","13","0","0","0","127","345","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","113","R","HUNTSVILLE","66","12","1","23","53","1","0","0","156","447","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","114","R","HUNTSVILLE","54","10","0","34","13","1","0","0","112","313","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","115","R","HUNTSVILLE","46","8","0","20","11","0","0","0","85","280","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","116","R","HUNTSVILLE","37","6","0","11","8","0","0","0","62","229","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","117","R","HUNTSVILLE","86","15","0","30","21","0","0","0","152","468","Active Living Centre"
"069","PARRY SOUND--MUSKOKA","118","R","HUNTSVILLE","51","14","2","18","28","0","0","0","113","430","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","119","R","HUNTSVILLE","42","6","1","21","23","1","0","0","94","267","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","120","R","HUNTSVILLE","37","5","0","9","6","0","0","0","57","164","Faith Baptist Church"
"069","PARRY SOUND--MUSKOKA","121","R","RAYMOND","80","22","0","23","36","0","0","0","161","307","Raymond Community Centre"
"069","PARRY SOUND--MUSKOKA","122","R","RAYMOND","89","9","0","41","19","0","0","0","158","311","Raymond Community Centre"
"069","PARRY SOUND--MUSKOKA","123","R","RAYMOND","99","26","1","21","21","0","1","0","169","408","Raymond Community Centre"
"069","PARRY SOUND--MUSKOKA","124","R","UTTERSON","64","11","0","9","26","0","0","0","110","339","Utterson Community Centre"
"069","PARRY SOUND--MUSKOKA","125","R","UTTERSON","65","17","1","25","39","0","0","0","147","381","Utterson Community Centre"
"069","PARRY SOUND--MUSKOKA","126","R","PORT SYDNEY","83","18","1","17","17","0","0","0","136","295","Port Sydney Community Centre"
"069","PARRY SOUND--MUSKOKA","127","R","PORT SYDNEY","60","22","0","26","17","0","0","0","125","280","Port Sydney Community Centre"
"069","PARRY SOUND--MUSKOKA","128","R","PORT SYDNEY","74","41","1","29","26","1","0","0","172","351","Port Sydney Community Centre"
"069","PARRY SOUND--MUSKOKA","129","R","PORT SYDNEY","63","26","0","28","14","0","0","0","131","335","Port Sydney Community Centre"
"069","PARRY SOUND--MUSKOKA","130","R","PORT SYDNEY","47","14","0","8","23","0","0","0","92","219","Port Sydney Community Centre"
"069","PARRY SOUND--MUSKOKA","131","R","BAYSVILLE","74","20","0","37","27","1","0","0","159","263","Lake of Bays Community Centre"
"069","PARRY SOUND--MUSKOKA","132","R","BAYSVILLE","137","34","3","45","37","0","0","0","256","449","Lake of Bays Community Centre"
"069","PARRY SOUND--MUSKOKA","133","R","DWIGHT","116","15","0","26","15","0","0","0","172","354","Dwight Community Centre"
"069","PARRY SOUND--MUSKOKA","134","R","DWIGHT","62","15","0","19","16","0","0","0","112","264","Dwight Community Centre"
"069","PARRY SOUND--MUSKOKA","135","R","DWIGHT","82","14","2","24","9","0","0","0","131","255","Dwight Community Centre"
"069","PARRY SOUND--MUSKOKA","136","R","DORSET","86","9","0","32","32","0","0","0","159","309","Dorset Seniors Centre"
"069","PARRY SOUND--MUSKOKA","137","R","BRACEBRIDGE","60","28","0","24","23","0","0","0","135","392","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","138","R","BRACEBRIDGE","107","25","0","20","26","0","0","0","178","510","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","139","R","BRACEBRIDGE","28","23","0","13","17","0","0","0","81","273","Bracebridge Sportsplex"
"069","PARRY SOUND--MUSKOKA","140","R","BRACEBRIDGE","69","15","0","18","23","0","0","0","125","357","Bracebridge Sportsplex"
"069","PARRY SOUND--MUSKOKA","141","R","BRACEBRIDGE","72","18","0","15","37","0","0","0","142","363","Bracebridge Sportsplex"
"069","PARRY SOUND--MUSKOKA","142","R","BRACEBRIDGE","74","18","0","15","17","0","2","0","126","362","Bracebridge Sportsplex"
"069","PARRY SOUND--MUSKOKA","143","R","BRACEBRIDGE","106","45","2","62","29","0","0","1","245","563","Bracebridge Sportsplex"
"069","PARRY SOUND--MUSKOKA","144","R","BRACEBRIDGE","61","12","0","19","12","0","1","0","105","292","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","145","R","BRACEBRIDGE","131","25","1","45","23","0","0","0","225","499","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","146","R","BRACEBRIDGE","80","36","0","33","18","0","0","0","167","374","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","147","R","BRACEBRIDGE","81","25","1","32","11","0","0","0","150","368","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","148","R","BRACEBRIDGE","74","17","0","17","22","0","0","0","130","325","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","149","R","BRACEBRIDGE","46","5","0","14","16","0","0","0","81","179","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","150","R","BRACEBRIDGE","99","24","0","33","12","0","0","0","168","481","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","151","R","BRACEBRIDGE","88","27","0","36","29","0","0","0","180","393","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","152","R","BRACEBRIDGE","78","37","4","24","35","0","0","0","178","487","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","153","R","BRACEBRIDGE","63","21","0","15","24","1","0","0","124","384","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","154","R","BRACEBRIDGE","74","18","0","17","28","0","0","0","137","380","Salvation Army Church Bracebridge"
"069","PARRY SOUND--MUSKOKA","155","R","BRACEBRIDGE","42","12","0","32","23","1","0","1","111","347","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","156","R","BRACEBRIDGE","55","17","0","23","20","0","0","0","115","293","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","157","R","BRACEBRIDGE","90","25","0","31","26","0","0","0","172","403","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","158","R","BRACEBRIDGE","51","29","0","27","24","0","0","0","131","378","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","159","R","BRACEBRIDGE","61","17","0","26","22","0","0","0","126","333","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","160","R","BRACEBRIDGE","49","21","3","30","32","0","1","0","136","407","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","161","R","BRACEBRIDGE","70","34","0","36","31","0","0","0","171","494","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","162","R","BRACEBRIDGE","85","16","1","37","19","0","0","0","158","432","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","163","R","BRACEBRIDGE","80","33","0","40","22","0","0","0","175","473","Bracebridge Arena"
"069","PARRY SOUND--MUSKOKA","164","R","BRACEBRIDGE","76","11","2","27","21","0","1","0","138","340","Muskoka Falls Public School"
"069","PARRY SOUND--MUSKOKA","165","R","BRACEBRIDGE","82","24","0","17","30","0","0","0","153","390","Muskoka Falls Public School"
"069","PARRY SOUND--MUSKOKA","166","R","BRACEBRIDGE","56","25","2","21","37","0","0","1","142","387","Muskoka Falls Public School"
"069","PARRY SOUND--MUSKOKA","167","R","BRACEBRIDGE","106","21","0","31","31","0","1","0","190","379","The Village Square"
"069","PARRY SOUND--MUSKOKA","168","R","MILFORD BAY","144","30","1","39","35","0","2","0","251","472","Milford Bay Community Centre"
"069","PARRY SOUND--MUSKOKA","169","R","GRAVENHURST","75","21","0","23","12","0","0","0","131","251","Walkers Point Community Centre"
"069","PARRY SOUND--MUSKOKA","170","R","GRAVENHURST","54","6","0","27","15","0","0","0","102","305","Muskoka Boat and Heritage Centre"
"069","PARRY SOUND--MUSKOKA","171","R","GRAVENHURST","46","6","0","11","21","0","0","0","84","304","Muskoka Boat and Heritage Centre"
"069","PARRY SOUND--MUSKOKA","172","R","GRAVENHURST","77","22","0","34","24","0","0","0","157","395","Gravenhurst Opera House"
"069","PARRY SOUND--MUSKOKA","173","R","GRAVENHURST","119","16","0","29","12","0","0","0","176","436","Gravenhurst Opera House"
"069","PARRY SOUND--MUSKOKA","174","R","GRAVENHURST","68","16","0","26","29","0","0","0","139","370","Gravenhurst Royal Canadian Legion Branch 302"
"069","PARRY SOUND--MUSKOKA","175","R","GRAVENHURST","55","14","1","15","41","0","0","0","126","389","Gravenhurst Royal Canadian Legion Branch 302"
"069","PARRY SOUND--MUSKOKA","176","R","GRAVENHURST","39","7","0","13","27","0","0","0","86","297","Gravenhurst Royal Canadian Legion Branch 302"
"069","PARRY SOUND--MUSKOKA","177","R","GRAVENHURST","59","8","1","29","34","0","0","0","131","410","Gravenhurst Opera House"
"069","PARRY SOUND--MUSKOKA","178","R","GRAVENHURST","59","21","0","34","15","0","0","0","129","333","Gravenhurst Opera House"
"069","PARRY SOUND--MUSKOKA","179","R","GRAVENHURST","76","20","0","24","18","0","0","0","138","425","Muskoka Boat and Heritage Centre"
"069","PARRY SOUND--MUSKOKA","180","R","GRAVENHURST","64","19","0","27","28","0","0","0","138","353","Gravenhurst Opera House"
"069","PARRY SOUND--MUSKOKA","181","R","GRAVENHURST","82","26","1","48","33","0","0","0","190","525","Gravenhurst Opera House"
"069","PARRY SOUND--MUSKOKA","182","R","GRAVENHURST","53","14","0","20","29","0","0","0","116","304","Gravenhurst Royal Canadian Legion Branch 302"
"069","PARRY SOUND--MUSKOKA","183","R","GRAVENHURST","72","18","0","41","22","0","0","0","153","339","Gravenhurst Royal Canadian Legion Branch 302"
"069","PARRY SOUND--MUSKOKA","184","R","GRAVENHURST","58","12","0","18","40","1","0","0","129","437","Gravenhurst Royal Canadian Legion Branch 302"
"069","PARRY SOUND--MUSKOKA","185","R","GRAVENHURST","86","6","0","39","10","1","0","0","142","311","Gravenhurst Royal Canadian Legion Branch 302"
"069","PARRY SOUND--MUSKOKA","186","R","GRAVENHURST","96","9","1","29","43","0","0","0","178","572","Gravenhurst Royal Canadian Legion Branch 302"
"069","PARRY SOUND--MUSKOKA","187","R","GRAVENHURST","62","9","0","32","49","0","0","0","152","448","Gravenhurst Royal Canadian Legion Branch 302"
"069","PARRY SOUND--MUSKOKA","188","R","GRAVENHURST","97","10","1","33","32","0","0","0","173","376","Ryde Community Co-Op"
"069","PARRY SOUND--MUSKOKA","189","R","SEVERN BRIDGE","42","6","0","20","29","0","1","0","98","210","Severn Bridge Community Hall"
"069","PARRY SOUND--MUSKOKA","190","R","SEVERN BRIDGE","45","3","1","13","31","1","0","0","94","232","Severn Bridge Community Hall"
"069","PARRY SOUND--MUSKOKA","191","R","SEVERN BRIDGE","107","9","1","39","30","0","0","0","186","430","Severn Bridge Community Hall"
"069","PARRY SOUND--MUSKOKA","192","R","MONETVILLE","8","2","0","14","52","1","0","0","77","145","Dokis First Nation Michel Aigle Dokis"
"069","PARRY SOUND--MUSKOKA","193","R","PICKEREL","2","0","0","2","45","0","0","0","49","92","Henvey Inlet First Nation Health Centre"
"069","PARRY SOUND--MUSKOKA","194","R","BRITT","3","1","0","3","41","1","0","0","49","66","Magnetawan First Nation Community Centre"
"069","PARRY SOUND--MUSKOKA","195","R","NOBEL","1","5","0","7","48","0","0","0","61","149","Shawanaga First Nation Recreation Centre"
"069","PARRY SOUND--MUSKOKA","196","R","PARRY SOUND","5","4","0","8","93","0","0","0","110","271","Wasauksing First Nation Band Office"
"069","PARRY SOUND--MUSKOKA","197","R","MACTIER",".......................COMBINED WITH POLL 198.......................","","","","","","","","","","Moose Deer Point Recreation Centre"
"069","PARRY SOUND--MUSKOKA","198","R","BALA","20","6","1","10","42","0","0","87","166","251","Wahta Mohawk First Nation"
"069","PARRY SOUND--MUSKOKA","700","R","PARRY SOUND","18","1","0","6","8","0","0","0","33","57","Serenity Seniors Residence"
"069","PARRY SOUND--MUSKOKA","701","R","PARRY SOUND","21","1","2","10","4","1","0","0","39","102","Belvedere Heights Home for the Aged"
"069","PARRY SOUND--MUSKOKA","702","R","PARRY SOUND",".......................COMBINED WITH POLL 700.......................","","","","","","","","","","The Friends"
"069","PARRY SOUND--MUSKOKA","703","R","PARRY SOUND","22","2","1","8","8","0","0","1","42","109","Lakeland Long Term Care Facility"
"069","PARRY SOUND--MUSKOKA","704","R","HUNTSVILLE","42","2","1","14","5","0","0","0","64","97","Chartwell Select Muskoka Traditions"
"069","PARRY SOUND--MUSKOKA","705","R","HUNTSVILLE","6","0","0","8","3","0","0","0","17","23","Huntsville District Memorial Hospital"
