"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AGGELONITIS","ELMS","ENOS","GOODWIN","MORRIS","TAYLOR","WIENHOLD","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"033","HAMILTON MOUNTAIN","035","U","HAMILTON","29","16","1","1","3","79","0","0","1","0","130","426","Pavillon de la Jeunesse"
"033","HAMILTON MOUNTAIN","036","U","HAMILTON","51","31","2","0","3","92","1","0","0","0","180","394","Pavillon de la Jeunesse"
"033","HAMILTON MOUNTAIN","037","U","HAMILTON","101","63","0","2","4","44","4","0","0","0","218","403","Pavillon de la Jeunesse"
"033","HAMILTON MOUNTAIN","038","U","HAMILTON","80","42","1","0","5","65","1","0","0","0","194","410","Pavillon de la Jeunesse"
"033","HAMILTON MOUNTAIN","039","U","HAMILTON","36","24","0","2","2","87","2","1","0","0","154","386","Immanuel Christian Reform Church"
"033","HAMILTON MOUNTAIN","040","U","HAMILTON","55","38","4","0","2","87","0","0","2","0","188","482","Immanuel Christian Reform Church"
"033","HAMILTON MOUNTAIN","041","U","HAMILTON","66","27","1","0","2","65","1","0","0","0","162","437","Immanuel Christian Reform Church"
"033","HAMILTON MOUNTAIN","042","U","HAMILTON","63","33","1","1","2","70","0","0","0","0","170","408","Immanuel Christian Reform Church"
"033","HAMILTON MOUNTAIN","043","U","HAMILTON","74","54","1","1","3","122","1","0","0","0","256","438","Transfiguration Church"
"033","HAMILTON MOUNTAIN","044","U","HAMILTON","67","42","0","0","3","80","3","0","0","0","195","427","Immanuel Christian Reform Church"
"033","HAMILTON MOUNTAIN","045","U","HAMILTON","44","28","4","0","1","126","1","0","0","0","204","478","Linden Park School"
"033","HAMILTON MOUNTAIN","046","U","HAMILTON","51","42","2","0","7","112","1","1","0","0","216","461","Linden Park School"
"033","HAMILTON MOUNTAIN","047","U","HAMILTON","39","33","2","1","3","107","2","1","0","0","188","480","Sackville Hill Seniors Centre"
"033","HAMILTON MOUNTAIN","048","U","HAMILTON","58","42","2","3","4","88","1","1","0","0","199","465","Linden Park School"
"033","HAMILTON MOUNTAIN","049","U","HAMILTON","52","36","2","0","5","99","1","3","0","0","198","474","Linden Park School"
"033","HAMILTON MOUNTAIN","050","U","HAMILTON","30","23","0","0","2","120","1","1","0","0","177","458","Sackville Hill Seniors Centre"
"033","HAMILTON MOUNTAIN","051","U","HAMILTON","44","24","1","1","6","73","0","0","1","0","150","418","Sackville Hill Seniors Centre"
"033","HAMILTON MOUNTAIN","052","U","HAMILTON","68","20","6","0","5","118","1","2","1","0","221","403","Mohawk Gardens Apartments"
"033","HAMILTON MOUNTAIN","053","U","HAMILTON","57","36","4","2","6","117","1","0","0","0","223","467","Halam Park Housing Co-Operative"
"033","HAMILTON MOUNTAIN","054","U","HAMILTON","64","25","1","0","2","78","0","0","1","0","171","407","Sackville Hill Seniors Centre"
"033","HAMILTON MOUNTAIN","055","U","HAMILTON","54","24","2","0","4","87","0","0","0","0","171","475","Sackville Hill Seniors Centre"
"033","HAMILTON MOUNTAIN","056","U","HAMILTON","52","42","5","1","1","146","2","0","0","0","249","486","Blessed Sacrament Church"
"033","HAMILTON MOUNTAIN","057","U","HAMILTON","65","25","3","0","2","121","3","1","1","0","221","522","Blessed Sacrament Church"
"033","HAMILTON MOUNTAIN","058","U","HAMILTON","69","32","2","0","2","104","0","0","0","0","209","493","Blessed Sacrament Church"
"033","HAMILTON MOUNTAIN","059","U","HAMILTON","44","27","0","1","2","76","1","0","0","0","151","433","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","060","U","HAMILTON","33","34","1","1","0","104","1","0","0","0","174","425","Swansea Apartment(s)"
"033","HAMILTON MOUNTAIN","061","U","HAMILTON","41","25","1","0","6","132","2","5","0","0","212","392","Swansea Apartment(s)"
"033","HAMILTON MOUNTAIN","062","U","HAMILTON","48","28","0","0","3","101","0","1","0","0","181","420","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","063","U","HAMILTON","55","30","1","0","3","116","0","1","1","0","207","456","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","064","U","HAMILTON","31","38","2","0","1","78","0","0","0","0","150","408","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","065","U","HAMILTON","47","29","2","0","5","86","1","0","0","0","170","502","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","066","U","HAMILTON","55","35","2","0","11","120","0","0","0","0","223","470","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","067","U","HAMILTON","58","31","3","1","2","104","0","0","0","0","199","464","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","068","U","HAMILTON","42","38","1","0","1","91","0","0","1","0","174","502","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","069","U","HAMILTON","25","31","3","4","5","85","0","0","0","0","153","416","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","070","U","HAMILTON","70","52","1","1","6","89","0","1","1","1","222","507","Huntington Park Recreation Centre"
"033","HAMILTON MOUNTAIN","071","U","HAMILTON","56","47","2","0","2","66","0","0","0","0","173","434","Mohawk 4 Ice Centre"
"033","HAMILTON MOUNTAIN","072","U","HAMILTON","86","32","1","0","7","62","0","1","0","0","189","418","Mohawk 4 Ice Centre"
"033","HAMILTON MOUNTAIN","073","U","HAMILTON","70","40","7","0","2","65","5","0","1","0","190","416","Immanuel Christian Reform Church"
"033","HAMILTON MOUNTAIN","074","U","HAMILTON","76","34","1","0","4","66","2","1","1","0","185","419","Immanuel Christian Reform Church"
"033","HAMILTON MOUNTAIN","075","U","HAMILTON","20","25","1","2","7","112","2","0","0","0","169","486","St. Michael School"
"033","HAMILTON MOUNTAIN","076","U","HAMILTON","86","44","4","0","5","132","2","0","1","1","275","489","St. Michael School"
"033","HAMILTON MOUNTAIN","077","U","HAMILTON","72","33","2","1","6","99","3","0","0","0","216","540","St. Michael School"
"033","HAMILTON MOUNTAIN","078","U","HAMILTON","78","62","9","0","2","141","1","2","1","0","296","589","St. Michael School"
"033","HAMILTON MOUNTAIN","079","U","HAMILTON","39","21","3","1","4","107","1","2","1","0","179","509","The Church of the Resurrection"
"033","HAMILTON MOUNTAIN","080","U","HAMILTON","86","44","4","2","3","133","4","0","0","0","276","513","Cardinal Heights School"
"033","HAMILTON MOUNTAIN","081","U","HAMILTON","81","43","4","1","3","81","1","0","0","0","214","454","Cardinal Heights School"
"033","HAMILTON MOUNTAIN","082","U","HAMILTON","92","43","2","0","1","80","1","2","0","0","221","482","Cardinal Heights School"
"033","HAMILTON MOUNTAIN","083","U","HAMILTON","56","20","2","0","4","87","1","0","0","0","170","507","The Church of the Resurrection"
"033","HAMILTON MOUNTAIN","084","U","HAMILTON","53","34","7","0","4","83","2","0","0","0","183","537","Cardinal Heights School"
"033","HAMILTON MOUNTAIN","085","U","HAMILTON","40","14","1","2","1","66","1","2","0","0","127","323","The Church of the Resurrection"
"033","HAMILTON MOUNTAIN","086","U","HAMILTON","101","43","1","0","4","59","0","0","0","0","208","458","The Church of the Resurrection"
"033","HAMILTON MOUNTAIN","087","U","HAMILTON","52","39","0","1","3","114","0","0","0","0","209","459","The Church of the Resurrection"
"033","HAMILTON MOUNTAIN","088","U","HAMILTON","58","34","0","0","2","94","0","0","0","0","188","485","The Church of the Resurrection"
"033","HAMILTON MOUNTAIN","089","U","HAMILTON","63","23","1","0","3","104","1","0","0","0","195","405","Lawfield School"
"033","HAMILTON MOUNTAIN","090","U","HAMILTON","50","36","2","3","1","109","1","1","0","0","203","399","Lawfield School"
"033","HAMILTON MOUNTAIN","091","U","HAMILTON","38","28","2","0","3","86","2","0","0","0","159","423","Lawfield School"
"033","HAMILTON MOUNTAIN","092","U","HAMILTON","48","24","1","0","9","107","0","1","0","0","190","398","Lawfield School"
"033","HAMILTON MOUNTAIN","093","U","HAMILTON","39","24","0","0","2","100","0","0","0","0","165","399","Lawfield School"
"033","HAMILTON MOUNTAIN","094","U","HAMILTON","47","42","1","0","7","123","1","2","0","0","223","447","Lawfield School"
"033","HAMILTON MOUNTAIN","095","U","HAMILTON","35","18","2","0","1","78","0","1","0","0","135","319","Emmanuel United Church"
"033","HAMILTON MOUNTAIN","096","U","HAMILTON","56","29","1","0","6","90","0","0","0","0","182","446","Emmanuel United Church"
"033","HAMILTON MOUNTAIN","097","U","HAMILTON","39","29","0","0","3","99","0","0","1","0","171","412","Emmanuel United Church"
"033","HAMILTON MOUNTAIN","098","U","HAMILTON","48","26","2","1","6","104","1","0","0","0","188","539","Emmanuel United Church"
"033","HAMILTON MOUNTAIN","099","U","HAMILTON","35","30","0","0","5","98","0","0","1","0","169","441","Emmanuel United Church"
"033","HAMILTON MOUNTAIN","100","U","HAMILTON","67","33","0","0","5","94","0","3","1","0","203","375","Emmanuel United Church"
"033","HAMILTON MOUNTAIN","101","U","HAMILTON","122","29","2","0","6","82","3","1","0","0","245","487","St. Daniel School"
"033","HAMILTON MOUNTAIN","102","U","HAMILTON","63","33","1","2","6","93","0","2","0","0","200","410","Emmanuel United Church"
"033","HAMILTON MOUNTAIN","103","U","HAMILTON","34","17","1","1","6","85","0","1","0","0","145","543","Emmanuel United Church"
"033","HAMILTON MOUNTAIN","104","U","HAMILTON","78","39","1","0","3","96","3","2","0","0","222","423","St. Daniel School"
"033","HAMILTON MOUNTAIN","105","U","HAMILTON","99","42","2","0","3","98","1","0","0","0","245","491","St. Daniel School"
"033","HAMILTON MOUNTAIN","106","U","HAMILTON","104","62","1","0","1","55","0","0","0","0","223","429","St. Daniel School"
"033","HAMILTON MOUNTAIN","107","U","HAMILTON","42","33","0","2","5","61","0","0","0","0","143","411","St. Daniel School"
"033","HAMILTON MOUNTAIN","108","U","HAMILTON","100","42","2","0","0","52","0","1","0","0","197","432","St. Daniel School"
"033","HAMILTON MOUNTAIN","109","U","HAMILTON","53","35","2","0","2","60","0","2","0","0","154","392","Mohawk 4 Ice Centre"
"033","HAMILTON MOUNTAIN","110","U","HAMILTON","69","43","3","2","3","72","0","1","0","0","193","463","St. Vincent de Paul School"
"033","HAMILTON MOUNTAIN","111","U","HAMILTON","81","25","1","3","4","73","4","4","0","0","195","422","St. Vincent de Paul School"
"033","HAMILTON MOUNTAIN","112","U","HAMILTON","93","52","2","0","3","40","2","1","0","0","193","411","St. Vincent de Paul School"
"033","HAMILTON MOUNTAIN","113","U","HAMILTON","95","30","1","1","5","86","0","0","0","0","218","438","St. Vincent de Paul School"
"033","HAMILTON MOUNTAIN","114","U","HAMILTON","83","35","1","0","4","64","1","0","0","0","188","431","St. Vincent de Paul School"
"033","HAMILTON MOUNTAIN","115","U","HAMILTON","95","42","3","0","3","60","1","0","1","0","205","431","Gordon Price School"
"033","HAMILTON MOUNTAIN","116","U","HAMILTON","95","28","2","0","3","84","0","0","0","0","212","385","Gordon Price School"
"033","HAMILTON MOUNTAIN","117","U","HAMILTON","48","26","0","0","3","66","0","3","0","0","146","429","Gordon Price School"
"033","HAMILTON MOUNTAIN","118","U","HAMILTON","77","22","5","1","1","67","6","0","1","0","180","454","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","119","U","HAMILTON","73","41","0","0","4","110","2","3","0","0","233","480","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","120","U","HAMILTON","66","52","0","1","4","107","5","0","0","0","235","487","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","121","U","HAMILTON","39","22","2","0","5","95","0","0","0","1","164","425","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","122","U","HAMILTON","52","24","2","0","3","64","0","0","1","0","146","364","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","123","U","HAMILTON","34","22","2","0","3","107","0","0","0","0","168","464","James MacDonald School"
"033","HAMILTON MOUNTAIN","124","U","HAMILTON","53","37","3","1","2","126","1","0","1","0","224","451","James MacDonald School"
"033","HAMILTON MOUNTAIN","125","U","HAMILTON","64","56","0","1","2","115","0","0","1","0","239","499","James MacDonald School"
"033","HAMILTON MOUNTAIN","126","U","HAMILTON","92","39","2","1","1","76","0","0","0","0","211","450","James MacDonald School"
"033","HAMILTON MOUNTAIN","127","U","HAMILTON","103","67","1","1","4","92","1","2","0","0","271","525","James MacDonald School"
"033","HAMILTON MOUNTAIN","128","U","HAMILTON","110","55","5","1","1","79","2","0","0","0","253","477","James MacDonald School"
"033","HAMILTON MOUNTAIN","129","U","HAMILTON","77","34","3","0","1","64","1","1","0","0","181","494","Mt. Hamilton Christian Reform Church"
"033","HAMILTON MOUNTAIN","130","U","HAMILTON","87","49","5","2","4","70","2","0","0","0","219","580","Mt. Hamilton Christian Reform Church"
"033","HAMILTON MOUNTAIN","131","U","HAMILTON","84","46","1","0","2","104","0","0","1","0","238","641","Mt. Hamilton Christian Reform Church"
"033","HAMILTON MOUNTAIN","132","U","HAMILTON","99","47","0","0","4","117","1","0","1","0","269","593","Guido de Bres Christian High School"
"033","HAMILTON MOUNTAIN","133","U","HAMILTON","58","113","11","1","0","53","0","0","0","0","236","441","Mt. Hamilton Christian Reform Church"
"033","HAMILTON MOUNTAIN","134","U","HAMILTON","101","46","6","0","6","82","3","3","0","0","247","577","Guido de Bres Christian High School"
"033","HAMILTON MOUNTAIN","135","U","HAMILTON","80","51","1","0","10","63","1","0","0","0","206","466","Guido de Bres Christian High School"
"033","HAMILTON MOUNTAIN","136","U","HAMILTON","84","31","0","4","4","45","0","1","0","0","169","435","Guido de Bres Christian High School"
"033","HAMILTON MOUNTAIN","137","U","HAMILTON","109","55","1","0","0","80","0","0","0","0","245","514","Stoneridge Bible Church"
"033","HAMILTON MOUNTAIN","138","U","HAMILTON","59","43","1","0","3","71","3","2","0","0","182","472","Stoneridge Bible Church"
"033","HAMILTON MOUNTAIN","139","U","HAMILTON","76","27","4","1","3","85","2","1","0","0","199","477","Salvation Army Mountain Citadel"
"033","HAMILTON MOUNTAIN","140","U","HAMILTON","105","39","0","0","5","98","0","0","0","0","247","498","Salvation Army Mountain Citadel"
"033","HAMILTON MOUNTAIN","141","U","HAMILTON","66","44","1","0","3","100","0","1","0","0","215","463","Salvation Army Mountain Citadel"
"033","HAMILTON MOUNTAIN","142","U","HAMILTON","69","39","3","2","5","91","0","1","0","0","210","482","Salvation Army Mountain Citadel"
"033","HAMILTON MOUNTAIN","143","U","HAMILTON","51","24","1","1","4","84","0","0","0","0","165","489","Salvation Army Mountain Citadel"
"033","HAMILTON MOUNTAIN","144","U","HAMILTON","56","30","0","2","4","92","2","1","0","0","187","505","Salvation Army Mountain Citadel"
"033","HAMILTON MOUNTAIN","145","U","HAMILTON","66","37","1","4","1","83","1","1","0","0","194","494","Salvation Army Mountain Citadel"
"033","HAMILTON MOUNTAIN","146","U","HAMILTON","52","43","1","0","0","102","1","2","0","0","201","524","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","147","U","HAMILTON","47","21","1","1","0","97","0","0","0","0","167","469","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","148","U","ANCASTER","76","51","2","0","2","73","0","0","0","0","204","429","Rehoboth United Reform Church"
"033","HAMILTON MOUNTAIN","149","U","ANCASTER","76","34","4","0","2","52","4","1","0","0","173","443","Rehoboth United Reform Church"
"033","HAMILTON MOUNTAIN","150","U","HAMILTON","94","13","0","1","2","72","1","1","0","1","185","445","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","151","U","HAMILTON","124","52","3","0","6","66","5","2","1","0","259","521","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","152","U","HAMILTON","108","57","0","0","2","71","1","1","0","0","240","474","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","153","U","HAMILTON","60","34","1","1","0","109","1","0","0","0","206","473","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","154","U","HAMILTON","94","54","2","0","2","60","1","0","0","0","213","479","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","155","U","HAMILTON","98","41","0","1","4","73","1","2","0","0","220","514","West Highland Baptist Church"
"033","HAMILTON MOUNTAIN","156","U","HAMILTON","90","44","2","0","3","82","2","1","0","0","224","512","Mt. Hamilton Christian Reform Church"
"033","HAMILTON MOUNTAIN","157","U","HAMILTON","77","21","0","0","5","47","2","1","1","0","154","427","Harmony Baptist Church"
"033","HAMILTON MOUNTAIN","158","U","HAMILTON","92","33","1","1","2","119","0","0","0","0","248","479","Mt. Hamilton Christian Reform Church"
"033","HAMILTON MOUNTAIN","159","U","HAMILTON","63","21","2","0","1","89","2","0","0","0","178","444","Mt. Hamilton Christian Reform Church"
"033","HAMILTON MOUNTAIN","160","U","HAMILTON","79","30","2","0","4","75","0","0","0","0","190","450","Mt. Hamilton Christian Reform Church"
"033","HAMILTON MOUNTAIN","161","U","HAMILTON","82","49","3","0","4","53","0","1","0","0","192","427","The Village of Wentworth Heights"
"033","HAMILTON MOUNTAIN","162","U","HAMILTON","91","42","5","1","4","72","0","0","0","0","215","439","Mt. Hamilton Christian Reform Church"
"033","HAMILTON MOUNTAIN","163","U","HAMILTON","45","17","0","0","1","93","0","0","0","0","156","474","Guido de Bres Christian High School"
"033","HAMILTON MOUNTAIN","164","U","HAMILTON","69","32","3","1","6","63","3","2","0","0","179","463","The Village of Wentworth Heights"
"033","HAMILTON MOUNTAIN","165","U","HAMILTON","60","23","0","1","1","49","0","0","0","0","134","364","Guido de Bres Christian High School"
"033","HAMILTON MOUNTAIN","166","U","HAMILTON","58","20","1","0","2","77","0","0","0","0","158","391","Guido de Bres Christian High School"
"033","HAMILTON MOUNTAIN","167","U","HAMILTON","50","37","0","0","4","79","1","2","0","0","173","437","The Village of Wentworth Heights"
"033","HAMILTON MOUNTAIN","168","U","HAMILTON","56","33","2","0","0","83","0","2","0","0","176","414","Stoneridge Bible Church"
"033","HAMILTON MOUNTAIN","169","U","HAMILTON","35","22","0","0","4","84","1","1","0","0","147","414","Stoneridge Bible Church"
"033","HAMILTON MOUNTAIN","170","U","HAMILTON","104","44","2","0","6","111","4","3","0","0","274","538","Stoneridge Bible Church"
"033","HAMILTON MOUNTAIN","171","U","HAMILTON","107","46","2","3","4","80","0","1","1","0","244","547","Stoneridge Bible Church"
"033","HAMILTON MOUNTAIN","172","U","HAMILTON","81","52","4","0","2","86","0","0","0","0","225","491","Stoneridge Bible Church"
"033","HAMILTON MOUNTAIN","173","U","HAMILTON","98","55","0","1","5","108","2","0","2","0","271","500","Salvation Army Mountain Citadel"
"033","HAMILTON MOUNTAIN","174","U","HAMILTON","78","41","2","0","1","111","0","3","1","0","237","528","Salvation Army Mountain Citadel"
"033","HAMILTON MOUNTAIN","175","U","HAMILTON","96","39","2","0","4","56","1","0","0","0","198","511","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","176","U","HAMILTON","83","48","2","0","3","107","1","2","0","0","246","513","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","177","U","HAMILTON","54","33","0","1","4","94","1","0","1","0","188","557","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","178","U","HAMILTON","73","46","1","0","3","91","2","0","0","0","216","503","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","179","U","ANCASTER","94","52","1","0","2","64","0","0","2","0","215","433","Rehoboth United Reform Church"
"033","HAMILTON MOUNTAIN","180","U","ANCASTER","110","51","0","1","2","52","0","2","0","0","218","537","Rehoboth United Reform Church"
"033","HAMILTON MOUNTAIN","181","U","HAMILTON","63","60","10","1","2","91","0","0","0","0","227","339","St. Elizabeth Village/Trillium Club High Schoole"
"033","HAMILTON MOUNTAIN","182","U","HAMILTON","84","69","4","0","2","93","1","1","1","0","255","382","St. Elizabeth Village/Trillium Club High Schoole"
"033","HAMILTON MOUNTAIN","183","U","HAMILTON","81","53","3","0","6","60","0","0","1","0","204","449","Harmony Baptist Church"
"033","HAMILTON MOUNTAIN","184","U","HAMILTON","71","42","2","0","2","75","2","2","0","0","196","423","Harmony Baptist Church"
"033","HAMILTON MOUNTAIN","185","U","HAMILTON","93","46","5","0","6","75","2","0","1","0","228","480","Harmony Baptist Church"
"033","HAMILTON MOUNTAIN","186","U","HAMILTON","58","64","1","0","2","71","0","1","0","0","197","437","Harmony Baptist Church"
"033","HAMILTON MOUNTAIN","187","U","HAMILTON","41","40","1","1","4","70","1","1","0","0","159","503","Turner Public Library"
"033","HAMILTON MOUNTAIN","188","U","HAMILTON","71","31","1","0","4","90","1","0","0","0","198","590","Turner Public Library"
"033","HAMILTON MOUNTAIN","189","U","HAMILTON","46","51","1","0","2","52","0","0","1","0","153","451","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","190","U","HAMILTON","35","22","6","0","4","61","1","0","0","0","129","381","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","191","U","HAMILTON","42","37","0","0","6","72","0","0","0","0","157","449","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","192","U","HAMILTON","48","34","0","1","4","67","0","0","0","0","154","430","Michelangelo Banquet Centre"
"033","HAMILTON MOUNTAIN","193","U","HAMILTON","37","30","2","0","3","85","0","1","0","0","158","222","Eden Roc Apartment(s)"
"033","HAMILTON MOUNTAIN","400","U","HAMILTON","52","32","3","1","0","104","1","0","0","0","193","292","El Mirador"
"033","HAMILTON MOUNTAIN","401","U","HAMILTON","28","20","0","1","4","87","0","0","1","0","141","284","Wellington Square Apartment(s)"
"033","HAMILTON MOUNTAIN","402","U","HAMILTON","66","46","5","1","3","87","0","0","0","0","208","316","Arbour Place"
"033","HAMILTON MOUNTAIN","403","U","HAMILTON","37","32","2","1","1","59","5","2","1","0","140","188","Villa Kiev Senior Citizens Apartment(s)"
"033","HAMILTON MOUNTAIN","700","U","HAMILTON","22","19","3","0","1","50","2","0","1","0","98","270","Macassa Lodge"
"033","HAMILTON MOUNTAIN","701","U","HAMILTON","11","10","2","1","0","10","1","1","0","0","36","189","Grace Villa"
"033","HAMILTON MOUNTAIN","702","U","HAMILTON",".......................COMBINED WITH POLL 703.......................","","","","","","","","","","","","Westmount Terrace"
"033","HAMILTON MOUNTAIN","703","U","HAMILTON","52","26","1","2","2","48","3","0","0","1","135","279","The Wellington"
"033","HAMILTON MOUNTAIN","704","U","HAMILTON","34","24","1","0","1","26","2","1","0","0","89","118","The Court at Rushdale"
"033","HAMILTON MOUNTAIN","705","U","HAMILTON","10","5","1","0","1","15","0","0","4","0","36","131","The Village of Wentworth Heights"
"033","HAMILTON MOUNTAIN","706","U","HAMILTON","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"033","HAMILTON MOUNTAIN","707","U","HAMILTON","16","10","5","2","0","17","1","0","0","0","51","96","St. Elizabeth Villa"
"033","HAMILTON MOUNTAIN","ADV001","U","HAMILTON","472","357","27","4","30","728","2","2","1","0","1623","0","Returning Office / Bureau du directeur du scrutin"
"033","HAMILTON MOUNTAIN","ADV002","U","HAMILTON","155","104","4","0","4","290","5","0","0","0","562","0","Special Ballot Voting / Vote par bulletin spécial"
"033","HAMILTON MOUNTAIN","ADV003","U","HAMILTON","270","191","7","1","12","351","2","0","0","2","836","0","Huntington Park Recreation Centre"
