"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ATSIZ","BERNIER","CORBIERE","DEARLOVE","MACDONALD","MILLOY","VERCOUTEREN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"037","KITCHENER CENTRE","034","U","KITCHENER","0","1","1","46","82","48","3","1","0","0","182","470","Highland Place"
"037","KITCHENER CENTRE","035","U","KITCHENER","0","0","1","29","28","52","1","0","0","0","111","393","Forest Heights Community Centre"
"037","KITCHENER CENTRE","036","U","KITCHENER","1","3","1","35","60","43","4","0","1","0","148","384","Forest Heights Community Centre"
"037","KITCHENER CENTRE","037","U","KITCHENER","0","1","0","19","34","28","2","0","0","0","84","340","Forest Hill United Church"
"037","KITCHENER CENTRE","038","U","KITCHENER","0","3","1","51","54","49","0","1","1","0","160","386","Forest Hill United Church"
"037","KITCHENER CENTRE","039","U","KITCHENER","0","0","0","26","53","115","5","0","1","0","200","440","St. Paul's Catholic School"
"037","KITCHENER CENTRE","040","U","KITCHENER","1","0","0","33","91","83","10","0","0","0","218","523","Forest Hill United Church"
"037","KITCHENER CENTRE","041","U","KITCHENER","0","1","0","25","81","101","6","1","0","0","215","406","St. Paul's Catholic School"
"037","KITCHENER CENTRE","042","U","KITCHENER","1","0","0","20","83","115","5","0","0","0","224","405","St. Paul's Catholic School"
"037","KITCHENER CENTRE","043","U","KITCHENER","0","0","0","26","113","105","6","0","0","0","250","450","St. Paul's Catholic School"
"037","KITCHENER CENTRE","044","U","KITCHENER","0","2","0","42","76","83","7","0","0","1","211","453","Calvin Presbyterian Church"
"037","KITCHENER CENTRE","045","U","KITCHENER","0","1","0","32","39","37","8","0","0","0","117","473","A. R.  Kaufman Public School"
"037","KITCHENER CENTRE","046","U","KITCHENER","1","1","0","42","45","40","2","1","0","0","132","458","A. R.  Kaufman Public School"
"037","KITCHENER CENTRE","047","U","KITCHENER","0","3","0","34","25","48","3","2","1","0","116","371","Willowside Housing Co-Op"
"037","KITCHENER CENTRE","048","U","KITCHENER","0","3","4","62","59","49","2","1","1","0","181","456","A. R.  Kaufman Public School"
"037","KITCHENER CENTRE","049","U","KITCHENER","1","4","0","49","35","40","5","0","1","0","135","370","Waterloo Region Housing Paulander Apartments"
"037","KITCHENER CENTRE","050","U","KITCHENER","1","2","0","39","48","50","5","1","1","0","147","505","Waterloo Region Housing Paulander Apartments"
"037","KITCHENER CENTRE","051","U","KITCHENER","0","1","4","44","65","67","7","0","0","0","188","415","Highland Baptist Church"
"037","KITCHENER CENTRE","052","U","KITCHENER","1","0","0","59","46","65","3","1","0","0","175","450","Highland Baptist Church"
"037","KITCHENER CENTRE","053","U","KITCHENER","1","2","0","16","31","23","2","0","0","0","75","362","Forest Hill United Church"
"037","KITCHENER CENTRE","054","U","KITCHENER","2","0","0","38","54","81","2","0","0","0","177","374","Highland Baptist Church"
"037","KITCHENER CENTRE","055","U","KITCHENER","0","1","0","72","55","95","7","0","0","0","230","492","Highland Baptist Church"
"037","KITCHENER CENTRE","056","U","KITCHENER","1","0","0","41","49","72","7","0","0","0","170","493","Victoria Park Pavilion"
"037","KITCHENER CENTRE","057","U","KITCHENER","1","0","0","38","43","57","2","1","0","0","142","327","Victoria Park Pavilion"
"037","KITCHENER CENTRE","058","U","KITCHENER","0","3","0","24","83","86","0","2","0","0","198","401","Forest Hill United Church"
"037","KITCHENER CENTRE","059","U","KITCHENER","0","3","1","35","69","49","3","0","0","0","160","381","Highland Baptist Church"
"037","KITCHENER CENTRE","060","U","KITCHENER","0","0","0","59","59","68","6","0","1","0","193","436","St. Stephen Lutheran Church"
"037","KITCHENER CENTRE","061","U","KITCHENER","1","0","0","33","68","45","4","0","0","0","151","328","St. Stephen Lutheran Church"
"037","KITCHENER CENTRE","062","U","KITCHENER","3","2","0","48","56","50","3","1","0","0","163","394","Mill Courtland Community Centre"
"037","KITCHENER CENTRE","063","U","KITCHENER","0","1","0","47","82","116","4","0","1","0","251","414","Calvin Presbyterian Church"
"037","KITCHENER CENTRE","064","U","KITCHENER","0","3","1","36","67","30","2","0","1","0","140","406","Calvin Presbyterian Church"
"037","KITCHENER CENTRE","065","U","KITCHENER","0","1","0","33","50","75","3","0","0","0","162","393","Calvin Presbyterian Church"
"037","KITCHENER CENTRE","066","U","KITCHENER","1","0","1","48","55","50","2","0","0","0","157","469","St. Stephen Lutheran Church"
"037","KITCHENER CENTRE","067","U","KITCHENER","0","0","3","55","35","43","6","0","0","0","142","431","St. Stephen Lutheran Church"
"037","KITCHENER CENTRE","068","U","KITCHENER","0","0","1","34","72","36","3","1","0","0","147","435","Mill Courtland Community Centre"
"037","KITCHENER CENTRE","069","U","KITCHENER","0","3","0","51","33","50","3","0","2","0","142","435","St. Stephen Lutheran Church"
"037","KITCHENER CENTRE","070","U","KITCHENER","1","1","0","39","35","37","4","2","0","0","119","446","Mill Courtland Community Centre"
"037","KITCHENER CENTRE","071","U","KITCHENER","0","1","2","42","88","45","3","1","0","0","182","492","Mill Courtland Community Centre"
"037","KITCHENER CENTRE","072","U","KITCHENER","0","0","1","54","49","62","4","0","0","0","170","493","Victoria Park Pavilion"
"037","KITCHENER CENTRE","073","U","KITCHENER","0","2","1","76","32","40","7","2","1","1","162","431","Willowside Housing Co-Op"
"037","KITCHENER CENTRE","074","U","KITCHENER","0","2","0","37","52","65","6","1","0","0","163","400","Victoria Park Pavilion"
"037","KITCHENER CENTRE","075","U","KITCHENER","0","0","1","46","23","82","0","0","0","0","152","411","Victoria Park Pavilion"
"037","KITCHENER CENTRE","076","U","KITCHENER","1","2","1","40","32","96","6","0","0","0","178","436","Victoria Park Pavilion"
"037","KITCHENER CENTRE","077","U","KITCHENER","1","2","1","51","39","78","1","0","0","0","173","424","Victoria Park Pavilion"
"037","KITCHENER CENTRE","078","U","KITCHENER","0","4","0","38","75","77","12","0","0","1","207","509","Sandhills Christian Community"
"037","KITCHENER CENTRE","079","U","KITCHENER","1","3","1","54","42","60","10","0","0","0","171","428","Sandhills Christian Community"
"037","KITCHENER CENTRE","080","U","KITCHENER","0","1","1","34","36","55","5","0","0","0","132","371","Mill Courtland Community Centre"
"037","KITCHENER CENTRE","081","U","KITCHENER","0","0","1","36","25","39","6","0","0","0","107","410","Kitchener Market"
"037","KITCHENER CENTRE","082","U","KITCHENER","1","2","1","34","59","42","6","0","0","0","145","436","Kitchener Market"
"037","KITCHENER CENTRE","083","U","KITCHENER","1","1","0","35","40","36","4","0","0","0","117","316","Mill Courtland Community Centre"
"037","KITCHENER CENTRE","084","U","KITCHENER","1","1","0","33","49","45","8","0","0","0","137","416","Rockway Centre"
"037","KITCHENER CENTRE","085","U","KITCHENER","0","2","0","25","68","59","6","0","0","0","160","449","Rockway Centre"
"037","KITCHENER CENTRE","086","U","KITCHENER","0","0","0","24","90","81","6","1","0","0","202","408","Rockway Centre"
"037","KITCHENER CENTRE","087","U","KITCHENER","0","2","0","40","86","75","7","1","1","0","212","459","Rockway Centre"
"037","KITCHENER CENTRE","088","U","KITCHENER","1","1","1","45","41","90","7","2","0","0","188","696","Downtown Community Centre"
"037","KITCHENER CENTRE","089","U","KITCHENER","0","2","0","50","50","91","6","0","0","0","199","505","Downtown Community Centre"
"037","KITCHENER CENTRE","090","U","KITCHENER","0","0","0","34","44","63","6","0","0","0","147","472","Downtown Community Centre"
"037","KITCHENER CENTRE","091","U","KITCHENER","1","0","1","33","69","101","3","1","0","0","209","448","Bethany Missionary Church"
"037","KITCHENER CENTRE","092","U","KITCHENER","0","3","0","51","67","102","3","0","0","0","226","420","A. R. Goudie Eventide Home"
"037","KITCHENER CENTRE","093","U","KITCHENER","1","0","1","33","30","78","3","0","0","0","146","470","Kitchener Market"
"037","KITCHENER CENTRE","094","U","KITCHENER","0","1","0","45","54","66","4","0","0","0","170","444","Downtown Community Centre"
"037","KITCHENER CENTRE","095","U","KITCHENER","0","0","2","73","53","80","5","0","0","0","213","450","Bethany Missionary Church"
"037","KITCHENER CENTRE","096","U","KITCHENER","1","2","0","56","41","122","5","0","0","0","227","454","Bethany Missionary Church"
"037","KITCHENER CENTRE","097","U","KITCHENER","1","1","2","42","55","97","10","0","0","0","208","429","Bethany Missionary Church"
"037","KITCHENER CENTRE","098","U","KITCHENER","0","3","0","37","56","127","3","0","0","0","226","488","A. R. Goudie Eventide Home"
"037","KITCHENER CENTRE","099","U","KITCHENER","2","0","0","44","24","53","6","0","1","1","131","390","Kitchener Market"
"037","KITCHENER CENTRE","100","U","KITCHENER","0","1","0","58","48","84","11","1","0","0","203","475","Kitchener Memorial Auditorium"
"037","KITCHENER CENTRE","101","U","KITCHENER","3","1","1","37","46","166","8","0","0","0","262","400","Kitchener Memorial Auditorium"
"037","KITCHENER CENTRE","102","U","KITCHENER","0","0","0","47","85","117","6","0","0","0","255","448","Kitchener Memorial Auditorium"
"037","KITCHENER CENTRE","103","U","KITCHENER","0","0","0","34","41","99","8","1","0","0","183","409","Kitchener Memorial Auditorium"
"037","KITCHENER CENTRE","104","U","KITCHENER","0","0","0","57","50","55","11","0","0","0","173","440","Kitchener Memorial Auditorium"
"037","KITCHENER CENTRE","105","U","KITCHENER","0","1","1","33","93","91","1","0","1","0","221","461","Kitchener Memorial Auditorium"
"037","KITCHENER CENTRE","106","U","KITCHENER","0","0","0","41","69","72","4","1","0","0","187","421","Kitchener Memorial Auditorium"
"037","KITCHENER CENTRE","107","U","KITCHENER","1","0","1","41","50","62","5","1","0","0","161","414","Kitchener Memorial Auditorium"
"037","KITCHENER CENTRE","108","U","KITCHENER","0","1","0","47","81","69","8","0","0","0","206","457","Rosemount Public School"
"037","KITCHENER CENTRE","109","U","KITCHENER","0","2","0","42","81","58","3","1","0","0","187","433","Reformation Lutheran Church"
"037","KITCHENER CENTRE","110","U","KITCHENER","0","3","0","33","64","75","3","0","0","0","178","340","Rosemount Public School"
"037","KITCHENER CENTRE","111","U","KITCHENER","0","1","2","43","116","63","6","0","0","0","231","480","Reformation Lutheran Church"
"037","KITCHENER CENTRE","112","U","KITCHENER","0","0","0","41","67","99","5","0","0","0","212","406","Reformation Lutheran Church"
"037","KITCHENER CENTRE","113","U","KITCHENER","0","0","0","29","86","54","1","0","0","0","170","370","Reformation Lutheran Church"
"037","KITCHENER CENTRE","114","U","KITCHENER","0","0","0","28","102","79","3","1","1","0","214","415","Reformation Lutheran Church"
"037","KITCHENER CENTRE","115","U","KITCHENER","0","1","1","26","77","68","4","0","0","0","177","427","St. Anthony Daniel Catholic Parish"
"037","KITCHENER CENTRE","116","U","KITCHENER","2","1","0","19","85","94","2","0","0","0","203","409","St. Anthony Daniel Catholic Parish"
"037","KITCHENER CENTRE","117","U","KITCHENER","0","2","0","16","101","118","2","0","0","0","239","457","St. Anthony Daniel Catholic Parish"
"037","KITCHENER CENTRE","118","U","KITCHENER","0","3","2","26","79","67","2","2","0","0","181","373","St. Anthony Daniel Catholic Parish"
"037","KITCHENER CENTRE","119","U","KITCHENER","2","0","0","40","92","65","2","0","0","0","201","435","St. Luke's Lutheran Church"
"037","KITCHENER CENTRE","120","U","KITCHENER","0","0","0","23","89","139","7","0","0","0","258","484","St. Luke's Lutheran Church"
"037","KITCHENER CENTRE","121","U","KITCHENER","0","0","0","38","70","64","2","0","0","0","174","375","St. Luke's Lutheran Church"
"037","KITCHENER CENTRE","122","U","KITCHENER","0","0","1","31","77","40","2","0","0","0","151","411","St. Luke's Lutheran Church"
"037","KITCHENER CENTRE","123","U","KITCHENER","0","3","3","26","75","77","6","0","0","0","190","427","St. Luke's Lutheran Church"
"037","KITCHENER CENTRE","124","U","KITCHENER","0","3","0","2","81","37","1","2","1","0","127","166","Emmanuel Village"
"037","KITCHENER CENTRE","125","U","KITCHENER","0","1","1","56","46","31","2","0","0","0","137","408","Emmanuel Village"
"037","KITCHENER CENTRE","126","U","KITCHENER","0","0","1","45","48","23","4","1","0","0","122","367","Emmanuel Village"
"037","KITCHENER CENTRE","127","U","KITCHENER","0","3","3","40","71","41","2","0","0","0","160","464","Howard Robertson Public School"
"037","KITCHENER CENTRE","128","U","KITCHENER","0","1","1","33","37","42","2","2","0","0","118","368","Centreville - Chicopee Community Centre"
"037","KITCHENER CENTRE","129","U","KITCHENER","0","2","0","45","37","30","2","1","0","0","117","435","Howard Robertson Public School"
"037","KITCHENER CENTRE","130","U","KITCHENER","1","1","0","39","31","35","4","1","0","0","112","421","Howard Robertson Public School"
"037","KITCHENER CENTRE","131","U","KITCHENER","0","4","0","34","43","41","2","1","1","0","126","441","Howard Robertson Public School"
"037","KITCHENER CENTRE","132","U","KITCHENER","0","2","5","28","33","34","0","0","0","0","102","463","Centreville - Chicopee Community Centre"
"037","KITCHENER CENTRE","133","U","KITCHENER","0","0","1","50","43","73","6","0","0","0","173","426","Centreville - Chicopee Community Centre"
"037","KITCHENER CENTRE","134","U","KITCHENER","0","2","0","42","54","58","4","1","0","0","161","420","Centreville - Chicopee Community Centre"
"037","KITCHENER CENTRE","135","U","KITCHENER","0","0","0","26","68","81","0","0","1","0","176","420","Centreville - Chicopee Community Centre"
"037","KITCHENER CENTRE","136","U","KITCHENER","0","1","1","33","43","52","2","2","0","0","134","435","Rosemount Public School"
"037","KITCHENER CENTRE","137","U","KITCHENER","0","0","1","39","75","112","8","2","0","0","237","460","Rosemount Public School"
"037","KITCHENER CENTRE","138","U","KITCHENER","1","0","0","26","53","59","1","0","0","0","140","343","Stanley Park Baptist Church"
"037","KITCHENER CENTRE","139","U","KITCHENER","0","3","3","19","49","67","1","0","0","0","142","369","Grand River Collegiate"
"037","KITCHENER CENTRE","140","U","KITCHENER","0","0","1","24","123","52","5","0","1","0","206","486","Lyle Hallman Pool"
"037","KITCHENER CENTRE","141","U","KITCHENER","1","0","1","33","71","105","9","1","0","0","221","400","Rosemount Public School"
"037","KITCHENER CENTRE","142","U","KITCHENER","2","1","0","28","91","100","5","1","0","0","228","436","Stanley Park Baptist Church"
"037","KITCHENER CENTRE","143","U","KITCHENER","0","1","1","32","87","61","4","0","0","0","186","487","Stanley Park Baptist Church"
"037","KITCHENER CENTRE","144","U","KITCHENER","0","0","0","20","70","110","5","0","0","0","205","428","Lyle Hallman Pool"
"037","KITCHENER CENTRE","145","U","KITCHENER","1","3","1","51","76","55","7","0","0","0","194","400","Stanley Park Baptist Church"
"037","KITCHENER CENTRE","146","U","KITCHENER","0","0","1","28","60","64","2","0","0","1","156","418","Stanley Park Baptist Church"
"037","KITCHENER CENTRE","147","U","KITCHENER","0","1","1","30","70","78","1","2","0","0","183","420","Lyle Hallman Pool"
"037","KITCHENER CENTRE","148","U","KITCHENER","0","0","0","34","83","74","2","1","0","0","194","418","Lyle Hallman Pool"
"037","KITCHENER CENTRE","149","U","KITCHENER","1","0","0","20","84","62","8","0","0","0","175","443","Lyle Hallman Pool"
"037","KITCHENER CENTRE","150","U","KITCHENER","0","0","1","55","98","79","4","0","0","0","237","483","Stanley Park Baptist Church"
"037","KITCHENER CENTRE","151","U","KITCHENER","0","1","0","31","72","52","4","1","1","0","162","422","Grand River Collegiate"
"037","KITCHENER CENTRE","152","U","KITCHENER","0","2","0","23","75","64","0","2","0","0","166","371","Lyle Hallman Pool"
"037","KITCHENER CENTRE","153","U","KITCHENER","0","3","0","35","63","31","6","0","0","0","138","464","Stanley Park Baptist Church"
"037","KITCHENER CENTRE","154","U","KITCHENER","1","1","0","28","82","53","2","1","0","0","168","440","Grand River Collegiate"
"037","KITCHENER CENTRE","155","U","KITCHENER","2","2","1","35","42","27","5","2","0","0","116","457","Grand River Collegiate"
"037","KITCHENER CENTRE","156","U","KITCHENER","0","0","0","28","65","66","3","0","0","0","162","384","Lyle Hallman Pool"
"037","KITCHENER CENTRE","157","U","KITCHENER","0","1","1","22","32","33","3","1","0","0","93","350","Kitchener Gospel Temple"
"037","KITCHENER CENTRE","158","U","KITCHENER","0","4","1","28","43","39","1","2","0","0","118","411","Kitchener Gospel Temple"
"037","KITCHENER CENTRE","159","U","KITCHENER","0","2","0","23","79","74","3","1","0","0","182","415","Kitchener Gospel Temple"
"037","KITCHENER CENTRE","160","U","KITCHENER","0","0","0","27","99","80","5","1","0","0","212","466","Kitchener East Presbyterian Church"
"037","KITCHENER CENTRE","161","U","KITCHENER","0","0","0","31","49","34","2","1","0","0","117","438","Kitchener Gospel Temple"
"037","KITCHENER CENTRE","162","U","KITCHENER","0","1","0","11","76","98","4","0","1","0","191","409","Kitchener Gospel Temple"
"037","KITCHENER CENTRE","163","U","KITCHENER","0","0","2","23","109","102","7","3","0","0","246","468","Kitchener East Presbyterian Church"
"037","KITCHENER CENTRE","164","U","KITCHENER","0","1","1","34","115","87","5","0","0","0","243","494","Kitchener Gospel Temple"
"037","KITCHENER CENTRE","165","U","KITCHENER","0","0","0","23","130","101","4","1","0","0","259","443","Grandview Baptist Church"
"037","KITCHENER CENTRE","166","U","KITCHENER","0","0","1","23","85","94","4","2","1","0","210","410","Kitchener East Presbyterian Church"
"037","KITCHENER CENTRE","167","U","KITCHENER","0","1","0","26","92","97","1","0","0","0","217","441","Kitchener East Presbyterian Church"
"037","KITCHENER CENTRE","168","U","KITCHENER","0","2","0","36","112","129","6","1","1","0","287","621","Pope John Paul II Catholic Elementary School"
"037","KITCHENER CENTRE","169","U","KITCHENER","1","0","0","13","64","76","1","0","0","0","155","354","Grandview Baptist Church"
"037","KITCHENER CENTRE","170","U","KITCHENER","0","0","1","27","68","81","3","1","1","0","182","445","Grandview Baptist Church"
"037","KITCHENER CENTRE","171","U","KITCHENER","1","1","1","28","93","70","2","0","1","0","197","428","Grandview Baptist Church"
"037","KITCHENER CENTRE","172","U","KITCHENER","0","0","1","28","87","98","5","0","0","1","220","442","Grandview Baptist Church"
"037","KITCHENER CENTRE","173","U","KITCHENER","0","1","2","20","81","100","5","0","0","0","209","489","Pope John Paul II Catholic Elementary School"
"037","KITCHENER CENTRE","174","U","KITCHENER","0","0","0","43","39","44","7","1","0","0","134","402","Howard Robertson Public School"
"037","KITCHENER CENTRE","175","U","KITCHENER","1","0","0","20","25","49","4","0","0","0","99","260","Grandview Baptist Church"
"037","KITCHENER CENTRE","176","U","KITCHENER","0","0","0","20","73","45","5","0","0","0","143","390","Pope John Paul II Catholic Elementary School"
"037","KITCHENER CENTRE","177","U","KITCHENER","0","0","0","7","31","33","0","0","0","0","71","200","Pope John Paul II Catholic Elementary School"
"037","KITCHENER CENTRE","178","U","KITCHENER","0","0","0","8","57","40","1","0","0","0","106","238","Pope John Paul II Catholic Elementary School"
"037","KITCHENER CENTRE","179","U","KITCHENER","0","0","1","24","65","65","1","0","0","0","156","424","Pope John Paul II Catholic Elementary School"
"037","KITCHENER CENTRE","180","U","KITCHENER","0","0","0","36","90","60","6","0","1","0","193","452","Centreville - Chicopee Community Centre"
"037","KITCHENER CENTRE","181","U","KITCHENER","0","3","0","34","100","95","4","0","0","0","236","445","Romanian Church of God"
"037","KITCHENER CENTRE","182","U","KITCHENER","0","0","0","17","78","111","4","0","0","0","210","395","Romanian Church of God"
"037","KITCHENER CENTRE","183","U","KITCHENER","0","1","0","23","83","114","10","0","0","0","231","439","Romanian Church of God"
"037","KITCHENER CENTRE","400","U","KITCHENER","0","3","0","27","41","76","2","1","0","0","150","313","Victoria Park Place"
"037","KITCHENER CENTRE","401","U","KITCHENER","0","0","0","15","37","62","4","0","0","0","118","239","Iron Horse Tower"
"037","KITCHENER CENTRE","402","U","KITCHENER","1","2","1","76","89","85","5","0","0","1","260","436","Queen-Margaret Place Apartment"
"037","KITCHENER CENTRE","700","U","KITCHENER","0","1","1","15","35","25","0","0","0","0","77","240","Lanark Heights Long Term Care"
"037","KITCHENER CENTRE","701","U","KITCHENER","0","1","2","19","19","12","1","0","1","0","55","120","Forest Heights Long Term Care Centre"
"037","KITCHENER CENTRE","702","U","KITCHENER","1","3","1","2","15","26","1","0","0","0","49","84","Highland Place"
"037","KITCHENER CENTRE","703","U","KITCHENER","1","4","1","5","27","11","1","1","0","0","51","74","Conestoga Lodge"
"037","KITCHENER CENTRE","704","U","KITCHENER","1","3","1","13","26","30","1","2","0","0","77","128","Senioren Haus Concordia"
"037","KITCHENER CENTRE","705","U","KITCHENER","1","0","3","14","14","10","2","0","0","2","46","70","Millwood Manor"
"037","KITCHENER CENTRE","706","U","KITCHENER","0","0","0","2","17","11","0","0","0","0","30","91","Victoria Place"
"037","KITCHENER CENTRE","707","U","KITCHENER","0","0","0","3","9","3","0","0","0","0","15","72","A. R. Goudie Eventide Home"
"037","KITCHENER CENTRE","708","U","KITCHENER","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"037","KITCHENER CENTRE","709","U","KITCHENER","0","0","0","9","41","33","5","0","0","0","88","297","Sunnyside Home"
"037","KITCHENER CENTRE","710","U","KITCHENER","0","2","1","7","16","9","0","3","0","0","38","65","Fergus Place"
"037","KITCHENER CENTRE","711","U","KITCHENER","1","1","0","3","7","12","0","2","0","0","26","63","Trinity Village Pioneer Terrace"
"037","KITCHENER CENTRE","ADV001","U","KITCHENER","2","4","4","134","274","214","14","0","1","0","647","0","Returning Office / Bureau du directeur du scrutin"
"037","KITCHENER CENTRE","ADV002","U","KITCHENER","0","1","3","47","95","111","10","3","1","7","278","0","Special Ballot Voting / Vote par bulletin spécial"
"037","KITCHENER CENTRE","ADV003","U","KITCHENER","0","1","1","51","90","115","12","2","0","0","272","0","Downtown Community Centre"
"037","KITCHENER CENTRE","ADV004","U","KITCHENER","1","3","2","154","624","618","24","3","0","1","1430","0","Forest Heights Community Centre"
"037","KITCHENER CENTRE","ADV005","U","KITCHENER","5","6","7","354","1419","1063","62","6","3","2","2927","0","Stanley Park Zehrs Store"
"037","KITCHENER CENTRE","ADV006","U","KITCHENER","1","4","0","85","115","224","17","0","0","1","447","0","Victoria Park Pavilion"
"TOTALS:","","","","","77","240","137","7385","15069","15392","938","110","40","22","39410","80170",""
