"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","GILBERT","KOZORYS","MAURO","MCMENEMY","MILNES","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"090","THUNDER BAY--ATIKOKAN","049","U","THUNDER BAY","17","16","30","0","0","0","0","0","63","150","Travelodge (Airlane) Hotel"
"090","THUNDER BAY--ATIKOKAN","050","U","THUNDER BAY","63","60","106","2","3","0","0","0","234","646","Travelodge (Airlane) Hotel"
"090","THUNDER BAY--ATIKOKAN","051","U","THUNDER BAY","37","42","79","0","1","0","0","0","159","378","Travelodge (Airlane) Hotel"
"090","THUNDER BAY--ATIKOKAN","052","U","THUNDER BAY","87","64","51","0","3","0","0","0","205","568","Neebing Mun Office"
"090","THUNDER BAY--ATIKOKAN","053","U","THUNDER BAY","60","77","91","0","3","2","0","0","233","575","Norwester Motor Hotel/Best Western"
"090","THUNDER BAY--ATIKOKAN","054","U","THUNDER BAY","63","35","87","0","2","0","0","0","187","426","Norwester Motor Hotel/Best Western"
"090","THUNDER BAY--ATIKOKAN","055","U","THUNDER BAY","98","30","70","0","1","1","0","0","200","400","Norwester Motor Hotel/Best Western"
"090","THUNDER BAY--ATIKOKAN","056","U","THUNDER BAY","56","57","80","0","2","0","1","0","196","371","South Neebing Community Centre"
"090","THUNDER BAY--ATIKOKAN","057","U","THUNDER BAY","58","52","78","1","5","0","0","0","194","448","South Neebing Community Centre"
"090","THUNDER BAY--ATIKOKAN","058","U","THUNDER BAY","34","51","77","0","4","0","0","0","166","401","Vale Community Centre"
"090","THUNDER BAY--ATIKOKAN","059","U","THUNDER BAY","29","70","116","1","1","0","0","0","217","517","Vale Community Centre"
"090","THUNDER BAY--ATIKOKAN","060","U","THUNDER BAY","38","60","85","0","3","0","1","0","187","449","Vale Community Centre"
"090","THUNDER BAY--ATIKOKAN","061","U","THUNDER BAY","29","70","93","1","2","1","1","0","197","488","Vale Community Centre"
"090","THUNDER BAY--ATIKOKAN","062","U","THUNDER BAY","40","61","84","0","1","0","0","0","186","390","St. Francis Elementary School"
"090","THUNDER BAY--ATIKOKAN","063","U","THUNDER BAY","2","61","35","0","0","0","0","0","98","449","Vale Community Centre"
"090","THUNDER BAY--ATIKOKAN","064","U","THUNDER BAY","38","65","66","0","2","0","0","0","171","416","St. Dominic's Roman Catholic Church"
"090","THUNDER BAY--ATIKOKAN","065","U","THUNDER BAY","31","59","80","1","3","0","0","0","174","449","St. Dominic's Roman Catholic Church"
"090","THUNDER BAY--ATIKOKAN","066","U","THUNDER BAY","45","49","107","0","3","0","0","1","205","432","St. Francis Elementary School"
"090","THUNDER BAY--ATIKOKAN","067","U","THUNDER BAY","29","62","67","1","1","1","0","0","161","395","St. Francis Elementary School"
"090","THUNDER BAY--ATIKOKAN","068","U","THUNDER BAY","19","56","66","0","1","1","0","0","143","404","St. Francis Elementary School"
"090","THUNDER BAY--ATIKOKAN","069","U","THUNDER BAY","47","33","97","1","1","1","1","0","181","396","St. Francis Elementary School"
"090","THUNDER BAY--ATIKOKAN","070","U","THUNDER BAY","20","61","67","0","1","1","1","0","151","386","St. Dominic's Roman Catholic Church"
"090","THUNDER BAY--ATIKOKAN","071","U","THUNDER BAY","17","30","57","1","4","0","0","0","109","348","St. Dominic's Roman Catholic Church"
"090","THUNDER BAY--ATIKOKAN","072","U","THUNDER BAY","30","51","88","0","1","0","1","0","171","370","St. Dominic's Roman Catholic Church"
"090","THUNDER BAY--ATIKOKAN","073","U","THUNDER BAY","47","61","100","1","0","0","0","0","209","412","Exaltation of the Holy Cross"
"090","THUNDER BAY--ATIKOKAN","074","U","THUNDER BAY","88","66","118","0","4","0","0","1","277","544","Exaltation of the Holy Cross"
"090","THUNDER BAY--ATIKOKAN","075","U","THUNDER BAY","36","71","74","2","0","0","0","0","183","425","Exaltation of the Holy Cross"
"090","THUNDER BAY--ATIKOKAN","076","U","THUNDER BAY","40","80","88","0","3","0","1","0","212","490","Calvary Lutheran Church"
"090","THUNDER BAY--ATIKOKAN","077","U","THUNDER BAY","20","66","47","0","3","0","2","0","138","459","Thunder Bay Christian Fellowship"
"090","THUNDER BAY--ATIKOKAN","078","U","THUNDER BAY","0","0","0","0","0","0","0","0","0","1","Redwood Park Church"
"090","THUNDER BAY--ATIKOKAN","079","U","THUNDER BAY","39","58","66","0","0","0","0","0","163","420","St. Dominic's Roman Catholic Church"
"090","THUNDER BAY--ATIKOKAN","080","U","THUNDER BAY","35","51","92","1","0","0","0","0","179","414","St. Dominic's Roman Catholic Church"
"090","THUNDER BAY--ATIKOKAN","081","U","THUNDER BAY","30","50","109","0","4","0","0","0","193","486","Grandview Lodge"
"090","THUNDER BAY--ATIKOKAN","082","U","THUNDER BAY","25","62","62","1","1","0","1","0","152","418","Grandview Lodge"
"090","THUNDER BAY--ATIKOKAN","083","U","THUNDER BAY","29","71","74","2","3","0","0","0","179","438","Calvary Lutheran Church"
"090","THUNDER BAY--ATIKOKAN","084","U","THUNDER BAY","32","50","77","2","2","0","0","0","163","383","Da Vinci Centre"
"090","THUNDER BAY--ATIKOKAN","085","U","THUNDER BAY","28","78","67","0","4","0","1","0","178","476","Pope John Paul II Tomanc Catholic School"
"090","THUNDER BAY--ATIKOKAN","086","U","THUNDER BAY","9","72","35","0","2","0","0","0","118","441","Herb Carroll Centre"
"090","THUNDER BAY--ATIKOKAN","087","U","THUNDER BAY","17","48","41","2","4","1","0","0","113","429","First Wesley United Church"
"090","THUNDER BAY--ATIKOKAN","088","U","THUNDER BAY","10","78","41","0","1","0","0","0","130","426","McKellar Park School"
"090","THUNDER BAY--ATIKOKAN","089","U","THUNDER BAY","20","68","55","0","5","1","0","0","149","459","Thunder Bay Christian Fellowship"
"090","THUNDER BAY--ATIKOKAN","090","U","THUNDER BAY","15","82","65","1","0","0","0","0","163","474","Thunder Bay Christian Fellowship"
"090","THUNDER BAY--ATIKOKAN","091","U","THUNDER BAY","26","61","45","0","7","0","0","0","139","435","Thunder Bay Christian Fellowship"
"090","THUNDER BAY--ATIKOKAN","092","U","THUNDER BAY","12","92","39","0","3","0","0","0","146","484","McKellar Park School"
"090","THUNDER BAY--ATIKOKAN","093","U","THUNDER BAY","11","45","26","0","2","0","0","0","84","401","Paterson Court"
"090","THUNDER BAY--ATIKOKAN","094","U","THUNDER BAY","12","93","52","3","6","0","0","0","166","479","Knox United Church"
"090","THUNDER BAY--ATIKOKAN","095","U","THUNDER BAY","16","64","38","0","1","0","0","1","120","480","Knox United Church"
"090","THUNDER BAY--ATIKOKAN","096","U","THUNDER BAY","19","54","27","0","2","1","0","0","103","370","Knox United Church"
"090","THUNDER BAY--ATIKOKAN","097","U","THUNDER BAY","8","58","29","0","1","0","0","0","96","405","Knox United Church"
"090","THUNDER BAY--ATIKOKAN","098","U","THUNDER BAY","18","107","55","0","1","4","1","0","186","539","Slovak Legion"
"090","THUNDER BAY--ATIKOKAN","099","U","THUNDER BAY","28","83","68","1","3","0","0","0","183","574","Slovak Legion"
"090","THUNDER BAY--ATIKOKAN","100","U","THUNDER BAY","32","54","68","0","3","0","1","0","158","402","Travelodge (Airlane) Hotel"
"090","THUNDER BAY--ATIKOKAN","101","U","THUNDER BAY","27","63","77","0","5","0","0","0","172","493","Westmount School"
"090","THUNDER BAY--ATIKOKAN","102","U","THUNDER BAY","24","71","96","0","2","0","0","0","193","417","Westmount School"
"090","THUNDER BAY--ATIKOKAN","103","U","THUNDER BAY","22","64","69","1","1","0","0","0","157","437","Da Vinci Centre"
"090","THUNDER BAY--ATIKOKAN","104","U","THUNDER BAY","18","66","46","0","2","0","0","0","132","333","Da Vinci Centre"
"090","THUNDER BAY--ATIKOKAN","105","U","THUNDER BAY","30","58","63","0","4","1","0","1","157","468","St. Patricks High School"
"090","THUNDER BAY--ATIKOKAN","106","U","THUNDER BAY","42","48","107","1","2","0","0","0","200","435","St. Patricks High School"
"090","THUNDER BAY--ATIKOKAN","107","U","THUNDER BAY","28","68","101","0","5","0","0","0","202","442","St. Pauls Anglican Church"
"090","THUNDER BAY--ATIKOKAN","108","U","THUNDER BAY","23","46","72","0","4","0","1","0","146","350","St. Pauls Anglican Church"
"090","THUNDER BAY--ATIKOKAN","109","U","THUNDER BAY","21","61","41","0","2","0","0","0","125","433","St. Pauls Anglican Church"
"090","THUNDER BAY--ATIKOKAN","110","U","THUNDER BAY","26","42","57","1","0","0","0","0","126","309","St. Patricks High School"
"090","THUNDER BAY--ATIKOKAN","111","U","THUNDER BAY","16","88","50","0","4","1","0","0","159","464","St. Pauls Anglican Church"
"090","THUNDER BAY--ATIKOKAN","112","U","THUNDER BAY","29","70","63","1","4","1","0","1","169","514","Free Methodist Church"
"090","THUNDER BAY--ATIKOKAN","113","U","THUNDER BAY","40","93","65","0","5","0","0","0","203","537","Free Methodist Church"
"090","THUNDER BAY--ATIKOKAN","114","U","THUNDER BAY","24","85","59","0","1","2","0","0","171","485","Free Methodist Church"
"090","THUNDER BAY--ATIKOKAN","115","U","THUNDER BAY","30","95","51","1","3","0","0","0","180","474","West Thunder Community Centre"
"090","THUNDER BAY--ATIKOKAN","116","U","THUNDER BAY","29","73","85","2","4","0","0","0","193","517","Kingsway Park Public School"
"090","THUNDER BAY--ATIKOKAN","117","U","THUNDER BAY","17","71","67","0","3","0","0","0","158","482","Da Vinci Centre"
"090","THUNDER BAY--ATIKOKAN","118","U","THUNDER BAY","19","82","61","0","3","2","1","0","168","470","West Thunder Community Centre"
"090","THUNDER BAY--ATIKOKAN","119","U","THUNDER BAY","10","67","21","0","1","0","1","0","100","349","Broadway United Church"
"090","THUNDER BAY--ATIKOKAN","120","U","THUNDER BAY","30","78","48","0","1","0","0","0","157","454","Spence Court"
"090","THUNDER BAY--ATIKOKAN","121","U","THUNDER BAY","19","81","46","1","4","3","1","0","155","430","West Thunder Community Centre"
"090","THUNDER BAY--ATIKOKAN","122","U","THUNDER BAY","41","53","88","1","2","1","0","0","186","452","West Thunder Community Centre"
"090","THUNDER BAY--ATIKOKAN","123","U","THUNDER BAY","18","81","76","0","0","0","0","0","175","417","Broadway United Church"
"090","THUNDER BAY--ATIKOKAN","124","U","THUNDER BAY","26","92","48","0","2","0","0","0","168","450","Broadway United Church"
"090","THUNDER BAY--ATIKOKAN","125","U","THUNDER BAY","32","98","78","1","4","0","1","0","214","530","St. Ann School"
"090","THUNDER BAY--ATIKOKAN","126","U","THUNDER BAY","11","75","55","0","3","1","0","0","145","484","St. Ann School"
"090","THUNDER BAY--ATIKOKAN","127","U","THUNDER BAY","19","88","43","0","2","1","0","0","153","484","St. Ann School"
"090","THUNDER BAY--ATIKOKAN","128","U","THUNDER BAY","8","64","28","0","1","2","0","0","103","412","Broadway United Church"
"090","THUNDER BAY--ATIKOKAN","129","U","THUNDER BAY","5","73","41","0","0","0","1","0","120","534","Fort William First Nation Community Hall"
"090","THUNDER BAY--ATIKOKAN","400","U","THUNDER BAY","11","32","30","0","1","0","0","0","74","103","Manion Court"
"090","THUNDER BAY--ATIKOKAN","401","U","THUNDER BAY","8","26","28","1","1","0","0","0","64","125","Herb Carroll Centre"
"090","THUNDER BAY--ATIKOKAN","402","U","THUNDER BAY","8","29","55","0","1","0","1","0","94","119","Paterson Court"
"090","THUNDER BAY--ATIKOKAN","403","U","THUNDER BAY","6","39","53","0","3","0","0","0","101","170","Spence Court"
"090","THUNDER BAY--ATIKOKAN","404","U","THUNDER BAY","3","17","27","1","1","1","0","0","50","82","Walter Assef Court"
"090","THUNDER BAY--ATIKOKAN","700","U","ATIKOKAN","0","0","0","0","0","0","0","0","0","0","Atikokan General Hospital"
"090","THUNDER BAY--ATIKOKAN","701","U","THUNDER BAY","6","10","12","1","0","0","0","0","29","98","Hogarth Riverview Manor"
"090","THUNDER BAY--ATIKOKAN","702","U","THUNDER BAY","4","13","18","0","0","1","1","0","37","163","Grandview Lodge"
"090","THUNDER BAY--ATIKOKAN","703","U","THUNDER BAY","6","10","16","2","0","0","0","0","34","132","Lakehead Manor"
"090","THUNDER BAY--ATIKOKAN","704","U","THUNDER BAY","7","6","25","1","2","0","0","2","43","134","Pinewood Court"
"090","THUNDER BAY--ATIKOKAN","705","U","THUNDER BAY","4","11","12","0","1","0","0","0","28","78","Thunder Bay Interim Long Term Care"
"090","THUNDER BAY--ATIKOKAN","706","U","THUNDER BAY","14","14","21","0","1","0","1","0","51","85","McKellar Placeretirement Residence Inc"
"090","THUNDER BAY--ATIKOKAN","ADV001","U","THUNDER BAY","667","907","1060","8","27","0","0","0","2669","0","Returning Office / Bureau du directeur du scrutin"
"090","THUNDER BAY--ATIKOKAN","ADV002","U","THUNDER BAY","139","232","255","3","5","11","0","0","645","0","Special Ballot Voting / Vote par bulletin spécial"
"090","THUNDER BAY--ATIKOKAN","ADV003","U","ATIKOKAN","90","141","126","2","3","0","0","0","362","0","Satellite Office"
"090","THUNDER BAY--ATIKOKAN","ADV004","U","THUNDER BAY","55","73","77","1","4","0","0","0","210","0","North McIntyre Recreation Centre"
"090","THUNDER BAY--ATIKOKAN","ADV005","U","THUNDER BAY","72","161","151","2","7","2","0","0","395","0","Slovak Legion"
"090","THUNDER BAY--ATIKOKAN","ADV006","R","KAKABEKA FALLS","49","65","43","1","1","2","0","0","161","0","Kakabeka Falls Legion #225"
"090","THUNDER BAY--ATIKOKAN","ADV007","U","THUNDER BAY","65","64","65","0","2","0","1","0","197","0","Norwester Motor Hotel/Best Western"
"090","THUNDER BAY--ATIKOKAN","ADV008","U","THUNDER BAY","9","18","8","0","5","0","0","0","40","0","Confederation College - Sibley Hall"
"TOTALS:","","","","","5815","9881","10319","86","379","59","31","8","26578","57027",""
