ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,AULBROOK,BONIN,COURVILLE,DANESE,VANTHOF,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
92,TIMISKAMING--COCHRANE,19,U,PORQUIS JUNCTION,22,9,4,5,76,0,0,0,116,284,Porquis Agricultural Hall
92,TIMISKAMING--COCHRANE,20,U,PORQUIS JUNCTION,12,9,3,2,32,0,0,0,58,204,Porquis Agricultural Hall
92,TIMISKAMING--COCHRANE,21,U,MATHESON,1,2,0,3,24,0,0,0,30,96,Wahgoshig First Nation Council Chamber
92,TIMISKAMING--COCHRANE,22,U,VAL GAGNE,30,20,2,2,102,0,0,0,156,286,Country Inn
92,TIMISKAMING--COCHRANE,23,U,MATHESON,26,10,0,1,32,0,0,0,69,120,Shillington Community Hall
92,TIMISKAMING--COCHRANE,24,U,MATHESON,64,18,5,1,90,1,0,0,179,474,Brm Family Lodge
92,TIMISKAMING--COCHRANE,25,U,MATHESON,89,21,3,4,66,0,0,0,183,416,Brm Family Lodge
92,TIMISKAMING--COCHRANE,26,U,HOLTYRE,6,9,0,1,34,0,0,0,50,122,The Alice Laurin Community Centre
92,TIMISKAMING--COCHRANE,27,U,RAMORE,28,26,2,4,70,0,0,0,130,233,Paroisse St. Laurent
92,TIMISKAMING--COCHRANE,28,U,SESEKINIKA,30,9,0,2,30,0,0,0,71,116,Sesekinika Fire Hall
92,TIMISKAMING--COCHRANE,29,U,SWASTIKA,48,29,3,1,76,2,0,0,159,289,Kenogami District Community Firehall
92,TIMISKAMING--COCHRANE,30,U,KIRKLAND LAKE,24,27,3,0,57,0,0,0,111,306,Hockey Heritage North
92,TIMISKAMING--COCHRANE,31,U,KIRKLAND LAKE,15,11,1,1,62,0,0,0,90,329,Hockey Heritage North
92,TIMISKAMING--COCHRANE,32,U,KIRKLAND LAKE,15,24,2,2,54,2,0,0,99,296,Royal Canadian Legion Branch 87
92,TIMISKAMING--COCHRANE,33,U,KIRKLAND LAKE,23,24,1,1,82,0,0,0,131,467,Royal Canadian Legion Branch 87
92,TIMISKAMING--COCHRANE,34,U,KIRKLAND LAKE,15,29,3,0,77,0,0,0,124,480,Royal Canadian Legion Branch 87
92,TIMISKAMING--COCHRANE,35,U,KIRKLAND LAKE,46,47,1,4,82,1,0,0,181,442,Royal Canadian Legion Branch 87
92,TIMISKAMING--COCHRANE,36,U,KIRKLAND LAKE,27,22,5,2,73,1,1,0,131,335,Royal Canadian Legion Branch 87
92,TIMISKAMING--COCHRANE,37,U,KIRKLAND LAKE,24,34,5,1,94,0,1,0,159,451,École secondaire catholique Jean Vanier
92,TIMISKAMING--COCHRANE,38,U,KIRKLAND LAKE,36,41,0,0,99,1,0,0,177,558,École secondaire catholique Jean Vanier
92,TIMISKAMING--COCHRANE,39,U,KIRKLAND LAKE,11,20,1,0,49,0,0,0,81,363,École secondaire catholique Jean Vanier
92,TIMISKAMING--COCHRANE,40,U,KIRKLAND LAKE,19,17,1,4,66,0,0,0,107,377,École secondaire Sacred Heart
92,TIMISKAMING--COCHRANE,41,U,KIRKLAND LAKE,19,27,0,2,68,1,1,0,118,417,École secondaire Sacred Heart
92,TIMISKAMING--COCHRANE,42,U,KIRKLAND LAKE,16,14,4,2,84,0,0,0,120,395,École secondaire Sacred Heart
92,TIMISKAMING--COCHRANE,43,U,KIRKLAND LAKE,31,17,3,0,82,0,0,0,133,429,École secondaire Sacred Heart
92,TIMISKAMING--COCHRANE,44,U,KIRKLAND LAKE,35,30,3,0,60,0,0,0,128,428,École secondaire Sacred Heart
92,TIMISKAMING--COCHRANE,45,U,KING KIRKLAND,28,23,1,1,75,0,0,0,128,303,King - Label Fire Department
92,TIMISKAMING--COCHRANE,46,U,LARDER LAKE,63,32,3,1,162,1,0,0,262,559,Larder Lake Community Complex
92,TIMISKAMING--COCHRANE,47,U,VIRGINIATOWN,44,39,5,0,155,1,0,0,244,535,Virginiatown Community Centre
92,TIMISKAMING--COCHRANE,48,U,MATACHEWAN,.......................COMBINED WITH POLL 049.......................,,,,,,,,,,Matachewan First Nation
92,TIMISKAMING--COCHRANE,49,U,MATACHEWAN,26,11,2,1,81,0,0,0,121,278,Matachewan Royal Canadian Legion
92,TIMISKAMING--COCHRANE,50,U,SWASTIKA,36,12,2,1,85,0,1,0,137,261,Round Lake Community Hall
92,TIMISKAMING--COCHRANE,51,U,CHARLTON,36,14,1,3,146,0,0,0,200,339,Charlton - Savard Public School
92,TIMISKAMING--COCHRANE,52,U,ENGLEHART,28,5,0,0,78,0,0,0,111,210,Chamberlain Township Office
92,TIMISKAMING--COCHRANE,53,U,ENGLEHART,35,4,1,1,93,0,0,0,134,250,Charlton and Dack Community Complex
92,TIMISKAMING--COCHRANE,54,U,ENGLEHART,41,13,1,3,143,0,0,0,201,432,Englehart and Area Community Arena Complex
92,TIMISKAMING--COCHRANE,55,U,ENGLEHART,41,24,2,1,119,0,0,0,187,385,Englehart and Area Community Arena Complex
92,TIMISKAMING--COCHRANE,56,U,ENGLEHART,37,13,5,6,123,0,0,0,184,420,Englehart and Area Community Arena Complex
92,TIMISKAMING--COCHRANE,57,U,ENGLEHART,35,18,1,2,105,0,0,0,161,361,Englehart and Area Community Arena Complex
92,TIMISKAMING--COCHRANE,58,U,EARLTON,10,29,1,0,148,1,0,0,189,332,Earlton Recreational Centre
92,TIMISKAMING--COCHRANE,59,U,EARLTON,18,45,3,1,178,0,0,0,245,471,Earlton Recreational Centre
92,TIMISKAMING--COCHRANE,60,U,HILLIARDTON,20,13,0,3,84,1,0,0,121,232,Hilliardton Community Hall
92,TIMISKAMING--COCHRANE,61,U,BELLE VALLEE,15,25,0,2,84,0,0,0,126,274,Casey Fire Hall
92,TIMISKAMING--COCHRANE,62,U,NEW LISKEARD,21,38,1,2,127,0,0,0,189,424,Harley Community Centre
92,TIMISKAMING--COCHRANE,63,U,NEW LISKEARD,34,36,1,5,112,0,0,0,188,366,Hudson Township Community Hall
92,TIMISKAMING--COCHRANE,64,U,NEW LISKEARD,21,19,0,0,104,0,0,0,144,313,Kerns Community Hall
92,TIMISKAMING--COCHRANE,65,U,KENABEEK,19,5,1,3,81,1,0,0,110,184,Kenabeek Community Hall
92,TIMISKAMING--COCHRANE,66,U,ELK LAKE,68,28,13,2,110,0,0,0,221,382,Elk Lake Eco Centre
92,TIMISKAMING--COCHRANE,67,U,GOWGANDA,13,5,0,0,25,0,0,0,43,53,Gowganda Community Recreation Association
92,TIMISKAMING--COCHRANE,68,U,NEW LISKEARD,31,38,0,2,84,1,0,0,156,283,Harris Township Hall
92,TIMISKAMING--COCHRANE,69,U,NEW LISKEARD,26,62,0,1,58,0,0,0,147,287,Dymond Township Hall
92,TIMISKAMING--COCHRANE,70,U,NEW LISKEARD,31,61,0,1,70,0,0,0,163,303,Dymond Township Hall
92,TIMISKAMING--COCHRANE,71,U,NEW LISKEARD,50,32,2,1,102,1,0,0,188,433,Dymond Township Hall
92,TIMISKAMING--COCHRANE,72,U,NEW LISKEARD,28,19,1,0,44,0,0,0,92,322,English Catholic Central School
92,TIMISKAMING--COCHRANE,73,U,NEW LISKEARD,39,48,2,1,82,0,1,0,173,433,English Catholic Central School
92,TIMISKAMING--COCHRANE,74,U,NEW LISKEARD,42,53,1,1,75,0,0,0,172,443,New Liskeard Public School
92,TIMISKAMING--COCHRANE,75,U,NEW LISKEARD,17,44,0,1,63,0,0,0,125,410,New Liskeard Public School
92,TIMISKAMING--COCHRANE,76,U,NEW LISKEARD,32,52,0,1,49,0,0,0,134,474,New Liskeard Public School
92,TIMISKAMING--COCHRANE,77,U,NEW LISKEARD,28,33,1,0,58,0,0,0,120,329,Riverside Place
92,TIMISKAMING--COCHRANE,78,U,NEW LISKEARD,35,19,0,1,59,1,0,0,115,283,Riverside Place
92,TIMISKAMING--COCHRANE,79,U,NEW LISKEARD,25,57,0,0,68,0,0,0,150,377,Riverside Place
92,TIMISKAMING--COCHRANE,80,U,NEW LISKEARD,28,33,0,1,54,0,1,0,117,269,Riverside Place
92,TIMISKAMING--COCHRANE,81,U,NEW LISKEARD,28,27,1,1,77,0,0,0,134,327,Riverside Place
92,TIMISKAMING--COCHRANE,82,U,HAILEYBURY,32,35,1,0,79,0,0,0,147,342,Haileybury Public School
92,TIMISKAMING--COCHRANE,83,U,HAILEYBURY,20,38,2,2,49,1,0,0,112,269,Haileybury Public School
92,TIMISKAMING--COCHRANE,84,U,HAILEYBURY,36,53,3,3,78,0,1,0,174,363,Haileybury Public School
92,TIMISKAMING--COCHRANE,85,U,HAILEYBURY,41,37,5,1,62,0,0,0,146,355,Haileybury Public School
92,TIMISKAMING--COCHRANE,86,U,HAILEYBURY,46,51,1,1,71,0,0,0,170,402,Haileybury Public School
92,TIMISKAMING--COCHRANE,87,U,HAILEYBURY,17,30,1,1,71,0,0,0,120,267,Haileybury Public School
92,TIMISKAMING--COCHRANE,88,U,HAILEYBURY,56,67,1,2,113,0,2,0,241,502,Haileybury Public School
92,TIMISKAMING--COCHRANE,89,U,NORTH COBALT,39,51,0,1,121,0,0,0,212,486,Senior Citizens Lounge
92,TIMISKAMING--COCHRANE,90,U,NORTH COBALT,29,27,0,1,102,0,0,0,159,344,Senior Citizens Lounge
92,TIMISKAMING--COCHRANE,91,U,COBALT,18,29,1,1,63,0,0,0,112,235,Golden Age Club
92,TIMISKAMING--COCHRANE,92,U,COBALT,21,30,4,1,91,1,0,0,148,397,Golden Age Club
92,TIMISKAMING--COCHRANE,93,U,COBALT,18,46,1,1,65,0,1,0,132,295,Golden Age Club
92,TIMISKAMING--COCHRANE,94,U,COBALT,38,31,8,1,99,0,1,0,178,353,Golden Age Club
92,TIMISKAMING--COCHRANE,95,U,LATCHFORD,32,24,10,0,96,1,0,0,163,319,Latchford Community Centre
92,TIMISKAMING--COCHRANE,96,U,TEMAGAMI,41,15,2,3,43,0,0,0,104,263,Welcome Centre
92,TIMISKAMING--COCHRANE,97,U,TEMAGAMI,47,33,3,0,64,0,0,0,147,300,Welcome Centre
92,TIMISKAMING--COCHRANE,98,U,BEAR ISLAND,..........................NO POLL HELD..........................,,,,,,,,,,
92,TIMISKAMING--COCHRANE,99,U,BEAR ISLAND,6,13,1,3,22,0,0,0,45,89,Bear Island North Star Building
92,TIMISKAMING--COCHRANE,100,U,TILDEN LAKE,57,21,0,1,42,0,0,0,121,248,Tilden Lake Fire Hall
92,TIMISKAMING--COCHRANE,101,U,FIELD,24,45,1,11,100,0,0,0,181,395,Field Fire Hall
92,TIMISKAMING--COCHRANE,102,U,FIELD,22,56,2,3,82,0,0,0,165,385,Field Fire Hall
92,TIMISKAMING--COCHRANE,103,U,CRYSTAL FALLS,21,38,0,0,42,1,1,0,103,213,Club des Bons Amis
92,TIMISKAMING--COCHRANE,104,U,RIVER VALLEY,7,39,2,1,63,0,0,0,112,217,Club d'age d'or
92,TIMISKAMING--COCHRANE,105,U,WARREN,58,89,6,6,99,0,0,0,258,528,Warren Golden Age Club
92,TIMISKAMING--COCHRANE,106,U,HAGAR,37,42,5,8,100,1,0,0,193,477,Hagar Ems Ambulance Station
92,TIMISKAMING--COCHRANE,107,U,MARKSTAY,34,24,1,7,62,0,0,0,128,348,École publique Camille - Perron
92,TIMISKAMING--COCHRANE,108,U,MARKSTAY,33,27,4,0,80,2,0,0,146,357,École publique Camille - Perron
92,TIMISKAMING--COCHRANE,109,U,MARKSTAY,20,28,0,0,71,2,0,0,121,265,École publique Camille - Perron
92,TIMISKAMING--COCHRANE,110,U,ST CHARLES,45,50,2,1,103,0,0,0,201,515,St. Charles Community Centre
92,TIMISKAMING--COCHRANE,111,U,ST CHARLES,30,69,0,1,100,1,0,0,201,407,St. Charles Community Centre
92,TIMISKAMING--COCHRANE,112,U,NOELVILLE,50,42,0,3,55,1,0,0,151,475,École secondaire Riviere des Francais
92,TIMISKAMING--COCHRANE,113,U,NOELVILLE,17,30,2,2,57,0,0,0,108,248,École secondaire Riviere des Francais
92,TIMISKAMING--COCHRANE,114,U,NOELVILLE,41,70,3,2,85,0,0,0,201,540,École secondaire Riviere des Francais
92,TIMISKAMING--COCHRANE,115,U,MONETVILLE,61,33,2,3,39,1,0,0,139,329,Monetville Public School
92,TIMISKAMING--COCHRANE,116,U,LAVIGNE,17,52,1,1,31,0,0,0,102,268,Lavigne Community Centre
92,TIMISKAMING--COCHRANE,117,U,LAVIGNE,33,51,3,2,59,0,0,0,148,337,Lavigne Community Centre
92,TIMISKAMING--COCHRANE,118,U,VERNER,36,72,5,4,88,3,0,1,209,482,Club d'amitie
92,TIMISKAMING--COCHRANE,119,U,VERNER,11,52,0,0,72,0,0,0,135,294,Club d'amitie
92,TIMISKAMING--COCHRANE,120,U,VERNER,15,96,2,2,69,1,0,0,185,350,Club d'amitie
92,TIMISKAMING--COCHRANE,121,U,CACHE BAY,28,32,1,4,41,0,1,0,107,268,Cache Bay Community Centre
92,TIMISKAMING--COCHRANE,122,U,CACHE BAY,31,75,6,2,102,0,0,0,216,541,Cache Bay Community Centre
92,TIMISKAMING--COCHRANE,123,U,STURGEON FALLS,19,44,1,1,44,0,0,0,109,288,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,124,U,STURGEON FALLS,19,55,2,1,57,1,1,0,136,380,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,125,U,STURGEON FALLS,21,47,2,2,47,1,1,0,121,370,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,126,U,STURGEON FALLS,15,57,1,2,40,1,0,0,116,288,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,127,U,STURGEON FALLS,19,39,1,3,44,1,0,0,107,342,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,128,U,STURGEON FALLS,25,64,0,0,51,1,0,0,141,467,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,129,U,STURGEON FALLS,17,50,0,2,68,0,1,0,138,452,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,130,U,STURGEON FALLS,11,38,3,2,46,0,0,0,100,456,École secondaire Franco-Cite
92,TIMISKAMING--COCHRANE,131,U,STURGEON FALLS,20,71,2,0,54,1,0,0,148,406,École secondaire Franco-Cite
92,TIMISKAMING--COCHRANE,132,U,STURGEON FALLS,18,61,0,3,42,1,1,0,126,361,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,133,U,STURGEON FALLS,19,63,2,0,63,0,0,0,147,470,Our Lady of Sorrows Secondary School
92,TIMISKAMING--COCHRANE,134,U,STURGEON FALLS,26,52,0,3,41,0,1,0,123,416,Our Lady of Sorrows Secondary School
92,TIMISKAMING--COCHRANE,135,U,STURGEON FALLS,56,120,1,7,71,0,0,0,255,666,Our Lady of Sorrows Secondary School
92,TIMISKAMING--COCHRANE,136,U,STURGEON FALLS,25,67,1,1,58,0,1,0,153,456,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,137,U,STURGEON FALLS,33,34,0,1,51,0,0,1,120,414,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,138,U,STURGEON FALLS,24,68,1,0,29,1,0,0,123,344,Sturgeon Falls Complex
92,TIMISKAMING--COCHRANE,139,U,CAPREOL,.......................COMBINED WITH POLL 140.......................,,,,,,,,,,Wahnapitae First Nation Fire Hall
92,TIMISKAMING--COCHRANE,140,U,THORNE,49,52,6,4,47,0,0,0,158,394,École Mariale School
92,TIMISKAMING--COCHRANE,700,U,IROQUOIS FALLS A,13,14,1,0,21,2,0,1,52,129,South Centennial Manor
92,TIMISKAMING--COCHRANE,701,U,MATHESON,.......................COMBINED WITH POLL 700.......................,,,,,,,,,,Rosedale Centre Long Term Care
92,TIMISKAMING--COCHRANE,702,U,KIRKLAND LAKE,8,5,3,1,17,0,0,0,34,90,Teck Pioneer Residence
92,TIMISKAMING--COCHRANE,703,U,KIRKLAND LAKE,.......................COMBINED WITH POLL 702.......................,,,,,,,,,,Kirkland and District Hospital
92,TIMISKAMING--COCHRANE,704,U,KIRKLAND LAKE,8,15,0,1,20,1,0,0,45,97,Extendicare/Kirkland Lake
92,TIMISKAMING--COCHRANE,705,U,ENGLEHART,.......................COMBINED WITH POLL 706.......................,,,,,,,,,,Englehart and District Hospital
92,TIMISKAMING--COCHRANE,706,U,ENGLEHART,6,4,1,1,10,1,0,0,23,59,Northview Nursing Home
92,TIMISKAMING--COCHRANE,707,U,NEW LISKEARD,17,14,0,0,34,0,0,0,65,106,Northdale Manor
92,TIMISKAMING--COCHRANE,708,U,NEW LISKEARD,.......................COMBINED WITH POLL 707.......................,,,,,,,,,,Temiskaming Hospital
92,TIMISKAMING--COCHRANE,709,U,HAILEYBURY,12,23,1,0,13,0,0,0,49,145,Temiskaming Lodge
92,TIMISKAMING--COCHRANE,710,U,HAILEYBURY,.......................COMBINED WITH POLL 709.......................,,,,,,,,,,Extendicare Tritown Nursing Home
92,TIMISKAMING--COCHRANE,711,U,STURGEON FALLS,22,130,2,3,45,4,0,0,206,517,Au Chateau Home for the Aged
92,TIMISKAMING--COCHRANE,712,U,STURGEON FALLS,.......................COMBINED WITH POLL 711.......................,,,,,,,,,,West Nippising General Hospital
92,TIMISKAMING--COCHRANE,713,U,COCHRANE,.......................COMBINED WITH POLL 700.......................,,,,,,,,,,Lady Minto Hosp/Villa Minto
92,TIMISKAMING--COCHRANE,714,U,IROQUOIS FALLS A,..........................NO POLL HELD..........................,,,,,,,,,,
92,TIMISKAMING--COCHRANE,ADV001,R,NEW LISKEARD,255,264,20,9,497,0,0,0,1045,0,Returning Office / Bureau du directeur du scrutin
92,TIMISKAMING--COCHRANE,ADV002,R,NEW LISKEARD,114,191,5,11,208,0,0,0,529,0,Special Ballot Voting / Vote par bulletin spécial
92,TIMISKAMING--COCHRANE,ADV003,R,COCHRANE,94,165,19,12,192,1,0,0,483,0,Cochrane Elections Ontario Office
92,TIMISKAMING--COCHRANE,ADV004,R,IROQUOIS FALLS A,169,121,11,1,357,2,0,0,661,0,Aquatic Fitness Complex
92,TIMISKAMING--COCHRANE,ADV005,R,MATHESON,55,8,7,3,61,0,0,0,134,0,Brm Family Lodge
92,TIMISKAMING--COCHRANE,ADV006,R,KIRKLAND LAKE,184,148,11,9,466,3,1,0,822,0,Royal Canadian Legion Branch 87
92,TIMISKAMING--COCHRANE,ADV007,R,ENGLEHART,64,21,0,1,114,0,0,0,200,0,Englehart and Area Community Arena Complex
92,TIMISKAMING--COCHRANE,ADV008,R,TEMAGAMI,54,21,5,0,46,1,0,0,127,0,Welcome Centre
92,TIMISKAMING--COCHRANE,ADV009,R,STURGEON FALLS,252,476,6,8,362,1,1,0,1106,0,Sturgeon Falls Election Ontario Office
92,TIMISKAMING--COCHRANE,ADV010,R,ST CHARLES,32,37,0,0,29,0,0,0,98,0,St. Charles Community Centre
92,TIMISKAMING--COCHRANE,ADV011,R,NOELVILLE,42,70,1,6,62,1,0,0,182,0,École secondaire Riviere des Francais
TOTALS:,,,,,5337,6532,391,312,12633,64,24,3,25296,50554,
