ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,DOUGHERTY,JONES,O'LEARY,REID,YAKABUSKI,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
74,RENFREW--NIPISSING--PEMBROKE,51,U,PEMBROKE,7,1,21,0,95,0,0,0,124,394,Pembroke Area Community Centre
74,RENFREW--NIPISSING--PEMBROKE,52,U,PEMBROKE,5,0,13,0,48,0,0,0,66,293,Centre scolaire catholique Jeanne-Lajoie
74,RENFREW--NIPISSING--PEMBROKE,53,U,PEMBROKE,7,3,25,0,50,0,1,0,86,338,Knights of Columbus Hall
74,RENFREW--NIPISSING--PEMBROKE,54,U,PEMBROKE,14,0,9,3,52,0,0,0,78,338,Pembroke Area Community Centre
74,RENFREW--NIPISSING--PEMBROKE,55,U,PEMBROKE,6,0,10,0,25,0,1,0,42,264,Knights of Columbus Hall
74,RENFREW--NIPISSING--PEMBROKE,56,U,PEMBROKE,5,3,15,0,36,0,0,0,59,242,Knights of Columbus Hall
74,RENFREW--NIPISSING--PEMBROKE,57,U,PEMBROKE,12,3,7,0,44,0,0,0,66,290,Knights of Columbus Hall
74,RENFREW--NIPISSING--PEMBROKE,58,U,PEMBROKE,16,0,7,1,39,1,0,0,64,273,Pembroke Area Community Centre
74,RENFREW--NIPISSING--PEMBROKE,59,U,PEMBROKE,5,1,6,0,29,0,0,0,41,202,Marguerite Centre
74,RENFREW--NIPISSING--PEMBROKE,60,U,PEMBROKE,8,0,13,1,28,0,0,0,50,285,Marguerite Centre
74,RENFREW--NIPISSING--PEMBROKE,61,U,PEMBROKE,21,2,19,3,94,0,0,0,139,374,Pembroke Area Community Centre
74,RENFREW--NIPISSING--PEMBROKE,62,U,PEMBROKE,13,0,7,3,34,0,0,0,57,387,Marguerite Centre
74,RENFREW--NIPISSING--PEMBROKE,63,U,PEMBROKE,7,0,9,1,28,0,0,0,45,246,Marguerite Centre
74,RENFREW--NIPISSING--PEMBROKE,64,U,PEMBROKE,8,0,16,0,65,0,0,0,89,273,Our Lady of Lourdes School
74,RENFREW--NIPISSING--PEMBROKE,65,U,PEMBROKE,14,1,30,0,58,0,0,0,103,289,Our Lady of Lourdes School
74,RENFREW--NIPISSING--PEMBROKE,66,U,PEMBROKE,8,0,27,1,52,0,0,0,88,300,Our Lady of Lourdes School
74,RENFREW--NIPISSING--PEMBROKE,67,U,PEMBROKE,7,1,5,4,20,0,0,0,37,214,Calvary Baptist Church
74,RENFREW--NIPISSING--PEMBROKE,68,U,PEMBROKE,7,3,16,1,57,0,1,0,85,251,Marguerite Centre
74,RENFREW--NIPISSING--PEMBROKE,69,U,PEMBROKE,22,1,28,0,58,0,0,0,109,332,Marguerite Centre
74,RENFREW--NIPISSING--PEMBROKE,70,U,PEMBROKE,7,1,24,0,32,1,0,0,65,250,Marguerite Centre
74,RENFREW--NIPISSING--PEMBROKE,71,U,PEMBROKE,17,4,34,0,111,1,0,0,167,401,Knights of Columbus Hall
74,RENFREW--NIPISSING--PEMBROKE,72,U,PEMBROKE,15,0,20,0,41,0,0,0,76,284,Knights of Columbus Hall
74,RENFREW--NIPISSING--PEMBROKE,73,U,PEMBROKE,22,6,25,0,50,0,0,0,103,300,Marguerite Centre
74,RENFREW--NIPISSING--PEMBROKE,74,U,PEMBROKE,12,2,25,0,54,1,0,0,94,338,Knights of Columbus Hall
74,RENFREW--NIPISSING--PEMBROKE,75,U,PEMBROKE,14,1,35,0,76,0,0,1,127,296,Our Lady of Lourdes School
74,RENFREW--NIPISSING--PEMBROKE,76,U,PEMBROKE,10,4,33,0,84,0,0,0,131,342,Knights of Columbus Hall
74,RENFREW--NIPISSING--PEMBROKE,77,U,PEMBROKE,12,2,29,0,85,0,0,0,128,349,Calvary Baptist Church
74,RENFREW--NIPISSING--PEMBROKE,78,U,PEMBROKE,6,0,21,1,65,0,0,0,93,326,Calvary Baptist Church
74,RENFREW--NIPISSING--PEMBROKE,79,U,PEMBROKE,13,0,23,0,67,0,0,0,103,400,Calvary Baptist Church
74,RENFREW--NIPISSING--PEMBROKE,80,U,PEMBROKE,18,1,32,0,123,0,0,0,174,432,Pembroke Mall
74,RENFREW--NIPISSING--PEMBROKE,81,U,PEMBROKE,10,2,31,2,105,1,0,0,151,462,Pembroke Area Community Centre
74,RENFREW--NIPISSING--PEMBROKE,82,U,PEMBROKE,6,2,29,0,78,0,0,0,115,328,Pembroke Mall
74,RENFREW--NIPISSING--PEMBROKE,83,U,PEMBROKE,8,1,15,0,56,0,0,0,80,222,Pembroke Mall
74,RENFREW--NIPISSING--PEMBROKE,84,U,PEMBROKE,5,2,21,3,124,0,0,0,155,434,Pembroke Outdoor Sportsmen's Club
74,RENFREW--NIPISSING--PEMBROKE,85,U,PEMBROKE,11,3,41,1,134,2,0,0,192,455,Rockwood Public School
74,RENFREW--NIPISSING--PEMBROKE,86,U,PEMBROKE,7,1,14,0,118,2,0,0,142,378,Pembroke Outdoor Sportsmen's Club
74,RENFREW--NIPISSING--PEMBROKE,87,U,PEMBROKE,15,0,6,0,126,0,0,0,147,377,Rockwood Public School
74,RENFREW--NIPISSING--PEMBROKE,88,U,PEMBROKE,21,1,22,0,159,0,0,0,203,424,Pembroke Outdoor Sportsmen's Club
74,RENFREW--NIPISSING--PEMBROKE,89,U,WESTMEATH,22,7,31,1,139,0,0,0,200,474,Westmeath Recreation Centre
74,RENFREW--NIPISSING--PEMBROKE,90,U,WESTMEATH,28,4,50,2,166,0,0,0,250,507,Our Lady of Mount Carmel Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,91,U,PEMBROKE,9,2,28,1,116,0,1,0,157,326,Shady Nook Recreation Centre
74,RENFREW--NIPISSING--PEMBROKE,92,U,PEMBROKE,9,1,8,0,83,0,0,0,101,267,Shady Nook Recreation Centre
74,RENFREW--NIPISSING--PEMBROKE,93,U,PEMBROKE,19,5,26,1,118,0,0,0,169,377,Perretton United Church Hall
74,RENFREW--NIPISSING--PEMBROKE,94,U,BEACHBURG,13,7,12,1,113,1,0,0,147,349,Beachburg Public School
74,RENFREW--NIPISSING--PEMBROKE,95,U,BEACHBURG,22,1,25,1,129,0,0,0,178,410,Beachburg Public School
74,RENFREW--NIPISSING--PEMBROKE,96,U,BEACHBURG,26,2,22,3,134,0,0,0,187,430,Beachburg Public School
74,RENFREW--NIPISSING--PEMBROKE,97,U,COBDEN,10,0,11,0,68,0,0,0,89,235,Cobden Agricultural Hall
74,RENFREW--NIPISSING--PEMBROKE,98,U,COBDEN,16,1,16,2,107,0,0,0,142,320,Micksburg Community and Cultural Centre
74,RENFREW--NIPISSING--PEMBROKE,099A,U,PEMBROKE,9,0,24,1,107,0,0,0,141,324,Shady Nook Recreation Centre
74,RENFREW--NIPISSING--PEMBROKE,099B,U,PEMBROKE,15,5,16,1,88,1,0,0,126,273,Shady Nook Recreation Centre
74,RENFREW--NIPISSING--PEMBROKE,100,U,PEMBROKE,15,1,14,2,113,0,0,0,145,331,Rankin Culture and Recreation Centre
74,RENFREW--NIPISSING--PEMBROKE,101,U,PEMBROKE,12,3,12,1,107,0,0,0,135,255,Rankin Culture and Recreation Centre
74,RENFREW--NIPISSING--PEMBROKE,102,U,COBDEN,8,1,4,1,79,0,0,0,93,190,Whitewater Wesleyan Community Church
74,RENFREW--NIPISSING--PEMBROKE,103,U,FORESTERS FALLS,20,4,9,0,139,0,0,0,172,272,Whitewater Region Fire Hall #3
74,RENFREW--NIPISSING--PEMBROKE,104,U,COBDEN,14,0,11,2,103,0,0,0,130,309,Cobden Agricultural Hall
74,RENFREW--NIPISSING--PEMBROKE,105,U,COBDEN,17,3,13,1,101,0,0,0,135,336,Cobden Agricultural Hall
74,RENFREW--NIPISSING--PEMBROKE,106,U,COBDEN,9,1,21,4,102,0,0,0,137,314,Cobden Agricultural Hall
74,RENFREW--NIPISSING--PEMBROKE,107,U,DOUGLAS,18,1,31,3,140,0,1,0,194,487,Admaston Bromley Community Centre
74,RENFREW--NIPISSING--PEMBROKE,108,U,DOUGLAS,26,2,27,6,164,0,0,0,225,390,St. Michael's Catholic School
74,RENFREW--NIPISSING--PEMBROKE,109,U,EGANVILLE,12,2,13,1,123,0,0,0,151,388,North Algona Wilberforce Township
74,RENFREW--NIPISSING--PEMBROKE,110,U,EGANVILLE,16,1,32,1,134,0,0,0,184,408,North Algona Wilberforce Township
74,RENFREW--NIPISSING--PEMBROKE,111,U,ROUND LAKE CENTRE,25,5,19,1,165,0,0,0,215,380,St. Casimir's Church Hall
74,RENFREW--NIPISSING--PEMBROKE,112,U,ROUND LAKE CENTRE,16,2,17,0,188,0,0,0,223,413,St. Casimir's Church Hall
74,RENFREW--NIPISSING--PEMBROKE,113,U,GOLDEN LAKE,22,3,18,1,119,0,0,0,163,311,Golden Lake Municipal Community Centre
74,RENFREW--NIPISSING--PEMBROKE,114,U,GOLDEN LAKE,29,2,21,0,161,1,0,0,214,402,Golden Lake Municipal Community Centre
74,RENFREW--NIPISSING--PEMBROKE,115,U,GOLDEN LAKE,38,1,13,2,40,0,0,0,94,363,Minopimadiz-1 Gamik
74,RENFREW--NIPISSING--PEMBROKE,116,U,WILNO,28,13,12,0,210,0,0,0,263,524,St. Mary's School
74,RENFREW--NIPISSING--PEMBROKE,117,U,KILLALOE,19,3,10,1,92,0,0,0,125,243,Courthouse - Killaloe
74,RENFREW--NIPISSING--PEMBROKE,118,U,KILLALOE,13,3,20,1,112,0,0,0,149,255,Courthouse - Killaloe
74,RENFREW--NIPISSING--PEMBROKE,119,U,KILLALOE,33,8,20,0,101,0,0,0,162,313,Courthouse - Killaloe
74,RENFREW--NIPISSING--PEMBROKE,120,U,BARRYS BAY,8,2,7,0,61,1,0,0,79,202,Opeongo Seniors' Centre
74,RENFREW--NIPISSING--PEMBROKE,121,U,BARRYS BAY,8,2,9,1,88,1,0,0,109,286,Opeongo Seniors' Centre
74,RENFREW--NIPISSING--PEMBROKE,122,U,BARRYS BAY,12,1,18,2,108,0,0,0,141,302,Opeongo Seniors' Centre
74,RENFREW--NIPISSING--PEMBROKE,123,U,BARRYS BAY,9,4,18,0,102,1,0,0,134,324,Opeongo Seniors' Centre
74,RENFREW--NIPISSING--PEMBROKE,124,U,BARRYS BAY,6,0,18,0,80,0,0,0,104,305,Opeongo Seniors' Centre
74,RENFREW--NIPISSING--PEMBROKE,125,U,BARRYS BAY,12,3,20,2,125,0,0,0,162,498,Opeongo Seniors' Centre
74,RENFREW--NIPISSING--PEMBROKE,126,U,BARRYS BAY,13,0,13,0,83,1,0,0,110,320,Opeongo Seniors' Centre
74,RENFREW--NIPISSING--PEMBROKE,127,U,MADAWASKA,11,2,13,0,120,0,0,0,146,196,Madawaska Complex
74,RENFREW--NIPISSING--PEMBROKE,128,U,WHITNEY,18,5,14,0,52,1,0,0,90,166,Lester B. Smith Community Centre
74,RENFREW--NIPISSING--PEMBROKE,129,U,WHITNEY,33,0,17,1,87,0,0,0,138,202,Lester B. Smith Community Centre
74,RENFREW--NIPISSING--PEMBROKE,130,U,COMBERMERE,12,3,10,0,78,1,0,0,104,247,Golden Years Activity Centre
74,RENFREW--NIPISSING--PEMBROKE,131,U,COMBERMERE,17,3,33,1,97,1,0,0,152,310,Golden Years Activity Centre
74,RENFREW--NIPISSING--PEMBROKE,132,U,COMBERMERE,17,3,20,1,173,1,0,0,215,422,Golden Years Activity Centre
74,RENFREW--NIPISSING--PEMBROKE,133,U,PALMER RAPIDS,16,5,15,0,173,0,0,0,209,410,Palmer Rapids Community Centre
74,RENFREW--NIPISSING--PEMBROKE,134,U,PALMER RAPIDS,10,1,15,1,120,0,0,0,147,280,Mapleton House
74,RENFREW--NIPISSING--PEMBROKE,135,U,PALMER RAPIDS,12,1,10,2,146,1,0,0,172,282,Quadeville Community Centre
74,RENFREW--NIPISSING--PEMBROKE,136,U,KILLALOE,16,3,10,0,87,0,0,0,116,207,Our Lady of the Angels Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,137,U,CORMAC,20,2,19,1,121,0,0,0,163,354,St. Anne's Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,138,U,CORMAC,11,1,8,0,44,0,0,0,64,189,St. Anne's Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,139,U,CORMAC,9,4,9,0,64,1,0,0,87,175,St. Anne's Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,140,U,GRIFFITH,11,2,14,1,74,1,0,0,103,171,Denbigh-Griffith Lions Club
74,RENFREW--NIPISSING--PEMBROKE,141,U,GRIFFITH,23,1,18,1,83,0,0,0,126,190,Denbigh-Griffith Lions Club
74,RENFREW--NIPISSING--PEMBROKE,142,U,DACRE,16,1,10,0,70,0,0,0,97,226,Dacre and Area Community Hall
74,RENFREW--NIPISSING--PEMBROKE,143,U,EGANVILLE,12,3,7,0,110,0,0,0,132,312,Eganville Royal Canadian Legion Branch 3
74,RENFREW--NIPISSING--PEMBROKE,144,U,EGANVILLE,14,4,15,0,46,0,0,0,79,187,Eganville Royal Canadian Legion Branch 3
74,RENFREW--NIPISSING--PEMBROKE,145,U,EGANVILLE,8,1,9,2,60,0,0,0,80,320,Eganville Royal Canadian Legion Branch 3
74,RENFREW--NIPISSING--PEMBROKE,146,U,EGANVILLE,9,2,20,2,128,1,1,0,163,419,Eganville Royal Canadian Legion Branch 3
74,RENFREW--NIPISSING--PEMBROKE,147,U,EGANVILLE,20,1,24,0,101,0,0,0,146,357,Eganville Royal Canadian Legion Branch 3
74,RENFREW--NIPISSING--PEMBROKE,148,U,EGANVILLE,17,1,18,0,113,1,0,0,150,360,Eganville Royal Canadian Legion Branch 3
74,RENFREW--NIPISSING--PEMBROKE,149,U,HALEY STATION,22,3,11,4,99,0,0,0,139,297,Whitewater Region Fire Hall #1
74,RENFREW--NIPISSING--PEMBROKE,150,U,HALEY STATION,21,2,20,6,148,0,0,0,197,445,Whitewater Region Fire Hall #1
74,RENFREW--NIPISSING--PEMBROKE,151,U,RENFREW,12,2,25,1,132,1,1,0,174,422,St. James Evangelical Lutheran Church
74,RENFREW--NIPISSING--PEMBROKE,152,U,RENFREW,22,1,28,5,129,0,0,0,185,324,Admaston Bromley Municipal Office
74,RENFREW--NIPISSING--PEMBROKE,153,U,RENFREW,14,3,21,14,150,1,0,0,203,459,Admaston Bromley Municipal Office
74,RENFREW--NIPISSING--PEMBROKE,154,U,RENFREW,16,4,15,4,121,1,0,0,161,327,Admaston Bromley Municipal Office
74,RENFREW--NIPISSING--PEMBROKE,155,U,RENFREW,22,3,20,4,133,0,0,0,182,378,Horton Community Centre
74,RENFREW--NIPISSING--PEMBROKE,156,U,RENFREW,34,1,32,6,145,1,0,0,219,445,Horton Community Centre
74,RENFREW--NIPISSING--PEMBROKE,157,U,RENFREW,20,2,20,5,160,2,1,0,210,440,Horton Community Centre
74,RENFREW--NIPISSING--PEMBROKE,158,U,RENFREW,15,1,16,0,57,0,0,0,89,285,St. James Evangelical Lutheran Church
74,RENFREW--NIPISSING--PEMBROKE,159,U,RENFREW,21,2,20,1,52,0,1,0,97,253,St. James Evangelical Lutheran Church
74,RENFREW--NIPISSING--PEMBROKE,160,U,RENFREW,28,2,14,2,108,0,0,0,154,354,St. James Evangelical Lutheran Church
74,RENFREW--NIPISSING--PEMBROKE,161,U,RENFREW,21,1,9,2,77,1,0,0,111,319,Renfrew Royal Canadian Legion Branch 148
74,RENFREW--NIPISSING--PEMBROKE,162,U,RENFREW,22,0,9,3,67,0,0,0,101,325,Renfrew Royal Canadian Legion Branch 148
74,RENFREW--NIPISSING--PEMBROKE,163,U,RENFREW,14,3,26,5,53,0,0,0,101,251,Renfrew Royal Canadian Legion Branch 148
74,RENFREW--NIPISSING--PEMBROKE,164,U,RENFREW,10,4,25,3,67,0,0,0,109,309,Renfrew Royal Canadian Legion Branch 148
74,RENFREW--NIPISSING--PEMBROKE,165,U,RENFREW,13,0,16,0,49,0,0,0,78,272,Renfrew Royal Canadian Legion Branch 148
74,RENFREW--NIPISSING--PEMBROKE,166,U,RENFREW,23,0,10,0,63,0,0,0,96,280,St. Francis Xavier Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,167,U,RENFREW,8,2,6,1,25,1,0,0,43,202,St. Francis Xavier Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,168,U,RENFREW,21,1,13,2,74,2,0,0,113,300,St. Francis Xavier Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,169,U,RENFREW,16,1,15,3,44,0,0,0,79,238,St. Francis Xavier Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,170,U,RENFREW,18,0,22,0,57,0,0,0,97,287,Renfrew Royal Canadian Legion Branch 148
74,RENFREW--NIPISSING--PEMBROKE,171,U,RENFREW,21,1,13,2,68,0,0,0,105,296,St. Joseph's High School
74,RENFREW--NIPISSING--PEMBROKE,172,U,RENFREW,10,0,15,1,72,1,0,0,99,333,Calvary Pentecostal Church
74,RENFREW--NIPISSING--PEMBROKE,173,U,RENFREW,22,1,16,1,102,0,0,0,142,380,Calvary Pentecostal Church
74,RENFREW--NIPISSING--PEMBROKE,174,U,RENFREW,16,1,16,0,102,1,0,0,136,412,St. Joseph's High School
74,RENFREW--NIPISSING--PEMBROKE,175,U,RENFREW,23,2,22,0,69,1,0,0,117,322,St. Joseph's High School
74,RENFREW--NIPISSING--PEMBROKE,176,U,RENFREW,13,0,25,0,77,0,0,0,115,302,St. Joseph's High School
74,RENFREW--NIPISSING--PEMBROKE,177,U,RENFREW,11,2,24,0,95,1,0,0,133,361,St. Joseph's High School
74,RENFREW--NIPISSING--PEMBROKE,178,U,RENFREW,15,0,22,2,82,0,0,0,121,302,St. Joseph's High School
74,RENFREW--NIPISSING--PEMBROKE,179,U,RENFREW,6,0,14,1,96,0,0,0,117,363,St. Joseph's High School
74,RENFREW--NIPISSING--PEMBROKE,180,U,ARNPRIOR,11,1,19,3,135,0,0,0,169,297,McNab Fire Hall #1
74,RENFREW--NIPISSING--PEMBROKE,181,U,ARNPRIOR,13,2,8,0,71,0,0,0,94,224,McNab Fire Hall #1
74,RENFREW--NIPISSING--PEMBROKE,182,U,BURNSTOWN,24,5,36,5,141,0,0,0,211,395,Burnstown United Church
74,RENFREW--NIPISSING--PEMBROKE,183,U,ARNPRIOR,18,1,23,1,205,0,0,0,248,508,McNab Fire Hall #1
74,RENFREW--NIPISSING--PEMBROKE,184,U,WHITE LAKE,29,2,21,3,139,0,0,0,194,418,McNab Fire Hall #2
74,RENFREW--NIPISSING--PEMBROKE,185,U,WHITE LAKE,9,5,10,3,104,2,1,0,134,308,McNab Fire Hall #2
74,RENFREW--NIPISSING--PEMBROKE,186,U,WHITE LAKE,18,5,38,0,198,1,0,0,260,467,McNab Fire Hall #2
74,RENFREW--NIPISSING--PEMBROKE,187,U,BRAESIDE,22,5,37,0,103,2,0,0,169,409,Our Lady of Perpetual Help Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,188,U,BRAESIDE,18,8,41,0,153,0,0,0,220,409,Our Lady of Perpetual Help Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,189,U,BRAESIDE,35,3,24,0,116,0,0,0,178,384,Our Lady of Perpetual Help Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,190,U,BRAESIDE,20,0,26,0,101,0,0,0,147,386,Our Lady of Perpetual Help Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,191,U,BRAESIDE,10,4,18,0,73,1,0,0,106,372,Our Lady of Perpetual Help Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,192,U,BRAESIDE,20,1,19,1,115,0,0,0,156,375,Our Lady of Perpetual Help Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,193,U,BRAESIDE,20,1,21,2,81,0,0,0,125,289,Our Lady of Perpetual Help Parish Hall
74,RENFREW--NIPISSING--PEMBROKE,194,U,ARNPRIOR,10,3,16,0,98,0,0,0,127,384,A. J. Charbonneau Public School
74,RENFREW--NIPISSING--PEMBROKE,195,U,ARNPRIOR,30,2,14,0,73,0,0,0,119,352,A. J. Charbonneau Public School
74,RENFREW--NIPISSING--PEMBROKE,196,U,ARNPRIOR,22,3,29,1,97,0,0,0,152,462,A. J. Charbonneau Public School
74,RENFREW--NIPISSING--PEMBROKE,197,U,ARNPRIOR,20,1,13,2,75,0,0,0,111,327,A. J. Charbonneau Public School
74,RENFREW--NIPISSING--PEMBROKE,198,U,ARNPRIOR,25,1,11,2,59,1,0,0,99,376,Arnprior Police and Fire Station
