"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CHAPMAN","DEKKER","NAIDOO","NAQVI","O'DONNELL","RYAN","ZEITHAMMEL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"062","OTTAWA CENTRE","095","U","OTTAWA","4","53","74","78","9","0","0","0","0","1","219","502","Pushkin Centre - St. Vladimir's Residence"
"062","OTTAWA CENTRE","096","U","OTTAWA","2","32","51","72","4","1","0","1","0","0","163","347","Pushkin Centre - St. Vladimir's Residence"
"062","OTTAWA CENTRE","097","U","OTTAWA","1","44","48","133","14","0","1","0","0","0","241","456","Paroise St. George's Parish"
"062","OTTAWA CENTRE","098","U","OTTAWA","0","47","92","140","7","1","1","1","0","0","289","577","Great Canadian Theatre Company"
"062","OTTAWA CENTRE","099","U","OTTAWA","1","49","69","121","11","1","2","0","0","0","254","519","Great Canadian Theatre Company"
"062","OTTAWA CENTRE","100","U","OTTAWA","0","35","77","80","7","3","1","0","0","1","204","441","Centre Communautaire Hintonburg Community Centre"
"062","OTTAWA CENTRE","101","U","OTTAWA","0","20","88","69","13","1","0","1","0","1","193","442","Centre Communautaire Hintonburg Community Centre"
"062","OTTAWA CENTRE","102","U","OTTAWA","2","21","59","34","6","0","2","0","0","0","124","320","Centre Communautaire Hintonburg Community Centre"
"062","OTTAWA CENTRE","103","U","OTTAWA","1","25","50","81","10","0","1","0","0","0","168","433","Arena Tom Brown Arena"
"062","OTTAWA CENTRE","104","U","OTTAWA","0","17","77","65","7","0","0","1","0","0","167","442","Arena Tom Brown Arena"
"062","OTTAWA CENTRE","105","U","OTTAWA","0","28","94","81","7","4","1","0","0","0","215","442","Arena Tom Brown Arena"
"062","OTTAWA CENTRE","106","U","OTTAWA","3","34","76","87","8","1","2","0","1","0","212","466","Centre Communautaire Hintonburg Community Centre"
"062","OTTAWA CENTRE","107","U","OTTAWA","1","32","99","97","6","2","0","1","0","0","238","506","Arena Tom Brown Arena"
"062","OTTAWA CENTRE","108","U","OTTAWA","0","32","81","97","7","3","1","1","0","0","222","477","École publique Connaught Public School"
"062","OTTAWA CENTRE","109","U","OTTAWA","2","17","57","59","13","0","2","0","0","0","150","303","École publique Connaught Public School"
"062","OTTAWA CENTRE","110","U","OTTAWA","2","22","53","39","6","0","0","0","0","0","122","345","Centre Communautaire Hintonburg Community Centre"
"062","OTTAWA CENTRE","111","U","OTTAWA","4","32","88","110","23","0","3","1","0","0","261","542","École publique Fisher Park Public School"
"062","OTTAWA CENTRE","112","U","OTTAWA","1","35","59","101","7","1","0","0","0","0","204","376","École publique Fisher Park Public School"
"062","OTTAWA CENTRE","113","U","OTTAWA","0","36","68","143","9","0","2","0","0","0","258","467","École publique Fisher Park Public School"
"062","OTTAWA CENTRE","114","U","OTTAWA","1","36","34","95","7","0","2","0","0","0","175","386","Royal Canadian Legion (Westboro)"
"062","OTTAWA CENTRE","115","U","OTTAWA","0","23","44","68","3","0","0","0","0","0","138","323","École publique Broadview Public School"
"062","OTTAWA CENTRE","116","U","OTTAWA","0","33","38","113","9","1","2","0","0","0","196","385","École publique Broadview Public School"
"062","OTTAWA CENTRE","117","U","OTTAWA","1","26","44","155","10","0","2","1","2","0","241","464","École publique Broadview Public School"
"062","OTTAWA CENTRE","118","U","OTTAWA","0","43","39","111","12","0","0","0","0","0","205","383","École publique Broadview Public School"
"062","OTTAWA CENTRE","119","U","OTTAWA","0","49","26","93","7","0","1","0","1","0","177","369","École secondaire Notre-Dame High School"
"062","OTTAWA CENTRE","120","U","OTTAWA","0","49","38","119","4","0","0","0","0","0","210","369","École secondaire Notre-Dame High School"
"062","OTTAWA CENTRE","121","U","OTTAWA","3","57","38","45","12","0","2","0","0","0","157","334","Église St. Basil's Roman Catholic Church"
"062","OTTAWA CENTRE","122","U","OTTAWA","0","43","29","86","7","0","1","0","0","0","166","438","École secondaire Notre-Dame High School"
"062","OTTAWA CENTRE","123","U","OTTAWA","3","47","46","64","5","1","0","1","0","1","168","542","École secondaire Notre-Dame High School"
"062","OTTAWA CENTRE","124","U","OTTAWA","0","45","46","90","6","0","0","0","0","1","188","506","Centre Communautaire Dovercourt Community Centre"
"062","OTTAWA CENTRE","125","U","OTTAWA","0","47","62","78","7","0","1","1","0","0","196","434","Centre Communautaire Dovercourt Community Centre"
"062","OTTAWA CENTRE","126","U","OTTAWA","2","51","50","120","13","1","1","2","0","0","240","466","Centre Communautaire Dovercourt Community Centre"
"062","OTTAWA CENTRE","127","U","OTTAWA","1","53","58","149","9","0","2","0","0","0","272","503","Centre Communautaire Dovercourt Community Centre"
"062","OTTAWA CENTRE","128","U","OTTAWA","0","46","35","124","8","1","0","1","0","0","215","417","Westminster Presbyterian Church"
"062","OTTAWA CENTRE","129","U","OTTAWA","1","43","58","99","11","1","1","0","0","0","214","394","Westminster Presbyterian Church"
"062","OTTAWA CENTRE","130","U","OTTAWA","0","57","55","111","15","0","1","0","0","0","239","484","École Churchill Alternative School"
"062","OTTAWA CENTRE","131","U","OTTAWA","2","28","44","73","6","0","0","2","0","0","155","311","École Churchill Alternative School"
"062","OTTAWA CENTRE","132","U","OTTAWA","2","43","40","91","13","2","0","0","0","0","191","357","École publique Hilson Avenue Public School"
"062","OTTAWA CENTRE","133","U","OTTAWA","0","44","65","90","18","0","1","0","0","0","218","380","École publique Hilson Avenue Public School"
"062","OTTAWA CENTRE","134","U","OTTAWA","0","55","74","142","18","1","1","0","0","0","291","509","Paroise St. George's Parish"
"062","OTTAWA CENTRE","135","U","OTTAWA","0","38","37","131","7","0","2","1","0","0","216","360","École publique Elmdale Public School (Via Java)"
"062","OTTAWA CENTRE","136","U","OTTAWA","1","42","45","86","11","0","2","3","0","0","190","410","École publique Hilson Avenue Public School"
"062","OTTAWA CENTRE","137","U","OTTAWA","1","47","52","145","9","0","1","1","0","0","256","470","École publique Elmdale Public School (Via Java)"
"062","OTTAWA CENTRE","138","U","OTTAWA","0","35","42","55","3","0","1","0","0","0","136","359","École publique Hilson Avenue Public School"
"062","OTTAWA CENTRE","139","U","OTTAWA","0","41","24","92","6","1","0","0","0","0","164","321","Royal Canadian Legion (Westboro)"
"062","OTTAWA CENTRE","140","U","OTTAWA","4","47","63","96","10","1","0","0","0","0","221","516","Royal Canadian Legion (Westboro)"
"062","OTTAWA CENTRE","141","U","OTTAWA","1","46","68","135","7","1","1","0","1","0","260","561","Royal Canadian Legion (Westboro)"
"062","OTTAWA CENTRE","142","U","OTTAWA","0","60","104","132","11","0","1","4","0","0","312","557","Paroise St. George's Parish"
"062","OTTAWA CENTRE","143","U","OTTAWA","1","49","54","109","14","1","0","0","0","0","228","450","Centre Jules-Léger"
"062","OTTAWA CENTRE","144","U","OTTAWA","1","31","60","103","11","0","0","0","0","0","206","520","Centre Jules-Léger"
"062","OTTAWA CENTRE","145","U","OTTAWA","1","35","37","85","8","0","1","0","0","0","167","332","Centre Jules-Léger"
"062","OTTAWA CENTRE","146","U","OTTAWA","0","48","52","123","12","0","0","0","0","0","235","420","École catholique St. George Catholic School"
"062","OTTAWA CENTRE","147","U","OTTAWA","0","30","46","148","10","1","0","1","0","0","236","380","École catholique St. George Catholic School"
"062","OTTAWA CENTRE","148","U","OTTAWA","1","40","33","114","3","1","0","0","0","0","192","321","École publique Fisher Park Public School"
"062","OTTAWA CENTRE","149","U","OTTAWA","1","49","33","118","7","0","1","4","0","2","215","382","École publique Fisher Park Public School"
"062","OTTAWA CENTRE","150","U","OTTAWA","0","28","38","118","6","1","3","0","1","1","196","347","Église St. Stephen's Church"
"062","OTTAWA CENTRE","151","U","OTTAWA","1","44","53","127","9","2","0","0","0","0","236","391","Église St. Stephen's Church"
"062","OTTAWA CENTRE","152","U","OTTAWA","0","49","30","144","10","4","1","0","0","0","238","432","Église St. Stephen's Church"
"062","OTTAWA CENTRE","153","U","OTTAWA","2","49","54","142","9","0","0","3","0","0","259","452","St. Ambrose Training Centre of Excellence"
"062","OTTAWA CENTRE","154","U","OTTAWA","0","46","32","140","6","0","1","1","0","0","226","398","St. Ambrose Training Centre of Excellence"
"062","OTTAWA CENTRE","155","U","OTTAWA","5","76","101","141","13","0","2","1","0","0","339","657","St. Ambrose Training Centre of Excellence"
"062","OTTAWA CENTRE","156","U","OTTAWA","1","36","39","40","7","2","1","1","0","0","127","376","Église German Martin Luther Church"
"062","OTTAWA CENTRE","157","U","OTTAWA","2","42","49","83","10","1","0","1","0","0","188","331","École des Adultes St. Nicholas Adult High School"
"062","OTTAWA CENTRE","158","U","OTTAWA","5","50","52","61","4","0","1","0","0","0","173","345","École des Adultes St. Nicholas Adult High School"
"062","OTTAWA CENTRE","159","U","OTTAWA","2","41","62","51","11","0","0","1","0","2","170","339","École des Adultes St. Nicholas Adult High School"
"062","OTTAWA CENTRE","160","U","OTTAWA","0","27","71","73","9","0","0","1","0","0","181","479","Centre Communautaire Alexander Community Centre"
"062","OTTAWA CENTRE","161","U","OTTAWA","1","40","89","71","11","0","0","0","0","0","212","509","Centre Communautaire Alexander Community Centre"
"062","OTTAWA CENTRE","162","U","OTTAWA","4","53","74","54","7","1","3","3","1","0","200","595","Centre Communautaire Alexander Community Centre"
"062","OTTAWA CENTRE","163","U","OTTAWA","1","19","40","81","9","0","3","0","0","0","153","482","Centre Communautaire Alexander Community Centre"
"062","OTTAWA CENTRE","164","U","OTTAWA","0","54","62","66","8","0","2","0","0","0","192","513","Centre Communautaire Alexander Community Centre"
"062","OTTAWA CENTRE","165","U","OTTAWA","4","67","45","95","6","0","0","2","0","0","219","402","Centre Communautaire Hellenic Community Centre"
"062","OTTAWA CENTRE","166","U","OTTAWA","0","53","35","59","9","0","0","0","1","0","157","392","Centre Communautaire Hellenic Community Centre"
"062","OTTAWA CENTRE","167","U","OTTAWA","0","68","25","57","11","0","0","0","0","0","161","357","Centre Communautaire Hellenic Community Centre"
"062","OTTAWA CENTRE","168","U","OTTAWA","2","29","24","51","9","0","2","0","2","0","119","319","Centre Communautaire Hellenic Community Centre"
"062","OTTAWA CENTRE","169","U","OTTAWA","1","44","50","68","9","0","3","0","0","0","175","596","École secondaire St. Pius X High School"
"062","OTTAWA CENTRE","170","U","OTTAWA","2","60","42","82","9","0","0","0","0","0","195","408","École secondaire St. Pius X High School"
"062","OTTAWA CENTRE","171","U","OTTAWA","1","95","32","85","3","0","2","1","0","0","219","428","École publique Carleton Heights Public School"
"062","OTTAWA CENTRE","172","U","OTTAWA","3","58","46","62","10","1","0","0","0","0","180","394","École publique Carleton Heights Public School"
"062","OTTAWA CENTRE","173","U","OTTAWA","2","77","27","92","9","1","5","1","0","0","214","426","École publique Carleton Heights Public School"
"062","OTTAWA CENTRE","174","U","OTTAWA","3","63","38","76","2","1","0","0","0","0","183","418","École publique Carleton Heights Public School"
"062","OTTAWA CENTRE","175","U","OTTAWA","1","85","52","98","6","0","0","1","0","0","243","582","École publique Carleton Heights Public School"
"062","OTTAWA CENTRE","176","U","OTTAWA","1","24","68","77","8","0","1","0","1","0","180","428","École publique Centennial Public School"
"062","OTTAWA CENTRE","177","U","OTTAWA","0","16","26","10","2","2","0","0","0","0","56","184","Centre Communautaire Hellenic Community Centre"
"062","OTTAWA CENTRE","178","U","OTTAWA","1","7","22","12","3","2","0","0","0","0","47","158","Centre Communautaire Hellenic Community Centre"
"062","OTTAWA CENTRE","179","U","OTTAWA","2","20","57","26","1","0","0","0","0","0","106","360","Centre Communautaire Hellenic Community Centre"
"062","OTTAWA CENTRE","400","U","OTTAWA","2","33","38","67","4","1","3","3","1","0","152","254","Tours Rochester Towers"
"062","OTTAWA CENTRE","401","U","OTTAWA","2","24","19","79","6","1","0","0","0","0","131","186","Park Square"
"062","OTTAWA CENTRE","402","U","OTTAWA","2","42","54","63","6","0","1","0","0","1","169","317","Centretown Place"
"062","OTTAWA CENTRE","403","U","OTTAWA",".......................COMBINED WITH POLL 404.......................","","","","","","","","","","","","475 Laurier Avenue West"
"062","OTTAWA CENTRE","404","U","OTTAWA","1","57","70","152","14","0","0","0","0","73","367","473","Tour B - Queen Elizabeth - Tower B"
"062","OTTAWA CENTRE","405","U","OTTAWA","0","44","30","86","4","0","1","0","0","0","165","287","Tour A - Queen Elizabeth - Tower A"
"062","OTTAWA CENTRE","406","U","OTTAWA","0","34","37","77","4","2","1","0","0","0","155","261","Bay Laurier Place"
"062","OTTAWA CENTRE","407","U","OTTAWA","1","34","33","72","8","0","0","2","0","1","151","267","Tours Kent Towers"
"062","OTTAWA CENTRE","408","U","OTTAWA","2","20","21","51","5","1","3","1","1","0","105","172","Appartements Imperial Apartments"
"062","OTTAWA CENTRE","409","U","OTTAWA","2","13","51","49","2","2","1","0","1","0","121","201","Appartements Wentworth Plaza Apartments"
"062","OTTAWA CENTRE","410","U","OTTAWA","0","13","30","62","3","1","1","0","0","0","110","182","Appartements Regency Towers Apartments"
"062","OTTAWA CENTRE","411","U","OTTAWA","0","18","31","89","5","0","2","0","0","0","145","238","The Strand"
"062","OTTAWA CENTRE","412","U","OTTAWA","3","38","67","86","5","0","4","2","1","0","206","381","Manoir Somerset Manor"
"062","OTTAWA CENTRE","413","U","OTTAWA","2","17","30","48","2","1","1","0","0","0","101","222","Tours Maclaren Towers"
"062","OTTAWA CENTRE","414","U","OTTAWA","1","10","28","49","5","0","1","0","0","0","94","141","Appartements Waldorf Apartments"
"062","OTTAWA CENTRE","415","U","OTTAWA","0","11","27","49","5","0","0","1","0","0","93","166","Appartements Cartier Square Apartments"
"062","OTTAWA CENTRE","416","U","OTTAWA","1","39","23","90","7","0","1","0","0","0","161","231","10 the Driveway"
"062","OTTAWA CENTRE","417","U","OTTAWA","2","32","45","72","2","0","2","1","0","0","156","240","Appartements St. Moritz Apartments"
"062","OTTAWA CENTRE","418","U","OTTAWA","0","34","7","53","0","0","0","2","0","0","96","139","20 The Driveway"
"062","OTTAWA CENTRE","419","U","OTTAWA","0","22","23","59","2","1","1","0","0","0","108","166","The Lamplighter"
"062","OTTAWA CENTRE","420","U","OTTAWA","1","14","35","35","8","1","0","0","0","0","94","166","Appartements Governor Metcalfe Apartments"
"062","OTTAWA CENTRE","421","U","OTTAWA","0","21","43","37","10","1","1","0","2","0","115","174","Appartements Elphin Apartments"
"062","OTTAWA CENTRE","422","U","OTTAWA","2","26","44","68","8","0","1","1","0","0","150","272","Appartements Elgin Square Apartments"
"062","OTTAWA CENTRE","423","U","OTTAWA","1","12","22","32","6","0","0","2","0","0","75","155","Appartements Tiffany Apartments"
