"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BANZUELA","CHLOBOWSKI","FLYNN","HARRIS","HUNTER","SCOTT","SPRAGUE","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"060","OAKVILLE","036","U","OAKVILLE","2","4","110","0","0","41","25","1","0","0","183","378","Central West Specialized Developmental School"
"060","OAKVILLE","037","U","OAKVILLE","0","0","5","2","0","2","2","0","0","0","11","303","Linbrook Public School"
"060","OAKVILLE","038","U","OAKVILLE","0","6","57","3","0","18","22","0","1","0","107","344","Central West Specialized Developmental School"
"060","OAKVILLE","039","U","OAKVILLE","1","4","36","0","1","14","15","0","0","0","71","227","Central West Specialized Developmental School"
"060","OAKVILLE","040","U","OAKVILLE","2","2","21","0","0","12","11","0","0","0","48","232","Central West Specialized Developmental School"
"060","OAKVILLE","041","U","OAKVILLE","0","1","22","2","0","28","17","2","0","0","72","265","Oakville Arena - Pine Room"
"060","OAKVILLE","042","U","OAKVILLE","0","8","63","1","1","26","25","2","0","0","126","269","École St. Marie"
"060","OAKVILLE","043","U","OAKVILLE","1","6","57","0","0","23","14","0","0","0","101","288","Oakville Arena - Pine Room"
"060","OAKVILLE","044","U","OAKVILLE","1","5","50","1","0","31","27","0","0","0","115","225","École St. Marie"
"060","OAKVILLE","045","U","OAKVILLE","0","3","57","0","0","40","8","0","0","0","108","226","Lions Foundation of Canada"
"060","OAKVILLE","046","U","OAKVILLE","0","6","34","0","1","26","14","1","0","0","82","228","Lions Foundation of Canada"
"060","OAKVILLE","047","U","OAKVILLE","1","1","65","0","0","70","6","0","0","0","143","309","Lions Foundation of Canada"
"060","OAKVILLE","048","U","OAKVILLE","0","8","81","0","0","66","6","0","0","0","161","352","Lions Foundation of Canada"
"060","OAKVILLE","049","U","OAKVILLE","0","6","58","2","0","51","18","0","1","2","138","406","Lions Foundation of Canada"
"060","OAKVILLE","050","U","OAKVILLE","1","1","57","1","0","59","13","1","0","0","133","290","École St. Marie"
"060","OAKVILLE","051","U","OAKVILLE","2","3","31","1","0","24","15","0","0","0","76","219","École St. Marie"
"060","OAKVILLE","052","U","OAKVILLE","2","1","52","0","2","13","11","1","0","0","82","299","École St. Marie"
"060","OAKVILLE","053","U","OAKVILLE","2","4","52","0","0","35","17","1","0","0","111","280","École St. Marie"
"060","OAKVILLE","054","U","OAKVILLE","1","3","84","4","3","57","27","5","1","0","185","433","W. H. Morden Public School"
"060","OAKVILLE","055","U","OAKVILLE","2","5","69","1","1","45","18","0","0","0","141","354","W. H. Morden Public School"
"060","OAKVILLE","056","U","OAKVILLE","3","4","79","1","0","41","18","0","0","0","146","313","W. H. Morden Public School"
"060","OAKVILLE","057","U","OAKVILLE","4","7","73","0","1","48","32","1","0","0","166","364","W. H. Morden Public School"
"060","OAKVILLE","058","U","OAKVILLE","1","3","96","1","1","76","30","1","0","0","209","388","Pinegrove Elementary School"
"060","OAKVILLE","059","U","OAKVILLE","1","5","70","0","0","65","18","0","0","0","159","329","W. H. Morden Public School"
"060","OAKVILLE","060","U","OAKVILLE","0","3","75","1","0","58","17","0","0","0","154","332","Pinegrove Elementary School"
"060","OAKVILLE","061","U","OAKVILLE","2","2","61","4","0","75","6","0","0","0","150","423","Pinegrove Elementary School"
"060","OAKVILLE","062","U","OAKVILLE","1","3","85","0","1","62","18","0","0","0","170","377","Pinegrove Elementary School"
"060","OAKVILLE","063","U","OAKVILLE","3","3","104","0","0","71","24","0","0","0","205","408","Thomas A. Blakelock Secondary Centre"
"060","OAKVILLE","064","U","OAKVILLE","2","4","92","3","2","53","21","2","0","1","180","385","Brookdale Public School"
"060","OAKVILLE","065","U","OAKVILLE","4","3","53","0","0","66","19","0","0","0","145","387","Pinegrove Elementary School"
"060","OAKVILLE","066","U","OAKVILLE","1","6","74","1","3","61","24","1","0","0","171","335","Brookdale Public School"
"060","OAKVILLE","067","U","OAKVILLE","1","7","78","4","1","62","22","0","0","0","175","423","Brookdale Public School"
"060","OAKVILLE","068","U","OAKVILLE","0","1","98","2","0","66","19","0","0","0","186","412","St. Joseph Separate School"
"060","OAKVILLE","069","U","OAKVILLE","1","5","67","1","2","70","31","1","0","0","178","390","St. Joseph Separate School"
"060","OAKVILLE","070","U","OAKVILLE","1","3","43","1","1","50","22","0","0","0","121","364","Brookdale Public School"
"060","OAKVILLE","071","U","OAKVILLE","0","3","60","1","0","54","21","0","1","0","140","371","St. Joseph Separate School"
"060","OAKVILLE","072","U","OAKVILLE","0","0","4","0","0","6","6","0","0","0","16","144","St. Joseph Separate School"
"060","OAKVILLE","073","U","OAKVILLE","1","5","74","1","0","66","12","1","0","0","160","375","Thomas A. Blakelock Secondary Centre"
"060","OAKVILLE","074","U","OAKVILLE","0","3","76","3","0","68","16","0","0","0","166","380","Thomas A. Blakelock Secondary Centre"
"060","OAKVILLE","075","U","OAKVILLE","0","5","117","0","0","58","16","1","0","0","197","406","John Colborne Senior Centre"
"060","OAKVILLE","076","U","OAKVILLE","1","5","110","3","0","62","14","2","0","0","197","409","John Colborne Senior Centre"
"060","OAKVILLE","077","U","OAKVILLE","1","3","82","2","0","57","17","0","0","0","162","327","John Colborne Senior Centre"
"060","OAKVILLE","078","U","OAKVILLE","0","3","66","1","0","63","25","0","0","0","158","332","John Colborne Senior Centre"
"060","OAKVILLE","079","U","OAKVILLE","0","3","110","1","1","69","15","1","0","0","200","391","Eastview Public School"
"060","OAKVILLE","080","U","OAKVILLE","1","5","84","0","1","76","35","2","0","0","204","404","John Colborne Senior Centre"
"060","OAKVILLE","081","U","OAKVILLE","0","5","73","1","0","64","23","1","0","0","167","411","Gladys Speers Public School"
"060","OAKVILLE","082","U","OAKVILLE","0","2","88","1","0","57","25","2","0","0","175","388","Gladys Speers Public School"
"060","OAKVILLE","083","U","OAKVILLE","0","3","83","5","0","78","20","0","1","0","190","397","St. Dominic's Catholic Elementary School"
"060","OAKVILLE","084","U","OAKVILLE","0","3","87","2","0","73","16","0","0","0","181","362","Gladys Speers Public School"
"060","OAKVILLE","085","U","OAKVILLE","1","4","91","3","0","71","35","1","0","1","207","392","Gladys Speers Public School"
"060","OAKVILLE","086","U","OAKVILLE","0","1","92","1","0","62","24","1","0","0","181","372","St. Dominic's Catholic Elementary School"
"060","OAKVILLE","087","U","OAKVILLE","0","3","104","1","0","65","20","0","0","1","194","411","St. Dominic's Catholic Elementary School"
"060","OAKVILLE","088","U","OAKVILLE","2","6","108","1","0","66","11","0","0","0","194","369","Eastview Public School"
"060","OAKVILLE","089","U","OAKVILLE","0","3","102","2","2","79","15","3","0","0","206","411","Eastview Public School"
"060","OAKVILLE","090","U","OAKVILLE","2","4","108","2","0","87","19","2","1","0","225","456","St. Dominic's Catholic Elementary School"
"060","OAKVILLE","091","U","OAKVILLE","0","6","91","2","0","76","21","0","0","0","196","450","Bronte Legion"
"060","OAKVILLE","092","U","OAKVILLE","0","2","84","5","0","48","27","0","0","0","166","369","St. Dominic's Catholic Elementary School"
"060","OAKVILLE","093","U","OAKVILLE","0","3","45","1","0","25","17","0","0","0","91","271","Eastview Public School"
"060","OAKVILLE","094","U","OAKVILLE","2","5","64","0","0","49","25","0","0","0","145","347","Bronte Legion"
"060","OAKVILLE","095","U","OAKVILLE","0","0","33","1","1","20","16","0","0","0","71","278","Eastview Public School"
"060","OAKVILLE","096","U","OAKVILLE","1","2","46","1","0","55","13","0","0","0","118","289","Bronte Legion"
"060","OAKVILLE","097","U","OAKVILLE","1","6","72","3","0","78","13","0","0","0","173","349","Walton Memorial United Church"
"060","OAKVILLE","098","U","OAKVILLE","2","3","119","1","2","74","16","0","0","0","217","409","Walton Memorial United Church"
"060","OAKVILLE","099","U","OAKVILLE","1","0","89","2","0","52","24","0","0","0","168","385","Walton Memorial United Church"
"060","OAKVILLE","100","U","OAKVILLE","5","5","85","0","0","64","15","0","0","0","174","422","St. Dominic's Catholic Elementary School"
"060","OAKVILLE","101","U","OAKVILLE","0","1","107","1","1","63","28","0","0","0","201","406","Walton Memorial United Church"
"060","OAKVILLE","102","U","OAKVILLE","1","3","128","4","0","77","17","0","1","0","231","682","Church of the Nazarene"
"060","OAKVILLE","103","U","OAKVILLE","0","2","89","0","0","52","13","0","0","0","156","488","Church of the Nazarene"
"060","OAKVILLE","104","U","OAKVILLE","0","2","40","0","0","56","15","0","0","0","113","349","Church of the Nazarene"
"060","OAKVILLE","105","U","OAKVILLE","0","6","113","1","0","65","25","0","0","0","210","434","Walton Memorial United Church"
"060","OAKVILLE","106","U","OAKVILLE","0","4","68","1","0","71","7","1","0","0","152","397","Walton Memorial United Church"
"060","OAKVILLE","107","U","OAKVILLE","0","1","101","2","1","55","10","0","0","0","170","417","Church of the Nazarene"
"060","OAKVILLE","108","U","OAKVILLE","2","1","83","1","0","65","14","0","0","0","166","403","Church of the Nazarene"
"060","OAKVILLE","109","U","OAKVILLE","0","1","92","2","0","87","12","1","0","0","195","507","Church of the Nazarene"
"060","OAKVILLE","110","U","OAKVILLE","0","1","65","1","0","65","19","0","0","0","151","412","Church of the Nazarene"
"060","OAKVILLE","111","U","OAKVILLE","0","7","106","0","1","88","7","0","0","0","209","437","St. Bernadette Catholic School"
"060","OAKVILLE","112","U","OAKVILLE","1","2","48","1","0","30","19","0","0","0","101","270","St. Bernadette Catholic School"
"060","OAKVILLE","113","U","OAKVILLE","0","2","126","2","0","107","18","0","0","0","255","522","St. Bernadette Catholic School"
"060","OAKVILLE","114","U","OAKVILLE","0","1","120","1","0","82","21","0","1","0","226","476","Heritage Public School"
"060","OAKVILLE","115","U","OAKVILLE","0","1","69","0","0","40","14","0","0","0","124","344","Heritage Public School"
"060","OAKVILLE","116","U","OAKVILLE","0","3","81","1","0","87","14","0","0","0","186","405","Heritage Public School"
"060","OAKVILLE","117","U","OAKVILLE","3","3","91","3","1","84","24","0","0","0","209","416","Heritage Public School"
"060","OAKVILLE","118","U","OAKVILLE","0","0","92","4","0","67","15","0","0","0","178","412","Heritage Public School"
"060","OAKVILLE","119","U","OAKVILLE","0","4","109","1","0","85","20","0","0","0","219","499","St. Bernadette Catholic School"
"060","OAKVILLE","120","U","OAKVILLE","0","2","72","0","1","83","20","1","0","0","179","371","St. Bernadette Catholic School"
"060","OAKVILLE","121","U","OAKVILLE","0","1","91","0","0","50","9","0","0","0","151","337","Pilgrim Wood Public School"
"060","OAKVILLE","122","U","OAKVILLE","0","1","79","0","0","43","17","0","0","0","140","296","Pilgrim Wood Public School"
"060","OAKVILLE","123","U","OAKVILLE","0","3","86","2","0","48","15","0","0","0","154","378","Pilgrim Wood Public School"
"060","OAKVILLE","124","U","OAKVILLE","1","3","89","3","1","77","16","0","0","0","190","413","Abbey Park High School"
"060","OAKVILLE","125","U","OAKVILLE","1","3","98","0","1","80","16","1","1","1","202","410","Pilgrim Wood Public School"
"060","OAKVILLE","126","U","OAKVILLE","0","2","44","1","0","29","21","1","1","0","99","288","Pilgrim Wood Public School"
"060","OAKVILLE","127","U","OAKVILLE","1","2","115","1","0","81","5","0","0","0","205","442","Pilgrim Wood Public School"
"060","OAKVILLE","128","U","OAKVILLE","0","0","113","1","0","87","10","1","0","0","212","441","Abbey Park High School"
"060","OAKVILLE","129","U","OAKVILLE","0","1","83","1","1","63","10","0","0","0","159","340","Abbey Park High School"
"060","OAKVILLE","130","U","OAKVILLE","0","4","39","1","0","22","14","1","0","0","81","238","Abbey Park High School"
"060","OAKVILLE","131","U","OAKVILLE","2","1","34","1","0","16","10","0","0","0","64","209","Abbey Park High School"
"060","OAKVILLE","132","U","OAKVILLE","0","4","124","2","1","77","22","0","0","1","231","465","Glen Abbey United Church"
"060","OAKVILLE","133","U","OAKVILLE","0","6","98","1","0","94","18","0","0","0","217","482","Abbey Park High School"
"060","OAKVILLE","134","U","OAKVILLE","0","2","65","4","0","58","7","0","0","1","137","275","Glen Abbey United Church"
"060","OAKVILLE","135","U","OAKVILLE","0","5","133","4","0","67","15","0","0","0","224","431","Pilgrim Wood Public School"
"060","OAKVILLE","136","U","OAKVILLE","0","6","82","1","1","61","28","0","0","0","179","370","St. Matthew's Catholic School"
"060","OAKVILLE","137","U","OAKVILLE","0","2","106","0","0","65","19","0","0","1","193","422","St. Matthew's Catholic School"
"060","OAKVILLE","138","U","OAKVILLE","1","3","101","1","1","78","16","0","0","0","201","402","St. Matthew's Catholic School"
"060","OAKVILLE","139","U","OAKVILLE","0","3","108","2","0","79","13","0","0","0","205","440","Glen Abbey United Church"
"060","OAKVILLE","140","U","OAKVILLE","1","0","117","0","0","73","10","0","0","0","201","404","Abbey Lane Public School"
"060","OAKVILLE","141","U","OAKVILLE","2","4","131","1","4","79","7","0","1","0","229","449","St. Matthew's Catholic School"
"060","OAKVILLE","142","U","OAKVILLE","0","4","72","2","0","68","25","1","0","0","172","352","Abbey Lane Public School"
"060","OAKVILLE","143","U","OAKVILLE","0","5","73","3","0","44","19","0","0","0","144","301","Abbey Lane Public School"
"060","OAKVILLE","144","U","OAKVILLE","0","4","63","1","1","35","11","0","0","0","115","283","Abbey Lane Public School"
"060","OAKVILLE","145","U","OAKVILLE","0","1","47","0","1","23","12","0","0","0","84","292","Abbey Lane Public School"
"060","OAKVILLE","146","U","OAKVILLE","0","0","55","0","0","53","4","0","0","0","112","265","Abbey Lane Public School"
"060","OAKVILLE","147","U","OAKVILLE","0","7","97","3","2","60","20","0","0","0","189","353","Sunningdale Public School"
"060","OAKVILLE","148","U","OAKVILLE","0","3","106","2","0","76","14","0","0","0","201","405","Sunningdale Public School"
"060","OAKVILLE","149","U","OAKVILLE","3","6","68","4","0","52","24","0","1","0","158","346","Sunningdale Public School"
"060","OAKVILLE","150","U","OAKVILLE","1","10","73","2","1","71","26","2","0","0","186","379","Sunningdale Public School"
"060","OAKVILLE","151","U","OAKVILLE","1","2","82","2","1","69","16","2","0","0","175","368","Sunningdale Public School"
"060","OAKVILLE","152","U","OAKVILLE","0","1","64","3","1","74","31","0","0","1","175","433","Sunningdale Public School"
"060","OAKVILLE","153","U","OAKVILLE","1","5","56","1","1","42","28","0","0","1","135","341","Sunningdale Public School"
"060","OAKVILLE","154","U","OAKVILLE","4","6","46","3","0","36","24","3","0","0","122","322","Munn's Public School"
"060","OAKVILLE","155","U","OAKVILLE","1","5","76","7","1","36","18","0","0","0","144","316","Munn's Public School"
"060","OAKVILLE","156","U","OAKVILLE","2","3","56","1","0","47","29","0","0","0","138","342","Munn's Public School"
"060","OAKVILLE","157","U","OAKVILLE","2","4","98","4","1","70","32","0","0","0","211","430","St. Michaels Catholic School"
"060","OAKVILLE","158","U","OAKVILLE","0","2","71","3","0","69","16","0","0","0","161","396","St. Michaels Catholic School"
"060","OAKVILLE","159","U","OAKVILLE","0","1","33","1","0","25","20","0","0","0","80","260","St. Michaels Catholic School"
"060","OAKVILLE","160","U","OAKVILLE","1","2","64","3","2","33","15","0","0","0","120","331","St. Michaels Catholic School"
"060","OAKVILLE","161","U","OAKVILLE","3","9","100","4","0","53","17","0","0","0","186","425","St. Michaels Catholic School"
"060","OAKVILLE","162","U","OAKVILLE","1","3","85","1","0","48","36","1","0","0","175","396","St. Michaels Catholic School"
"060","OAKVILLE","163","U","OAKVILLE","0","0","3","0","1","0","2","0","0","0","6","68","Oakville Town Hall"
"060","OAKVILLE","164","U","OAKVILLE","3","1","95","4","1","41","28","0","0","0","173","385","Munn's Public School"
"060","OAKVILLE","165","U","OAKVILLE","0","3","79","2","0","49","17","0","0","0","150","329","Munn's Public School"
"060","OAKVILLE","166","U","OAKVILLE","1","7","66","1","0","37","23","3","0","0","138","378","St. Simon's Church"
"060","OAKVILLE","167","U","OAKVILLE","1","1","90","2","0","82","18","1","0","0","195","449","Falgarwood Public School"
"060","OAKVILLE","168","U","OAKVILLE","0","4","28","0","0","32","25","0","0","0","89","222","St. Simon's Church"
"060","OAKVILLE","169","U","OAKVILLE","0","5","85","2","0","65","15","0","0","0","172","350","Falgarwood Public School"
"060","OAKVILLE","170","U","OAKVILLE","3","4","76","4","0","59","39","0","0","0","185","362","Falgarwood Public School"
"060","OAKVILLE","171","U","OAKVILLE","0","9","107","1","0","99","19","0","0","0","235","453","Holy Family School"
"060","OAKVILLE","172","U","OAKVILLE","1","2","29","1","0","45","23","0","0","0","101","278","Falgarwood Public School"
"060","OAKVILLE","173","U","OAKVILLE","1","3","66","2","1","43","16","1","0","0","133","363","Falgarwood Public School"
"060","OAKVILLE","174","U","OAKVILLE","0","7","113","3","1","63","20","4","0","0","211","441","Holy Family School"
"060","OAKVILLE","175","U","OAKVILLE","1","1","79","2","0","61","37","0","0","0","181","397","Holy Family School"
"060","OAKVILLE","176","U","OAKVILLE","2","3","47","1","0","33","23","0","0","0","109","264","Holy Family School"
"060","OAKVILLE","177","U","OAKVILLE","2","4","122","1","0","68","25","0","0","0","222","438","Falgarwood Public School"
"060","OAKVILLE","178","U","OAKVILLE","0","4","85","3","1","78","23","0","0","0","194","364","Falgarwood Public School"
"060","OAKVILLE","179","U","OAKVILLE","0","5","75","1","1","105","27","0","0","0","214","389","Holy Family School"
"060","OAKVILLE","180","U","OAKVILLE","6","6","105","4","1","76","24","1","0","0","223","454","Holy Family School"
"060","OAKVILLE","181","U","OAKVILLE","7","10","95","2","1","79","22","0","1","0","217","371","Holy Family School"
"060","OAKVILLE","182","U","OAKVILLE","0","5","69","4","0","64","17","1","0","0","160","411","John Knox Christian School"
"060","OAKVILLE","183","U","OAKVILLE","0","3","112","5","1","55","19","0","0","0","195","459","James W. Hill Public School"
"060","OAKVILLE","184","U","OAKVILLE","0","3","97","5","0","51","28","1","0","0","185","418","James W. Hill Public School"
"060","OAKVILLE","185","U","OAKVILLE","0","4","68","3","0","37","16","0","1","0","129","285","James W. Hill Public School"
"060","OAKVILLE","186","U","OAKVILLE","0","4","100","1","1","61","28","0","1","0","196","439","John Knox Christian School"
"060","OAKVILLE","187","U","OAKVILLE","1","3","127","10","1","95","20","2","0","0","259","499","John Knox Christian School"
"060","OAKVILLE","188","U","OAKVILLE","0","4","119","4","0","87","24","2","1","0","241","539","John Knox Christian School"
"060","OAKVILLE","189","U","OAKVILLE","0","5","119","5","0","89","37","1","0","0","256","527","James W. Hill Public School"
"060","OAKVILLE","190","U","OAKVILLE","0","4","81","0","1","47","15","0","0","0","148","323","James W. Hill Public School"
"060","OAKVILLE","191","U","OAKVILLE","0","3","78","4","1","72","23","0","0","0","181","329","James W. Hill Public School"
"060","OAKVILLE","192","U","OAKVILLE","1","2","88","19","0","89","19","0","0","0","218","499","James W. Hill Public School"
"060","OAKVILLE","193","U","OAKVILLE","1","4","104","4","1","98","26","0","0","0","238","472","James W. Hill Public School"
"060","OAKVILLE","194","U","OAKVILLE","0","4","48","0","0","59","11","0","0","0","122","295","St. Marguerite D'Youville"
"060","OAKVILLE","195","U","OAKVILLE","0","3","58","1","1","60","5","1","1","0","130","336","St. Marguerite D'Youville"
"060","OAKVILLE","196","U","OAKVILLE","0","4","112","4","0","72","12","0","0","0","204","452","Iroquois Ridge High School"
"060","OAKVILLE","197","U","OAKVILLE","0","2","92","0","0","43","25","2","0","0","164","357","Iroquois Ridge High School"
"060","OAKVILLE","198","U","OAKVILLE","0","3","131","1","5","66","30","1","1","0","238","456","Iroquois Ridge High School"
"060","OAKVILLE","199","U","OAKVILLE","0","6","100","4","0","79","22","0","0","0","211","400","Iroquois Ridge Community Centre"
"060","OAKVILLE","200","U","OAKVILLE","1","3","125","4","0","89","7","0","0","0","229","473","Iroquois Ridge High School"
"060","OAKVILLE","201","U","OAKVILLE","1","4","73","1","0","112","10","0","0","0","201","407","St. Marguerite D'Youville"
"060","OAKVILLE","202","U","OAKVILLE","0","6","98","1","0","84","24","0","0","0","213","415","St. Marguerite D'Youville"
"060","OAKVILLE","203","U","OAKVILLE","0","1","85","2","2","91","11","0","0","0","192","433","Iroquois Ridge Community Centre"
"060","OAKVILLE","204","U","OAKVILLE","0","1","74","0","0","68","6","1","0","0","150","440","Iroquois Ridge Community Centre"
"060","OAKVILLE","205","U","OAKVILLE","1","1","87","1","0","66","18","1","0","0","175","370","Iroquois Ridge Community Centre"
"060","OAKVILLE","206","U","OAKVILLE","0","4","85","3","0","59","16","0","0","0","167","460","Iroquois Ridge Community Centre"
"060","OAKVILLE","207","U","OAKVILLE","0","0","156","0","0","122","26","0","0","0","304","827","Joshua Creek Public School"
"060","OAKVILLE","208","U","OAKVILLE","1","5","102","3","0","77","19","0","0","0","207","511","Joshua Creek Public School"
"060","OAKVILLE","209","U","OAKVILLE","1","1","63","1","0","68","9","1","0","0","144","432","Joshua Creek Public School"
"060","OAKVILLE","210","U","OAKVILLE","0","3","83","2","0","91","8","1","0","0","188","433","Joshua Creek Public School"
"060","OAKVILLE","211","U","OAKVILLE","0","1","38","1","0","60","6","0","0","0","106","307","Joshua Creek Public School"
"060","OAKVILLE","212","U","OAKVILLE","0","4","54","2","0","72","6","1","0","0","139","382","Joshua Creek Public School"
"060","OAKVILLE","400","U","OAKVILLE","1","3","105","1","0","56","33","1","1","0","201","319","The Oaks HCC71"
"060","OAKVILLE","401","U","OAKVILLE","1","4","35","3","2","21","31","0","0","2","99","320","White Oaks Apartments"
"060","OAKVILLE","402","U","OAKVILLE","0","7","31","0","1","11","26","0","0","1","77","229","Wallace Pines"
"060","OAKVILLE","403","U","OAKVILLE","0","3","23","1","0","14","20","1","0","0","62","241","Oakville Town Hall"
"060","OAKVILLE","404","U","OAKVILLE","0","2","24","0","0","6","12","0","0","0","44","144","St. Simon's Church"
"060","OAKVILLE","405","U","OAKVILLE","0","0","45","2","0","31","9","0","0","0","87","136","Sovereign II HCC120"
"060","OAKVILLE","406","U","OAKVILLE","0","1","40","0","0","34","7","2","0","0","84","135","Sovereign I HCC118"
"060","OAKVILLE","407","U","OAKVILLE","2","2","30","1","0","29","20","0","0","0","84","295","Oakville Town Hall"
"060","OAKVILLE","408","U","OAKVILLE","3","2","17","0","0","15","12","0","0","0","49","129","Munn's Public School"
"060","OAKVILLE","409","U","OAKVILLE","0","3","32","1","1","9","23","0","0","0","69","143","Ridge Hill Towers"
"060","OAKVILLE","410","U","OAKVILLE","0","6","112","0","0","82","10","0","2","0","212","142","Oak Ridge Heights"
"060","OAKVILLE","411","U","OAKVILLE","0","1","49","0","0","14","12","0","0","0","76","176","Glen Oaks Co-Op"
"060","OAKVILLE","412","U","OAKVILLE","1","3","25","2","1","7","17","1","0","0","57","170","Birch Glen Co-Op"
"060","OAKVILLE","413","U","OAKVILLE","0","1","8","0","0","5","8","1","0","2","25","151","Central West Specialized Developmental School"
"060","OAKVILLE","414","U","OAKVILLE","0","4","25","0","0","16","8","0","0","0","53","176","Oakville Arena - Pine Room"
"060","OAKVILLE","415","U","OAKVILLE","0","2","22","0","0","13","20","0","0","0","57","173","Oakville Arena - Pine Room"
"060","OAKVILLE","416","U","OAKVILLE","0","2","60","1","0","49","5","0","0","0","117","195","Glen Abbey United Church"
"060","OAKVILLE","417","U","OAKVILLE","4","2","20","2","0","19","20","1","1","0","69","144","Rodean Co-Op"
"060","OAKVILLE","418","U","OAKVILLE","2","5","88","5","2","27","31","0","0","1","161","255","John Rhodes Apartments"
"060","OAKVILLE","419","U","OAKVILLE","2","1","35","2","0","15","17","0","0","0","72","179","The Oaklands"
