"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DUNLOP","LARSEN","MIDDLETON","STUBBINS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"086","SIMCOE NORTH","069","U","MIDLAND","75","31","31","4","2","0","0","143","373","St. Theresa Catholic High School"
"086","SIMCOE NORTH","070","U","MIDLAND","46","27","35","7","0","0","0","115","322","St. Theresa Catholic High School"
"086","SIMCOE NORTH","071","U","MIDLAND","67","16","30","2","0","1","0","116","305","King Place Retirement Residence"
"086","SIMCOE NORTH","072","U","MIDLAND","94","40","27","20","0","0","0","181","565","St. Theresa Catholic High School"
"086","SIMCOE NORTH","073","U","PORT MCNICOLL","74","46","20","5","1","0","0","146","321","Port McNicoll Community Centre"
"086","SIMCOE NORTH","074","U","PORT MCNICOLL","55","20","14","2","0","0","0","91","215","Port McNicoll Community Centre"
"086","SIMCOE NORTH","075","U","PORT MCNICOLL","61","19","19","10","0","0","0","109","288","Port McNicoll Community Centre"
"086","SIMCOE NORTH","076","U","PORT MCNICOLL","33","4","17","5","0","0","0","59","179","Port McNicoll Community Centre"
"086","SIMCOE NORTH","077","U","VICTORIA HARBOUR","76","41","29","16","0","0","0","162","372","Victoria Harbour Public School"
"086","SIMCOE NORTH","078","U","SEVERN","69","18","11","8","0","0","0","106","324","Matchedash Community Centre"
"086","SIMCOE NORTH","079","U","PORT MCNICOLL","52","15","28","8","1","0","0","104","323","Port McNicoll Public School"
"086","SIMCOE NORTH","080","U","PORT MCNICOLL","36","9","25","6","0","0","0","76","264","Port McNicoll Public School"
"086","SIMCOE NORTH","081","U","PORT MCNICOLL","35","19","35","6","0","0","0","95","301","Port McNicoll Public School"
"086","SIMCOE NORTH","082","U","PORT MCNICOLL","53","15","34","8","0","0","0","110","368","Port McNicoll Public School"
"086","SIMCOE NORTH","083","U","VICTORIA HARBOUR","71","39","34","9","0","0","0","153","358","St. Antoine Daniel Separate School"
"086","SIMCOE NORTH","084","U","VICTORIA HARBOUR","73","19","21","3","0","0","0","116","320","Victoria Harbour Public School"
"086","SIMCOE NORTH","085","U","VICTORIA HARBOUR","71","24","19","8","0","0","0","122","335","Victoria Harbour Public School"
"086","SIMCOE NORTH","086","U","VICTORIA HARBOUR","87","34","42","12","0","0","0","175","400","St. Antoine Daniel Separate School"
"086","SIMCOE NORTH","087","U","VICTORIA HARBOUR","85","21","11","5","0","0","0","122","309","Victoria Harbour Public School"
"086","SIMCOE NORTH","088","U","VICTORIA HARBOUR","70","31","29","12","1","0","0","143","355","St. Antoine Daniel Separate School"
"086","SIMCOE NORTH","089","U","VASEY","99","35","37","14","0","0","0","185","392","Vasey Unity United Church"
"086","SIMCOE NORTH","090","U","VICTORIA HARBOUR","67","17","19","11","2","0","0","116","292","St. Antoine Daniel Separate School"
"086","SIMCOE NORTH","091","U","WAUBAUSHENE","109","35","41","13","1","0","0","199","464","Waubaushene Elementary School"
"086","SIMCOE NORTH","092","U","WAUBAUSHENE","130","37","48","25","0","0","0","240","515","Waubaushene Elementary School"
"086","SIMCOE NORTH","093","U","WYEBRIDGE","64","24","17","11","1","0","0","117","317","Wyebridge Community Centre"
"086","SIMCOE NORTH","094","U","SEVERN","60","13","7","3","1","0","0","84","201","The River Emporium"
"086","SIMCOE NORTH","095","U","SEVERN","123","31","19","10","0","0","0","183","388","Matchedash Community Centre"
"086","SIMCOE NORTH","096","U","SEVERN","82","10","25","16","0","0","0","133","279","Matchedash Community Centre"
"086","SIMCOE NORTH","097","U","WASHAGO","87","14","16","6","1","0","0","124","249","Lake St. George Community Hall"
"086","SIMCOE NORTH","098","U","COLDWATER","47","13","25","5","0","0","0","90","236","Coldwater Public School"
"086","SIMCOE NORTH","099","U","COLDWATER","109","14","19","9","0","0","1","152","352","Coldwater Public School"
"086","SIMCOE NORTH","100","U","COLDWATER","131","30","31","2","0","0","0","194","356","Coldwater Public School"
"086","SIMCOE NORTH","101","U","COLDWATER","115","18","29","7","0","0","0","169","325","Coldwater Public School"
"086","SIMCOE NORTH","102","U","ORO-MEDONTE","118","16","19","1","1","0","0","155","298","Moonstone Elementary School"
"086","SIMCOE NORTH","103","U","COLDWATER","105","17","21","5","0","0","0","148","345","Coldwater Public School"
"086","SIMCOE NORTH","104","U","SEVERN","107","19","26","9","0","0","0","161","378","Christian Fellowship Chapel"
"086","SIMCOE NORTH","105","U","SEVERN","163","38","20","6","0","0","0","227","558","Odas Park - Orillia Fairgrounds"
"086","SIMCOE NORTH","106","U","SEVERN","135","11","25","6","0","0","0","177","436","Christian Fellowship Chapel"
"086","SIMCOE NORTH","107","U","WASHAGO","72","24","22","5","0","0","0","123","285","Lake St. George Community Hall"
"086","SIMCOE NORTH","108","U","WASHAGO","113","31","35","10","0","1","0","190","440","Lake St. George Community Hall"
"086","SIMCOE NORTH","109","U","WASHAGO","63","5","31","8","0","0","0","107","253","Washago Community Centre"
"086","SIMCOE NORTH","110","U","WASHAGO","103","34","71","5","0","0","0","213","474","Washago Community Centre"
"086","SIMCOE NORTH","111","U","CUMBERLAND BEACH","86","30","30","7","0","0","0","153","419","Cumberland Beach Public School"
"086","SIMCOE NORTH","112","U","CUMBERLAND BEACH","111","34","40","9","0","1","0","195","454","Cumberland Beach Public School"
"086","SIMCOE NORTH","113","U","CUMBERLAND BEACH","117","17","51","9","1","0","0","195","463","Cumberland Beach Public School"
"086","SIMCOE NORTH","114","U","CUMBERLAND BEACH","92","33","21","3","0","1","0","150","321","Cumberland Beach Public School"
"086","SIMCOE NORTH","115","U","SEVERN","86","38","15","5","0","0","0","144","347","Hawk Ridge Golf and Country Club"
"086","SIMCOE NORTH","116","U","SEVERN","78","22","23","1","2","0","0","126","332","Hawk Ridge Golf and Country Club"
"086","SIMCOE NORTH","117","U","SEVERN","87","23","17","4","1","0","0","132","324","Hawk Ridge Golf and Country Club"
"086","SIMCOE NORTH","118","U","SEVERN","85","38","13","2","0","0","0","138","312","Odas Park - Orillia Fairgrounds"
"086","SIMCOE NORTH","119","U","SEVERN","114","51","15","3","0","0","0","183","376","Odas Park - Orillia Fairgrounds"
"086","SIMCOE NORTH","120","U","WARMINSTER","139","48","24","9","0","0","0","220","478","Royal Canadian Legion #619 Warminster"
"086","SIMCOE NORTH","121","U","WARMINSTER","142","51","22","7","1","0","0","223","428","Royal Canadian Legion #619 Warminster"
"086","SIMCOE NORTH","122","U","WARMINSTER","100","29","21","8","0","0","0","158","313","Royal Canadian Legion #619 Warminster"
"086","SIMCOE NORTH","123","U","ORO-MEDONTE","83","50","26","9","0","0","0","168","331","Moonstone Elementary School"
"086","SIMCOE NORTH","124","U","ORO-MEDONTE","124","43","34","11","0","0","0","212","398","Moonstone Elementary School"
"086","SIMCOE NORTH","125","U","VASEY","89","19","20","8","0","0","0","136","323","Vasey Unity United Church"
"086","SIMCOE NORTH","126","U","VASEY","145","55","42","21","0","0","1","264","483","Vasey Unity United Church"
"086","SIMCOE NORTH","127","U","ORO-MEDONTE","125","53","35","8","0","0","0","221","464","Moonstone Elementary School"
"086","SIMCOE NORTH","128","U","ORO-MEDONTE","70","21","23","13","0","0","0","127","333","Highlands Golf and Country Club"
"086","SIMCOE NORTH","129","U","ORO-MEDONTE","76","42","14","7","0","0","0","139","269","Highlands Golf and Country Club"
"086","SIMCOE NORTH","130","U","ORO-MEDONTE","114","39","9","5","1","0","0","168","329","Horseshoe Valley Resort"
"086","SIMCOE NORTH","131","U","CRAIGHURST","82","63","15","6","0","0","0","166","390","St. John's Anglican Church"
"086","SIMCOE NORTH","132","U","ORO-MEDONTE","102","55","12","10","0","0","0","179","370","Highlands Golf and Country Club"
"086","SIMCOE NORTH","133","U","ORO-MEDONTE","88","58","13","5","1","0","0","165","351","Horseshoe Valley Resort"
"086","SIMCOE NORTH","134","U","ORO-MEDONTE","44","35","19","20","0","0","0","118","309","Highlands Golf and Country Club"
"086","SIMCOE NORTH","135","U","ORO-MEDONTE","85","43","22","10","0","0","0","160","378","Highlands Golf and Country Club"
"086","SIMCOE NORTH","136","U","ORO-MEDONTE","63","19","15","3","0","0","0","100","273","Highlands Golf and Country Club"
"086","SIMCOE NORTH","137","U","WARMINSTER","143","50","16","8","0","0","0","217","397","Royal Canadian Legion #619 Warminster"
"086","SIMCOE NORTH","138","U","HAWKESTONE","159","37","36","2","0","0","0","234","344","Big Cedar Estates - the Club House"
"086","SIMCOE NORTH","139","U","WARMINSTER","196","30","42","5","0","0","2","275","620","Royal Canadian Legion #619 Warminster"
"086","SIMCOE NORTH","140","U","ORILLIA","80","36","21","3","0","0","0","140","371","Notre Dame Catholic School"
"086","SIMCOE NORTH","141","U","ORILLIA","137","47","20","8","0","0","0","212","485","Notre Dame Catholic School"
"086","SIMCOE NORTH","142","U","ORILLIA","126","72","31","10","0","0","0","239","586","West Orillia Sports Complex"
"086","SIMCOE NORTH","143","U","ORO-MEDONTE","155","53","19","10","0","0","0","237","511","East Oro Public School"
"086","SIMCOE NORTH","144","U","ORO-MEDONTE","98","34","17","7","0","0","0","156","399","Oro-Medonte Community Centre Arena"
"086","SIMCOE NORTH","145","U","ORO-MEDONTE","74","20","24","5","0","0","0","123","339","Oro-Medonte Community Centre Arena"
"086","SIMCOE NORTH","146","U","SHANTY BAY","97","48","10","7","0","0","0","162","360","Shanty Bay Public School"
"086","SIMCOE NORTH","147","U","SHANTY BAY","97","51","14","6","0","1","0","169","373","Shanty Bay Public School"
"086","SIMCOE NORTH","148","U","SHANTY BAY","106","86","18","23","1","2","2","238","443","Shanty Bay Public School"
"086","SIMCOE NORTH","149","U","SHANTY BAY","79","36","22","19","0","0","0","156","402","Shanty Bay Public School"
"086","SIMCOE NORTH","150","U","ORO-MEDONTE","80","26","13","5","0","0","0","124","329","Oro-Medonte Community Centre Arena"
"086","SIMCOE NORTH","151","U","ORO-MEDONTE","91","52","17","8","0","0","0","168","323","Trinity Community Church"
"086","SIMCOE NORTH","152","U","ORO-MEDONTE","120","53","19","10","1","0","0","203","441","Trinity Community Church"
"086","SIMCOE NORTH","153","U","ORO-MEDONTE","60","37","19","16","0","1","0","133","348","Trinity Community Church"
"086","SIMCOE NORTH","154","U","ORO-MEDONTE","83","35","32","8","1","0","0","159","344","Trinity Community Church"
"086","SIMCOE NORTH","155","U","ORO-MEDONTE","78","39","21","6","0","0","1","145","395","Trinity Community Church"
"086","SIMCOE NORTH","156","U","ORO-MEDONTE","73","13","13","1","1","0","0","101","222","East Oro Public School"
"086","SIMCOE NORTH","157","U","HAWKESTONE","85","32","37","13","2","0","0","169","348","Hawkestone Community Centre"
"086","SIMCOE NORTH","158","U","ORO-MEDONTE","70","24","23","8","0","0","0","125","349","Trinity Community Church"
"086","SIMCOE NORTH","159","U","HAWKESTONE","114","39","23","7","0","0","0","183","399","Hawkestone Community Centre"
"086","SIMCOE NORTH","160","U","HAWKESTONE","103","35","22","6","0","0","0","166","366","Hawkestone Community Centre"
"086","SIMCOE NORTH","161","U","ORILLIA","99","17","26","3","1","0","0","146","378","West Orillia Sports Complex"
"086","SIMCOE NORTH","162","U","ORILLIA","84","44","31","7","0","0","0","166","394","Mariposa Inn and Conference Centre"
"086","SIMCOE NORTH","163","U","ORILLIA","81","36","28","1","0","0","0","146","446","Mariposa Inn and Conference Centre"
"086","SIMCOE NORTH","164","U","ORILLIA","77","58","25","7","0","0","0","167","411","Regent Park Public School"
"086","SIMCOE NORTH","165","U","ORILLIA","117","41","23","7","0","0","1","189","461","Swanmore Hall - Leacock Museum"
"086","SIMCOE NORTH","166","U","ORILLIA","72","31","26","2","0","0","0","131","339","Regent Park Public School"
"086","SIMCOE NORTH","167","U","ORILLIA","52","23","48","2","0","0","0","125","382","Regent Park Public School"
"086","SIMCOE NORTH","168","U","ORILLIA","61","33","17","8","1","0","0","120","428","Regent Park Public School"
"086","SIMCOE NORTH","169","U","ORILLIA","76","24","30","4","0","0","0","134","364","Regent Park Public School"
"086","SIMCOE NORTH","170","U","ORILLIA","54","12","51","5","0","0","0","122","388","Regent Park Public School"
"086","SIMCOE NORTH","171","U","ORILLIA","54","34","24","8","1","0","0","121","397","Orillia Masonic Temple"
"086","SIMCOE NORTH","172","U","ORILLIA","100","34","34","3","0","0","0","171","437","Orillia Masonic Temple"
"086","SIMCOE NORTH","173","U","ORILLIA","49","20","28","4","0","0","0","101","486","Orillia Masonic Temple"
"086","SIMCOE NORTH","174","U","ORILLIA","27","17","17","5","0","0","0","66","417","City of Orillia - City Hall"
"086","SIMCOE NORTH","175","U","ORILLIA","39","13","42","1","0","0","0","95","365","Orillia Masonic Temple"
"086","SIMCOE NORTH","176","U","ORILLIA","56","24","21","3","1","0","0","105","328","Mariposa Inn and Conference Centre"
"086","SIMCOE NORTH","177","U","ORILLIA","70","31","63","6","1","0","0","171","459","Mariposa Inn and Conference Centre"
"086","SIMCOE NORTH","178","U","ORILLIA","85","31","28","5","0","0","0","149","471","Mariposa Inn and Conference Centre"
"086","SIMCOE NORTH","179","U","ORILLIA","45","28","29","2","0","0","0","104","363","Mariposa Inn and Conference Centre"
"086","SIMCOE NORTH","180","U","ORILLIA","42","10","21","5","0","0","0","78","347","Mariposa Inn and Conference Centre"
"086","SIMCOE NORTH","181","U","ORILLIA","21","24","13","5","1","0","0","64","270","City of Orillia - City Hall"
"086","SIMCOE NORTH","182","U","ORILLIA","44","23","27","7","0","0","0","101","366","Lion's Oval Public School"
"086","SIMCOE NORTH","183","U","ORILLIA","50","29","43","2","1","1","0","126","375","City of Orillia - City Hall"
"086","SIMCOE NORTH","184","U","ORILLIA","40","27","19","5","1","0","0","92","308","First Baptist Church"
"086","SIMCOE NORTH","185","U","ORILLIA","57","38","23","9","0","0","0","127","335","First Baptist Church"
"086","SIMCOE NORTH","186","U","ORILLIA","45","19","27","5","0","0","0","96","324","First Baptist Church"
"086","SIMCOE NORTH","187","U","ORILLIA","65","33","30","5","0","0","0","133","388","West Orillia Sports Complex"
"086","SIMCOE NORTH","188","U","ORILLIA","66","22","29","5","1","0","0","123","374","Calvary Pentecostal Tabernacle"
"086","SIMCOE NORTH","189","U","ORILLIA","69","26","32","9","1","0","0","137","413","West Orillia Sports Complex"
"086","SIMCOE NORTH","190","U","ORILLIA","62","38","30","3","1","0","0","134","464","West Orillia Sports Complex"
"086","SIMCOE NORTH","191","U","ORILLIA","19","4","11","1","0","0","0","35","185","West Orillia Sports Complex"
"086","SIMCOE NORTH","192","U","ORILLIA","99","35","28","6","0","0","0","168","443","West Orillia Sports Complex"
"086","SIMCOE NORTH","193","U","ORILLIA","60","29","34","3","0","0","0","126","388","Notre Dame Catholic School"
"086","SIMCOE NORTH","194","U","ORILLIA","60","32","17","4","0","0","0","113","333","Calvary Pentecostal Tabernacle"
"086","SIMCOE NORTH","195","U","ORILLIA","64","32","16","7","0","0","0","119","335","Calvary Pentecostal Tabernacle"
"086","SIMCOE NORTH","196","U","ORILLIA","86","42","25","7","0","1","0","161","462","Champlain Manor"
"086","SIMCOE NORTH","197","U","ORILLIA","103","61","15","4","0","0","0","183","404","Orchard Park Elementary School"
"086","SIMCOE NORTH","198","U","ORILLIA","105","55","30","12","1","0","0","203","403","Atrium Retirement Home"
"086","SIMCOE NORTH","199","U","ORILLIA","105","61","18","4","0","1","0","189","352","Orchard Park Elementary School"
"086","SIMCOE NORTH","200","U","ORILLIA","74","38","34","13","2","0","0","161","423","Orchard Park Elementary School"
"086","SIMCOE NORTH","201","U","ORILLIA","73","27","21","5","0","0","0","126","321","Orchard Park Elementary School"
"086","SIMCOE NORTH","202","U","ORILLIA","98","61","33","11","0","0","0","203","405","Lion's Oval Public School"
"086","SIMCOE NORTH","203","U","ORILLIA","67","73","23","14","0","0","0","177","365","Lion's Oval Public School"
"086","SIMCOE NORTH","204","U","ORILLIA","55","41","31","6","0","0","0","133","422","Lion's Oval Public School"
"086","SIMCOE NORTH","205","U","ORILLIA","64","29","24","8","0","0","0","125","345","Lion's Oval Public School"
"086","SIMCOE NORTH","206","U","ORILLIA","49","45","19","5","0","0","0","118","351","Lion's Oval Public School"
"086","SIMCOE NORTH","207","U","ORILLIA","60","18","20","0","0","1","1","100","303","Orchard Park Elementary School"
"086","SIMCOE NORTH","208","U","ORILLIA","75","39","32","5","1","0","0","152","422","Couchiching Heights Public School"
"086","SIMCOE NORTH","209","U","ORILLIA","111","49","36","7","0","1","0","204","457","Couchiching Heights Public School"
"086","SIMCOE NORTH","210","U","ORILLIA","91","36","46","2","1","0","1","177","348","Couchiching Heights Public School"
"086","SIMCOE NORTH","211","U","ORILLIA","92","49","32","12","0","0","0","185","440","Couchiching Heights Public School"
"086","SIMCOE NORTH","212","U","ORILLIA","103","54","21","6","0","0","0","184","399","Couchiching Heights Public School"
"086","SIMCOE NORTH","213","U","ORILLIA","121","55","19","12","1","0","1","209","445","Couchiching Heights Public School"
"086","SIMCOE NORTH","214","U","ORILLIA","29","24","27","5","0","0","0","85","387","City of Orillia - City Hall"
"086","SIMCOE NORTH","215","U","ORILLIA","114","57","22","5","0","0","0","198","423","Swanmore Hall - Leacock Museum"
"086","SIMCOE NORTH","216","U","RAMARA","84","56","27","7","0","0","0","174","434","Ramara Community Centre"
"086","SIMCOE NORTH","217","U","RAMARA","59","22","20","3","0","0","0","104","278","Ramara Community Centre"
"086","SIMCOE NORTH","218","U","RAMARA","87","43","25","12","0","0","0","167","386","Ramara Community Centre"
"086","SIMCOE NORTH","219","U","RAMARA","91","27","15","2","3","0","0","138","316","Ramara Community Centre"
"086","SIMCOE NORTH","220","U","RAMARA","84","23","26","8","0","0","0","141","318","Ramara Community Centre"
"086","SIMCOE NORTH","221","U","RAMARA","85","46","22","2","0","0","0","155","350","Uptergrove Public School"
"086","SIMCOE NORTH","222","U","ORILLIA","67","29","21","3","0","0","0","120","266","Joyland Beach Community Hall"
"086","SIMCOE NORTH","223","U","BRECHIN","134","59","32","7","0","0","0","232","450","Bayshore Village - the Hayloft"
"086","SIMCOE NORTH","224","U","BRECHIN","144","52","29","4","1","0","0","230","346","Bayshore Village - the Hayloft"
"086","SIMCOE NORTH","225","U","BRECHIN","102","45","26","5","0","0","0","178","428","Lagoon City Community Centre"
"086","SIMCOE NORTH","226","U","BRECHIN","107","27","29","3","1","0","0","167","374","Lagoon City Community Centre"
"086","SIMCOE NORTH","227","U","BRECHIN","113","49","32","5","0","0","0","199","423","Brechin Public School"
"086","SIMCOE NORTH","228","U","BRECHIN","128","62","40","8","0","0","0","238","472","Brechin Public School"
"086","SIMCOE NORTH","229","U","BRECHIN","70","24","19","3","0","0","0","116","264","Brechin Public School"
"086","SIMCOE NORTH","230","U","UDNEY","114","35","26","7","0","1","0","183","388","Udney Community Centre"
"086","SIMCOE NORTH","231","U","LONGFORD MILLS","72","6","15","2","0","0","0","95","301","Longford Mills Community Centre"
"086","SIMCOE NORTH","232","U","LONGFORD MILLS","79","34","25","4","0","0","0","142","297","Longford Mills Community Centre"
"086","SIMCOE NORTH","233","U","RAMA","37","16","81","8","0","0","0","142","481","Rama Community Hall"
"086","SIMCOE NORTH","234","U","WASHAGO","50","14","20","1","0","0","0","85","192","Washago Community Centre"
"086","SIMCOE NORTH","235","U","WASHAGO","64","21","31","10","1","1","0","128","281","Washago Community Centre"
"086","SIMCOE NORTH","236","U","LONGFORD MILLS","49","22","29","8","0","0","0","108","246","Longford Mills Community Centre"
"086","SIMCOE NORTH","237","U","WASHAGO","79","37","29","11","0","0","0","156","376","Washago Community Centre"
