"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AHMED","DEB","FLISS","KABITSIS","MANDEL-CAMPBELL","WAIGH","WYNNE","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"017","DON VALLEY WEST","085","U","TORONTO","9","0","6","0","31","1","85","0","0","0","132","329","The Sherwood"
"017","DON VALLEY WEST","086","U","TORONTO","18","0","2","0","19","2","57","0","0","0","98","301","John Fisher Public School"
"017","DON VALLEY WEST","087","U","TORONTO","18","0","3","2","19","0","84","0","0","0","126","325","St. Monica's Catholic School"
"017","DON VALLEY WEST","088","U","TORONTO","14","0","6","0","21","0","63","0","0","0","104","325","St. Monica's Catholic School"
"017","DON VALLEY WEST","089","U","TORONTO","10","0","4","1","31","1","131","0","0","0","178","404","John Fisher Public School"
"017","DON VALLEY WEST","090","U","TORONTO","8","0","6","0","39","0","121","0","0","0","174","411","Blythwood Public School"
"017","DON VALLEY WEST","091","U","TORONTO","13","0","4","0","46","1","135","0","0","0","199","490","St. Monica's Catholic School"
"017","DON VALLEY WEST","092","U","TORONTO","7","1","2","0","112","0","81","0","0","0","203","391","Blythwood Public School"
"017","DON VALLEY WEST","093","U","TORONTO","13","0","3","0","59","0","127","0","2","0","204","432","C.N.I.B. Centre"
"017","DON VALLEY WEST","094A","U","TORONTO","3","0","1","0","70","0","70","0","0","0","144","309","C.N.I.B. Centre"
"017","DON VALLEY WEST","094B","U","TORONTO","4","0","0","0","52","0","73","0","0","0","129","275","C.N.I.B. Centre"
"017","DON VALLEY WEST","095","U","TORONTO","12","0","4","0","55","1","95","0","0","0","167","328","C.N.I.B. Centre"
"017","DON VALLEY WEST","096","U","TORONTO","6","1","5","0","49","0","102","0","1","0","164","366","Northlea Public School"
"017","DON VALLEY WEST","097","U","TORONTO","13","0","6","0","92","1","158","0","0","0","270","537","C.N.I.B. Centre"
"017","DON VALLEY WEST","098","U","TORONTO","9","0","4","0","73","0","162","0","0","0","248","421","Northlea Public School"
"017","DON VALLEY WEST","099","U","TORONTO","11","0","2","0","89","0","127","0","0","0","229","434","Northlea United Church"
"017","DON VALLEY WEST","100","U","TORONTO","10","0","6","0","72","0","162","2","0","0","252","469","Northlea United Church"
"017","DON VALLEY WEST","101","U","TORONTO","7","0","1","0","81","1","82","0","0","0","172","455","St. Bonaventure Church"
"017","DON VALLEY WEST","102","U","TORONTO","13","1","7","0","39","1","74","0","0","0","135","389","Northlea United Church"
"017","DON VALLEY WEST","103","U","TORONTO","18","3","7","0","46","0","120","0","1","1","196","433","Northlea United Church"
"017","DON VALLEY WEST","104","U","TORONTO","8","0","1","0","69","0","119","0","0","0","197","420","Northlea United Church"
"017","DON VALLEY WEST","105","U","TORONTO","20","0","1","0","39","1","103","1","1","0","166","520","Northlea United Church"
"017","DON VALLEY WEST","106","U","TORONTO","7","0","2","0","61","0","99","0","0","0","169","454","St. Bonaventure Church"
"017","DON VALLEY WEST","107A","U","TORONTO","10","0","1","0","30","0","73","0","0","0","114","292","St. Bonaventure Church"
"017","DON VALLEY WEST","107B","U","TORONTO","11","0","0","0","25","0","64","0","0","0","100","283","St. Bonaventure Church"
"017","DON VALLEY WEST","108","U","TORONTO","25","0","4","0","60","1","128","0","0","0","218","531","Overland Learning Centre"
"017","DON VALLEY WEST","109","U","TORONTO","4","1","10","0","75","1","120","0","0","0","211","439","Overland Learning Centre"
"017","DON VALLEY WEST","110","U","TORONTO","22","3","0","1","44","0","136","0","0","0","206","516","Overland Learning Centre"
"017","DON VALLEY WEST","111","U","TORONTO","1","1","2","1","46","0","154","0","0","0","205","384","Bessborough Public School"
"017","DON VALLEY WEST","112","U","TORONTO","8","0","2","0","48","0","137","0","0","0","195","434","Trace Manes Centennial Building"
"017","DON VALLEY WEST","113","U","TORONTO","12","0","4","0","55","0","140","0","0","0","211","476","Bessborough Public School"
"017","DON VALLEY WEST","114","U","TORONTO","6","0","2","0","80","0","138","0","0","0","226","451","Bessborough Public School"
"017","DON VALLEY WEST","115","U","TORONTO","11","0","6","0","48","1","146","0","1","0","213","440","Leaside Public Library"
"017","DON VALLEY WEST","116","U","TORONTO","3","0","5","1","55","0","116","0","0","0","180","378","Bessborough Public School"
"017","DON VALLEY WEST","117","U","TORONTO","10","0","5","1","57","0","136","0","0","0","209","449","Leaside Public Library"
"017","DON VALLEY WEST","118","U","TORONTO","13","0","4","1","53","0","118","0","0","0","189","440","Leaside Public Library"
"017","DON VALLEY WEST","119","U","TORONTO","4","0","2","1","50","0","110","0","0","0","167","392","Bessborough Public School"
"017","DON VALLEY WEST","120","U","TORONTO","12","0","1","0","40","0","69","0","0","0","122","312","Trace Manes Centennial Building"
"017","DON VALLEY WEST","121","U","TORONTO","9","0","6","0","60","0","123","0","0","0","198","448","Trace Manes Centennial Building"
"017","DON VALLEY WEST","122","U","TORONTO","14","0","4","0","54","0","115","0","0","0","187","462","Bessborough Public School"
"017","DON VALLEY WEST","123","U","TORONTO","5","0","3","0","71","0","138","0","0","0","217","449","Bessborough Public School"
"017","DON VALLEY WEST","124","U","TORONTO","13","0","2","0","48","0","122","0","0","0","185","451","Bennington Heights Public School"
"017","DON VALLEY WEST","125","U","TORONTO","11","0","4","0","53","0","90","0","0","1","159","317","Bennington Heights Public School"
"017","DON VALLEY WEST","126","U","TORONTO","8","1","0","0","56","4","126","0","0","0","195","388","Bennington Heights Public School"
"017","DON VALLEY WEST","127","U","TORONTO","8","0","7","0","29","1","77","0","0","0","122","272","Bennington Heights Public School"
"017","DON VALLEY WEST","128","U","TORONTO","16","0","3","0","53","1","116","0","0","0","189","428","Bennington Heights Public School"
"017","DON VALLEY WEST","129","U","TORONTO","19","1","3","0","40","1","116","2","0","0","182","496","Thorncliffe Park Public School"
"017","DON VALLEY WEST","130","U","TORONTO","16","2","5","4","19","0","135","0","0","0","181","282","The Overlea"
"017","DON VALLEY WEST","131","U","TORONTO","31","1","5","2","35","0","121","2","1","0","198","436","The Overlea"
"017","DON VALLEY WEST","132","U","TORONTO","31","0","3","1","38","0","95","0","0","1","169","455","Greek Community of Toronto"
"017","DON VALLEY WEST","133","U","TORONTO","26","1","5","2","34","1","78","1","0","0","148","448","Greek Community of Toronto"
"017","DON VALLEY WEST","134","U","TORONTO","25","0","0","0","12","2","128","1","0","0","168","424","Greek Community of Toronto"
"017","DON VALLEY WEST","135","U","TORONTO","13","0","1","1","17","0","80","1","0","0","113","319","Greek Community of Toronto"
"017","DON VALLEY WEST","136","U","TORONTO","55","0","2","0","15","0","146","0","0","0","218","638","Greek Community of Toronto"
"017","DON VALLEY WEST","137","U","TORONTO","61","0","3","0","25","2","138","0","0","1","230","715","Jenner-Jean Marie Community Centre"
"017","DON VALLEY WEST","138","U","TORONTO","86","0","0","1","10","0","140","0","0","0","237","651","Jenner-Jean Marie Community Centre"
"017","DON VALLEY WEST","139","U","TORONTO","24","0","0","1","13","1","63","0","0","0","102","349","Jenner-Jean Marie Community Centre"
"017","DON VALLEY WEST","140","U","TORONTO","23","0","2","1","18","1","91","0","0","0","136","371","Jenner-Jean Marie Community Centre"
"017","DON VALLEY WEST","141","U","TORONTO","42","0","1","0","20","0","93","1","0","0","157","524","Jenner-Jean Marie Community Centre"
"017","DON VALLEY WEST","142","U","TORONTO","46","0","0","0","14","1","91","1","0","0","153","415","Thorncliffe Park Public School"
"017","DON VALLEY WEST","143","U","TORONTO","54","2","0","0","14","0","142","1","0","0","213","547","Thorncliffe Park Public School"
"017","DON VALLEY WEST","144","U","TORONTO","30","0","0","1","19","3","140","0","0","1","194","493","Thorncliffe Park Public School"
"017","DON VALLEY WEST","145A","U","TORONTO","29","0","1","2","23","0","93","0","0","0","148","345","Leaside Towers 2"
"017","DON VALLEY WEST","145B","U","TORONTO","23","0","0","1","25","0","80","0","0","0","129","304","Leaside Towers 2"
"017","DON VALLEY WEST","146","U","TORONTO","16","2","3","0","19","1","95","0","0","0","136","408","Dennis R. Timbrell Resource Centre"
"017","DON VALLEY WEST","147","U","TORONTO","24","0","6","1","33","0","122","1","1","0","188","579","Dennis R. Timbrell Resource Centre"
"017","DON VALLEY WEST","148","U","TORONTO","22","0","1","0","13","2","50","0","0","0","88","333","Dennis R. Timbrell Resource Centre"
"017","DON VALLEY WEST","149","U","TORONTO","31","0","1","1","14","2","58","0","1","0","108","323","Dennis R. Timbrell Resource Centre"
"017","DON VALLEY WEST","150","U","TORONTO","20","1","0","2","19","1","50","0","0","0","93","362","Dennis R. Timbrell Resource Centre"
"017","DON VALLEY WEST","151","U","TORONTO","27","0","2","1","14","0","76","0","1","1","122","343","Grenoble Public School"
"017","DON VALLEY WEST","152","U","TORONTO","16","2","6","1","14","1","74","0","1","0","115","357","Grenoble Public School"
"017","DON VALLEY WEST","153","U","TORONTO","33","0","1","0","26","0","40","0","0","0","100","347","Grenoble Public School"
"017","DON VALLEY WEST","154","U","TORONTO","14","0","5","1","16","0","69","0","0","0","105","343","Grenoble Public School"
"017","DON VALLEY WEST","155","U","TORONTO","24","0","3","2","4","0","70","0","1","0","104","440","Dennis R. Timbrell Resource Centre"
"017","DON VALLEY WEST","156","U","TORONTO","27","1","3","0","29","0","89","0","0","0","149","489","Grenoble Public School"
"017","DON VALLEY WEST","157","U","TORONTO","13","0","1","0","9","0","116","0","1","0","140","372","Grenoble Public School"
"017","DON VALLEY WEST","158","U","TORONTO","8","0","0","0","8","0","51","0","0","0","67","251","Gateway Public School"
"017","DON VALLEY WEST","159","U","TORONTO","9","0","2","0","11","1","76","0","0","0","99","293","Gateway Public School"
"017","DON VALLEY WEST","160","U","TORONTO","27","0","14","3","18","0","116","0","0","0","178","451","Gateway Public School"
"017","DON VALLEY WEST","161","U","TORONTO","11","2","5","0","15","1","56","0","0","0","90","290","Gateway Public School"
"017","DON VALLEY WEST","162","U","TORONTO","32","1","3","1","31","0","155","2","1","0","226","491","Gateway Public School"
"017","DON VALLEY WEST","163","U","TORONTO","19","0","3","0","11","1","126","1","0","0","161","434","Linkwood Village Recreation Centre"
"017","DON VALLEY WEST","164","U","TORONTO","31","4","1","2","46","0","155","0","0","0","239","543","Gateway Public School"
"017","DON VALLEY WEST","165","U","TORONTO","14","0","1","0","17","1","95","0","0","0","128","392","Gateway Public School"
"017","DON VALLEY WEST","166","U","TORONTO","17","1","1","0","72","2","126","1","1","0","221","368","The Courtyards of Concorde"
"017","DON VALLEY WEST","167","U","TORONTO","14","0","5","0","122","0","191","0","0","0","332","485","Highgate - MTCC638"
"017","DON VALLEY WEST","168","U","TORONTO","27","0","4","1","68","0","188","0","0","1","289","661","Wynford Recreation Centre"
"017","DON VALLEY WEST","400","U","TORONTO","5","0","3","0","6","1","27","1","0","0","43","78","John Fisher Public School"
"017","DON VALLEY WEST","401","U","TORONTO","29","1","6","0","49","0","90","0","1","0","176","307","MTCC964"
"017","DON VALLEY WEST","402A","U","TORONTO","23","0","4","1","39","0","100","0","0","0","167","362","Leaside Towers 2"
"017","DON VALLEY WEST","402B","U","TORONTO","22","0","4","0","24","0","73","1","0","0","124","319","Leaside Towers 2"
"017","DON VALLEY WEST","403","U","TORONTO","42","1","4","1","29","0","90","0","0","0","167","479","Mount Citadel"
"017","DON VALLEY WEST","404","U","TORONTO","23","0","3","0","28","0","70","0","0","0","124","159","The Pioneer Place"
"017","DON VALLEY WEST","405","U","TORONTO","27","1","9","1","73","4","154","0","0","0","269","563","Concorde Park"
"017","DON VALLEY WEST","406","U","TORONTO","29","2","6","1","60","1","184","0","0","0","283","547","Concorde Park"
"017","DON VALLEY WEST","407","U","TORONTO","15","0","5","2","61","0","105","1","1","0","190","249","Wynford Place"
"017","DON VALLEY WEST","408","U","TORONTO","51","0","6","4","60","2","127","0","1","0","251","502","Wynford North"
"017","DON VALLEY WEST","409","U","TORONTO","56","2","7","3","40","0","110","2","0","0","220","435","Wynford Central"
"017","DON VALLEY WEST","410","U","TORONTO","23","0","7","0","74","0","95","1","1","0","201","325","Wynford Tower"
"017","DON VALLEY WEST","411","U","TORONTO","38","0","4","0","38","1","130","0","2","0","213","439","Wynford South"
"017","DON VALLEY WEST","412","U","TORONTO","20","0","4","0","43","1","77","0","0","0","145","323","The Palisades"
"017","DON VALLEY WEST","413","U","TORONTO","15","1","4","3","38","0","113","0","0","0","174","332","The Palisades"
"017","DON VALLEY WEST","414","U","TORONTO","16","0","4","3","38","1","88","0","0","0","150","310","The Palisades"
"017","DON VALLEY WEST","415","U","TORONTO","53","0","5","4","38","1","157","0","0","0","258","624","Wynford Recreation Centre"
"017","DON VALLEY WEST","416","U","TORONTO","35","1","5","4","52","1","166","0","0","0","264","645","Wynford Recreation Centre"
"017","DON VALLEY WEST","417","U","TORONTO","37","1","9","3","37","1","123","0","0","0","211","509","Linkwood Village Recreation Centre"
"017","DON VALLEY WEST","418","U","TORONTO","45","0","4","1","26","1","169","4","0","0","250","573","Linkwood Village Recreation Centre"
"017","DON VALLEY WEST","419","U","TORONTO","22","0","4","2","41","0","183","0","0","0","252","532","Linkwood Village Recreation Centre"
"017","DON VALLEY WEST","420","U","TORONTO","22","0","4","0","56","1","129","1","0","0","213","327","TSCC1987"
"017","DON VALLEY WEST","421","U","TORONTO","15","0","5","0","21","0","48","0","1","0","90","194","The Rosewood"
"017","DON VALLEY WEST","422","U","TORONTO","10","0","1","0","9","0","43","1","0","0","64","121","The Rosewood"
"017","DON VALLEY WEST","423","U","TORONTO","27","0","3","0","29","0","101","0","0","0","160","303","The Accolade"
"017","DON VALLEY WEST","424","U","TORONTO","5","0","1","0","29","0","45","0","1","0","81","145","Delmanor Wynford"
"017","DON VALLEY WEST","700","U","TORONTO","2","1","0","0","13","1","11","0","0","0","28","35","Four Teddington Park"
"017","DON VALLEY WEST","701","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"017","DON VALLEY WEST","702","U","TORONTO","4","0","1","1","15","0","19","0","0","0","40","71","Greenview Lodge"
"017","DON VALLEY WEST","703","U","TORONTO","21","0","0","0","50","0","84","2","0","0","157","301","Sunnybrook Hospital, K Wing"
"017","DON VALLEY WEST","704","U","TORONTO","9","0","1","3","22","0","25","0","0","0","60","102","Twenty Sanderling"
"017","DON VALLEY WEST","705","U","TORONTO","4","0","0","0","11","1","13","1","0","0","30","137","Thompson House"
"017","DON VALLEY WEST","706","U","TORONTO","6","0","0","0","22","0","32","0","0","0","60","146","Suomi Koti Finnish Centre"
"017","DON VALLEY WEST","707","U","TORONTO","9","0","0","0","16","0","31","1","3","0","60","144","921 Millwood"
"017","DON VALLEY WEST","708","U","TORONTO","12","0","2","0","25","0","46","0","0","0","85","250","Leaside Retirement Res"
"017","DON VALLEY WEST","ADV001","U","TORONTO","103","1","28","1","526","2","1029","2","1","1","1694","0","Returning Office / Bureau du directeur du scrutin"
"017","DON VALLEY WEST","ADV002","U","TORONTO","19","4","2","0","146","1","222","5","0","0","399","0","Special Ballot Voting / Vote par bulletin spécial"
"017","DON VALLEY WEST","ADV003","U","TORONTO","54","1","16","6","293","3","533","1","1","0","908","0","The Sherwood"
"017","DON VALLEY WEST","ADV004","U","TORONTO","40","1","11","0","392","1","698","0","2","2","1147","0","Trace Manes Centennial Building"
"017","DON VALLEY WEST","ADV005","U","TORONTO","47","0","6","2","64","0","290","0","1","0","410","0","Dennis R. Timbrell Resource Centre"
"017","DON VALLEY WEST","ADV006","U","TORONTO","67","1","10","0","57","3","307","0","0","0","445","0","Jenner-Jean Marie Community Centre"
"017","DON VALLEY WEST","ADV007","U","TORONTO","16","0","7","3","390","1","373","0","0","0","790","0","Trinity Presbyterian Church"
"017","DON VALLEY WEST","ADV008","U","TORONTO","32","0","8","1","212","0","400","3","0","0","656","0","Northlea United Church"
"TOTALS:","","","","","3621","74","718","125","12827","108","24444","64","43","11","42035","82533",""
