"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BISSON","NERON","PLANT","RICKARD","SPACEK","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"093","TIMMINS--JAMES BAY","045","U","KAPUSKASING","55","0","0","3","58","1","0","0","117","281","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","046","U","KAPUSKASING","62","0","0","7","55","0","0","0","124","294","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","047","U","KAPUSKASING","68","1","1","7","85","0","0","0","162","380","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","048","U","KAPUSKASING","84","0","4","6","77","2","0","0","173","432","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","049","U","KAPUSKASING","47","0","0","4","60","0","0","0","111","284","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","050","U","FAUQUIER","137","0","2","9","85","0","0","0","233","372","Centre Communautaire Fauquier"
"093","TIMMINS--JAMES BAY","051","U","MOONBEAM","111","0","2","10","94","0","0","0","217","414","Centre Communautaire Moonbeam"
"093","TIMMINS--JAMES BAY","052","U","MOONBEAM","70","0","0","14","51","0","0","0","135","252","Centre Communautaire Moonbeam"
"093","TIMMINS--JAMES BAY","053","U","MOONBEAM","92","3","0","6","35","0","0","0","136","248","Centre Communautaire Moonbeam"
"093","TIMMINS--JAMES BAY","054","U","SMOOTH ROCK FALLS","18","0","0","2","3","0","0","0","23","64","École secondaire Georges-Vanier"
"093","TIMMINS--JAMES BAY","055","U","SMOOTH ROCK FALLS","81","0","0","13","54","0","0","0","148","421","École secondaire Georges-Vanier"
"093","TIMMINS--JAMES BAY","056","U","SMOOTH ROCK FALLS","92","1","1","22","38","2","0","0","156","377","École secondaire Georges-Vanier"
"093","TIMMINS--JAMES BAY","057","U","SMOOTH ROCK FALLS","87","0","0","4","45","0","0","0","136","354","École secondaire Georges-Vanier"
"093","TIMMINS--JAMES BAY","058","U","SMOOTH ROCK FALLS","4","0","0","0","3","0","0","0","7","11","École secondaire Georges-Vanier"
"093","TIMMINS--JAMES BAY","059","U","TIMMINS","27","1","1","5","32","0","0","0","66","181","Timmins Inn and  Suites"
"093","TIMMINS--JAMES BAY","060","U","TIMMINS","34","0","0","20","57","1","0","0","112","313","Timmins Inn and  Suites"
"093","TIMMINS--JAMES BAY","061","U","TIMMINS","85","1","1","27","86","0","0","0","200","592","Timmins Inn and  Suites"
"093","TIMMINS--JAMES BAY","062","U","TIMMINS","50","0","0","8","20","0","0","0","78","328","Timmins Inn and  Suites"
"093","TIMMINS--JAMES BAY","063","U","TIMMINS","72","0","3","31","83","0","0","0","189","520","Timmins Inn and  Suites"
"093","TIMMINS--JAMES BAY","064","U","TIMMINS","30","1","2","18","67","0","0","0","118","314","Timmins Inn and  Suites"
"093","TIMMINS--JAMES BAY","065","U","TIMMINS","92","1","2","18","56","1","1","0","171","436","École Anicet Morin"
"093","TIMMINS--JAMES BAY","066","U","TIMMINS","71","1","1","26","64","0","0","0","163","381","École Anicet Morin"
"093","TIMMINS--JAMES BAY","067","U","TIMMINS","87","1","2","23","48","0","0","0","161","386","École Anicet Morin"
"093","TIMMINS--JAMES BAY","068","U","TIMMINS","42","1","1","11","31","0","0","0","86","291","Salle St Dominique"
"093","TIMMINS--JAMES BAY","069","U","TIMMINS","65","1","1","15","18","0","0","0","100","343","École Anicet Morin"
"093","TIMMINS--JAMES BAY","070","U","TIMMINS","75","1","1","30","73","0","0","0","180","442","Salle St Dominique"
"093","TIMMINS--JAMES BAY","071","U","TIMMINS","107","0","2","27","84","0","0","0","220","467","Salle St Dominique"
"093","TIMMINS--JAMES BAY","072","U","TIMMINS","61","1","1","11","33","0","0","0","107","317","Salle St Dominique"
"093","TIMMINS--JAMES BAY","073","U","TIMMINS","70","0","2","17","48","0","0","0","137","368","École catholique Don Bosco"
"093","TIMMINS--JAMES BAY","074","U","TIMMINS","75","1","1","30","62","1","0","0","170","386","École catholique Don Bosco"
"093","TIMMINS--JAMES BAY","075","U","TIMMINS","51","0","1","22","39","0","0","0","113","364","O'Gorman High School"
"093","TIMMINS--JAMES BAY","076","U","TIMMINS","58","0","2","15","49","0","0","0","124","306","École catholique Don Bosco"
"093","TIMMINS--JAMES BAY","077","U","TIMMINS","59","0","4","21","37","2","0","0","123","318","École catholique Don Bosco"
"093","TIMMINS--JAMES BAY","078","U","TIMMINS","61","2","3","6","16","0","0","0","88","385","École catholique Don Bosco"
"093","TIMMINS--JAMES BAY","079","U","TIMMINS","46","1","2","9","13","1","0","0","72","341","Ross Beatie Senior Public School"
"093","TIMMINS--JAMES BAY","080","U","TIMMINS","53","0","2","25","77","0","0","0","157","362","Ross Beatie Senior Public School"
"093","TIMMINS--JAMES BAY","081","U","TIMMINS","54","1","1","16","32","0","0","0","104","400","Ross Beatie Senior Public School"
"093","TIMMINS--JAMES BAY","082","U","TIMMINS","36","0","1","12","43","0","0","0","92","378","O'Gorman High School"
"093","TIMMINS--JAMES BAY","083","U","TIMMINS","60","0","0","19","53","1","0","0","133","372","O'Gorman High School"
"093","TIMMINS--JAMES BAY","084","U","TIMMINS","50","0","0","18","72","0","0","0","140","330","O'Gorman High School"
"093","TIMMINS--JAMES BAY","085","U","TIMMINS","44","2","0","34","51","1","0","0","132","348","O'Gorman High School"
"093","TIMMINS--JAMES BAY","086","U","TIMMINS","79","0","1","13","43","0","0","0","136","256","Senior Citizens Residence - Bartleman"
"093","TIMMINS--JAMES BAY","087","U","TIMMINS","66","0","1","10","37","0","2","0","116","312","O'Gorman High School"
"093","TIMMINS--JAMES BAY","088","U","TIMMINS","81","1","0","16","42","0","0","0","140","370","O'Gorman High School"
"093","TIMMINS--JAMES BAY","089","U","TIMMINS","82","0","5","20","41","0","0","0","148","391","Ross Beatie Senior Public School"
"093","TIMMINS--JAMES BAY","090","U","TIMMINS","43","0","0","8","45","0","0","0","96","360","Ross Beatie Senior Public School"
"093","TIMMINS--JAMES BAY","091","U","TIMMINS","62","2","1","26","39","0","0","0","130","286","Mountjoy Towers"
"093","TIMMINS--JAMES BAY","092","U","TIMMINS","41","0","0","6","25","0","0","0","72","268","Ross Beatie Senior Public School"
"093","TIMMINS--JAMES BAY","093","U","TIMMINS","58","0","1","10","14","0","0","0","83","322","Notre Dame de la Paix"
"093","TIMMINS--JAMES BAY","094","U","TIMMINS","66","0","1","13","19","0","1","0","100","329","Notre Dame de la Paix"
"093","TIMMINS--JAMES BAY","095","U","TIMMINS","76","0","3","17","33","0","0","0","129","389","Notre Dame de la Paix"
"093","TIMMINS--JAMES BAY","096","U","TIMMINS","71","0","1","27","61","1","0","0","161","467","Notre Dame de la Paix"
"093","TIMMINS--JAMES BAY","097","U","TIMMINS","63","1","0","18","41","0","0","0","123","319","Senior Citizens Residence - Sterling"
"093","TIMMINS--JAMES BAY","098","U","TIMMINS","76","0","1","8","23","0","1","0","109","323","Notre Dame de la Paix"
"093","TIMMINS--JAMES BAY","099","U","TIMMINS","39","0","1","6","15","0","0","0","61","285","Notre Dame de la Paix"
"093","TIMMINS--JAMES BAY","100","U","TIMMINS","74","1","0","11","18","2","0","0","106","341","École St Charles"
"093","TIMMINS--JAMES BAY","101","U","TIMMINS","54","0","2","7","23","0","0","0","86","361","École St Charles"
"093","TIMMINS--JAMES BAY","102","U","TIMMINS","38","0","0","10","12","1","0","0","61","298","H. R. Bielek Building"
"093","TIMMINS--JAMES BAY","103","U","TIMMINS","57","0","0","4","26","0","0","0","87","390","H. R. Bielek Building"
"093","TIMMINS--JAMES BAY","104","U","TIMMINS","29","2","0","7","28","0","0","0","66","301","H. R. Bielek Building"
"093","TIMMINS--JAMES BAY","105","U","TIMMINS","45","1","2","6","10","0","0","0","64","229","H. R. Bielek Building"
"093","TIMMINS--JAMES BAY","106","U","TIMMINS","62","1","0","9","34","0","0","0","106","305","École St Gerard"
"093","TIMMINS--JAMES BAY","107","U","TIMMINS","85","1","0","11","49","1","0","0","147","344","École St Gerard"
"093","TIMMINS--JAMES BAY","108","U","TIMMINS","61","0","1","9","42","0","0","0","113","371","École St Gerard"
"093","TIMMINS--JAMES BAY","109","U","TIMMINS","78","0","1","10","19","1","0","0","109","408","École St Gerard"
"093","TIMMINS--JAMES BAY","110","U","TIMMINS","43","1","0","12","18","2","0","0","76","260","École St Gerard"
"093","TIMMINS--JAMES BAY","111","U","TIMMINS","50","1","1","8","10","0","0","0","70","307","École St Gerard"
"093","TIMMINS--JAMES BAY","112","U","TIMMINS","58","2","1","8","44","0","0","0","113","437","H. R. Bielek Building"
"093","TIMMINS--JAMES BAY","113","U","TIMMINS","63","0","1","21","65","0","0","0","150","452","Golden Beaver Masonic Hall"
"093","TIMMINS--JAMES BAY","114","U","TIMMINS","61","0","5","9","28","0","0","0","103","337","Golden Beaver Masonic Hall"
"093","TIMMINS--JAMES BAY","115","U","TIMMINS","29","0","1","3","9","0","0","0","42","263","Golden Beaver Masonic Hall"
"093","TIMMINS--JAMES BAY","116","U","TIMMINS","49","0","4","8","24","1","0","0","86","325","Mountjoy Towers"
"093","TIMMINS--JAMES BAY","117","U","TIMMINS","45","0","0","8","18","0","0","0","71","320","Covenant United Church"
"093","TIMMINS--JAMES BAY","118","U","TIMMINS","77","2","5","16","27","0","1","0","128","329","Senior Citizens Residence - Pine"
"093","TIMMINS--JAMES BAY","119","U","TIMMINS","68","0","5","20","46","2","1","0","142","414","Golden Beaver Masonic Hall"
"093","TIMMINS--JAMES BAY","120","U","TIMMINS","64","1","1","15","40","1","0","0","122","330","Covenant United Church"
"093","TIMMINS--JAMES BAY","121","U","TIMMINS","66","0","1","7","35","0","0","0","109","344","Covenant United Church"
"093","TIMMINS--JAMES BAY","122","U","TIMMINS","54","0","1","23","22","0","0","0","100","345","Covenant United Church"
"093","TIMMINS--JAMES BAY","123","U","TIMMINS","42","1","1","25","72","1","0","0","142","316","École Louis-Rheaume"
"093","TIMMINS--JAMES BAY","124","U","TIMMINS","59","3","0","23","68","0","0","0","153","389","École Louis-Rheaume"
"093","TIMMINS--JAMES BAY","125","U","TIMMINS","63","0","1","24","86","0","0","0","174","494","École Louis-Rheaume"
"093","TIMMINS--JAMES BAY","126","U","TIMMINS","48","1","0","27","61","0","0","0","137","353","École Louis-Rheaume"
"093","TIMMINS--JAMES BAY","127","U","TIMMINS","66","1","2","26","64","0","0","0","159","420","École Louis-Rheaume"
"093","TIMMINS--JAMES BAY","128","U","TIMMINS","55","0","0","6","37","0","0","0","98","271","École Louis-Rheaume"
"093","TIMMINS--JAMES BAY","129","U","TIMMINS","20","0","0","12","18","0","0","0","50","153","Croatian Hall"
"093","TIMMINS--JAMES BAY","130","U","TIMMINS","77","1","2","16","37","0","1","0","134","384","Croatian Hall"
"093","TIMMINS--JAMES BAY","131","U","TIMMINS","73","1","4","20","51","1","1","0","151","376","Croatian Hall"
"093","TIMMINS--JAMES BAY","132","U","TIMMINS","59","0","3","16","64","1","0","0","143","294","Croatian Hall"
"093","TIMMINS--JAMES BAY","133","U","TIMMINS","37","0","2","9","41","0","0","0","89","272","Croatian Hall"
"093","TIMMINS--JAMES BAY","134","U","SOUTH PORCUPINE","77","1","2","19","75","1","0","0","175","479","Golden Avenue Public School"
"093","TIMMINS--JAMES BAY","135","U","SOUTH PORCUPINE","56","0","4","19","55","0","0","0","134","452","Golden Avenue Public School"
"093","TIMMINS--JAMES BAY","136","U","SOUTH PORCUPINE","51","0","1","12","40","0","0","0","104","370","Golden Avenue Public School"
"093","TIMMINS--JAMES BAY","137","U","SOUTH PORCUPINE","7","0","0","1","6","0","0","0","14","114","Golden Avenue Public School"
"093","TIMMINS--JAMES BAY","138","U","SOUTH PORCUPINE","96","0","0","16","23","0","0","0","135","415","Senior Citizens Residence - Laveview"
"093","TIMMINS--JAMES BAY","139","U","SOUTH PORCUPINE","49","1","2","20","36","1","1","0","110","419","Bertha Shaw Public School"
"093","TIMMINS--JAMES BAY","140","U","SOUTH PORCUPINE","89","0","2","7","38","0","0","0","136","477","Bertha Shaw Public School"
"093","TIMMINS--JAMES BAY","141","U","SOUTH PORCUPINE","64","0","3","23","60","0","1","0","151","539","Bertha Shaw Public School"
"093","TIMMINS--JAMES BAY","142","U","SOUTH PORCUPINE","73","0","2","9","43","1","0","0","128","441","Bertha Shaw Public School"
"093","TIMMINS--JAMES BAY","143","U","PORCUPINE","106","1","1","9","71","0","0","0","188","579","École catholique St. Jude"
"093","TIMMINS--JAMES BAY","144","U","PORCUPINE","62","1","0","7","41","0","0","0","111","349","École catholique St. Jude"
"093","TIMMINS--JAMES BAY","145","U","PORCUPINE","33","0","0","10","39","0","0","0","82","296","École catholique St. Jude"
"093","TIMMINS--JAMES BAY","146","U","PORCUPINE","53","1","2","12","47","0","0","0","115","388","École catholique St. Jude"
"093","TIMMINS--JAMES BAY","147","U","CONNAUGHT","34","1","0","9","25","1","1","0","71","199","Connaught Community Centre"
"093","TIMMINS--JAMES BAY","148","U","CONNAUGHT","40","1","4","6","43","0","0","0","94","241","Connaught Community Centre"
"093","TIMMINS--JAMES BAY","700","U","HEARST","18","2","2","16","12","1","0","0","51","89","Notre Dame Hospital"
"093","TIMMINS--JAMES BAY","701","U","KAPUSKASING","13","1","0","7","27","1","1","0","50","83","North Centennial Manor"
"093","TIMMINS--JAMES BAY","702","U","KAPUSKASING","10","2","1","5","14","1","0","0","33","78","Sensenbrenner Hospital"
"093","TIMMINS--JAMES BAY","703","U","KAPUSKASING","..........................NO POLL HELD..........................","","","","","","","","","",""
"093","TIMMINS--JAMES BAY","704","U","TIMMINS","27","0","2","14","16","0","0","0","59","118","Golden Manor"
"093","TIMMINS--JAMES BAY","705","U","TIMMINS","25","2","3","12","20","0","0","0","62","91","Chateau Georgian Residence"
"093","TIMMINS--JAMES BAY","706","U","TIMMINS","..........................NO POLL HELD..........................","","","","","","","","","",""
"093","TIMMINS--JAMES BAY","707","U","SCHUMACHER","51","0","2","8","16","0","1","0","78","181","Extendicare Timmins"
"093","TIMMINS--JAMES BAY","708","U","SCHUMACHER","..........................NO POLL HELD..........................","","","","","","","","","",""
"093","TIMMINS--JAMES BAY","ADV001","U","TIMMINS","483","3","7","123","445","0","1","0","1062","0","Returning Office / Bureau du directeur du scrutin"
"093","TIMMINS--JAMES BAY","ADV002","U","TIMMINS","319","3","3","105","264","3","0","0","697","0","Special Ballot Voting / Vote par bulletin spécial"
"093","TIMMINS--JAMES BAY","ADV003","U","TIMMINS","273","3","5","97","220","0","1","0","599","0","Timmins Public Library"
"093","TIMMINS--JAMES BAY","ADV004","U","TIMMINS","328","1","3","112","219","0","1","1","665","0","101 Mall"
"093","TIMMINS--JAMES BAY","ADV005","U","SOUTH PORCUPINE","327","5","9","61","331","3","0","0","736","0","Porcupine Mall"
"093","TIMMINS--JAMES BAY","ADV006","U","KAPUSKASING","93","1","1","13","138","2","0","0","248","0","Model City Mall"
"093","TIMMINS--JAMES BAY","ADV007","U","KAPUSKASING","265","3","4","28","377","0","0","0","677","0","Centre des Loisirs - Salle Meli Melo"
"093","TIMMINS--JAMES BAY","ADV008","U","HEARST","245","3","7","82","99","0","0","0","436","0","Supermarche de Hearst"
"093","TIMMINS--JAMES BAY","ADV009","U","SMOOTH ROCK FALLS","82","0","1","20","50","1","0","0","154","0","Smooth Rock Falls Hospital"
"093","TIMMINS--JAMES BAY","ADV010","U","MOOSONEE","9","0","0","3","1","0","0","0","13","0","Northern College of Applied Arts and Technology"
"TOTALS:","","","","","11479","108","233","2870","8515","61","20","2","23288","49723",""
