"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","HILLIER","MACDONALD","MATTE","PARKHILL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","013","U","MOUNTAIN GROVE","63","36","0","22","1","0","0","122","281","Land O'Lakes Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","014","U","MOUNTAIN GROVE","59","60","5","25","0","0","0","149","390","Land O'Lakes Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","015","U","SHARBOT LAKE","55","82","6","20","0","0","0","163","364","St. James Major Church Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","016","U","SHARBOT LAKE","51","77","4","11","0","0","0","143","297","St. James Major Church Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","017","U","SHARBOT LAKE","52","71","4","27","0","0","1","155","364","St. James Major Church Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","018","U","TAMWORTH","91","63","8","62","0","0","0","224","425","Stone Mills Recreation Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","019","U","TAMWORTH","100","65","9","46","0","1","0","221","491","Stone Mills Recreation Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","020","U","TAMWORTH","71","66","11","37","1","0","0","186","376","Stone Mills Recreation Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","021","U","ROBLIN","83","47","12","35","0","1","0","178","404","Roblin Wesleyan Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","022","U","ENTERPRISE","101","51","11","67","0","0","0","230","589","Enterprise Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","023","U","ROBLIN","45","25","0","26","0","0","0","96","243","Roblin Wesleyan Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","024","U","CENTREVILLE","69","37","10","42","0","0","0","158","333","Stone Mills Mun Office"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","025","U","YARKER","73","53","8","40","0","1","0","175","398","Moscow United Church Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","026","U","NEWBURGH","69","43","6","49","0","0","0","167","399","Newburgh Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","027","U","NEWBURGH","40","49","8","39","0","1","0","137","335","Newburgh Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","028","U","NEWBURGH","40","63","5","31","0","0","0","139","326","Newburgh Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","029","U","YARKER","66","66","13","37","0","0","0","182","404","Stone Mills Township Fire Dept Station 1"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","030","U","YARKER","46","42","9","47","0","1","2","147","313","Stone Mills Township Fire Dept Station 1"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","031","U","YARKER","73","66","8","48","0","0","0","195","437","Stone Mills Township Fire Dept Station 1"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","032","U","ROBLIN","83","28","2","30","0","0","0","143","370","Roblin Wesleyan Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","033","U","ROBLIN","88","37","8","24","0","0","0","157","408","Roblin Wesleyan Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","034","U","NAPANEE","63","33","4","30","0","0","0","130","343","Strathcona Paper Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","035","U","NAPANEE","102","40","4","38","0","1","0","185","482","Strathcona Paper Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","036","U","NAPANEE","57","38","4","25","0","0","0","124","391","Strathcona Paper Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","037","U","NAPANEE","69","50","2","43","0","0","0","164","448","Napanee Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","038","U","NAPANEE","35","6","7","15","0","0","0","63","264","Strathcona Paper Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","039","U","NAPANEE","41","38","4","28","0","0","0","111","306","Jubilee Seniors Apartments"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","040","U","NAPANEE","40","43","6","29","0","0","0","118","274","Strathcona Paper Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","041","U","NAPANEE","38","31","6","36","0","0","1","112","357","Masonic Hall Napanee"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","042","U","NAPANEE","35","44","10","41","0","0","0","130","500","Masonic Hall Napanee"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","043","U","NAPANEE","35","24","10","14","1","0","0","84","291","Masonic Hall Napanee"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","044","U","NAPANEE","40","43","12","31","2","0","0","128","371","Masonic Hall Napanee"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","045","U","NAPANEE","31","39","4","20","0","0","0","94","287","Masonic Hall Napanee"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","046","U","NAPANEE","42","35","6","32","1","0","0","116","369","Masonic Hall Napanee"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","047","U","NAPANEE","22","45","1","28","0","0","2","98","313","The Riverine"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","048","U","NAPANEE","53","48","2","20","0","1","0","124","357","Masonic Hall Napanee"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","049","U","NAPANEE","74","51","3","32","0","0","0","160","415","The Riverine"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","050","U","NAPANEE","109","95","5","24","0","0","0","233","516","The Riverine"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","051","U","NAPANEE","124","97","9","41","1","0","0","272","597","Napanee Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","052","U","NAPANEE","66","43","4","23","0","0","0","136","406","Napanee Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","053","U","NAPANEE","94","68","10","50","0","0","0","222","543","Napanee Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","054","U","NAPANEE","65","42","3","37","0","0","0","147","365","Napanee Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","055","U","GREATER NAPANEE","98","55","5","37","0","0","0","195","540","L.A.R.C"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","056","U","GREATER NAPANEE","58","28","3","21","0","0","0","110","279","L.A.R.C"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","057","U","GREATER NAPANEE","44","39","3","18","0","0","0","104","298","L.A.R.C"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","058","U","NAPANEE","93","75","6","45","0","1","0","220","441","Dorland Fire Station"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","059","U","NAPANEE","90","85","4","50","0","0","0","229","532","South Fredricksburgh Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","060","U","NAPANEE","76","57","6","28","1","0","0","168","332","South Fredricksburgh Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","061","U","NEWBURGH","61","58","3","24","0","0","0","146","600","Newburgh Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","062","U","ODESSA","87","49","14","44","0","0","0","194","594","Odessa Fair Grounds Palace"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","063","U","ODESSA","56","34","9","42","0","0","0","141","453","Odessa Fair Grounds Palace"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","064","U","ODESSA","48","44","9","47","0","0","0","148","503","Odessa Fair Grounds Palace"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","065","U","ODESSA","74","54","8","48","1","1","2","188","527","Odessa Fair Grounds Palace"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","066","U","BATH","47","33","6","26","0","0","0","112","268","Bath Fire Station"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","067","U","ODESSA","76","72","11","56","1","0","1","217","563","Odessa Fair Grounds Palace"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","068","U","BATH","135","92","7","42","1","0","0","277","488","Bath Fire Station"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","069","U","BATH","70","42","5","70","1","0","0","188","472","Bath Fire Station"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","070","U","BATH","53","71","6","38","0","0","0","168","358","Bath Fire Station"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","071","U","BATH","53","49","5","34","0","0","0","141","311","Bath Fire Station"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","072","U","BATH","56","48","2","47","1","0","0","154","388","Royal Canadian Legion - Branch 623"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","073","U","AMHERSTVIEW","44","73","6","28","0","0","0","151","316","Trinity Presbyterian Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","074","U","AMHERSTVIEW","75","82","7","49","1","0","0","214","540","Amherstview Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","075","U","AMHERSTVIEW","57","82","6","54","0","0","0","199","499","Trinity Presbyterian Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","076","U","AMHERSTVIEW","56","61","3","62","0","0","0","182","584","Trinity Presbyterian Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","077","U","AMHERSTVIEW","66","58","6","47","0","0","0","177","522","Trinity Presbyterian Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","078","U","AMHERSTVIEW","27","34","2","41","0","0","0","104","391","Amherstview Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","079","U","AMHERSTVIEW","35","50","2","48","0","0","0","135","388","Amherstview Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","080","U","AMHERSTVIEW","51","39","5","35","0","0","0","130","400","Trinity Presbyterian Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","081","U","AMHERSTVIEW","43","41","5","49","2","0","0","140","548","Amherstview Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","082","U","AMHERSTVIEW","53","70","6","57","1","0","0","187","450","Amherstview Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","083","U","AMHERSTVIEW","44","31","9","46","0","0","0","130","408","Amherstview Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","084","U","AMHERSTVIEW","46","50","4","65","0","0","0","165","421","Amherstview Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","085","U","STELLA","120","76","8","39","0","0","1","244","353","Amherst Island Fire Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","086","U","VERONA","33","28","7","11","0","0","0","79","219","Verona Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","087","U","PARHAM","105","68","6","37","0","0","0","216","436","Hinchinbrooke Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","088","U","VERONA","55","50","3","27","0","0","0","135","347","Verona Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","089","U","VERONA","49","42","9","28","0","0","0","128","347","Verona Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","090","U","VERONA","67","55","9","43","0","0","1","175","494","Verona Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","091","U","VERONA","97","78","5","55","0","0","0","235","554","Verona Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","092","U","VERONA","113","48","7","33","0","0","0","201","447","Verona Lions Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","093","U","HARTINGTON","61","31","1","26","0","0","0","119","252","Princess Anne Community Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","094","U","HARROWSMITH","73","53","7","40","0","0","0","173","447","Golden Links Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","095","U","HARROWSMITH","67","40","10","21","0","0","0","138","292","Golden Links Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","096","U","HARROWSMITH","53","31","8","31","0","0","0","123","269","Golden Links Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","097","U","HARROWSMITH","84","49","6","43","0","0","0","182","411","Golden Links Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","098","U","HARROWSMITH","63","54","9","38","0","1","0","165","383","Golden Links Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","099","U","GODFREY","55","39","4","11","1","0","0","110","286","Bedford Township Fire Hall # 2"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","100","U","GODFREY","91","70","8","38","0","0","0","207","432","Bedford Township Fire Hall # 2"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","101","U","HARTINGTON","46","47","4","37","0","0","0","134","313","Desert Lake Family Resort"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","102","U","PERTH ROAD","82","44","8","35","0","1","0","170","410","Perth Road Sunday School Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","103","U","PERTH ROAD","45","44","11","22","0","1","0","123","229","Perth Road Sunday School Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","104","U","SYDENHAM","72","95","11","45","0","0","0","223","516","Sydenham Public Library"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","105","U","PERTH ROAD","71","63","5","25","0","0","0","164","389","Perth Road Sunday School Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","106","U","SYDENHAM","42","37","7","27","2","0","0","115","288","Sydenham Public Library"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","107","U","SYDENHAM","30","31","8","21","0","0","0","90","233","Sydenham Public Library"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","108","U","SYDENHAM","67","61","9","29","0","0","0","166","455","Loughborough Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","109","U","SYDENHAM","76","54","6","38","0","0","0","174","474","Loughborough Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","110","U","SYDENHAM","63","73","7","53","0","0","0","196","482","Loughborough Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","111","U","SYDENHAM","71","85","14","52","0","0","0","222","532","Loughborough Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","112","U","INVERARY","59","65","1","23","0","0","0","148","406","Inverary United Church Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","113","U","INVERARY","68","49","7","28","0","0","0","152","410","Inverary United Church Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","114","U","INVERARY","83","84","6","62","0","0","0","235","512","Inverary United Church Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","115","U","INVERARY","81","106","5","38","3","0","0","233","661","Inverary United Church Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","116","U","BATTERSEA","68","56","7","40","0","0","0","171","435","Storrington Township Office"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","117","U","BATTERSEA","41","45","4","27","2","0","0","119","332","Storrington Township Office"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","118","U","BATTERSEA","50","66","6","27","0","0","0","149","378","Storrington Township Office"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","119","U","BATTERSEA","89","107","7","53","1","0","0","257","520","Battersea United Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","120","U","BATTERSEA","79","79","17","46","0","0","0","221","491","Battersea United Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","121","U","LANARK HIGHLANDS","64","7","5","16","0","0","0","92","211","North Lavant Community Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","122","U","WHITE LAKE","58","29","2","19","1","0","0","109","180","White Lake Fire Hall #8"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","123","U","CLAYTON","94","13","10","13","0","0","0","130","299","Tatlock Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","124","U","MCDONALDS CORNERS","87","49","5","17","0","0","1","159","337","McDonald's Corners Agricultural Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","125","U","MCDONALDS CORNERS","205","80","16","63","0","0","0","364","696","McDonald's Corners Agricultural Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","126","U","MCDONALDS CORNERS","28","7","6","13","0","0","0","54","140","McDonald's Corners Agricultural Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","127","U","CLAYTON","107","31","6","12","0","0","0","156","433","Tatlock Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","128","U","LANARK","109","21","5","24","0","0","0","159","343","Foy Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","129","U","LANARK","112","39","6","31","1","1","1","191","382","Foy Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","130","U","LANARK","119","47","10","29","0","0","0","205","457","Foy Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","131","U","LANARK","137","31","6","46","0","0","0","220","540","Foy Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","132","U","MABERLY","88","53","8","24","0","0","0","173","382","Maberly Town Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","133","U","MABERLY","71","58","10","14","0","1","0","154","307","Maberly Town Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","134","U","MCDONALDS CORNERS","87","38","10","27","0","0","0","162","541","McDonald's Corners Agricultural Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","135","U","PERTH","118","46","12","38","0","0","0","214","486","Tay Valley Mun Office"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","136","U","PERTH","110","30","4","15","1","0","0","160","392","Tay Valley Mun Office"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","137","U","PERTH","75","34","10","12","0","0","0","131","294","Tay Valley Mun Office"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","138","U","PERTH","78","59","11","28","0","0","2","178","375","Tay Valley Mun Office"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","139","U","PERTH","152","62","12","26","0","1","0","253","541","Burgess Township Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","140","U","PERTH","122","75","6","53","0","3","0","259","586","Burgess Township Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","141","U","PERTH","117","29","14","37","0","0","0","197","435","Drummond Township Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","142","U","PERTH","185","46","1","32","0","0","0","264","525","Drummond Township Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","143","U","PERTH","161","39","4","34","1","2","0","241","619","Royal Canadian Legion - Branch 244"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","144","U","PERTH","104","43","8","23","0","0","0","178","511","Royal Canadian Legion - Branch 244"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","145","U","PERTH","62","34","3","20","0","0","0","119","453","Royal Canadian Legion - Branch 244"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","146","U","PERTH","87","63","10","24","1","1","0","186","486","Royal Canadian Legion - Branch 244"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","147","U","PERTH","80","54","7","37","1","1","0","180","505","Royal Canadian Legion - Branch 244"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","148","U","PERTH","79","53","5","30","0","0","1","168","466","Royal Canadian Legion - Branch 244"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","149","U","PERTH","52","40","14","17","0","0","0","123","330","Perth Town Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","150","U","PERTH","67","33","8","38","0","0","0","146","396","Perth Lions Club"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","151","U","PERTH","98","54","11","37","1","0","0","201","517","Perth Lions Club"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","152","U","PERTH","91","66","4","21","1","0","0","183","453","Queen Elizabeth Elementary School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","153","U","PERTH","64","54","11","32","1","0","0","162","442","Queen Elizabeth Elementary School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","154","U","PERTH","95","88","4","24","2","1","0","214","501","Perth Town Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","155","U","PERTH","51","22","8","23","1","0","0","105","296","Perth Town Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","156","U","PERTH","87","56","4","32","0","0","0","179","408","Queen Elizabeth Elementary School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","157","U","PERTH","90","101","12","26","0","1","0","230","518","Bethel United Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","158","U","PERTH","94","47","10","24","0","0","0","175","364","Bethel United Church"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","159","U","SMITHS FALLS","168","66","10","50","0","0","0","294","510","Port Elmsley Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","160","U","SMITHS FALLS","123","60","9","47","0","1","0","240","441","Port Elmsley Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","161","U","SMITHS FALLS","69","25","4","31","0","2","0","131","349","Port Elmsley Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","162","U","SMITHS FALLS","75","40","3","18","1","0","1","138","367","Seniors Activity Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","163","U","SMITHS FALLS","61","28","13","27","0","0","0","129","398","Seniors Activity Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","164","U","SMITHS FALLS","57","23","1","24","0","0","0","105","321","Smiths Falls District Collegiate Institution"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","165","U","SMITHS FALLS","58","24","4","25","0","0","0","111","293","Smiths Falls District Collegiate Institution"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","166","U","SMITHS FALLS","106","49","7","42","0","1","0","205","485","Smiths Falls District Collegiate Institution"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","167","U","SMITHS FALLS","83","33","5","39","0","1","0","161","486","Smiths Falls District Collegiate Institution"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","168","U","SMITHS FALLS","90","59","4","27","1","0","1","182","457","Smiths Falls District Collegiate Institution"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","169","U","SMITHS FALLS","99","48","4","16","1","0","0","168","449","Smiths Falls District Collegiate Institution"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","170","U","SMITHS FALLS","76","60","5","34","1","0","0","176","456","Smiths Falls District Collegiate Institution"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","171","U","SMITHS FALLS","55","18","7","25","0","0","0","105","362","D.J. Schoular Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","172","U","SMITHS FALLS","68","17","1","37","0","0","0","123","419","D.J. Schoular Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","173","U","SMITHS FALLS","56","30","3","40","1","0","0","130","405","D.J. Schoular Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","174","U","SMITHS FALLS","69","17","5","20","2","0","0","113","380","D.J. Schoular Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","175","U","SMITHS FALLS","50","9","6","19","0","0","0","84","294","D.J. Schoular Public School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","176","U","SMITHS FALLS","64","27","9","35","2","0","0","137","478","Seniors Activity Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","177","U","SMITHS FALLS","118","28","9","41","0","0","0","196","497","Seniors Activity Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","178","U","CARLETON PLACE","151","63","13","29","0","0","0","256","617","Tr Leger School, Carleton Place"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","179","U","CARLETON PLACE","105","48","10","32","2","0","0","197","504","Tr Leger School, Carleton Place"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","180","U","CARLETON PLACE","134","34","9","30","2","0","0","209","484","Tr Leger School, Carleton Place"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","181","U","CARLETON PLACE","108","43","13","38","1","0","0","203","566","Carambeck Elementary School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","182","U","CARLETON PLACE","102","46","10","31","0","0","0","189","470","Tr Leger School, Carleton Place"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","183","U","CARLETON PLACE","109","46","13","38","1","0","1","208","517","Carambeck Elementary School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","184","U","CARLETON PLACE","46","19","0","15","0","0","0","80","206","Tr Leger School, Carleton Place"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","185","U","CARLETON PLACE","83","40","17","23","2","1","0","166","524","Carambeck Elementary School"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","186","U","CARLETON PLACE","103","47","12","21","0","1","0","184","515","Carleton Place Community Centre"
