"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","GÉLINAS","PERONI","RUSSELL","RYMA","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"056","NICKEL BELT","049","U","AZILDA","96","16","7","25","1","0","0","145","331","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","050","U","AZILDA","90","27","3","49","0","0","0","169","391","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","051","U","AZILDA","83","24","1","29","1","0","0","138","370","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","052","U","AZILDA","71","31","3","33","0","0","0","138","314","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","053","U","AZILDA","58","9","2","35","1","0","0","105","242","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","054","U","VAL CARON","78","12","3","47","1","0","0","141","395","Confederation Secondary School"
"056","NICKEL BELT","055","U","VAL CARON","115","19","6","35","1","0","0","176","455","Confederation Secondary School"
"056","NICKEL BELT","056","U","VAL CARON","86","27","2","39","0","0","1","155","431","Confederation Secondary School"
"056","NICKEL BELT","057","U","VAL CARON","102","27","2","38","0","0","0","169","354","Confederation Secondary School"
"056","NICKEL BELT","058","U","VAL CARON","148","40","4","68","0","0","0","260","543","Confederation Secondary School"
"056","NICKEL BELT","059","U","VAL CARON","73","26","5","46","1","0","0","151","348","Confederation Secondary School"
"056","NICKEL BELT","060","U","VAL CARON","81","26","4","46","1","0","0","158","427","Confederation Secondary School"
"056","NICKEL BELT","061","U","VAL CARON","77","16","2","31","0","0","0","126","307","Confederation Secondary School"
"056","NICKEL BELT","062","U","VAL CARON","79","21","2","17","0","0","0","119","309","Confederation Secondary School"
"056","NICKEL BELT","063","U","VAL CARON","91","18","5","30","0","0","0","144","336","Confederation Secondary School"
"056","NICKEL BELT","064","U","VAL CARON","102","11","1","29","0","0","0","143","337","Confederation Secondary School"
"056","NICKEL BELT","065","U","VAL CARON","141","31","5","64","0","0","0","241","613","Confederation Secondary School"
"056","NICKEL BELT","066","U","VAL CARON","104","17","2","27","0","0","0","150","410","Confederation Secondary School"
"056","NICKEL BELT","067","U","VAL CARON","79","19","2","41","0","0","0","141","365","Confederation Secondary School"
"056","NICKEL BELT","068","U","VAL CARON","50","12","4","23","0","0","0","89","209","Confederation Secondary School"
"056","NICKEL BELT","069","U","VAL CARON","60","6","4","12","0","0","0","82","240","Confederation Secondary School"
"056","NICKEL BELT","070","U","VAL CARON","117","15","7","47","0","0","0","186","526","Confederation Secondary School"
"056","NICKEL BELT","071","U","HANMER","101","23","3","44","0","0","0","171","487","Valley East Recreation Centre"
"056","NICKEL BELT","072","U","HANMER","82","31","4","55","1","0","0","173","429","Valley East Recreation Centre"
"056","NICKEL BELT","073","U","HANMER","80","16","6","49","0","0","0","151","403","Valley East Recreation Centre"
"056","NICKEL BELT","074","U","HANMER","92","21","3","25","0","0","0","141","484","Valley East Recreation Centre"
"056","NICKEL BELT","075","U","HANMER","115","23","4","47","0","0","0","189","469","Valley East Recreation Centre"
"056","NICKEL BELT","076","U","HANMER","82","24","3","49","0","0","0","158","459","Centennial Community Centre"
"056","NICKEL BELT","077","U","HANMER","90","22","6","40","0","0","0","158","426","Centennial Community Centre"
"056","NICKEL BELT","078","U","HANMER","75","16","3","26","0","0","0","120","303","Centennial Community Centre"
"056","NICKEL BELT","079","U","HANMER","80","13","10","43","0","0","0","146","410","Centennial Community Centre"
"056","NICKEL BELT","080","U","HANMER","68","13","0","24","2","0","0","107","316","Centennial Community Centre"
"056","NICKEL BELT","081","U","HANMER","99","17","0","39","1","0","0","156","388","Valley East Recreation Centre"
"056","NICKEL BELT","082","U","HANMER","87","16","2","39","0","0","0","144","372","Valley East Recreation Centre"
"056","NICKEL BELT","083","U","HANMER","99","24","4","47","0","0","0","174","519","Centennial Community Centre"
"056","NICKEL BELT","084","U","HANMER","97","19","2","16","0","0","0","134","417","Centennial Community Centre"
"056","NICKEL BELT","085","U","HANMER","115","16","3","39","0","0","0","173","496","Centennial Community Centre"
"056","NICKEL BELT","086","U","HANMER","102","24","4","34","0","0","0","164","505","Centennial Community Centre"
"056","NICKEL BELT","087","U","HANMER","100","8","3","17","0","0","0","128","307","Centennial Community Centre"
"056","NICKEL BELT","088","U","HANMER","127","23","2","42","0","0","0","194","485","Centennial Community Centre"
"056","NICKEL BELT","089","U","HANMER","74","8","2","37","0","1","0","122","354","Centennial Community Centre"
"056","NICKEL BELT","090","U","HANMER","68","7","1","19","0","0","0","95","233","Valley East Golden Age Club"
"056","NICKEL BELT","091","U","HANMER","111","12","1","37","0","0","0","161","348","Valley East Golden Age Club"
"056","NICKEL BELT","092","U","HANMER","78","13","3","24","2","0","0","120","330","Valley East Golden Age Club"
"056","NICKEL BELT","093","U","HANMER","64","16","2","20","0","0","0","102","310","Valley East Golden Age Club"
"056","NICKEL BELT","094","U","HANMER","105","11","5","33","0","0","0","154","385","Valley East Golden Age Club"
"056","NICKEL BELT","095","U","HANMER","113","33","5","44","2","0","0","197","510","Valley East Golden Age Club"
"056","NICKEL BELT","096","U","HANMER","107","32","6","18","2","0","0","165","483","Valley East Golden Age Club"
"056","NICKEL BELT","097","U","CAPREOL","86","19","2","30","0","0","0","137","335","Capreol Community Centre"
"056","NICKEL BELT","098","U","CAPREOL","50","21","1","27","0","0","0","99","269","Capreol Community Centre"
"056","NICKEL BELT","099","U","CAPREOL","92","36","1","25","0","0","0","154","375","Capreol Community Centre"
"056","NICKEL BELT","100","U","CAPREOL","33","14","2","9","0","0","0","58","207","Capreol Community Centre"
"056","NICKEL BELT","101","U","CAPREOL","87","17","1","30","0","1","0","136","368","Capreol Community Centre"
"056","NICKEL BELT","102","U","CAPREOL","70","17","3","9","0","0","0","99","341","Capreol Community Centre"
"056","NICKEL BELT","103","U","CAPREOL","80","43","6","22","2","0","0","153","378","Capreol Community Centre"
"056","NICKEL BELT","104","U","CAPREOL","82","35","2","21","0","0","0","140","388","Capreol Community Centre"
"056","NICKEL BELT","105","U","SKEAD","28","18","4","19","0","0","0","69","162","Skead Senior Citizen Centre"
"056","NICKEL BELT","106","U","SKEAD","110","47","3","44","0","0","0","204","398","Skead Senior Citizen Centre"
"056","NICKEL BELT","107","U","FALCONBRIDGE","47","28","4","23","2","0","0","104","251","Falconbridge Community Centre"
"056","NICKEL BELT","108","U","FALCONBRIDGE","74","28","2","26","0","0","0","130","273","Falconbridge Community Centre"
"056","NICKEL BELT","109","U","GARSON","16","1","2","7","0","0","0","26","154","Garson Community Centre"
"056","NICKEL BELT","110","U","GARSON","76","47","10","31","0","1","0","165","460","Garson Community Centre"
"056","NICKEL BELT","111","U","GARSON","92","32","2","20","0","0","0","146","374","Garson Community Centre"
"056","NICKEL BELT","112","U","GARSON","28","28","2","33","0","0","0","91","239","Garson Community Centre"
"056","NICKEL BELT","113","U","GARSON","66","21","5","18","0","0","0","110","308","Garson Community Centre"
"056","NICKEL BELT","114","U","GARSON","100","41","1","53","0","0","0","195","477","Garson Community Centre"
"056","NICKEL BELT","115","U","GARSON","93","43","4","44","0","0","0","184","435","Garson Community Centre"
"056","NICKEL BELT","116","U","GARSON","59","36","5","25","0","0","0","125","300","Garson Community Centre"
"056","NICKEL BELT","117","U","GARSON","56","40","5","28","1","0","0","130","293","Garson Community Centre"
"056","NICKEL BELT","118","U","GARSON","60","18","0","11","0","0","0","89","276","Garson Community Centre"
"056","NICKEL BELT","119","U","GARSON","72","34","1","38","0","1","0","146","350","Garson Community Centre"
"056","NICKEL BELT","120","U","GARSON","104","26","41","3","1","0","0","175","439","Garson Community Centre"
"056","NICKEL BELT","121","U","GARSON","69","21","2","22","1","0","0","115","345","Garson Community Centre"
"056","NICKEL BELT","122","U","GARSON","105","76","2","37","0","0","0","220","451","Garson Community Centre"
"056","NICKEL BELT","123","U","GARSON","47","12","3","34","0","0","0","96","296","Garson Community Centre"
"056","NICKEL BELT","124","U","GARSON","53","9","2","7","0","1","0","72","251","Garson Community Centre"
"056","NICKEL BELT","125","U","GARSON","78","47","7","36","0","0","0","168","392","Garson Community Centre"
"056","NICKEL BELT","126","U","CONISTON","123","20","1","50","0","0","0","194","392","St. Paul the Apostle Catholic School"
"056","NICKEL BELT","127","U","CONISTON","50","37","2","33","0","0","0","122","295","St. Paul the Apostle Catholic School"
"056","NICKEL BELT","128","U","CONISTON","134","37","7","61","0","0","0","239","438","St. Paul the Apostle Catholic School"
"056","NICKEL BELT","129","U","CONISTON","89","40","7","58","1","0","0","195","422","St. Paul the Apostle Catholic School"
"056","NICKEL BELT","130","U","CONISTON","68","21","2","21","2","0","0","114","271","St. Paul the Apostle Catholic School"
"056","NICKEL BELT","131","U","WAHNAPITAE","62","26","2","24","0","0","0","114","301","Wahnapitae Community Centre"
"056","NICKEL BELT","132","U","WAHNAPITAE","70","19","2","19","0","0","0","110","282","Wahnapitae Community Centre"
"056","NICKEL BELT","133","U","WAHNAPITAE","60","30","3","35","0","0","0","128","332","Wahnapitae Community Centre"
"056","NICKEL BELT","134","U","WAHNAPITAE","81","30","5","26","0","0","0","142","353","Wahnapitae Community Centre"
"056","NICKEL BELT","135","U","GREATER SUDBURY","115","49","7","37","1","0","0","209","434","Wanup Community Centre"
"056","NICKEL BELT","136","U","GREATER SUDBURY","79","27","9","42","0","0","0","157","479","Wanup Community Centre"
"056","NICKEL BELT","137","U","GREATER SUDBURY","28","15","6","15","0","0","0","64","136","Wanup Community Centre"
"056","NICKEL BELT","138","U","GREATER SUDBURY","88","29","2","34","0","0","2","155","278","Wanup Community Centre"
"056","NICKEL BELT","139","U","ALBAN","125","97","9","92","0","0","0","323","765","Alban Community Centre"
"056","NICKEL BELT","140","U","ALBAN","25","23","0","11","0","0","0","59","134","Alban Community Centre"
"056","NICKEL BELT","141","U","SUDBURY","63","20","4","32","0","0","0","119","297","St. Benedict's Catholic Secondary School"
"056","NICKEL BELT","142","U","SUDBURY","27","31","7","45","0","0","0","110","296","St. Benedict's Catholic Secondary School"
"056","NICKEL BELT","143","U","SUDBURY","64","38","8","78","2","0","0","190","361","Lockerby Legion Branch 753"
"056","NICKEL BELT","144","U","SUDBURY","62","36","11","52","0","0","0","161","362","Lockerby Legion Branch 753"
"056","NICKEL BELT","145","U","SUDBURY","77","26","15","44","0","0","0","162","361","Lockerby Legion Branch 753"
"056","NICKEL BELT","146","U","SUDBURY","61","50","9","92","0","0","1","213","447","Lockerby Legion Branch 753"
"056","NICKEL BELT","147","U","SUDBURY","71","60","5","106","0","0","0","242","478","Lockerby Legion Branch 753"
"056","NICKEL BELT","148","U","SUDBURY","48","36","5","144","1","0","0","234","524","St. Benedict's Catholic Secondary School"
"056","NICKEL BELT","149","U","SUDBURY","56","40","7","140","1","0","0","244","486","St. Benedict's Catholic Secondary School"
"056","NICKEL BELT","150","U","SUDBURY","61","51","3","154","0","1","0","270","565","St. Benedict's Catholic Secondary School"
"056","NICKEL BELT","151","U","SUDBURY","74","90","10","103","0","0","0","277","600","Lockerby Legion Branch 753"
"056","NICKEL BELT","152","U","SUDBURY","53","31","9","48","0","0","0","141","315","Lockerby Legion Branch 753"
"056","NICKEL BELT","153","U","SUDBURY","45","44","7","45","0","0","0","141","284","St. Benedict's Catholic Secondary School"
"056","NICKEL BELT","154","U","LIVELY","119","38","3","55","0","2","0","217","507","T. M. Davies Community Centre"
"056","NICKEL BELT","155","U","LIVELY","53","14","7","18","0","0","0","92","267","T. M. Davies Community Centre"
"056","NICKEL BELT","156","U","LIVELY","44","20","2","25","1","0","0","92","235","T. M. Davies Community Centre"
"056","NICKEL BELT","157","U","LIVELY","63","30","5","26","0","0","0","124","330","T. M. Davies Community Centre"
"056","NICKEL BELT","158","U","LIVELY","38","32","8","30","0","0","0","108","287","T. M. Davies Community Centre"
"056","NICKEL BELT","159","U","LIVELY","69","37","4","50","1","0","0","161","333","T. M. Davies Community Centre"
"056","NICKEL BELT","160","U","LIVELY","102","37","8","54","0","0","0","201","436","T. M. Davies Community Centre"
"056","NICKEL BELT","161","U","LIVELY","16","5","1","10","0","0","0","32","86","T. M. Davies Community Centre"
"056","NICKEL BELT","162","U","LIVELY","71","43","7","77","1","0","0","199","399","T. M. Davies Community Centre"
"056","NICKEL BELT","163","U","LIVELY","53","44","0","60","0","0","0","157","383","T. M. Davies Community Centre"
"056","NICKEL BELT","164","U","LIVELY","100","32","4","68","0","0","0","204","510","T. M. Davies Community Centre"
"056","NICKEL BELT","165","U","LIVELY","65","68","3","60","0","0","0","196","485","T. M. Davies Community Centre"
"056","NICKEL BELT","166","U","LIVELY","89","46","5","79","1","0","0","220","476","T. M. Davies Community Centre"
"056","NICKEL BELT","167","U","LIVELY","69","25","3","23","0","0","0","120","279","T. M. Davies Community Centre"
"056","NICKEL BELT","168","U","LIVELY","73","44","3","57","0","0","0","177","431","T. M. Davies Community Centre"
"056","NICKEL BELT","169","U","NAUGHTON","85","44","11","51","0","1","0","192","447","Naughton Community Centre"
"056","NICKEL BELT","170","U","NAUGHTON","99","47","3","44","0","0","0","193","415","Naughton Community Centre"
"056","NICKEL BELT","171","U","NAUGHTON","64","3","4","44","0","0","0","115","259","Whitefish Lake First Nation Band Office"
"056","NICKEL BELT","172","U","WHITEFISH","61","32","6","20","0","0","0","119","287","R. H. Murray Public School"
"056","NICKEL BELT","173","U","WHITEFISH","115","39","5","22","0","0","0","181","348","R. H. Murray Public School"
"056","NICKEL BELT","174","U","WHITEFISH","96","22","5","45","0","0","1","169","449","R. H. Murray Public School"
"056","NICKEL BELT","175","U","WHITEFISH","48","29","2","25","0","0","0","104","153","Penage Community Centre"
"056","NICKEL BELT","176","U","WORTHINGTON","11","14","1","6","0","0","0","32","93","Beaver Lake Sports and Cultural Club"
"056","NICKEL BELT","177","U","WORTHINGTON","97","32","7","21","0","0","0","157","314","Beaver Lake Sports and Cultural Club"
"056","NICKEL BELT","700","U","VAL CARON","25","9","12","34","3","2","0","85","135","Elizabeth Centre"
"056","NICKEL BELT","701","U","VAL CARON",".......................COMBINED WITH POLL 702.......................","","","","","","","","","Golden Years Retirement Home"
"056","NICKEL BELT","702","U","LIVELY","24","12","0","15","1","1","0","53","193","Meadowbrook Village"
"056","NICKEL BELT","703","U","CHELMSFORD","34","11","3","22","2","0","0","72","134","Villa St Gabrielle"
"056","NICKEL BELT","ADV001","R","CHELMSFORD","709","138","20","204","5","0","0","1076","0","Returning Office / Bureau du directeur du scrutin"
"056","NICKEL BELT","ADV002","R","CHELMSFORD","198","54","6","85","7","0","0","350","0","Special Ballot Voting / Vote par bulletin spécial"
"056","NICKEL BELT","ADV003","R","FOLEYET","36","7","0","3","0","1","0","47","0","Foleyet Community Centre"
"056","NICKEL BELT","ADV004","R","GOGAMA","19","11","0","13","0","0","0","43","0","Gogama Community Centre"
"056","NICKEL BELT","ADV005","R","DOWLING","191","68","7","40","0","0","0","306","0","Dowling Leisure Centre"
"056","NICKEL BELT","ADV006","R","AZILDA","202","31","0","59","0","0","0","292","0","Club acceuil age d'or Azilda"
"056","NICKEL BELT","ADV007","R","VAL CARON","158","45","5","44","0","0","0","252","0","Confederation Secondary School"
"056","NICKEL BELT","ADV008","R","HANMER","836","213","21","287","1","1","1","1360","0","Valley East Recreation Centre"
"056","NICKEL BELT","ADV009","R","CAPREOL","162","83","2","38","0","0","0","285","0","Coulson Court Senior Residence"
"056","NICKEL BELT","ADV010","R","GARSON","185","102","12","66","0","0","0","365","0","Garson Citizen Centre"
"056","NICKEL BELT","ADV011","R","SUDBURY","83","82","4","113","0","0","0","282","0","St. Benedict's Catholic Secondary School"
"056","NICKEL BELT","ADV012","R","WAHNAPITAE","76","33","7","20","0","0","0","136","0","Wahnapitae Community Centre"
"056","NICKEL BELT","ADV013","R","LIVELY","356","226","22","213","1","0","1","819","0","Meadowbrook Village"
"056","NICKEL BELT","ADV014","R","ALBAN","37","14","0","38","0","0","3","92","0","Satellite Office"
"TOTALS:","","","","","16876","5625","810","7451","64","21","11","30858","62276",""
