"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BERARDINETTI","BLANCO-RUIBAL","BUDD","CHOPOWICK","MCKIM","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"084","SCARBOROUGH SOUTHWEST","028","U","TORONTO","38","4","62","46","1","0","0","1","152","382","St. Crispin's Anglican Church"
"084","SCARBOROUGH SOUTHWEST","029","U","TORONTO","52","1","62","47","4","0","2","0","168","385","St. Crispin's Anglican Church"
"084","SCARBOROUGH SOUTHWEST","030","U","TORONTO","61","3","64","47","6","0","0","0","181","363","St. Crispin's Anglican Church"
"084","SCARBOROUGH SOUTHWEST","031","U","SCARBOROUGH","66","1","42","45","9","3","0","2","168","368","St. Paul's United Church"
"084","SCARBOROUGH SOUTHWEST","032","U","SCARBOROUGH","56","0","54","38","8","1","0","0","157","312","St. Paul's United Church"
"084","SCARBOROUGH SOUTHWEST","033","U","SCARBOROUGH","66","0","54","51","4","2","0","0","177","367","St. Paul's United Church"
"084","SCARBOROUGH SOUTHWEST","034","U","SCARBOROUGH","62","1","66","49","9","3","0","0","190","376","St. Paul's United Church"
"084","SCARBOROUGH SOUTHWEST","035","U","SCARBOROUGH","93","1","53","50","5","1","0","0","203","404","Highway Gospel Church"
"084","SCARBOROUGH SOUTHWEST","036","U","SCARBOROUGH","115","1","133","40","4","0","0","0","293","583","Highway Gospel Church"
"084","SCARBOROUGH SOUTHWEST","037","U","SCARBOROUGH","80","1","47","75","4","1","0","0","208","441","John A Leslie Public School"
"084","SCARBOROUGH SOUTHWEST","038","U","SCARBOROUGH","61","0","39","38","6","0","0","0","144","351","John A Leslie Public School"
"084","SCARBOROUGH SOUTHWEST","039","U","SCARBOROUGH","62","1","51","45","8","0","0","0","167","374","John A Leslie Public School"
"084","SCARBOROUGH SOUTHWEST","040","U","SCARBOROUGH","41","2","71","34","6","0","0","0","154","407","Cliffside Public School"
"084","SCARBOROUGH SOUTHWEST","041","U","SCARBOROUGH","41","1","84","27","6","0","0","0","159","375","Cliffside Public School"
"084","SCARBOROUGH SOUTHWEST","042","U","SCARBOROUGH","49","2","36","20","3","0","0","0","110","399","Cliffside Public School"
"084","SCARBOROUGH SOUTHWEST","043","U","SCARBOROUGH","99","0","54","63","4","0","0","0","220","385","Cliffside Public School"
"084","SCARBOROUGH SOUTHWEST","044","U","SCARBOROUGH","71","0","74","59","4","1","0","0","209","416","Cliffside Public School"
"084","SCARBOROUGH SOUTHWEST","045","U","SCARBOROUGH","71","1","39","41","10","0","0","0","162","343","Chine Drive Public School"
"084","SCARBOROUGH SOUTHWEST","046","U","SCARBOROUGH","69","0","50","60","7","0","0","0","186","311","Chine Drive Public School"
"084","SCARBOROUGH SOUTHWEST","047","U","SCARBOROUGH","68","1","62","78","5","0","0","0","214","580","Scarboro Missions"
"084","SCARBOROUGH SOUTHWEST","048","U","SCARBOROUGH","112","1","51","102","11","0","0","0","277","544","Scarboro Missions"
"084","SCARBOROUGH SOUTHWEST","049","U","SCARBOROUGH","80","1","48","44","4","0","0","0","177","387","Ha Halbert Junior Public School"
"084","SCARBOROUGH SOUTHWEST","050","U","SCARBOROUGH","77","0","52","74","5","0","0","0","208","418","Ha Halbert Junior Public School"
"084","SCARBOROUGH SOUTHWEST","051","U","SCARBOROUGH","86","3","39","74","1","0","0","0","203","383","Ha Halbert Junior Public School"
"084","SCARBOROUGH SOUTHWEST","052","U","SCARBOROUGH","105","0","47","79","1","0","0","0","232","427","Bliss Carmen Senior Public School"
"084","SCARBOROUGH SOUTHWEST","053","U","SCARBOROUGH","62","2","27","63","3","0","0","0","157","375","Bliss Carmen Senior Public School"
"084","SCARBOROUGH SOUTHWEST","054","U","SCARBOROUGH","70","0","78","47","4","0","0","0","199","428","Bliss Carmen Senior Public School"
"084","SCARBOROUGH SOUTHWEST","055","U","SCARBOROUGH","83","1","49","56","6","1","0","0","196","431","Bliss Carmen Senior Public School"
"084","SCARBOROUGH SOUTHWEST","056","U","SCARBOROUGH","92","0","72","20","2","1","0","0","187","410","Ha Halbert Junior Public School"
"084","SCARBOROUGH SOUTHWEST","057","U","SCARBOROUGH","88","2","71","54","5","0","0","0","220","443","Ha Halbert Junior Public School"
"084","SCARBOROUGH SOUTHWEST","058","U","SCARBOROUGH","99","0","75","63","2","0","0","0","239","477","Ha Halbert Junior Public School"
"084","SCARBOROUGH SOUTHWEST","059","U","SCARBOROUGH","75","2","60","56","9","1","0","0","203","429","Anson Park Public School"
"084","SCARBOROUGH SOUTHWEST","060","U","SCARBOROUGH","82","3","71","49","6","0","0","0","211","432","Anson Park Public School"
"084","SCARBOROUGH SOUTHWEST","061","U","SCARBOROUGH","105","1","49","41","4","0","0","0","200","435","Anson Park Public School"
"084","SCARBOROUGH SOUTHWEST","062","U","TORONTO","103","4","72","24","3","1","1","0","208","399","St. George's Manor Senior Apartment(s)"
"084","SCARBOROUGH SOUTHWEST","063","U","TORONTO","49","0","56","29","8","0","0","0","142","387","St. George's Manor Senior Apartment(s)"
"084","SCARBOROUGH SOUTHWEST","064","U","TORONTO","41","0","36","40","4","1","0","0","122","310","St. George's Manor Senior Apartment(s)"
"084","SCARBOROUGH SOUTHWEST","065","U","TORONTO","64","0","45","37","2","0","0","0","148","324","St. George's Manor Senior Apartment(s)"
"084","SCARBOROUGH SOUTHWEST","066","U","SCARBOROUGH","71","1","38","25","4","0","0","0","139","376","Robert Servce Senior Public School"
"084","SCARBOROUGH SOUTHWEST","067","U","SCARBOROUGH","72","1","29","45","2","0","0","0","149","380","Robert Servce Senior Public School"
"084","SCARBOROUGH SOUTHWEST","068","U","SCARBOROUGH","68","3","46","42","4","0","1","0","164","371","Walter Perry Junior Public School"
"084","SCARBOROUGH SOUTHWEST","069","U","SCARBOROUGH","95","1","62","33","6","2","0","0","199","419","Walter Perry Junior Public School"
"084","SCARBOROUGH SOUTHWEST","070","U","SCARBOROUGH","64","1","61","24","5","0","0","0","155","388","Walter Perry Junior Public School"
"084","SCARBOROUGH SOUTHWEST","071","U","SCARBOROUGH","63","2","48","31","2","0","0","0","146","401","Robert Servce Senior Public School"
"084","SCARBOROUGH SOUTHWEST","072A","U","TORONTO","74","0","46","4","0","1","1","0","126","322","Gordonridge Community Centre"
"084","SCARBOROUGH SOUTHWEST","072B","U","TORONTO","79","4","47","6","1","0","0","0","137","367","Gordonridge Community Centre"
"084","SCARBOROUGH SOUTHWEST","073","U","TORONTO","31","3","40","5","1","0","0","0","80","232","Gordonridge Community Centre"
"084","SCARBOROUGH SOUTHWEST","074","U","SCARBOROUGH","80","1","49","37","2","0","2","0","171","381","Norman Cook Junior Public School"
"084","SCARBOROUGH SOUTHWEST","075","U","SCARBOROUGH","69","1","49","24","2","1","0","0","146","340","Norman Cook Junior Public School"
"084","SCARBOROUGH SOUTHWEST","076","U","SCARBOROUGH","77","3","47","30","7","1","2","0","167","362","Norman Cook Junior Public School"
"084","SCARBOROUGH SOUTHWEST","077","U","TORONTO","88","2","47","22","1","0","0","0","160","358","Konko Church of Toronto"
"084","SCARBOROUGH SOUTHWEST","078","U","TORONTO","64","0","42","35","3","1","0","0","145","320","Konko Church of Toronto"
"084","SCARBOROUGH SOUTHWEST","079","U","TORONTO","69","1","45","33","1","2","0","0","151","307","Konko Church of Toronto"
"084","SCARBOROUGH SOUTHWEST","080","U","SCARBOROUGH","28","0","9","3","0","0","0","0","40","219","J. G. Workman Public School"
"084","SCARBOROUGH SOUTHWEST","081","U","SCARBOROUGH","69","2","29","20","4","1","0","0","125","275","J. G. Workman Public School"
"084","SCARBOROUGH SOUTHWEST","082","U","SCARBOROUGH","64","1","40","27","3","0","1","0","136","354","J. G. Workman Public School"
"084","SCARBOROUGH SOUTHWEST","083","U","SCARBOROUGH","89","0","41","35","7","0","1","0","173","441","J. G. Workman Public School"
"084","SCARBOROUGH SOUTHWEST","084","U","SCARBOROUGH","82","2","65","43","9","0","0","0","201","427","J. G. Workman Public School"
"084","SCARBOROUGH SOUTHWEST","085","U","SCARBOROUGH","96","0","88","29","7","1","0","0","221","512","Danforth Gardens Public School"
"084","SCARBOROUGH SOUTHWEST","086","U","SCARBOROUGH","48","0","39","14","6","2","0","0","109","335","Danforth Gardens Public School"
"084","SCARBOROUGH SOUTHWEST","087","U","SCARBOROUGH","53","2","42","16","2","0","0","0","115","412","Danforth Gardens Public School"
"084","SCARBOROUGH SOUTHWEST","088","U","SCARBOROUGH","69","0","70","27","9","1","0","0","176","363","Danforth Gardens Public School"
"084","SCARBOROUGH SOUTHWEST","089","U","SCARBOROUGH","102","1","75","23","6","2","0","0","209","426","Danforth Gardens Public School"
"084","SCARBOROUGH SOUTHWEST","090A","U","SCARBOROUGH","90","0","69","19","1","0","0","0","179","438","Ina Grafton Gage Home"
"084","SCARBOROUGH SOUTHWEST","090B","U","SCARBOROUGH","79","1","77","27","1","0","0","0","185","431","Ina Grafton Gage Home"
"084","SCARBOROUGH SOUTHWEST","091","U","SCARBOROUGH","45","1","23","8","2","0","2","0","81","320","Warden Avenue Public School"
"084","SCARBOROUGH SOUTHWEST","092","U","SCARBOROUGH","72","1","51","6","0","0","1","0","131","417","Warden Avenue Public School"
"084","SCARBOROUGH SOUTHWEST","093","U","SCARBOROUGH","128","3","96","54","5","0","0","0","286","606","Warden Avenue Public School"
"084","SCARBOROUGH SOUTHWEST","094","U","SCARBOROUGH","62","0","61","37","5","0","0","1","166","429","Warden Avenue Public School"
"084","SCARBOROUGH SOUTHWEST","095","U","SCARBOROUGH","61","0","50","34","7","2","0","0","154","417","Warden Avenue Public School"
"084","SCARBOROUGH SOUTHWEST","096","U","SCARBOROUGH","73","1","41","26","4","0","0","0","145","368","Warden Avenue Public School"
"084","SCARBOROUGH SOUTHWEST","097","U","SCARBOROUGH","98","2","61","29","3","0","0","0","193","449","Oakridge Public School"
"084","SCARBOROUGH SOUTHWEST","098","U","SCARBOROUGH","65","1","53","32","12","0","0","0","163","419","Oakridge Public School"
"084","SCARBOROUGH SOUTHWEST","099","U","SCARBOROUGH","72","1","47","24","3","1","0","0","148","409","Oakridge Public School"
"084","SCARBOROUGH SOUTHWEST","100","U","SCARBOROUGH","87","3","53","27","1","1","0","0","172","423","Oakridge Public School"
"084","SCARBOROUGH SOUTHWEST","101","U","SCARBOROUGH","58","0","56","12","4","2","1","0","133","437","Oakridge Public School"
"084","SCARBOROUGH SOUTHWEST","102","U","SCARBOROUGH","94","2","61","33","4","1","0","0","195","454","Oakridge Public School"
"084","SCARBOROUGH SOUTHWEST","103","U","TORONTO","55","0","35","8","2","0","0","0","100","345","Oakridge Community Centre"
"084","SCARBOROUGH SOUTHWEST","104","U","TORONTO","55","0","24","5","1","0","0","0","85","301","Oakridge Community Centre"
"084","SCARBOROUGH SOUTHWEST","105","U","TORONTO","64","0","34","3","0","1","1","0","103","302","Oakridge Community Centre"
"084","SCARBOROUGH SOUTHWEST","106","U","TORONTO","76","0","37","8","2","0","2","0","125","337","Oakridge Community Centre"
"084","SCARBOROUGH SOUTHWEST","107","U","SCARBOROUGH","54","0","60","20","4","3","1","0","142","398","West Scarborough Neighbourhood Community Centre"
"084","SCARBOROUGH SOUTHWEST","108","U","SCARBOROUGH","80","3","54","42","7","1","0","0","187","458","West Scarborough Neighbourhood Community Centre"
"084","SCARBOROUGH SOUTHWEST","109","U","SCARBOROUGH","86","3","50","39","2","0","0","0","180","432","West Scarborough Neighbourhood Community Centre"
"084","SCARBOROUGH SOUTHWEST","110","U","SCARBOROUGH","67","0","53","53","6","1","0","1","181","448","West Scarborough Neighbourhood Community Centre"
"084","SCARBOROUGH SOUTHWEST","111","U","SCARBOROUGH","79","3","44","14","8","0","0","0","148","413","West Scarborough Neighbourhood Community Centre"
"084","SCARBOROUGH SOUTHWEST","112","U","SCARBOROUGH","57","1","51","33","6","1","0","0","149","409","West Scarborough Neighbourhood Community Centre"
"084","SCARBOROUGH SOUTHWEST","113","U","SCARBOROUGH","101","3","67","34","6","1","0","1","213","439","Our Lady of Fatima Catholic School"
"084","SCARBOROUGH SOUTHWEST","114","U","SCARBOROUGH","90","0","75","58","4","2","2","1","232","452","Our Lady of Fatima Catholic School"
"084","SCARBOROUGH SOUTHWEST","115","U","SCARBOROUGH","98","0","58","50","8","0","0","0","214","448","Our Lady of Fatima Catholic School"
"084","SCARBOROUGH SOUTHWEST","116","U","SCARBOROUGH","74","1","56","40","5","2","1","1","180","390","Clairlea Public School"
"084","SCARBOROUGH SOUTHWEST","117A","U","SCARBOROUGH","75","1","52","33","2","1","0","0","164","364","Satec at Porter Collegiate"
"084","SCARBOROUGH SOUTHWEST","117B","U","SCARBOROUGH","86","0","52","35","4","0","0","0","177","344","Satec at Porter Collegiate"
"084","SCARBOROUGH SOUTHWEST","118","U","SCARBOROUGH","115","4","77","63","9","0","0","0","268","571","Satec at Porter Collegiate"
"084","SCARBOROUGH SOUTHWEST","119","U","SCARBOROUGH","82","2","53","57","5","0","0","0","199","429","Clairlea Public School"
"084","SCARBOROUGH SOUTHWEST","120","U","SCARBOROUGH","95","2","47","40","3","0","0","0","187","430","Clairlea Public School"
"084","SCARBOROUGH SOUTHWEST","121","U","SCARBOROUGH","41","1","44","12","1","1","0","0","100","432","Clairlea Public School"
"084","SCARBOROUGH SOUTHWEST","122A","U","SCARBOROUGH","83","1","61","27","3","0","0","0","175","388","Warden Hilltop Community Centre"
"084","SCARBOROUGH SOUTHWEST","122B","U","SCARBOROUGH","105","3","79","35","2","2","0","0","226","434","Warden Hilltop Community Centre"
"084","SCARBOROUGH SOUTHWEST","123","U","SCARBOROUGH","115","0","88","50","3","0","0","0","256","529","General Brock Public School"
"084","SCARBOROUGH SOUTHWEST","124","U","SCARBOROUGH","66","6","85","53","4","0","0","0","214","432","General Brock Public School"
"084","SCARBOROUGH SOUTHWEST","125","U","SCARBOROUGH","86","0","59","47","2","1","0","0","195","458","General Brock Public School"
"084","SCARBOROUGH SOUTHWEST","126","U","TORONTO","52","1","54","26","2","0","0","0","135","407","Walton Place"
"084","SCARBOROUGH SOUTHWEST","127","U","TORONTO","76","0","60","33","3","1","1","0","174","428","Walton Place"
"084","SCARBOROUGH SOUTHWEST","128","U","TORONTO","98","2","53","20","8","0","1","0","182","438","Walton Place"
"084","SCARBOROUGH SOUTHWEST","129","U","TORONTO","65","2","45","19","0","0","0","0","131","414","Walton Place"
"084","SCARBOROUGH SOUTHWEST","130","U","TORONTO","40","2","37","16","2","0","0","0","97","401","Walton Place"
"084","SCARBOROUGH SOUTHWEST","131","U","TORONTO","43","2","43","7","0","0","0","0","95","333","Walton Place"
"084","SCARBOROUGH SOUTHWEST","132","U","SCARBOROUGH","9","0","13","2","0","1","0","0","25","107","St.Maria Goretti Catholic School"
"084","SCARBOROUGH SOUTHWEST","133","U","SCARBOROUGH","53","1","37","7","0","0","0","0","98","253","St.Maria Goretti Catholic School"
"084","SCARBOROUGH SOUTHWEST","134","U","SCARBOROUGH","96","0","46","13","3","1","0","0","159","409","St.Maria Goretti Catholic School"
"084","SCARBOROUGH SOUTHWEST","135","U","SCARBOROUGH","68","0","42","35","5","0","0","0","150","396","St.Maria Goretti Catholic School"
"084","SCARBOROUGH SOUTHWEST","136","U","SCARBOROUGH","92","0","54","32","1","1","0","0","180","398","Corvette Public School"
"084","SCARBOROUGH SOUTHWEST","137","U","SCARBOROUGH","99","5","55","29","0","0","0","0","188","507","Corvette Public School"
"084","SCARBOROUGH SOUTHWEST","138","U","SCARBOROUGH","96","2","50","28","2","1","0","0","179","469","Corvette Public School"
"084","SCARBOROUGH SOUTHWEST","139","U","SCARBOROUGH","34","0","33","10","0","1","0","0","78","224","Corvette Public School"
"084","SCARBOROUGH SOUTHWEST","140","U","SCARBOROUGH","62","2","33","7","0","0","0","0","104","316","Corvette Public School"
"084","SCARBOROUGH SOUTHWEST","141","U","SCARBOROUGH","60","1","32","11","2","0","0","0","106","249","St.Maria Goretti Catholic School"
"084","SCARBOROUGH SOUTHWEST","142","U","SCARBOROUGH","101","2","65","32","4","0","1","0","205","421","St.Maria Goretti Catholic School"
"084","SCARBOROUGH SOUTHWEST","143","U","SCARBOROUGH","75","2","47","35","1","0","1","0","161","408","Gus Harris Place"
"084","SCARBOROUGH SOUTHWEST","144","U","SCARBOROUGH","54","0","26","21","2","0","0","0","103","220","Gus Harris Place"
"084","SCARBOROUGH SOUTHWEST","145","U","SCARBOROUGH","137","6","62","42","4","0","1","0","252","522","Gus Harris Place"
"084","SCARBOROUGH SOUTHWEST","146","U","SCARBOROUGH","40","0","39","20","2","0","0","0","101","350","Ionview Public School"
"084","SCARBOROUGH SOUTHWEST","147","U","SCARBOROUGH","97","2","36","43","0","2","1","0","181","434","Ionview Public School"
"084","SCARBOROUGH SOUTHWEST","148","U","SCARBOROUGH","123","0","61","35","2","0","0","0","221","455","Ionview Public School"
"084","SCARBOROUGH SOUTHWEST","149","U","SCARBOROUGH","86","8","52","50","6","0","1","0","203","435","Ionview Public School"
"084","SCARBOROUGH SOUTHWEST","150","U","SCARBOROUGH","59","2","63","26","2","1","0","0","153","458","Ionview Public School"
"084","SCARBOROUGH SOUTHWEST","151","U","SCARBOROUGH","67","4","62","20","3","0","0","0","156","415","Ionview Public School"
"084","SCARBOROUGH SOUTHWEST","152","U","SCARBOROUGH","85","2","54","31","2","1","0","0","175","441","Ionview Public School"
"084","SCARBOROUGH SOUTHWEST","153","U","SCARBOROUGH","137","3","35","30","5","0","0","0","210","435","Ionview Public School"
"084","SCARBOROUGH SOUTHWEST","154","U","TORONTO","63","2","50","42","4","1","0","0","162","409","Jack Goodlad Community Centre"
"084","SCARBOROUGH SOUTHWEST","155","U","TORONTO","45","1","38","15","0","2","0","0","101","382","Jack Goodlad Community Centre"
"084","SCARBOROUGH SOUTHWEST","156","U","TORONTO","107","0","50","35","3","0","0","0","195","459","Jack Goodlad Community Centre"
"084","SCARBOROUGH SOUTHWEST","157","U","TORONTO","57","3","60","44","3","0","0","0","167","416","Jack Goodlad Community Centre"
"084","SCARBOROUGH SOUTHWEST","400","U","TORONTO","101","0","61","43","4","0","0","0","209","302","Henley Gardens"
"084","SCARBOROUGH SOUTHWEST","401","U","TORONTO","88","1","56","53","2","0","0","0","200","286","757 Victoria Park Avenue"
"084","SCARBOROUGH SOUTHWEST","402A","U","SCARBOROUGH","82","0","50","9","1","0","1","0","143","304","Cambridge Place"
"084","SCARBOROUGH SOUTHWEST","402B","U","SCARBOROUGH","58","1","41","9","0","0","0","0","109","262","Cambridge Place"
"084","SCARBOROUGH SOUTHWEST","403","U","SCARBOROUGH","61","0","33","16","2","1","0","0","113","323","West Scarborough Neighbourhood Community Centre"
"084","SCARBOROUGH SOUTHWEST","404","U","SCARBOROUGH","47","1","43","5","0","0","0","0","96","254","West Scarborough Neighbourhood Community Centre"
"084","SCARBOROUGH SOUTHWEST","405","U","SCARBOROUGH","37","0","22","10","0","0","0","0","69","209","West Scarborough Neighbourhood Community Centre"
"084","SCARBOROUGH SOUTHWEST","406","U","TORONTO","46","3","34","15","2","0","0","0","100","184","Byng Towers Senior Apartment(s)"
"084","SCARBOROUGH SOUTHWEST","407","U","TORONTO","116","0","62","60","1","0","0","0","239","447","1 Greystone Walk Drive"
"084","SCARBOROUGH SOUTHWEST","408","U","TORONTO","125","4","68","62","3","1","0","0","263","492","3/5 Greystone Walk Drive"
"084","SCARBOROUGH SOUTHWEST","409","U","TORONTO","101","1","71","44","4","0","0","0","221","505","3/5 Greystone Walk Drive"
"084","SCARBOROUGH SOUTHWEST","410","U","SCARBOROUGH","65","1","78","29","0","0","0","0","173","405","Bic Fortune Tower"
"084","SCARBOROUGH SOUTHWEST","411","U","TORONTO","112","0","91","36","1","1","2","0","243","442","Sterling Club"
"084","SCARBOROUGH SOUTHWEST","700","U","SCARBOROUGH","11","0","14","17","0","1","0","0","43","199","Chester Village"
"084","SCARBOROUGH SOUTHWEST","701","U","SCARBOROUGH","16","2","11","5","2","0","1","0","37","132","Ina Grafton Gage Home"
"084","SCARBOROUGH SOUTHWEST","702","U","SCARBOROUGH","4","0","1","1","0","0","0","0","6","27","Providence Healthcare"
"084","SCARBOROUGH SOUTHWEST","703","U","SCARBOROUGH","68","3","16","20","3","10","0","0","120","285","House's of Providence"
"084","SCARBOROUGH SOUTHWEST","704","U","SCARBOROUGH","29","0","14","20","0","1","4","0","68","82","Retirement Suites By the Lake"
"084","SCARBOROUGH SOUTHWEST","705","U","TORONTO","14","2","11","11","2","1","0","0","41","192","Craiglee Nursing Home"
"084","SCARBOROUGH SOUTHWEST","706","U","TORONTO","43","3","22","17","2","0","1","0","88","291","Leisureworld Caregiving Centre"
"084","SCARBOROUGH SOUTHWEST","707","U","SCARBOROUGH","26","1","8","17","4","1","0","0","57","115","Kingsway Arms at McCowan"
"084","SCARBOROUGH SOUTHWEST","708","U","TORONTO","25","1","10","10","0","0","0","0","46","188","Trilogy"
"084","SCARBOROUGH SOUTHWEST","ADV001","U","SCARBOROUGH","356","6","274","197","17","0","0","0","850","0","Returning Office / Bureau du directeur du scrutin"
"084","SCARBOROUGH SOUTHWEST","ADV002","U","SCARBOROUGH","129","5","108","86","4","1","0","0","333","0","Special Ballot Voting / Vote par bulletin spécial"
"084","SCARBOROUGH SOUTHWEST","ADV003","U","SCARBOROUGH","238","5","157","213","13","1","0","2","629","0","Scarboro Missions Ap"
"084","SCARBOROUGH SOUTHWEST","ADV004","U","SCARBOROUGH","211","0","184","178","20","0","0","0","593","0","Royal Canadian Legion Branch 13 Ap"
"084","SCARBOROUGH SOUTHWEST","ADV005","U","SCARBOROUGH","287","2","155","168","12","4","0","0","628","0","West Scarborough Neighbourhood Community Centre"
"TOTALS:","","","","","14585","250","10404","7061","777","102","43","10","33232","69553",""
