"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AGOVINO","BROWN","BROWN","VETTESE","ZIMMER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"101","WILLOWDALE","022","U","TORONTO","48","34","1","3","96","0","0","0","182","441","Willowdale Lawn Bowling Club"
"101","WILLOWDALE","023","U","TORONTO","48","28","1","5","102","0","0","0","184","365","Cameron Public School"
"101","WILLOWDALE","024","U","TORONTO","57","21","1","8","93","0","0","0","180","431","St. Edward the Confessor Church"
"101","WILLOWDALE","025","U","TORONTO","65","23","0","3","54","0","0","0","145","422","St. Edward the Confessor Church"
"101","WILLOWDALE","026","U","TORONTO","121","27","0","5","122","0","1","2","278","414","Cameron Public School"
"101","WILLOWDALE","027","U","TORONTO","72","19","2","12","133","1","0","0","239","419","Cameron Public School"
"101","WILLOWDALE","028","U","TORONTO","80","22","1","3","81","0","0","0","187","429","Cameron Public School"
"101","WILLOWDALE","029","U","TORONTO","45","22","2","1","84","1","0","0","155","458","Avondale Schools"
"101","WILLOWDALE","030","U","TORONTO","27","20","2","3","100","2","0","0","154","532","Avondale Schools"
"101","WILLOWDALE","031","U","TORONTO","54","25","3","11","82","0","0","0","175","367","Avondale Schools"
"101","WILLOWDALE","032","U","TORONTO","14","3","0","3","31","0","0","0","51","130","Spring Garden Baptist Church"
"101","WILLOWDALE","033","U","TORONTO","34","26","1","4","57","0","0","1","123","371","Spring Garden Baptist Church"
"101","WILLOWDALE","034","U","TORONTO","63","27","0","4","90","0","1","0","185","490","Spring Garden Baptist Church"
"101","WILLOWDALE","035","U","TORONTO","30","14","0","6","85","0","0","0","135","308","St. Elizabeth of Hungary Church"
"101","WILLOWDALE","036","U","TORONTO","44","15","1","1","53","0","0","0","114","281","St. Elizabeth of Hungary Church"
"101","WILLOWDALE","037","U","TORONTO","40","12","0","4","44","0","0","1","101","269","St. Elizabeth of Hungary Church"
"101","WILLOWDALE","038","U","TORONTO","70","17","0","5","54","0","0","0","146","410","St. Elizabeth of Hungary Church"
"101","WILLOWDALE","039","U","TORONTO","58","14","3","5","45","0","0","0","125","365","St. Elizabeth of Hungary Church"
"101","WILLOWDALE","040","U","TORONTO","67","15","0","5","69","3","0","0","159","479","Loblaws - Bayview Village Cooking School"
"101","WILLOWDALE","041","U","TORONTO","50","6","1","1","81","0","0","0","139","450","Loblaws - Bayview Village Cooking School"
"101","WILLOWDALE","042","U","TORONTO","65","17","0","3","93","0","0","0","178","513","Earl Haig Secondary School"
"101","WILLOWDALE","043","U","TORONTO","70","16","2","7","82","0","0","2","179","535","Earl Haig Secondary School"
"101","WILLOWDALE","044","U","TORONTO","23","16","0","7","26","0","0","0","72","195","Earl Haig Secondary School"
"101","WILLOWDALE","045","U","TORONTO","34","23","0","6","65","0","0","0","128","381","Earl Haig Secondary School"
"101","WILLOWDALE","046","U","TORONTO","51","20","2","5","81","0","1","0","160","402","McKee Public School"
"101","WILLOWDALE","047","U","TORONTO","46","14","2","3","60","0","0","0","125","371","Mitchell Field Community Centre"
"101","WILLOWDALE","048","U","TORONTO","38","8","1","1","63","0","1","0","112","399","Mitchell Field Community Centre"
"101","WILLOWDALE","049","U","TORONTO","46","16","1","3","59","0","0","0","125","362","Mitchell Field Community Centre"
"101","WILLOWDALE","050","U","TORONTO","53","11","0","2","57","0","1","0","124","376","All Saints Greek Orthodox Centre"
"101","WILLOWDALE","051","U","TORONTO","77","12","0","1","84","0","0","0","174","498","All Saints Greek Orthodox Centre"
"101","WILLOWDALE","052","U","TORONTO","45","14","3","4","55","0","0","0","121","370","All Saints Greek Orthodox Centre"
"101","WILLOWDALE","053","U","TORONTO","67","21","1","3","80","0","0","2","174","440","Finch Public School"
"101","WILLOWDALE","054","U","TORONTO","69","11","0","5","78","1","0","0","164","546","Finch Public School"
"101","WILLOWDALE","055","U","TORONTO","35","15","2","0","103","0","0","0","155","478","Mitchell Field Community Centre"
"101","WILLOWDALE","056","U","TORONTO","43","27","1","3","110","0","1","0","185","538","Mitchell Field Community Centre"
"101","WILLOWDALE","057","U","TORONTO","38","16","1","4","42","1","1","0","103","370","McKee Public School"
"101","WILLOWDALE","058","U","TORONTO","24","8","0","1","42","0","0","0","75","319","McKee Public School"
"101","WILLOWDALE","059","U","TORONTO","44","24","0","3","98","0","0","0","169","542","Willowdale Baptist Church"
"101","WILLOWDALE","060","U","TORONTO","18","21","0","1","44","0","0","0","84","319","Willowdale Baptist Church"
"101","WILLOWDALE","061","U","TORONTO","100","37","3","5","114","1","0","0","260","555","Finch Public School"
"101","WILLOWDALE","062","U","TORONTO","85","14","2","2","89","1","0","0","193","487","Willowdale Pentecostal Church"
"101","WILLOWDALE","063","U","TORONTO","45","22","0","4","70","0","0","0","141","321","Griffin Centre"
"101","WILLOWDALE","064","U","TORONTO","58","35","0","4","80","0","0","0","177","422","Griffin Centre"
"101","WILLOWDALE","065","U","TORONTO","28","13","0","2","48","0","0","0","91","405","Wellspring Worship Centre"
"101","WILLOWDALE","066","U","TORONTO","46","18","0","1","78","0","0","0","143","345","Wellspring Worship Centre"
"101","WILLOWDALE","067","U","TORONTO","86","24","3","3","115","0","2","0","233","534","Willowdale Pentecostal Church"
"101","WILLOWDALE","068","U","TORONTO","70","23","0","5","103","0","0","0","201","502","Willowdale Pentecostal Church"
"101","WILLOWDALE","069","U","TORONTO","35","8","1","3","98","0","0","0","145","327","Willowdale Pentecostal Church"
"101","WILLOWDALE","070","U","TORONTO","64","6","1","0","92","0","0","0","163","443","Brebeuf College School"
"101","WILLOWDALE","071","U","TORONTO","49","13","0","1","78","0","0","0","141","366","Brebeuf College School"
"101","WILLOWDALE","072","U","TORONTO","74","35","1","1","88","0","0","0","199","422","Brebeuf College School"
"101","WILLOWDALE","073","U","TORONTO","78","17","1","5","78","0","0","0","179","471","Brebeuf College School"
"101","WILLOWDALE","074","U","TORONTO","58","18","1","0","105","2","0","0","184","413","Wellspring Worship Centre"
"101","WILLOWDALE","075","U","TORONTO","74","13","1","0","72","1","1","0","162","395","Lillian Public School"
"101","WILLOWDALE","076","U","TORONTO","39","12","1","8","86","0","0","0","146","364","Lillian Public School"
"101","WILLOWDALE","077","U","TORONTO","55","24","1","1","98","1","1","0","181","427","Lillian Public School"
"101","WILLOWDALE","078","U","TORONTO","39","21","0","1","68","0","0","0","129","327","St. Gabriel's Passionist Parish"
"101","WILLOWDALE","079","U","TORONTO","37","19","0","2","60","1","0","0","119","355","St. Gabriel's Passionist Parish"
"101","WILLOWDALE","080","U","TORONTO","52","8","0","4","37","1","0","0","102","310","Elkhorn Public School"
"101","WILLOWDALE","081","U","TORONTO","87","16","0","1","103","0","1","0","208","530","Elkhorn Public School"
"101","WILLOWDALE","082","U","TORONTO","120","24","1","6","114","0","0","0","265","577","Elkhorn Public School"
"101","WILLOWDALE","083","U","TORONTO","41","32","3","3","72","0","1","0","152","443","Loblaws - Bayview Village Cooking School"
"101","WILLOWDALE","084","U","TORONTO","70","13","0","2","93","0","0","0","178","403","Bayview Middle School"
"101","WILLOWDALE","085","U","TORONTO","94","14","2","3","108","0","1","0","222","456","Bayview Middle School"
"101","WILLOWDALE","086","U","TORONTO","105","12","2","6","111","0","0","0","236","471","Forest Grove United Church"
"101","WILLOWDALE","087","U","TORONTO","93","24","3","3","102","0","1","0","226","410","Bayview Middle School"
"101","WILLOWDALE","088","U","TORONTO","74","23","2","5","92","1","0","0","197","415","Bayview Middle School"
"101","WILLOWDALE","089","U","TORONTO","69","14","0","6","119","0","0","0","208","485","All Saints Greek Orthodox Centre"
"101","WILLOWDALE","090","U","TORONTO","76","14","0","2","105","0","0","0","197","441","Forest Grove United Church"
"101","WILLOWDALE","091","U","TORONTO","75","19","0","3","103","1","0","0","201","405","Prestige School"
"101","WILLOWDALE","092","U","TORONTO","104","14","2","3","108","0","0","0","231","420","Prestige School"
"101","WILLOWDALE","093","U","TORONTO","27","14","1","2","40","2","0","0","86","362","St. Leonard's Catholic School"
"101","WILLOWDALE","094","U","TORONTO","44","27","0","3","87","0","0","0","161","422","St. Leonard's Catholic School"
"101","WILLOWDALE","095","U","TORONTO","42","18","2","1","95","1","0","0","159","463","St. Leonard's Catholic School"
"101","WILLOWDALE","096","U","TORONTO","5","12","0","2","50","1","0","0","70","209","St. Leonard's Catholic School"
"101","WILLOWDALE","097","U","TORONTO","18","10","1","4","37","0","0","0","70","177","Zion Junior High School"
"101","WILLOWDALE","098","U","TORONTO","37","9","3","4","52","0","0","0","105","281","Pineway Public School"
"101","WILLOWDALE","099","U","TORONTO","68","17","0","0","114","0","0","0","199","487","Bayview Arena"
"101","WILLOWDALE","100","U","TORONTO","51","13","1","1","62","0","1","0","129","299","Bayview Arena"
"101","WILLOWDALE","101","U","TORONTO","57","16","3","1","72","1","0","0","150","387","Lester B. Pearson Elementary and Middle School"
"101","WILLOWDALE","102","U","TORONTO","64","6","0","0","67","0","0","0","137","405","Lester B. Pearson Elementary and Middle School"
"101","WILLOWDALE","103","U","TORONTO","56","17","1","6","113","0","0","0","193","408","Lester B. Pearson Elementary and Middle School"
"101","WILLOWDALE","104","U","TORONTO","102","36","3","1","86","2","0","0","230","557","Pineway Public School"
"101","WILLOWDALE","105","U","TORONTO","109","41","0","3","105","1","1","0","260","532","Pineway Public School"
"101","WILLOWDALE","106","U","TORONTO","48","27","1","4","76","0","0","0","156","381","Zion Junior High School"
"101","WILLOWDALE","107","U","TORONTO","50","16","0","3","61","0","0","0","130","358","Cummer Park Community Centre"
"101","WILLOWDALE","108","U","TORONTO","77","10","1","0","77","5","1","0","171","485","Cummer Park Community Centre"
"101","WILLOWDALE","109","U","TORONTO","49","18","0","2","77","0","0","0","146","362","Steelesview Public School"
"101","WILLOWDALE","110","U","TORONTO","69","21","0","2","93","0","0","0","185","417","Steelesview Public School"
"101","WILLOWDALE","111","U","TORONTO","60","10","1","1","74","0","0","0","146","347","Tyndale University College and  Seminary"
"101","WILLOWDALE","112","U","TORONTO","81","16","0","4","79","0","0","2","182","377","Steelesview Public School"
"101","WILLOWDALE","113","U","TORONTO","76","12","0","2","77","0","1","0","168","374","Steelesview Public School"
"101","WILLOWDALE","114","U","TORONTO","39","28","0","1","53","1","0","1","123","495","Immanuel Baptist Church"
"101","WILLOWDALE","115","U","TORONTO","69","29","1","5","99","0","0","0","203","451","St. Leonard's Catholic School"
"101","WILLOWDALE","116","U","TORONTO","26","18","0","4","29","0","0","0","77","205","Immanuel Baptist Church"
"101","WILLOWDALE","117","U","TORONTO","44","17","0","0","94","0","1","0","156","394","Zion Junior High School"
"101","WILLOWDALE","118","U","TORONTO","51","20","2","2","113","0","0","0","188","459","A. Y. Jackson Secondary School"
"101","WILLOWDALE","119","U","TORONTO","73","29","0","0","77","0","0","0","179","460","Cresthaven Public School"
"101","WILLOWDALE","120","U","TORONTO","41","17","0","2","54","1","0","0","115","417","Cresthaven Public School"
"101","WILLOWDALE","121","U","TORONTO","59","42","4","3","107","1","2","0","218","498","Hillmount Public School"
"101","WILLOWDALE","122","U","TORONTO","54","18","1","2","76","0","0","0","151","332","Hillmount Public School"
"101","WILLOWDALE","123","U","TORONTO","45","15","0","3","80","1","0","0","144","330","Cresthaven Public School"
"101","WILLOWDALE","124","U","TORONTO","39","17","0","3","48","0","0","0","107","344","Cliffwood Public School"
"101","WILLOWDALE","125","U","TORONTO","59","17","0","5","98","2","0","0","181","367","Highland Junior High School"
"101","WILLOWDALE","126","U","TORONTO","54","25","1","2","72","0","0","2","156","362","Hillmount Public School"
"101","WILLOWDALE","127","U","TORONTO","91","27","1","2","93","1","0","0","215","518","Highland Junior High School"
"101","WILLOWDALE","128","U","TORONTO","106","25","0","6","100","0","0","0","237","494","Highland Junior High School"
"101","WILLOWDALE","129","U","TORONTO","65","32","1","3","76","1","0","0","178","449","Arbor Glen Public School"
"101","WILLOWDALE","130","U","TORONTO","69","16","0","3","60","0","0","0","148","362","Highland Junior High School"
"101","WILLOWDALE","131","U","TORONTO","92","32","0","5","100","0","1","0","230","506","Cliffwood Public School"
"101","WILLOWDALE","132","U","TORONTO","72","21","1","3","98","0","0","0","195","417","Cliffwood Public School"
"101","WILLOWDALE","133","U","TORONTO","75","24","1","2","60","1","0","0","163","479","A. Y. Jackson Secondary School"
"101","WILLOWDALE","134","U","TORONTO","50","9","3","2","67","1","3","0","135","399","A. Y. Jackson Secondary School"
"101","WILLOWDALE","135","U","TORONTO","75","16","1","3","93","0","0","0","188","463","A. Y. Jackson Secondary School"
"101","WILLOWDALE","136","U","TORONTO","73","12","0","3","63","0","0","0","151","425","A. Y. Jackson Secondary School"
"101","WILLOWDALE","137","U","TORONTO","6","33","2","4","109","1","0","0","155","440","Immanuel Baptist Church"
"101","WILLOWDALE","138","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","",""
"101","WILLOWDALE","139","U","TORONTO","10","5","0","2","29","0","0","0","46","136","St. Gabriel's Passionist Parish"
"101","WILLOWDALE","140","U","TORONTO","32","23","1","1","49","0","0","0","106","324","Arbor Glen Public School"
"101","WILLOWDALE","141","U","TORONTO","34","23","0","4","76","1","0","0","138","330","Arbor Glen Public School"
"101","WILLOWDALE","142","U","TORONTO","2","3","0","0","8","0","2","0","15","84","Cliffwood Public School"
"101","WILLOWDALE","143","U","TORONTO","34","20","3","4","42","1","0","0","104","397","Cameron Public School"
"101","WILLOWDALE","144","U","TORONTO","7","3","1","3","18","0","0","1","33","129","Griffin Centre"
"101","WILLOWDALE","400","U","TORONTO","54","22","2","2","132","0","0","0","212","351","Atrium I"
"101","WILLOWDALE","401","U","TORONTO","59","28","0","5","101","0","0","1","194","421","Residences of Madison Centre"
"101","WILLOWDALE","402","U","TORONTO","72","15","0","4","133","0","0","0","224","381","Manhattan Place"
"101","WILLOWDALE","403","U","TORONTO","22","19","1","0","45","2","1","0","90","263","The Prelude"
"101","WILLOWDALE","404","U","TORONTO","33","24","2","3","69","1","0","0","132","291","Broadway One"
"101","WILLOWDALE","405","U","TORONTO","38","24","2","0","80","0","1","0","145","289","Broadway Two"
"101","WILLOWDALE","406","U","TORONTO","24","27","1","1","53","0","0","0","106","353","Ultima North"
"101","WILLOWDALE","407","U","TORONTO","30","22","0","4","69","0","0","0","125","294","Ultima South"
"101","WILLOWDALE","408","U","TORONTO","61","34","3","7","95","0","2","0","202","434","Peninsula Place"
"101","WILLOWDALE","409","U","TORONTO","25","18","0","1","53","0","0","0","97","156","Park Willow - 65 Ellerslie Avenue"
"101","WILLOWDALE","410","U","TORONTO","57","41","2","3","115","0","0","0","218","439","Park Willow - 55 Elllerslie Avenue"
"101","WILLOWDALE","411","U","TORONTO","48","14","1","1","74","1","0","0","139","423","Royal Arms Condominium"
"101","WILLOWDALE","412","U","TORONTO","97","27","1","6","153","0","0","0","284","449","Skyview"
"101","WILLOWDALE","413","U","TORONTO","23","23","1","0","60","0","0","0","107","278","Dynasty Towers"
"101","WILLOWDALE","414","U","TORONTO","54","39","5","5","87","2","2","0","194","501","Symphony Square"
"101","WILLOWDALE","415","U","TORONTO","20","26","0","3","72","0","0","1","122","262","Sonata"
"101","WILLOWDALE","416","U","TORONTO","20","14","1","5","60","0","0","0","100","294","The Continental"
"101","WILLOWDALE","417","U","TORONTO","22","19","0","4","36","1","0","0","82","232","Meridian Residences"
"101","WILLOWDALE","418","U","TORONTO","52","18","1","3","72","0","0","0","146","442","Skymark Centre at Avondale"
"101","WILLOWDALE","419","U","TORONTO","38","15","1","3","79","0","0","0","136","401","Skymark Centre at Avondale"
"101","WILLOWDALE","420","U","TORONTO","27","28","1","2","65","0","0","0","123","307","Spectrum 1"
"101","WILLOWDALE","421","U","TORONTO","5","12","2","2","30","0","0","0","51","172","The Mansions of Avondale"
"101","WILLOWDALE","422","U","TORONTO","19","15","0","4","38","1","0","0","77","156","The Mansions of Avondale"
"101","WILLOWDALE","423","U","TORONTO","25","15","5","0","52","0","0","0","97","243","Spectrum 2"
"101","WILLOWDALE","424","U","TORONTO","19","16","2","0","60","0","0","0","97","298","Residence of Avondale"
"101","WILLOWDALE","425","U","TORONTO","28","23","0","1","54","1","0","0","107","327","Residence of Avondale"
"101","WILLOWDALE","426","U","TORONTO","3","3","0","0","8","0","0","0","14","43","Pied A Terre - 19 Avondale Avenue"
"101","WILLOWDALE","427","U","TORONTO","12","5","1","0","12","0","0","0","30","135","Avondale Lofts - 1 Avondale Avenue"
"101","WILLOWDALE","428","U","TORONTO","28","23","1","5","57","0","0","0","114","226","Cosmo - 31 Bales Avenue"
"101","WILLOWDALE","429","U","TORONTO","33","18","3","0","39","0","0","0","93","205","Cosmo - 35 Bales Avenue"
"101","WILLOWDALE","430","U","TORONTO","24","12","0","4","74","0","0","0","114","360","Radiance at Minto Gardens"
"101","WILLOWDALE","431","U","TORONTO","23","12","2","1","45","0","0","0","83","204","Bayview Mansion - 2 Clairtrell Road"
"101","WILLOWDALE","432","U","TORONTO","29","13","0","0","39","0","0","0","81","160","Bayview Mansion - 1 Clairtrell Road"
"101","WILLOWDALE","433","U","TORONTO","38","20","2","3","69","1","0","0","133","297","6 Forest Laneway"
"101","WILLOWDALE","434","U","TORONTO","31","25","2","6","103","0","0","0","167","383","4 Forest Laneway"
"101","WILLOWDALE","435","U","TORONTO","39","28","1","5","83","0","1","0","157","354","2 Forest Laneway"
"101","WILLOWDALE","436","U","TORONTO","71","18","0","1","97","0","0","0","187","356","The Pavilion"
"101","WILLOWDALE","437","U","TORONTO","36","22","0","2","60","1","0","0","121","232","Pavilion Del Sol"
"101","WILLOWDALE","438","U","TORONTO","57","28","1","5","104","1","0","0","196","524","Rodeo Walk"
"101","WILLOWDALE","439","U","TORONTO","95","21","0","2","119","0","0","0","237","426","Atrium II"
"101","WILLOWDALE","440","U","TORONTO","51","29","0","1","77","1","1","0","160","406","Platinum 1"
"101","WILLOWDALE","441","U","TORONTO","37","18","0","1","50","0","0","0","106","277","Hollywood Plaza"
"101","WILLOWDALE","442","U","TORONTO","40","19","0","4","55","0","0","0","118","327","Hollywood Plaza"
"101","WILLOWDALE","443","U","TORONTO","21","9","1","0","33","0","0","0","64","277","Loblaws - Empress Market Cooking School"
"101","WILLOWDALE","444","U","TORONTO","45","21","1","1","94","0","1","0","163","432","The Boulevard"
"101","WILLOWDALE","445","U","TORONTO","39","19","0","0","61","0","0","0","119","411","The Pinnacle"
"101","WILLOWDALE","446","U","TORONTO","26","14","1","2","37","0","0","0","80","303","Empress Plaza II"
"101","WILLOWDALE","447","U","TORONTO","40","14","4","5","75","0","1","0","139","395","Royal Pinnacle"
"101","WILLOWDALE","448","U","TORONTO","35","12","1","3","47","0","0","0","98","302","Loblaws - Empress Market Cooking School"
"101","WILLOWDALE","449","U","TORONTO","47","14","2","1","66","0","0","0","130","348","Majestic I"
"101","WILLOWDALE","450","U","TORONTO","24","18","2","4","49","0","0","0","97","304","Kingsdale"
"101","WILLOWDALE","451","U","TORONTO","38","33","0","3","82","0","2","0","158","375","Majestic II"
"101","WILLOWDALE","452","U","TORONTO","27","11","0","2","65","0","0","0","105","275","Imperial I"
"101","WILLOWDALE","453","U","TORONTO","22","18","0","3","50","0","0","0","93","239","Imperial II"
"101","WILLOWDALE","454","U","TORONTO","11","9","0","0","54","0","1","0","75","222","Marquis at Northtown"
"101","WILLOWDALE","455","U","TORONTO","26","10","0","2","41","0","0","0","79","183","Grandview Tower"
"101","WILLOWDALE","456","U","TORONTO","41","16","2","2","67","0","0","0","128","454","Triomphe"
"101","WILLOWDALE","457","U","TORONTO","26","26","1","2","56","1","0","1","113","411","Triomphe"
"101","WILLOWDALE","458","U","TORONTO","30","17","1","1","53","0","0","0","102","219","Parkside"
"101","WILLOWDALE","459","U","TORONTO","17","25","1","5","73","2","0","0","123","432","Grande Triomphe"
"101","WILLOWDALE","460","U","TORONTO","46","26","0","5","64","0","1","0","142","473","Sommerset Way"
"101","WILLOWDALE","461","U","TORONTO","29","18","1","5","51","0","3","0","107","323","Monet"
"101","WILLOWDALE","462","U","TORONTO","22","13","2","3","33","2","0","0","75","181","Monaco"
"101","WILLOWDALE","463","U","TORONTO","18","15","1","1","31","0","0","0","66","200","Princess Place #20 Olive Avenue"
"101","WILLOWDALE","464","U","TORONTO","17","14","1","2","44","0","0","0","78","259","Princess Place #22 Olive Avenue"
"101","WILLOWDALE","465","U","TORONTO","12","12","0","2","33","0","0","0","59","190","Princess Place #22 Olive Avenue"
"101","WILLOWDALE","466","U","TORONTO","19","11","0","6","30","0","0","0","66","177","Princess Place #28 Olive Avenue"
"101","WILLOWDALE","467","U","TORONTO","27","23","3","1","78","0","0","0","132","322","The Chicago"
"101","WILLOWDALE","468","U","TORONTO","31","33","0","0","90","0","0","0","154","553","The Galleria"
"101","WILLOWDALE","469","U","TORONTO","21","9","0","1","33","0","0","0","64","189","The Park Lane I"
"101","WILLOWDALE","470","U","TORONTO","21","13","0","0","32","0","0","0","66","165","The Plaza"
"101","WILLOWDALE","471","U","TORONTO","22","12","2","1","35","0","0","0","72","195","The Paramount"
"101","WILLOWDALE","472","U","TORONTO","16","11","3","1","32","0","0","1","64","142","Park Palace - 8 Pemberton Avenue"
"101","WILLOWDALE","473","U","TORONTO","14","9","1","2","30","0","0","0","56","176","Park Palace - 28 Pemberton Avenue"
"101","WILLOWDALE","474","U","TORONTO","14","8","1","0","29","0","0","0","52","168","Park Palace - 8 Pemberton Avenue"
"101","WILLOWDALE","475","U","TORONTO","49","35","2","3","98","0","3","0","190","488","Vogue Condominiums"
"101","WILLOWDALE","476","U","TORONTO","26","9","1","3","20","0","0","0","59","183","The Park Lane II"
"101","WILLOWDALE","477","U","TORONTO","24","17","1","2","67","1","0","0","112","343","Place Nouveau II"
"101","WILLOWDALE","478","U","TORONTO","22","7","2","1","42","0","0","0","74","224","Place Nouveau I"
"101","WILLOWDALE","479","U","TORONTO","29","25","2","0","69","0","0","0","125","290","Turnbury Court"
"101","WILLOWDALE","480","U","TORONTO","23","37","2","5","75","0","0","1","143","348","Wedgewood Apartments"
"101","WILLOWDALE","481","U","TORONTO","27","19","1","4","56","0","0","0","107","263","The Rockefeller"
"101","WILLOWDALE","482","U","TORONTO","39","20","0","4","70","1","0","0","134","376","The Empire"
"101","WILLOWDALE","483","U","TORONTO","37","19","1","8","63","0","0","0","128","430","Liberty Club"
"101","WILLOWDALE","484","U","TORONTO","34","26","0","0","79","2","1","0","142","383","Liberty Club"
"101","WILLOWDALE","485","U","TORONTO","32","10","0","4","53","0","0","0","99","335","Liberty Club"
"101","WILLOWDALE","486","U","TORONTO","26","17","0","3","48","0","0","0","94","294","Liberty Club"
"101","WILLOWDALE","487","U","TORONTO","21","17","0","1","48","0","0","0","87","170","The Chelsea"
"101","WILLOWDALE","488","U","TORONTO","34","6","0","1","52","0","1","0","94","126","Amica at Bayview"
"101","WILLOWDALE","489","U","TORONTO","39","13","0","1","52","0","0","0","105","311","Arc Condominiums"
"101","WILLOWDALE","490","U","TORONTO","11","9","1","2","45","1","0","0","69","163","The Arrendale"
"101","WILLOWDALE","491","U","TORONTO","41","1","0","0","49","0","0","0","91","139","St. Gabriel Village"
"101","WILLOWDALE","492","U","TORONTO","11","6","0","1","18","0","0","0","36","98","St. Gabriel Terraces"
"101","WILLOWDALE","493","U","TORONTO","13","9","0","4","30","0","0","0","56","143","The Arrendale"
"101","WILLOWDALE","494","U","TORONTO","23","12","1","1","42","0","0","0","79","149","The Arrendale"
"101","WILLOWDALE","495","U","TORONTO","19","19","0","2","48","1","1","0","90","297","Elkhorn Public School"
"101","WILLOWDALE","496","U","TORONTO","56","9","1","1","69","0","1","0","137","327","All Saints Greek Orthodox Centre"
"101","WILLOWDALE","497","U","TORONTO","35","17","1","2","49","0","0","0","104","217","11 Ruddington Drive"
"101","WILLOWDALE","498","U","TORONTO","33","19","1","4","39","0","0","0","96","232","Gallery Towers"
"101","WILLOWDALE","499","U","TORONTO","16","28","0","0","31","0","0","0","75","233","Lester B. Pearson Elementary and Middle School"
"101","WILLOWDALE","500","U","TORONTO","42","22","0","1","56","0","0","0","121","349","Bayview Arena"
"101","WILLOWDALE","501","U","TORONTO","19","22","0","3","30","0","0","0","74","237","Lester B. Pearson Elementary and Middle School"
"101","WILLOWDALE","502","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","",""
"101","WILLOWDALE","503","U","TORONTO","53","22","2","2","98","1","1","0","179","362","Gates of Bayview"
"101","WILLOWDALE","504","U","TORONTO","47","17","0","1","62","0","0","0","127","231","Gates of Bayview"
"101","WILLOWDALE","505","U","TORONTO","68","18","3","0","104","3","2","0","198","370","Gates of Bayview"
"101","WILLOWDALE","506","U","NORTH YORK","90","18","0","1","113","0","0","0","222","428","Skymark Place Recreation Centre"
"101","WILLOWDALE","507","U","NORTH YORK","89","11","0","1","103","0","0","0","204","291","Skymark Place Recreation Centre"
"101","WILLOWDALE","508","U","TORONTO","74","11","0","0","76","1","0","0","162","256","The Excellence"
"101","WILLOWDALE","509","U","TORONTO","110","14","0","2","63","0","0","0","189","385","The Excellence"
"101","WILLOWDALE","510","U","TORONTO","2","2","0","1","1","0","0","0","6","176","Immanuel Baptist Church"
