"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BUCK","CHUDLEIGH","FRASER","NAIDOO-HARRIS","RODRIGUES","SPOHR","VAN DEN BURG","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"030","HALTON","018","U","BURLINGTON","4","82","3","65","0","18","0","1","0","0","173","382","Lowville United Church"
"030","HALTON","019","U","BURLINGTON","1","109","6","68","2","25","1","0","1","0","213","478","Mount Nemo Christian Nursing Home"
"030","HALTON","020","U","BURLINGTON","0","68","4","57","0","20","1","0","0","0","150","380","Mount Nemo Christian Nursing Home"
"030","HALTON","021","U","MILTON","0","34","3","29","0","14","0","0","0","0","80","259","Boyne Community Centre"
"030","HALTON","022","U","MILTON","0","63","4","22","0","15","0","1","0","0","105","332","Boyne Community Centre"
"030","HALTON","023","U","CAMPBELLVILLE","0","48","1","18","0","16","0","0","1","0","84","194","Nassagaweya Tennis Club"
"030","HALTON","024","U","MILTON","0","47","2","43","0","14","0","1","0","0","107","340","Milton Leisure Centre"
"030","HALTON","025A","U","MILTON","0","71","2","51","0","12","0","1","0","0","137","339","Chris Hadfield Public School"
"030","HALTON","025B","U","MILTON","0","46","1","43","0","27","0","0","0","0","117","325","Chris Hadfield Public School"
"030","HALTON","026","U","MILTON","0","79","5","70","2","29","0","0","0","1","186","480","Chris Hadfield Public School"
"030","HALTON","027","U","MILTON","0","48","3","62","2","29","0","0","0","0","144","414","Milton Leisure Centre"
"030","HALTON","028","U","MILTON","1","87","5","78","0","19","0","1","0","0","191","508","Chris Hadfield Public School"
"030","HALTON","029","U","MILTON","0","85","3","56","1","28","0","0","1","0","174","411","Milton Leisure Centre"
"030","HALTON","030","U","MILTON","1","93","1","40","2","14","1","0","0","0","152","367","Chris Hadfield Public School"
"030","HALTON","031","U","MILTON","0","95","5","69","0","28","1","0","0","0","198","420","Milton Leisure Centre"
"030","HALTON","032","U","MILTON","1","139","10","43","2","54","0","0","1","0","250","536","Robert Baldwin Public School"
"030","HALTON","033","U","MILTON","0","104","6","65","0","30","1","1","0","0","207","443","École élémentaire St Nicholas"
"030","HALTON","034","U","MILTON","0","121","3","67","1","40","0","0","1","0","233","478","École élémentaire St Nicholas"
"030","HALTON","035","U","MILTON","1","67","3","61","0","20","0","2","0","0","154","321","École élémentaire St Nicholas"
"030","HALTON","036","U","MILTON","0","60","12","37","2","31","0","0","0","0","142","290","École élémentaire St Nicholas"
"030","HALTON","037","U","MILTON","0","113","10","47","0","18","1","1","0","0","190","386","École élémentaire St Nicholas"
"030","HALTON","038","U","MILTON","0","93","5","39","0","29","0","0","0","0","166","356","W. I. Dick Public School"
"030","HALTON","039","U","MILTON","0","110","4","59","0","23","0","1","0","0","197","394","Robert Baldwin Public School"
"030","HALTON","040A","U","MILTON","0","32","4","19","0","27","0","0","0","0","82","292","W. I. Dick Public School"
"030","HALTON","040B","U","MILTON","3","44","6","14","0","20","2","2","0","0","91","275","W. I. Dick Public School"
"030","HALTON","041","U","MILTON","0","69","2","38","0","28","0","0","0","0","137","315","Martin Street Public School"
"030","HALTON","042","U","MILTON","0","113","4","99","1","26","1","0","0","1","245","430","Martin Street Public School"
"030","HALTON","043","U","MILTON","1","102","3","38","0","24","1","1","0","0","170","405","W. I. Dick Public School"
"030","HALTON","044","U","MILTON","1","52","5","22","2","17","0","0","0","0","99","253","Holy Rosary Catholic School"
"030","HALTON","045","U","MILTON","0","31","2","24","0","8","0","0","0","0","65","192","Holy Rosary Catholic School"
"030","HALTON","046","U","MILTON","1","102","7","54","1","30","0","0","0","0","195","492","St. Paul's United Church"
"030","HALTON","047","U","MILTON","0","47","3","42","0","19","2","0","0","0","113","284","Milton Leisure Centre"
"030","HALTON","048","U","MILTON","0","67","0","52","0","20","0","0","0","0","139","326","Milton Leisure Centre"
"030","HALTON","049","U","MILTON","0","71","3","51","0","18","0","0","0","0","143","342","Milton Leisure Centre"
"030","HALTON","050","U","MILTON","1","69","4","42","1","21","1","1","0","0","140","324","Robert Baldwin Public School"
"030","HALTON","051","U","MILTON","3","57","3","47","1","39","1","1","0","0","152","377","Milton Seniors' Centre"
"030","HALTON","052","U","MILTON","1","57","0","27","0","33","1","0","0","0","119","328","Milton Seniors' Centre"
"030","HALTON","053","U","MILTON","0","76","0","50","0","26","0","0","0","0","152","354","Jm Denyes Public School"
"030","HALTON","054","U","MILTON","0","93","6","63","0","19","1","0","0","0","182","374","Jm Denyes Public School"
"030","HALTON","055","U","MILTON","1","92","10","54","2","30","2","1","1","0","193","423","Jm Denyes Public School"
"030","HALTON","056","U","MILTON","0","68","7","39","1","22","0","1","0","0","138","308","Jm Denyes Public School"
"030","HALTON","057","U","MILTON","1","57","5","29","0","26","0","0","0","1","119","356","Jm Denyes Public School"
"030","HALTON","058A","U","MILTON","1","44","0","57","0","16","0","0","0","0","118","378","Milton Christian School - South Side Community Chu"
"030","HALTON","058B","U","MILTON","0","48","2","68","0","22","0","0","0","0","140","413","Milton Christian School - South Side Community Chu"
"030","HALTON","059A","U","MILTON","0","57","2","88","0","11","0","1","0","0","159","401","Milton Christian School - South Side Community Chu"
"030","HALTON","059B","U","MILTON","0","51","0","62","24","0","0","1","0","0","138","363","Milton Christian School - South Side Community Chu"
"030","HALTON","060","U","MILTON","0","77","4","48","2","24","0","0","0","0","155","402","Bruce Trail Public School"
"030","HALTON","061A","U","MILTON","1","44","1","52","0","21","0","0","0","0","119","355","Bruce Trail Public School"
"030","HALTON","061B","U","MILTON","0","55","0","48","1","18","1","0","0","0","123","380","Bruce Trail Public School"
"030","HALTON","062","U","MILTON","0","55","3","40","0","20","1","0","0","0","119","413","Bruce Trail Public School"
"030","HALTON","063","U","MILTON","0","54","2","56","0","26","0","0","0","0","138","364","Bruce Trail Public School"
"030","HALTON","064","U","MILTON","0","43","1","52","0","21","0","0","0","0","117","397","Fw Foster Public School"
"030","HALTON","065","U","MILTON","0","70","0","74","0","23","0","0","0","0","167","487","Fw Foster Public School"
"030","HALTON","066","U","MILTON","0","72","0","79","1","18","0","0","0","0","170","485","Fw Foster Public School"
"030","HALTON","067","U","MILTON","0","65","3","88","2","14","2","1","1","0","176","490","Sam Sherratt Public School"
"030","HALTON","068","U","MILTON","0","48","4","45","1","12","0","0","0","0","110","363","Sam Sherratt Public School"
"030","HALTON","069","U","MILTON","1","146","8","61","0","33","0","0","3","0","252","500","Fw Foster Public School"
"030","HALTON","070","U","MILTON","0","123","4","73","1","23","1","0","0","0","225","462","Sam Sherratt Public School"
"030","HALTON","071","U","MILTON","2","114","5","61","0","29","0","0","0","0","211","423","Fw Foster Public School"
"030","HALTON","072","U","MILTON","1","81","3","53","0","35","0","0","0","0","173","437","Fw Foster Public School"
"030","HALTON","073","U","MILTON","1","112","8","68","0","62","0","0","0","0","251","507","Sam Sherratt Public School"
"030","HALTON","074A","U","MILTON","0","58","0","51","0","14","1","0","0","0","124","229","Milton Seniors' Centre"
"030","HALTON","074B","U","MILTON","0","52","1","27","0","8","0","0","0","0","88","192","Milton Seniors' Centre"
"030","HALTON","075","U","MILTON","0","86","1","57","3","25","0","0","0","0","172","480","Milton Seniors' Centre"
"030","HALTON","076","U","MILTON","1","111","4","39","0","39","0","0","0","0","194","394","Sam Sherratt Public School"
"030","HALTON","077","U","MILTON","0","37","6","23","0","40","0","0","0","0","106","336","Our Lady of Victory Catholic School"
"030","HALTON","078","U","MILTON","0","118","4","62","1","25","0","0","1","0","211","440","Our Lady of Victory Catholic School"
"030","HALTON","079","U","MILTON","1","85","2","63","1","32","1","1","0","0","186","395","Our Lady of Victory Catholic School"
"030","HALTON","080","U","MILTON","1","75","3","43","0","30","1","0","0","0","153","359","Our Lady of Victory Catholic School"
"030","HALTON","081","U","MILTON","3","67","4","28","0","35","0","0","1","0","138","344","Our Lady of Victory Catholic School"
"030","HALTON","082","U","MILTON","0","96","5","63","1","42","2","1","0","0","210","422","Our Lady of Victory Catholic School"
"030","HALTON","083","U","MILTON","1","100","2","78","0","32","1","0","0","0","214","408","Our Lady of Victory Catholic School"
"030","HALTON","084A","U","MILTON","0","51","0","58","0","19","0","0","0","0","128","440","Milton Christian School - South Side Community Chu"
"030","HALTON","084B","U","MILTON","0","43","3","60","0","18","0","1","0","0","125","409","Milton Christian School - South Side Community Chu"
"030","HALTON","085A","U","MILTON","1","73","2","81","0","21","2","0","0","0","180","441","Milton Christian School - South Side Community Chu"
"030","HALTON","085B","U","MILTON","0","53","4","79","0","18","0","1","0","0","155","427","Milton Christian School - South Side Community Chu"
"030","HALTON","086A","U","MILTON","1","46","1","63","0","27","0","0","0","0","138","433","Milton Sports Centre"
"030","HALTON","086B","U","MILTON","0","40","0","62","1","26","0","0","1","0","130","423","Milton Sports Centre"
"030","HALTON","087A","U","MILTON","2","43","0","66","0","22","0","1","0","0","134","458","Milton Sports Centre"
"030","HALTON","087B","U","MILTON","0","43","2","85","0","17","1","0","0","0","148","441","Milton Sports Centre"
"030","HALTON","088A","U","BURLINGTON","0","20","0","30","0","7","0","0","0","0","57","367","Lowville United Church"
"030","HALTON","088B","U","BURLINGTON","0","24","1","46","0","15","0","0","0","0","86","404","Lowville United Church"
"030","HALTON","089A","U","BURLINGTON","0","28","3","41","0","15","2","0","0","0","89","377","Lowville United Church"
"030","HALTON","089B","U","BURLINGTON","0","40","2","40","0","5","0","0","0","0","87","404","Lowville United Church"
"030","HALTON","090","U","MILTON","0","63","4","48","4","23","2","1","0","0","145","442","Bruce Trail Public School"
"030","HALTON","091","U","MILTON","1","34","4","41","0","19","1","0","0","0","100","282","Bruce Trail Public School"
"030","HALTON","092","U","MILTON","0","83","6","67","2","17","0","0","0","0","175","408","Bruce Trail Public School"
"030","HALTON","093","U","MILTON","0","76","4","59","1","14","0","0","0","0","154","408","Guardian Angels Catholic School"
"030","HALTON","094","U","MILTON","0","72","3","108","1","21","1","0","0","0","206","483","Guardian Angels Catholic School"
"030","HALTON","095A","U","MILTON","0","47","1","64","1","19","0","0","0","0","132","394","Guardian Angels Catholic School"
"030","HALTON","095B","U","MILTON","1","43","1","45","1","28","0","0","0","0","119","376","Guardian Angels Catholic School"
"030","HALTON","096","U","MILTON","0","52","6","32","0","19","1","0","0","0","110","304","Guardian Angels Catholic School"
"030","HALTON","097","U","MILTON","0","44","3","50","2","21","1","0","1","0","122","309","Guardian Angels Catholic School"
"030","HALTON","098","U","MILTON","0","56","3","43","0","18","0","0","0","0","120","399","Tiger Jeet Singh School"
"030","HALTON","099","U","MILTON","0","43","5","29","1","16","0","0","0","0","94","285","Tiger Jeet Singh School"
"030","HALTON","100","U","MILTON","0","31","1","75","0","12","0","2","0","0","121","396","Sam Sherratt Public School"
"030","HALTON","101","U","MILTON","0","49","4","54","0","19","0","0","0","1","127","376","Sam Sherratt Public School"
"030","HALTON","102","U","MILTON","0","57","4","65","0","24","0","0","0","0","150","405","Tiger Jeet Singh School"
"030","HALTON","103","U","MILTON","0","52","1","41","0","11","1","1","0","0","107","310","Tiger Jeet Singh School"
"030","HALTON","104","U","MILTON","0","46","5","43","1","19","1","0","0","0","115","330","Tiger Jeet Singh School"
"030","HALTON","105","U","MILTON","0","79","2","62","1","16","1","0","0","0","161","409","Guardian Angels Catholic School"
"030","HALTON","106","U","MILTON","0","76","2","64","0","21","1","0","0","0","164","420","Hawthorne Village Public School"
"030","HALTON","107","U","MILTON","0","40","1","48","1","18","2","0","0","0","110","340","Guardian Angels Catholic School"
"030","HALTON","108","U","MILTON","0","67","2","66","0","17","0","0","0","0","152","392","Hawthorne Village Public School"
"030","HALTON","109","U","MILTON","0","55","1","47","0","11","0","0","0","0","114","368","Hawthorne Village Public School"
"030","HALTON","110","U","MILTON","0","106","8","74","1","20","1","0","0","0","210","510","Hawthorne Village Public School"
"030","HALTON","111","U","MILTON","1","39","4","56","0","17","1","0","0","0","118","395","Hawthorne Village Public School"
"030","HALTON","112","U","MILTON","0","56","6","58","1","12","0","1","0","0","134","391","Guardian Angels Catholic School"
"030","HALTON","113","U","MILTON","0","58","4","63","0","16","0","0","0","0","141","435","Hawthorne Village Public School"
"030","HALTON","114","U","MILTON","0","80","3","92","0","27","0","0","0","0","202","470","Hawthorne Village Public School"
"030","HALTON","115","U","MILTON","0","75","3","56","0","21","1","0","0","0","156","368","Hawthorne Village Public School"
"030","HALTON","116","U","MILTON","0","56","1","64","2","13","0","0","0","0","136","381","Tiger Jeet Singh School"
"030","HALTON","117","U","MILTON","0","42","1","51","0","25","0","0","0","0","119","370","Tiger Jeet Singh School"
"030","HALTON","118","U","MILTON","0","58","1","59","0","20","1","0","0","0","139","376","Tiger Jeet Singh School"
"030","HALTON","119A","U","MILTON","0","73","0","102","0","25","0","1","1","0","202","505","Tiger Jeet Singh School"
"030","HALTON","119B","U","MILTON","0","54","1","73","1","27","0","0","2","0","158","465","Tiger Jeet Singh School"
"030","HALTON","120A","U","MILTON","2","72","5","77","1","25","0","0","0","0","182","490","Tiger Jeet Singh School"
"030","HALTON","120B","U","MILTON","1","55","1","52","0","27","0","0","0","0","136","444","Tiger Jeet Singh School"
"030","HALTON","121","U","MILTON","0","29","3","13","0","5","1","0","0","0","51","189","Boyne Community Centre"
"030","HALTON","122","U","MILTON","1","65","3","74","0","34","0","0","0","0","177","502","Boyne Community Centre"
"030","HALTON","123","U","BURLINGTON","1","52","4","54","0","15","1","0","0","0","127","494","Lowville United Church"
"030","HALTON","124","U","OAKVILLE","1","42","5","13","0","5","0","0","0","0","66","191","Sixteen Mile Sports Complex"
"030","HALTON","125","U","OAKVILLE","1","22","2","42","1","18","0","1","0","1","88","290","Sixteen Mile Sports Complex"
"030","HALTON","126","U","OAKVILLE","2","53","1","90","0","14","1","1","0","0","162","336","Mary Mother of God Parish"
"030","HALTON","127","U","OAKVILLE","0","72","7","99","4","44","2","1","0","0","229","507","Mary Mother of God Parish"
"030","HALTON","128","U","OAKVILLE","2","64","2","85","0","19","1","0","0","0","173","385","Mary Mother of God Parish"
"030","HALTON","129","U","OAKVILLE","1","58","9","38","0","21","1","1","0","0","129","343","Mary Mother of God Parish"
"030","HALTON","130","U","OAKVILLE","1","26","1","42","0","21","1","1","0","0","93","311","Mary Mother of God Parish"
"030","HALTON","131","U","OAKVILLE","2","86","1","98","0","25","0","0","0","0","212","498","Holy Trinity Croatian Parish"
"030","HALTON","132","U","OAKVILLE","2","64","4","85","1","17","0","0","0","0","173","411","Holy Trinity Croatian Parish"
"030","HALTON","133","U","OAKVILLE","0","100","7","114","2","25","0","1","0","0","249","509","Holy Trinity Croatian Parish"
"030","HALTON","134","U","OAKVILLE","1","58","11","85","3","25","1","0","1","0","185","468","Holy Trinity Croatian Parish"
"030","HALTON","135","U","OAKVILLE","0","56","2","86","0","14","1","0","1","0","160","380","St. Andrew Catholic School"
"030","HALTON","136A","U","OAKVILLE","2","53","3","64","1","15","1","0","0","0","139","412","St. Andrew Catholic School"
"030","HALTON","136B","U","OAKVILLE","0","65","5","61","1","15","2","0","0","0","149","418","St. Andrew Catholic School"
"030","HALTON","137","U","OAKVILLE","1","33","8","63","0","29","2","0","0","0","136","355","St. Andrew Catholic School"
"030","HALTON","138","U","OAKVILLE","0","53","7","52","1","20","2","1","0","0","136","321","St. Andrew Catholic School"
"030","HALTON","139","U","OAKVILLE","2","74","3","66","0","22","0","0","0","0","167","399","Post's Corners Public School"
"030","HALTON","140","U","OAKVILLE","1","75","2","88","0","8","1","0","0","0","175","428","Post's Corners Public School"
"030","HALTON","141","U","OAKVILLE","1","65","0","57","0","23","0","2","0","0","148","360","St. Andrew Catholic School"
"030","HALTON","142","U","OAKVILLE","1","72","5","76","1","18","2","0","0","0","175","348","Post's Corners Public School"
"030","HALTON","143","U","OAKVILLE","0","63","3","53","0","15","2","0","0","0","136","294","Post's Corners Public School"
"030","HALTON","144","U","OAKVILLE","0","78","6","101","4","23","0","0","0","0","212","485","Post's Corners Public School"
"030","HALTON","145","U","OAKVILLE","0","75","3","97","0","20","2","0","0","0","197","466","Post's Corners Public School"
"030","HALTON","146","U","OAKVILLE","0","86","8","88","0","22","4","0","1","0","209","468","River Oaks Community Centre"
"030","HALTON","147","U","OAKVILLE","1","40","1","43","0","23","0","0","0","0","108","306","River Oaks Community Centre"
"030","HALTON","148","U","OAKVILLE","1","49","5","55","0","38","2","0","0","0","150","324","River Oaks Community Centre"
"030","HALTON","149","U","OAKVILLE","1","84","7","91","0","33","0","0","0","0","216","487","River Oaks Community Centre"
"030","HALTON","150","U","OAKVILLE","0","82","7","91","1","19","1","0","0","0","201","474","River Oaks Community Centre"
"030","HALTON","151","U","OAKVILLE","0","80","6","54","0","30","1","0","0","0","171","453","River Oaks Community Centre"
"030","HALTON","152","U","OAKVILLE","2","55","11","93","1","25","1","0","0","0","188","460","River Oaks Public School"
"030","HALTON","153","U","OAKVILLE","0","74","1","98","1","29","0","0","1","0","204","446","Our Lady of Peace Catholic School"
"030","HALTON","154","U","OAKVILLE","0","68","6","58","2","33","0","0","0","0","167","433","Our Lady of Peace Catholic School"
"030","HALTON","155","U","OAKVILLE","0","93","4","81","0","22","1","0","1","0","202","490","Our Lady of Peace Catholic School"
"030","HALTON","156","U","OAKVILLE","0","57","5","73","1","18","1","0","0","0","155","409","River Oaks Public School"
"030","HALTON","157","U","OAKVILLE","0","101","3","89","0","27","3","0","0","0","223","478","River Oaks Public School"
"030","HALTON","158","U","OAKVILLE","0","77","4","91","0","9","0","0","0","0","181","345","Our Lady of Peace Catholic School"
"030","HALTON","159","U","OAKVILLE","0","81","2","110","0","27","0","0","0","0","220","460","Our Lady of Peace Catholic School"
"030","HALTON","160A","U","OAKVILLE","0","48","2","60","0","16","1","0","0","0","127","268","Our Lady of Peace Catholic School"
"030","HALTON","160B","U","OAKVILLE","1","62","4","34","0","23","2","1","0","0","127","269","Our Lady of Peace Catholic School"
"030","HALTON","161","U","OAKVILLE","0","93","3","63","2","21","0","0","0","0","182","397","River Oaks Public School"
"030","HALTON","162","U","OAKVILLE","1","87","7","97","0","25","0","0","1","0","218","448","River Oaks Public School"
"030","HALTON","163","U","OAKVILLE","0","56","3","59","0","23","0","1","0","0","142","424","St. Peter and  Paul Parish"
"030","HALTON","164","U","OAKVILLE","0","57","2","60","0","18","0","0","0","0","137","315","St. Peter and  Paul Parish"
"030","HALTON","165","U","OAKVILLE","1","62","13","84","1","24","0","0","0","0","185","464","River Oaks Public School"
"030","HALTON","166","U","OAKVILLE","0","86","4","49","0","9","0","0","0","0","148","440","St. Peter and  Paul Parish"
"030","HALTON","167","U","OAKVILLE","0","82","1","54","0","6","0","1","0","0","144","444","St. Peter and  Paul Parish"
"030","HALTON","168","U","OAKVILLE","0","63","4","67","0","4","1","0","0","0","139","365","St. Peter and  Paul Parish"
"030","HALTON","169","U","OAKVILLE","1","90","6","80","2","24","2","0","0","0","205","448","Mother Theresa Catholic School"
"030","HALTON","170","U","OAKVILLE","1","62","3","68","1","17","0","1","0","0","153","388","Kings Christian Collegiate"
"030","HALTON","171","U","OAKVILLE","1","73","9","69","7","22","2","1","0","0","184","398","Mother Theresa Catholic School"
"030","HALTON","172","U","OAKVILLE","0","78","10","88","0","24","0","1","0","0","201","409","Mother Theresa Catholic School"
"030","HALTON","173","U","OAKVILLE","0","45","6","57","2","24","0","0","0","1","135","362","Mother Theresa Catholic School"
"030","HALTON","174","U","OAKVILLE","0","57","2","78","0","12","0","1","0","0","150","467","Kings Christian Collegiate"
"030","HALTON","175","U","OAKVILLE","0","54","3","54","0","10","1","0","0","0","122","353","Kings Christian Collegiate"
"030","HALTON","176","U","OAKVILLE","1","67","2","67","0","16","0","0","0","0","153","417","St. Peter and  Paul Parish"
"030","HALTON","177","U","OAKVILLE","0","96","6","113","3","24","2","0","0","0","244","507","West Oak Public School"
"030","HALTON","178","U","OAKVILLE","0","49","3","57","1","13","1","0","0","0","124","353","Sixteen Mile Sports Complex"
"030","HALTON","179","U","OAKVILLE","1","60","0","42","0","14","1","0","0","0","118","373","Kings Christian Collegiate"
"030","HALTON","180","U","OAKVILLE","0","48","4","65","1","16","0","1","0","0","135","372","Sixteen Mile Sports Complex"
"030","HALTON","181","U","OAKVILLE","0","68","0","68","0","16","0","0","0","0","152","354","Mother Theresa Catholic School"
"030","HALTON","182","U","OAKVILLE","0","39","7","61","2","15","0","0","0","0","124","342","St. Peter and  Paul Parish"
"030","HALTON","183","U","OAKVILLE","1","87","3","62","1","16","1","0","0","0","171","416","West Oak Public School"
"030","HALTON","184","U","OAKVILLE","0","68","3","71","0","24","0","0","0","0","166","383","West Oak Public School"
"030","HALTON","185","U","OAKVILLE","0","62","5","69","2","16","0","1","1","0","156","478","Pope John Paul Catholic School"
"030","HALTON","186","U","OAKVILLE","1","62","7","62","1","24","1","0","1","0","159","417","Pope John Paul Catholic School"
"030","HALTON","187","U","OAKVILLE","0","60","1","58","1","13","2","0","0","0","135","362","West Oak Public School"
"030","HALTON","188","U","OAKVILLE","1","73","3","76","0","15","0","0","0","0","168","378","West Oak Public School"
"030","HALTON","189","U","OAKVILLE","0","76","3","75","0","24","0","0","0","0","178","434","West Oak Public School"
"030","HALTON","190","U","OAKVILLE","1","93","2","78","0","14","0","0","0","0","188","448","Pope John Paul Catholic School"
"030","HALTON","191","U","OAKVILLE","1","77","3","76","1","10","0","1","0","0","169","436","Pope John Paul Catholic School"
"030","HALTON","192","U","OAKVILLE","0","63","0","69","0","14","0","2","0","0","148","415","West Oak Public School"
"030","HALTON","193","U","OAKVILLE","1","46","2","70","0","14","0","0","0","0","133","369","West Oak Public School"
"030","HALTON","194","U","OAKVILLE","0","54","2","53","0","15","0","0","0","0","124","331","St. Joan of Arc Catholic School"
"030","HALTON","195","U","OAKVILLE","0","74","2","67","1","11","0","1","0","1","157","413","St. Joan of Arc Catholic School"
"030","HALTON","196","U","OAKVILLE","0","23","1","67","0","13","0","0","0","0","104","307","Pope John Paul Catholic School"
"030","HALTON","197","U","OAKVILLE","0","59","7","81","2","20","0","0","0","0","169","431","Pope John Paul Catholic School"
"030","HALTON","198","U","OAKVILLE","2","60","0","62","2","12","1","0","0","0","139","366","Pope John Paul Catholic School"
"030","HALTON","199","U","OAKVILLE","0","67","4","46","0","16","0","0","0","0","133","355","St. Joan of Arc Catholic School"
"030","HALTON","200","U","OAKVILLE","0","28","0","19","1","10","0","0","0","0","58","181","St. Joan of Arc Catholic School"
"030","HALTON","201","U","OAKVILLE","0","34","4","72","0","12","0","0","0","0","122","392","St. Joan of Arc Catholic School"
"030","HALTON","202","U","OAKVILLE","1","73","1","92","0","14","1","0","0","1","183","499","Pope John Paul Catholic School"
"030","HALTON","203","U","OAKVILLE","0","93","3","79","1","33","1","1","1","0","212","502","St. Joan of Arc Catholic School"
"030","HALTON","204","U","OAKVILLE","0","56","1","57","0","15","1","0","0","0","130","312","Captain R. Wilson Public School"
"030","HALTON","205","U","OAKVILLE","0","108","3","96","0","20","0","0","0","0","227","490","Captain R. Wilson Public School"
"030","HALTON","206","U","OAKVILLE","0","80","3","75","0","23","0","0","0","0","181","464","St. Joan of Arc Catholic School"
"030","HALTON","207","U","OAKVILLE","2","70","3","92","2","19","0","0","0","0","188","448","Captain R. Wilson Public School"
"030","HALTON","208","U","OAKVILLE","0","46","5","61","2","16","0","0","0","0","130","410","Captain R. Wilson Public School"
"030","HALTON","209","U","OAKVILLE","1","51","1","69","0","13","1","0","0","0","136","374","Captain R. Wilson Public School"
"030","HALTON","210","U","OAKVILLE","0","63","2","54","0","16","1","0","0","0","136","373","Captain R. Wilson Public School"
"030","HALTON","211A","U","OAKVILLE","2","40","5","39","3","13","0","0","0","0","102","316","Forestview Church Without Walls"
"030","HALTON","211B","U","OAKVILLE","0","27","1","32","2","11","0","0","0","0","73","279","Forestview Church Without Walls"
"030","HALTON","212","U","OAKVILLE","1","67","4","82","1","21","0","0","0","0","176","467","Forestview Church Without Walls"
"030","HALTON","213","U","OAKVILLE","0","50","2","71","0","12","0","0","0","0","135","353","Captain R. Wilson Public School"
"030","HALTON","214","U","OAKVILLE","0","63","2","70","0","10","0","0","0","0","145","402","Forestview Church Without Walls"
"030","HALTON","215A","U","OAKVILLE","0","49","0","62","1","14","0","0","0","0","126","310","Forestview Church Without Walls"
"030","HALTON","215B","U","OAKVILLE","0","65","2","66","1","15","1","0","0","0","150","328","Forestview Church Without Walls"
"030","HALTON","216","U","OAKVILLE","0","62","1","82","5","18","0","0","0","0","168","482","Forestview Church Without Walls"
"030","HALTON","217","U","OAKVILLE","0","77","1","53","1","13","0","0","0","0","145","404","Forestview Church Without Walls"
"030","HALTON","218A","U","BURLINGTON","1","46","0","53","0","14","0","0","0","0","114","401","Charles R Beaudoin Public School"
"030","HALTON","218B","U","BURLINGTON","0","52","6","48","2","20","1","2","0","0","131","421","Charles R Beaudoin Public School"
"030","HALTON","219","U","BURLINGTON","0","119","1","64","0","16","0","0","0","0","200","494","Charles R Beaudoin Public School"
"030","HALTON","220","U","BURLINGTON","0","37","3","48","0","16","1","0","0","0","105","235","Charles R Beaudoin Public School"
"030","HALTON","221A","U","BURLINGTON","0","39","0","40","0","20","0","1","0","0","100","311","Charles R Beaudoin Public School"
"030","HALTON","221B","U","BURLINGTON","0","38","1","42","2","9","0","0","0","0","92","342","Charles R Beaudoin Public School"
"030","HALTON","222A","U","BURLINGTON","0","30","1","37","2","10","0","0","0","0","80","343","Charles R Beaudoin Public School"
