"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","APELBAUM","BEST","ELLIS","OLIVER","POCHKHANAWALA","URBAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"082","SCARBOROUGH--GUILDWOOD","051","U","TORONTO","0","132","121","2","5","76","0","0","0","336","612","George B Little Public School"
"082","SCARBOROUGH--GUILDWOOD","052","U","TORONTO","2","125","53","0","1","50","0","0","0","231","588","George B Little Public School"
"082","SCARBOROUGH--GUILDWOOD","053","U","TORONTO","6","68","14","0","0","27","0","0","0","115","350","Galloway Road Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","054","U","TORONTO","4","65","20","0","4","28","0","0","0","121","399","Galloway Road Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","055","U","TORONTO","3","99","12","0","0","31","1","0","0","146","520","St. Margaret's-In-The-Pines"
"082","SCARBOROUGH--GUILDWOOD","056","U","TORONTO","1","98","48","2","0","40","1","0","0","190","496","St. Margaret's-In-The-Pines"
"082","SCARBOROUGH--GUILDWOOD","057","U","TORONTO","4","92","62","0","3","60","1","1","1","224","692","West Hill Public School"
"082","SCARBOROUGH--GUILDWOOD","058","U","TORONTO","0","83","41","1","4","33","0","0","1","163","381","Melville Presbyterian Church"
"082","SCARBOROUGH--GUILDWOOD","059","U","TORONTO","0","77","32","1","1","29","1","0","0","141","434","West Hill United Church"
"082","SCARBOROUGH--GUILDWOOD","060","U","TORONTO","1","55","45","1","3","35","0","0","0","140","357","West Hill United Church"
"082","SCARBOROUGH--GUILDWOOD","061","U","TORONTO","2","52","36","1","2","25","0","0","0","118","296","Melville Presbyterian Church"
"082","SCARBOROUGH--GUILDWOOD","062","U","TORONTO","1","95","60","0","0","26","0","5","0","187","522","West Hill United Church"
"082","SCARBOROUGH--GUILDWOOD","063","U","TORONTO","3","99","93","1","4","59","0","0","0","259","544","St. Malachy Catholic School"
"082","SCARBOROUGH--GUILDWOOD","064","U","TORONTO","4","78","69","0","2","37","3","0","0","193","444","Cedarbrook Community Centre"
"082","SCARBOROUGH--GUILDWOOD","065","U","TORONTO","4","103","71","0","3","48","0","0","0","229","411","Cedarbrook Public School"
"082","SCARBOROUGH--GUILDWOOD","066","U","TORONTO","0","101","74","0","4","23","1","0","0","203","430","Cedarbrook Public School"
"082","SCARBOROUGH--GUILDWOOD","067","U","TORONTO","4","109","58","0","2","37","1","1","0","212","413","Cedarbrook Public School"
"082","SCARBOROUGH--GUILDWOOD","068","U","TORONTO","4","94","51","1","5","52","1","1","0","209","439","Cedarbrook Public School"
"082","SCARBOROUGH--GUILDWOOD","069","U","TORONTO","3","98","42","0","0","47","3","0","0","193","427","Cedarbrook Public School"
"082","SCARBOROUGH--GUILDWOOD","070","U","TORONTO","1","85","113","2","6","27","3","0","0","237","657","Cedarbrae Collegiate Institute"
"082","SCARBOROUGH--GUILDWOOD","071","U","TORONTO","2","162","73","3","2","58","3","1","0","304","675","Cornell Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","072","U","TORONTO","0","136","83","1","0","47","1","1","0","269","628","Cedarbrae Library"
"082","SCARBOROUGH--GUILDWOOD","073","U","TORONTO","0","48","16","0","1","15","0","0","0","80","296","1815212 Ontario Inc"
"082","SCARBOROUGH--GUILDWOOD","074","U","TORONTO","2","119","39","1","6","71","0","0","0","238","635","1815212 Ontario Inc"
"082","SCARBOROUGH--GUILDWOOD","075","U","TORONTO","5","90","27","0","1","36","1","0","0","160","524","St. Stephen's Presbyterian Church"
"082","SCARBOROUGH--GUILDWOOD","076","U","TORONTO","2","101","34","0","0","26","0","0","0","163","440","St. Stephen's Presbyterian Church"
"082","SCARBOROUGH--GUILDWOOD","077","U","TORONTO","1","91","41","1","4","31","1","0","0","170","413","Cornell Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","078","U","TORONTO","2","125","92","1","6","40","1","0","0","267","533","Cornell Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","079","U","TORONTO","1","74","45","1","4","26","0","0","0","151","417","St. Stephen's Presbyterian Church"
"082","SCARBOROUGH--GUILDWOOD","080","U","TORONTO","1","101","14","2","2","38","0","1","0","159","537","Galloway Road Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","081","U","TORONTO","1","82","36","1","2","31","2","0","0","155","454","Galloway Road Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","082","U","TORONTO","0","66","54","1","3","32","0","0","0","156","407","Ann Marie Hill Co-Op"
"082","SCARBOROUGH--GUILDWOOD","083","U","TORONTO","0","78","37","0","2","32","3","0","0","152","395","Ann Marie Hill Co-Op"
"082","SCARBOROUGH--GUILDWOOD","084","U","TORONTO","1","74","40","3","2","29","0","0","0","149","422","Maplewood High School"
"082","SCARBOROUGH--GUILDWOOD","085","U","TORONTO","2","64","33","0","2","33","1","0","1","136","350","Ann Marie Hill Co-Op"
"082","SCARBOROUGH--GUILDWOOD","086","U","TORONTO","1","97","56","0","7","42","4","0","0","207","536","Maplewood High School"
"082","SCARBOROUGH--GUILDWOOD","087","U","TORONTO","2","61","69","0","4","40","0","0","0","176","495","Peter Secor Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","088","U","TORONTO","2","90","46","0","3","43","0","0","0","184","435","Maplewood High School"
"082","SCARBOROUGH--GUILDWOOD","089","U","TORONTO","2","103","58","0","4","37","1","0","0","205","475","Maplewood High School"
"082","SCARBOROUGH--GUILDWOOD","090","U","TORONTO","2","81","24","1","4","42","4","0","0","158","628","Joseph Brant Senior Public School"
"082","SCARBOROUGH--GUILDWOOD","091","U","TORONTO","1","102","47","1","1","34","0","0","0","186","464","Heron Park Community Recreation Centre"
"082","SCARBOROUGH--GUILDWOOD","092","U","TORONTO","2","122","59","1","4","47","0","0","0","235","586","Joseph Brant Senior Public School"
"082","SCARBOROUGH--GUILDWOOD","093","U","TORONTO","4","87","14","0","2","24","3","1","0","135","366","Peter Secor Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","094","U","TORONTO","2","83","47","0","3","29","0","0","0","164","445","Peter Secor Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","095","U","TORONTO","1","85","61","2","2","38","0","0","0","189","435","Peter Secor Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","096","U","TORONTO","1","115","24","1","1","70","0","0","0","212","536","Joseph Brant Senior Public School"
"082","SCARBOROUGH--GUILDWOOD","097","U","TORONTO","0","67","39","0","1","31","1","0","0","139","409","Heron Park Community Recreation Centre"
"082","SCARBOROUGH--GUILDWOOD","098","U","TORONTO","3","100","76","1","6","52","0","0","0","238","564","St. Malachy Catholic School"
"082","SCARBOROUGH--GUILDWOOD","099","U","TORONTO","1","137","72","0","8","41","0","0","0","259","612","St. Malachy Catholic School"
"082","SCARBOROUGH--GUILDWOOD","100","U","TORONTO","1","101","83","1","6","31","0","0","1","224","425","St. Malachy Catholic School"
"082","SCARBOROUGH--GUILDWOOD","101","U","TORONTO","3","57","41","1","1","32","1","0","0","136","389","Cedar Drive Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","102","U","TORONTO","1","78","12","0","3","46","0","0","0","140","496","Cedar Drive Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","103","U","TORONTO","9","74","11","1","3","50","1","1","0","150","424","Cedar Drive Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","104","U","TORONTO","4","103","53","0","2","67","0","0","0","229","647","Cedar Drive Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","105","U","TORONTO","3","89","32","0","2","49","0","1","0","176","474","Cedar Drive Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","106","U","TORONTO","1","74","70","1","4","20","0","0","0","170","411","Scarborough Bluffs United Church"
"082","SCARBOROUGH--GUILDWOOD","107","U","TORONTO","3","69","24","0","1","30","0","0","0","127","492","Mason Road Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","108","U","TORONTO","4","82","10","2","3","58","2","0","0","161","491","Mason Road Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","109","U","TORONTO","2","87","66","3","2","31","0","0","0","191","428","Mason Road Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","110","U","TORONTO","1","97","38","2","2","49","1","0","0","190","413","St. Boniface Catholic School"
"082","SCARBOROUGH--GUILDWOOD","111","U","TORONTO","3","98","43","1","3","32","2","0","0","182","465","Mason Road Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","112","U","TORONTO","6","53","28","0","3","28","0","1","0","119","399","Scarborough Village Community Centre"
"082","SCARBOROUGH--GUILDWOOD","113","U","TORONTO","1","134","82","2","4","43","0","0","1","267","639","Scarborough Village Community Centre"
"082","SCARBOROUGH--GUILDWOOD","114","U","TORONTO","0","98","79","0","4","12","0","0","0","193","355","George P Mackie Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","115","U","TORONTO","0","90","66","0","0","25","0","0","0","181","371","George P Mackie Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","116","U","TORONTO","0","78","70","0","3","22","2","0","0","175","354","Elizabeth Simcoe Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","117","U","TORONTO","0","51","44","0","3","26","0","0","0","124","316","Scarborough Bluffs United Church"
"082","SCARBOROUGH--GUILDWOOD","118","U","TORONTO","0","133","96","1","2","43","1","0","1","277","510","Scarborough Bluffs United Church"
"082","SCARBOROUGH--GUILDWOOD","119","U","TORONTO","1","138","104","2","6","33","0","0","2","286","447","Elizabeth Simcoe Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","120","U","TORONTO","6","120","68","1","5","48","1","0","0","249","615","Guildwood Community Presbyterian Church"
"082","SCARBOROUGH--GUILDWOOD","121","U","TORONTO","1","140","84","1","1","44","2","0","0","273","531","Church of the Holy Trinity"
"082","SCARBOROUGH--GUILDWOOD","122","U","TORONTO","1","148","97","0","7","41","0","1","0","295","511","Church of the Holy Trinity"
"082","SCARBOROUGH--GUILDWOOD","123","U","TORONTO","0","65","31","0","7","20","0","0","0","123","261","Church of the Holy Trinity"
"082","SCARBOROUGH--GUILDWOOD","124","U","TORONTO","2","92","62","0","6","30","3","0","0","195","351","Guildwood Community Presbyterian Church"
"082","SCARBOROUGH--GUILDWOOD","125","U","TORONTO","2","102","89","1","2","22","0","0","0","218","368","Guildwood Community Presbyterian Church"
"082","SCARBOROUGH--GUILDWOOD","126","U","TORONTO","4","110","99","1","3","31","0","0","0","248","426","Guildwood Community Presbyterian Church"
"082","SCARBOROUGH--GUILDWOOD","127","U","TORONTO","3","107","95","2","1","35","1","0","0","244","462","Maplewood High School"
"082","SCARBOROUGH--GUILDWOOD","128","U","TORONTO","3","120","78","0","3","54","1","0","0","259","485","Maplewood High School"
"082","SCARBOROUGH--GUILDWOOD","129","U","TORONTO","0","95","67","1","3","34","0","0","0","200","410","Peter Secor Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","130","U","TORONTO","0","89","85","0","4","17","1","1","0","197","414","Peter Secor Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","400","U","TORONTO","8","114","22","3","4","41","1","1","1","195","323","Village Apartment(s)"
"082","SCARBOROUGH--GUILDWOOD","401","U","SCARBOROUGH","5","94","19","0","6","48","0","0","0","172","337","70 Mornelle Court Apartments"
"082","SCARBOROUGH--GUILDWOOD","402","U","TORONTO","0","129","23","2","1","54","0","0","0","209","494","Mapledale MTCC831"
"082","SCARBOROUGH--GUILDWOOD","403","U","TORONTO","5","83","25","0","0","36","0","0","0","149","354","Skyview Manor YCC331"
"082","SCARBOROUGH--GUILDWOOD","404","U","TORONTO","1","57","16","1","0","28","3","1","0","107","168","Shoniker Place"
"082","SCARBOROUGH--GUILDWOOD","405","U","TORONTO","1","21","68","0","2","3","1","0","0","96","137","Eesti Kodu Inc"
"082","SCARBOROUGH--GUILDWOOD","406","U","TORONTO","6","163","46","4","2","57","5","0","0","283","443","Cedarbrae Manor"
"082","SCARBOROUGH--GUILDWOOD","407","U","TORONTO","3","75","5","2","0","33","1","0","0","119","454","Maplewood High School"
"082","SCARBOROUGH--GUILDWOOD","408","U","TORONTO","2","84","20","1","3","32","3","1","1","147","318","West Hill Apartment(s)"
"082","SCARBOROUGH--GUILDWOOD","409","U","TORONTO","4","88","19","1","2","26","4","0","0","144","277","Morningside Apartment(s)"
"082","SCARBOROUGH--GUILDWOOD","410","U","TORONTO","1","91","28","2","4","40","1","0","0","167","274","Morningside Estates YCC469"
"082","SCARBOROUGH--GUILDWOOD","411","U","TORONTO","3","107","91","0","2","37","5","0","0","245","350","Scarborough Woods Apartment(s) YC475"
"082","SCARBOROUGH--GUILDWOOD","412","U","TORONTO","0","60","24","0","1","20","0","0","0","105","199","Prominence Point MC978"
"082","SCARBOROUGH--GUILDWOOD","413","U","TORONTO","10","135","20","4","4","73","4","0","0","250","495","YCC456"
"082","SCARBOROUGH--GUILDWOOD","414","U","TORONTO","3","54","19","1","0","30","2","0","2","111","219","Adanac Apartments"
"082","SCARBOROUGH--GUILDWOOD","415","U","SCARBOROUGH","2","98","35","2","3","58","1","0","0","199","407","YCC41"
"082","SCARBOROUGH--GUILDWOOD","416","U","TORONTO","4","105","42","1","5","62","0","1","0","220","360","The Village at Guildwood TSCC1806"
"082","SCARBOROUGH--GUILDWOOD","417","U","TORONTO","1","48","32","0","1","10","1","0","0","93","175","Guildwood Terrace MTCC1013"
"082","SCARBOROUGH--GUILDWOOD","418","U","TORONTO","4","85","29","1","4","40","1","0","0","164","317","Guildwood Terrace MTCC1013"
"082","SCARBOROUGH--GUILDWOOD","419","U","TORONTO","2","119","80","1","2","21","0","1","0","226","303","Gates of Guildwood 10"
"082","SCARBOROUGH--GUILDWOOD","420","U","TORONTO","3","113","75","0","5","18","1","0","0","215","298","Gates of Guildwood 20"
"082","SCARBOROUGH--GUILDWOOD","421","U","TORONTO","2","56","81","1","2","16","1","0","0","159","238","Doverhold Investments Ltd"
"082","SCARBOROUGH--GUILDWOOD","700","U","TORONTO","3","25","9","1","0","4","0","0","0","42","260","Seven Oaks Home for the Aged"
"082","SCARBOROUGH--GUILDWOOD","701","U","TORONTO","3","22","12","1","1","11","0","0","0","50","158","Extendicare Scarborough"
"082","SCARBOROUGH--GUILDWOOD","702","U","TORONTO","2","10","39","0","2","1","0","1","0","55","125","Ehatare"
"082","SCARBOROUGH--GUILDWOOD","703","U","TORONTO","1","40","19","1","0","13","0","0","1","75","121","Cedarbrook Lodge"
"082","SCARBOROUGH--GUILDWOOD","704","U","TORONTO","3","35","16","3","0","19","0","0","0","76","104","Scarborough Retirement Centre"
"082","SCARBOROUGH--GUILDWOOD","705","U","TORONTO","1","40","13","0","0","23","0","0","0","77","147","Momiji Senior Residence"
"082","SCARBOROUGH--GUILDWOOD","706","U","TORONTO","2","12","9","3","2","2","1","6","0","37","173","Extendicare Guildwood"
"082","SCARBOROUGH--GUILDWOOD","707","U","TORONTO","0","20","17","0","0","3","0","0","0","40","76","Livingston Lodge Retirement Home"
"082","SCARBOROUGH--GUILDWOOD","ADV001","U","SCARBOROUGH","12","349","285","2","7","140","0","0","0","795","0","Returning Office / Bureau du directeur du scrutin"
"082","SCARBOROUGH--GUILDWOOD","ADV002","U","ALL SATELLITE OFFICE(S)","6","136","82","2","2","49","6","0","0","283","0","Special Ballot Voting / Vote par bulletin spécial"
"082","SCARBOROUGH--GUILDWOOD","ADV003","U","TORONTO","6","602","478","2","15","185","3","0","0","1291","0","Heron Park Community Recreation Centre"
"082","SCARBOROUGH--GUILDWOOD","ADV004","U","TORONTO","6","316","231","1","5","97","3","1","0","660","0","Scarborough Centennial Recreation Centre"
"082","SCARBOROUGH--GUILDWOOD","ADV005","U","TORONTO","3","93","48","2","0","10","0","0","0","156","0","Tam Heather Curling and  Tennis Club"
"082","SCARBOROUGH--GUILDWOOD","ADV006","U","TORONTO",".......................COMBINED WITH POLL ADV005.......................","","","","","","","","","","","Centennial College"
"TOTALS:","","","","","407","15607","9137","136","413","6194","158","49","16","32117","67408",""
